년도,월,나이,충청북도 증평군,충청북도 증평군 증평읍,충청북도 증평군 도안면
2021,7,80,520,447,73
2021,7,90,42,35,7
2021,7,100,2,2,0
2021,8,총,"18,984","18,008",976
2021,8,0,"1,563","1,535",28
2021,8,10,"1,760","1,722",38
2021,8,20,"2,611","2,533",78
2021,8,30,"2,468","2,411",57
2021,8,40,"2,970","2,856",114
2021,8,50,"3,185","3,004",181
2021,8,60,"2,648","2,386",262
2021,8,70,"1,210","1,073",137
2021,8,80,525,451,74
2021,8,90,42,35,7
2021,8,100,2,2,0
2021,9,총,"18,973","18,000",973
2021,9,0,"1,566","1,539",27
2021,9,10,"1,762","1,723",39
2021,9,20,"2,612","2,533",79
2021,9,30,"2,451","2,393",58
2021,9,40,"2,944","2,833",111
2021,9,50,"3,188","3,010",178
2021,9,60,"2,661","2,399",262
2021,9,70,"1,214","1,077",137
2021,9,80,529,454,75
2021,9,90,44,37,7
2021,9,100,2,2,0
2021,10,총,"18,957","17,991",966
2021,10,0,"1,562","1,536",26
2021,10,10,"1,753","1,716",37
2021,10,20,"2,603","2,521",82
2021,10,30,"2,434","2,379",55
2021,10,40,"2,940","2,830",110
2021,10,50,"3,200","3,027",173
2021,10,60,"2,664","2,406",258
2021,10,70,"1,226","1,081",145
2021,10,80,531,458,73
2021,10,90,44,37,7
2021,10,100,0,0,0
2021,11,총,"18,947","17,989",958
2021,11,0,"1,542","1,517",25
2021,11,10,"1,748","1,713",35
2021,11,20,"2,616","2,535",81
2021,11,30,"2,423","2,372",51
2021,11,40,"2,927","2,819",108
2021,11,50,"3,196","3,020",176
2021,11,60,"2,693","2,436",257
2021,11,70,"1,223","1,078",145
2021,11,80,536,463,73
2021,11,90,43,36,7
2021,11,100,0,0,0
2021,12,총,"18,993","18,045",948
2021,12,0,"1,535","1,512",23
2021,12,10,"1,743","1,708",35
2021,12,20,"2,630","2,550",80
2021,12,30,"2,455","2,411",44
2021,12,40,"2,924","2,817",107
2021,12,50,"3,186","3,005",181
2021,12,60,"2,708","2,456",252
2021,12,70,"1,234","1,087",147
2021,12,80,533,460,73
2021,12,90,45,39,6
2021,12,100,0,0,0
