년도,월,나이,남양주시,와부읍,진접읍,화도읍,화도읍동부출장소,진건읍,오남읍,퇴계원읍,별내면,수동면,조안면,호평동,평내동,금곡동,양정동,다산1동,다산2동,별내동
2020,2,0,"34,543","2,418","4,712","4,723",765,655,"2,258",959,666,212,102,"2,938","1,649",410,82,"5,235","2,358","4,401"
2020,2,10,"39,990","3,947","5,988","6,009",648,"1,071","3,495","1,432","1,096",342,140,"3,514","2,584",709,109,"3,864","1,809","3,233"
2020,2,20,"43,128","4,129","5,529","6,168",776,"1,892","3,379","2,219","1,232",470,235,"2,782","2,047","1,458",303,"4,241","1,863","4,405"
2020,2,30,"44,893","3,114","5,454","6,375","1,088","1,324","2,811","1,826","1,002",397,222,"3,036","1,849","1,239",306,"6,287","2,735","5,828"
2020,2,40,"65,417","5,648","9,038","9,884","1,202","1,910","5,358","2,258","1,710",623,301,"5,314","3,598","1,269",342,"7,285","3,344","6,333"
2020,2,50,"58,343","5,680","8,011","8,601","1,115","2,845","4,814","2,848","1,880","1,037",441,"3,614","2,784","2,049",540,"4,732","2,319","5,033"
2020,2,60,"37,737","3,506","5,014","5,108",861,"1,963","2,604","2,167","1,294",948,434,"1,921","1,455","1,635",603,"3,138","1,421","3,665"
2020,2,70,"19,734","2,246","2,611","2,858",375,872,"1,512",973,756,540,245,"1,198",776,756,245,"1,584",603,"1,584"
2020,2,80,"6,428",736,875,879,138,334,521,326,293,178,88,389,272,275,84,457,173,410
2020,2,90,568,76,81,69,10,30,46,20,31,25,6,32,27,26,5,30,16,38
2020,2,100,59,9,4,10,1,1,1,1,5,6,2,4,0,5,0,1,6,3
2020,3,총,"351,413","31,436","47,198","50,636","7,018","12,903","26,785","15,034","9,930","4,740","2,226","24,804","16,997","9,813","2,623","37,097","17,137","35,036"
2020,3,0,"34,442","2,381","4,665","4,683",781,650,"2,228",954,657,207,103,"2,933","1,629",407,81,"5,253","2,441","4,389"
2020,3,10,"39,991","3,926","5,973","6,007",641,"1,060","3,481","1,429","1,095",331,151,"3,510","2,585",693,109,"3,896","1,839","3,265"
2020,3,20,"43,362","4,150","5,511","6,168",777,"1,904","3,409","2,234","1,227",471,232,"2,826","2,050","1,468",309,"4,292","1,920","4,414"
2020,3,30,"44,804","3,076","5,401","6,329","1,093","1,314","2,808","1,821",987,389,223,"3,015","1,821","1,236",302,"6,315","2,838","5,836"
2020,3,40,"65,340","5,612","8,987","9,853","1,205","1,914","5,308","2,238","1,701",616,302,"5,308","3,580","1,260",340,"7,325","3,448","6,343"
2020,3,50,"58,462","5,669","8,000","8,606","1,127","2,845","4,832","2,826","1,886","1,029",439,"3,635","2,799","2,029",534,"4,774","2,386","5,046"
2020,3,60,"38,082","3,553","5,067","5,157",866,"1,978","2,622","2,191","1,293",948,436,"1,959","1,454","1,652",614,"3,148","1,450","3,694"
2020,3,70,"19,812","2,250","2,624","2,874",380,874,"1,525",984,753,538,242,"1,185",777,757,246,"1,599",610,"1,594"
2020,3,80,"6,487",735,882,876,138,330,527,336,294,181,90,396,277,279,83,463,183,417
2020,3,90,570,75,84,73,9,33,44,20,32,24,5,33,25,27,5,31,16,34
2020,3,100,61,9,4,10,1,1,1,1,5,6,3,4,0,5,0,1,6,4
2020,4,총,"351,837","31,320","47,141","50,680","7,099","12,881","26,844","15,020","9,920","4,721","2,194","24,848","16,987","9,776","2,614","37,309","17,350","35,133"
2020,4,0,"34,344","2,350","4,623","4,659",797,643,"2,225",945,650,207,103,"2,899","1,610",407,77,"5,276","2,470","4,403"
2020,4,10,"39,963","3,899","5,962","5,999",650,"1,051","3,478","1,424","1,098",325,137,"3,518","2,575",679,109,"3,931","1,864","3,264"
2020,4,20,"43,515","4,156","5,524","6,172",785,"1,905","3,433","2,236","1,225",461,235,"2,849","2,078","1,452",312,"4,322","1,942","4,428"
2020,4,30,"44,738","3,070","5,350","6,309","1,104","1,310","2,809","1,822",991,392,217,"3,000","1,818","1,231",300,"6,339","2,845","5,831"
2020,4,40,"65,303","5,554","8,983","9,849","1,226","1,903","5,295","2,216","1,687",610,293,"5,312","3,555","1,253",333,"7,360","3,506","6,368"
2020,4,50,"58,610","5,657","7,994","8,624","1,138","2,835","4,851","2,834","1,882","1,025",436,"3,659","2,818","2,024",529,"4,818","2,429","5,057"
2020,4,60,"38,289","3,556","5,099","5,210",868,"1,989","2,640","2,197","1,295",951,435,"1,974","1,459","1,659",623,"3,158","1,466","3,710"
2020,4,70,"19,894","2,252","2,628","2,892",383,879,"1,535",986,761,535,241,"1,193",773,753,242,"1,607",623,"1,611"
2020,4,80,"6,545",740,890,886,138,333,532,337,294,184,89,407,276,284,84,466,184,421
2020,4,90,576,78,84,70,9,32,45,22,32,25,5,33,25,29,5,31,15,36
2020,4,100,60,8,4,10,1,1,1,1,5,6,3,4,0,5,0,1,6,4
2020,5,총,"351,990","31,226","47,158","50,650","7,144","12,847","26,870","14,986","9,901","4,715","2,199","24,841","16,971","9,795","2,620","37,432","17,436","35,199"
2020,5,0,"34,190","2,324","4,601","4,633",804,631,"2,217",934,641,207,103,"2,900","1,589",407,78,"5,249","2,480","4,392"
2020,5,10,"39,933","3,891","5,962","5,980",654,"1,046","3,462","1,427","1,102",321,137,"3,495","2,582",671,108,"3,949","1,877","3,269"
2020,5,20,"43,591","4,135","5,530","6,183",787,"1,883","3,461","2,211","1,224",465,236,"2,859","2,073","1,449",319,"4,370","1,956","4,450"
2020,5,30,"44,578","3,053","5,323","6,284","1,100","1,317","2,805","1,808",982,395,214,"2,968","1,812","1,235",296,"6,352","2,832","5,802"
2020,5,40,"65,237","5,508","8,980","9,847","1,243","1,883","5,255","2,216","1,681",605,294,"5,304","3,535","1,237",333,"7,384","3,532","6,400"
2020,5,50,"58,801","5,668","8,001","8,605","1,145","2,836","4,888","2,829","1,887","1,023",437,"3,690","2,837","2,046",533,"4,851","2,467","5,058"
2020,5,60,"38,456","3,559","5,131","5,235",879,"2,005","2,656","2,202","1,297",953,436,"1,979","1,463","1,670",621,"3,162","1,467","3,741"
2020,5,70,"19,987","2,253","2,643","2,911",383,873,"1,542",996,754,536,243,"1,202",774,759,243,"1,622",623,"1,630"
2020,5,80,"6,579",750,899,894,138,340,538,339,295,179,91,406,280,286,84,462,181,417
2020,5,90,577,77,84,68,10,31,45,23,33,25,5,34,26,30,5,30,15,36
2020,5,100,61,8,4,10,1,2,1,1,5,6,3,4,0,5,0,1,6,4
2020,6,총,"352,439","31,116","47,124","50,615","7,191","12,826","26,895","14,978","9,880","4,835","2,199","24,817","17,112","9,766","2,622","37,617","17,547","35,299"
2020,6,0,"34,117","2,304","4,573","4,599",809,634,"2,202",931,636,207,102,"2,880","1,601",409,78,"5,278","2,490","4,384"
2020,6,10,"39,996","3,876","5,956","5,974",660,"1,039","3,449","1,425","1,101",410,141,"3,472","2,577",666,106,"3,963","1,883","3,298"
2020,6,20,"43,628","4,127","5,521","6,159",791,"1,871","3,487","2,209","1,221",479,230,"2,877","2,095","1,424",316,"4,399","1,958","4,464"
2020,6,30,"44,527","3,044","5,311","6,259","1,101","1,300","2,782","1,798",969,405,215,"2,953","1,859","1,237",298,"6,384","2,833","5,779"
2020,6,40,"65,224","5,479","8,939","9,808","1,258","1,884","5,260","2,216","1,671",602,295,"5,287","3,539","1,227",328,"7,430","3,569","6,432"
2020,6,50,"58,810","5,639","7,992","8,624","1,159","2,807","4,923","2,803","1,892","1,015",436,"3,703","2,860","2,037",534,"4,849","2,482","5,055"
2020,6,60,"38,828","3,572","5,190","5,287",884,"2,039","2,663","2,225","1,300",967,438,"1,997","1,484","1,690",626,"3,199","1,492","3,775"
2020,6,70,"20,070","2,247","2,655","2,928",382,874,"1,542","1,006",754,539,242,"1,204",789,759,245,"1,625",631,"1,648"
2020,6,80,"6,596",741,901,891,136,346,542,340,299,180,92,406,283,282,86,459,188,424
2020,6,90,581,79,82,76,10,30,44,23,32,25,5,34,25,30,5,30,15,36
2020,6,100,62,8,4,10,1,2,1,2,5,6,3,4,0,5,0,1,6,4
2020,7,총,"353,217","31,022","47,070","50,577","7,228","12,856","26,912","14,932","9,888","4,936","2,200","24,743","17,538","9,734","2,610","37,689","17,626","35,656"
2020,7,0,"34,141","2,298","4,531","4,571",821,631,"2,197",923,644,208,102,"2,859","1,651",403,78,"5,293","2,511","4,420"
2020,7,10,"39,974","3,857","5,935","5,962",650,"1,031","3,450","1,406","1,093",477,133,"3,468","2,601",664,105,"3,938","1,884","3,320"
2020,7,20,"43,738","4,102","5,552","6,145",795,"1,883","3,490","2,203","1,235",498,228,"2,853","2,142","1,406",309,"4,439","1,962","4,496"
2020,7,30,"44,566","3,015","5,280","6,210","1,102","1,298","2,772","1,779",959,416,218,"2,941","1,950","1,239",299,"6,379","2,846","5,863"
2020,7,40,"65,278","5,447","8,900","9,790","1,258","1,895","5,261","2,199","1,663",602,292,"5,260","3,620","1,225",322,"7,439","3,591","6,514"
2020,7,50,"59,034","5,646","8,013","8,664","1,172","2,814","4,925","2,799","1,891","1,010",437,"3,717","2,915","2,013",530,"4,877","2,498","5,113"
2020,7,60,"39,026","3,578","5,200","5,308",893,"2,047","2,690","2,239","1,304",976,445,"1,997","1,525","1,703",631,"3,203","1,491","3,796"
2020,7,70,"20,167","2,246","2,661","2,943",387,880,"1,541","1,015",760,536,244,"1,205",814,759,244,"1,636",633,"1,663"
2020,7,80,"6,644",745,911,899,139,346,542,342,302,181,93,405,291,288,87,454,188,431
2020,7,90,588,80,83,75,10,30,43,25,32,26,5,34,29,29,5,30,16,36
2020,7,100,61,8,4,10,1,1,1,2,5,6,3,4,0,5,0,1,6,4
2020,8,총,"353,465","31,007","47,045","50,573","7,295","12,788","26,894","14,893","9,879","4,940","2,192","24,752","17,690","9,693","2,629","37,720","17,623","35,852"
2020,8,0,"33,973","2,283","4,488","4,536",827,615,"2,181",903,641,207,103,"2,851","1,665",392,81,"5,275","2,497","4,428"
2020,8,10,"39,931","3,852","5,944","5,959",662,"1,026","3,432","1,398","1,091",472,128,"3,452","2,595",655,104,"3,950","1,885","3,326"
2020,8,20,"43,856","4,104","5,551","6,170",805,"1,863","3,507","2,196","1,235",513,229,"2,861","2,186","1,400",314,"4,451","1,956","4,515"
2020,8,30,"44,403","3,024","5,252","6,123","1,111","1,289","2,748","1,768",953,417,213,"2,932","1,994","1,227",306,"6,349","2,813","5,884"
2020,8,40,"65,238","5,392","8,867","9,807","1,255","1,868","5,249","2,188","1,654",596,289,"5,257","3,625","1,220",323,"7,475","3,609","6,564"
2020,8,50,"59,154","5,675","8,017","8,694","1,180","2,809","4,933","2,797","1,896","1,002",438,"3,735","2,934","1,996",521,"4,868","2,504","5,155"
2020,8,60,"39,373","3,595","5,256","5,351",915,"2,063","2,707","2,264","1,305",988,449,"1,998","1,552","1,725",642,"3,226","1,510","3,827"
2020,8,70,"20,192","2,244","2,664","2,944",389,878,"1,543","1,011",760,534,243,"1,217",816,755,243,"1,636",639,"1,676"
2020,8,80,"6,692",749,920,906,140,346,549,340,307,179,91,408,293,290,90,460,187,437
2020,8,90,591,81,82,73,10,30,44,25,32,26,6,37,30,28,5,29,17,36
2020,8,100,62,8,4,10,1,1,1,3,5,6,3,4,0,5,0,1,6,4
2020,9,총,"353,701","30,977","47,032","50,565","7,377","12,757","26,928","14,889","9,878","4,933","2,192","24,761","17,830","9,694","2,605","37,793","17,617","35,873"
2020,9,0,"33,841","2,260","4,464","4,514",833,612,"2,170",894,639,207,103,"2,840","1,677",384,81,"5,262","2,490","4,411"
2020,9,10,"39,874","3,826","5,949","5,943",677,"1,016","3,423","1,388","1,085",458,124,"3,465","2,582",650,102,"3,954","1,897","3,335"
2020,9,20,"43,892","4,115","5,525","6,187",811,"1,850","3,503","2,210","1,238",522,232,"2,865","2,232","1,403",310,"4,467","1,937","4,485"
2020,9,30,"44,319","3,011","5,249","6,084","1,120","1,290","2,754","1,769",952,409,216,"2,886","2,035","1,211",306,"6,335","2,802","5,890"
2020,9,40,"65,174","5,380","8,839","9,794","1,275","1,856","5,245","2,174","1,644",596,285,"5,239","3,630","1,229",314,"7,509","3,611","6,554"
2020,9,50,"59,342","5,697","8,043","8,718","1,196","2,792","4,962","2,793","1,906",998,436,"3,775","2,964","1,980",514,"4,890","2,506","5,172"
2020,9,60,"39,604","3,589","5,292","5,385",918,"2,087","2,733","2,271","1,301",996,450,"2,008","1,560","1,746",645,"3,243","1,524","3,856"
2020,9,70,"20,234","2,253","2,658","2,936",395,873,"1,537","1,022",766,536,246,"1,230",819,766,240,"1,635",640,"1,682"
2020,9,80,"6,765",755,928,918,141,350,556,340,312,180,91,411,302,291,88,468,187,447
2020,9,90,593,83,81,76,10,30,44,24,30,25,6,38,29,29,5,29,17,37
2020,9,100,63,8,4,10,1,1,1,4,5,6,3,4,0,5,0,1,6,4
2020,10,총,"354,477","30,890","47,031","51,325","7,389","12,704","26,925","14,900","9,863","4,914","2,190","24,722","17,941","9,659","2,615","37,838","17,669","35,902"
2020,10,0,"33,683","2,212","4,423","4,557",835,605,"2,156",890,633,204,105,"2,816","1,672",378,81,"5,229","2,487","4,400"
2020,10,10,"39,893","3,832","5,963","5,979",667,"1,005","3,400","1,379","1,078",450,126,"3,469","2,599",640,101,"3,962","1,908","3,335"
2020,10,20,"44,111","4,121","5,542","6,306",830,"1,838","3,539","2,200","1,241",520,225,"2,861","2,237","1,401",312,"4,488","1,946","4,504"
2020,10,30,"44,221","2,983","5,204","6,212","1,124","1,274","2,744","1,774",948,407,216,"2,856","2,069","1,195",303,"6,314","2,768","5,830"
2020,10,40,"65,241","5,337","8,839","9,892","1,264","1,835","5,213","2,169","1,630",591,282,"5,215","3,658","1,222",319,"7,536","3,648","6,591"
2020,10,50,"59,529","5,706","8,033","8,849","1,195","2,791","4,991","2,797","1,910",986,436,"3,786","2,965","1,964",524,"4,902","2,517","5,177"
2020,10,60,"39,984","3,600","5,344","5,530",927,"2,103","2,747","2,289","1,306","1,004",451,"2,024","1,585","1,760",644,"3,258","1,537","3,875"
2020,10,70,"20,293","2,245","2,661","2,974",392,874,"1,530","1,027",764,542,247,"1,228",823,765,237,"1,643",644,"1,697"
2020,10,80,"6,865",761,935,938,144,348,561,348,318,180,93,425,304,300,89,476,192,453
2020,10,90,596,85,83,78,10,30,43,24,30,24,6,38,29,29,5,29,17,36
2020,10,100,61,8,4,10,1,1,1,3,5,6,3,4,0,5,0,1,5,4
2020,11,총,"355,027","30,873","46,992","51,854","7,392","12,660","26,936","14,877","9,878","4,855","2,187","24,759","17,985","9,678","2,612","37,883","17,675","35,931"
2020,11,0,"33,549","2,203","4,361","4,605",838,598,"2,119",883,633,197,104,"2,807","1,671",376,80,"5,219","2,479","4,376"
2020,11,10,"39,803","3,822","5,965","5,990",658,989,"3,381","1,368","1,076",386,127,"3,472","2,600",645,103,"3,976","1,904","3,341"
2020,11,20,"44,261","4,133","5,573","6,368",835,"1,837","3,568","2,206","1,242",516,225,"2,873","2,249","1,392",316,"4,483","1,955","4,490"
2020,11,30,"44,220","2,988","5,177","6,285","1,120","1,275","2,740","1,770",953,409,217,"2,843","2,084","1,200",301,"6,276","2,762","5,820"
2020,11,40,"65,291","5,308","8,806","9,989","1,277","1,820","5,188","2,163","1,629",587,281,"5,220","3,642","1,217",318,"7,583","3,663","6,600"
2020,11,50,"59,706","5,705","8,041","8,938","1,194","2,780","5,017","2,781","1,915",995,432,"3,801","2,992","1,959",526,"4,922","2,509","5,199"
2020,11,60,"40,260","3,618","5,373","5,638",923,"2,109","2,774","2,305","1,308","1,010",454,"2,042","1,589","1,778",637,"3,260","1,546","3,896"
2020,11,70,"20,383","2,243","2,675","3,007",390,874,"1,537","1,023",768,547,246,"1,232",827,774,238,"1,650",643,"1,709"
2020,11,80,"6,901",761,938,949,146,348,568,351,318,180,92,425,302,303,88,481,191,460
2020,11,90,594,84,79,76,10,29,43,24,31,22,6,41,29,29,5,32,18,36
2020,11,100,59,8,4,9,1,1,1,3,5,6,3,3,0,5,0,1,5,4
2020,12,총,"355,197","30,823","47,002","52,069","7,421","12,634","26,960","14,847","9,893","4,754","2,175","24,792","18,041","9,667","2,613","37,865","17,680","35,961"
2020,12,0,"33,359","2,170","4,332","4,591",837,594,"2,089",878,622,198,103,"2,798","1,666",374,83,"5,206","2,456","4,362"
2020,12,10,"39,721","3,810","5,944","6,008",658,986,"3,375","1,361","1,081",320,118,"3,471","2,590",635,101,"3,996","1,924","3,343"
2020,12,20,"44,355","4,164","5,597","6,397",828,"1,842","3,587","2,209","1,245",477,229,"2,900","2,260","1,390",315,"4,475","1,949","4,491"
2020,12,30,"44,103","2,970","5,166","6,295","1,135","1,260","2,731","1,767",944,411,225,"2,832","2,109","1,202",309,"6,204","2,733","5,810"
2020,12,40,"65,318","5,301","8,799","10,012","1,288","1,801","5,186","2,160","1,638",588,276,"5,207","3,643","1,221",316,"7,602","3,675","6,605"
2020,12,50,"59,769","5,681","8,042","9,014","1,185","2,772","5,039","2,769","1,917",990,423,"3,822","2,992","1,949",518,"4,941","2,517","5,198"
2020,12,60,"40,503","3,643","5,423","5,669",938,"2,120","2,805","2,294","1,318","1,006",458,"2,045","1,619","1,788",636,"3,265","1,548","3,928"
2020,12,70,"20,449","2,231","2,667","3,034",393,879,"1,531","1,024",771,552,242,"1,247",830,766,241,"1,654",662,"1,725"
2020,12,80,"6,954",765,947,960,148,350,569,358,319,182,92,426,302,307,89,488,192,460
2020,12,90,607,80,81,80,10,29,47,24,33,24,6,41,30,30,5,33,19,35
2020,12,100,59,8,4,9,1,1,1,3,5,6,3,3,0,5,0,1,5,4
2021,1,총,"355,980","30,793","46,964","52,207","7,466","12,589","27,010","14,838","9,881","4,741","2,177","24,919","18,058","9,677","2,614","38,313","17,689","36,044"
2021,1,0,"33,225","2,138","4,283","4,576",840,587,"2,071",862,623,193,101,"2,804","1,648",372,83,"5,233","2,460","4,351"
2021,1,10,"39,755","3,802","5,919","6,012",673,973,"3,370","1,353","1,059",309,125,"3,470","2,582",631,101,"4,096","1,928","3,352"
2021,1,20,"44,447","4,154","5,594","6,426",827,"1,827","3,620","2,203","1,254",473,231,"2,927","2,273","1,397",314,"4,487","1,947","4,493"
2021,1,30,"44,020","2,969","5,136","6,258","1,130","1,264","2,733","1,775",936,412,223,"2,841","2,114","1,198",308,"6,245","2,693","5,785"
2021,1,40,"65,418","5,288","8,765","10,033","1,290","1,791","5,149","2,147","1,644",585,274,"5,233","3,622","1,210",316,"7,744","3,697","6,630"
2021,1,50,"59,953","5,667","8,059","9,062","1,197","2,749","5,080","2,760","1,891",988,421,"3,842","3,015","1,944",510,"5,035","2,513","5,220"
2021,1,60,"40,919","3,675","5,487","5,725",946,"2,139","2,831","2,321","1,339","1,016",458,"2,072","1,634","1,816",643,"3,264","1,575","3,978"
2021,1,70,"20,521","2,235","2,673","3,039",402,882,"1,533","1,030",769,548,243,"1,250",832,766,244,"1,684",657,"1,734"
2021,1,80,"7,044",776,960,984,151,348,574,358,328,186,92,435,310,305,89,492,195,461
2021,1,90,617,81,84,83,9,28,47,26,33,25,6,42,28,32,6,32,19,36
2021,1,100,61,8,4,9,1,1,2,3,5,6,3,3,0,6,0,1,5,4
2021,2,총,"357,710","30,628","46,978","52,149","7,484","12,555","26,968","14,810","9,891","4,717","2,183","26,458","18,012","9,650","2,582","38,937","17,638","36,070"
2021,2,0,"33,395","2,097","4,250","4,518",828,571,"2,055",863,620,186,103,"3,139","1,628",367,80,"5,336","2,437","4,317"
2021,2,10,"39,894","3,756","5,929","6,001",691,955,"3,356","1,342","1,051",301,126,"3,608","2,558",630,94,"4,176","1,950","3,370"
2021,2,20,"44,447","4,125","5,602","6,417",826,"1,826","3,609","2,183","1,251",469,229,"3,006","2,288","1,379",311,"4,530","1,922","4,474"
2021,2,30,"44,136","2,952","5,100","6,181","1,106","1,264","2,732","1,764",946,412,221,"3,209","2,109","1,192",302,"6,283","2,635","5,728"
2021,2,40,"65,789","5,241","8,751","10,023","1,311","1,769","5,099","2,133","1,641",580,277,"5,535","3,579","1,203",308,"7,956","3,695","6,688"
2021,2,50,"60,325","5,647","8,088","9,097","1,202","2,750","5,104","2,761","1,889",983,424,"4,003","3,024","1,939",502,"5,132","2,534","5,246"
2021,2,60,"41,281","3,711","5,519","5,788",954,"2,148","2,846","2,333","1,347","1,015",458,"2,168","1,646","1,826",646,"3,303","1,588","3,985"
2021,2,70,"20,592","2,217","2,674","3,026",404,889,"1,537","1,037",776,550,243,"1,298",834,770,243,"1,678",657,"1,759"
2021,2,80,"7,168",793,979,"1,003",152,354,582,363,332,189,93,448,317,306,90,509,196,462
2021,2,90,621,81,81,86,9,28,46,28,33,26,6,41,29,32,6,33,19,37
2021,2,100,62,8,5,9,1,1,2,3,5,6,3,3,0,6,0,1,5,4
2021,3,총,"358,682","30,474","46,857","52,120","7,514","12,487","26,946","14,712","9,866","4,696","2,165","27,353","18,004","9,582","2,564","39,391","17,590","36,361"
2021,3,0,"33,388","2,070","4,228","4,487",828,554,"2,033",852,613,184,99,"3,241","1,630",359,77,"5,368","2,437","4,328"
2021,3,10,"39,900","3,752","5,885","5,986",698,949,"3,362","1,332","1,041",297,118,"3,664","2,534",624,93,"4,227","1,937","3,401"
2021,3,20,"44,587","4,116","5,625","6,421",847,"1,808","3,611","2,153","1,258",471,228,"3,092","2,304","1,364",311,"4,581","1,912","4,485"
2021,3,30,"44,317","2,935","5,035","6,126","1,096","1,264","2,718","1,756",935,407,222,"3,427","2,111","1,191",298,"6,371","2,620","5,805"
2021,3,40,"65,762","5,174","8,681","9,992","1,323","1,744","5,050","2,126","1,637",570,269,"5,676","3,578","1,188",299,"8,046","3,686","6,723"
2021,3,50,"60,460","5,618","8,084","9,112","1,192","2,712","5,134","2,719","1,884",982,426,"4,141","3,009","1,924",508,"5,211","2,522","5,282"
2021,3,60,"41,783","3,725","5,579","5,863",966,"2,181","2,879","2,340","1,351","1,020",457,"2,281","1,660","1,834",642,"3,353","1,601","4,051"
2021,3,70,"20,602","2,210","2,676","3,024",401,890,"1,522","1,037",777,551,245,"1,331",836,766,236,"1,685",651,"1,764"
2021,3,80,"7,230",794,979,"1,015",153,359,591,364,331,190,92,455,316,302,93,516,204,476
2021,3,90,623,77,84,91,9,26,45,30,34,22,6,44,26,29,7,32,19,42
2021,3,100,30,3,1,3,1,0,1,3,5,2,3,1,0,1,0,1,1,4
2021,4,총,"359,354","30,398","46,860","52,149","7,518","12,469","26,943","14,707","9,855","4,714","2,170","27,728","18,031","9,576","2,564","39,530","17,546","36,596"
2021,4,0,"33,311","2,048","4,196","4,478",837,551,"2,018",843,616,188,102,"3,266","1,634",351,75,"5,362","2,421","4,325"
2021,4,10,"39,893","3,729","5,879","5,986",698,933,"3,355","1,330","1,031",300,116,"3,681","2,522",617,97,"4,237","1,947","3,435"
2021,4,20,"44,665","4,110","5,626","6,404",845,"1,794","3,613","2,148","1,268",472,230,"3,168","2,309","1,371",307,"4,602","1,893","4,505"
2021,4,30,"44,347","2,930","5,005","6,093","1,089","1,271","2,722","1,756",930,412,219,"3,515","2,127","1,180",296,"6,383","2,576","5,843"
2021,4,40,"65,776","5,131","8,662","9,997","1,329","1,743","5,022","2,123","1,623",572,266,"5,723","3,557","1,185",298,"8,090","3,688","6,767"
2021,4,50,"60,689","5,609","8,106","9,149","1,181","2,700","5,152","2,722","1,893",982,426,"4,199","3,028","1,934",511,"5,249","2,541","5,307"
2021,4,60,"42,066","3,744","5,630","5,890",979,"2,194","2,893","2,354","1,350","1,025",464,"2,332","1,665","1,846",640,"3,363","1,604","4,093"
2021,4,70,"20,653","2,207","2,682","3,027",397,898,"1,526","1,040",771,550,241,"1,336",843,767,241,"1,693",650,"1,784"
2021,4,80,"7,300",808,989,"1,033",151,359,597,360,335,190,97,462,319,296,92,516,205,491
2021,4,90,625,79,84,89,11,26,44,29,33,21,6,45,27,28,7,34,20,42
2021,4,100,29,3,1,3,1,0,1,2,5,2,3,1,0,1,0,1,1,4
2021,5,총,"360,076","30,372","46,847","52,213","7,502","12,428","27,057","14,695","9,873","4,748","2,156","27,928","18,120","9,572","2,564","39,691","17,514","36,796"
2021,5,0,"33,192","2,022","4,168","4,440",838,547,"2,016",830,613,190,100,"3,266","1,635",349,79,"5,357","2,410","4,332"
2021,5,10,"39,994","3,732","5,891","5,995",693,925,"3,360","1,329","1,017",331,114,"3,704","2,540",610,97,"4,254","1,956","3,446"
2021,5,20,"44,742","4,118","5,629","6,421",846,"1,784","3,637","2,142","1,280",468,227,"3,188","2,322","1,370",299,"4,624","1,882","4,505"
2021,5,30,"44,308","2,905","4,980","6,062","1,085","1,275","2,733","1,741",931,414,212,"3,549","2,140","1,178",297,"6,383","2,532","5,891"
2021,5,40,"65,732","5,099","8,624","9,986","1,307","1,717","5,030","2,123","1,622",572,266,"5,751","3,547","1,172",298,"8,150","3,674","6,794"
2021,5,50,"61,004","5,627","8,110","9,195","1,194","2,685","5,203","2,729","1,902",983,421,"4,244","3,062","1,948",510,"5,275","2,555","5,361"
2021,5,60,"42,396","3,755","5,684","5,938",977,"2,208","2,914","2,369","1,363","1,025",469,"2,368","1,677","1,855",642,"3,406","1,622","4,124"
2021,5,70,"20,681","2,218","2,677","3,034",397,897,"1,518","1,037",770,550,239,"1,342",850,762,244,"1,692",653,"1,801"
2021,5,80,"7,373",815,"1,001","1,048",151,363,601,365,336,194,99,470,320,298,92,514,209,497
2021,5,90,623,77,82,91,13,27,44,28,34,19,6,44,27,29,6,35,20,41
2021,5,100,31,4,1,3,1,0,1,2,5,2,3,2,0,1,0,1,1,4
2021,6,총,"360,473","30,329","46,837","52,219","7,499","12,419","27,122","14,674","9,891","4,800","2,161","28,020","18,103","9,581","2,569","39,752","17,506","36,991"
