년도,월,나이,대구광역시 수성구,대구광역시 수성구 범어1동,대구광역시 수성구 범어2동,대구광역시 수성구 범어3동,대구광역시 수성구 범어4동,대구광역시 수성구 만촌1동,대구광역시 수성구 만촌2동,대구광역시 수성구 만촌3동,대구광역시 수성구 수성1가동,대구광역시 수성구 수성2.3가동,대구광역시 수성구 수성4가동,대구광역시 수성구 황금1동,대구광역시 수성구 황금2동,대구광역시 수성구 중동,대구광역시 수성구 상동,대구광역시 수성구 파동,대구광역시 수성구 두산동,대구광역시 수성구 지산1동,대구광역시 수성구 지산2동,대구광역시 수성구 범물1동,대구광역시 수성구 범물2동,대구광역시 수성구 고산1동,대구광역시 수성구 고산2동,대구광역시 수성구 고산3동
2020,7,50,"36,620","1,438","1,286","1,272","1,441","1,994","1,063","1,813","1,542",918,"1,382","2,097",962,"1,042","1,427",960,"1,327","1,981","1,670","1,014","1,348","2,866","2,527","3,250"
2020,7,60,"24,009",816,835,601,602,"1,399",712,782,993,637,958,"1,112",693,802,"1,215",915,846,"1,534","1,346","1,078","1,104","1,631","1,643","1,755"
2020,7,70,"12,490",485,457,310,347,783,393,430,679,368,534,522,422,448,677,642,368,861,622,579,481,658,730,694
2020,7,80,"4,939",225,162,125,137,328,151,164,321,128,243,193,162,189,231,199,124,305,282,199,134,282,313,342
2020,7,90,417,18,12,14,12,24,7,13,29,7,32,18,12,20,16,16,10,27,28,21,12,24,30,15
2020,7,100,26,1,0,3,1,0,1,1,1,1,1,3,0,0,0,1,1,0,1,1,1,2,2,4
2020,8,총,"206,555","7,884","7,622","7,887","9,297","11,459","5,805","10,766","8,779","5,971","7,199","11,761","5,413","5,896","8,209","6,319","7,040","10,892","9,167","5,406","7,613","15,446","13,995","16,729"
2020,8,0,"15,610",690,519,979,828,984,287,823,653,612,451,"1,043",289,402,571,536,487,561,585,192,550,"1,178","1,017","1,373"
2020,8,10,"27,454","1,037",952,"1,001","2,211","1,353",684,"2,611","1,070",886,725,"2,178",440,419,675,563,587,"1,116",970,373,962,"2,484","1,869","2,288"
2020,8,20,"30,104","1,103","1,197","1,081","1,035","1,653","1,057","1,489","1,194",669,"1,116","1,492",867,800,"1,101",708,"1,226","1,784","1,367",763,"1,069","2,412","2,214","2,707"
2020,8,30,"21,161",723,966,962,572,"1,178",653,643,821,542,752,922,700,812,"1,071",807,944,"1,229",971,511,768,"1,390","1,512","1,712"
2020,8,40,"33,573","1,342","1,219","1,532","2,102","1,751",804,"1,990","1,478","1,191",988,"2,184",875,970,"1,212",967,"1,108","1,488","1,321",668,"1,194","2,510","2,123","2,556"
2020,8,50,"36,611","1,445","1,283","1,277","1,447","2,000","1,054","1,813","1,550",931,"1,388","2,097",958,"1,029","1,426",966,"1,322","1,963","1,671","1,004","1,331","2,861","2,525","3,270"
2020,8,60,"24,147",818,850,603,603,"1,396",718,789,987,637,965,"1,113",690,804,"1,233",917,861,"1,545","1,351","1,089","1,116","1,641","1,661","1,760"
2020,8,70,"12,479",483,459,310,351,785,389,432,674,360,533,517,417,452,673,637,370,871,620,581,478,658,727,702
2020,8,80,"4,975",224,165,123,135,334,152,161,323,135,248,195,165,188,232,202,124,309,282,203,133,285,315,342
2020,8,90,415,18,12,16,12,25,6,14,28,7,32,17,12,20,15,15,10,26,28,21,11,25,30,15
2020,8,100,26,1,0,3,1,0,1,1,1,1,1,3,0,0,0,1,1,0,1,1,1,2,2,4
2020,9,총,"206,262","7,863","7,693","7,892","9,303","11,438","5,796","10,771","8,763","5,961","7,188","11,752","5,399","5,849","8,205","6,270","7,005","10,874","9,152","5,377","7,611","15,420","13,970","16,710"
2020,9,0,"15,496",697,533,982,813,983,283,814,649,605,439,"1,043",284,402,564,524,473,560,590,186,547,"1,168","1,007","1,350"
2020,9,10,"27,389","1,026",961,"1,001","2,230","1,341",679,"2,615","1,050",885,725,"2,173",437,406,687,558,586,"1,112",960,363,970,"2,464","1,863","2,297"
2020,9,20,"30,078","1,089","1,193","1,075","1,040","1,648","1,073","1,494","1,197",671,"1,130","1,489",859,793,"1,089",707,"1,218","1,783","1,384",759,"1,063","2,424","2,210","2,690"
2020,9,30,"21,045",725,987,952,571,"1,175",650,643,823,538,741,910,693,819,"1,071",779,935,"1,223",963,504,760,"1,378","1,505","1,700"
2020,9,40,"33,452","1,335","1,229","1,530","2,095","1,735",797,"1,999","1,479","1,173",979,"2,182",883,959,"1,207",962,"1,106","1,466","1,302",664,"1,195","2,506","2,117","2,552"
2020,9,50,"36,535","1,440","1,286","1,286","1,447","1,998","1,045","1,805","1,545",942,"1,382","2,102",956,"1,018","1,416",960,"1,320","1,969","1,665","1,002","1,325","2,856","2,512","3,258"
2020,9,60,"24,322",828,862,608,610,"1,409",724,788,993,639,970,"1,122",692,802,"1,244",925,865,"1,556","1,352","1,090","1,128","1,648","1,675","1,792"
2020,9,70,"12,498",481,464,315,351,789,385,434,671,363,542,517,416,442,680,636,370,868,619,585,478,660,727,705
2020,9,80,"4,996",223,166,123,133,334,153,164,325,138,248,194,165,188,232,203,120,309,287,203,132,288,323,345
2020,9,90,424,18,12,17,11,26,6,14,30,6,31,17,14,20,15,15,11,28,29,20,12,26,29,17
2020,9,100,27,1,0,3,2,0,1,1,1,1,1,3,0,0,0,1,1,0,1,1,1,2,2,4
2020,10,총,"206,015","7,849","7,746","7,902","9,333","11,378","5,781","10,772","8,742","5,935","7,159","11,737","5,378","5,756","8,197","6,253","6,970","10,831","9,115","5,363","7,834","15,391","13,931","16,662"
2020,10,0,"15,382",687,541,992,800,962,282,808,632,598,433,"1,042",276,394,569,511,468,557,585,182,569,"1,157","1,002","1,335"
2020,10,10,"27,365","1,032",976,996,"2,259","1,335",672,"2,628","1,060",880,716,"2,173",433,397,680,556,580,"1,101",952,357,992,"2,458","1,849","2,283"
2020,10,20,"30,042","1,087","1,185","1,072","1,035","1,645","1,070","1,483","1,194",673,"1,124","1,483",866,783,"1,099",707,"1,207","1,783","1,378",751,"1,106","2,413","2,212","2,686"
2020,10,30,"20,941",716,986,946,571,"1,163",655,634,818,531,742,903,690,804,"1,065",774,938,"1,218",960,500,784,"1,374","1,487","1,682"
2020,10,40,"33,397","1,332","1,257","1,532","2,104","1,708",788,"2,020","1,465","1,164",968,"2,184",876,950,"1,202",970,"1,092","1,454","1,298",662,"1,231","2,500","2,104","2,536"
2020,10,50,"36,472","1,435","1,289","1,294","1,451","1,991","1,041","1,805","1,543",937,"1,373","2,092",957,"1,009","1,402",953,"1,320","1,964","1,646",992,"1,378","2,848","2,504","3,248"
2020,10,60,"24,436",830,877,615,619,"1,418",727,787,991,643,987,"1,121",684,783,"1,245",932,861,"1,551","1,356","1,098","1,147","1,662","1,685","1,817"
2020,10,70,"12,498",484,457,314,346,790,386,428,677,360,538,524,418,433,681,631,371,865,621,593,482,661,735,703
2020,10,80,"5,027",227,167,121,134,341,153,164,330,142,244,196,164,184,238,203,122,310,288,206,133,290,322,348
2020,10,90,428,18,11,17,12,25,6,14,31,6,33,16,14,19,16,15,10,28,30,21,11,26,29,20
2020,10,100,27,1,0,3,2,0,1,1,1,1,1,3,0,0,0,1,1,0,1,1,1,2,2,4
2020,11,총,"205,632","7,821","7,754","7,902","9,297","11,337","5,762","10,774","8,714","5,924","7,124","11,733","5,370","5,679","8,174","6,222","6,931","10,774","9,066","5,321","8,119","15,346","13,885","16,603"
2020,11,0,"15,284",674,549,985,795,946,269,796,633,588,433,"1,051",270,395,562,504,457,541,585,175,613,"1,142",996,"1,325"
2020,11,10,"27,292","1,026",971,997,"2,243","1,340",664,"2,644","1,048",875,709,"2,178",431,391,680,555,581,"1,095",942,357,"1,009","2,451","1,834","2,271"
2020,11,20,"29,885","1,085","1,185","1,077","1,036","1,632","1,074","1,475","1,178",681,"1,109","1,473",871,758,"1,084",697,"1,193","1,776","1,367",730,"1,129","2,416","2,208","2,651"
2020,11,30,"20,890",722,991,939,577,"1,141",656,635,811,536,729,898,698,799,"1,062",763,913,"1,202",947,497,859,"1,351","1,475","1,689"
2020,11,40,"33,288","1,330","1,246","1,524","2,079","1,710",783,"2,003","1,457","1,153",968,"2,175",869,948,"1,210",961,"1,098","1,446","1,292",649,"1,272","2,492","2,096","2,527"
2020,11,50,"36,467","1,435","1,296","1,308","1,455","1,990","1,041","1,824","1,548",937,"1,362","2,097",957,995,"1,393",947,"1,326","1,943","1,624",991,"1,425","2,834","2,502","3,237"
2020,11,60,"24,502",826,886,616,617,"1,415",720,787,996,647,996,"1,122",680,776,"1,243",938,855,"1,563","1,361","1,103","1,174","1,673","1,686","1,822"
2020,11,70,"12,517",476,456,313,347,788,394,429,679,360,540,517,416,420,685,637,377,864,629,594,491,668,735,702
2020,11,80,"5,047",227,163,123,134,349,154,166,333,138,244,203,164,179,239,203,120,316,288,202,135,290,323,354
2020,11,90,433,19,11,17,12,26,6,14,30,8,33,16,14,18,16,16,10,28,30,22,11,27,28,21
2020,11,100,27,1,0,3,2,0,1,1,1,1,1,3,0,0,0,1,1,0,1,1,1,2,2,4
2020,12,총,"205,293","7,813","7,783","7,870","9,279","11,346","5,736","10,734","8,674","5,915","7,101","11,720","5,353","5,593","8,193","6,188","6,959","10,747","9,039","5,313","8,315","15,326","13,806","16,490"
2020,12,0,"15,320",673,568,977,808,938,272,795,618,588,426,"1,066",269,388,562,495,468,528,582,171,651,"1,162","1,006","1,309"
2020,12,10,"27,237","1,033",963,986,"2,243","1,333",660,"2,636","1,043",877,714,"2,168",435,384,689,553,590,"1,090",933,359,"1,035","2,444","1,815","2,254"
2020,12,20,"29,696","1,093","1,187","1,076","1,003","1,632","1,069","1,473","1,165",672,"1,107","1,460",859,744,"1,079",693,"1,184","1,778","1,364",728,"1,147","2,385","2,189","2,609"
2020,12,30,"20,819",715,991,939,574,"1,141",652,625,798,528,719,895,700,788,"1,063",769,922,"1,192",947,495,876,"1,364","1,459","1,667"
2020,12,40,"33,201","1,334","1,252","1,509","2,071","1,706",780,"1,988","1,461","1,159",961,"2,175",864,933,"1,214",948,"1,093","1,445","1,286",636,"1,318","2,484","2,087","2,497"
2020,12,50,"36,383","1,417","1,296","1,321","1,469","1,992","1,031","1,826","1,546",944,"1,356","2,084",952,978,"1,384",937,"1,338","1,930","1,615",989,"1,454","2,818","2,479","3,227"
2020,12,60,"24,599",826,889,608,618,"1,433",721,785,999,644,997,"1,130",681,770,"1,263",940,854,"1,575","1,359","1,111","1,192","1,682","1,685","1,837"
2020,12,70,"12,514",472,462,310,347,793,386,425,683,357,537,518,417,415,685,634,376,859,636,591,495,674,732,710
2020,12,80,"5,067",231,163,124,133,351,158,166,330,137,251,204,162,175,240,202,122,322,287,210,137,283,324,355
2020,12,90,431,18,12,17,11,27,6,14,30,9,32,17,14,18,14,16,11,28,29,22,9,28,28,21
2020,12,100,26,1,0,3,2,0,1,1,1,0,1,3,0,0,0,1,1,0,1,1,1,2,2,4
2021,1,총,"205,210","7,770","7,776","7,876","9,536","11,329","5,737","10,670","8,639","5,919","7,086","11,672","5,334","5,574","8,216","6,209","6,978","10,698","9,039","5,314","8,344","15,268","13,774","16,452"
2021,1,0,"15,251",663,571,968,847,924,265,798,600,584,430,"1,065",265,387,555,493,461,522,574,172,653,"1,156","1,005","1,293"
2021,1,10,"27,108","1,022",950,991,"2,323","1,324",664,"2,600","1,024",871,702,"2,137",430,388,695,552,591,"1,069",937,350,"1,037","2,416","1,781","2,254"
2021,1,20,"29,705","1,091","1,185","1,080","1,021","1,630","1,067","1,469","1,169",671,"1,101","1,458",865,737,"1,089",696,"1,182","1,777","1,356",737,"1,154","2,373","2,209","2,588"
2021,1,30,"20,769",703,988,940,580,"1,143",646,622,789,530,718,899,685,791,"1,068",764,924,"1,175",941,495,877,"1,364","1,452","1,675"
2021,1,40,"33,142","1,324","1,262","1,510","2,141","1,695",786,"1,974","1,454","1,155",951,"2,156",859,913,"1,205",953,"1,105","1,436","1,288",631,"1,322","2,463","2,067","2,492"
2021,1,50,"36,374","1,407","1,289","1,327","1,504","2,003","1,033","1,826","1,550",953,"1,356","2,073",951,976,"1,391",946,"1,338","1,932","1,622",984,"1,443","2,812","2,466","3,192"
2021,1,60,"24,732",837,891,606,620,"1,432",728,781,"1,006",646,"1,004","1,141",687,775,"1,271",948,857,"1,577","1,362","1,121","1,204","1,685","1,696","1,857"
2021,1,70,"12,562",474,461,311,356,792,381,423,689,362,537,517,418,412,686,631,381,857,642,592,506,684,735,715
2021,1,80,"5,104",230,168,124,131,359,160,163,329,137,253,206,159,176,241,205,126,326,285,210,138,285,333,360
2021,1,90,437,18,11,16,11,27,6,13,28,10,33,17,15,19,15,20,12,27,31,21,9,28,28,22
2021,1,100,26,1,0,3,2,0,1,1,1,0,1,3,0,0,0,1,1,0,1,1,1,2,2,4
2021,2,총,"205,155","7,728","7,788","7,881","9,751","11,329","5,671","10,632","8,583","5,884","7,078","11,642","5,343","5,577","8,192","6,221","6,980","10,709","9,025","5,293","8,384","15,300","13,761","16,403"
2021,2,0,"15,337",673,576,980,897,940,255,808,595,567,423,"1,079",265,387,548,485,460,517,569,174,658,"1,169","1,024","1,288"
2021,2,10,"26,966","1,012",952,988,"2,347","1,314",648,"2,569","1,011",864,699,"2,114",427,381,693,555,591,"1,066",935,343,"1,041","2,418","1,764","2,234"
2021,2,20,"29,488","1,065","1,167","1,076","1,035","1,615","1,041","1,454","1,159",657,"1,108","1,453",874,743,"1,087",707,"1,159","1,776","1,334",729,"1,152","2,346","2,182","2,569"
2021,2,30,"20,780",716,999,935,600,"1,136",642,619,769,523,712,891,682,789,"1,051",755,934,"1,181",953,487,892,"1,376","1,464","1,674"
2021,2,40,"33,142","1,319","1,259","1,520","2,222","1,695",776,"1,965","1,447","1,154",946,"2,137",861,907,"1,207",944,"1,115","1,434","1,272",622,"1,331","2,475","2,064","2,470"
2021,2,50,"36,359","1,387","1,299","1,317","1,522","1,999","1,033","1,824","1,551",954,"1,359","2,080",951,993,"1,390",966,"1,336","1,930","1,627",989,"1,433","2,798","2,445","3,176"
2021,2,60,"24,863",837,894,614,625,"1,452",729,785,"1,010",650,"1,003","1,146",688,773,"1,266",950,859,"1,582","1,367","1,113","1,213","1,709","1,718","1,880"
2021,2,70,"12,591",468,462,309,358,794,381,426,687,363,541,513,421,409,685,629,381,866,647,601,512,686,735,717
2021,2,80,"5,156",231,169,124,132,356,159,165,325,142,253,210,160,177,250,208,131,328,291,213,141,293,333,365
2021,2,90,448,19,11,15,11,28,6,16,28,10,33,17,14,18,15,21,13,29,29,21,10,28,30,26
2021,2,100,25,1,0,3,2,0,1,1,1,0,1,2,0,0,0,1,1,0,1,1,1,2,2,4
