년도,월,나이,부산광역시 사상구,부산광역시 사상구 삼락동,부산광역시 사상구 모라제1동,부산광역시 사상구 모라제3동,부산광역시 사상구 덕포제1동,부산광역시 사상구 덕포제2동,부산광역시 사상구 괘법동,부산광역시 사상구 감전동,부산광역시 사상구 주례제1동,부산광역시 사상구 주례제2동,부산광역시 사상구 주례제3동,부산광역시 사상구 학장동,부산광역시 사상구 엄궁동
2020,9,90,649,21,77,77,31,44,47,52,46,65,45,85,59
2020,9,100,71,5,16,4,4,2,14,8,3,7,0,6,2
2020,10,총,"213,747","6,074","28,353","11,138","8,951","13,299","21,996","13,889","15,679","23,551","13,434","29,225","28,158"
2020,10,0,"12,649",231,"1,637",315,510,742,"1,104",531,983,"1,515",761,"1,967","2,353"
2020,10,10,"15,292",314,"2,040",501,660,963,"1,082",721,"1,147","1,834","1,072","2,307","2,651"
2020,10,20,"29,117",653,"3,673",901,"1,076","1,763","3,980","1,730","2,179","4,113","1,823","3,524","3,702"
2020,10,30,"25,523",605,"3,313",856,"1,019","1,487","3,196","1,640","1,874","3,055","1,509","3,528","3,441"
2020,10,40,"29,662",747,"3,813","1,316","1,233","1,738","2,741","1,817","2,031","3,465","1,832","4,356","4,573"
2020,10,50,"41,558","1,331","5,593","2,218","1,835","2,781","4,305","2,884","3,197","3,992","2,504","5,471","5,447"
2020,10,60,"36,415","1,259","5,132","2,539","1,480","2,435","3,568","2,719","2,700","3,300","2,347","5,044","3,892"
2020,10,70,"17,019",689,"2,292","1,676",817,"1,023","1,538","1,371","1,140","1,627","1,106","2,199","1,541"
2020,10,80,"5,786",218,763,732,287,322,419,417,378,578,435,738,499
2020,10,90,655,22,81,80,30,43,49,51,47,65,45,85,57
2020,10,100,71,5,16,4,4,2,14,8,3,7,0,6,2
2020,11,총,"213,178","6,034","28,322","11,084","8,917","13,221","22,015","13,865","15,666","23,508","13,398","29,078","28,070"
2020,11,0,"12,492",230,"1,625",307,507,726,"1,098",523,984,"1,492",749,"1,928","2,323"
2020,11,10,"15,196",306,"2,023",486,651,958,"1,076",718,"1,137","1,835","1,075","2,298","2,633"
2020,11,20,"29,024",646,"3,669",898,"1,073","1,753","3,976","1,733","2,172","4,100","1,795","3,503","3,706"
2020,11,30,"25,360",601,"3,288",848,"1,013","1,459","3,205","1,631","1,859","3,054","1,509","3,508","3,385"
2020,11,40,"29,517",737,"3,801","1,299","1,223","1,731","2,751","1,811","2,022","3,463","1,817","4,314","4,548"
2020,11,50,"41,415","1,329","5,603","2,207","1,828","2,749","4,296","2,861","3,199","3,972","2,498","5,423","5,450"
2020,11,60,"36,571","1,246","5,149","2,534","1,491","2,448","3,588","2,735","2,721","3,305","2,366","5,066","3,922"
2020,11,70,"17,051",688,"2,299","1,685",812,"1,026","1,541","1,376","1,145","1,628","1,101","2,208","1,542"
2020,11,80,"5,826",222,768,736,288,325,422,417,376,586,444,741,501
2020,11,90,655,24,81,80,27,44,48,52,48,66,44,83,58
2020,11,100,71,5,16,4,4,2,14,8,3,7,0,6,2
2020,12,총,"212,586","6,002","28,199","11,022","8,892","13,200","22,045","13,829","15,551","23,455","13,405","28,998","27,988"
2020,12,0,"12,355",230,"1,594",290,499,718,"1,089",522,972,"1,473",747,"1,915","2,306"
2020,12,10,"15,088",301,"2,010",480,660,939,"1,060",711,"1,121","1,831","1,069","2,277","2,629"
2020,12,20,"28,932",647,"3,623",891,"1,061","1,747","4,021","1,721","2,151","4,107","1,810","3,478","3,675"
2020,12,30,"25,224",594,"3,265",828,"1,006","1,455","3,213","1,629","1,832","3,038","1,516","3,493","3,355"
2020,12,40,"29,363",724,"3,782","1,279","1,220","1,728","2,730","1,794","2,014","3,448","1,805","4,305","4,534"
2020,12,50,"41,190","1,321","5,575","2,219","1,805","2,742","4,292","2,839","3,148","3,940","2,484","5,401","5,424"
2020,12,60,"36,718","1,249","5,161","2,522","1,507","2,460","3,601","2,755","2,740","3,318","2,376","5,082","3,947"
2020,12,70,"17,132",684,"2,325","1,690",817,"1,036","1,546","1,373","1,147","1,636","1,105","2,215","1,558"
2020,12,80,"5,849",223,765,742,287,328,432,422,375,589,446,742,498
2020,12,90,665,24,83,77,26,45,47,55,49,68,47,84,60
2020,12,100,70,5,16,4,4,2,14,8,2,7,0,6,2
2021,1,총,"212,173","5,995","28,194","10,986","8,881","13,156","22,082","13,807","15,505","23,338","13,390","28,952","27,887"
2021,1,0,"12,249",231,"1,581",280,506,708,"1,071",527,961,"1,457",749,"1,895","2,283"
2021,1,10,"15,012",296,"2,011",476,655,930,"1,070",705,"1,104","1,810","1,069","2,275","2,611"
2021,1,20,"28,755",649,"3,613",879,"1,054","1,723","4,028","1,702","2,143","4,060","1,796","3,459","3,649"
2021,1,30,"25,081",592,"3,258",820,"1,007","1,453","3,224","1,620","1,811","3,001","1,511","3,456","3,328"
2021,1,40,"29,277",720,"3,763","1,266","1,220","1,734","2,730","1,795","2,003","3,427","1,806","4,317","4,496"
2021,1,50,"40,984","1,307","5,551","2,207","1,797","2,707","4,240","2,835","3,146","3,938","2,467","5,371","5,418"
2021,1,60,"36,944","1,263","5,199","2,532","1,510","2,484","3,656","2,757","2,757","3,331","2,389","5,098","3,968"
2021,1,70,"17,231",683,"2,346","1,701",818,"1,042","1,559","1,378","1,152","1,638","1,109","2,238","1,567"
2021,1,80,"5,893",224,771,746,286,328,442,423,375,600,446,750,502
2021,1,90,677,25,85,75,24,45,48,57,51,69,48,87,63
2021,1,100,70,5,16,4,4,2,14,8,2,7,0,6,2
2021,2,총,"212,038","6,004","28,128","10,970","8,872","13,119","22,184","13,761","15,517","23,383","13,341","28,935","27,824"
2021,2,0,"12,167",234,"1,563",280,505,701,"1,070",519,955,"1,438",742,"1,886","2,274"
2021,2,10,"14,939",301,"2,002",470,647,927,"1,067",698,"1,103","1,824","1,059","2,263","2,578"
2021,2,20,"28,715",652,"3,575",867,"1,045","1,718","4,079","1,681","2,130","4,095","1,776","3,451","3,646"
2021,2,30,"24,958",580,"3,237",806,"1,010","1,449","3,231","1,605","1,815","3,002","1,514","3,416","3,293"
2021,2,40,"29,241",720,"3,766","1,286","1,211","1,722","2,728","1,778","2,015","3,414","1,789","4,321","4,491"
2021,2,50,"40,820","1,305","5,518","2,194","1,787","2,671","4,222","2,831","3,132","3,938","2,462","5,362","5,398"
2021,2,60,"37,220","1,273","5,243","2,528","1,532","2,507","3,688","2,777","2,775","3,349","2,396","5,150","4,002"
2021,2,70,"17,264",682,"2,343","1,707",816,"1,046","1,583","1,371","1,153","1,642","1,104","2,242","1,575"
2021,2,80,"5,970",226,778,754,290,332,453,436,387,609,451,752,502
2021,2,90,672,26,87,74,25,44,48,57,49,65,48,86,63
2021,2,100,72,5,16,4,4,2,15,8,3,7,0,6,2
2021,3,총,"211,252","5,899","28,085","10,930","8,809","13,063","22,197","13,671","15,442","23,390","13,275","28,802","27,689"
2021,3,0,"12,059",242,"1,553",276,497,699,"1,061",513,951,"1,428",733,"1,865","2,241"
2021,3,10,"14,887",292,"1,999",454,646,917,"1,065",681,"1,096","1,849","1,059","2,246","2,583"
2021,3,20,"28,630",647,"3,548",852,"1,040","1,696","4,163","1,676","2,110","4,089","1,765","3,419","3,625"
2021,3,30,"24,812",568,"3,220",793,994,"1,450","3,250","1,587","1,799","3,009","1,496","3,385","3,261"
2021,3,40,"29,113",704,"3,753","1,274","1,202","1,714","2,707","1,757","2,009","3,418","1,785","4,315","4,475"
2021,3,50,"40,469","1,266","5,473","2,184","1,771","2,625","4,179","2,822","3,089","3,912","2,444","5,338","5,366"
2021,3,60,"37,336","1,251","5,292","2,545","1,544","2,524","3,696","2,770","2,791","3,368","2,395","5,165","3,995"
2021,3,70,"17,267",672,"2,357","1,712",809,"1,058","1,578","1,370","1,157","1,647","1,099","2,229","1,579"
2021,3,80,"5,989",231,786,764,283,334,449,437,393,604,453,755,500
2021,3,90,647,22,87,73,23,44,45,55,46,62,46,82,62
2021,3,100,43,4,17,3,0,2,4,3,1,4,0,3,2
2021,4,총,"210,943","5,884","28,074","10,890","8,798","13,020","22,279","13,615","15,439","23,350","13,251","28,714","27,629"
2021,4,0,"11,957",237,"1,552",272,498,690,"1,051",508,958,"1,415",722,"1,840","2,214"
2021,4,10,"14,829",291,"1,993",442,640,916,"1,057",676,"1,086","1,849","1,062","2,231","2,586"
2021,4,20,"28,585",645,"3,528",854,"1,042","1,694","4,215","1,648","2,112","4,068","1,764","3,418","3,597"
2021,4,30,"24,811",575,"3,239",773,985,"1,451","3,286","1,587","1,801","3,009","1,492","3,345","3,268"
2021,4,40,"29,017",690,"3,737","1,281","1,205","1,707","2,698","1,748","2,004","3,420","1,781","4,301","4,445"
2021,4,50,"40,237","1,265","5,450","2,151","1,755","2,586","4,181","2,804","3,084","3,869","2,435","5,321","5,336"
2021,4,60,"37,496","1,257","5,310","2,562","1,558","2,537","3,722","2,780","2,801","3,390","2,389","5,171","4,019"
2021,4,70,"17,263",669,"2,361","1,712",807,"1,062","1,566","1,364","1,155","1,646","1,101","2,238","1,582"
2021,4,80,"6,052",229,799,767,283,331,451,442,390,615,460,769,516
2021,4,90,652,22,88,73,24,44,48,55,47,65,45,77,64
2021,4,100,44,4,17,3,1,2,4,3,1,4,0,3,2
2021,5,총,"210,579","5,842","28,192","10,801","8,786","13,000","22,281","13,533","15,413","23,318","13,228","28,600","27,585"
2021,5,0,"11,826",229,"1,539",262,495,684,"1,038",498,952,"1,402",716,"1,815","2,196"
2021,5,10,"14,775",289,"1,984",438,640,919,"1,042",669,"1,085","1,850","1,063","2,220","2,576"
2021,5,20,"28,571",636,"3,597",840,"1,033","1,683","4,272","1,628","2,096","4,044","1,772","3,391","3,579"
2021,5,30,"24,697",574,"3,255",752,978,"1,463","3,272","1,573","1,783","3,017","1,475","3,304","3,251"
2021,5,40,"28,920",677,"3,740","1,260","1,198","1,690","2,691","1,733","2,001","3,423","1,780","4,298","4,429"
2021,5,50,"40,002","1,245","5,426","2,128","1,752","2,579","4,156","2,775","3,071","3,830","2,417","5,295","5,328"
2021,5,60,"37,680","1,263","5,364","2,561","1,561","2,527","3,749","2,791","2,829","3,410","2,396","5,190","4,039"
2021,5,70,"17,315",672,"2,374","1,713",816,"1,076","1,556","1,365","1,155","1,655","1,100","2,238","1,595"
2021,5,80,"6,089",232,805,771,288,332,451,441,392,616,463,773,525
2021,5,90,660,21,91,72,25,45,50,57,48,67,46,73,65
2021,5,100,44,4,17,4,0,2,4,3,1,4,0,3,2
2021,6,총,"210,333","5,823","28,296","10,724","8,771","12,977","22,311","13,543","15,341","23,250","13,196","28,598","27,503"
2021,6,0,"11,777",228,"1,532",257,488,684,"1,042",502,944,"1,397",705,"1,817","2,181"
2021,6,10,"14,739",285,"1,988",431,632,918,"1,034",667,"1,089","1,847","1,067","2,208","2,573"
2021,6,20,"28,461",623,"3,627",823,"1,036","1,670","4,283","1,627","2,082","4,009","1,761","3,363","3,557"
2021,6,30,"24,629",566,"3,301",742,968,"1,464","3,265","1,581","1,752","3,010","1,463","3,296","3,221"
2021,6,40,"28,909",684,"3,746","1,251","1,200","1,688","2,696","1,732","1,991","3,419","1,783","4,310","4,409"
2021,6,50,"39,753","1,246","5,397","2,099","1,747","2,558","4,139","2,755","3,040","3,795","2,399","5,270","5,308"
2021,6,60,"37,873","1,261","5,392","2,570","1,572","2,528","3,779","2,799","2,840","3,426","2,410","5,237","4,059"
2021,6,70,"17,355",664,"2,386","1,703",819,"1,087","1,565","1,381","1,159","1,656","1,099","2,240","1,596"
2021,6,80,"6,138",241,819,770,283,334,456,440,396,618,466,781,534
2021,6,90,654,21,91,74,26,44,47,56,48,68,43,73,63
2021,6,100,45,4,17,4,0,2,5,3,0,5,0,3,2
2021,7,총,"210,005","5,811","28,244","10,670","8,759","12,954","22,332","13,512","15,299","23,269","13,163","28,520","27,472"
2021,7,0,"11,705",229,"1,516",256,487,680,"1,036",494,938,"1,395",696,"1,814","2,164"
2021,7,10,"14,674",281,"1,977",427,630,919,"1,034",668,"1,083","1,830","1,056","2,201","2,568"
2021,7,20,"28,338",629,"3,591",816,"1,032","1,654","4,291","1,617","2,067","4,019","1,755","3,322","3,545"
2021,7,30,"24,581",562,"3,291",735,970,"1,469","3,264","1,557","1,751","3,020","1,464","3,278","3,220"
2021,7,40,"28,801",679,"3,749","1,239","1,188","1,680","2,718","1,729","1,983","3,408","1,771","4,275","4,382"
2021,7,50,"39,568","1,239","5,361","2,077","1,730","2,535","4,111","2,739","3,020","3,794","2,393","5,261","5,308"
2021,7,60,"38,047","1,264","5,431","2,572","1,587","2,546","3,790","2,814","2,852","3,440","2,411","5,254","4,086"
2021,7,70,"17,413",661,"2,391","1,696",825,"1,089","1,582","1,388","1,164","1,660","1,102","2,257","1,598"
2021,7,80,"6,173",240,823,777,282,336,454,446,397,630,472,778,538
2021,7,90,661,23,97,72,28,44,47,57,44,68,43,77,61
2021,7,100,44,4,17,3,0,2,5,3,0,5,0,3,2
2021,8,총,"209,547","5,821","28,202","10,613","8,758","12,957","22,350","13,423","15,254","23,207","13,139","28,447","27,376"
2021,8,0,"11,623",232,"1,510",253,485,684,"1,027",489,931,"1,384",694,"1,802","2,132"
2021,8,10,"14,619",276,"1,963",420,635,923,"1,030",670,"1,086","1,811","1,041","2,198","2,566"
2021,8,20,"28,157",626,"3,559",808,"1,028","1,642","4,318","1,580","2,051","3,990","1,748","3,297","3,510"
2021,8,30,"24,466",564,"3,292",727,961,"1,470","3,269","1,534","1,757","3,005","1,456","3,228","3,203"
2021,8,40,"28,707",672,"3,729","1,230","1,189","1,684","2,699","1,717","1,979","3,399","1,764","4,283","4,362"
2021,8,50,"39,428","1,233","5,353","2,059","1,724","2,519","4,111","2,718","3,004","3,779","2,386","5,238","5,304"
2021,8,60,"38,179","1,281","5,438","2,567","1,596","2,557","3,813","2,817","2,848","3,469","2,431","5,271","4,091"
2021,8,70,"17,469",668,"2,418","1,693",828,"1,096","1,576","1,388","1,163","1,663","1,101","2,269","1,606"
2021,8,80,"6,203",242,826,783,288,336,455,448,391,635,477,781,541
2021,8,90,651,22,97,70,24,44,47,59,44,67,41,77,59
2021,8,100,45,5,17,3,0,2,5,3,0,5,0,3,2
2021,9,총,"209,410","5,820","28,175","10,560","8,731","12,967","22,423","13,399","15,239","23,216","13,141","28,398","27,341"
2021,9,0,"11,562",231,"1,491",250,474,683,"1,034",495,924,"1,377",691,"1,785","2,127"
2021,9,10,"14,546",279,"1,947",408,623,925,"1,015",669,"1,084","1,817","1,037","2,182","2,560"
2021,9,20,"28,126",620,"3,566",807,"1,032","1,627","4,342","1,557","2,042","4,006","1,747","3,298","3,482"
2021,9,30,"24,479",562,"3,304",718,948,"1,462","3,297","1,550","1,757","3,001","1,463","3,203","3,214"
2021,9,40,"28,628",671,"3,709","1,219","1,191","1,693","2,707","1,693","1,982","3,401","1,760","4,247","4,355"
2021,9,50,"39,312","1,237","5,308","2,045","1,723","2,519","4,088","2,702","3,010","3,760","2,379","5,239","5,302"
2021,9,60,"38,259","1,279","5,475","2,559","1,595","2,570","3,841","2,822","2,838","3,466","2,436","5,291","4,087"
2021,9,70,"17,559",668,"2,429","1,700",829,"1,101","1,587","1,401","1,165","1,678","1,105","2,280","1,616"
2021,9,80,"6,237",244,832,781,292,341,460,450,391,637,482,790,537
2021,9,90,657,24,97,70,24,44,47,58,46,68,41,79,59
2021,9,100,45,5,17,3,0,2,5,2,0,5,0,4,2
2021,10,총,"209,138","5,818","28,104","10,535","8,694","12,956","22,447","13,365","15,236","23,231","13,160","28,359","27,233"
2021,10,0,"11,490",228,"1,477",249,465,683,"1,040",499,914,"1,382",687,"1,766","2,100"
2021,10,10,"14,491",279,"1,938",403,615,923,"1,009",661,"1,089","1,820","1,038","2,169","2,547"
2021,10,20,"28,007",619,"3,543",805,"1,034","1,616","4,345","1,550","2,033","3,981","1,754","3,275","3,452"
