년도,월,나이,강원도 정선군,강원도 정선군 정선읍,강원도 정선군 고한읍,강원도 정선군 사북읍,강원도 정선군 신동읍,강원도 정선군 신동읍함백출장소,강원도 정선군 남면,강원도 정선군 북평면,강원도 정선군 임계면,강원도 정선군 화암면,강원도 정선군 여량면
2021,8,50,"6,716","1,872",717,893,344,310,625,487,728,373,367
2021,8,60,"7,765","1,845",827,950,449,367,824,565,929,442,567
2021,8,70,"4,391","1,083",497,479,258,253,367,348,549,237,320
2021,8,80,"2,262",551,174,175,156,124,183,227,370,119,183
2021,8,90,321,101,16,13,12,14,21,42,53,22,27
2021,8,100,18,4,0,5,0,4,1,1,2,0,1
2021,9,총,"35,717","10,432","4,394","4,674","1,812","1,569","3,208","2,517","3,481","1,641","1,989"
2021,9,0,"1,662",607,271,272,65,38,135,93,91,44,46
2021,9,10,"2,432",965,232,364,117,100,183,167,141,82,81
2021,9,20,"2,628",943,316,381,114,113,194,171,172,103,121
2021,9,30,"2,819",877,658,417,92,84,246,136,157,60,92
2021,9,40,"4,676","1,573",677,731,201,154,433,282,290,152,183
2021,9,50,"6,707","1,872",716,892,348,313,621,481,719,380,365
2021,9,60,"7,798","1,855",833,944,451,369,826,569,938,444,569
2021,9,70,"4,383","1,080",498,475,259,254,363,350,548,235,321
2021,9,80,"2,275",556,177,180,153,126,184,225,372,120,182
2021,9,90,319,100,16,13,12,14,22,42,51,21,28
2021,9,100,18,4,0,5,0,4,1,1,2,0,1
2021,10,총,"35,659","10,442","4,367","4,677","1,819","1,579","3,190","2,498","3,457","1,637","1,993"
2021,10,0,"1,660",613,266,277,66,38,130,88,90,46,46
2021,10,10,"2,427",963,231,365,117,102,183,161,141,82,82
2021,10,20,"2,612",946,307,383,117,112,192,166,168,101,120
2021,10,30,"2,794",874,646,412,94,85,241,138,154,60,90
2021,10,40,"4,664","1,576",678,737,200,155,429,273,286,148,182
2021,10,50,"6,672","1,862",705,884,349,316,615,483,716,377,365
2021,10,60,"7,853","1,869",841,952,451,377,828,569,943,449,574
2021,10,70,"4,363","1,076",498,475,260,248,361,351,541,231,322
2021,10,80,"2,282",556,178,179,153,128,188,226,368,123,183
2021,10,90,320,103,17,12,12,14,22,42,50,20,28
2021,10,100,12,4,0,1,0,4,1,1,0,0,1
2021,11,총,"35,639","10,441","4,358","4,687","1,821","1,582","3,179","2,493","3,452","1,640","1,986"
2021,11,0,"1,633",605,264,276,65,38,123,83,88,46,45
2021,11,10,"2,422",968,226,365,117,101,184,159,141,81,80
2021,11,20,"2,593",946,295,387,113,109,189,165,169,102,118
2021,11,30,"2,781",872,650,400,96,83,237,139,155,60,89
2021,11,40,"4,648","1,564",685,745,198,151,427,269,281,150,178
2021,11,50,"6,678","1,868",698,886,352,320,615,487,712,376,364
2021,11,60,"7,894","1,875",841,960,453,386,831,570,947,453,578
2021,11,70,"4,369","1,077",499,474,263,248,362,350,543,229,324
2021,11,80,"2,290",558,183,180,151,129,188,228,367,124,182
2021,11,90,321,104,17,13,13,15,22,42,49,19,27
2021,11,100,10,4,0,1,0,2,1,1,0,0,1
2021,12,총,"35,675","10,460","4,363","4,694","1,822","1,592","3,172","2,476","3,475","1,630","1,991"
2021,12,0,"1,628",605,265,274,63,41,123,81,86,44,46
2021,12,10,"2,412",961,226,365,116,102,186,155,142,80,79
2021,12,20,"2,625",960,302,385,116,111,187,163,178,100,123
2021,12,30,"2,755",865,639,404,96,82,231,134,156,59,89
2021,12,40,"4,626","1,558",684,740,196,155,428,262,279,145,179
2021,12,50,"6,682","1,879",702,889,352,314,608,487,716,377,358
2021,12,60,"7,925","1,874",840,968,456,390,834,572,955,454,582
2021,12,70,"4,373","1,088",502,470,264,248,361,349,541,223,327
2021,12,80,"2,312",562,186,185,150,132,188,228,373,128,180
2021,12,90,327,104,17,13,13,15,25,44,49,20,27
2021,12,100,10,4,0,1,0,2,1,1,0,0,1
