년도,월,나이,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사면,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역삼동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 동백동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 성복동,경기도 용인시 처인구 남사읍,경기도 용인시 처인구 역북동,경기도 용인시 처인구 삼가동,경기도 용인시 수지구 죽전3동,경기도 용인시 수지구 상현3동
2020,2,10,"59,644","11,990","1,764","1,129",874,887,250,228,864,"1,067","2,186","2,188",553,"25,020","1,848",,"1,753",612,"1,737",673,"2,116","1,025","1,176","2,392","1,544","2,837","2,297","1,417",,"1,400","2,193","22,634","1,906","2,904","2,617","3,651",801,"2,480","3,157","2,105","3,013",,,,,
2020,2,20,"64,010","15,269","2,029","1,427",895,960,346,336,955,"2,068","3,200","2,192",861,"26,252","2,538",,"1,742","1,062","3,328",925,"1,882","1,114","1,995","2,025","1,947","1,676","1,431","1,072",,"1,588","1,927","22,489","2,589","2,502","1,927","3,755","1,396","2,599","3,217","1,918","2,586",,,,,
2020,2,30,"75,506","16,401","1,885","1,522","1,093","2,169",312,289,"1,010","1,421","3,716","2,321",663,"31,725","3,052",,"2,530","1,508","4,096",887,"2,107","1,452","2,369","2,403","2,174","2,031","1,506","1,731",,"1,519","2,360","27,380","2,903","3,413","2,278","3,863","1,685","3,971","3,645","2,384","3,238",,,,,
2020,2,40,"101,701","20,570","2,932","2,006","1,545","1,699",491,423,"1,385","1,868","3,764","3,440","1,017","43,147","3,390",,"3,122","1,333","3,483","1,185","3,331","1,899","2,067","4,081","2,808","4,202","3,449","2,493",,"2,424","3,880","37,984","3,290","4,728","4,394","5,842","1,588","4,568","5,020","3,484","5,070",,,,,
2020,2,50,"78,075","20,479","2,677","2,059","1,767","1,569",769,766,"1,605","2,073","3,143","2,775","1,276","31,511","2,980",,"2,273","1,372","3,114","1,017","2,365","1,725","1,662","2,864","2,518","2,002","1,847","1,261",,"2,086","2,425","26,085","2,650","2,630","2,646","4,223","1,432","3,221","3,372","2,456","3,455",,,,,
2020,2,60,"52,791","14,540","1,725","1,643","1,377","1,417",761,775,"1,110","1,415","1,825","1,579",913,"20,927","1,962",,"1,268",772,"1,722",646,"1,724","1,310",859,"2,328","1,992","1,128",972,"1,061",,"1,361","1,822","17,324","1,705","1,247","1,844","2,651",909,"2,191","2,172","1,667","2,938",,,,,
2020,2,70,"34,454","8,345","1,043",935,821,732,460,510,602,792,976,974,500,"13,855","1,311",,578,398,958,496,"1,155",703,429,"1,726","1,493",867,660,770,,832,"1,479","12,254","1,224","1,038","1,443","1,808",551,"1,292","1,505","1,348","2,045",,,,,
2020,2,80,"15,245","4,560",590,453,503,367,309,399,390,408,456,469,216,"5,865",561,,307,325,395,211,443,323,188,662,595,346,306,262,,393,548,"4,820",551,533,511,799,275,472,548,478,653,,,,,
2020,2,90,"2,909",832,89,90,102,69,49,69,91,72,92,62,47,"1,144",88,,57,98,79,32,81,63,43,145,109,55,57,48,,74,115,933,78,72,101,143,49,111,139,94,146,,,,,
2020,2,100,148,57,1,5,6,6,5,7,6,6,6,3,6,50,4,,0,1,7,2,4,3,2,6,7,2,3,0,,3,6,41,7,3,3,4,1,3,7,5,8,,,,,
2020,3,총,"536,849","123,961","15,933","12,243","9,818","11,487","3,919","3,910","8,669","12,011","21,832","17,735","6,404","222,057","19,527",,"15,450","8,549","21,177","6,559","16,780","10,649","12,451","20,403","16,548","17,041","13,917","11,700",,"12,728","18,578","190,831","18,411","21,556","19,671","29,517","9,445","23,578","25,280","17,636","25,737",,,,,
2020,3,0,"51,182","10,741","1,203",958,811,"1,564",184,107,628,816,"2,412","1,686",372,"21,968","1,760",,"1,826",944,"2,169",482,"1,548",991,"1,652","1,754","1,367","1,880","1,372","1,474",,"1,025","1,724","18,473","1,433","2,478","1,869","2,729",760,"2,577","2,474","1,672","2,481",,,,,
2020,3,10,"59,489","11,973","1,751","1,134",870,890,247,223,851,"1,077","2,200","2,189",541,"24,934","1,835",,"1,742",615,"1,741",668,"2,101","1,027","1,168","2,383","1,532","2,825","2,294","1,420",,"1,387","2,196","22,582","1,888","2,903","2,613","3,625",792,"2,497","3,152","2,094","3,018",,,,,
2020,3,20,"64,605","15,339","2,021","1,430",898,963,343,346,965,"2,051","3,244","2,219",859,"26,565","2,564",,"1,745","1,106","3,393",923,"1,900","1,147","1,995","2,051","1,969","1,695","1,444","1,086",,"1,594","1,953","22,701","2,623","2,507","1,946","3,810","1,396","2,621","3,260","1,943","2,595",,,,,
2020,3,30,"75,413","16,341","1,885","1,512","1,087","2,175",310,290,"1,006","1,436","3,690","2,299",651,"31,651","3,073",,"2,535","1,534","4,079",885,"2,089","1,430","2,365","2,378","2,163","2,012","1,493","1,736",,"1,516","2,363","27,421","2,877","3,429","2,272","3,863","1,686","3,988","3,637","2,394","3,275",,,,,
2020,3,40,"101,494","20,525","2,922","1,996","1,547","1,704",482,411,"1,387","1,857","3,772","3,438","1,009","43,086","3,382",,"3,098","1,341","3,473","1,190","3,324","1,901","2,077","4,060","2,798","4,184","3,450","2,491",,"2,425","3,892","37,883","3,277","4,704","4,378","5,829","1,583","4,559","4,989","3,485","5,079",,,,,
2020,3,50,"78,379","20,517","2,696","2,065","1,769","1,574",765,769,"1,604","2,083","3,138","2,775","1,279","31,644","2,958",,"2,275","1,388","3,133","1,020","2,389","1,724","1,656","2,884","2,532","2,030","1,857","1,260",,"2,098","2,440","26,218","2,668","2,643","2,673","4,229","1,443","3,245","3,392","2,451","3,474",,,,,
2020,3,60,"53,173","14,656","1,733","1,651","1,395","1,429",761,778,"1,130","1,409","1,844","1,604",922,"21,123","1,979",,"1,281",800,"1,736",644,"1,744","1,328",868,"2,344","1,981","1,142",974,"1,087",,"1,369","1,846","17,394","1,742","1,246","1,837","2,656",910,"2,216","2,168","1,672","2,947",,,,,
2020,3,70,"34,703","8,389","1,047",941,828,740,463,512,608,793,975,981,501,"13,989","1,314",,586,397,972,499,"1,153",714,436,"1,737","1,495",868,668,820,,840,"1,490","12,325","1,258","1,036","1,467","1,818",549,"1,292","1,500","1,345","2,060",,,,,
2020,3,80,"15,334","4,578",588,460,503,371,310,400,393,406,454,477,216,"5,905",567,,303,327,394,216,447,320,192,662,596,350,306,276,,395,554,"4,851",556,535,514,809,274,467,560,479,657,,,,,
2020,3,90,"2,930",846,86,91,104,72,50,67,91,77,96,64,48,"1,147",91,,59,96,81,31,80,63,41,146,110,53,57,50,,75,114,937,78,72,99,144,51,112,141,96,144,,,,,
2020,3,100,147,56,1,5,6,5,4,7,6,6,7,3,6,45,4,,0,1,6,1,5,4,1,4,5,2,2,0,,4,6,46,11,3,3,5,1,4,7,5,7,,,,,
2020,4,총,"538,268","124,037","15,907","12,266","9,821","11,501","3,905","3,920","8,692","12,015","21,875","17,753","6,382","222,473","19,551",,"15,464","8,648","21,202","6,547","16,851","10,667","12,466","20,423","16,578","17,057","13,920","11,788",,"12,747","18,564","191,758","18,437","21,527","19,667","29,519","9,464","24,360","25,300","17,654","25,830",,,,,
2020,4,0,"51,119","10,714","1,188",952,811,"1,566",184,105,636,809,"2,427","1,670",366,"21,856","1,760",,"1,814",948,"2,167",472,"1,536",989,"1,641","1,735","1,371","1,861","1,361","1,472",,"1,024","1,705","18,549","1,416","2,452","1,866","2,701",755,"2,734","2,470","1,678","2,477",,,,,
2020,4,10,"59,422","11,922","1,740","1,133",866,890,247,223,840,"1,071","2,195","2,174",543,"24,916","1,817",,"1,738",614,"1,746",669,"2,106","1,029","1,175","2,380","1,507","2,828","2,299","1,424",,"1,379","2,205","22,584","1,875","2,892","2,592","3,623",789,"2,564","3,143","2,096","3,010",,,,,
2020,4,20,"65,023","15,372","2,029","1,431",892,964,333,344,971,"2,058","3,263","2,239",848,"26,761","2,577",,"1,739","1,149","3,422",916,"1,932","1,147","1,995","2,065","1,991","1,705","1,457","1,109",,"1,611","1,946","22,890","2,631","2,526","1,964","3,817","1,409","2,702","3,276","1,947","2,618",,,,,
2020,4,30,"75,482","16,314","1,875","1,511","1,095","2,170",308,290,"1,007","1,440","3,681","2,293",644,"31,519","3,052",,"2,523","1,551","4,041",891,"2,080","1,422","2,364","2,362","2,162","2,000","1,488","1,730",,"1,507","2,346","27,649","2,900","3,440","2,260","3,852","1,688","4,170","3,657","2,393","3,289",,,,,
2020,4,40,"101,569","20,503","2,911","1,996","1,537","1,719",475,410,"1,389","1,846","3,776","3,430","1,014","43,068","3,393",,"3,099","1,345","3,485","1,172","3,336","1,896","2,085","4,064","2,795","4,177","3,436","2,492",,"2,409","3,884","37,998","3,251","4,684","4,354","5,820","1,587","4,729","4,985","3,492","5,096",,,,,
2020,4,50,"78,783","20,537","2,694","2,067","1,768","1,575",763,773,"1,607","2,092","3,142","2,784","1,272","31,859","2,979",,"2,289","1,401","3,143","1,025","2,415","1,739","1,658","2,887","2,550","2,052","1,860","1,280",,"2,124","2,457","26,387","2,679","2,638","2,697","4,257","1,449","3,306","3,400","2,456","3,505",,,,,
2020,4,60,"53,443","14,735","1,730","1,667","1,413","1,431",767,777,"1,139","1,414","1,849","1,622",926,"21,252","1,983",,"1,303",811,"1,741",646,"1,755","1,343",874,"2,365","1,982","1,153",981,"1,096",,"1,368","1,851","17,456","1,770","1,241","1,840","2,648",915,"2,257","2,164","1,667","2,954",,,,,
2020,4,70,"34,893","8,448","1,063",951,833,745,462,517,612,790,985,988,502,"14,062","1,321",,595,400,976,507,"1,155",713,441,"1,739","1,509",868,671,835,,845,"1,487","12,383","1,260","1,043","1,483","1,830",545,"1,311","1,500","1,341","2,070",,,,,
2020,4,80,"15,412","4,580",588,461,496,367,313,406,390,411,450,485,213,"5,966",570,,303,329,394,217,451,321,195,672,600,355,307,296,,398,558,"4,866",562,536,508,818,273,471,558,483,657,,,,,
2020,4,90,"2,969",855,87,92,104,69,49,68,95,78,100,65,48,"1,165",95,,61,99,81,31,78,64,37,150,105,56,58,54,,77,119,949,82,72,99,148,53,112,140,96,147,,,,,
2020,4,100,153,57,2,5,6,5,4,7,6,6,7,3,6,49,4,,0,1,6,1,7,4,1,4,6,2,2,0,,5,6,47,11,3,4,5,1,4,7,5,7,,,,,
2020,5,총,"539,260","124,431","15,903","12,271","9,826","11,513","3,898","3,899","9,063","12,001","21,943","17,736","6,378","222,708","19,531",,"15,481","8,716","21,254","6,539","16,855","10,675","12,491","20,392","16,585","17,087","13,924","11,840",,"12,766","18,572","192,121","18,478","21,478","19,660","29,531","9,466","24,714","25,302","17,646","25,846",,,,,
2020,5,0,"51,000","10,679","1,183",939,822,"1,562",179,106,639,801,"2,425","1,658",365,"21,761","1,745",,"1,812",949,"2,165",467,"1,531",978,"1,640","1,718","1,366","1,861","1,356","1,462",,"1,016","1,695","18,560","1,411","2,452","1,850","2,682",752,"2,790","2,465","1,685","2,473",,,,,
2020,5,10,"59,635","12,200","1,733","1,126",868,894,251,220,"1,152","1,071","2,190","2,161",534,"24,883","1,810",,"1,736",614,"1,742",661,"2,100","1,027","1,188","2,371","1,507","2,824","2,296","1,433",,"1,373","2,201","22,552","1,850","2,875","2,589","3,616",789,"2,587","3,139","2,083","3,024",,,,,
2020,5,20,"65,233","15,419","2,027","1,442",888,958,326,340,995,"2,056","3,291","2,232",864,"26,835","2,572",,"1,746","1,164","3,423",924,"1,942","1,135","1,997","2,043","1,987","1,711","1,477","1,116",,"1,632","1,966","22,979","2,654","2,512","1,987","3,849","1,403","2,738","3,272","1,951","2,613",,,,,
2020,5,30,"75,415","16,285","1,854","1,512","1,095","2,163",305,285,"1,014","1,449","3,692","2,281",635,"31,439","3,038",,"2,516","1,577","4,056",893,"2,071","1,418","2,351","2,342","2,167","1,984","1,479","1,710",,"1,500","2,337","27,691","2,917","3,421","2,235","3,842","1,688","4,259","3,660","2,380","3,289",,,,,
2020,5,40,"101,422","20,436","2,901","1,975","1,528","1,737",474,407,"1,381","1,826","3,782","3,423","1,002","43,017","3,368",,"3,094","1,353","3,477","1,169","3,331","1,899","2,096","4,063","2,794","4,175","3,423","2,510",,"2,401","3,864","37,969","3,231","4,688","4,343","5,797","1,591","4,782","4,978","3,479","5,080",,,,,
2020,5,50,"79,181","20,621","2,715","2,078","1,761","1,576",759,760,"1,627","2,083","3,162","2,822","1,278","32,073","3,018",,"2,302","1,407","3,163","1,032","2,426","1,740","1,663","2,895","2,549","2,089","1,879","1,286",,"2,139","2,485","26,487","2,667","2,647","2,710","4,267","1,455","3,348","3,404","2,469","3,520",,,,,
2020,5,60,"53,653","14,811","1,741","1,684","1,422","1,434",775,779,"1,151","1,427","1,852","1,617",929,"21,291","1,971",,"1,305",819,"1,755",640,"1,746","1,360",881,"2,375","1,975","1,148",976,"1,109",,"1,374","1,857","17,551","1,809","1,236","1,847","2,651",913,"2,297","2,178","1,673","2,947",,,,,
2020,5,70,"35,070","8,476","1,071",956,832,749,462,519,609,795,991,987,505,"14,139","1,333",,603,394,991,504,"1,166",722,443,"1,753","1,516",873,671,849,,851,"1,470","12,455","1,276","1,041","1,482","1,848",546,"1,325","1,506","1,345","2,086",,,,,
2020,5,80,"15,535","4,587",589,462,499,365,311,407,393,409,451,488,213,"6,054",577,,308,337,394,217,456,326,196,681,612,362,308,313,,397,570,"4,894",569,530,519,827,275,473,559,482,660,,,,,
2020,5,90,"2,960",860,88,92,105,70,52,70,94,78,100,64,47,"1,163",94,,58,101,82,31,79,67,35,145,106,58,57,52,,78,120,937,82,73,96,147,53,111,134,94,147,,,,,
2020,5,100,156,57,1,5,6,5,4,6,8,6,7,3,6,53,5,,1,1,6,1,7,3,1,6,6,2,2,0,,5,7,46,12,3,2,5,1,4,7,5,7,,,,,
2020,6,총,"540,180","124,803","15,938","12,275","9,858","11,533","3,900","4,036","9,140","12,055","21,963","17,746","6,359","223,008","19,557",,"15,471","8,752","21,266","6,551","16,889","10,682","12,504","20,409","16,599","17,076","13,921","11,936",,"12,797","18,598","192,369","18,514","21,468","19,669","29,559","9,439","24,856","25,307","17,651","25,906",,,,,
2020,6,0,"50,843","10,634","1,177",938,822,"1,564",170,104,636,806,"2,406","1,650",361,"21,684","1,759",,"1,799",953,"2,172",465,"1,520",965,"1,641","1,712","1,349","1,860","1,327","1,468",,"1,006","1,688","18,525","1,406","2,426","1,851","2,664",759,"2,806","2,464","1,688","2,461",,,,,
2020,6,10,"59,809","12,395","1,735","1,139",872,907,251,357,"1,187","1,068","2,186","2,161",532,"24,888","1,791",,"1,737",623,"1,732",668,"2,097","1,028","1,198","2,364","1,513","2,810","2,305","1,445",,"1,370","2,207","22,526","1,840","2,874","2,590","3,611",782,"2,594","3,118","2,082","3,035",,,,,
2020,6,20,"65,454","15,497","2,030","1,432",887,961,331,345,"1,011","2,080","3,327","2,237",856,"26,932","2,573",,"1,761","1,158","3,425",922,"1,955","1,144","1,997","2,055","2,003","1,719","1,485","1,119",,"1,644","1,972","23,025","2,643","2,513","1,974","3,878","1,399","2,759","3,285","1,948","2,626",,,,,
2020,6,30,"75,211","16,230","1,858","1,492","1,093","2,162",309,288,"1,010","1,441","3,682","2,265",630,"31,347","3,035",,"2,512","1,583","4,038",888,"2,058","1,412","2,339","2,317","2,157","1,967","1,481","1,723",,"1,506","2,331","27,634","2,937","3,419","2,240","3,813","1,673","4,262","3,658","2,367","3,265",,,,,
2020,6,40,"101,518","20,509","2,909","1,991","1,542","1,753",473,406,"1,395","1,842","3,780","3,422",996,"43,007","3,367",,"3,070","1,359","3,479","1,168","3,336","1,895","2,103","4,081","2,796","4,161","3,417","2,509",,"2,390","3,876","38,002","3,219","4,692","4,338","5,802","1,585","4,810","4,963","3,481","5,112",,,,,
2020,6,50,"79,319","20,593","2,719","2,073","1,757","1,564",758,751,"1,632","2,078","3,155","2,831","1,275","32,155","3,031",,"2,307","1,400","3,168","1,037","2,449","1,744","1,657","2,882","2,562","2,107","1,887","1,285",,"2,145","2,494","26,571","2,679","2,648","2,704","4,291","1,441","3,361","3,436","2,486","3,525",,,,,
2020,6,60,"54,059","14,945","1,754","1,692","1,446","1,437",781,785,"1,173","1,446","1,877","1,620",934,"21,448","1,989",,"1,320",839,"1,778",642,"1,752","1,367",886,"2,400","1,968","1,153",978,"1,135",,"1,389","1,852","17,666","1,846","1,246","1,859","2,657",916,"2,338","2,168","1,675","2,961",,,,,
2020,6,70,"35,272","8,496","1,071",962,829,742,463,519,608,803,989,"1,004",506,"14,246","1,332",,603,392,"1,000",506,"1,176",730,452,"1,759","1,525",880,672,872,,865,"1,482","12,530","1,283","1,045","1,491","1,857",552,"1,340","1,515","1,349","2,098",,,,,
2020,6,80,"15,570","4,582",594,459,499,364,306,406,388,406,456,487,217,"6,095",583,,304,341,388,223,463,325,197,686,617,359,307,329,,401,572,"4,893",568,527,524,831,276,467,558,477,665,,,,,
2020,6,90,"2,967",864,90,92,105,74,54,70,91,78,98,66,46,"1,154",92,,56,103,80,31,76,69,33,148,104,58,60,51,,76,117,949,82,75,96,150,55,115,134,92,150,,,,,
2020,6,100,158,58,1,5,6,5,4,5,9,7,7,3,6,52,5,,2,1,6,1,7,3,1,5,5,2,2,0,,5,7,48,11,3,2,5,1,4,8,6,8,,,,,
2020,7,총,"541,196","125,251","16,000","12,275","9,867","11,572","3,921","4,173","9,169","12,086","22,058","17,757","6,373","223,242","19,540",,"15,460","8,792","21,223","6,547","16,931","10,704","12,538","20,411","16,601","17,082","13,956","11,998",,"12,812","18,647","192,703","18,565","21,437","19,684","29,547","9,433","24,897","25,319","17,604","26,217",,,,,
2020,7,0,"50,681","10,596","1,170",924,815,"1,577",168,103,631,808,"2,412","1,634",354,"21,569","1,743",,"1,790",953,"2,156",468,"1,506",958,"1,644","1,701","1,346","1,847","1,324","1,459",,"1,001","1,673","18,516","1,398","2,422","1,842","2,642",760,"2,813","2,468","1,683","2,488",,,,,
2020,7,10,"59,986","12,596","1,796","1,133",870,915,271,480,"1,193","1,069","2,180","2,152",537,"24,887","1,784",,"1,736",623,"1,719",661,"2,116","1,019","1,208","2,353","1,511","2,813","2,304","1,462",,"1,372","2,206","22,503","1,834","2,871","2,588","3,612",777,"2,586","3,103","2,071","3,061",,,,,
2020,7,20,"65,697","15,568","2,032","1,434",897,958,332,356,"1,029","2,069","3,366","2,236",859,"27,038","2,588",,"1,766","1,176","3,414",922,"1,957","1,153","1,999","2,064","2,011","1,718","1,499","1,130",,"1,648","1,993","23,091","2,655","2,499","1,969","3,892","1,404","2,750","3,281","1,956","2,685",,,,,
2020,7,30,"75,031","16,195","1,849","1,476","1,089","2,161",302,287,"1,007","1,452","3,685","2,263",624,"31,227","3,026",,"2,488","1,582","4,014",872,"2,062","1,413","2,330","2,299","2,148","1,969","1,468","1,710",,"1,510","2,336","27,609","2,930","3,416","2,243","3,798","1,661","4,272","3,659","2,344","3,286",,,,,
2020,7,40,"101,520","20,529","2,901","2,005","1,526","1,772",470,409,"1,405","1,844","3,785","3,423",989,"42,992","3,346",,"3,058","1,365","3,469","1,169","3,339","1,909","2,122","4,065","2,793","4,169","3,416","2,507",,"2,387","3,878","37,999","3,208","4,683","4,345","5,778","1,571","4,811","4,949","3,457","5,197",,,,,
2020,7,50,"79,719","20,680","2,721","2,091","1,765","1,560",759,737,"1,629","2,079","3,189","2,857","1,293","32,328","3,039",,"2,326","1,412","3,179","1,038","2,474","1,747","1,651","2,898","2,571","2,115","1,911","1,294",,"2,153","2,520","26,711","2,680","2,647","2,701","4,318","1,446","3,389","3,453","2,492","3,585",,,,,
2020,7,60,"54,322","15,019","1,765","1,692","1,461","1,431",787,795,"1,180","1,464","1,884","1,621",939,"21,546","1,993",,"1,320",849,"1,786",651,"1,749","1,373",898,"2,408","1,967","1,154",992,"1,143",,"1,403","1,860","17,757","1,898","1,244","1,868","2,657",923,"2,343","2,174","1,673","2,977",,,,,
2020,7,70,"35,428","8,541","1,075",967,838,747,461,524,606,807,999,"1,014",503,"14,299","1,338",,606,385,"1,004",514,"1,175",734,453,"1,777","1,524",880,671,893,,859,"1,486","12,588","1,294","1,049","1,498","1,865",559,"1,345","1,526","1,350","2,102",,,,,
2020,7,80,"15,697","4,604",600,462,493,372,312,406,389,410,454,484,222,"6,159",585,,310,346,397,220,471,325,200,690,625,356,310,349,,400,575,"4,934",573,529,531,834,273,468,567,479,680,,,,,
2020,7,90,"2,958",865,90,86,106,74,55,72,91,77,97,70,47,"1,146",93,,58,100,79,31,76,70,32,151,101,59,58,51,,74,113,947,84,74,97,146,58,116,131,93,148,,,,,
2020,7,100,157,58,1,5,7,5,4,4,9,7,7,3,6,51,5,,2,1,6,1,6,3,1,5,4,2,3,0,,5,7,48,11,3,2,5,1,4,8,6,8,,,,,
