년도,월,나이,대구광역시,중구,동구,서구,남구,북구,수성구,달서구,달성군
2020,3,총,"1,202,273","37,161","169,683","87,337","71,248","217,669","208,075","280,655","130,445"
2020,3,0,"95,296","2,771","13,501","4,179","3,736","17,919","16,022","21,906","15,262"
2020,3,10,"122,210","2,637","14,368","6,097","5,182","23,300","28,284","30,027","12,315"
2020,3,20,"173,167","5,665","22,541","12,289","10,261","32,864","30,271","43,179","16,097"
2020,3,30,"156,595","5,662","23,689","10,376","9,226","28,268","21,358","35,882","22,134"
2020,3,40,"192,730","5,634","26,767","12,736","10,530","36,045","34,171","44,599","22,248"
2020,3,50,"210,058","5,634","27,977","17,700","12,313","38,442","36,633","51,083","20,276"
2020,3,60,"149,247","4,701","23,135","14,150","10,789","24,752","23,708","34,075","13,937"
2020,3,70,"74,791","3,128","12,939","7,375","6,426","11,772","12,304","14,789","6,058"
2020,3,80,"26,053","1,192","4,413","2,271","2,542","4,030","4,897","4,749","1,959"
2020,3,90,"1,962",118,320,141,223,260,400,349,151
2020,3,100,164,19,33,23,20,17,27,17,8
2020,4,총,"1,200,899","37,064","169,428","87,167","71,130","217,681","207,610","280,296","130,523"
2020,4,0,"94,844","2,758","13,407","4,160","3,724","17,860","15,930","21,781","15,224"
2020,4,10,"121,704","2,614","14,319","6,058","5,163","23,203","28,114","29,902","12,331"
2020,4,20,"172,940","5,682","22,455","12,225","10,253","32,972","30,185","43,110","16,058"
2020,4,30,"156,276","5,638","23,646","10,320","9,217","28,243","21,264","35,818","22,130"
2020,4,40,"192,197","5,599","26,693","12,699","10,498","35,985","34,036","44,410","22,277"
2020,4,50,"209,826","5,623","27,941","17,650","12,273","38,410","36,617","51,047","20,265"
2020,4,60,"149,778","4,699","23,193","14,182","10,803","24,887","23,772","34,240","14,002"
2020,4,70,"75,012","3,113","12,976","7,426","6,408","11,792","12,346","14,850","6,101"
2020,4,80,"26,189","1,204","4,441","2,282","2,546","4,048","4,915","4,775","1,978"
2020,4,90,"1,970",115,324,142,226,264,404,346,149
2020,4,100,163,19,33,23,19,17,27,17,8
2020,5,총,"1,199,504","37,013","169,113","86,892","71,070","217,981","207,205","279,670","130,560"
2020,5,0,"94,357","2,740","13,313","4,109","3,694","17,821","15,836","21,625","15,219"
2020,5,10,"120,961","2,610","14,244","6,009","5,115","23,107","27,873","29,682","12,321"
2020,5,20,"172,821","5,697","22,369","12,159","10,283","33,080","30,146","43,044","16,043"
2020,5,30,"155,992","5,640","23,568","10,237","9,194","28,322","21,260","35,682","22,089"
2020,5,40,"191,555","5,550","26,630","12,648","10,445","35,903","33,855","44,259","22,265"
2020,5,50,"209,832","5,632","27,945","17,606","12,300","38,486","36,651","50,950","20,262"
2020,5,60,"150,182","4,688","23,187","14,219","10,803","25,065","23,838","34,330","14,052"
2020,5,70,"75,346","3,109","13,048","7,449","6,424","11,834","12,385","14,930","6,167"
2020,5,80,"26,312","1,213","4,453","2,288","2,568","4,081","4,927","4,798","1,984"
2020,5,90,"1,982",113,322,145,226,265,408,353,150
2020,5,100,164,21,34,23,18,17,26,17,8
2020,6,총,"1,198,815","37,036","168,940","86,639","70,945","218,514","206,873","279,227","130,641"
2020,6,0,"94,046","2,755","13,241","4,081","3,657","17,827","15,768","21,509","15,208"
2020,6,10,"120,530","2,600","14,169","5,964","5,115","23,072","27,706","29,552","12,352"
2020,6,20,"172,679","5,690","22,333","12,112","10,267","33,231","30,094","42,978","15,974"
2020,6,30,"155,746","5,693","23,532","10,168","9,162","28,376","21,253","35,539","22,023"
2020,6,40,"191,259","5,534","26,595","12,599","10,391","35,946","33,748","44,164","22,282"
2020,6,50,"209,487","5,624","27,858","17,528","12,298","38,549","36,571","50,795","20,264"
2020,6,60,"150,908","4,680","23,293","14,257","10,806","25,237","23,931","34,523","14,181"
2020,6,70,"75,629","3,108","13,091","7,474","6,430","11,905","12,436","14,975","6,210"
2020,6,80,"26,384","1,218","4,478","2,289","2,578","4,089","4,933","4,813","1,986"
2020,6,90,"1,982",112,316,144,223,265,407,362,153
2020,6,100,165,22,34,23,18,17,26,17,8
2020,7,총,"1,198,621","37,082","168,899","86,576","70,816","218,914","206,700","278,813","130,821"
2020,7,0,"93,738","2,754","13,175","4,055","3,634","17,821","15,695","21,408","15,196"
2020,7,10,"120,078","2,612","14,135","5,909","5,078","22,975","27,564","29,417","12,388"
2020,7,20,"172,852","5,722","22,374","12,116","10,266","33,419","30,088","42,892","15,975"
2020,7,30,"155,431","5,692","23,435","10,144","9,146","28,420","21,222","35,389","21,983"
2020,7,40,"191,086","5,508","26,609","12,576","10,374","35,934","33,630","44,118","22,337"
2020,7,50,"209,477","5,638","27,824","17,512","12,265","38,617","36,620","50,725","20,276"
2020,7,60,"151,338","4,686","23,343","14,270","10,801","25,360","24,009","34,616","14,253"
2020,7,70,"75,982","3,111","13,158","7,531","6,437","11,965","12,490","15,042","6,248"
2020,7,80,"26,483","1,224","4,504","2,296","2,569","4,117","4,939","4,830","2,004"
2020,7,90,"1,989",114,306,144,228,269,417,358,153
2020,7,100,167,21,36,23,18,17,26,18,8
2020,8,총,"1,198,662","37,118","169,224","86,481","70,744","219,016","206,555","278,341","131,183"
2020,8,0,"93,380","2,738","13,175","4,018","3,613","17,772","15,610","21,240","15,214"
2020,8,10,"119,602","2,618","14,138","5,870","5,031","22,820","27,454","29,252","12,419"
2020,8,20,"173,114","5,741","22,382","12,089","10,297","33,579","30,104","42,886","16,036"
2020,8,30,"155,262","5,702","23,507","10,115","9,080","28,417","21,161","35,327","21,953"
2020,8,40,"190,808","5,501","26,653","12,527","10,365","35,876","33,573","43,910","22,403"
2020,8,50,"209,314","5,647","27,818","17,475","12,247","38,576","36,611","50,632","20,308"
2020,8,60,"152,241","4,689","23,500","14,367","10,839","25,561","24,147","34,766","14,372"
2020,8,70,"76,119","3,110","13,167","7,538","6,442","11,988","12,479","15,087","6,308"
2020,8,80,"26,656","1,238","4,537","2,318","2,581","4,136","4,975","4,865","2,006"
2020,8,90,"1,999",113,311,141,231,274,415,358,156
2020,8,100,167,21,36,23,18,17,26,18,8
2020,9,총,"1,197,914","37,052","169,170","86,202","70,576","219,416","206,262","277,979","131,257"
2020,9,0,"92,857","2,716","13,103","3,999","3,558","17,717","15,496","21,126","15,142"
2020,9,10,"119,297","2,612","14,096","5,816","5,022","22,753","27,389","29,145","12,464"
2020,9,20,"173,021","5,732","22,409","12,030","10,280","33,714","30,078","42,807","15,971"
2020,9,30,"154,844","5,668","23,435","10,064","9,015","28,523","21,045","35,231","21,863"
2020,9,40,"190,535","5,481","26,649","12,439","10,355","35,840","33,452","43,820","22,499"
2020,9,50,"209,104","5,664","27,779","17,410","12,223","38,672","36,535","50,504","20,317"
2020,9,60,"153,067","4,690","23,623","14,422","10,835","25,739","24,322","34,951","14,485"
2020,9,70,"76,218","3,111","13,164","7,538","6,459","11,996","12,498","15,120","6,332"
2020,9,80,"26,767","1,246","4,562","2,318","2,580","4,166","4,996","4,885","2,014"
2020,9,90,"2,035",111,315,143,231,277,424,372,162
2020,9,100,169,21,35,23,18,19,27,18,8
2020,10,총,"1,196,446","36,968","168,793","86,015","70,433","219,603","206,015","277,231","131,388"
2020,10,0,"92,225","2,700","13,001","3,959","3,536","17,633","15,382","20,944","15,070"
2020,10,10,"118,877","2,624","14,002","5,764","4,981","22,700","27,365","28,956","12,485"
2020,10,20,"172,890","5,705","22,392","12,026","10,266","33,758","30,042","42,679","16,022"
2020,10,30,"154,141","5,631","23,279","10,016","8,991","28,459","20,941","35,055","21,769"
2020,10,40,"190,148","5,482","26,571","12,392","10,312","35,806","33,397","43,634","22,554"
2020,10,50,"208,878","5,635","27,718","17,379","12,193","38,750","36,472","50,394","20,337"
2020,10,60,"153,832","4,700","23,729","14,448","10,888","25,946","24,436","35,074","14,611"
2020,10,70,"76,315","3,105","13,152","7,523","6,440","12,068","12,498","15,181","6,348"
2020,10,80,"26,928","1,252","4,600","2,342","2,582","4,184","5,027","4,923","2,018"
2020,10,90,"2,041",113,314,143,226,279,428,373,165
2020,10,100,171,21,35,23,18,20,27,18,9
2020,11,총,"1,195,081","36,930","168,712","85,757","70,450","219,512","205,632","276,555","131,533"
2020,11,0,"91,649","2,686","12,940","3,931","3,514","17,496","15,284","20,780","15,018"
2020,11,10,"118,587","2,635","13,992","5,701","4,979","22,633","27,292","28,844","12,511"
2020,11,20,"172,473","5,696","22,367","11,997","10,264","33,791","29,885","42,517","15,956"
2020,11,30,"153,596","5,600","23,207","9,965","8,994","28,348","20,890","34,853","21,739"
2020,11,40,"189,849","5,487","26,568","12,305","10,294","35,752","33,288","43,494","22,661"
2020,11,50,"208,679","5,616","27,699","17,317","12,192","38,779","36,467","50,277","20,332"
2020,11,60,"154,521","4,698","23,834","14,492","10,948","26,087","24,502","35,234","14,726"
2020,11,70,"76,427","3,116","13,134","7,531","6,436","12,114","12,517","15,204","6,375"
2020,11,80,"27,066","1,261","4,612","2,353","2,590","4,208","5,047","4,963","2,032"
2020,11,90,"2,058",114,322,141,221,283,433,370,174
2020,11,100,176,21,37,24,18,21,27,19,9
2020,12,총,"1,193,109","36,799","168,443","85,572","70,471","219,197","205,293","275,626","131,708"
2020,12,0,"91,285","2,655","12,867","3,912","3,525","17,393","15,320","20,617","14,996"
2020,12,10,"118,103","2,631","13,930","5,656","4,952","22,530","27,237","28,661","12,506"
2020,12,20,"171,675","5,660","22,307","11,929","10,251","33,686","29,696","42,226","15,920"
2020,12,30,"153,070","5,567","23,113","9,906","9,004","28,245","20,819","34,639","21,777"
2020,12,40,"189,358","5,470","26,487","12,259","10,288","35,656","33,201","43,315","22,682"
2020,12,50,"208,340","5,597","27,676","17,269","12,178","38,749","36,383","50,159","20,329"
2020,12,60,"155,170","4,719","23,884","14,561","10,989","26,209","24,599","35,359","14,850"
2020,12,70,"76,599","3,106","13,163","7,534","6,431","12,160","12,514","15,272","6,419"
2020,12,80,"27,260","1,256","4,652","2,383","2,612","4,256","5,067","4,989","2,045"
2020,12,90,"2,073",117,327,138,223,292,431,370,175
2020,12,100,176,21,37,25,18,21,26,19,9
2021,1,총,"1,191,656","36,724","168,218","85,396","70,355","218,975","205,210","274,911","131,867"
2021,1,0,"90,568","2,628","12,752","3,871","3,496","17,220","15,251","20,396","14,954"
2021,1,10,"117,595","2,601","13,867","5,610","4,941","22,437","27,108","28,519","12,512"
2021,1,20,"171,170","5,682","22,249","11,910","10,168","33,564","29,705","41,999","15,893"
2021,1,30,"152,524","5,548","23,051","9,830","9,005","28,204","20,769","34,412","21,705"
2021,1,40,"188,820","5,449","26,383","12,216","10,224","35,489","33,142","43,170","22,747"
2021,1,50,"208,139","5,570","27,636","17,211","12,169","38,813","36,374","50,036","20,330"
2021,1,60,"156,192","4,729","24,041","14,628","11,039","26,430","24,732","35,603","14,990"
2021,1,70,"76,817","3,109","13,166","7,549","6,438","12,185","12,562","15,330","6,478"
2021,1,80,"27,551","1,268","4,699","2,411","2,629","4,314","5,104","5,050","2,076"
2021,1,90,"2,102",119,335,135,228,298,437,377,173
2021,1,100,178,21,39,25,18,21,26,19,9
2021,2,총,"1,190,244","36,586","168,276","85,148","70,279","218,625","205,155","274,175","132,000"
2021,2,0,"90,171","2,592","12,732","3,818","3,482","17,125","15,337","20,167","14,918"
2021,2,10,"117,111","2,586","13,847","5,577","4,910","22,305","26,966","28,386","12,534"
2021,2,20,"170,285","5,641","22,182","11,778","10,183","33,480","29,488","41,703","15,830"
2021,2,30,"152,032","5,544","22,970","9,793","8,965","28,070","20,780","34,242","21,668"
2021,2,40,"188,481","5,394","26,381","12,183","10,193","35,358","33,142","43,048","22,782"
2021,2,50,"207,880","5,561","27,672","17,114","12,138","38,774","36,359","49,919","20,343"
2021,2,60,"157,160","4,763","24,173","14,733","11,071","26,618","24,863","35,792","15,147"
2021,2,70,"76,952","3,082","13,180","7,542","6,433","12,209","12,591","15,415","6,500"
2021,2,80,"27,861","1,280","4,761","2,450","2,659","4,363","5,156","5,097","2,095"
2021,2,90,"2,135",123,339,135,227,303,448,386,174
2021,2,100,176,20,39,25,18,20,25,20,9
2021,3,총,"1,188,070","36,334","168,722","84,873","70,169","218,197","204,586","273,311","131,878"
2021,3,0,"89,724","2,556","12,708","3,786","3,452","17,010","15,255","20,056","14,901"
2021,3,10,"116,435","2,565","13,876","5,515","4,901","22,167","26,738","28,154","12,519"
2021,3,20,"169,898","5,615","22,224","11,689","10,180","33,448","29,396","41,568","15,778"
2021,3,30,"151,679","5,502","23,102","9,792","8,945","27,987","20,702","34,048","21,601"
2021,3,40,"187,691","5,368","26,311","12,109","10,158","35,154","32,973","42,811","22,807"
2021,3,50,"207,246","5,536","27,734","17,040","12,086","38,670","36,294","49,648","20,238"
2021,3,60,"158,081","4,744","24,356","14,778","11,096","26,789","24,960","36,089","15,269"
2021,3,70,"77,066","3,060","13,232","7,553","6,427","12,272","12,589","15,412","6,521"
2021,3,80,"28,025","1,261","4,814","2,462","2,688","4,382","5,211","5,127","2,080"
2021,3,90,"2,107",112,338,135,223,302,447,389,161
2021,3,100,118,15,27,14,13,16,21,9,3
2021,4,총,"1,186,663","36,199","168,584","84,624","70,219","218,144","204,076","272,745","132,072"
2021,4,0,"89,201","2,540","12,615","3,743","3,447","16,979","15,162","19,860","14,855"
2021,4,10,"116,065","2,552","13,833","5,488","4,895","22,122","26,603","28,040","12,532"
2021,4,20,"169,519","5,572","22,191","11,638","10,183","33,420","29,282","41,439","15,794"
2021,4,30,"151,345","5,491","23,069","9,777","8,993","27,930","20,617","33,911","21,557"
2021,4,40,"187,387","5,337","26,279","12,051","10,148","35,125","32,849","42,698","22,900"
2021,4,50,"206,898","5,532","27,692","16,920","12,093","38,645","36,224","49,540","20,252"
2021,4,60,"158,693","4,740","24,447","14,816","11,120","26,901","25,046","36,239","15,384"
2021,4,70,"77,098","3,043","13,246","7,556","6,406","12,294","12,580","15,438","6,535"
2021,4,80,"28,225","1,266","4,849","2,490","2,700","4,407","5,235","5,182","2,096"
2021,4,90,"2,112",111,336,130,220,305,457,389,164
2021,4,100,120,15,27,15,14,16,21,9,3
2021,5,총,"1,184,977","36,106","168,209","84,423","70,118","218,036","203,573","272,325","132,187"
2021,5,0,"88,761","2,515","12,517","3,711","3,445","16,897","15,114","19,726","14,836"
2021,5,10,"115,747","2,556","13,839","5,445","4,875","22,062","26,449","27,969","12,552"
2021,5,20,"169,020","5,549","22,047","11,589","10,122","33,417","29,147","41,359","15,790"
2021,5,30,"150,980","5,468","23,008","9,764","8,996","27,891","20,590","33,798","21,465"
2021,5,40,"186,596","5,322","26,163","11,933","10,116","34,993","32,643","42,497","22,929"
2021,5,50,"206,719","5,518","27,634","16,897","12,064","38,669","36,218","49,448","20,271"
2021,5,60,"159,410","4,740","24,503","14,877","11,163","27,065","25,099","36,454","15,509"
2021,5,70,"77,140","3,049","13,245","7,553","6,385","12,306","12,584","15,452","6,566"
2021,5,80,"28,380","1,260","4,892","2,510","2,716","4,428","5,252","5,219","2,103"
2021,5,90,"2,107",114,334,129,222,295,456,394,163
2021,5,100,117,15,27,15,14,13,21,9,3
2021,6,총,"1,182,380","35,922","167,668","83,975","69,755","217,669","203,195","271,953","132,243"
2021,6,0,"88,391","2,498","12,437","3,702","3,441","16,797","15,098","19,622","14,796"
2021,6,10,"115,414","2,558","13,813","5,411","4,839","22,036","26,311","27,881","12,565"
2021,6,20,"168,478","5,516","21,952","11,513","10,079","33,321","29,035","41,263","15,799"
2021,6,30,"150,467","5,432","22,903","9,687","8,967","27,805","20,657","33,641","21,375"
2021,6,40,"186,244","5,317","26,109","11,886","10,057","34,923","32,561","42,405","22,986"
2021,6,50,"205,925","5,477","27,509","16,747","12,016","38,561","36,071","49,298","20,246"
2021,6,60,"160,010","4,722","24,517","14,920","11,118","27,215","25,164","36,741","15,613"
2021,6,70,"76,951","3,020","13,221","7,503","6,345","12,289","12,547","15,443","6,583"
2021,6,80,"28,376","1,255","4,874","2,482","2,686","4,427","5,280","5,256","2,116"
2021,6,90,"2,054",113,321,119,204,287,455,394,161
2021,6,100,70,14,12,5,3,8,16,9,3
2021,7,총,"1,181,351","35,757","167,503","83,659","69,663","217,540","203,235","271,525","132,469"
2021,7,0,"88,038","2,477","12,376","3,667","3,415","16,711","15,106","19,513","14,773"
2021,7,10,"115,120","2,533","13,762","5,393","4,831","21,963","26,261","27,787","12,590"
2021,7,20,"167,871","5,471","21,861","11,401","10,052","33,268","28,955","41,070","15,793"
2021,7,30,"150,289","5,420","22,849","9,623","8,952","27,778","20,713","33,562","21,392"
2021,7,40,"185,857","5,288","26,096","11,841","10,041","34,826","32,505","42,248","23,012"
2021,7,50,"205,641","5,454","27,483","16,641","11,968","38,568","36,038","49,184","20,305"
2021,7,60,"160,779","4,708","24,599","14,964","11,177","27,348","25,304","36,985","15,694"
2021,7,70,"77,101","3,008","13,256","7,513","6,325","12,315","12,552","15,511","6,621"
2021,7,80,"28,508","1,266","4,882","2,494","2,693","4,460","5,330","5,256","2,127"
2021,7,90,"2,078",118,327,118,206,295,455,400,159
2021,7,100,69,14,12,4,3,8,16,9,3
2021,8,총,"1,180,223","35,580","167,453","83,453","69,510","217,339","203,120","270,975","132,793"
2021,8,0,"87,671","2,476","12,297","3,638","3,394","16,585","15,074","19,426","14,781"
2021,8,10,"114,801","2,505","13,758","5,389","4,812","21,900","26,188","27,621","12,628"
2021,8,20,"167,340","5,451","21,838","11,299","10,018","33,192","28,860","40,890","15,792"
2021,8,30,"150,023","5,370","22,800","9,585","8,929","27,715","20,751","33,495","21,378"
2021,8,40,"185,324","5,252","26,061","11,789","10,000","34,720","32,399","42,023","23,080"
2021,8,50,"205,571","5,436","27,500","16,581","11,940","38,542","36,062","49,120","20,390"
2021,8,60,"161,387","4,707","24,686","15,015","11,187","27,526","25,387","37,099","15,780"
2021,8,70,"77,302","2,994","13,250","7,514","6,324","12,375","12,590","15,600","6,655"
2021,8,80,"28,631","1,256","4,919","2,517","2,696","4,478","5,334","5,287","2,144"
2021,8,90,"2,103",120,331,122,207,298,459,406,160
2021,8,100,70,13,13,4,3,8,16,8,5
2021,9,총,"1,179,640","35,535","167,322","83,187","69,457","217,543","202,912","270,482","133,202"
2021,9,0,"87,195","2,471","12,232","3,613","3,357","16,518","14,968","19,273","14,763"
2021,9,10,"114,664","2,495","13,732","5,357","4,795","21,891","26,161","27,554","12,679"
2021,9,20,"166,989","5,479","21,744","11,196","10,012","33,250","28,746","40,735","15,827"
2021,9,30,"150,044","5,355","22,781","9,592","8,962","27,761","20,760","33,421","21,412"
2021,9,40,"184,828","5,259","26,010","11,693","9,974","34,590","32,291","41,837","23,174"
2021,9,50,"205,568","5,407","27,504","16,514","11,923","38,636","36,077","49,090","20,417"
2021,9,60,"161,876","4,706","24,732","15,042","11,178","27,672","25,450","37,184","15,912"
2021,9,70,"77,475","2,975","13,270","7,521","6,332","12,407","12,626","15,660","6,684"
2021,9,80,"28,806","1,257","4,969","2,528","2,714","4,502","5,358","5,313","2,165"
2021,9,90,"2,126",118,335,126,207,309,460,407,164
2021,9,100,69,13,13,5,3,7,15,8,5
2021,10,총,"1,178,486","35,858","167,505","82,929","69,287","217,197","202,574","269,775","133,361"
2021,10,0,"86,775","2,559","12,218","3,578","3,324","16,421","14,863","19,077","14,735"
2021,10,10,"114,392","2,513","13,730","5,309","4,771","21,780","26,106","27,486","12,697"
2021,10,20,"166,160","5,467","21,648","11,120","9,962","33,094","28,611","40,458","15,800"
2021,10,30,"150,026","5,460","22,915","9,587","8,952","27,700","20,689","33,356","21,367"
2021,10,40,"184,278","5,317","25,967","11,625","9,899","34,465","32,170","41,598","23,237"
2021,10,50,"205,661","5,473","27,555","16,437","11,924","38,663","36,104","49,063","20,442"
2021,10,60,"162,305","4,711","24,791","15,056","11,188","27,759","25,528","37,260","16,012"
2021,10,70,"77,699","2,971","13,334","7,529","6,322","12,467","12,641","15,717","6,718"
2021,10,80,"28,993","1,257","5,003","2,560","2,735","4,535","5,388","5,337","2,178"
2021,10,90,"2,133",118,332,123,209,306,460,415,170
2021,10,100,64,12,12,5,1,7,14,8,5
2021,11,총,"1,177,136","35,927","167,733","82,574","69,066","217,189","202,137","269,093","133,417"
2021,11,0,"86,359","2,566","12,236","3,547","3,284","16,347","14,750","18,950","14,679"
2021,11,10,"114,148","2,536","13,715","5,282","4,762","21,704","26,051","27,391","12,707"
2021,11,20,"165,492","5,450","21,570","10,998","9,914","33,054","28,497","40,227","15,782"
2021,11,30,"149,695","5,458","22,983","9,536","8,934","27,703","20,591","33,201","21,289"
2021,11,40,"184,070","5,341","26,021","11,551","9,848","34,461","32,051","41,471","23,326"
2021,11,50,"205,615","5,491","27,591","16,386","11,877","38,678","36,099","49,043","20,450"
2021,11,60,"162,609","4,727","24,853","15,041","11,167","27,860","25,573","37,299","16,089"
2021,11,70,"77,848","2,964","13,392","7,547","6,320","12,499","12,662","15,729","6,735"
2021,11,80,"29,102","1,271","5,020","2,560","2,753","4,569","5,391","5,353","2,185"
2021,11,90,"2,154",120,340,124,207,308,462,423,170
2021,11,100,44,3,12,2,0,6,10,6,5
2021,12,총,"1,175,632","35,948","167,888","82,241","68,799","217,420","201,689","268,498","133,149"
2021,12,0,"85,980","2,562","12,248","3,505","3,256","16,309","14,668","18,902","14,530"
2021,12,10,"113,890","2,548","13,702","5,244","4,733","21,676","25,941","27,306","12,740"
2021,12,20,"164,484","5,442","21,518","10,876","9,807","32,944","28,375","39,856","15,666"
2021,12,30,"149,452","5,469","22,967","9,495","8,888","27,763","20,519","33,164","21,187"
2021,12,40,"183,962","5,361","26,123","11,496","9,792","34,552","31,909","41,396","23,333"
2021,12,50,"205,369","5,493","27,583","16,332","11,879","38,696","36,043","48,925","20,418"
2021,12,60,"162,849","4,726","24,891","15,023","11,138","27,966","25,647","37,346","16,112"
2021,12,70,"78,079","2,941","13,444","7,549","6,321","12,587","12,684","15,769","6,784"
2021,12,80,"29,339","1,283","5,057","2,596","2,777","4,610","5,413","5,402","2,201"
2021,12,90,"2,197",120,345,124,208,316,483,426,175
2021,12,100,31,3,10,1,0,1,7,6,3
