년도,월,나이,전라북도 부안군,전라북도 부안군 부안읍,전라북도 부안군 주산면,전라북도 부안군 동진면,전라북도 부안군 행안면,전라북도 부안군 계화면,전라북도 부안군 보안면,전라북도 부안군 변산면,전라북도 부안군 진서면,전라북도 부안군 백산면,전라북도 부안군 상서면,전라북도 부안군 하서면,전라북도 부안군 줄포면,전라북도 부안군 위도면
2020,10,40,"6,201","3,125",153,262,242,383,196,542,216,248,180,262,275,117
2020,10,50,"8,896","3,445",315,494,405,522,454,867,423,422,413,450,474,212
2020,10,60,"9,585","2,929",446,563,440,768,562,883,571,536,457,577,570,283
2020,10,70,"7,715","1,988",385,574,344,713,502,625,416,527,412,523,492,214
2020,10,80,"4,646","1,077",284,400,241,341,343,333,193,408,284,347,273,122
2020,10,90,624,125,43,60,43,39,40,43,28,52,34,47,49,21
2020,10,100,35,6,4,2,1,2,2,2,3,2,3,2,5,1
2020,11,총,"52,237","21,002","1,971","2,884","2,257","3,445","2,466","4,559","2,316","2,593","2,236","2,706","2,644","1,158"
2020,11,0,"2,572","1,671",48,54,73,99,49,216,68,49,68,68,82,27
2020,11,10,"3,726","2,352",70,115,125,144,78,280,112,101,89,114,115,31
2020,11,20,"4,330","2,205",117,205,178,213,132,390,152,145,163,184,180,66
2020,11,30,"3,910","2,063",113,161,175,227,109,358,135,107,128,137,129,68
2020,11,40,"6,184","3,128",150,260,233,382,198,543,219,243,179,264,271,114
2020,11,50,"8,872","3,441",311,496,395,518,451,871,416,420,414,448,479,212
2020,11,60,"9,616","2,947",446,561,448,764,562,900,572,540,453,576,569,278
2020,11,70,"7,718","1,987",384,571,343,713,501,626,415,526,417,524,492,219
2020,11,80,"4,653","1,078",285,399,243,346,343,331,197,407,288,342,275,119
2020,11,90,623,125,43,61,43,37,41,42,27,53,34,47,47,23
2020,11,100,33,5,4,1,1,2,2,2,3,2,3,2,5,1
2020,12,총,"52,140","21,003","1,969","2,891","2,244","3,440","2,462","4,526","2,315","2,585","2,223","2,691","2,635","1,156"
2020,12,0,"2,561","1,666",44,55,73,98,49,215,68,49,67,69,80,28
2020,12,10,"3,723","2,352",69,116,124,148,78,278,109,102,87,113,116,31
2020,12,20,"4,305","2,200",120,207,174,207,130,385,151,146,160,182,180,63
2020,12,30,"3,903","2,068",112,160,173,225,114,356,136,112,126,132,125,64
2020,12,40,"6,145","3,112",153,259,225,385,193,535,220,237,178,260,272,116
2020,12,50,"8,845","3,433",310,500,398,514,450,867,412,421,410,449,469,212
2020,12,60,"9,629","2,976",450,560,451,753,563,894,575,533,451,570,575,278
2020,12,70,"7,708","1,983",378,574,343,722,495,621,415,523,416,532,493,213
2020,12,80,"4,667","1,085",285,399,241,348,347,333,197,406,291,337,273,125
2020,12,90,619,122,44,60,41,38,41,40,29,54,34,45,47,24
2020,12,100,35,6,4,1,1,2,2,2,3,2,3,2,5,2
2021,1,총,"52,038","20,972","1,955","2,889","2,237","3,437","2,453","4,530","2,321","2,572","2,215","2,682","2,628","1,147"
2021,1,0,"2,536","1,640",44,62,75,97,49,212,71,48,65,70,77,26
2021,1,10,"3,732","2,362",65,115,123,150,78,279,110,99,89,116,117,29
2021,1,20,"4,263","2,181",118,202,166,204,130,383,157,143,160,178,178,63
2021,1,30,"3,876","2,054",106,157,171,229,113,354,136,114,125,130,122,65
2021,1,40,"6,116","3,103",152,261,226,380,189,534,221,231,178,255,276,110
2021,1,50,"8,815","3,440",314,492,402,508,444,864,404,420,404,450,462,211
2021,1,60,"9,660","2,982",450,567,448,758,562,909,580,533,453,566,577,275
2021,1,70,"7,715","1,997",376,572,344,719,493,626,416,520,411,529,495,217
2021,1,80,"4,671","1,089",282,402,239,352,350,326,195,407,293,340,272,124
2021,1,90,616,117,44,58,41,38,42,41,28,55,34,46,47,25
2021,1,100,38,7,4,1,2,2,3,2,3,2,3,2,5,2
2021,2,총,"51,963","20,994","1,950","2,869","2,223","3,437","2,453","4,529","2,308","2,560","2,219","2,679","2,602","1,140"
2021,2,0,"2,531","1,646",42,58,73,102,47,210,70,48,64,73,74,24
2021,2,10,"3,705","2,355",64,116,119,148,83,282,108,93,87,107,114,29
2021,2,20,"4,218","2,168",115,192,161,202,128,372,153,144,164,183,175,61
2021,2,30,"3,856","2,043",111,158,169,225,112,353,135,115,121,125,122,67
2021,2,40,"6,113","3,115",152,261,225,383,188,532,218,224,179,257,268,111
2021,2,50,"8,798","3,461",308,482,398,507,444,865,402,416,409,441,459,206
2021,2,60,"9,684","2,995",454,567,451,761,561,915,580,530,450,575,570,275
2021,2,70,"7,707","1,993",373,572,344,714,493,626,413,525,411,529,497,217
2021,2,80,"4,688","1,094",281,403,239,354,350,330,198,407,298,339,272,123
2021,2,90,625,117,46,59,42,39,44,42,28,56,33,48,46,25
2021,2,100,38,7,4,1,2,2,3,2,3,2,3,2,5,2
2021,3,총,"51,800","20,974","1,919","2,862","2,203","3,444","2,450","4,485","2,295","2,570","2,222","2,670","2,570","1,136"
2021,3,0,"2,529","1,649",40,59,71,100,49,205,71,49,64,70,74,28
2021,3,10,"3,667","2,330",61,118,110,156,80,280,106,91,89,105,110,31
2021,3,20,"4,181","2,150",113,190,155,200,129,371,152,147,165,174,174,61
2021,3,30,"3,853","2,047",107,157,171,228,108,352,133,114,119,133,124,60
2021,3,40,"6,073","3,107",147,261,224,385,188,512,218,225,179,252,258,117
2021,3,50,"8,730","3,471",296,474,390,495,433,844,401,415,412,442,451,206
2021,3,60,"9,741","3,003",457,575,455,772,574,925,576,535,448,573,570,278
2021,3,70,"7,684","2,001",371,564,342,711,487,622,410,529,411,529,493,214
2021,3,80,"4,688","1,096",277,403,240,358,356,328,197,405,301,339,270,118
2021,3,90,631,115,47,61,43,37,44,45,28,58,33,51,46,23
2021,3,100,23,5,3,0,2,2,2,1,3,2,1,2,0,0
2021,4,총,"51,686","20,948","1,904","2,865","2,204","3,428","2,455","4,468","2,284","2,553","2,213","2,665","2,558","1,141"
2021,4,0,"2,514","1,645",40,57,66,101,47,203,71,48,62,71,74,29
2021,4,10,"3,643","2,316",57,119,109,151,82,283,101,91,87,107,107,33
2021,4,20,"4,180","2,150",112,194,158,199,131,364,153,150,164,172,170,63
2021,4,30,"3,817","2,038",103,155,173,224,103,348,134,113,118,130,121,57
2021,4,40,"6,043","3,104",140,260,222,380,191,510,212,220,176,254,255,119
2021,4,50,"8,705","3,453",297,475,393,493,436,841,395,414,408,443,451,206
2021,4,60,"9,763","3,032",454,582,455,771,572,917,580,529,456,566,571,278
2021,4,70,"7,695","1,998",375,563,340,715,490,625,411,531,407,528,497,215
2021,4,80,"4,676","1,097",276,401,244,353,357,329,196,398,300,341,266,118
2021,4,90,628,110,48,59,42,39,44,47,28,57,34,51,46,23
2021,4,100,22,5,2,0,2,2,2,1,3,2,1,2,0,0
2021,5,총,"51,547","20,953","1,909","2,842","2,204","3,402","2,436","4,435","2,276","2,534","2,211","2,654","2,548","1,143"
2021,5,0,"2,483","1,622",41,60,66,98,47,202,71,47,59,71,71,28
2021,5,10,"3,646","2,333",58,118,111,151,80,275,99,97,85,103,104,32
2021,5,20,"4,172","2,167",109,190,152,196,130,357,153,150,167,173,164,64
2021,5,30,"3,766","2,022",103,154,168,220,102,341,134,112,112,126,116,56
2021,5,40,"5,980","3,083",140,247,219,372,190,509,207,216,173,251,252,121
2021,5,50,"8,699","3,468",299,465,396,491,429,838,399,405,409,444,449,207
2021,5,60,"9,770","3,039",458,583,460,762,566,911,566,529,464,568,581,283
2021,5,70,"7,705","2,008",375,567,341,714,487,623,421,526,407,523,499,214
2021,5,80,"4,674","1,094",275,398,247,357,359,329,197,395,297,341,268,117
2021,5,90,630,112,49,60,42,39,44,49,26,55,37,52,44,21
2021,5,100,22,5,2,0,2,2,2,1,3,2,1,2,0,0
2021,6,총,"51,419","20,918","1,899","2,832","2,199","3,378","2,436","4,426","2,268","2,526","2,211","2,638","2,542","1,146"
2021,6,0,"2,472","1,619",40,60,65,95,47,201,71,46,60,68,70,30
2021,6,10,"3,621","2,334",56,110,112,148,80,270,98,93,84,102,103,31
2021,6,20,"4,167","2,174",112,191,145,194,127,363,150,151,164,171,160,65
2021,6,30,"3,742","2,001",104,155,169,216,103,338,131,111,112,129,115,58
2021,6,40,"5,943","3,079",135,238,219,367,187,504,206,209,176,249,251,123
2021,6,50,"8,655","3,449",297,467,393,488,428,831,397,404,405,444,446,206
2021,6,60,"9,776","3,037",454,587,463,756,569,914,568,534,467,562,585,280
2021,6,70,"7,690","2,008",372,564,342,715,488,623,418,525,408,518,495,214
2021,6,80,"4,698","1,100",278,399,245,358,361,330,199,397,296,344,273,118
2021,6,90,633,112,49,61,44,39,44,51,27,54,38,49,44,21
2021,6,100,22,5,2,0,2,2,2,1,3,2,1,2,0,0
2021,7,총,"51,384","20,953","1,909","2,808","2,190","3,362","2,421","4,433","2,273","2,518","2,200","2,631","2,533","1,153"
2021,7,0,"2,460","1,620",39,58,63,95,46,196,73,43,58,68,69,32
2021,7,10,"3,618","2,330",55,110,115,144,80,277,99,95,82,99,101,31
2021,7,20,"4,162","2,192",114,180,146,192,126,358,148,150,161,170,160,65
2021,7,30,"3,721","1,990",103,154,168,213,100,343,131,109,108,129,115,58
2021,7,40,"5,910","3,068",137,231,216,363,184,500,212,205,176,246,249,123
2021,7,50,"8,660","3,460",301,469,386,488,427,836,396,404,403,440,442,208
2021,7,60,"9,796","3,055",457,581,466,754,564,917,566,536,468,562,588,282
2021,7,70,"7,692","2,018",372,564,342,714,489,623,417,522,410,516,492,213
2021,7,80,"4,702","1,099",279,401,243,357,361,332,201,395,294,351,271,118
2021,7,90,642,116,51,60,43,40,42,50,27,57,39,48,46,23
2021,7,100,21,5,1,0,2,2,2,1,3,2,1,2,0,0
2021,8,총,"51,244","20,927","1,907","2,794","2,174","3,348","2,418","4,418","2,276","2,496","2,190","2,623","2,525","1,148"
2021,8,0,"2,441","1,615",39,55,60,97,45,194,73,41,56,68,66,32
2021,8,10,"3,582","2,318",53,111,113,139,78,269,99,93,82,100,96,31
2021,8,20,"4,139","2,188",113,175,142,195,123,356,151,146,158,167,163,62
2021,8,30,"3,687","1,970",105,154,164,206,102,345,129,109,110,126,112,55
2021,8,40,"5,864","3,051",135,222,214,358,179,499,208,208,173,248,250,119
2021,8,50,"8,662","3,473",305,469,389,488,431,827,397,396,400,440,438,209
2021,8,60,"9,826","3,072",458,587,463,748,571,922,570,533,470,560,588,284
2021,8,70,"7,673","2,023",370,557,345,715,487,622,417,519,404,513,488,213
2021,8,80,"4,704","1,099",276,402,240,358,358,333,201,394,296,352,276,119
2021,8,90,644,112,52,62,42,42,42,50,28,55,40,47,48,24
2021,8,100,22,6,1,0,2,2,2,1,3,2,1,2,0,0
2021,9,총,"51,053","20,897","1,898","2,789","2,157","3,320","2,395","4,394","2,250","2,487","2,176","2,621","2,528","1,141"
2021,9,0,"2,416","1,612",38,56,55,95,44,191,69,41,54,65,65,31
2021,9,10,"3,566","2,321",54,109,111,138,76,264,96,91,80,101,96,29
2021,9,20,"4,048","2,156",112,172,131,191,115,342,145,143,156,162,160,63
2021,9,30,"3,655","1,953",104,154,168,203,100,339,121,109,107,128,116,53
2021,9,40,"5,832","3,042",133,224,206,351,176,505,209,206,168,248,244,120
2021,9,50,"8,620","3,462",304,464,388,484,426,823,392,392,399,437,444,205
2021,9,60,"9,851","3,098",453,590,466,738,566,921,572,536,472,566,588,285
2021,9,70,"7,670","2,028",370,556,346,715,483,627,414,517,405,510,490,209
2021,9,80,"4,717","1,107",278,400,241,359,363,330,200,393,294,355,275,122
2021,9,90,656,112,51,64,43,44,44,51,29,57,40,47,50,24
2021,9,100,22,6,1,0,2,2,2,1,3,2,1,2,0,0
2021,10,총,"50,918","20,863","1,893","2,765","2,150","3,308","2,395","4,378","2,240","2,473","2,170","2,608","2,536","1,139"
2021,10,0,"2,390","1,601",37,51,56,91,47,183,69,40,55,65,66,29
2021,10,10,"3,549","2,308",55,104,111,141,76,268,94,91,79,100,94,28
2021,10,20,"4,012","2,141",114,172,128,188,112,332,143,141,154,159,166,62
2021,10,30,"3,652","1,954",106,152,168,198,102,339,121,112,107,127,112,54
2021,10,40,"5,794","3,031",130,219,201,355,176,500,208,202,169,243,242,118
2021,10,50,"8,555","3,447",302,462,386,478,415,818,386,384,396,435,444,202
2021,10,60,"9,902","3,126",454,590,466,740,572,924,574,544,468,564,591,289
2021,10,70,"7,668","2,020",369,552,347,717,481,634,415,513,406,514,490,210
2021,10,80,"4,706","1,115",276,393,240,354,367,327,198,390,296,347,280,123
2021,10,90,668,114,49,70,45,44,45,52,29,54,39,52,51,24
2021,10,100,22,6,1,0,2,2,2,1,3,2,1,2,0,0
2021,11,총,"50,852","20,844","1,880","2,768","2,151","3,298","2,401","4,370","2,240","2,474","2,166","2,603","2,528","1,129"
2021,11,0,"2,367","1,586",36,53,55,91,51,177,70,36,54,63,67,28
2021,11,10,"3,538","2,308",53,103,108,139,74,270,97,91,77,99,95,24
2021,11,20,"3,991","2,139",112,169,128,185,111,330,144,142,153,159,158,61
2021,11,30,"3,633","1,934",106,152,167,202,103,333,120,113,108,127,113,55
2021,11,40,"5,767","3,027",126,215,200,358,174,500,206,200,170,238,238,115
2021,11,50,"8,559","3,457",305,466,385,468,418,811,387,384,393,433,452,200
2021,11,60,"9,926","3,140",448,589,472,739,571,935,575,541,469,572,590,285
2021,11,70,"7,671","2,012",372,551,350,720,487,632,413,515,405,512,489,213
2021,11,80,"4,707","1,119",274,400,239,351,364,329,196,393,297,344,278,123
2021,11,90,671,116,47,70,45,44,46,52,29,57,39,53,48,25
2021,11,100,22,6,1,0,2,1,2,1,3,2,1,3,0,0
2021,12,총,"50,795","20,837","1,881","2,767","2,148","3,303","2,397","4,357","2,238","2,460","2,159","2,601","2,521","1,126"
2021,12,0,"2,351","1,573",36,53,54,93,49,175,68,36,55,63,68,28
2021,12,10,"3,517","2,305",51,100,106,137,74,267,95,86,77,100,96,23
2021,12,20,"3,988","2,148",116,174,124,186,111,318,144,144,148,158,154,63
2021,12,30,"3,636","1,931",102,151,171,207,102,337,117,110,110,133,109,56
2021,12,40,"5,743","3,015",131,213,198,358,169,497,203,198,169,238,239,115
2021,12,50,"8,554","3,463",305,467,383,465,420,808,394,383,393,425,448,200
2021,12,60,"9,928","3,132",450,589,480,737,578,934,578,535,468,575,591,281
2021,12,70,"7,665","2,021",371,550,347,720,482,634,411,514,401,513,488,213
2021,12,80,"4,722","1,126",272,398,237,355,366,335,196,398,298,341,279,121
2021,12,90,672,118,46,71,46,44,44,52,29,56,39,52,49,26
2021,12,100,19,5,1,1,2,1,2,0,3,0,1,3,0,0
