년도,월,나이,이천시,장호원읍,부발읍,신둔면,백사면,호법면,마장면,대월면,모가면,설성면,율면,창전동,증포동,중리동,관고동
2020,7,10,"12,448",745,"2,342",638,448,475,"1,018",618,138,131,65,800,"4,148",498,384
2020,7,20,"16,816",939,"2,902",897,701,389,"1,233","1,258",248,233,113,"1,493","3,547","2,069",794
2020,7,30,"16,419",810,"2,756",970,650,389,"1,290","1,365",231,244,91,"1,234","4,103","1,502",784
2020,7,40,"18,003","1,077","3,484","1,067",854,430,"1,068","1,151",301,304,160,"1,277","5,025","1,016",789
2020,7,50,"18,258","1,325","2,923","1,336","1,105",610,"1,039","1,069",484,509,240,"1,444","3,980","1,203",991
2020,7,60,"12,716","1,159","1,694","1,063",850,531,804,744,503,528,342,"1,099","1,710",918,771
2020,7,70,"5,986",657,721,468,430,266,390,395,262,327,195,526,601,436,312
2020,7,80,"2,416",281,293,171,202,114,150,140,129,155,126,166,216,166,107
2020,7,90,225,27,21,18,24,10,20,13,13,9,14,14,17,15,10
2020,7,100,18,4,0,2,0,0,2,2,0,2,1,0,1,3,1
2020,8,총,"113,658","7,536","18,862","7,195","5,696","3,493","8,001","7,419","2,398","2,521","1,381","8,586","26,988","8,342","5,240"
2020,8,0,"9,944",510,"1,736",542,416,168,738,661,87,90,38,527,"3,615",507,309
2020,8,10,"12,555",738,"2,338",636,454,549,"1,089",609,141,129,66,795,"4,133",499,379
2020,8,20,"16,915",938,"2,890",904,699,425,"1,284","1,254",249,229,111,"1,500","3,570","2,068",794
2020,8,30,"16,451",811,"2,759",979,650,384,"1,346","1,352",231,240,89,"1,239","4,085","1,502",784
2020,8,40,"18,002","1,076","3,467","1,063",866,431,"1,089","1,165",294,307,159,"1,267","5,021","1,018",779
2020,8,50,"18,299","1,324","2,921","1,333","1,093",611,"1,072","1,074",488,504,241,"1,447","3,999","1,206",986
2020,8,60,"12,827","1,173","1,708","1,074",860,532,813,751,501,528,345,"1,104","1,733",924,781
2020,8,70,"5,988",655,728,472,426,267,398,395,263,327,195,524,593,435,310
2020,8,80,"2,431",280,292,172,207,116,150,143,131,156,124,168,221,165,106
2020,8,90,228,27,23,18,25,10,20,13,13,9,12,15,17,15,11
2020,8,100,18,4,0,2,0,0,2,2,0,2,1,0,1,3,1
2020,9,총,"113,655","7,506","18,872","7,211","5,677","3,462","8,014","7,413","2,389","2,521","1,380","8,581","27,011","8,360","5,258"
2020,9,0,"9,904",504,"1,724",546,407,165,740,665,89,90,39,523,"3,599",505,308
2020,9,10,"12,446",737,"2,332",626,459,519,"1,042",609,142,126,66,798,"4,117",502,371
2020,9,20,"16,936",927,"2,893",900,692,428,"1,299","1,253",243,228,109,"1,497","3,596","2,071",800
2020,9,30,"16,429",811,"2,748",992,645,385,"1,359","1,348",228,245,91,"1,233","4,064","1,490",790
2020,9,40,"17,984","1,063","3,469","1,064",864,424,"1,102","1,167",293,305,158,"1,259","5,014","1,024",778
2020,9,50,"18,365","1,316","2,938","1,339","1,090",617,"1,087","1,066",484,502,236,"1,446","4,038","1,213",993
2020,9,60,"12,903","1,179","1,721","1,075",866,531,809,753,501,531,347,"1,112","1,751",938,789
2020,9,70,"5,989",654,730,472,422,267,404,392,265,325,194,530,593,434,307
2020,9,80,"2,448",285,293,177,208,116,150,145,132,156,127,164,220,166,109
2020,9,90,233,26,24,18,24,10,20,13,12,11,12,19,18,14,12
2020,9,100,18,4,0,2,0,0,2,2,0,2,1,0,1,3,1
2020,10,총,"113,667","7,503","18,861","7,232","5,712","3,456","8,025","7,392","2,381","2,516","1,377","8,567","27,014","8,398","5,233"
2020,10,0,"9,834",511,"1,696",546,417,163,742,655,86,88,37,521,"3,567",502,303
2020,10,10,"12,380",730,"2,322",622,459,505,"1,028",610,142,124,65,790,"4,109",502,372
2020,10,20,"17,023",932,"2,908",906,700,435,"1,308","1,241",241,232,105,"1,514","3,613","2,097",791
2020,10,30,"16,353",801,"2,739",991,643,387,"1,354","1,336",226,241,95,"1,222","4,042","1,489",787
2020,10,40,"17,947","1,056","3,456","1,073",863,425,"1,118","1,166",289,308,154,"1,257","4,998","1,022",762
2020,10,50,"18,409","1,311","2,958","1,347","1,099",612,"1,086","1,067",485,499,239,"1,435","4,061","1,213",997
2020,10,60,"13,005","1,191","1,737","1,082",873,536,813,763,499,528,348,"1,116","1,782",944,793
2020,10,70,"6,012",652,733,468,426,269,407,391,268,328,195,527,599,443,306
2020,10,80,"2,451",289,290,176,206,113,147,147,133,157,126,166,223,169,109
2020,10,90,235,26,22,19,26,11,20,14,12,9,12,19,19,14,12
2020,10,100,18,4,0,2,0,0,2,2,0,2,1,0,1,3,1
2020,11,총,"113,668","7,478","18,896","7,252","5,729","3,440","8,051","7,354","2,384","2,517","1,375","8,556","26,963","8,424","5,249"
2020,11,0,"9,782",506,"1,691",555,415,161,749,646,83,87,36,516,"3,530",507,300
2020,11,10,"12,326",736,"2,330",612,457,486,"1,018",607,143,123,63,789,"4,093",502,367
2020,11,20,"17,071",923,"2,921",911,707,452,"1,309","1,239",243,233,108,"1,501","3,624","2,101",799
2020,11,30,"16,350",794,"2,732",989,649,387,"1,371","1,329",227,239,96,"1,226","4,012","1,506",793
2020,11,40,"17,938","1,058","3,442","1,073",862,420,"1,129","1,163",290,312,152,"1,271","4,985","1,015",766
2020,11,50,"18,357","1,299","2,982","1,345","1,101",608,"1,080","1,039",481,495,242,"1,413","4,075","1,207",990
2020,11,60,"13,106","1,188","1,750","1,094",880,537,818,776,502,533,342,"1,126","1,801",955,804
2020,11,70,"6,018",656,736,469,422,264,406,393,268,329,195,527,604,443,306
2020,11,80,"2,466",288,289,183,212,114,149,146,135,155,128,168,217,171,111
2020,11,90,235,26,23,18,24,11,20,14,12,9,12,19,21,14,12
2020,11,100,19,4,0,3,0,0,2,2,0,2,1,0,1,3,1
2020,12,총,"112,947","7,467","18,918","7,204","5,744","3,133","7,726","7,358","2,375","2,503","1,370","8,576","26,907","8,424","5,242"
2020,12,0,"9,729",504,"1,694",555,409,158,769,642,84,85,35,507,"3,491",494,302
2020,12,10,"11,559",730,"2,322",554,462,231,577,608,143,119,65,797,"4,091",496,364
2020,12,20,"17,037",921,"2,950",889,714,380,"1,298","1,249",239,236,106,"1,515","3,621","2,119",800
2020,12,30,"16,377",791,"2,722","1,002",652,387,"1,443","1,311",225,238,94,"1,229","3,985","1,513",785
2020,12,40,"17,940","1,048","3,447","1,083",856,421,"1,140","1,163",289,308,151,"1,269","4,982","1,019",764
2020,12,50,"18,327","1,299","2,981","1,342","1,108",619,"1,083","1,039",470,488,238,"1,405","4,064","1,195",996
2020,12,60,"13,228","1,202","1,752","1,101",886,548,839,786,506,533,349,"1,138","1,834",951,803
2020,12,70,"6,013",652,739,471,421,262,403,395,272,325,192,527,600,446,308
2020,12,80,"2,479",291,289,185,211,116,152,146,135,160,127,169,218,174,106
2020,12,90,239,25,22,19,25,11,20,17,12,9,12,20,20,14,13
2020,12,100,19,4,0,3,0,0,2,2,0,2,1,0,1,3,1
2021,1,총,"113,095","7,485","18,937","7,195","5,769","3,091","7,800","7,373","2,383","2,506","1,378","8,582","26,901","8,436","5,259"
2021,1,0,"9,653",494,"1,669",554,408,157,787,640,84,80,36,500,"3,463",478,303
2021,1,10,"11,459",735,"2,321",526,466,202,537,600,155,118,64,799,"4,079",488,369
2021,1,20,"17,137",921,"2,974",892,726,359,"1,318","1,270",237,240,103,"1,529","3,635","2,144",789
2021,1,30,"16,372",795,"2,698","1,002",648,391,"1,477","1,319",227,235,98,"1,230","3,952","1,512",788
2021,1,40,"17,948","1,037","3,450","1,089",853,421,"1,153","1,163",289,308,154,"1,263","4,980","1,025",763
2021,1,50,"18,372","1,305","2,999","1,341","1,109",619,"1,095","1,030",467,489,236,"1,403","4,082","1,194","1,003"
2021,1,60,"13,369","1,217","1,769","1,112",899,554,849,790,504,539,355,"1,143","1,865",959,814
2021,1,70,"6,035",657,747,472,424,260,408,398,274,324,192,520,606,447,306
2021,1,80,"2,493",295,288,188,211,117,154,144,135,159,127,176,218,171,110
2021,1,90,237,25,22,16,24,11,20,17,11,12,12,19,20,15,13
2021,1,100,20,4,0,3,1,0,2,2,0,2,1,0,1,3,1
2021,2,총,"113,156","7,485","18,955","7,204","5,747","3,056","7,847","7,397","2,390","2,498","1,378","8,587","26,908","8,456","5,248"
2021,2,0,"9,629",494,"1,651",561,404,162,803,630,82,77,35,502,"3,448",475,305
2021,2,10,"11,350",731,"2,323",524,452,180,508,588,160,116,62,786,"4,074",478,368
2021,2,20,"17,159",917,"3,001",875,733,347,"1,335","1,292",235,237,104,"1,529","3,640","2,135",779
2021,2,30,"16,345",799,"2,691",998,636,389,"1,496","1,324",226,228,96,"1,230","3,916","1,533",783
2021,2,40,"17,970","1,035","3,434","1,086",855,424,"1,157","1,163",291,305,155,"1,273","5,002","1,026",764
2021,2,50,"18,388","1,303","3,001","1,363","1,111",607,"1,111","1,038",462,487,239,"1,400","4,071","1,201",994
2021,2,60,"13,490","1,216","1,787","1,111",905,557,847,799,513,549,354,"1,151","1,906",965,830
2021,2,70,"6,040",661,751,479,412,261,411,393,276,326,189,522,605,453,301
2021,2,80,"2,526",299,294,187,213,118,157,150,134,160,131,175,226,172,110
2021,2,90,239,26,22,17,25,11,20,18,11,11,12,19,19,15,13
2021,2,100,20,4,0,3,1,0,2,2,0,2,1,0,1,3,1
2021,3,총,"113,087","7,440","18,962","7,205","5,753","3,032","7,941","7,372","2,392","2,488","1,360","8,552","26,905","8,439","5,246"
2021,3,0,"9,583",486,"1,642",557,406,158,806,622,80,78,35,505,"3,426",474,308
2021,3,10,"11,387",727,"2,313",522,448,173,559,589,164,117,61,785,"4,086",478,365
2021,3,20,"17,147",917,"3,027",869,742,341,"1,346","1,291",232,236,104,"1,515","3,644","2,113",770
2021,3,30,"16,320",787,"2,685","1,003",640,388,"1,504","1,326",229,227,92,"1,233","3,868","1,544",794
2021,3,40,"17,930","1,026","3,423","1,087",849,420,"1,174","1,148",290,303,157,"1,259","5,012","1,026",756
2021,3,50,"18,329","1,300","2,990","1,357","1,105",605,"1,106","1,038",460,486,226,"1,392","4,084","1,189",991
2021,3,60,"13,641","1,220","1,813","1,129",916,565,859,800,515,551,357,"1,151","1,947",979,839
2021,3,70,"6,009",658,757,477,409,259,409,394,274,319,186,520,592,451,304
2021,3,80,"2,511",295,293,186,212,114,158,146,137,159,131,174,229,168,109
2021,3,90,222,24,19,17,25,9,18,18,11,10,10,18,17,16,10
2021,3,100,8,0,0,1,1,0,2,0,0,2,1,0,0,1,0
2021,4,총,"113,538","7,436","18,996","7,342","5,777","3,060","8,036","7,374","2,398","2,466","1,363","8,552","27,002","8,480","5,256"
2021,4,0,"9,535",479,"1,639",553,405,160,798,615,82,70,34,503,"3,413",471,313
2021,4,10,"11,566",721,"2,302",644,451,183,626,584,161,117,63,782,"4,092",479,361
2021,4,20,"17,227",918,"3,033",878,740,342,"1,358","1,296",236,231,103,"1,514","3,676","2,133",769
2021,4,30,"16,365",788,"2,701","1,012",645,399,"1,509","1,330",227,219,91,"1,240","3,849","1,567",788
2021,4,40,"17,942","1,021","3,426","1,084",849,415,"1,175","1,144",286,302,157,"1,258","5,040","1,023",762
2021,4,50,"18,308","1,285","2,983","1,342","1,106",609,"1,117","1,039",462,486,227,"1,370","4,104","1,184",994
2021,4,60,"13,808","1,241","1,844","1,138",936,566,861,812,520,550,363,"1,162","1,983",990,842
2021,4,70,"6,021",659,759,488,404,262,410,394,274,316,183,526,596,442,308
2021,4,80,"2,536",301,290,185,214,115,163,142,139,163,131,179,231,174,109
2021,4,90,222,23,19,17,26,9,17,18,11,10,10,18,18,16,10
2021,4,100,8,0,0,1,1,0,2,0,0,2,1,0,0,1,0
2021,5,총,"113,745","7,421","18,965","7,354","5,764","3,086","8,082","7,364","2,380","2,461","1,365","8,513","27,269","8,482","5,239"
2021,5,0,"9,490",464,"1,630",554,398,160,795,611,81,72,32,496,"3,416",467,314
2021,5,10,"11,598",721,"2,291",650,452,179,645,590,157,115,66,772,"4,126",475,359
2021,5,20,"17,249",915,"3,029",869,739,346,"1,343","1,302",235,233,103,"1,505","3,723","2,135",772
2021,5,30,"16,357",777,"2,676","1,012",639,406,"1,523","1,315",222,218,92,"1,236","3,894","1,571",776
2021,5,40,"17,949","1,017","3,416","1,079",846,422,"1,184","1,136",278,301,155,"1,249","5,083","1,025",758
2021,5,50,"18,319","1,286","2,970","1,342","1,096",614,"1,129","1,037",458,476,225,"1,357","4,150","1,184",995
2021,5,60,"13,983","1,257","1,883","1,155",947,571,866,821,525,557,367,"1,176","2,025",998,835
2021,5,70,"6,021",660,756,490,408,262,418,393,271,314,185,521,596,436,311
2021,5,80,"2,548",302,295,185,213,117,160,142,141,161,128,183,238,174,109
2021,5,90,224,22,19,17,26,9,17,17,12,12,11,18,18,16,10
2021,5,100,7,0,0,1,0,0,2,0,0,2,1,0,0,1,0
2021,6,총,"114,471","7,400","18,966","7,370","5,763","3,437","8,365","7,354","2,365","2,472","1,365","8,503","27,357","8,487","5,267"
2021,6,0,"9,460",464,"1,614",541,394,157,800,603,80,74,33,486,"3,428",470,316
2021,6,10,"12,118",708,"2,293",653,454,478,885,593,152,114,64,769,"4,123",474,358
2021,6,20,"17,311",908,"3,037",866,732,398,"1,363","1,297",232,239,103,"1,503","3,718","2,137",778
2021,6,30,"16,377",778,"2,664","1,009",643,405,"1,525","1,317",219,219,93,"1,241","3,906","1,583",775
2021,6,40,"17,962","1,012","3,408","1,081",848,421,"1,193","1,136",275,300,151,"1,251","5,106","1,016",764
2021,6,50,"18,295","1,276","2,987","1,354","1,089",614,"1,135","1,030",452,476,220,"1,352","4,134","1,177",999
2021,6,60,"14,125","1,266","1,888","1,169",961,575,871,829,532,556,372,"1,180","2,084","1,000",842
2021,6,70,"6,042",662,761,492,406,264,415,393,269,316,188,519,607,436,314
2021,6,80,"2,553",304,295,186,210,116,159,141,143,164,129,184,235,176,111
2021,6,90,221,22,19,18,26,9,17,15,11,12,11,18,16,17,10
2021,6,100,7,0,0,1,0,0,2,0,0,2,1,0,0,1,0
2021,7,총,"114,913","7,412","18,991","7,352","5,769","3,458","8,454","7,346","2,366","2,483","1,362","8,473","27,666","8,544","5,237"
2021,7,0,"9,431",465,"1,598",536,398,158,796,587,79,74,32,474,"3,455",475,304
2021,7,10,"12,221",709,"2,287",645,460,495,941,596,154,112,61,774,"4,155",476,356
2021,7,20,"17,427",903,"3,064",863,726,406,"1,380","1,295",230,241,103,"1,494","3,760","2,185",777
2021,7,30,"16,425",774,"2,670","1,001",641,402,"1,534","1,319",217,221,94,"1,237","3,972","1,578",765
2021,7,40,"17,976","1,020","3,394","1,072",848,415,"1,189","1,137",275,299,145,"1,248","5,161","1,009",764
2021,7,50,"18,328","1,278","3,008","1,357","1,090",616,"1,131","1,016",451,479,226,"1,339","4,170","1,176",991
2021,7,60,"14,244","1,277","1,893","1,174",961,578,886,839,535,566,369,"1,183","2,127","1,012",844
2021,7,70,"6,055",651,760,499,404,264,418,395,270,312,191,527,612,436,316
2021,7,80,"2,576",312,298,187,215,115,160,146,143,164,129,180,238,179,110
2021,7,90,223,23,19,17,26,9,17,16,12,13,11,17,16,17,10
2021,7,100,7,0,0,1,0,0,2,0,0,2,1,0,0,1,0
2021,8,총,"115,596","7,413","18,986","7,360","5,766","3,560","8,640","7,380","2,352","2,490","1,366","8,490","28,040","8,550","5,203"
2021,8,0,"9,393",464,"1,568",530,388,158,806,585,75,75,33,463,"3,483",474,291
2021,8,10,"12,379",705,"2,281",644,455,559,"1,029",600,154,110,64,769,"4,177",473,359
2021,8,20,"17,645",900,"3,106",865,734,437,"1,421","1,306",233,243,102,"1,505","3,814","2,212",767
2021,8,30,"16,505",776,"2,656",994,639,401,"1,547","1,325",206,218,95,"1,257","4,084","1,557",750
2021,8,40,"18,018","1,018","3,386","1,076",845,412,"1,207","1,148",273,298,143,"1,231","5,203","1,016",762
2021,8,50,"18,405","1,269","3,008","1,360","1,087",628,"1,140","1,011",449,483,226,"1,358","4,226","1,171",989
2021,8,60,"14,383","1,290","1,915","1,184",973,577,890,848,536,572,369,"1,178","2,185","1,020",846
2021,8,70,"6,054",657,751,497,402,266,421,392,271,313,193,532,613,429,317
2021,8,80,"2,581",310,296,192,217,114,160,149,143,161,129,179,239,179,113
2021,8,90,226,24,19,17,26,8,17,16,12,15,11,18,16,18,9
2021,8,100,7,0,0,1,0,0,2,0,0,2,1,0,0,1,0
2021,9,총,"115,995","7,411","18,995","7,342","5,785","3,526","8,658","7,430","2,338","2,487","1,374","8,466","28,398","8,572","5,213"
2021,9,0,"9,379",460,"1,551",532,391,150,814,568,72,75,35,457,"3,521",466,287
2021,9,10,"12,251",706,"2,274",612,453,533,954,605,147,106,64,758,"4,216",466,357
2021,9,20,"17,836",889,"3,160",861,745,444,"1,468","1,339",228,246,99,"1,504","3,840","2,238",775
2021,9,30,"16,593",784,"2,644",984,635,395,"1,572","1,335",214,220,95,"1,241","4,174","1,556",744
2021,9,40,"18,071","1,018","3,365","1,091",847,408,"1,214","1,159",271,294,144,"1,238","5,248","1,014",760
2021,9,50,"18,480","1,264","3,013","1,356","1,085",629,"1,141","1,010",450,482,228,"1,360","4,296","1,176",990
2021,9,60,"14,483","1,301","1,917","1,199",979,579,892,850,534,573,372,"1,177","2,222","1,035",853
2021,9,70,"6,065",651,757,497,407,263,422,395,268,315,193,531,624,420,322
2021,9,80,"2,599",313,296,192,217,115,162,152,143,159,131,181,240,182,116
2021,9,90,230,25,18,17,26,10,17,17,11,15,12,19,17,17,9
2021,9,100,8,0,0,1,0,0,2,0,0,2,1,0,0,2,0
2021,10,총,"116,264","7,410","19,039","7,353","5,793","3,523","8,657","7,433","2,339","2,505","1,373","8,470","28,547","8,591","5,231"
2021,10,0,"9,359",461,"1,553",530,391,149,814,564,68,76,35,449,"3,522",461,286
2021,10,10,"12,160",706,"2,254",593,449,513,932,601,152,106,64,743,"4,221",467,359
2021,10,20,"17,944",889,"3,182",872,741,450,"1,467","1,344",225,250,101,"1,513","3,885","2,250",775
2021,10,30,"16,636",782,"2,651",979,643,398,"1,585","1,322",214,219,92,"1,246","4,193","1,566",746
2021,10,40,"18,112","1,023","3,362","1,092",849,409,"1,206","1,176",264,297,145,"1,236","5,273","1,016",764
2021,10,50,"18,540","1,261","3,032","1,365","1,080",634,"1,142","1,011",457,484,221,"1,369","4,317","1,178",989
2021,10,60,"14,588","1,306","1,925","1,213",992,583,904,852,536,582,377,"1,177","2,246","1,034",861
2021,10,70,"6,082",644,758,497,407,261,426,395,269,316,196,537,630,421,325
2021,10,80,"2,604",313,303,194,217,116,161,151,142,158,131,181,240,180,117
2021,10,90,231,25,19,17,24,10,18,17,12,15,10,19,20,16,9
2021,10,100,8,0,0,1,0,0,2,0,0,2,1,0,0,2,0
2021,11,총,"116,100","7,398","19,067","7,314","5,819","3,345","8,548","7,458","2,359","2,503","1,378","8,473","28,592","8,608","5,238"
2021,11,0,"9,301",453,"1,551",525,390,145,825,555,72,74,35,450,"3,484",460,282
2021,11,10,"11,814",697,"2,260",563,453,365,761,601,151,106,64,741,"4,231",463,358
2021,11,20,"17,947",894,"3,164",869,748,424,"1,471","1,354",224,248,102,"1,517","3,908","2,246",778
2021,11,30,"16,682",779,"2,667",983,644,403,"1,601","1,322",214,222,92,"1,256","4,173","1,585",741
2021,11,40,"18,168","1,035","3,367","1,085",850,400,"1,225","1,191",271,294,142,"1,237","5,292","1,015",764
2021,11,50,"18,550","1,245","3,035","1,364","1,083",640,"1,141","1,018",457,483,223,"1,352","4,338","1,171","1,000"
2021,11,60,"14,691","1,312","1,936","1,215","1,001",583,914,854,543,582,382,"1,187","2,274","1,046",862
2021,11,70,"6,090",646,760,497,406,260,426,396,272,320,194,535,627,423,328
2021,11,80,"2,619",310,306,196,220,114,165,151,142,157,134,179,245,183,117
2021,11,90,230,27,21,16,24,11,17,16,13,15,9,19,20,14,8
2021,11,100,8,0,0,1,0,0,2,0,0,2,1,0,0,2,0
2021,12,총,"115,727","7,412","19,065","7,273","5,808","3,184","8,404","7,447","2,340","2,497","1,372","8,468","28,586","8,638","5,233"
2021,12,0,"9,237",454,"1,539",522,392,146,814,548,70,72,33,445,"3,461",465,276
