년도,월,나이,강원도 동해시,강원도 동해시 천곡동,강원도 동해시 송정동,강원도 동해시 북삼동,강원도 동해시 부곡동,강원도 동해시 동호동,강원도 동해시 발한동,강원도 동해시 묵호동,강원도 동해시 북평동,강원도 동해시 망상동,강원도 동해시 삼화동
2020,9,60,"13,670","4,352",725,"2,140","1,088",862,797,699,"1,681",722,604
2020,9,70,"8,083","1,903",488,"1,196",708,657,625,589,923,553,441
2020,9,80,"3,683",810,252,481,290,249,288,296,502,296,219
2020,9,90,525,118,45,73,44,19,43,34,65,46,38
2020,9,100,30,1,1,0,4,6,4,5,2,5,2
2020,10,총,"90,626","30,907","4,109","19,324","5,187","5,212","3,581","3,193","12,498","3,656","2,959"
2020,10,0,"6,727","2,866",177,"1,518",193,313,113,105,"1,160",177,105
2020,10,10,"8,816","3,318",248,"2,566",347,469,169,165,"1,141",191,202
2020,10,20,"9,379","3,410",575,"2,181",473,493,278,202,"1,273",275,219
2020,10,30,"9,305","3,757",319,"1,942",377,449,224,191,"1,521",310,215
2020,10,40,"14,653","5,220",549,"3,752",710,741,426,411,"2,053",445,346
2020,10,50,"15,641","5,110",722,"3,461",939,952,607,499,"2,144",639,568
2020,10,60,"13,759","4,380",722,"2,159","1,101",864,797,702,"1,704",725,605
2020,10,70,"8,085","1,917",492,"1,193",706,657,629,579,927,546,439
2020,10,80,"3,702",811,259,479,292,250,290,298,507,297,219
2020,10,90,529,117,45,73,45,18,44,36,66,46,39
2020,10,100,30,1,1,0,4,6,4,5,2,5,2
2020,11,총,"90,560","30,868","4,104","19,302","5,163","5,211","3,571","3,196","12,581","3,620","2,944"
2020,11,0,"6,693","2,853",174,"1,515",191,307,109,105,"1,158",176,105
2020,11,10,"8,789","3,302",252,"2,547",350,470,168,167,"1,153",186,194
2020,11,20,"9,379","3,402",571,"2,193",467,493,275,204,"1,291",268,215
2020,11,30,"9,259","3,734",324,"1,923",375,452,220,187,"1,525",306,213
2020,11,40,"14,610","5,207",540,"3,743",703,744,426,410,"2,053",438,346
2020,11,50,"15,648","5,115",723,"3,471",928,943,600,499,"2,167",633,569
2020,11,60,"13,831","4,398",726,"2,163","1,102",872,804,708,"1,726",728,604
2020,11,70,"8,066","1,925",487,"1,186",706,654,623,577,929,540,439
2020,11,80,"3,722",812,261,490,293,252,297,300,509,292,216
2020,11,90,533,119,45,71,44,18,45,34,68,48,41
2020,11,100,30,1,1,0,4,6,4,5,2,5,2
2020,12,총,"90,593","30,930","4,071","19,257","5,184","5,191","3,568","3,184","12,654","3,619","2,935"
2020,12,0,"6,625","2,834",165,"1,488",185,302,105,104,"1,164",176,102
2020,12,10,"8,817","3,320",254,"2,545",355,467,167,166,"1,160",189,194
2020,12,20,"9,419","3,426",555,"2,195",472,495,272,205,"1,319",265,215
2020,12,30,"9,233","3,726",316,"1,923",375,438,226,181,"1,527",306,215
2020,12,40,"14,569","5,200",546,"3,708",705,742,423,409,"2,066",429,341
2020,12,50,"15,638","5,117",720,"3,461",932,941,593,496,"2,171",638,569
2020,12,60,"13,905","4,433",723,"2,188","1,102",875,809,702,"1,739",728,606
2020,12,70,"8,082","1,945",481,"1,188",711,650,624,581,927,539,436
2020,12,80,"3,750",808,266,491,299,257,301,304,511,297,216
2020,12,90,524,120,44,70,44,18,44,30,68,47,39
2020,12,100,31,1,1,0,4,6,4,6,2,5,2
2021,1,총,"90,416","30,843","4,047","19,228","5,160","5,157","3,551","3,172","12,712","3,604","2,942"
2021,1,0,"6,576","2,796",163,"1,475",186,301,107,94,"1,179",172,103
2021,1,10,"8,760","3,307",248,"2,525",353,451,169,169,"1,163",184,191
2021,1,20,"9,407","3,440",558,"2,206",461,481,268,197,"1,310",267,219
2021,1,30,"9,143","3,675",309,"1,897",367,440,222,181,"1,548",292,212
2021,1,40,"14,490","5,174",541,"3,680",698,741,421,406,"2,058",429,342
2021,1,50,"15,631","5,094",715,"3,475",931,937,580,502,"2,186",637,574
2021,1,60,"13,975","4,474",722,"2,208","1,104",876,809,697,"1,743",732,610
2021,1,70,"8,097","1,949",480,"1,192",715,649,624,580,941,538,429
2021,1,80,"3,771",813,264,498,296,257,303,310,510,299,221
2021,1,90,532,120,45,72,45,17,44,30,71,49,39
2021,1,100,34,1,2,0,4,7,4,6,3,5,2
2021,2,총,"90,320","30,793","4,009","19,185","5,123","5,138","3,524","3,192","12,815","3,598","2,943"
2021,2,0,"6,543","2,769",153,"1,455",185,295,104,97,"1,214",167,104
2021,2,10,"8,738","3,293",245,"2,515",350,449,166,173,"1,169",188,190
2021,2,20,"9,362","3,434",558,"2,204",448,482,263,195,"1,296",265,217
2021,2,30,"9,064","3,637",298,"1,879",362,431,218,181,"1,562",287,209
2021,2,40,"14,468","5,165",531,"3,660",686,738,419,403,"2,089",436,341
2021,2,50,"15,599","5,070",710,"3,471",931,924,583,513,"2,187",632,578
2021,2,60,"14,086","4,523",727,"2,232","1,102",889,801,703,"1,764",733,612
2021,2,70,"8,076","1,956",475,"1,185",715,645,621,580,943,529,427
2021,2,80,"3,817",821,264,513,296,260,304,311,515,308,225
2021,2,90,533,124,46,71,44,18,41,30,73,48,38
2021,2,100,34,1,2,0,4,7,4,6,3,5,2
2021,3,총,"89,922","30,673","3,944","19,118","5,085","5,126","3,466","3,170","12,867","3,549","2,924"
2021,3,0,"6,511","2,733",151,"1,443",192,299,103,98,"1,221",168,103
2021,3,10,"8,680","3,273",237,"2,496",344,444,162,169,"1,182",187,186
2021,3,20,"9,265","3,398",547,"2,186",445,476,255,195,"1,286",263,214
2021,3,30,"8,995","3,624",292,"1,853",358,428,217,175,"1,561",282,205
2021,3,40,"14,395","5,139",522,"3,647",685,729,412,399,"2,094",432,336
2021,3,50,"15,538","5,056",692,"3,469",920,926,573,517,"2,193",622,570
2021,3,60,"14,146","4,556",722,"2,250","1,091",903,796,704,"1,786",720,618
2021,3,70,"8,026","1,942",469,"1,185",715,637,611,572,948,524,423
2021,3,80,"3,836",823,265,519,294,264,296,317,522,305,231
2021,3,90,518,129,46,70,40,18,39,23,73,44,36
2021,3,100,12,0,1,0,1,2,2,1,1,2,2
2021,4,총,"89,868","30,586","3,894","19,355","5,058","5,126","3,456","3,153","12,789","3,545","2,906"
2021,4,0,"6,494","2,709",148,"1,472",181,294,105,96,"1,223",168,98
2021,4,10,"8,637","3,247",228,"2,514",340,440,161,165,"1,170",187,185
2021,4,20,"9,284","3,388",530,"2,228",446,476,254,194,"1,288",269,211
2021,4,30,"8,916","3,590",287,"1,876",353,425,208,172,"1,533",274,198
2021,4,40,"14,396","5,114",514,"3,705",678,728,416,403,"2,074",433,331
2021,4,50,"15,573","5,072",682,"3,505",922,934,567,518,"2,178",622,573
2021,4,60,"14,182","4,575",726,"2,273","1,087",909,799,692,"1,782",720,619
2021,4,70,"7,989","1,933",460,"1,183",715,633,607,571,944,521,422
2021,4,80,"3,863",829,271,529,296,265,299,319,518,306,231
2021,4,90,523,129,47,70,39,20,38,22,78,44,36
2021,4,100,11,0,1,0,1,2,2,1,1,1,2
2021,5,총,"89,968","30,478","3,836","19,752","5,011","5,130","3,429","3,142","12,803","3,535","2,852"
2021,5,0,"6,469","2,686",140,"1,505",179,288,103,91,"1,226",165,86
2021,5,10,"8,622","3,228",216,"2,559",330,435,159,165,"1,168",188,174
2021,5,20,"9,324","3,377",524,"2,292",444,489,256,197,"1,280",257,208
2021,5,30,"8,898","3,540",281,"1,953",348,413,195,174,"1,537",269,188
2021,5,40,"14,365","5,093",508,"3,766",663,721,419,397,"2,054",432,312
2021,5,50,"15,589","5,068",661,"3,564",910,937,556,516,"2,181",622,574
2021,5,60,"14,289","4,586",722,"2,321","1,085",918,801,694,"1,813",729,620
2021,5,70,"7,975","1,933",459,"1,182",715,640,602,566,939,517,422
2021,5,80,"3,897",834,278,539,298,267,297,321,524,309,230
2021,5,90,528,133,46,71,38,20,39,20,79,46,36
2021,5,100,12,0,1,0,1,2,2,1,2,1,2
2021,6,총,"89,999","30,441","3,820","19,859","4,996","5,126","3,410","3,130","12,843","3,537","2,837"
2021,6,0,"6,442","2,660",140,"1,521",178,288,97,91,"1,224",165,78
2021,6,10,"8,613","3,209",212,"2,569",329,434,158,163,"1,178",189,172
2021,6,20,"9,324","3,398",523,"2,304",440,486,251,189,"1,273",258,202
2021,6,30,"8,875","3,516",276,"1,969",344,409,193,173,"1,544",265,186
2021,6,40,"14,360","5,098",504,"3,779",654,715,418,392,"2,060",430,310
2021,6,50,"15,583","5,052",658,"3,590",901,932,555,520,"2,183",623,569
2021,6,60,"14,362","4,594",729,"2,338","1,094",927,796,691,"1,836",733,624
2021,6,70,"7,959","1,942",448,"1,177",713,645,598,565,935,515,421
2021,6,80,"3,930",839,284,540,303,267,301,322,528,311,235
2021,6,90,539,133,45,72,39,21,41,23,80,47,38
2021,6,100,12,0,1,0,1,2,2,1,2,1,2
2021,7,총,"90,039","30,467","3,818","19,901","4,975","5,128","3,390","3,124","12,864","3,535","2,837"
2021,7,0,"6,409","2,650",134,"1,515",174,287,94,91,"1,221",165,78
2021,7,10,"8,566","3,200",212,"2,552",323,430,155,162,"1,175",187,170
2021,7,20,"9,363","3,408",523,"2,329",445,488,252,182,"1,270",259,207
2021,7,30,"8,844","3,502",274,"1,959",340,411,189,173,"1,546",262,188
2021,7,40,"14,333","5,090",500,"3,782",649,710,412,392,"2,066",425,307
2021,7,50,"15,611","5,079",653,"3,596",892,936,559,514,"2,191",619,572
2021,7,60,"14,429","4,608",746,"2,371","1,093",930,794,696,"1,841",732,618
2021,7,70,"7,983","1,948",449,"1,183",714,646,594,568,936,522,423
2021,7,80,"3,936",845,279,542,304,267,297,323,534,312,233
2021,7,90,551,137,46,72,40,21,42,22,82,50,39
2021,7,100,14,0,2,0,1,2,2,1,2,2,2
2021,8,총,"90,056","30,455","3,783","19,943","4,997","5,130","3,386","3,130","12,875","3,529","2,828"
2021,8,0,"6,401","2,647",128,"1,518",176,294,93,95,"1,217",160,73
2021,8,10,"8,560","3,185",212,"2,549",330,431,152,163,"1,182",185,171
2021,8,20,"9,325","3,396",508,"2,332",444,480,251,183,"1,263",259,209
2021,8,30,"8,802","3,488",268,"1,964",331,410,190,173,"1,537",258,183
2021,8,40,"14,312","5,067",493,"3,764",663,720,411,390,"2,072",426,306
2021,8,50,"15,632","5,088",646,"3,627",891,922,558,514,"2,201",616,569
2021,8,60,"14,513","4,643",747,"2,384","1,100",939,798,697,"1,847",737,621
2021,8,70,"7,997","1,954",452,"1,190",717,646,591,570,935,523,419
2021,8,80,"3,938",848,279,544,305,265,295,323,534,311,234
2021,8,90,561,139,48,71,39,21,44,21,85,52,41
2021,8,100,15,0,2,0,1,2,3,1,2,2,2
2021,9,총,"90,073","30,435","3,778","19,967","4,988","5,158","3,380","3,115","12,899","3,518","2,835"
2021,9,0,"6,346","2,608",123,"1,514",173,298,88,94,"1,217",156,75
2021,9,10,"8,573","3,191",210,"2,546",334,432,158,162,"1,183",186,171
2021,9,20,"9,297","3,406",508,"2,326",441,472,245,180,"1,252",255,212
2021,9,30,"8,780","3,474",272,"1,969",331,417,186,166,"1,536",253,176
2021,9,40,"14,312","5,066",485,"3,757",654,726,415,393,"2,081",426,309
2021,9,50,"15,674","5,099",648,"3,647",891,933,562,512,"2,207",607,568
2021,9,60,"14,592","4,662",751,"2,395","1,106",947,794,696,"1,867",750,624
2021,9,70,"7,960","1,944",449,"1,188",714,637,590,567,936,518,417
2021,9,80,"3,964",849,281,552,305,274,296,323,531,315,238
2021,9,90,561,136,49,73,38,20,44,21,87,50,43
2021,9,100,14,0,2,0,1,2,2,1,2,2,2
2021,10,총,"90,115","30,474","3,763","20,022","4,991","5,167","3,367","3,116","12,879","3,510","2,826"
2021,10,0,"6,336","2,600",126,"1,515",173,296,89,96,"1,215",153,73
2021,10,10,"8,560","3,188",207,"2,533",333,438,156,161,"1,189",186,169
2021,10,20,"9,312","3,428",507,"2,351",435,467,242,181,"1,240",249,212
2021,10,30,"8,754","3,467",268,"1,967",334,420,188,166,"1,521",248,175
2021,10,40,"14,288","5,066",477,"3,757",651,730,407,388,"2,077",426,309
2021,10,50,"15,682","5,110",643,"3,659",890,934,560,507,"2,203",611,565
2021,10,60,"14,652","4,683",751,"2,417","1,115",945,795,704,"1,872",749,621
2021,10,70,"7,966","1,940",448,"1,190",713,636,588,567,944,523,417
2021,10,80,"3,986",854,288,562,305,279,296,323,526,313,240
2021,10,90,565,138,46,71,41,20,44,21,90,51,43
2021,10,100,14,0,2,0,1,2,2,2,2,1,2
2021,11,총,"90,010","30,535","3,753","19,994","4,970","5,141","3,365","3,093","12,841","3,500","2,818"
2021,11,0,"6,283","2,587",128,"1,500",164,295,91,94,"1,197",156,71
2021,11,10,"8,549","3,189",206,"2,525",335,430,159,158,"1,193",185,169
2021,11,20,"9,305","3,441",502,"2,355",431,460,244,182,"1,231",246,213
2021,11,30,"8,690","3,441",266,"1,961",324,423,188,163,"1,508",244,172
2021,11,40,"14,266","5,086",475,"3,747",642,724,402,383,"2,076",427,304
2021,11,50,"15,693","5,121",648,"3,657",898,927,563,509,"2,203",599,568
2021,11,60,"14,668","4,703",750,"2,431","1,112",942,792,696,"1,871",754,617
2021,11,70,"7,983","1,972",447,"1,184",711,638,585,565,944,519,418
2021,11,80,"3,989",855,283,564,309,281,296,320,523,317,241
2021,11,90,570,140,46,70,42,19,44,21,93,52,43
2021,11,100,14,0,2,0,2,2,1,2,2,1,2
2021,12,총,"90,081","30,710","3,754","20,007","4,951","5,118","3,344","3,086","12,817","3,491","2,803"
2021,12,0,"6,272","2,596",122,"1,501",164,293,86,94,"1,195",151,70
2021,12,10,"8,535","3,214",213,"2,513",331,426,155,159,"1,174",183,167
2021,12,20,"9,361","3,455",513,"2,385",429,456,250,180,"1,240",244,209
2021,12,30,"8,677","3,461",268,"1,948",319,416,184,161,"1,509",240,171
2021,12,40,"14,228","5,109",462,"3,727",639,717,395,378,"2,069",426,306
2021,12,50,"15,731","5,143",648,"3,682",895,925,555,515,"2,199",603,566
2021,12,60,"14,679","4,725",754,"2,437","1,107",942,790,692,"1,866",755,611
2021,12,70,"7,994","1,993",442,"1,177",713,639,585,562,948,518,417
2021,12,80,"4,008",870,283,564,312,283,299,319,521,317,240
2021,12,90,584,144,47,73,40,19,44,25,94,53,45
2021,12,100,12,0,2,0,2,2,1,1,2,1,1
