년도,월,나이,경상남도 밀양시,경상남도 밀양시 삼랑진읍,경상남도 밀양시 삼랑진임천출장소,경상남도 밀양시 하남읍,경상남도 밀양시 부북면,경상남도 밀양시 상동면,경상남도 밀양시 산외면,경상남도 밀양시 산내면,경상남도 밀양시 단장면,경상남도 밀양시 상남면,경상남도 밀양시 초동면,경상남도 밀양시 무안면,경상남도 밀양시 청도면,경상남도 밀양시 내일동,경상남도 밀양시 내이동,경상남도 밀양시 삼문동,경상남도 밀양시 가곡동,경상남도 밀양시 교동
2021,3,30,"8,754",320,70,475,329,147,148,170,245,649,161,238,63,188,"2,134","2,112",699,606
2021,3,40,"12,834",502,94,759,469,207,255,364,305,997,301,373,129,301,"2,423","3,453","1,052",850
2021,3,50,"18,591",985,228,"1,316",992,520,559,731,875,"1,480",568,868,271,520,"2,802","3,320","1,434","1,122"
2021,3,60,"21,317","1,365",335,"1,624","1,332",945,735,"1,054","1,276","1,803",942,"1,312",508,614,"2,345","2,641","1,469","1,017"
2021,3,70,"12,756",930,220,"1,080",788,567,471,683,703,"1,125",642,855,346,423,"1,099","1,369",951,504
2021,3,80,"6,979",472,138,625,495,338,255,358,383,637,383,608,252,214,470,643,509,199
2021,3,90,896,62,22,64,71,50,34,52,48,84,35,82,30,21,90,76,56,19
2021,3,100,26,2,0,4,2,0,3,1,3,1,2,3,0,1,1,2,0,1
2021,4,총,"104,383","5,346","1,310","7,109","5,192","3,070","2,817","3,929","4,278","8,362","3,411","4,995","1,794","2,692","16,075","20,213","7,925","5,865"
2021,4,0,"5,458",142,18,275,115,58,61,87,74,436,83,96,35,64,"1,332","1,880",377,325
2021,4,10,"7,713",238,53,403,229,85,114,222,148,514,124,258,58,137,"1,403","2,547",619,561
2021,4,20,"8,950",315,131,477,361,155,174,199,213,647,168,304,92,221,"1,920","2,149",764,660
2021,4,30,"8,722",329,71,473,323,143,148,170,241,640,163,236,65,190,"2,137","2,103",702,588
2021,4,40,"12,846",500,97,760,475,203,260,355,308,984,305,373,130,302,"2,436","3,464","1,043",851
2021,4,50,"18,552",971,226,"1,309",995,520,551,732,875,"1,476",569,858,277,507,"2,805","3,322","1,430","1,129"
2021,4,60,"21,438","1,385",335,"1,639","1,338",944,742,"1,066","1,278","1,808",938,"1,320",507,612,"2,387","2,651","1,473","1,015"
2021,4,70,"12,764",927,220,"1,081",788,569,473,684,708,"1,130",642,859,347,421,"1,087","1,366",945,517
2021,4,80,"7,009",476,137,621,496,343,256,358,380,642,383,608,253,217,475,651,516,197
2021,4,90,905,61,22,67,70,50,35,54,50,84,34,80,30,21,92,78,56,21
2021,4,100,26,2,0,4,2,0,3,2,3,1,2,3,0,0,1,2,0,1
2021,5,총,"104,133","5,297","1,296","7,051","5,201","3,074","2,816","3,939","4,271","8,328","3,396","4,998","1,786","2,666","16,093","20,183","7,895","5,843"
2021,5,0,"5,448",139,18,271,123,57,59,89,73,436,81,96,36,64,"1,334","1,876",379,317
2021,5,10,"7,684",237,53,402,224,83,114,219,145,517,123,257,55,143,"1,404","2,543",611,554
2021,5,20,"8,910",306,129,472,365,153,167,200,207,646,169,305,92,218,"1,914","2,143",768,656
2021,5,30,"8,689",319,67,467,328,145,149,165,243,628,162,237,64,191,"2,142","2,092",700,590
2021,5,40,"12,806",499,98,756,479,203,260,363,306,973,302,371,126,302,"2,434","3,469","1,027",838
2021,5,50,"18,463",963,222,"1,302",981,518,551,727,859,"1,471",563,852,273,498,"2,808","3,318","1,427","1,130"
2021,5,60,"21,448","1,383",329,"1,621","1,339",951,747,"1,079","1,288","1,808",934,"1,324",510,599,"2,396","2,645","1,477","1,018"
2021,5,70,"12,741",915,219,"1,069",786,571,473,684,717,"1,125",638,867,346,416,"1,092","1,372",935,516
2021,5,80,"7,008",472,138,618,504,342,258,359,379,637,388,608,254,214,476,645,514,202
2021,5,90,908,61,23,69,70,51,35,52,51,86,34,78,30,21,91,78,57,21
2021,5,100,28,3,0,4,2,0,3,2,3,1,2,3,0,0,2,2,0,1
2021,6,총,"104,070","5,285","1,290","7,046","5,178","3,078","2,818","3,913","4,270","8,336","3,394","4,971","1,784","2,659","16,148","20,150","7,888","5,862"
2021,6,0,"5,421",132,17,271,121,59,60,84,71,438,80,96,38,66,"1,341","1,860",376,311
2021,6,10,"7,658",239,54,398,225,82,116,211,142,521,120,252,52,143,"1,409","2,536",602,556
2021,6,20,"8,904",305,127,472,358,152,171,201,205,644,162,306,91,219,"1,918","2,141",768,664
2021,6,30,"8,641",309,66,460,326,147,146,159,242,626,164,233,66,191,"2,152","2,063",698,593
2021,6,40,"12,819",496,95,757,481,205,262,355,306,973,304,368,125,303,"2,447","3,479","1,024",839
2021,6,50,"18,336",965,223,"1,294",963,513,545,728,844,"1,459",563,844,272,492,"2,797","3,290","1,419","1,125"
2021,6,60,"21,584","1,388",326,"1,631","1,346",955,754,"1,081","1,310","1,818",936,"1,323",511,593,"2,416","2,671","1,492","1,033"
2021,6,70,"12,743",913,222,"1,071",785,566,471,684,715,"1,130",641,859,348,421,"1,095","1,375",932,515
2021,6,80,"7,031",472,137,619,500,348,258,356,381,640,390,607,251,213,481,658,517,203
2021,6,90,905,63,23,69,71,51,32,52,51,86,32,80,30,18,90,75,60,22
2021,6,100,28,3,0,4,2,0,3,2,3,1,2,3,0,0,2,2,0,1
2021,7,총,"103,986","5,282","1,275","7,052","5,158","3,068","2,818","3,898","4,272","8,330","3,397","4,956","1,785","2,655","16,169","20,125","7,889","5,857"
2021,7,0,"5,386",131,14,262,120,55,59,84,71,440,80,94,38,64,"1,345","1,845",374,310
2021,7,10,"7,612",235,53,398,224,83,111,200,140,515,121,254,52,144,"1,401","2,528",599,554
2021,7,20,"8,873",305,121,478,354,148,173,205,206,641,159,297,90,213,"1,913","2,134",777,659
2021,7,30,"8,610",310,62,457,324,148,145,154,243,615,164,235,67,191,"2,157","2,055",694,589
2021,7,40,"12,743",489,97,743,471,204,259,348,304,978,298,368,124,298,"2,448","3,451","1,021",842
2021,7,50,"18,321",952,222,"1,304",956,515,541,726,846,"1,453",562,847,266,494,"2,800","3,302","1,412","1,123"
2021,7,60,"21,702","1,410",326,"1,643","1,356",951,760,"1,085","1,305","1,823",944,"1,321",516,601,"2,431","2,688","1,503","1,039"
2021,7,70,"12,761",914,222,"1,070",777,564,473,687,722,"1,140",644,854,350,418,"1,097","1,380",933,516
2021,7,80,"7,034",469,136,622,503,347,260,355,377,635,390,606,251,214,484,665,518,202
2021,7,90,918,64,22,71,71,53,34,52,55,89,33,78,31,18,92,75,58,22
2021,7,100,26,3,0,4,2,0,3,2,3,1,2,2,0,0,1,2,0,1
2021,8,총,"103,891","5,295","1,269","7,044","5,132","3,052","2,816","3,886","4,253","8,305","3,394","4,938","1,777","2,648","16,250","20,100","7,890","5,842"
2021,8,0,"5,380",129,15,263,117,52,58,83,72,430,79,95,38,61,"1,369","1,830",383,306
2021,8,10,"7,582",232,53,401,219,82,110,195,138,511,122,245,49,147,"1,404","2,528",597,549
2021,8,20,"8,831",306,123,471,359,145,172,209,202,633,155,294,91,212,"1,926","2,109",772,652
2021,8,30,"8,571",317,61,450,313,143,143,152,242,608,167,239,63,189,"2,157","2,065",687,575
2021,8,40,"12,737",494,96,738,472,202,261,346,302,975,293,365,126,303,"2,446","3,444","1,030",844
2021,8,50,"18,263",950,218,"1,301",944,519,536,718,831,"1,462",568,836,263,486,"2,812","3,288","1,407","1,124"
2021,8,60,"21,758","1,413",326,"1,644","1,357",948,760,"1,084","1,308","1,816",946,"1,322",515,600,"2,452","2,709","1,503","1,055"
2021,8,70,"12,794",915,221,"1,082",775,568,479,686,722,"1,139",641,855,349,417,"1,112","1,382",938,513
2021,8,80,"7,038",471,135,618,503,338,260,359,379,642,392,608,250,216,482,668,513,204
2021,8,90,911,65,21,72,71,55,34,52,55,88,29,76,33,17,89,75,60,19
2021,8,100,26,3,0,4,2,0,3,2,2,1,2,3,0,0,1,2,0,1
2021,9,총,"103,691","5,276","1,270","7,017","5,106","3,044","2,802","3,867","4,258","8,287","3,382","4,909","1,769","2,634","16,271","20,078","7,870","5,851"
2021,9,0,"5,347",129,15,256,112,51,54,83,74,417,81,92,37,60,"1,362","1,835",383,306
2021,9,10,"7,549",230,51,398,219,78,109,189,141,514,115,242,47,149,"1,397","2,526",594,550
2021,9,20,"8,695",298,124,461,346,143,169,204,196,626,157,287,89,209,"1,911","2,080",752,643
2021,9,30,"8,549",308,62,441,315,143,137,152,249,604,169,233,61,186,"2,174","2,052",690,573
2021,9,40,"12,668",492,97,727,472,197,258,335,297,971,288,362,125,301,"2,448","3,421","1,025",852
2021,9,50,"18,273",944,214,"1,297",939,515,535,712,837,"1,459",567,831,259,488,"2,811","3,328","1,410","1,127"
2021,9,60,"21,766","1,417",327,"1,653","1,348",953,763,"1,085","1,309","1,816",940,"1,315",517,592,"2,469","2,694","1,509","1,059"
2021,9,70,"12,800",914,225,"1,086",772,569,475,687,716,"1,137",636,855,352,415,"1,121","1,393",933,514
2021,9,80,"7,090",473,132,618,510,340,265,364,382,651,398,615,249,216,487,672,512,206
2021,9,90,926,67,23,76,71,55,34,54,55,91,29,74,33,18,89,75,62,20
2021,9,100,28,4,0,4,2,0,3,2,2,1,2,3,0,0,2,2,0,1
2021,10,총,"103,667","5,266","1,273","7,014","5,101","3,049","2,791","3,833","4,288","8,278","3,384","4,899","1,774","2,630","16,264","20,106","7,872","5,845"
2021,10,0,"5,316",127,14,245,114,51,52,82,71,411,80,92,37,60,"1,346","1,850",376,308
2021,10,10,"7,526",226,50,392,222,82,106,175,153,509,116,244,47,149,"1,395","2,531",592,537
2021,10,20,"8,678",302,126,461,339,140,171,205,187,623,163,286,89,209,"1,901","2,078",756,642
2021,10,30,"8,490",305,65,434,315,145,133,148,254,601,163,231,62,189,"2,150","2,045",681,569
2021,10,40,"12,639",488,95,719,466,192,254,326,308,966,291,360,124,296,"2,465","3,407","1,032",850
2021,10,50,"18,252",938,213,"1,303",938,515,531,716,833,"1,453",563,821,259,492,"2,819","3,339","1,398","1,121"
2021,10,60,"21,854","1,420",325,"1,664","1,356",952,764,"1,084","1,317","1,833",937,"1,318",517,590,"2,481","2,708","1,513","1,075"
2021,10,70,"12,823",914,226,"1,090",765,577,477,681,721,"1,131",643,859,352,412,"1,123","1,393",941,518
2021,10,80,"7,138",474,136,625,512,340,266,359,388,659,397,616,253,216,492,676,524,205
2021,10,90,923,68,23,77,72,55,34,55,54,91,29,69,34,17,90,77,59,19
2021,10,100,28,4,0,4,2,0,3,2,2,1,2,3,0,0,2,2,0,1
2021,11,총,"103,636","5,265","1,266","7,026","5,075","3,050","2,788","3,813","4,282","8,279","3,369","4,894","1,777","2,619","16,305","20,121","7,853","5,854"
2021,11,0,"5,283",127,13,249,111,49,52,78,68,407,79,91,35,59,"1,337","1,845",373,310
