년도,월,나이,경상북도 봉화군,경상북도 봉화군 봉화읍,경상북도 봉화군 물야면,경상북도 봉화군 봉성면,경상북도 봉화군 법전면,경상북도 봉화군 춘양면,경상북도 봉화군 소천면,경상북도 봉화군 재산면,경상북도 봉화군 명호면,경상북도 봉화군 상운면,경상북도 봉화군 석포면
2020,5,총,"16,019","4,984","1,590","1,052","1,031","2,208","1,126",785,"1,199",911,"1,133"
2020,5,0,762,341,51,30,40,99,35,19,30,18,99
2020,5,10,"1,018",432,90,44,42,145,55,48,68,24,70
2020,5,20,"1,231",517,96,88,65,144,68,39,80,67,67
2020,5,30,"1,111",401,94,72,64,123,50,33,66,42,166
2020,5,40,"1,956",711,145,115,102,246,130,75,133,93,206
2020,5,50,"3,162",955,321,194,205,454,230,179,257,165,202
2020,5,60,"3,426",835,396,261,245,484,300,221,279,212,193
2020,5,70,"2,124",500,255,156,152,314,175,107,190,185,90
2020,5,80,"1,117",273,129,83,104,174,74,57,91,98,34
2020,5,90,107,18,13,8,12,22,9,7,5,7,6
2020,5,100,5,1,0,1,0,3,0,0,0,0,0
2020,6,총,"16,024","4,966","1,591","1,053","1,034","2,222","1,127",783,"1,199",914,"1,135"
2020,6,0,757,337,50,31,40,98,35,18,30,18,100
2020,6,10,"1,017",431,91,46,43,144,54,48,68,24,68
2020,6,20,"1,221",510,95,87,65,146,68,36,79,65,70
2020,6,30,"1,111",399,95,74,62,126,47,33,66,43,166
2020,6,40,"1,949",711,143,115,99,248,130,73,133,92,205
2020,6,50,"3,163",950,322,193,211,453,231,181,255,165,202
2020,6,60,"3,455",836,399,262,244,495,303,222,283,217,194
2020,6,70,"2,123",500,253,154,154,313,175,108,191,186,89
2020,6,80,"1,111",273,128,82,104,173,75,56,89,96,35
2020,6,90,112,18,15,8,12,23,9,8,5,8,6
2020,6,100,5,1,0,1,0,3,0,0,0,0,0
2020,7,총,"16,005","4,946","1,591","1,046","1,034","2,238","1,133",782,"1,201",906,"1,128"
2020,7,0,753,338,50,31,41,100,35,16,30,14,98
2020,7,10,"1,015",428,91,47,41,143,54,49,68,25,69
2020,7,20,"1,214",503,94,86,66,149,68,36,80,61,71
2020,7,30,"1,104",399,97,72,62,127,48,33,64,42,160
2020,7,40,"1,932",702,140,110,98,250,130,73,134,91,204
2020,7,50,"3,158",940,318,195,209,460,234,179,255,166,202
2020,7,60,"3,469",839,405,260,245,497,306,220,285,218,194
2020,7,70,"2,129",504,251,154,154,313,173,112,192,186,90
2020,7,80,"1,112",273,131,83,106,173,74,55,88,95,34
2020,7,90,114,19,14,7,12,23,11,9,5,8,6
2020,7,100,5,1,0,1,0,3,0,0,0,0,0
2020,8,총,"15,958","4,930","1,590","1,043","1,032","2,235","1,130",781,"1,186",904,"1,127"
2020,8,0,750,332,50,30,42,101,35,17,29,15,99
2020,8,10,"1,008",429,90,47,39,141,53,49,67,25,68
2020,8,20,"1,197",500,90,82,67,150,65,36,78,58,71
2020,8,30,"1,090",394,96,73,60,126,48,32,61,42,158
2020,8,40,"1,922",703,141,111,97,250,127,70,129,91,203
2020,8,50,"3,164",939,319,196,210,459,234,185,251,167,204
2020,8,60,"3,476",835,407,258,248,497,312,218,288,219,194
2020,8,70,"2,123",506,252,155,152,311,172,109,192,185,89
2020,8,80,"1,109",271,128,84,105,174,75,56,86,95,35
2020,8,90,114,20,17,6,12,23,9,9,5,7,6
2020,8,100,5,1,0,1,0,3,0,0,0,0,0
2020,9,총,"15,922","4,915","1,592","1,044","1,026","2,228","1,128",776,"1,182",897,"1,134"
2020,9,0,739,325,49,30,41,100,36,17,29,14,98
2020,9,10,"1,005",431,90,47,39,139,52,47,66,24,70
2020,9,20,"1,192",501,89,83,65,148,61,38,77,57,73
2020,9,30,"1,079",385,97,71,60,126,50,31,60,41,158
2020,9,40,"1,910",698,143,108,94,247,127,69,130,89,205
2020,9,50,"3,150",936,314,196,209,458,233,183,250,168,203
2020,9,60,"3,485",837,412,261,249,499,312,215,287,217,196
2020,9,70,"2,119",508,251,156,149,312,172,110,186,185,90
2020,9,80,"1,121",272,131,85,108,172,76,57,92,93,35
2020,9,90,117,21,16,6,12,24,9,9,5,9,6
2020,9,100,5,1,0,1,0,3,0,0,0,0,0
2020,10,총,"15,925","4,922","1,598","1,040","1,022","2,223","1,132",773,"1,181",902,"1,132"
2020,10,0,731,323,50,29,42,98,34,16,28,13,98
2020,10,10,998,426,91,48,38,137,51,46,66,26,69
2020,10,20,"1,188",505,88,81,63,144,59,38,76,59,75
2020,10,30,"1,087",392,99,69,59,130,53,30,60,40,155
2020,10,40,"1,904",695,142,108,93,246,127,71,129,88,205
2020,10,50,"3,152",936,314,197,210,457,233,183,248,171,203
2020,10,60,"3,512",844,416,263,250,504,319,212,290,217,197
2020,10,70,"2,113",508,252,153,148,309,170,112,186,186,89
2020,10,80,"1,117",271,130,85,107,171,77,56,93,92,35
2020,10,90,118,21,16,6,12,24,9,9,5,10,6
2020,10,100,5,1,0,1,0,3,0,0,0,0,0
2020,11,총,"15,878","4,923","1,588","1,032","1,016","2,210","1,122",774,"1,185",903,"1,125"
2020,11,0,717,320,47,27,39,100,32,15,30,13,94
2020,11,10,"1,000",433,91,45,39,132,50,47,66,27,70
2020,11,20,"1,184",502,86,82,64,142,57,39,78,61,73
2020,11,30,"1,066",392,93,67,57,128,52,30,58,39,150
2020,11,40,"1,898",696,143,108,90,245,123,71,130,86,206
2020,11,50,"3,140",934,313,196,206,453,232,184,244,173,205
2020,11,60,"3,508",840,416,264,254,500,316,209,293,218,198
2020,11,70,"2,124",513,254,150,148,312,173,114,187,184,89
2020,11,80,"1,116",271,129,86,107,170,77,57,94,91,34
2020,11,90,120,21,16,6,12,25,10,8,5,11,6
2020,11,100,5,1,0,1,0,3,0,0,0,0,0
2020,12,총,"15,853","4,929","1,578","1,027","1,014","2,202","1,117",772,"1,184",902,"1,128"
2020,12,0,713,321,46,29,37,98,30,15,30,12,95
2020,12,10,"1,002",444,88,45,40,131,49,46,63,26,70
2020,12,20,"1,177",502,82,77,65,139,59,38,79,62,74
2020,12,30,"1,053",391,91,66,55,127,49,31,58,39,146
2020,12,40,"1,892",691,144,110,89,239,120,70,132,88,209
2020,12,50,"3,120",932,309,190,207,452,232,183,240,169,206
2020,12,60,"3,531",845,420,265,256,505,319,209,296,217,199
2020,12,70,"2,120",508,251,152,145,313,171,115,188,188,89
2020,12,80,"1,119",274,132,86,107,170,77,57,93,90,33
2020,12,90,121,20,15,6,13,25,11,8,5,11,7
2020,12,100,5,1,0,1,0,3,0,0,0,0,0
2021,1,총,"15,817","4,905","1,571","1,022","1,024","2,194","1,115",770,"1,187",900,"1,129"
2021,1,0,700,316,47,28,36,98,27,12,30,13,93
2021,1,10,"1,001",447,86,45,44,124,48,47,63,26,71
2021,1,20,"1,169",494,81,74,66,141,60,37,81,61,74
2021,1,30,"1,046",388,92,67,55,124,49,32,60,40,139
2021,1,40,"1,867",673,141,109,87,236,120,69,130,87,215
2021,1,50,"3,109",932,304,190,208,451,232,181,241,167,203
2021,1,60,"3,550",847,421,266,258,511,319,211,298,215,204
2021,1,70,"2,112",508,250,151,148,309,170,113,187,187,89
2021,1,80,"1,135",278,134,85,109,172,78,60,92,93,34
2021,1,90,123,21,15,6,13,25,12,8,5,11,7
2021,1,100,5,1,0,1,0,3,0,0,0,0,0
2021,2,총,"15,773","4,895","1,565","1,019","1,025","2,193","1,111",764,"1,182",894,"1,125"
2021,2,0,688,310,47,28,36,96,27,12,31,12,89
2021,2,10,992,452,86,44,43,120,48,46,61,25,67
2021,2,20,"1,160",488,79,74,67,141,59,36,80,60,76
2021,2,30,"1,034",384,88,65,55,124,50,31,57,40,140
2021,2,40,"1,851",673,141,111,85,232,117,69,124,85,214
2021,2,50,"3,106",928,298,188,209,453,235,177,245,166,207
2021,2,60,"3,560",852,427,267,259,515,314,212,300,215,199
2021,2,70,"2,113",505,250,150,148,308,171,115,187,186,93
2021,2,80,"1,140",281,134,85,110,175,78,58,92,94,33
2021,2,90,124,21,15,6,13,26,12,8,5,11,7
2021,2,100,5,1,0,1,0,3,0,0,0,0,0
2021,3,총,"15,740","4,882","1,567","1,011","1,020","2,181","1,107",767,"1,183",891,"1,131"
2021,3,0,687,307,46,29,36,95,28,14,34,10,88
2021,3,10,981,449,84,42,44,116,47,45,61,26,67
2021,3,20,"1,148",489,79,72,65,137,58,38,73,60,77
2021,3,30,"1,028",382,87,63,54,127,50,31,56,37,141
2021,3,40,"1,844",673,138,110,86,228,114,68,125,85,217
2021,3,50,"3,071",915,300,185,201,450,236,176,244,156,208
2021,3,60,"3,586",856,432,267,265,512,314,215,302,223,200
2021,3,70,"2,108",501,248,152,144,312,169,113,187,188,94
2021,3,80,"1,157",287,136,84,112,176,80,59,96,95,32
2021,3,90,126,22,17,6,13,26,11,8,5,11,7
2021,3,100,4,1,0,1,0,2,0,0,0,0,0
2021,4,총,"15,746","4,872","1,567","1,014","1,028","2,184","1,110",765,"1,174",889,"1,143"
2021,4,0,679,303,46,29,35,94,28,14,32,10,88
2021,4,10,979,445,82,42,44,121,48,44,61,25,67
2021,4,20,"1,151",486,83,76,67,139,55,38,71,56,80
2021,4,30,"1,027",384,86,62,54,123,50,31,53,38,146
2021,4,40,"1,841",670,136,112,87,229,111,69,125,84,218
2021,4,50,"3,064",912,300,184,201,449,237,174,243,157,207
2021,4,60,"3,612",858,434,269,268,513,324,216,301,224,205
2021,4,70,"2,115",504,249,154,145,312,167,114,188,189,93
2021,4,80,"1,148",288,134,79,114,176,79,58,94,95,31
2021,4,90,126,21,17,6,13,26,11,7,6,11,8
2021,4,100,4,1,0,1,0,2,0,0,0,0,0
2021,5,총,"15,702","4,852","1,567","1,015","1,030","2,172","1,106",771,"1,171",880,"1,138"
2021,5,0,671,298,45,29,35,94,28,14,32,10,86
2021,5,10,976,444,80,42,44,123,47,44,59,25,68
2021,5,20,"1,147",487,84,73,67,137,57,38,69,56,79
2021,5,30,"1,020",378,86,65,52,122,49,32,54,38,144
2021,5,40,"1,827",662,135,112,86,229,111,67,126,84,215
2021,5,50,"3,041",909,293,184,204,441,234,178,238,154,206
2021,5,60,"3,629",860,444,265,272,513,325,220,305,221,204
2021,5,70,"2,114",507,248,156,144,311,164,113,189,186,96
2021,5,80,"1,153",287,134,81,114,178,80,58,93,96,32
2021,5,90,123,20,18,7,12,24,11,7,6,10,8
2021,5,100,1,0,0,1,0,0,0,0,0,0,0
2021,6,총,"15,680","4,857","1,564","1,007","1,030","2,164","1,106",772,"1,172",880,"1,128"
2021,6,0,669,298,45,29,36,93,28,14,34,9,83
2021,6,10,973,448,77,42,44,120,46,44,58,25,69
2021,6,20,"1,141",485,85,70,65,136,58,37,70,54,81
2021,6,30,"1,006",373,82,63,52,123,49,32,52,39,141
2021,6,40,"1,830",668,136,114,85,224,110,66,128,83,216
2021,6,50,"3,015",908,286,179,206,439,228,178,236,154,201
2021,6,60,"3,662",864,450,265,274,518,334,222,307,224,204
2021,6,70,"2,105",506,250,156,143,308,164,110,189,187,92
2021,6,80,"1,158",287,134,81,114,182,78,62,92,95,33
2021,6,90,120,20,19,7,11,21,11,7,6,10,8
2021,6,100,1,0,0,1,0,0,0,0,0,0,0
2021,7,총,"15,662","4,839","1,562","1,007","1,031","2,164","1,107",770,"1,177",878,"1,127"
2021,7,0,656,293,44,29,36,93,27,12,31,7,84
2021,7,10,969,451,77,42,43,117,47,44,58,24,66
2021,7,20,"1,137",476,83,72,65,137,57,36,73,55,83
2021,7,30,995,370,80,63,51,123,49,32,51,38,138
2021,7,40,"1,806",656,136,110,84,223,107,65,130,84,211
2021,7,50,"3,024",909,288,179,209,438,229,179,237,151,205
2021,7,60,"3,687",874,450,265,274,521,338,223,307,229,206
2021,7,70,"2,106",504,250,158,144,309,165,110,191,183,92
2021,7,80,"1,159",285,135,81,114,180,78,62,93,97,34
2021,7,90,122,21,19,7,11,23,10,7,6,10,8
2021,7,100,1,0,0,1,0,0,0,0,0,0,0
2021,8,총,"15,627","4,816","1,559","1,007","1,036","2,163","1,110",763,"1,175",873,"1,125"
2021,8,0,654,291,44,27,36,93,25,12,32,7,87
2021,8,10,968,449,76,44,45,114,48,44,58,24,66
2021,8,20,"1,122",467,79,72,67,143,57,35,70,53,79
2021,8,30,988,368,80,62,52,122,49,29,50,38,138
2021,8,40,"1,787",647,136,110,82,220,106,62,131,82,211
2021,8,50,"3,021",915,286,180,209,438,230,178,235,149,201
2021,8,60,"3,695",869,453,262,275,524,338,224,310,230,210
2021,8,70,"2,108",505,249,161,145,307,168,109,190,183,91
2021,8,80,"1,162",284,137,81,114,180,79,63,93,97,34
2021,8,90,121,21,19,7,11,22,10,7,6,10,8
2021,8,100,1,0,0,1,0,0,0,0,0,0,0
2021,9,총,"15,577","4,794","1,557","1,006","1,029","2,155","1,108",762,"1,178",868,"1,120"
2021,9,0,658,292,46,28,36,95,26,11,31,7,86
2021,9,10,967,449,75,43,45,114,46,44,60,24,67
2021,9,20,"1,092",455,76,70,64,139,57,35,67,49,80
2021,9,30,974,358,80,61,53,118,48,31,51,37,137
2021,9,40,"1,776",644,134,110,81,221,105,60,130,80,211
2021,9,50,"3,009",912,287,179,206,435,228,179,235,150,198
2021,9,60,"3,706",874,452,267,276,521,341,223,314,229,209
2021,9,70,"2,109",505,252,160,143,308,168,108,191,184,90
2021,9,80,"1,163",283,136,79,114,182,79,64,93,97,36
2021,9,90,122,22,19,8,11,22,10,7,6,11,6
2021,9,100,1,0,0,1,0,0,0,0,0,0,0
2021,10,총,"15,560","4,784","1,556","1,007","1,022","2,153","1,112",757,"1,178",869,"1,122"
2021,10,0,646,289,43,28,36,93,25,10,30,7,85
2021,10,10,968,446,75,41,46,115,47,44,63,23,68
2021,10,20,"1,092",456,77,74,60,140,56,35,67,50,77
2021,10,30,977,353,81,59,55,121,50,30,50,37,141
2021,10,40,"1,758",643,132,109,80,218,104,61,129,74,208
2021,10,50,"2,998",901,286,179,201,429,232,177,234,158,201
2021,10,60,"3,722",877,457,268,275,525,340,225,316,229,210
2021,10,70,"2,116",517,251,161,144,306,168,108,188,184,89
2021,10,80,"1,162",280,136,79,114,183,80,61,95,97,37
2021,10,90,120,22,18,8,11,23,10,6,6,10,6
2021,10,100,1,0,0,1,0,0,0,0,0,0,0
2021,11,총,"15,571","4,788","1,551","1,007","1,018","2,162","1,102",765,"1,180",873,"1,125"
2021,11,0,650,293,44,27,35,95,24,11,31,7,83
2021,11,10,964,441,75,41,45,116,47,43,65,24,67
2021,11,20,"1,098",451,79,76,61,142,55,37,66,50,81
2021,11,30,968,357,79,58,53,120,48,30,49,39,135
2021,11,40,"1,754",638,128,107,81,222,105,61,128,74,210
2021,11,50,"3,008",907,290,181,199,429,230,176,236,159,201
2021,11,60,"3,727",874,453,266,274,530,339,231,316,231,213
2021,11,70,"2,126",525,249,162,144,308,168,109,189,182,90
2021,11,80,"1,156",279,135,80,116,178,77,61,94,97,39
2021,11,90,119,23,19,8,10,22,9,6,6,10,6
2021,11,100,1,0,0,1,0,0,0,0,0,0,0
2021,12,총,"15,551","4,798","1,547","1,005","1,013","2,175","1,098",758,"1,163",867,"1,127"
2021,12,0,634,288,45,27,33,92,23,10,30,6,80
2021,12,10,963,449,67,40,42,116,48,42,65,23,71
2021,12,20,"1,096",449,82,75,61,147,55,35,62,49,81
2021,12,30,975,356,83,59,52,121,51,30,47,37,139
2021,12,40,"1,753",641,125,108,84,218,105,61,127,74,210
2021,12,50,"3,002",915,288,179,196,434,231,169,233,158,199
2021,12,60,"3,716",867,457,267,276,532,336,232,310,229,210
2021,12,70,"2,134",534,247,160,141,310,163,112,190,186,91
2021,12,80,"1,157",276,134,81,117,182,76,61,93,97,40
2021,12,90,120,23,19,8,11,23,10,6,6,8,6
2021,12,100,1,0,0,1,0,0,0,0,0,0,0
