년도,월,나이,성동구,왕십리제2동,왕십리도선동,마장동,사근동,행당제1동,행당제2동,응봉동,금호1가동,금호2.3가동,금호4가동,옥수동,성수1가제1동,성수1가제2동,성수2가제1동,성수2가제3동,송정동,용답동
2020,3,70,"11,358",642,902,938,430,601,974,666,617,"1,008",612,962,510,465,656,434,398,543
2020,3,80,"5,141",268,439,413,163,255,411,307,293,476,272,452,235,235,288,202,175,257
2020,3,90,822,46,76,65,25,47,72,47,32,73,39,97,29,32,58,23,33,28
2020,3,100,171,13,17,14,5,6,12,5,10,20,5,19,5,10,13,7,7,3
2020,4,총,"152,416","8,874","14,245","11,780","5,729","7,730","12,941","8,420","8,229","12,448","7,777","14,340","8,348","7,039","8,111","5,538","5,197","5,670"
2020,4,0,"10,391",586,"1,227",627,213,510,972,614,662,871,696,"1,311",481,385,417,295,291,233
2020,4,10,"10,488",621,821,873,491,549,"1,208",890,536,779,473,826,571,490,462,281,285,332
2020,4,20,"22,986","1,318","2,357","2,239","1,947","1,227","1,626",894,932,"1,501",785,"1,678","1,263","1,109","1,148","1,097",826,"1,039"
2020,4,30,"25,483","1,490","2,581","1,587",733,"1,251","1,985","1,196","1,526","2,235","1,495","2,931","1,465","1,321","1,232",938,760,757
2020,4,40,"23,098","1,366","2,042","1,580",547,"1,163","2,197","1,596","1,280","1,934","1,331","2,249","1,276","1,115","1,146",729,760,787
2020,4,50,"24,090","1,450","2,326","1,937",660,"1,274","2,011","1,257","1,254","1,960","1,100","2,123","1,503","1,042","1,489",849,911,944
2020,4,60,"18,358","1,074","1,457","1,499",513,878,"1,462",940,"1,081","1,590",969,"1,682","1,012",834,"1,201",681,743,742
2020,4,70,"11,360",642,903,937,431,577,977,672,619,"1,007",606,976,510,463,660,434,401,545
2020,4,80,"5,168",268,437,422,164,247,418,308,297,476,278,449,235,239,286,204,180,260
2020,4,90,823,46,77,65,25,48,73,48,32,75,39,96,27,31,57,23,33,28
2020,4,100,171,13,17,14,5,6,12,5,10,20,5,19,5,10,13,7,7,3
2020,5,총,"152,253","8,890","14,259","11,747","5,764","7,547","12,933","8,393","8,233","12,457","7,753","14,367","8,345","7,044","8,123","5,537","5,193","5,668"
2020,5,0,"10,332",589,"1,227",619,212,501,954,609,664,855,695,"1,314",477,384,422,291,290,229
2020,5,10,"10,469",621,812,861,498,543,"1,205",890,535,780,470,842,567,489,460,281,284,331
2020,5,20,"22,982","1,321","2,357","2,235","1,975","1,194","1,620",892,922,"1,504",774,"1,686","1,258","1,120","1,144","1,101",827,"1,052"
2020,5,30,"25,460","1,492","2,585","1,578",739,"1,231","1,988","1,184","1,522","2,235","1,490","2,913","1,470","1,322","1,247",937,760,767
2020,5,40,"23,002","1,357","2,030","1,582",546,"1,143","2,190","1,583","1,280","1,930","1,322","2,259","1,266","1,110","1,140",732,752,780
2020,5,50,"24,057","1,457","2,345","1,938",653,"1,228","2,012","1,259","1,249","1,969","1,101","2,125","1,507","1,037","1,477",843,915,942
2020,5,60,"18,384","1,076","1,461","1,494",515,851,"1,469",930,"1,093","1,607",975,"1,685","1,025",841,"1,206",682,738,736
2020,5,70,"11,372",646,908,937,425,560,986,686,626,"1,002",602,978,504,462,667,436,405,542
2020,5,80,"5,185",272,439,425,171,240,422,305,298,480,282,445,239,236,290,203,182,256
2020,5,90,839,46,79,63,25,50,75,50,34,75,37,101,27,33,57,24,33,30
2020,5,100,171,13,16,15,5,6,12,5,10,20,5,19,5,10,13,7,7,3
2020,6,총,"152,139","8,873","14,276","11,722","5,801","7,494","12,924","8,379","8,270","12,443","7,750","14,333","8,353","7,012","8,105","5,558","5,172","5,674"
2020,6,0,"10,331",591,"1,217",615,208,502,957,607,675,854,692,"1,315",478,384,426,294,287,229
2020,6,10,"10,405",618,811,857,499,541,"1,197",890,530,772,469,837,564,486,455,275,279,325
2020,6,20,"23,058","1,308","2,373","2,243","2,017","1,196","1,611",891,920,"1,508",773,"1,666","1,259","1,117","1,144","1,113",837,"1,082"
2020,6,30,"25,384","1,489","2,565","1,576",730,"1,226","1,983","1,177","1,526","2,223","1,483","2,903","1,488","1,305","1,244",934,759,773
2020,6,40,"22,950","1,358","2,031","1,570",552,"1,142","2,182","1,579","1,285","1,934","1,313","2,260","1,260","1,106","1,129",730,740,779
2020,6,50,"23,980","1,442","2,349","1,930",655,"1,215","2,016","1,254","1,243","1,963","1,104","2,124","1,505","1,033","1,472",846,904,925
2020,6,60,"18,447","1,085","1,475","1,494",512,834,"1,477",934,"1,114","1,612",981,"1,689","1,019",840,"1,215",694,742,730
2020,6,70,"11,386",656,918,936,423,545,989,683,627,"1,005",608,976,509,463,665,438,400,545
2020,6,80,"5,192",268,443,423,174,237,427,307,305,476,286,445,240,235,285,203,185,253
2020,6,90,834,45,78,63,26,50,72,52,35,76,36,99,26,33,57,24,32,30
2020,6,100,172,13,16,15,5,6,13,5,10,20,5,19,5,10,13,7,7,3
2020,7,총,"151,866","8,842","14,311","11,695","5,809","7,443","12,875","8,374","8,231","12,427","7,744","14,345","8,339","6,999","8,060","5,548","5,153","5,671"
2020,7,0,"10,278",591,"1,202",608,207,503,938,610,672,856,688,"1,312",487,387,424,288,278,227
2020,7,10,"10,313",614,810,848,501,538,"1,196",887,523,764,467,830,552,473,443,271,279,317
2020,7,20,"23,053","1,300","2,409","2,241","2,011","1,175","1,602",887,915,"1,503",773,"1,679","1,254","1,115","1,132","1,117",838,"1,102"
2020,7,30,"25,313","1,489","2,560","1,578",732,"1,212","1,977","1,177","1,500","2,212","1,485","2,887","1,489","1,310","1,238",929,760,778
2020,7,40,"22,857","1,343","2,025","1,555",554,"1,143","2,169","1,573","1,272","1,927","1,306","2,270","1,257","1,109","1,119",727,733,775
2020,7,50,"23,933","1,436","2,353","1,930",658,"1,207","2,005","1,255","1,237","1,975","1,103","2,126","1,491","1,022","1,470",847,903,915
2020,7,60,"18,485","1,083","1,493","1,489",512,832,"1,485",933,"1,123","1,607",987,"1,698","1,026",843,"1,214",695,736,729
2020,7,70,"11,417",660,918,942,424,541,982,685,631,"1,018",604,984,517,466,664,437,398,546
2020,7,80,"5,209",267,447,425,179,237,435,310,310,471,292,442,235,232,285,207,187,248
2020,7,90,838,47,78,65,26,49,73,52,38,74,34,98,26,32,58,23,34,31
2020,7,100,170,12,16,14,5,6,13,5,10,20,5,19,5,10,13,7,7,3
2020,8,총,"151,482","8,822","14,287","11,668","5,790","7,415","12,862","8,349","8,233","12,370","7,743","14,320","8,344","6,960","8,025","5,546","5,123","5,625"
2020,8,0,"10,190",590,"1,187",601,199,505,935,600,673,854,683,"1,299",487,383,413,287,273,221
2020,8,10,"10,253",602,804,833,504,538,"1,188",888,518,760,461,833,558,473,444,267,275,307
2020,8,20,"22,969","1,303","2,408","2,244","2,009","1,166","1,590",877,918,"1,480",771,"1,672","1,254","1,108","1,127","1,102",831,"1,109"
2020,8,30,"25,205","1,494","2,545","1,570",723,"1,195","1,967","1,162","1,506","2,201","1,489","2,881","1,490","1,293","1,218",946,759,766
2020,8,40,"22,789","1,324","2,031","1,548",559,"1,143","2,161","1,579","1,255","1,932","1,312","2,259","1,259","1,106","1,117",718,723,763
2020,8,50,"23,852","1,438","2,348","1,910",646,"1,199","2,015","1,252","1,250","1,953","1,104","2,120","1,493","1,010","1,457",853,900,904
2020,8,60,"18,534","1,081","1,498","1,512",519,836,"1,491",931,"1,118","1,613",982,"1,708","1,022",843,"1,216",696,738,730
2020,8,70,"11,428",667,922,944,419,539,982,691,632,"1,013",606,984,515,468,671,431,402,542
2020,8,80,"5,243",264,451,425,179,239,445,313,314,472,293,444,234,236,291,215,180,248
2020,8,90,845,46,77,67,28,49,74,51,39,71,37,100,27,30,58,24,35,32
2020,8,100,174,13,16,14,5,6,14,5,10,21,5,20,5,10,13,7,7,3
2020,9,총,"151,147","8,819","14,266","11,616","5,828","7,375","12,820","8,324","8,249","12,327","7,717","14,302","8,324","6,918","7,997","5,558","5,096","5,611"
2020,9,0,"10,155",588,"1,186",596,200,496,937,596,671,851,687,"1,294",485,388,412,281,268,219
2020,9,10,"10,179",601,800,830,486,543,"1,162",876,519,755,462,829,564,463,437,268,277,307
2020,9,20,"22,876","1,308","2,373","2,223","2,064","1,148","1,590",878,915,"1,468",749,"1,675","1,238","1,091","1,113","1,107",826,"1,110"
2020,9,30,"25,095","1,492","2,544","1,573",717,"1,181","1,951","1,162","1,503","2,182","1,496","2,849","1,469","1,290","1,217",954,750,765
2020,9,40,"22,732","1,327","2,031","1,530",562,"1,140","2,152","1,560","1,262","1,926","1,305","2,275","1,265","1,091","1,114",720,716,756
2020,9,50,"23,803","1,427","2,352","1,898",651,"1,194","2,010","1,265","1,245","1,952","1,109","2,114","1,490","1,001","1,452",844,898,901
2020,9,60,"18,590","1,081","1,511","1,516",512,842,"1,499",931,"1,131","1,613",975,"1,718","1,024",855,"1,219",702,732,729
2020,9,70,"11,443",672,913,943,421,538,982,688,636,"1,014",602,984,520,466,673,435,410,546
2020,9,80,"5,243",264,458,425,181,239,447,310,317,475,290,442,237,232,291,215,177,243
2020,9,90,856,46,81,68,29,48,76,53,40,70,37,102,27,31,56,25,35,32
2020,9,100,175,13,17,14,5,6,14,5,10,21,5,20,5,10,13,7,7,3
2020,10,총,"150,836","8,806","14,248","11,589","5,823","7,327","12,837","8,323","8,237","12,294","7,704","14,288","8,330","6,885","7,951","5,523","5,091","5,580"
2020,10,0,"10,078",580,"1,177",590,200,492,941,593,659,853,678,"1,281",484,384,402,282,270,212
2020,10,10,"10,087",595,786,827,470,538,"1,164",864,508,750,467,828,547,460,441,265,270,307
2020,10,20,"22,893","1,313","2,388","2,204","2,079","1,153","1,604",893,918,"1,464",746,"1,657","1,251","1,098","1,101","1,094",827,"1,103"
2020,10,30,"25,022","1,483","2,549","1,588",709,"1,163","1,952","1,161","1,500","2,182","1,500","2,834","1,468","1,271","1,205",943,757,757
2020,10,40,"22,613","1,327","2,024","1,517",555,"1,130","2,140","1,554","1,257","1,913","1,291","2,289","1,255","1,086","1,100",721,707,747
2020,10,50,"23,774","1,430","2,345","1,894",652,"1,180","2,006","1,269","1,247","1,947","1,104","2,114","1,498","1,006","1,445",840,896,901
2020,10,60,"18,635","1,078","1,517","1,523",513,836,"1,508",933,"1,139","1,615",981,"1,734","1,028",841,"1,223",696,740,730
2020,10,70,"11,425",672,904,942,427,542,986,682,643,999,600,982,524,468,673,433,403,545
2020,10,80,"5,276",268,459,422,185,240,446,317,314,482,295,448,242,230,288,217,179,244
2020,10,90,854,47,81,68,28,46,76,51,42,68,37,100,28,31,60,25,35,31
2020,10,100,179,13,18,14,5,7,14,6,10,21,5,21,5,10,13,7,7,3
2020,11,총,"150,527","8,789","14,208","11,571","5,832","7,304","12,806","8,305","8,222","12,276","7,698","14,257","8,311","6,864","7,937","5,520","5,077","5,550"
2020,11,0,"10,056",589,"1,174",598,198,491,929,592,660,847,678,"1,281",480,381,401,282,268,207
2020,11,10,"10,012",592,772,813,461,536,"1,157",859,502,744,470,822,544,459,439,272,268,302
2020,11,20,"22,817","1,302","2,382","2,207","2,096","1,147","1,599",891,916,"1,457",740,"1,635","1,234","1,094","1,100","1,090",826,"1,101"
2020,11,30,"24,970","1,477","2,544","1,581",711,"1,161","1,964","1,161","1,485","2,180","1,497","2,838","1,464","1,270","1,201",929,755,752
2020,11,40,"22,549","1,337","2,015","1,497",548,"1,126","2,125","1,542","1,255","1,911","1,295","2,289","1,257","1,089","1,103",715,701,744
2020,11,50,"23,705","1,420","2,330","1,902",657,"1,171","1,996","1,270","1,245","1,943","1,094","2,107","1,499",990,"1,435",855,893,898
2020,11,60,"18,666","1,070","1,527","1,525",515,838,"1,515",931,"1,141","1,613",989,"1,735","1,030",844,"1,231",696,746,720
2020,11,70,"11,436",673,908,945,427,544,981,682,645,"1,002",604,983,525,466,673,434,399,545
2020,11,80,"5,280",268,455,422,186,235,451,320,320,489,290,448,245,229,281,215,179,247
2020,11,90,859,48,84,67,28,48,75,51,43,70,36,98,28,32,60,25,35,31
2020,11,100,177,13,17,14,5,7,14,6,10,20,5,21,5,10,13,7,7,3
2020,12,총,"150,169","8,776","14,167","11,541","5,833","7,283","12,774","8,285","8,195","12,252","7,672","14,244","8,269","6,844","7,907","5,505","5,061","5,561"
2020,12,0,"9,980",598,"1,166",595,197,495,916,591,642,846,673,"1,267",484,376,395,280,259,200
2020,12,10,"9,924",590,764,804,443,524,"1,139",855,507,745,465,820,535,452,438,267,270,306
2020,12,20,"22,772","1,304","2,366","2,191","2,126","1,137","1,604",887,912,"1,451",739,"1,634","1,218","1,101","1,093","1,081",825,"1,103"
2020,12,30,"24,873","1,466","2,539","1,586",701,"1,164","1,951","1,158","1,479","2,176","1,489","2,823","1,455","1,274","1,189",922,746,755
2020,12,40,"22,445","1,323","2,011","1,489",552,"1,121","2,110","1,535","1,245","1,912","1,296","2,278","1,242","1,075","1,095",715,702,744
2020,12,50,"23,666","1,421","2,321","1,895",653,"1,165","2,006","1,272","1,238","1,929","1,081","2,118","1,500",987,"1,436",858,889,897
2020,12,60,"18,725","1,077","1,537","1,523",517,840,"1,522",930,"1,150","1,612",989,"1,751","1,036",845,"1,229",697,747,723
2020,12,70,"11,416",664,903,948,428,546,990,671,641,998,606,987,521,463,672,434,399,545
2020,12,80,"5,335",272,461,425,184,237,447,329,329,494,293,447,244,230,288,218,183,254
2020,12,90,854,48,82,70,27,45,75,51,42,69,36,99,29,31,59,26,34,31
2020,12,100,179,13,17,15,5,9,14,6,10,20,5,20,5,10,13,7,7,3
2021,1,총,"149,952","8,785","14,120","11,513","5,780","7,283","12,744","8,269","8,192","12,240","7,681","14,175","8,362","6,815","7,883","5,507","5,042","5,561"
2021,1,0,"9,909",594,"1,157",592,195,486,909,589,636,842,672,"1,262",487,369,391,277,253,198
2021,1,10,"9,864",591,760,808,417,521,"1,139",850,508,739,458,810,542,451,436,269,265,300
2021,1,20,"22,638","1,305","2,332","2,169","2,106","1,144","1,596",890,914,"1,442",743,"1,594","1,229","1,099","1,074","1,070",824,"1,107"
2021,1,30,"24,818","1,460","2,539","1,586",701,"1,152","1,941","1,144","1,473","2,169","1,484","2,815","1,470","1,261","1,203",927,737,756
2021,1,40,"22,406","1,331","2,018","1,487",543,"1,121","2,099","1,522","1,248","1,911","1,297","2,266","1,254","1,069","1,083",715,698,744
2021,1,50,"23,664","1,425","2,296","1,890",653,"1,172","2,006","1,283","1,225","1,943","1,083","2,102","1,523",984,"1,443",855,890,891
2021,1,60,"18,787","1,078","1,553","1,514",519,840,"1,530",928,"1,162","1,611",988,"1,765","1,052",841,"1,220",701,753,732
2021,1,70,"11,437",666,902,948,420,552,982,675,639,996,616,989,522,471,677,439,399,544
2021,1,80,"5,393",272,467,430,194,241,453,332,334,499,296,452,249,228,288,222,182,254
2021,1,90,855,50,79,73,27,44,74,50,43,68,39,100,29,32,55,26,34,32
2021,1,100,181,13,17,16,5,10,15,6,10,20,5,20,5,10,13,6,7,3
2021,2,총,"149,633","8,765","14,082","11,440","5,754","7,261","12,730","8,247","8,175","12,203","7,657","14,192","8,389","6,746","7,844","5,500","5,017","5,631"
2021,2,0,"9,822",592,"1,144",583,197,482,902,583,636,832,663,"1,270",473,359,386,280,246,194
2021,2,10,"9,810",595,773,806,413,520,"1,139",836,502,733,450,804,542,445,426,265,261,300
2021,2,20,"22,494","1,300","2,310","2,112","2,085","1,140","1,586",895,910,"1,405",736,"1,586","1,240","1,081","1,079","1,052",813,"1,164"
2021,2,30,"24,671","1,451","2,507","1,582",696,"1,142","1,933","1,132","1,454","2,187","1,475","2,796","1,456","1,235","1,186",935,734,770
2021,2,40,"22,357","1,315","2,027","1,483",536,"1,120","2,095","1,524","1,259","1,897","1,297","2,282","1,255","1,053","1,065",719,692,738
2021,2,50,"23,706","1,425","2,294","1,889",652,"1,175","2,009","1,288","1,224","1,949","1,080","2,110","1,538",988,"1,449",852,888,896
2021,2,60,"18,869","1,087","1,562","1,514",519,837,"1,535",927,"1,164","1,616","1,000","1,777","1,074",844,"1,221",700,762,730
2021,2,70,"11,434",669,902,946,424,553,982,674,633,991,615,990,526,470,675,442,397,545
2021,2,80,"5,417",266,466,433,199,237,458,333,337,505,296,457,250,228,288,223,183,258
2021,2,90,872,52,80,76,28,45,76,49,46,68,40,100,30,33,56,26,34,33
2021,2,100,181,13,17,16,5,10,15,6,10,20,5,20,5,10,13,6,7,3
2021,3,총,"149,400","8,720","14,028","11,445","5,820","7,273","12,673","8,237","8,157","12,139","7,638","14,146","8,436","6,696","7,811","5,493","5,012","5,676"
2021,3,0,"9,774",589,"1,116",581,199,480,901,576,645,832,661,"1,273",463,356,381,281,246,194
2021,3,10,"9,849",588,779,818,466,522,"1,134",833,504,724,457,798,551,437,420,259,260,299
2021,3,20,"22,610","1,299","2,305","2,120","2,098","1,160","1,590",906,904,"1,396",732,"1,579","1,268","1,082","1,080","1,053",819,"1,219"
2021,3,30,"24,528","1,450","2,491","1,566",701,"1,147","1,908","1,136","1,440","2,184","1,449","2,773","1,436","1,223","1,185",926,732,781
2021,3,40,"22,250","1,306","2,023","1,483",527,"1,114","2,082","1,510","1,257","1,885","1,306","2,269","1,255","1,045","1,056",720,682,730
2021,3,50,"23,643","1,416","2,305","1,878",657,"1,174","2,006","1,277","1,228","1,940","1,083","2,103","1,552",975,"1,431",839,889,890
2021,3,60,"18,974","1,093","1,550","1,534",517,838,"1,538",936,"1,164","1,612","1,005","1,784","1,103",849,"1,232",722,764,733
2021,3,70,"11,458",674,904,947,422,552,990,669,639,988,616,993,526,469,680,442,405,542
2021,3,80,"5,413",260,476,433,199,237,453,338,331,508,289,461,254,229,285,221,184,255
2021,3,90,834,44,77,77,29,41,69,50,44,67,38,101,27,30,51,26,31,32
2021,3,100,67,1,2,8,5,8,2,6,1,3,2,12,1,1,10,4,0,1
2021,4,총,"149,257","8,711","14,025","11,441","5,835","7,261","12,644","8,224","8,170","12,109","7,623","14,136","8,435","6,664","7,811","5,486","5,010","5,672"
2021,4,0,"9,770",601,"1,112",579,196,480,897,574,647,835,660,"1,279",463,349,378,280,247,193
2021,4,10,"9,810",583,773,827,462,519,"1,127",829,505,724,460,799,538,433,421,252,259,299
2021,4,20,"22,577","1,292","2,306","2,104","2,111","1,148","1,578",902,908,"1,402",733,"1,568","1,276","1,074","1,071","1,061",821,"1,222"
2021,4,30,"24,493","1,451","2,483","1,555",700,"1,155","1,909","1,133","1,442","2,162","1,433","2,764","1,442","1,218","1,198",928,727,793
2021,4,40,"22,175","1,294","2,027","1,490",531,"1,107","2,067","1,507","1,249","1,883","1,310","2,270","1,241","1,035","1,053",706,682,723
2021,4,50,"23,583","1,420","2,312","1,872",660,"1,173","2,008","1,276","1,226","1,927","1,066","2,099","1,551",976,"1,421",838,882,876
2021,4,60,"19,043","1,094","1,559","1,536",518,840,"1,545",939,"1,172","1,609","1,007","1,786","1,112",855,"1,240",720,770,741
2021,4,70,"11,444",667,898,956,421,548,991,664,636,990,621,988,529,467,685,447,401,535
2021,4,80,"5,461",264,477,434,202,244,451,345,339,509,292,469,255,228,284,224,189,255
2021,4,90,833,44,76,80,29,39,69,49,45,64,39,101,27,29,50,26,32,34
2021,4,100,68,1,2,8,5,8,2,6,1,4,2,13,1,0,10,4,0,1
2021,5,총,"148,298","8,611","13,936","11,416","5,862","7,231","12,566","8,198","8,115","11,994","7,559","14,054","8,369","6,566","7,732","5,472","4,994","5,623"
2021,5,0,"9,743",597,"1,116",571,200,484,895,566,649,827,657,"1,281",461,346,385,279,242,187
2021,5,10,"9,764",581,764,821,444,521,"1,134",826,506,727,454,796,541,425,416,252,256,300
2021,5,20,"22,553","1,297","2,315","2,110","2,138","1,147","1,558",904,909,"1,402",724,"1,568","1,256","1,059","1,069","1,043",829,"1,225"
2021,5,30,"24,339","1,440","2,466","1,557",709,"1,154","1,887","1,129","1,411","2,143","1,427","2,749","1,441","1,193","1,190",932,726,785
2021,5,40,"21,968","1,273","2,001","1,471",529,"1,103","2,049","1,501","1,250","1,860","1,298","2,254","1,223","1,013","1,035",713,688,707
2021,5,50,"23,447","1,398","2,302","1,869",667,"1,161","2,007","1,265","1,223","1,910","1,062","2,090","1,535",976,"1,405",832,874,871
2021,5,60,"18,924","1,074","1,552","1,542",517,837,"1,525",949,"1,152","1,591",996,"1,794","1,110",836,"1,227",722,764,736
2021,5,70,"11,236",642,867,949,420,535,992,657,629,964,605,966,514,459,668,446,399,524
2021,5,80,"5,442",264,475,437,204,246,447,347,340,500,293,457,256,231,286,221,186,252
2021,5,90,833,44,77,81,28,39,70,48,45,66,41,95,30,28,48,28,30,35
2021,5,100,49,1,1,8,6,4,2,6,1,4,2,4,2,0,3,4,0,1
2021,6,총,"148,120","8,589","13,933","11,405","5,858","7,218","12,563","8,175","8,132","11,975","7,545","14,032","8,372","6,539","7,702","5,456","5,005","5,621"
2021,6,0,"9,722",595,"1,116",576,200,484,891,566,649,820,653,"1,279",461,346,381,283,240,182
2021,6,10,"9,724",568,763,813,428,516,"1,133",823,517,729,453,796,538,423,416,250,258,300
2021,6,20,"22,511","1,301","2,301","2,096","2,163","1,152","1,553",902,900,"1,398",718,"1,552","1,255","1,056","1,064","1,039",832,"1,229"
2021,6,30,"24,308","1,437","2,475","1,556",712,"1,159","1,884","1,117","1,418","2,125","1,422","2,745","1,445","1,178","1,183",932,721,799
2021,6,40,"21,931","1,263","2,001","1,472",527,"1,091","2,038","1,496","1,247","1,867","1,293","2,251","1,230","1,015","1,032",713,694,701
2021,6,50,"23,363","1,398","2,288","1,870",659,"1,164","2,012","1,262","1,218","1,904","1,062","2,083","1,529",968,"1,386",823,877,860
2021,6,60,"18,988","1,073","1,561","1,540",512,832,"1,526",955,"1,162","1,604",996,"1,806","1,111",841,"1,236",723,767,743
2021,6,70,"11,209",646,873,947,423,534,995,651,632,953,607,961,517,455,664,438,396,517
2021,6,80,"5,475",262,478,447,201,243,457,349,341,503,298,460,253,230,288,222,189,254
2021,6,90,837,45,76,80,27,39,72,48,46,68,41,95,31,27,49,28,31,34
2021,6,100,52,1,1,8,6,4,2,6,2,4,2,4,2,0,3,5,0,2
2021,7,총,"147,892","8,571","13,964","11,381","5,811","7,227","12,532","8,155","8,091","11,968","7,536","14,000","8,358","6,540","7,695","5,455","4,997","5,611"
2021,7,0,"9,666",590,"1,109",572,199,484,890,564,633,824,656,"1,262",461,346,384,282,235,175
2021,7,10,"9,682",560,777,803,416,514,"1,122",814,519,724,454,802,531,420,409,254,260,303
2021,7,20,"22,405","1,296","2,304","2,084","2,142","1,154","1,546",892,894,"1,401",704,"1,536","1,249","1,058","1,064","1,031",826,"1,224"
2021,7,30,"24,234","1,437","2,464","1,558",698,"1,158","1,869","1,111","1,407","2,120","1,414","2,726","1,457","1,181","1,181",934,716,803
2021,7,40,"21,866","1,256","2,003","1,464",526,"1,090","2,029","1,503","1,242","1,861","1,290","2,261","1,222","1,008","1,025",709,684,693
2021,7,50,"23,352","1,402","2,303","1,867",659,"1,163","2,007","1,266","1,218","1,902","1,058","2,070","1,515",970,"1,387",821,889,855
2021,7,60,"19,080","1,073","1,563","1,554",515,840,"1,537",953,"1,163","1,605","1,009","1,820","1,119",839,"1,243",731,767,749
2021,7,70,"11,204",648,872,939,424,536,999,647,627,952,606,959,519,459,665,436,397,519
2021,7,80,"5,505",263,490,455,198,244,460,351,342,506,301,464,251,230,286,224,187,253
2021,7,90,847,45,78,77,28,40,71,48,44,69,42,97,32,29,48,28,36,35
