년도,월,나이,경상북도 군위군,경상북도 군위군 군위읍,경상북도 군위군 소보면,경상북도 군위군 효령면,경상북도 군위군 부계면,경상북도 군위군 우보면,경상북도 군위군 의흥면,경상북도 군위군 산성면,경상북도 군위군 고로면,경상북도 군위군 삼국유사면
2020,7,40,"2,216","1,113",146,314,152,152,179,77,83,
2020,7,50,"4,355","1,508",452,723,413,364,414,218,263,
2020,7,60,"5,240","1,453",530,944,506,510,598,311,388,
2020,7,70,"4,064","1,063",457,689,362,410,523,270,290,
2020,7,80,"2,588",615,356,398,242,303,345,181,148,
2020,7,90,319,79,44,38,39,30,39,25,25,
2020,7,100,15,7,2,1,0,3,2,0,0,
2020,8,총,"23,409","8,268","2,315","3,792","2,038","2,023","2,423","1,197","1,353",
2020,8,0,712,443,39,90,39,21,46,17,17,
2020,8,10,993,594,52,133,54,47,66,24,23,
2020,8,20,"1,535",723,110,272,136,108,97,30,59,
2020,8,30,"1,383",674,111,189,101,84,113,55,56,
2020,8,40,"2,206","1,113",148,309,146,151,178,76,85,
2020,8,50,"4,351","1,508",454,722,414,361,413,215,264,
2020,8,60,"5,254","1,452",541,957,505,510,596,308,385,
2020,8,70,"4,064","1,065",458,686,362,409,525,269,290,
2020,8,80,"2,577",611,356,394,241,300,347,179,149,
2020,8,90,319,78,44,39,40,29,40,24,25,
2020,8,100,15,7,2,1,0,3,2,0,0,
2020,9,총,"23,345","8,248","2,321","3,772","2,031","2,017","2,415","1,195","1,346",
2020,9,0,699,435,39,89,37,21,44,17,17,
2020,9,10,993,597,53,132,54,43,67,24,23,
2020,9,20,"1,521",719,112,261,134,111,96,30,58,
2020,9,30,"1,359",667,109,185,97,83,110,52,56,
2020,9,40,"2,193","1,106",149,307,146,146,177,78,84,
2020,9,50,"4,333","1,506",453,713,413,365,413,212,258,
2020,9,60,"5,278","1,461",545,966,506,509,594,308,389,
2020,9,70,"4,046","1,058",457,683,364,407,522,268,287,
2020,9,80,"2,587",614,357,394,241,300,349,182,150,
2020,9,90,320,78,44,41,39,29,41,24,24,
2020,9,100,16,7,3,1,0,3,2,0,0,
2020,10,총,"23,351","8,243","2,325","3,764","2,040","2,022","2,405","1,198","1,354",
2020,10,0,696,431,40,89,38,20,44,17,17,
2020,10,10,987,594,54,131,54,43,65,23,23,
2020,10,20,"1,524",717,114,260,137,111,95,32,58,
2020,10,30,"1,347",655,110,186,96,82,110,51,57,
2020,10,40,"2,179","1,104",149,300,147,146,172,78,83,
2020,10,50,"4,340","1,515",458,703,415,364,413,210,262,
2020,10,60,"5,314","1,471",545,975,507,511,600,314,391,
2020,10,70,"4,030","1,056",452,683,365,407,515,265,287,
2020,10,80,"2,594",616,357,394,242,304,349,183,149,
2020,10,90,324,77,43,42,39,31,40,25,27,
2020,10,100,16,7,3,1,0,3,2,0,0,
2020,11,총,"23,299","8,218","2,326","3,761","2,035","2,015","2,399","1,190","1,355",
2020,11,0,686,425,41,87,38,20,42,15,18,
2020,11,10,978,591,52,129,51,42,66,25,22,
2020,11,20,"1,515",714,114,260,137,108,94,31,57,
2020,11,30,"1,331",644,108,186,96,83,107,49,58,
2020,11,40,"2,173","1,106",146,297,144,143,173,77,87,
2020,11,50,"4,325","1,509",455,708,410,362,413,209,259,
2020,11,60,"5,320","1,471",552,975,516,504,599,314,389,
2020,11,70,"4,031","1,059",451,678,362,415,515,262,289,
2020,11,80,"2,600",618,361,398,243,302,347,182,149,
2020,11,90,324,74,43,42,38,33,41,26,27,
2020,11,100,16,7,3,1,0,3,2,0,0,
2020,12,총,"23,256","8,193","2,317","3,768","2,042","2,007","2,385","1,189","1,355",
2020,12,0,681,425,42,87,39,19,36,15,18,
2020,12,10,961,583,50,129,48,40,66,23,22,
2020,12,20,"1,522",712,110,264,141,111,93,34,57,
2020,12,30,"1,309",634,106,181,97,81,105,47,58,
2020,12,40,"2,159","1,104",143,300,146,138,169,75,84,
2020,12,50,"4,312","1,505",457,705,411,360,410,208,256,
2020,12,60,"5,336","1,474",556,976,516,503,600,316,395,
2020,12,70,"4,018","1,057",448,676,358,416,516,260,287,
2020,12,80,"2,612",617,360,403,247,302,347,185,151,
2020,12,90,331,76,42,46,39,34,41,26,27,
2020,12,100,15,6,3,1,0,3,2,0,0,
2021,1,총,"23,216","8,165","2,304","3,779","2,053","2,008","2,374","1,182",0,"1,351"
2021,1,0,675,420,39,90,39,18,37,15,0,17
2021,1,10,955,579,48,128,49,40,65,22,0,24
2021,1,20,"1,502",707,104,256,143,110,94,32,0,56
2021,1,30,"1,304",631,104,182,101,81,104,46,0,55
2021,1,40,"2,138","1,093",138,302,145,133,168,74,0,85
2021,1,50,"4,280","1,494",456,708,403,360,406,204,0,249
2021,1,60,"5,373","1,489",560,981,525,507,595,319,0,397
2021,1,70,"4,015","1,054",447,677,357,422,514,259,0,285
2021,1,80,"2,625",617,360,406,254,300,347,186,0,155
2021,1,90,333,75,45,48,37,33,42,25,0,28
2021,1,100,16,6,3,1,0,4,2,0,0,0
2021,2,총,"23,130","8,134","2,292","3,761","2,049","2,002","2,369","1,181",,"1,342"
2021,2,0,668,416,40,88,38,18,37,15,,16
2021,2,10,947,575,48,128,45,40,66,22,,23
2021,2,20,"1,475",693,102,251,145,107,93,32,,52
2021,2,30,"1,288",620,102,181,105,81,101,45,,53
2021,2,40,"2,115","1,090",138,296,140,131,166,69,,85
2021,2,50,"4,258","1,493",453,697,404,356,400,209,,246
2021,2,60,"5,410","1,499",558,995,526,513,604,319,,396
2021,2,70,"3,985","1,046",441,667,357,415,509,259,,291
2021,2,80,"2,637",621,363,408,253,303,347,188,,154
2021,2,90,331,75,44,49,36,34,44,23,,26
2021,2,100,16,6,3,1,0,4,2,0,,0
2021,3,총,"23,094","8,129","2,293","3,756","2,044","1,988","2,369","1,178",,"1,337"
2021,3,0,656,409,40,86,39,16,38,14,,14
2021,3,10,946,571,49,129,45,39,66,24,,23
2021,3,20,"1,462",698,99,251,139,100,93,31,,51
2021,3,30,"1,268",603,102,181,104,80,102,45,,51
2021,3,40,"2,104","1,094",135,296,136,124,165,69,,85
2021,3,50,"4,234","1,491",446,688,405,359,395,206,,244
2021,3,60,"5,443","1,507",567,993,531,515,608,322,,400
2021,3,70,"3,993","1,040",447,678,358,420,507,257,,286
2021,3,80,"2,641",633,361,403,250,300,350,188,,156
2021,3,90,334,77,45,50,37,33,43,22,,27
2021,3,100,13,6,2,1,0,2,2,0,,0
2021,4,총,"23,063","8,122","2,290","3,757","2,034","1,981","2,366","1,175",,"1,338"
2021,4,0,650,402,38,90,39,15,38,14,,14
2021,4,10,936,570,48,127,43,37,66,23,,22
2021,4,20,"1,449",696,98,249,137,97,88,32,,52
2021,4,30,"1,262",600,102,180,103,78,105,43,,51
2021,4,40,"2,093","1,090",134,294,131,126,165,68,,85
2021,4,50,"4,209","1,485",442,687,402,351,396,204,,242
2021,4,60,"5,490","1,528",574,998,532,524,608,324,,402
2021,4,70,"3,979","1,033",443,680,357,419,504,256,,287
2021,4,80,"2,647",635,364,402,252,300,351,188,,155
2021,4,90,336,77,45,49,38,33,43,23,,28
2021,4,100,12,6,2,1,0,1,2,0,,0
2021,5,총,"22,942","8,102","2,283","3,735","2,021","1,963","2,351","1,161",,"1,326"
2021,5,0,639,401,37,84,38,14,37,14,,14
2021,5,10,927,564,47,127,42,37,66,23,,21
2021,5,20,"1,439",696,96,248,134,97,87,32,,49
2021,5,30,"1,249",602,100,176,101,74,105,43,,48
2021,5,40,"2,076","1,077",134,290,134,126,163,66,,86
2021,5,50,"4,143","1,474",435,680,396,344,384,195,,235
2021,5,60,"5,483","1,529",576,998,530,518,609,321,,402
2021,5,70,"3,986","1,041",444,678,357,418,507,253,,288
2021,5,80,"2,653",635,368,404,250,300,350,190,,156
2021,5,90,333,77,44,49,39,34,39,24,,27
2021,5,100,14,6,2,1,0,1,4,0,,0
2021,6,총,"22,924","8,098","2,278","3,741","2,018","1,950","2,354","1,163",,"1,322"
2021,6,0,642,396,37,90,38,14,38,15,,14
2021,6,10,921,563,46,125,42,36,65,23,,21
2021,6,20,"1,435",699,95,245,131,96,89,33,,47
2021,6,30,"1,245",595,100,178,101,74,104,44,,49
2021,6,40,"2,056","1,067",132,293,131,121,162,64,,86
2021,6,50,"4,118","1,476",436,675,389,338,380,188,,236
2021,6,60,"5,508","1,535",574,"1,002",536,518,615,325,,403
2021,6,70,"3,990","1,047",445,675,358,412,509,256,,288
2021,6,80,"2,659",637,364,405,253,306,349,191,,154
2021,6,90,336,77,47,52,39,34,39,24,,24
2021,6,100,14,6,2,1,0,1,4,0,,0
2021,7,총,"22,880","8,092","2,274","3,732","2,018","1,946","2,343","1,163",,"1,312"
2021,7,0,627,387,38,89,37,13,37,15,,11
2021,7,10,917,562,45,123,43,37,66,23,,18
2021,7,20,"1,419",695,93,241,131,96,87,32,,44
2021,7,30,"1,235",597,99,174,98,74,100,47,,46
2021,7,40,"2,045","1,065",132,294,130,119,161,63,,81
2021,7,50,"4,109","1,475",437,669,386,340,376,189,,237
2021,7,60,"5,529","1,546",574,"1,009",540,517,613,324,,406
2021,7,70,"3,987","1,046",445,673,359,409,513,251,,291
2021,7,80,"2,662",634,363,407,255,308,347,196,,152
2021,7,90,336,79,46,52,39,32,39,23,,26
2021,7,100,14,6,2,1,0,1,4,0,,0
2021,8,총,"22,853","8,095","2,263","3,723","2,011","1,951","2,343","1,163",,"1,304"
2021,8,0,625,387,38,88,35,15,36,15,,11
2021,8,10,919,570,41,124,44,35,64,23,,18
2021,8,20,"1,402",694,92,236,124,93,89,31,,43
2021,8,30,"1,227",590,103,174,95,77,99,44,,45
2021,8,40,"2,033","1,063",130,291,131,117,159,64,,78
2021,8,50,"4,106","1,474",438,669,381,343,375,191,,235
2021,8,60,"5,534","1,551",573,"1,009",541,518,615,323,,404
2021,8,70,"3,989","1,046",443,671,362,412,512,253,,290
2021,8,80,"2,664",635,355,407,259,310,350,196,,152
2021,8,90,340,79,48,53,39,30,40,23,,28
2021,8,100,14,6,2,1,0,1,4,0,,0
2021,9,총,"22,829","8,083","2,247","3,725","2,000","1,955","2,352","1,162",,"1,305"
2021,9,0,618,386,34,86,36,15,34,14,,13
2021,9,10,920,568,41,125,43,35,67,23,,18
2021,9,20,"1,388",694,88,228,121,95,88,32,,42
2021,9,30,"1,212",591,100,175,93,71,95,43,,44
2021,9,40,"2,018","1,046",130,286,126,121,164,65,,80
2021,9,50,"4,124","1,486",435,681,376,345,375,190,,236
2021,9,60,"5,535","1,550",567,"1,010",543,524,618,322,,401
2021,9,70,"3,987","1,040",446,674,362,410,510,253,,292
2021,9,80,"2,670",638,355,404,261,309,356,197,,150
2021,9,90,342,78,48,55,39,29,41,23,,29
2021,9,100,15,6,3,1,0,1,4,0,,0
2021,10,총,"22,894","8,118","2,251","3,740","2,006","1,954","2,353","1,169",,"1,303"
2021,10,0,616,386,34,86,34,15,33,15,,13
2021,10,10,915,569,40,123,41,34,67,23,,18
2021,10,20,"1,393",692,91,233,118,95,88,35,,41
2021,10,30,"1,218",598,99,176,91,71,94,43,,46
2021,10,40,"2,018","1,052",128,283,130,120,161,64,,80
2021,10,50,"4,132","1,491",430,686,382,341,377,190,,235
2021,10,60,"5,563","1,557",572,"1,016",547,527,619,324,,401
2021,10,70,"4,001","1,045",451,678,362,410,511,255,,289
2021,10,80,"2,679",643,356,402,262,310,358,196,,152
2021,10,90,344,79,47,57,39,29,41,24,,28
2021,10,100,15,6,3,0,0,2,4,0,,0
2021,11,총,"22,899","8,132","2,243","3,743","2,006","1,944","2,359","1,174",,"1,298"
2021,11,0,603,381,31,86,34,14,31,15,,11
2021,11,10,917,575,41,117,43,32,68,23,,18
2021,11,20,"1,395",694,88,234,118,94,91,36,,40
2021,11,30,"1,205",598,101,174,86,66,91,45,,44
2021,11,40,"2,014","1,046",130,283,127,121,165,64,,78
2021,11,50,"4,130","1,499",425,686,380,340,375,189,,236
2021,11,60,"5,587","1,563",572,"1,021",554,527,624,324,,402
2021,11,70,"4,002","1,042",451,680,363,409,512,258,,287
2021,11,80,"2,688",650,354,407,263,309,355,196,,154
2021,11,90,343,78,47,55,38,30,43,24,,28
2021,11,100,15,6,3,0,0,2,4,0,,0
2021,12,총,"22,945","8,161","2,253","3,753","2,011","1,933","2,356","1,182",,"1,296"
2021,12,0,605,381,30,84,40,14,30,16,,10
2021,12,10,919,581,41,115,44,30,67,23,,18
2021,12,20,"1,379",689,89,234,111,90,92,36,,38
2021,12,30,"1,206",586,103,173,92,69,95,47,,41
2021,12,40,"2,006","1,049",133,283,125,116,159,62,,79
2021,12,50,"4,154","1,517",422,689,383,335,378,197,,233
2021,12,60,"5,607","1,567",575,"1,030",548,528,627,326,,406
2021,12,70,"3,993","1,047",453,673,362,406,507,255,,290
2021,12,80,"2,710",656,357,414,265,314,355,196,,153
2021,12,90,351,81,47,58,41,29,43,24,,28
2021,12,100,15,7,3,0,0,2,3,0,,0
