년도,월,나이,화천군,화천읍,간동면,하남면,상서면,사내면
2021,8,70,"1,007",297,176,144,154,236
2021,8,80,510,150,81,77,92,110
2021,8,90,54,12,14,6,8,14
2021,8,100,4,1,1,1,0,1
2021,9,총,"13,193","4,363","1,441","1,473","2,504","3,412"
2021,9,0,894,355,28,68,128,315
2021,9,10,861,383,66,125,73,214
2021,9,20,"2,536",704,192,141,870,629
2021,9,30,"1,647",550,77,120,362,538
2021,9,40,"1,431",586,111,196,184,354
2021,9,50,"2,032",683,331,289,271,458
2021,9,60,"2,216",636,367,307,362,544
2021,9,70,"1,007",301,171,142,156,237
2021,9,80,512,152,83,78,91,108
2021,9,90,53,12,14,6,7,14
2021,9,100,4,1,1,1,0,1
2021,10,총,"13,158","4,358","1,437","1,460","2,498","3,405"
2021,10,0,887,361,29,63,122,312
2021,10,10,858,387,66,116,72,217
2021,10,20,"2,515",697,189,142,866,621
2021,10,30,"1,637",541,76,119,365,536
2021,10,40,"1,425",581,107,188,188,361
2021,10,50,"2,029",687,327,290,269,456
2021,10,60,"2,229",638,371,314,364,542
2021,10,70,994,299,170,142,152,231
2021,10,80,525,153,87,79,92,114
2021,10,90,55,13,14,6,8,14
2021,10,100,4,1,1,1,0,1
2021,11,총,"13,154","4,369","1,451","1,462","2,476","3,396"
2021,11,0,888,367,28,62,118,313
2021,11,10,854,389,65,115,72,213
2021,11,20,"2,485",697,184,140,847,617
2021,11,30,"1,648",548,80,118,364,538
2021,11,40,"1,416",576,109,190,186,355
2021,11,50,"2,043",688,331,292,269,463
2021,11,60,"2,244",637,384,316,368,539
2021,11,70,991,300,166,142,152,231
2021,11,80,525,153,88,80,92,112
2021,11,90,56,13,15,6,8,14
2021,11,100,4,1,1,1,0,1
2021,12,총,"13,138","4,354","1,440","1,467","2,473","3,404"
2021,12,0,886,364,27,61,121,313
2021,12,10,863,396,65,118,69,215
2021,12,20,"2,469",691,178,139,849,612
2021,12,30,"1,643",542,78,115,360,548
2021,12,40,"1,410",570,111,190,184,355
2021,12,50,"2,049",687,331,293,275,463
2021,12,60,"2,239",634,382,320,367,536
2021,12,70,996,303,167,142,151,233
2021,12,80,523,152,86,82,89,114
2021,12,90,56,14,14,6,8,14
2021,12,100,4,1,1,1,0,1
