년도,월,나이,울진군,울진읍,평해읍,북면,북면하당출장소,근남면,기성면,온정면,죽변면,후포면,금강송면,매화면
2020,5,90,598,116,60,40,14,57,76,37,50,71,18,59
2020,5,100,18,2,2,4,0,1,2,0,3,1,2,1
2020,6,총,"48,843","14,072","2,912","6,657",708,"2,747","2,591","1,755","6,555","7,515","1,279","2,052"
2020,6,0,"2,962","1,122",70,775,6,120,59,46,321,368,23,52
2020,6,10,"3,860","1,686",272,462,27,127,99,64,418,569,42,94
2020,6,20,"4,510","1,538",188,747,47,204,184,114,709,643,45,91
2020,6,30,"4,401","1,442",161,"1,144",26,171,123,66,601,537,44,86
2020,6,40,"6,332","2,376",252,936,63,293,161,151,860,948,120,172
2020,6,50,"8,694","2,389",472,"1,044",149,508,463,276,"1,302","1,441",297,353
2020,6,60,"7,952","1,667",542,754,142,530,565,371,"1,133","1,529",298,421
2020,6,70,"5,734","1,088",524,459,130,402,458,349,734,982,228,380
2020,6,80,"3,771",644,367,292,104,334,399,280,423,426,161,341
2020,6,90,609,118,62,40,14,57,78,38,51,71,19,61
2020,6,100,18,2,2,4,0,1,2,0,3,1,2,1
2020,7,총,"48,789","14,033","2,904","6,652",708,"2,751","2,583","1,754","6,537","7,532","1,280","2,055"
2020,7,0,"2,961","1,113",69,783,6,124,58,47,320,368,23,50
2020,7,10,"3,838","1,677",270,454,28,124,100,63,415,570,43,94
2020,7,20,"4,497","1,534",186,738,46,207,181,114,706,647,44,94
2020,7,30,"4,378","1,426",160,"1,142",26,168,123,62,596,544,45,86
2020,7,40,"6,323","2,365",250,940,61,300,160,148,859,947,120,173
2020,7,50,"8,682","2,399",473,"1,037",152,501,463,277,"1,291","1,437",295,357
2020,7,60,"7,970","1,671",536,763,142,531,565,370,"1,137","1,532",301,422
2020,7,70,"5,741","1,087",527,460,129,403,458,354,731,985,228,379
2020,7,80,"3,770",642,367,291,104,335,396,278,428,430,161,338
2020,7,90,612,117,64,40,14,57,78,41,51,71,18,61
2020,7,100,17,2,2,4,0,1,1,0,3,1,2,1
2020,8,총,"48,776","14,033","2,896","6,665",708,"2,754","2,582","1,755","6,522","7,532","1,283","2,046"
2020,8,0,"2,947","1,107",70,784,6,125,57,46,316,363,23,50
2020,8,10,"3,818","1,670",266,456,28,125,98,65,411,564,43,92
2020,8,20,"4,495","1,529",182,742,47,204,186,114,704,649,45,93
2020,8,30,"4,358","1,430",159,"1,139",26,169,119,63,579,544,44,86
2020,8,40,"6,315","2,351",251,944,61,301,162,148,861,945,121,170
2020,8,50,"8,679","2,414",464,"1,035",151,495,464,274,"1,289","1,447",291,355
2020,8,60,"8,019","1,678",540,771,142,541,566,375,"1,150","1,529",306,421
2020,8,70,"5,736","1,090",526,459,128,403,458,352,728,985,229,378
2020,8,80,"3,774",646,371,290,105,332,394,277,429,432,159,339
2020,8,90,618,116,65,41,14,58,77,41,52,73,20,61
2020,8,100,17,2,2,4,0,1,1,0,3,1,2,1
2020,9,총,"48,806","14,056","2,908","6,661",710,"2,754","2,582","1,760","6,516","7,541","1,280","2,038"
2020,9,0,"2,961","1,108",68,793,6,127,57,47,316,368,23,48
2020,9,10,"3,792","1,658",273,452,28,119,96,61,404,567,42,92
2020,9,20,"4,514","1,543",187,742,49,206,193,115,698,644,44,93
2020,9,30,"4,345","1,428",155,"1,132",26,172,118,61,582,544,43,84
2020,9,40,"6,319","2,356",251,943,63,296,164,154,853,947,124,168
2020,9,50,"8,643","2,416",464,"1,028",145,489,460,274,"1,285","1,443",288,351
2020,9,60,"8,071","1,684",545,772,144,553,568,378,"1,167","1,531",308,421
2020,9,70,"5,738","1,097",524,462,129,403,454,348,726,988,226,381
2020,9,80,"3,772",648,371,292,106,327,391,279,425,434,160,339
2020,9,90,634,116,68,41,14,61,80,43,57,74,20,60
2020,9,100,17,2,2,4,0,1,1,0,3,1,2,1
2020,10,총,"48,776","14,053","2,893","6,674",711,"2,757","2,567","1,761","6,501","7,536","1,284","2,039"
2020,10,0,"2,946","1,099",64,794,6,125,53,46,322,368,23,46
2020,10,10,"3,792","1,650",272,455,28,120,95,62,401,571,42,96
2020,10,20,"4,518","1,564",182,746,49,204,190,116,696,635,43,93
2020,10,30,"4,314","1,408",154,"1,132",26,170,117,63,572,546,44,82
2020,10,40,"6,306","2,360",242,946,64,294,160,152,849,947,122,170
2020,10,50,"8,627","2,415",464,"1,021",145,489,453,277,"1,283","1,432",294,354
2020,10,60,"8,099","1,693",542,781,146,557,570,375,"1,176","1,532",307,420
2020,10,70,"5,718","1,093",525,459,129,404,457,346,718,988,226,373
2020,10,80,"3,799",652,378,293,103,332,390,281,424,441,162,343
2020,10,90,640,117,68,43,15,61,81,43,57,75,19,61
2020,10,100,17,2,2,4,0,1,1,0,3,1,2,1
2020,11,총,"48,743","14,036","2,888","6,691",709,"2,763","2,564","1,754","6,497","7,541","1,272","2,028"
2020,11,0,"2,934","1,099",62,791,6,121,50,46,322,368,23,46
2020,11,10,"3,781","1,643",269,461,28,117,97,62,397,572,42,93
2020,11,20,"4,498","1,561",178,742,49,211,191,115,684,635,37,95
2020,11,30,"4,297","1,405",160,"1,125",25,166,115,64,579,536,42,80
2020,11,40,"6,280","2,346",240,952,63,288,163,147,839,952,122,168
2020,11,50,"8,637","2,421",462,"1,030",142,500,447,283,"1,282","1,430",291,349
2020,11,60,"8,161","1,700",547,793,148,562,573,374,"1,195","1,540",309,420
2020,11,70,"5,703","1,090",525,454,130,404,454,343,715,992,223,373
2020,11,80,"3,799",653,375,295,104,332,392,277,423,443,163,342
2020,11,90,636,116,68,44,14,61,81,43,58,72,18,61
2020,11,100,17,2,2,4,0,1,1,0,3,1,2,1
2020,12,총,"48,716","14,051","2,869","6,691",708,"2,768","2,548","1,753","6,490","7,546","1,270","2,022"
2020,12,0,"2,933","1,112",63,787,6,114,49,47,316,369,23,47
2020,12,10,"3,753","1,634",259,461,29,119,93,61,395,574,42,86
2020,12,20,"4,485","1,563",177,737,48,213,191,114,681,630,36,95
2020,12,30,"4,290","1,417",156,"1,111",25,172,115,62,567,544,41,80
2020,12,40,"6,263","2,335",237,970,62,281,162,146,841,947,116,166
2020,12,50,"8,642","2,425",467,"1,034",142,506,438,285,"1,284","1,421",296,344
2020,12,60,"8,203","1,709",544,793,148,567,576,378,"1,208","1,546",306,428
2020,12,70,"5,679","1,085",519,452,130,397,453,340,712,996,223,372
2020,12,80,"3,812",655,377,299,104,338,391,277,420,444,167,340
2020,12,90,640,114,68,43,14,61,79,43,63,74,18,63
2020,12,100,16,2,2,4,0,0,1,0,3,1,2,1
2021,1,총,"48,675","14,052","2,836","6,697",708,"2,766","2,538","1,756","6,483","7,546","1,271","2,022"
2021,1,0,"2,906","1,099",62,789,6,110,48,47,309,366,24,46
2021,1,10,"3,740","1,628",241,464,27,120,95,62,399,575,42,87
2021,1,20,"4,476","1,573",175,727,49,216,191,113,677,628,36,91
2021,1,30,"4,293","1,401",153,"1,125",26,174,119,61,566,544,41,83
2021,1,40,"6,231","2,333",230,963,61,282,155,150,833,948,113,163
2021,1,50,"8,602","2,425",468,"1,023",143,503,430,280,"1,280","1,405",298,347
2021,1,60,"8,255","1,731",538,801,149,569,573,382,"1,217","1,557",305,433
2021,1,70,"5,686","1,083",523,461,128,389,457,336,713,"1,001",225,370
2021,1,80,"3,825",665,379,297,105,341,386,282,422,444,168,336
2021,1,90,645,111,66,43,14,62,83,43,64,77,17,65
2021,1,100,16,3,1,4,0,0,1,0,3,1,2,1
2021,2,총,"48,460","14,013","2,833","6,635",708,"2,758","2,530","1,745","6,448","7,507","1,269","2,014"
2021,2,0,"2,859","1,085",64,774,6,105,48,47,303,359,23,45
2021,2,10,"3,693","1,621",231,461,26,118,92,60,395,566,41,82
2021,2,20,"4,427","1,571",175,712,50,212,189,110,668,613,35,92
2021,2,30,"4,244","1,388",153,"1,121",25,170,116,60,555,537,40,79
2021,2,40,"6,173","2,316",230,949,62,282,156,146,821,942,109,160
2021,2,50,"8,566","2,424",464,"1,009",143,497,426,273,"1,271","1,407",302,350
2021,2,60,"8,325","1,741",545,809,150,578,576,393,"1,233","1,558",307,435
2021,2,70,"5,655","1,091",521,460,126,389,451,328,706,994,224,365
2021,2,80,"3,852",662,382,294,106,345,392,283,429,453,168,338
2021,2,90,650,111,67,43,14,61,83,45,64,77,18,67
2021,2,100,16,3,1,3,0,1,1,0,3,1,2,1
2021,3,총,"48,361","13,983","2,830","6,612",704,"2,753","2,533","1,735","6,441","7,482","1,268","2,020"
2021,3,0,"2,830","1,072",61,761,6,107,52,47,300,356,22,46
2021,3,10,"3,681","1,608",230,460,26,114,92,61,395,570,42,83
2021,3,20,"4,381","1,566",174,718,48,204,184,103,659,599,33,93
2021,3,30,"4,204","1,375",157,"1,091",25,170,121,59,552,532,41,81
2021,3,40,"6,137","2,304",221,947,63,285,157,147,818,933,107,155
2021,3,50,"8,526","2,411",468,"1,019",140,491,424,262,"1,272","1,388",301,350
2021,3,60,"8,426","1,771",549,817,151,587,582,400,"1,244","1,574",308,443
2021,3,70,"5,640","1,091",520,457,126,384,446,328,706,993,224,365
2021,3,80,"3,859",666,381,297,105,348,390,284,427,457,168,336
2021,3,90,661,116,68,42,13,62,85,44,65,79,20,67
2021,3,100,16,3,1,3,1,1,0,0,3,1,2,1
2021,4,총,"48,327","13,996","2,809","6,582",699,"2,737","2,533","1,733","6,438","7,507","1,276","2,017"
2021,4,0,"2,824","1,075",58,748,6,105,53,48,299,363,22,47
2021,4,10,"3,664","1,606",221,465,23,114,89,59,396,566,42,83
2021,4,20,"4,383","1,580",170,715,47,203,181,103,650,607,33,94
2021,4,30,"4,181","1,370",156,"1,056",27,165,125,59,561,542,40,80
2021,4,40,"6,110","2,293",218,955,61,282,157,143,810,929,107,155
2021,4,50,"8,510","2,412",464,"1,028",140,486,420,262,"1,266","1,383",301,348
2021,4,60,"8,485","1,784",551,815,151,589,589,405,"1,255","1,584",316,446
2021,4,70,"5,606","1,084",517,456,126,378,440,327,704,990,223,361
2021,4,80,"3,879",673,385,298,102,349,395,281,429,461,170,336
2021,4,90,668,116,68,43,15,65,84,46,64,81,20,66
2021,4,100,17,3,1,3,1,1,0,0,4,1,2,1
2021,5,총,"48,313","13,983","2,784","6,619",700,"2,738","2,517","1,724","6,448","7,494","1,282","2,024"
2021,5,0,"2,816","1,068",56,752,6,102,54,49,294,366,22,47
2021,5,10,"3,650","1,606",219,466,23,116,89,59,393,555,42,82
2021,5,20,"4,377","1,576",167,716,45,201,178,102,654,608,35,95
2021,5,30,"4,166","1,357",151,"1,063",26,165,127,57,563,538,37,82
2021,5,40,"6,102","2,286",218,965,60,275,153,138,814,929,107,157
2021,5,50,"8,494","2,413",457,"1,031",142,490,409,264,"1,264","1,376",299,349
2021,5,60,"8,540","1,803",554,823,154,598,585,399,"1,268","1,589",320,447
2021,5,70,"5,573","1,080",506,459,125,369,438,329,699,988,225,355
2021,5,80,"3,906",675,389,299,103,356,399,282,432,458,172,341
2021,5,90,672,116,65,42,15,65,85,45,64,86,21,68
2021,5,100,17,3,2,3,1,1,0,0,3,1,2,1
2021,6,총,"48,206","13,939","2,787","6,661",698,"2,745","2,519","1,722","6,376","7,458","1,272","2,029"
2021,6,0,"2,802","1,058",56,759,6,99,56,49,292,360,21,46
2021,6,10,"3,649","1,609",219,474,23,118,89,59,386,548,42,82
2021,6,20,"4,398","1,587",167,724,45,204,173,100,656,612,34,96
2021,6,30,"4,130","1,343",152,"1,064",26,166,127,58,551,526,35,82
2021,6,40,"6,085","2,277",217,981,60,277,156,137,796,921,105,158
2021,6,50,"8,431","2,401",457,"1,035",140,487,410,261,"1,241","1,356",296,347
2021,6,60,"8,587","1,810",558,825,155,601,589,400,"1,270","1,605",323,451
2021,6,70,"5,555","1,070",506,456,126,372,438,329,690,987,224,357
2021,6,80,"3,880",667,386,299,101,354,395,281,432,453,172,340
2021,6,90,675,115,67,41,16,66,86,48,59,89,19,69
2021,6,100,14,2,2,3,0,1,0,0,3,1,1,1
2021,7,총,"48,175","13,921","2,781","6,666",699,"2,756","2,518","1,722","6,373","7,458","1,267","2,014"
2021,7,0,"2,788","1,048",56,760,6,99,57,48,293,353,22,46
2021,7,10,"3,621","1,602",215,469,23,118,88,60,380,547,39,80
2021,7,20,"4,400","1,587",167,732,45,197,173,96,656,613,36,98
2021,7,30,"4,119","1,334",151,"1,062",26,170,127,58,551,526,35,79
2021,7,40,"6,063","2,281",217,968,62,277,150,139,794,916,103,156
2021,7,50,"8,390","2,388",446,"1,044",138,495,407,260,"1,230","1,349",294,339
2021,7,60,"8,666","1,833",567,827,155,605,597,398,"1,280","1,626",323,455
2021,7,70,"5,539","1,066",502,455,124,376,436,331,691,982,223,353
2021,7,80,"3,891",666,390,303,104,354,395,283,434,452,171,339
2021,7,90,684,114,68,43,16,64,88,49,61,93,20,68
2021,7,100,14,2,2,3,0,1,0,0,3,1,1,1
2021,8,총,"48,125","13,907","2,773","6,670",691,"2,762","2,517","1,721","6,355","7,446","1,266","2,017"
2021,8,0,"2,797","1,047",57,762,6,105,55,47,293,353,22,50
2021,8,10,"3,599","1,594",208,467,22,117,91,63,377,546,35,79
2021,8,20,"4,354","1,566",166,734,42,192,166,93,650,611,36,98
2021,8,30,"4,116","1,340",154,"1,056",25,171,124,57,548,526,36,79
2021,8,40,"6,071","2,275",213,975,61,279,150,140,804,912,104,158
2021,8,50,"8,350","2,393",443,"1,044",138,488,408,264,"1,212","1,331",294,335
2021,8,60,"8,709","1,843",571,827,154,612,600,397,"1,282","1,636",326,461
2021,8,70,"5,551","1,072",501,457,124,379,438,331,691,982,222,354
2021,8,80,"3,877",662,387,305,103,354,394,279,434,457,169,333
2021,8,90,686,112,71,41,16,64,90,50,61,91,21,69
2021,8,100,15,3,2,2,0,1,1,0,3,1,1,1
2021,9,총,"47,969","13,864","2,756","6,652",688,"2,747","2,492","1,707","6,336","7,435","1,267","2,025"
2021,9,0,"2,777","1,040",56,756,6,106,50,46,293,353,22,49
2021,9,10,"3,578","1,585",204,463,22,114,93,62,374,544,34,83
2021,9,20,"4,269","1,549",156,729,42,180,156,90,638,596,37,96
2021,9,30,"4,095","1,336",154,"1,055",24,171,125,52,534,528,35,81
2021,9,40,"6,040","2,264",209,969,59,278,145,140,805,911,105,155
2021,9,50,"8,340","2,393",439,"1,042",137,492,404,262,"1,211","1,326",293,341
2021,9,60,"8,752","1,846",579,834,156,611,603,397,"1,291","1,643",328,464
2021,9,70,"5,553","1,079",500,459,123,377,435,332,689,987,219,353
2021,9,80,"3,871",661,386,301,104,354,393,277,438,456,172,329
2021,9,90,680,109,71,41,15,63,87,49,61,90,21,73
2021,9,100,14,2,2,3,0,1,1,0,2,1,1,1
2021,10,총,"47,941","13,873","2,748","6,653",685,"2,748","2,478","1,696","6,323","7,438","1,273","2,026"
2021,10,0,"2,762","1,031",53,751,6,106,50,44,296,356,21,48
2021,10,10,"3,566","1,591",202,461,20,114,93,60,365,541,36,83
2021,10,20,"4,276","1,545",159,724,43,181,155,91,646,601,37,94
2021,10,30,"4,087","1,341",156,"1,050",23,171,120,50,537,521,38,80
2021,10,40,"6,017","2,255",205,976,58,279,139,136,791,916,106,156
2021,10,50,"8,324","2,401",434,"1,048",136,491,404,262,"1,204","1,318",291,335
2021,10,60,"8,778","1,858",583,838,158,607,596,395,"1,295","1,645",332,471
2021,10,70,"5,556","1,074",497,460,121,379,439,333,690,991,218,354
2021,10,80,"3,875",665,383,300,105,357,394,276,438,456,172,329
2021,10,90,688,110,74,41,15,63,88,48,61,92,21,75
2021,10,100,12,2,2,4,0,0,0,1,0,1,1,1
2021,11,총,"47,928","13,881","2,740","6,668",685,"2,747","2,474","1,695","6,313","7,435","1,276","2,014"
2021,11,0,"2,760","1,026",51,754,5,109,50,44,300,351,21,49
2021,11,10,"3,552","1,587",199,459,20,114,94,62,361,541,36,79
2021,11,20,"4,275","1,557",162,718,43,180,154,89,641,600,37,94
2021,11,30,"4,081","1,331",152,"1,065",25,169,119,49,529,523,38,81
2021,11,40,"6,004","2,236",202,966,58,284,143,138,796,919,107,155
2021,11,50,"8,336","2,414",438,"1,057",133,492,401,261,"1,203","1,315",291,331
2021,11,60,"8,794","1,874",578,846,162,607,596,394,"1,296","1,642",334,465
2021,11,70,"5,539","1,068",499,458,121,375,435,335,687,990,219,352
2021,11,80,"3,882",672,383,301,103,354,393,272,439,461,172,332
2021,11,90,695,114,75,41,15,63,89,50,61,92,20,75
2021,11,100,10,2,1,3,0,0,0,1,0,1,1,1
2021,12,총,"47,858","13,878","2,721","6,681",679,"2,740","2,482","1,693","6,287","7,410","1,280","2,007"
2021,12,0,"2,725","1,023",48,757,5,107,48,42,288,342,21,44
2021,12,10,"3,559","1,603",194,459,20,112,96,65,359,538,35,78
2021,12,20,"4,253","1,536",164,720,42,182,159,89,634,595,39,93
2021,12,30,"4,076","1,335",147,"1,071",24,163,118,50,526,525,39,78
2021,12,40,"5,986","2,233",203,968,58,288,140,134,790,915,105,152
2021,12,50,"8,320","2,419",435,"1,050",132,485,401,263,"1,196","1,312",294,333
2021,12,60,"8,814","1,871",575,850,161,612,606,390,"1,307","1,636",337,469
2021,12,70,"5,534","1,066",495,459,120,376,434,339,687,992,217,349
2021,12,80,"3,883",675,383,303,104,351,395,266,436,462,173,335
2021,12,90,695,114,76,40,13,64,84,54,64,92,19,75
2021,12,100,13,3,1,4,0,0,1,1,0,1,1,1
