년도,월,나이,경상남도 창녕군,경상남도 창녕군 창녕읍,경상남도 창녕군 남지읍,경상남도 창녕군 고암면,경상남도 창녕군 성산면,경상남도 창녕군 대합면,경상남도 창녕군 이방면,경상남도 창녕군 유어면,경상남도 창녕군 대지면,경상남도 창녕군 계성면,경상남도 창녕군 영산면,경상남도 창녕군 장마면,경상남도 창녕군 도천면,경상남도 창녕군 길곡면,경상남도 창녕군 부곡면
2020,6,20,"2,148",804,409,50,40,98,55,39,81,71,208,33,105,39,116
2020,6,30,"2,395",912,599,45,41,100,63,36,87,57,183,46,77,28,121
2020,6,40,"3,166","1,141",761,51,63,151,64,57,116,90,291,58,138,53,132
2020,6,50,"5,257","1,411","1,056",161,148,285,211,123,183,201,559,157,246,161,355
2020,6,60,"5,896","1,343","1,073",175,194,395,281,214,241,253,567,197,311,191,461
2020,6,70,"4,633",893,753,237,150,396,238,226,218,233,410,223,222,123,311
2020,6,80,"3,465",631,508,198,163,295,216,154,153,192,273,179,162,113,228
2020,6,90,529,88,73,39,18,47,21,30,27,34,38,25,36,22,31
2020,6,100,24,4,6,0,0,1,3,0,4,2,0,0,2,0,2
2020,7,총,"31,005","8,658","6,126","1,029",841,"1,870","1,324",927,"1,233","1,198","2,790",960,"1,432",771,"1,846"
2020,7,0,"1,640",689,472,39,12,54,32,18,59,28,110,18,48,17,44
2020,7,10,"1,930",760,434,45,14,62,143,35,71,37,151,21,80,21,56
2020,7,20,"2,130",799,405,49,38,95,54,37,78,74,209,32,106,40,114
2020,7,30,"2,363",904,592,43,39,102,62,36,87,54,179,45,78,28,114
2020,7,40,"3,167","1,143",764,49,64,150,66,59,114,90,289,58,136,51,134
2020,7,50,"5,222","1,400","1,049",157,146,280,209,119,185,205,556,156,247,162,351
2020,7,60,"5,902","1,348","1,069",176,196,390,280,213,237,248,578,198,312,193,464
2020,7,70,"4,628",896,754,234,152,395,239,223,211,237,408,226,224,121,308
2020,7,80,"3,462",624,507,197,162,292,215,157,160,189,270,181,164,116,228
2020,7,90,534,90,74,40,18,49,20,30,27,34,40,25,34,22,31
2020,7,100,27,5,6,0,0,1,4,0,4,2,0,0,3,0,2
2020,8,총,"30,985","8,635","6,133","1,025",848,"1,882","1,325",921,"1,230","1,196","2,786",952,"1,427",773,"1,852"
2020,8,0,"1,624",679,473,38,13,54,32,16,59,28,107,17,47,16,45
2020,8,10,"1,929",758,440,44,14,63,141,35,71,36,150,21,80,21,55
2020,8,20,"2,110",786,405,48,36,93,55,35,77,72,211,29,105,43,115
2020,8,30,"2,361",908,586,44,43,105,62,36,90,54,171,44,80,28,110
2020,8,40,"3,169","1,136",769,48,62,152,67,56,114,91,292,58,135,50,139
2020,8,50,"5,197","1,393","1,041",160,147,287,207,122,180,201,553,152,239,161,354
2020,8,60,"5,929","1,356","1,078",176,200,388,281,210,240,250,576,201,314,193,466
2020,8,70,"4,631",896,756,230,152,394,238,227,213,239,412,222,222,123,307
2020,8,80,"3,473",625,504,197,163,295,218,156,156,189,275,182,168,116,229
2020,8,90,536,93,75,40,18,50,20,28,26,34,39,26,34,22,31
2020,8,100,26,5,6,0,0,1,4,0,4,2,0,0,3,0,1
2020,9,총,"30,945","8,600","6,130","1,037",842,"1,891","1,324",918,"1,239","1,194","2,773",950,"1,421",774,"1,852"
2020,9,0,"1,616",670,471,39,14,55,33,16,60,28,105,17,48,16,44
2020,9,10,"1,907",745,441,45,14,65,138,33,69,35,150,20,78,20,54
2020,9,20,"2,093",779,399,49,34,91,58,35,80,70,207,30,104,42,115
2020,9,30,"2,345",907,579,44,43,108,61,36,89,52,169,45,76,27,109
2020,9,40,"3,169","1,130",779,51,56,151,68,55,113,92,294,56,136,49,139
2020,9,50,"5,177","1,392","1,033",160,145,290,202,119,186,201,543,154,234,163,355
2020,9,60,"5,968","1,357","1,081",183,202,393,285,213,242,254,580,201,318,193,466
2020,9,70,"4,632",899,762,228,152,394,237,225,214,239,410,217,222,126,307
2020,9,80,"3,474",621,505,197,164,292,219,158,155,186,276,186,170,116,229
2020,9,90,537,95,74,40,18,51,19,28,27,35,39,24,32,22,33
2020,9,100,27,5,6,1,0,1,4,0,4,2,0,0,3,0,1
2020,10,총,"30,987","8,628","6,133","1,037",844,"1,893","1,327",920,"1,247","1,196","2,767",950,"1,421",776,"1,848"
2020,10,0,"1,594",664,472,37,15,51,30,16,60,27,102,16,46,16,42
2020,10,10,"1,906",747,441,47,12,67,134,33,68,35,150,21,79,20,52
2020,10,20,"2,105",785,405,47,38,91,59,36,79,70,205,28,106,41,115
2020,10,30,"2,342",905,580,43,41,108,63,38,86,53,172,47,76,26,104
2020,10,40,"3,177","1,141",776,52,53,150,68,54,120,95,290,57,132,49,140
2020,10,50,"5,183","1,399","1,026",158,145,287,205,119,188,203,542,152,236,167,356
2020,10,60,"5,999","1,367","1,087",185,205,397,283,214,245,254,579,206,320,190,467
2020,10,70,"4,634",895,764,228,155,396,238,224,213,237,412,214,223,129,306
2020,10,80,"3,482",620,504,198,162,293,224,158,158,187,276,186,168,116,232
2020,10,90,538,100,72,41,18,52,19,28,26,33,39,23,32,22,33
2020,10,100,27,5,6,1,0,1,4,0,4,2,0,0,3,0,1
2020,11,총,"30,905","8,599","6,121","1,036",833,"1,884","1,336",911,"1,243","1,198","2,748",953,"1,423",779,"1,841"
2020,11,0,"1,561",646,463,37,12,50,31,15,61,25,102,17,46,15,41
2020,11,10,"1,903",743,447,46,11,62,136,33,68,35,150,21,78,22,51
2020,11,20,"2,101",791,404,48,39,90,57,32,81,74,203,28,108,35,111
2020,11,30,"2,321",901,567,44,38,105,65,36,85,53,171,44,78,28,106
2020,11,40,"3,157","1,125",779,51,50,153,71,53,117,94,281,61,134,50,138
2020,11,50,"5,147","1,400","1,020",154,144,281,205,116,185,204,532,153,235,167,351
2020,11,60,"6,048","1,382","1,095",189,208,402,285,217,245,254,585,206,317,194,469
2020,11,70,"4,610",886,761,227,155,395,237,223,214,237,404,215,219,128,309
2020,11,80,"3,489",623,502,198,158,295,225,158,158,187,281,184,172,117,231
2020,11,90,541,97,77,41,18,50,20,28,25,33,39,24,33,23,33
2020,11,100,27,5,6,1,0,1,4,0,4,2,0,0,3,0,1
2020,12,총,"30,849","8,579","6,123","1,029",837,"1,891","1,334",910,"1,238","1,189","2,751",956,"1,406",768,"1,838"
2020,12,0,"1,543",638,465,35,15,50,33,12,61,25,101,16,41,13,38
2020,12,10,"1,898",739,447,47,9,62,131,30,67,35,156,22,78,21,54
2020,12,20,"2,092",789,404,46,43,93,55,34,81,73,196,28,106,33,111
2020,12,30,"2,317",893,564,45,44,108,64,37,84,52,174,45,74,27,106
2020,12,40,"3,146","1,110",789,50,45,155,71,55,116,92,287,60,132,49,135
2020,12,50,"5,110","1,394","1,002",152,147,281,205,114,179,210,529,154,232,165,346
2020,12,60,"6,081","1,406","1,106",188,204,400,287,218,250,250,582,204,319,193,474
2020,12,70,"4,587",884,759,228,152,394,229,225,212,232,403,214,217,128,310
2020,12,80,"3,496",623,502,196,160,297,236,157,157,185,281,188,171,115,228
2020,12,90,552,98,79,41,18,50,19,28,27,33,42,25,33,24,35
2020,12,100,27,5,6,1,0,1,4,0,4,2,0,0,3,0,1
2021,1,총,"30,837","8,555","6,091","1,026",840,"1,891","1,392",911,"1,236","1,195","2,754",955,"1,397",769,"1,825"
2021,1,0,"1,531",635,456,33,17,47,33,12,64,25,102,19,39,12,37
2021,1,10,"1,964",735,448,52,9,67,188,30,67,36,160,22,74,22,54
2021,1,20,"2,072",783,399,44,44,92,53,32,79,72,196,30,109,32,107
2021,1,30,"2,298",885,558,42,45,109,64,36,83,52,174,47,70,29,104
2021,1,40,"3,135","1,100",786,51,43,157,72,60,116,95,285,58,128,47,137
2021,1,50,"5,071","1,393",992,150,149,278,203,112,178,208,525,148,232,164,339
2021,1,60,"6,111","1,416","1,114",188,202,401,287,219,250,251,581,209,320,196,477
2021,1,70,"4,570",879,756,229,150,391,231,224,213,231,407,213,213,126,307
2021,1,80,"3,503",622,498,196,162,301,235,159,156,188,282,185,175,117,227
2021,1,90,555,102,78,40,19,47,22,27,26,35,42,24,34,24,35
2021,1,100,27,5,6,1,0,1,4,0,4,2,0,0,3,0,1
2021,2,총,"30,813","8,568","6,057","1,028",849,"1,899","1,382",906,"1,231","1,191","2,743",951,"1,399",771,"1,838"
2021,2,0,"1,529",634,451,33,22,48,34,12,60,25,101,18,40,13,38
2021,2,10,"1,931",746,434,49,9,64,180,30,60,36,155,23,71,21,53
2021,2,20,"2,058",771,393,44,43,92,52,30,84,71,197,28,111,31,111
2021,2,30,"2,287",878,550,44,49,114,60,37,82,51,170,48,69,29,106
2021,2,40,"3,136","1,110",784,51,42,161,71,57,112,95,284,56,129,48,136
2021,2,50,"5,059","1,389",981,153,150,278,204,112,180,206,523,150,231,162,340
2021,2,60,"6,153","1,427","1,125",189,204,404,288,216,248,254,583,212,322,198,483
2021,2,70,"4,529",874,752,226,150,385,226,224,216,227,401,207,210,125,306
2021,2,80,"3,547",633,501,197,161,307,241,161,157,189,288,188,176,120,228
2021,2,90,557,101,80,41,19,45,22,27,28,35,41,21,37,24,36
2021,2,100,27,5,6,1,0,1,4,0,4,2,0,0,3,0,1
2021,3,총,"30,673","8,531","6,032","1,027",843,"1,895","1,370",903,"1,223","1,183","2,732",947,"1,403",761,"1,823"
2021,3,0,"1,506",627,445,32,20,49,31,12,59,25,100,16,40,12,38
2021,3,10,"1,906",744,426,47,9,60,177,29,60,35,155,22,72,19,51
2021,3,20,"2,020",746,392,48,43,94,56,31,81,68,190,30,109,29,103
2021,3,30,"2,243",875,532,46,42,113,56,35,84,49,169,45,69,27,101
2021,3,40,"3,128","1,104",781,50,43,165,71,57,112,92,290,54,129,46,134
2021,3,50,"5,025","1,382",986,153,147,275,203,107,178,207,510,153,228,160,336
2021,3,60,"6,181","1,430","1,131",186,206,406,291,219,242,256,592,212,325,200,485
2021,3,70,"4,532",888,748,226,149,381,222,225,219,230,394,207,212,126,305
2021,3,80,"3,552",630,507,196,162,308,238,161,157,187,288,188,179,118,233
2021,3,90,566,103,84,42,22,44,23,27,26,32,44,20,38,24,37
2021,3,100,14,2,0,1,0,0,2,0,5,2,0,0,2,0,0
2021,4,총,"30,602","8,518","6,014","1,016",846,"1,886","1,360",904,"1,226","1,182","2,719",946,"1,403",762,"1,820"
2021,4,0,"1,497",628,437,31,23,50,30,12,58,26,95,15,41,13,38
2021,4,10,"1,899",740,431,48,8,59,174,27,61,35,153,22,69,19,53
2021,4,20,"2,006",739,388,47,43,96,55,33,81,65,192,32,108,28,99
2021,4,30,"2,221",872,526,44,38,108,56,34,82,49,171,45,69,27,100
2021,4,40,"3,105","1,100",777,49,44,163,69,57,111,87,286,52,130,46,134
2021,4,50,"4,993","1,376",973,148,149,275,196,110,183,211,502,154,225,158,333
2021,4,60,"6,202","1,436","1,137",186,208,402,295,215,240,256,595,213,327,203,489
2021,4,70,"4,539",890,755,225,148,381,220,229,221,231,394,202,214,126,303
2021,4,80,"3,556",633,506,196,163,306,239,160,156,187,286,190,181,118,235
2021,4,90,570,102,84,41,22,46,24,27,28,33,45,21,37,24,36
2021,4,100,14,2,0,1,0,0,2,0,5,2,0,0,2,0,0
2021,5,총,"30,609","8,514","6,013","1,016",852,"1,891","1,357",904,"1,230","1,185","2,708",944,"1,413",760,"1,822"
2021,5,0,"1,488",613,437,34,22,49,31,12,60,26,94,15,44,13,38
2021,5,10,"1,914",758,427,47,11,60,171,27,62,37,154,21,66,19,54
2021,5,20,"1,986",730,385,48,43,97,54,33,81,66,187,32,108,25,97
2021,5,30,"2,214",867,520,47,40,109,55,33,84,47,168,44,73,29,98
2021,5,40,"3,102","1,092",779,50,44,161,71,56,111,90,286,49,131,47,135
2021,5,50,"4,976","1,376",972,146,152,278,194,111,179,208,497,153,225,157,328
2021,5,60,"6,246","1,444","1,146",185,205,405,298,214,242,258,600,219,331,200,499
2021,5,70,"4,533",894,751,222,150,383,220,227,221,230,393,200,215,127,300
2021,5,80,"3,565",636,510,194,162,305,240,163,157,189,284,188,180,119,238
2021,5,90,571,102,86,42,23,44,21,28,28,32,45,23,38,24,35
2021,5,100,14,2,0,1,0,0,2,0,5,2,0,0,2,0,0
2021,6,총,"30,507","8,516","5,998","1,001",846,"1,886","1,340",912,"1,221","1,181","2,698",947,"1,402",762,"1,797"
2021,6,0,"1,472",610,431,34,22,50,31,12,56,26,93,15,43,13,36
2021,6,10,"1,916",757,430,46,11,61,171,26,64,37,154,21,65,20,53
2021,6,20,"1,986",741,388,47,43,96,53,37,76,62,188,32,104,23,96
2021,6,30,"2,208",872,517,49,40,107,55,32,87,43,169,43,70,29,95
2021,6,40,"3,086","1,093",767,50,43,157,68,59,108,93,288,51,127,47,135
2021,6,50,"4,937","1,375",959,142,146,279,189,112,178,209,490,148,227,157,326
2021,6,60,"6,253","1,437","1,160",183,208,406,294,216,246,259,590,225,331,200,498
2021,6,70,"4,521",896,748,215,150,384,219,227,216,228,398,201,215,130,294
2021,6,80,"3,555",634,514,193,162,303,237,163,159,189,282,188,182,119,230
2021,6,90,559,99,84,41,21,43,21,28,26,33,46,23,36,24,34
2021,6,100,14,2,0,1,0,0,2,0,5,2,0,0,2,0,0
2021,7,총,"30,436","8,474","5,993",982,836,"1,889","1,338",908,"1,217","1,185","2,698",946,"1,401",763,"1,806"
2021,7,0,"1,453",595,426,33,21,50,30,12,56,27,93,15,42,14,39
2021,7,10,"1,919",756,434,43,11,62,169,27,64,40,153,22,65,20,53
2021,7,20,"1,957",730,389,46,40,93,50,37,74,61,185,32,102,24,94
2021,7,30,"2,201",860,521,49,38,112,55,32,87,45,167,43,68,28,96
2021,7,40,"3,069","1,090",757,49,43,156,67,57,109,93,284,52,126,48,138
2021,7,50,"4,932","1,373",961,142,145,280,188,111,178,204,491,145,231,155,328
2021,7,60,"6,264","1,446","1,163",179,204,408,296,215,246,260,594,223,328,202,500
2021,7,70,"4,513",886,750,213,150,383,221,227,214,231,401,202,215,125,295
2021,7,80,"3,551",636,507,186,162,302,240,163,157,189,284,187,186,123,229
2021,7,90,563,100,85,41,22,43,21,26,27,33,46,25,36,24,34
2021,7,100,14,2,0,1,0,0,1,1,5,2,0,0,2,0,0
2021,8,총,"30,345","8,446","5,986",981,835,"1,882","1,324",906,"1,209","1,173","2,697",941,"1,401",758,"1,806"
2021,8,0,"1,433",585,420,32,21,50,29,12,57,27,90,16,43,13,38
2021,8,10,"1,903",745,436,43,10,63,165,26,64,39,152,21,65,21,53
2021,8,20,"1,951",732,390,46,42,92,48,39,70,59,184,34,102,24,89
2021,8,30,"2,173",847,513,52,36,110,53,33,86,45,169,42,66,28,93
2021,8,40,"3,056","1,085",757,50,42,156,67,55,108,91,279,52,128,48,138
2021,8,50,"4,902","1,371",965,140,145,271,187,111,177,199,495,143,227,149,322
2021,8,60,"6,300","1,460","1,166",180,201,411,294,217,246,262,595,220,333,206,509
2021,8,70,"4,496",886,749,210,150,379,221,222,213,230,402,203,215,124,292
2021,8,80,"3,555",631,505,187,165,307,239,165,158,185,286,186,185,121,235
2021,8,90,561,102,85,40,23,43,20,25,25,34,45,24,35,24,36
2021,8,100,15,2,0,1,0,0,1,1,5,2,0,0,2,0,1
2021,9,총,"30,174","8,412","5,956",972,828,"1,866","1,317",897,"1,205","1,165","2,688",931,"1,388",750,"1,799"
2021,9,0,"1,422",580,418,33,20,46,29,12,57,27,91,15,44,11,39
2021,9,10,"1,879",740,430,40,9,61,164,26,63,37,150,19,65,22,53
2021,9,20,"1,888",719,378,40,37,91,45,36,65,56,180,34,98,22,87
2021,9,30,"2,168",848,517,52,37,110,56,29,85,46,167,41,62,26,92
2021,9,40,"3,024","1,081",746,49,42,150,67,55,107,88,276,51,125,47,140
2021,9,50,"4,882","1,370",960,140,145,274,182,109,175,200,495,142,223,148,319
2021,9,60,"6,297","1,465","1,161",182,199,405,294,217,248,262,597,216,335,205,511
2021,9,70,"4,466",880,744,206,151,375,217,216,214,229,399,202,217,126,290
2021,9,80,"3,574",627,518,189,165,309,243,173,160,184,287,185,184,118,232
2021,9,90,559,100,84,40,23,45,19,23,26,34,46,26,33,25,35
2021,9,100,15,2,0,1,0,0,1,1,5,2,0,0,2,0,1
2021,10,총,"30,177","8,427","5,938",971,829,"1,864","1,318",896,"1,205","1,155","2,685",933,"1,391",749,"1,816"
2021,10,0,"1,398",567,414,33,21,43,29,13,57,24,90,15,42,11,39
2021,10,10,"1,876",740,425,41,8,61,163,26,63,37,151,19,67,22,53
2021,10,20,"1,880",723,374,39,38,89,45,35,67,53,174,34,97,21,91
2021,10,30,"2,157",852,511,56,38,111,52,28,82,44,164,41,64,26,88
2021,10,40,"3,020","1,072",745,50,41,147,69,56,110,88,275,51,125,47,144
2021,10,50,"4,891","1,369",957,142,146,277,183,111,171,201,496,142,224,149,323
2021,10,60,"6,325","1,479","1,163",180,199,406,298,214,251,260,600,216,337,206,516
2021,10,70,"4,459",887,741,202,149,372,215,217,210,231,403,202,215,125,290
2021,10,80,"3,594",635,525,188,166,313,242,170,162,182,287,187,185,117,235
2021,10,90,562,101,83,39,23,45,21,25,27,33,45,26,33,25,36
2021,10,100,15,2,0,1,0,0,1,1,5,2,0,0,2,0,1
2021,11,총,"30,205","8,430","5,954",967,842,"1,867","1,319",897,"1,218","1,152","2,677",932,"1,387",748,"1,815"
2021,11,0,"1,381",561,407,31,22,44,28,14,56,24,88,15,41,10,40
2021,11,10,"1,882",737,437,40,8,62,160,25,65,37,150,19,67,22,53
2021,11,20,"1,890",727,384,41,39,88,46,36,68,52,175,32,90,22,90
2021,11,30,"2,130",838,508,57,41,107,50,26,83,46,159,41,60,26,88
2021,11,40,"3,043","1,083",752,48,41,145,72,56,116,87,272,50,128,47,146
2021,11,50,"4,881","1,366",949,142,143,285,186,111,172,196,498,141,225,148,319
2021,11,60,"6,354","1,488","1,170",181,206,408,297,214,255,263,597,218,342,201,514
2021,11,70,"4,454",893,740,198,150,367,212,217,207,228,403,202,215,129,293
2021,11,80,"3,602",631,523,189,169,315,247,170,162,182,291,187,184,118,234
2021,11,90,574,105,84,39,23,46,20,27,29,35,44,27,33,25,37
2021,11,100,14,1,0,1,0,0,1,1,5,2,0,0,2,0,1
2021,12,총,"30,181","8,415","5,949",969,851,"1,864","1,322",894,"1,219","1,159","2,672",935,"1,381",747,"1,804"
2021,12,0,"1,374",554,402,34,24,42,24,14,60,26,89,15,41,9,40
2021,12,10,"1,869",732,437,39,9,60,155,25,65,38,150,19,65,22,53
2021,12,20,"1,874",715,380,41,38,88,49,35,66,50,179,34,90,22,87
2021,12,30,"2,106",831,495,55,44,105,48,29,87,48,155,42,57,26,84
2021,12,40,"3,035","1,086",751,48,40,144,77,54,112,85,271,49,129,46,143
2021,12,50,"4,890","1,372",954,140,147,285,187,110,174,200,490,138,224,150,319
2021,12,60,"6,384","1,491","1,178",185,206,411,300,213,255,261,603,225,341,201,514
2021,12,70,"4,444",897,742,196,149,365,214,217,204,229,404,200,210,129,288
2021,12,80,"3,603",628,520,191,169,315,247,169,162,183,287,189,189,116,238
2021,12,90,586,108,89,39,25,49,20,27,29,37,43,24,33,26,37
2021,12,100,16,1,1,1,0,0,1,1,5,2,1,0,2,0,1
