년도,월,나이,청도군,화양읍,화양읍남성현출장소,청도읍,청도읍유호출장소,각남면,풍각면,각북면,이서면,운문면,금천면,매전면
2021,8,0,691,210,20,211,27,22,58,24,60,11,22,26
2021,8,10,"1,071",327,7,353,16,31,82,39,110,13,41,52
2021,8,20,"1,099",241,30,351,25,46,81,40,111,48,63,63
2021,8,30,"1,201",306,36,360,34,47,115,49,118,39,44,53
2021,8,40,"1,903",484,29,600,50,59,136,72,193,85,91,104
2021,8,50,"3,310",577,75,845,112,160,289,197,344,190,238,283
2021,8,60,"4,856",661,139,"1,074",235,258,506,282,552,237,413,499
2021,8,70,"3,609",442,103,772,179,254,341,223,385,197,335,378
2021,8,80,"2,965",330,95,533,121,201,324,163,329,205,307,357
2021,8,90,504,58,18,78,21,38,48,34,72,27,53,57
2021,8,100,9,1,0,2,0,0,1,1,1,0,2,1
2021,9,총,"21,186","3,648",549,"5,163",813,"1,120","1,976","1,127","2,267","1,037","1,611","1,875"
2021,9,0,691,208,20,209,27,24,58,25,60,11,23,26
2021,9,10,"1,072",328,7,352,16,33,82,37,111,13,41,52
2021,9,20,"1,067",235,28,339,23,46,76,40,110,42,63,65
2021,9,30,"1,191",308,36,355,33,47,113,50,117,37,44,51
2021,9,40,"1,899",487,29,599,49,60,135,73,191,82,91,103
2021,9,50,"3,311",577,73,844,112,162,291,198,343,191,236,284
2021,9,60,"4,857",668,138,"1,080",230,253,503,283,548,236,419,499
2021,9,70,"3,608",447,104,762,180,254,347,224,387,192,333,378
2021,9,80,"2,970",330,96,542,121,202,315,163,330,207,309,355
2021,9,90,511,59,18,79,22,39,55,33,69,26,50,61
2021,9,100,9,1,0,2,0,0,1,1,1,0,2,1
2021,10,총,"21,241","3,668",544,"5,173",813,"1,129","1,977","1,131","2,286","1,039","1,607","1,874"
2021,10,0,693,213,20,206,27,24,58,26,60,11,23,25
2021,10,10,"1,078",327,7,349,17,35,82,37,120,12,40,52
2021,10,20,"1,066",240,26,342,23,41,75,40,109,41,64,65
2021,10,30,"1,189",306,35,355,31,53,114,50,113,39,41,52
2021,10,40,"1,912",497,30,597,48,59,134,72,201,82,93,99
2021,10,50,"3,321",575,73,856,114,165,289,199,346,187,232,285
2021,10,60,"4,868",674,136,"1,076",229,255,506,282,546,241,419,504
2021,10,70,"3,612",444,103,765,181,256,344,227,396,189,335,372
2021,10,80,"2,981",333,96,543,122,202,317,165,324,211,309,359
2021,10,90,511,58,18,82,21,38,57,32,70,26,49,60
2021,10,100,10,1,0,2,0,1,1,1,1,0,2,1
2021,11,총,"21,278","3,684",548,"5,172",812,"1,136","1,968","1,137","2,295","1,040","1,609","1,877"
2021,11,0,693,217,19,207,25,22,57,25,61,11,24,25
2021,11,10,"1,084",327,8,345,19,38,82,38,123,12,41,51
2021,11,20,"1,073",239,26,345,23,41,73,42,110,41,65,68
2021,11,30,"1,187",305,37,358,30,56,111,50,112,39,40,49
2021,11,40,"1,907",501,30,593,49,60,132,73,200,79,89,101
2021,11,50,"3,324",580,73,851,112,169,289,200,350,188,233,279
2021,11,60,"4,881",685,135,"1,079",229,254,505,282,543,240,420,509
2021,11,70,"3,611",435,103,767,182,256,346,226,396,193,336,371
2021,11,80,"3,001",337,99,543,124,200,314,169,331,212,310,362
2021,11,90,508,57,18,82,19,39,58,32,68,25,49,61
2021,11,100,9,1,0,2,0,1,1,0,1,0,2,1
2021,12,총,"21,293","3,683",556,"5,184",813,"1,131","1,964","1,135","2,314","1,035","1,614","1,864"
2021,12,0,690,218,21,206,24,21,55,25,62,10,25,23
2021,12,10,"1,096",331,11,349,20,36,82,38,126,11,39,53
2021,12,20,"1,077",240,26,348,24,41,72,41,112,41,68,64
2021,12,30,"1,180",308,36,344,33,56,110,50,116,40,38,49
2021,12,40,"1,907",494,33,604,48,59,132,76,197,75,92,97
2021,12,50,"3,325",576,71,855,111,168,291,198,356,187,235,277
2021,12,60,"4,883",687,136,"1,086",226,252,501,282,546,241,421,505
2021,12,70,"3,603",434,104,763,182,258,343,223,401,189,335,371
2021,12,80,"3,005",336,100,542,126,198,319,171,329,215,308,361
2021,12,90,518,58,18,85,19,41,58,31,68,26,51,63
2021,12,100,9,1,0,2,0,1,1,0,1,0,2,1
