년도,월,나이,구리시,갈매동,동구동,인창동,교문1동,교문2동,수택1동,수택2동,수택3동
2020,10,40,"16,431","3,030","3,055","1,937","1,349","1,812","1,319","1,946","1,983"
2020,10,50,"17,639","1,996","3,523","2,116","1,658","1,914","1,906","2,476","2,050"
2020,10,60,"12,108","1,574","2,152","1,270","1,282","1,319","1,425","1,869","1,217"
2020,10,70,"5,218",699,882,608,604,547,580,748,550
2020,10,80,"1,798",131,377,212,207,212,184,269,206
2020,10,90,174,14,38,29,25,16,19,16,17
2020,10,100,25,2,2,3,11,0,2,4,1
2020,11,총,"98,033","15,633","18,896","11,505","8,306","10,881","8,991","12,749","11,072"
2020,11,0,"7,902","2,414","1,469",893,383,822,405,667,849
2020,11,10,"9,396","1,111","2,144","1,250",520,"1,416",656,"1,115","1,184"
2020,11,20,"13,991","1,669","2,916","1,688","1,155","1,584","1,382","2,004","1,593"
2020,11,30,"13,283","2,953","2,315","1,482","1,113","1,238","1,138","1,642","1,402"
2020,11,40,"16,400","3,052","3,059","1,932","1,332","1,796","1,310","1,940","1,979"
2020,11,50,"17,640","2,006","3,517","2,124","1,664","1,923","1,892","2,459","2,055"
2020,11,60,"12,170","1,575","2,167","1,282","1,295","1,316","1,426","1,878","1,231"
2020,11,70,"5,243",705,890,607,603,556,578,752,552
2020,11,80,"1,804",131,376,217,206,212,182,272,208
2020,11,90,178,15,41,27,24,18,19,16,18
2020,11,100,26,2,2,3,11,0,3,4,1
2020,12,총,"97,939","15,611","18,864","11,523","8,328","10,864","8,944","12,761","11,044"
2020,12,0,"7,852","2,406","1,452",892,379,820,404,668,831
2020,12,10,"9,366","1,119","2,137","1,251",518,"1,408",646,"1,114","1,173"
2020,12,20,"13,976","1,647","2,913","1,693","1,162","1,589","1,372","2,000","1,600"
2020,12,30,"13,269","2,940","2,319","1,487","1,115","1,231","1,138","1,643","1,396"
2020,12,40,"16,382","3,057","3,051","1,934","1,345","1,792","1,306","1,942","1,955"
2020,12,50,"17,597","2,006","3,511","2,116","1,658","1,917","1,857","2,466","2,066"
2020,12,60,"12,232","1,582","2,170","1,299","1,300","1,320","1,441","1,881","1,239"
2020,12,70,"5,250",706,891,605,609,556,579,754,550
2020,12,80,"1,806",129,377,215,207,213,179,272,214
2020,12,90,182,17,41,28,24,17,19,17,19
2020,12,100,27,2,2,3,11,1,3,4,1
2021,1,총,"97,836","15,601","18,830","11,508","8,344","10,829","8,900","12,784","11,040"
2021,1,0,"7,774","2,377","1,438",891,376,811,401,664,816
2021,1,10,"9,332","1,138","2,116","1,245",520,"1,397",637,"1,106","1,173"
2021,1,20,"13,978","1,648","2,919","1,687","1,160","1,579","1,357","2,011","1,617"
2021,1,30,"13,189","2,893","2,304","1,491","1,115","1,223","1,136","1,642","1,385"
2021,1,40,"16,343","3,077","3,051","1,912","1,335","1,788","1,295","1,941","1,944"
2021,1,50,"17,596","2,019","3,497","2,121","1,657","1,909","1,850","2,483","2,060"
2021,1,60,"12,331","1,586","2,191","1,307","1,319","1,331","1,446","1,895","1,256"
2021,1,70,"5,272",714,895,608,615,557,575,752,556
2021,1,80,"1,807",130,376,216,211,214,180,268,212
2021,1,90,187,17,41,27,25,19,20,18,20
2021,1,100,27,2,2,3,11,1,3,4,1
2021,2,총,"97,601","15,557","18,766","11,493","8,348","10,778","8,854","12,799","11,006"
2021,2,0,"7,706","2,354","1,424",892,376,800,391,668,801
2021,2,10,"9,266","1,135","2,090","1,229",520,"1,381",626,"1,116","1,169"
2021,2,20,"13,948","1,647","2,915","1,693","1,150","1,572","1,357","2,002","1,612"
2021,2,30,"13,094","2,854","2,296","1,473","1,116","1,214","1,127","1,635","1,379"
2021,2,40,"16,289","3,093","3,007","1,919","1,345","1,768","1,283","1,939","1,935"
2021,2,50,"17,575","2,039","3,484","2,115","1,647","1,906","1,837","2,491","2,056"
2021,2,60,"12,425","1,583","2,230","1,318","1,336","1,335","1,460","1,900","1,263"
2021,2,70,"5,277",705,901,609,611,568,575,750,558
2021,2,80,"1,812",130,378,215,211,215,176,275,212
2021,2,90,182,15,39,27,25,18,19,19,20
2021,2,100,27,2,2,3,11,1,3,4,1
2021,3,총,"97,184","15,487","18,736","11,386","8,359","10,731","8,737","12,770","10,978"
2021,3,0,"7,600","2,328","1,413",866,374,784,382,662,791
2021,3,10,"9,256","1,148","2,096","1,237",518,"1,369",615,"1,110","1,163"
2021,3,20,"13,902","1,635","2,890","1,677","1,156","1,572","1,350","2,000","1,622"
2021,3,30,"13,026","2,820","2,299","1,453","1,121","1,210","1,111","1,638","1,374"
2021,3,40,"16,185","3,102","3,003","1,901","1,336","1,752","1,257","1,917","1,917"
2021,3,50,"17,478","2,021","3,462","2,093","1,642","1,901","1,809","2,493","2,057"
2021,3,60,"12,478","1,586","2,252","1,322","1,345","1,342","1,460","1,901","1,270"
2021,3,70,"5,236",701,899,595,612,565,558,752,554
2021,3,80,"1,833",132,382,218,219,218,176,277,211
2021,3,90,171,14,38,23,25,17,18,18,18
2021,3,100,19,0,2,1,11,1,1,2,1
2021,4,총,"96,900","15,439","18,701","11,380","8,359","10,691","8,633","12,749","10,948"
2021,4,0,"7,559","2,316","1,400",870,371,771,381,661,789
2021,4,10,"9,199","1,145","2,079","1,229",515,"1,359",606,"1,109","1,157"
2021,4,20,"13,848","1,623","2,893","1,665","1,150","1,572","1,327","2,001","1,617"
2021,4,30,"12,915","2,795","2,285","1,451","1,112","1,197","1,095","1,628","1,352"
2021,4,40,"16,131","3,105","2,983","1,906","1,337","1,746","1,246","1,905","1,903"
2021,4,50,"17,427","2,014","3,457","2,079","1,648","1,886","1,789","2,493","2,061"
2021,4,60,"12,582","1,598","2,284","1,338","1,363","1,360","1,445","1,910","1,284"
2021,4,70,"5,204",701,891,595,608,565,551,740,553
2021,4,80,"1,849",129,388,224,220,218,176,281,213
2021,4,90,167,13,39,22,24,16,16,19,18
2021,4,100,19,0,2,1,11,1,1,2,1
2021,5,총,"96,640","15,431","18,671","11,386","8,406","10,717","8,356","12,731","10,942"
2021,5,0,"7,512","2,309","1,387",860,377,768,374,653,784
2021,5,10,"9,141","1,146","2,068","1,227",523,"1,354",583,"1,095","1,145"
2021,5,20,"13,798","1,625","2,861","1,676","1,160","1,576","1,288","1,987","1,625"
2021,5,30,"12,857","2,766","2,302","1,460","1,106","1,208","1,058","1,622","1,335"
2021,5,40,"16,071","3,122","2,958","1,893","1,342","1,745","1,210","1,894","1,907"
2021,5,50,"17,366","2,010","3,460","2,091","1,652","1,884","1,721","2,491","2,057"
2021,5,60,"12,614","1,610","2,306","1,333","1,372","1,373","1,396","1,932","1,292"
2021,5,70,"5,214",696,893,595,616,569,532,754,559
2021,5,80,"1,878",134,394,228,223,221,177,282,219
2021,5,90,169,13,40,22,23,18,16,19,18
2021,5,100,20,0,2,1,12,1,1,2,1
2021,6,총,"96,457","15,429","18,659","11,399","8,415","10,745","8,100","12,750","10,960"
2021,6,0,"7,480","2,292","1,383",862,371,766,367,652,787
2021,6,10,"9,105","1,158","2,050","1,222",520,"1,345",574,"1,084","1,152"
2021,6,20,"13,734","1,623","2,864","1,685","1,155","1,591","1,217","1,990","1,609"
2021,6,30,"12,813","2,730","2,294","1,467","1,106","1,204","1,042","1,625","1,345"
2021,6,40,"16,059","3,153","2,953","1,889","1,351","1,744","1,164","1,898","1,907"
2021,6,50,"17,273","2,000","3,435","2,085","1,649","1,892","1,664","2,485","2,063"
2021,6,60,"12,717","1,623","2,350","1,345","1,384","1,390","1,365","1,955","1,305"
2021,6,70,"5,203",701,892,596,617,568,518,755,556
2021,6,80,"1,879",137,393,226,226,225,172,284,216
2021,6,90,174,12,43,21,24,19,16,20,19
2021,6,100,20,0,2,1,12,1,1,2,1
2021,7,총,"96,227","15,411","18,671","11,376","8,424","10,722","7,881","12,775","10,967"
2021,7,0,"7,442","2,296","1,366",850,374,759,369,649,779
2021,7,10,"9,066","1,158","2,057","1,216",519,"1,345",560,"1,067","1,144"
2021,7,20,"13,674","1,618","2,860","1,677","1,164","1,585","1,170","1,993","1,607"
2021,7,30,"12,772","2,700","2,292","1,472","1,090","1,207","1,041","1,625","1,345"
2021,7,40,"15,972","3,163","2,940","1,855","1,354","1,735","1,125","1,897","1,903"
2021,7,50,"17,254","1,993","3,441","2,096","1,646","1,892","1,607","2,497","2,082"
2021,7,60,"12,758","1,631","2,371","1,354","1,397","1,385","1,329","1,978","1,313"
2021,7,70,"5,213",702,904,607,617,572,497,762,552
2021,7,80,"1,882",138,395,227,225,222,166,286,223
2021,7,90,173,12,43,21,25,19,16,19,18
2021,7,100,21,0,2,1,13,1,1,2,1
2021,8,총,"96,074","15,371","18,595","11,404","8,433","10,656","7,867","12,736","11,012"
2021,8,0,"7,411","2,284","1,348",848,372,744,399,641,775
2021,8,10,"9,019","1,163","2,035","1,206",513,"1,335",557,"1,060","1,150"
2021,8,20,"13,602","1,607","2,829","1,686","1,167","1,565","1,165","1,967","1,616"
2021,8,30,"12,734","2,647","2,293","1,496","1,085","1,204","1,051","1,611","1,347"
2021,8,40,"15,968","3,187","2,915","1,844","1,357","1,718","1,152","1,893","1,902"
2021,8,50,"17,202","1,987","3,438","2,091","1,637","1,885","1,574","2,491","2,099"
2021,8,60,"12,831","1,642","2,388","1,371","1,414","1,386","1,303","2,001","1,326"
2021,8,70,"5,203",701,905,611,620,571,481,763,551
2021,8,80,"1,902",140,398,225,230,227,168,288,226
2021,8,90,181,13,44,25,25,20,16,19,19
2021,8,100,21,0,2,1,13,1,1,2,1
2021,9,총,"95,966","15,355","18,546","11,411","8,391","10,627","7,834","12,647","11,155"
2021,9,0,"7,375","2,278","1,336",849,363,737,408,630,774
2021,9,10,"9,010","1,169","2,033","1,200",515,"1,321",568,"1,055","1,149"
2021,9,20,"13,532","1,600","2,810","1,685","1,148","1,561","1,145","1,945","1,638"
2021,9,30,"12,743","2,607","2,293","1,496","1,088","1,196","1,071","1,585","1,407"
2021,9,40,"15,918","3,204","2,883","1,853","1,340","1,706","1,150","1,875","1,907"
2021,9,50,"17,173","1,995","3,446","2,082","1,638","1,889","1,533","2,477","2,113"
2021,9,60,"12,891","1,646","2,393","1,379","1,417","1,393","1,300","2,008","1,355"
2021,9,70,"5,204",696,906,612,610,577,482,762,559
2021,9,80,"1,916",146,398,229,234,228,160,288,233
2021,9,90,183,14,46,25,25,18,16,20,19
2021,9,100,21,0,2,1,13,1,1,2,1
2021,10,총,"95,747","15,310","18,501","11,398","8,385","10,612","7,845","12,567","11,129"
2021,10,0,"7,322","2,258","1,321",843,355,745,412,619,769
2021,10,10,"8,959","1,174","2,019","1,188",512,"1,315",571,"1,042","1,138"
2021,10,20,"13,445","1,583","2,787","1,681","1,141","1,544","1,153","1,927","1,629"
2021,10,30,"12,716","2,566","2,304","1,492","1,104","1,194","1,074","1,573","1,409"
2021,10,40,"15,876","3,218","2,869","1,840","1,328","1,707","1,153","1,856","1,905"
2021,10,50,"17,147","1,996","3,443","2,096","1,639","1,878","1,533","2,461","2,101"
2021,10,60,"12,941","1,654","2,401","1,386","1,424","1,409","1,286","2,021","1,360"
2021,10,70,"5,203",704,909,614,604,573,486,756,557
2021,10,80,"1,936",143,398,233,240,227,161,293,241
2021,10,90,180,14,48,23,25,19,15,17,19
2021,10,100,22,0,2,2,13,1,1,2,1
2021,11,총,"95,429","15,225","18,409","11,392","8,371","10,583","7,799","12,532","11,118"
2021,11,0,"7,262","2,236","1,308",835,353,742,403,622,763
2021,11,10,"8,901","1,175","1,983","1,193",505,"1,306",567,"1,040","1,132"
2021,11,20,"13,393","1,562","2,782","1,674","1,138","1,541","1,147","1,918","1,631"
2021,11,30,"12,710","2,521","2,310","1,500","1,115","1,199","1,083","1,565","1,417"
2021,11,40,"15,752","3,220","2,828","1,844","1,312","1,695","1,134","1,840","1,879"
2021,11,50,"17,107","1,987","3,435","2,095","1,647","1,869","1,519","2,454","2,101"
2021,11,60,"12,967","1,656","2,404","1,386","1,424","1,413","1,289","2,025","1,370"
2021,11,70,"5,199",710,908,612,606,567,481,754,561
2021,11,80,"1,938",143,399,229,237,232,160,295,243
2021,11,90,180,15,50,23,22,18,15,17,20
2021,11,100,20,0,2,1,12,1,1,2,1
2021,12,총,"95,172","15,161","18,332","11,358","8,350","10,585","7,810","12,514","11,062"
2021,12,0,"7,204","2,208","1,296",825,353,745,407,622,748
2021,12,10,"8,872","1,185","1,981","1,181",498,"1,291",569,"1,037","1,130"
2021,12,20,"13,320","1,552","2,758","1,671","1,139","1,542","1,142","1,898","1,618"
2021,12,30,"12,660","2,473","2,300","1,499","1,118","1,199","1,104","1,562","1,405"
2021,12,40,"15,668","3,240","2,799","1,821","1,311","1,685","1,120","1,834","1,858"
2021,12,50,"17,142","1,978","3,445","2,104","1,645","1,886","1,513","2,464","2,107"
2021,12,60,"12,952","1,649","2,389","1,387","1,418","1,410","1,301","2,025","1,373"
2021,12,70,"5,217",715,908,612,611,574,481,752,564
2021,12,80,"1,955",145,410,235,235,233,157,302,238
2021,12,90,177,16,46,22,22,19,15,17,20
2021,12,100,5,0,0,1,0,1,1,1,1
