년도,월,나이,경상북도 고령군,경상북도 고령군 대가야읍,경상북도 고령군 덕곡면,경상북도 고령군 운수면,경상북도 고령군 성산면,경상북도 고령군 다산면,경상북도 고령군 개진면,경상북도 고령군 우곡면,경상북도 고령군 쌍림면
2020,4,80,"2,630",595,214,228,248,427,218,248,452
2020,4,90,311,64,22,29,32,43,32,23,66
2020,4,100,7,0,2,1,1,0,0,1,2
2020,5,총,"31,842","10,212","1,450","1,905","2,623","8,572","1,999","1,610","3,471"
2020,5,0,"1,481",617,37,47,67,522,43,28,120
2020,5,10,"2,117",934,47,48,81,803,45,54,105
2020,5,20,"2,629",993,98,133,228,757,138,74,208
2020,5,30,"2,428",866,74,111,183,810,121,71,192
2020,5,40,"3,993","1,581",103,159,259,"1,292",160,141,298
2020,5,50,"6,045","1,880",261,359,561,"1,631",424,293,636
2020,5,60,"6,100","1,629",349,437,585,"1,451",477,359,813
2020,5,70,"4,114","1,055",245,353,381,835,344,316,585
2020,5,80,"2,625",595,214,228,246,430,216,250,446
2020,5,90,303,62,20,29,31,41,31,23,66
2020,5,100,7,0,2,1,1,0,0,1,2
2020,6,총,"31,764","10,201","1,457","1,898","2,624","8,553","1,975","1,601","3,455"
2020,6,0,"1,472",609,37,48,67,520,43,28,120
2020,6,10,"2,118",942,47,49,81,797,45,53,104
2020,6,20,"2,609",990,100,125,221,760,138,71,204
2020,6,30,"2,401",853,73,113,182,800,118,70,192
2020,6,40,"3,977","1,585",104,154,258,"1,281",158,140,297
2020,6,50,"6,023","1,871",264,359,565,"1,630",414,294,626
2020,6,60,"6,128","1,636",350,441,594,"1,463",470,356,818
2020,6,70,"4,107","1,058",245,353,378,833,341,318,581
2020,6,80,"2,621",595,215,227,248,427,216,250,443
2020,6,90,301,62,20,28,29,42,32,20,68
2020,6,100,7,0,2,1,1,0,0,1,2
2020,7,총,"31,602","10,156","1,454","1,888","2,614","8,511","1,969","1,586","3,424"
2020,7,0,"1,456",605,34,48,65,511,44,27,122
2020,7,10,"2,112",936,49,49,83,798,42,51,104
2020,7,20,"2,562",973,98,125,217,750,133,72,194
2020,7,30,"2,367",839,71,112,173,802,118,67,185
2020,7,40,"3,949","1,581",107,151,258,"1,262",156,138,296
2020,7,50,"5,977","1,862",261,353,572,"1,618",415,286,610
2020,7,60,"6,125","1,640",354,441,592,"1,459",468,357,814
2020,7,70,"4,119","1,067",242,353,371,842,345,317,582
2020,7,80,"2,625",589,216,228,253,427,215,250,447
2020,7,90,303,64,20,27,29,42,33,20,68
2020,7,100,7,0,2,1,1,0,0,1,2
2020,8,총,"31,477","10,127","1,441","1,879","2,605","8,475","1,956","1,577","3,417"
2020,8,0,"1,449",603,34,48,65,508,43,28,120
2020,8,10,"2,097",927,49,50,83,797,41,47,103
2020,8,20,"2,521",969,91,121,214,741,129,71,185
2020,8,30,"2,344",835,68,109,171,792,117,66,186
2020,8,40,"3,924","1,578",105,150,257,"1,254",150,138,292
2020,8,50,"5,939","1,840",261,347,571,"1,608",410,282,620
2020,8,60,"6,143","1,647",353,444,589,"1,470",470,361,809
2020,8,70,"4,111","1,077",241,350,374,832,347,313,577
2020,8,80,"2,628",582,215,231,251,431,216,250,452
2020,8,90,312,68,22,28,29,42,33,20,70
2020,8,100,9,1,2,1,1,0,0,1,3
2020,9,총,"31,394","10,081","1,435","1,881","2,599","8,452","1,955","1,574","3,417"
2020,9,0,"1,437",597,35,48,67,501,42,27,120
2020,9,10,"2,076",915,50,50,82,789,39,46,105
2020,9,20,"2,503",961,93,120,206,737,131,70,185
2020,9,30,"2,309",822,65,107,172,781,113,68,181
2020,9,40,"3,910","1,567",105,149,254,"1,246",154,140,295
2020,9,50,"5,929","1,841",261,346,563,"1,613",411,280,614
2020,9,60,"6,168","1,649",348,450,599,"1,477",466,360,819
2020,9,70,"4,096","1,076",238,349,374,829,345,313,572
2020,9,80,"2,644",584,216,232,250,438,221,250,453
2020,9,90,313,68,22,29,31,41,33,19,70
2020,9,100,9,1,2,1,1,0,0,1,3
2020,10,총,"31,398","10,089","1,437","1,891","2,603","8,447","1,943","1,582","3,406"
2020,10,0,"1,426",595,35,48,66,497,41,28,116
2020,10,10,"2,071",912,47,52,82,784,40,46,108
2020,10,20,"2,512",964,94,121,204,744,130,70,185
2020,10,30,"2,297",819,65,108,170,770,114,71,180
2020,10,40,"3,904","1,575",104,156,252,"1,240",152,139,286
2020,10,50,"5,911","1,834",261,346,560,"1,612",408,279,611
2020,10,60,"6,204","1,658",352,450,603,"1,491",463,362,825
2020,10,70,"4,103","1,071",240,349,383,834,342,314,570
2020,10,80,"2,651",593,214,231,251,434,220,253,455
2020,10,90,309,66,23,29,31,41,33,19,67
2020,10,100,10,2,2,1,1,0,0,1,3
2020,11,총,"31,378","10,106","1,436","1,882","2,594","8,433","1,950","1,583","3,394"
2020,11,0,"1,424",602,34,46,66,494,42,29,111
2020,11,10,"2,058",910,47,52,83,774,39,46,107
2020,11,20,"2,522",966,92,121,204,745,134,70,190
2020,11,30,"2,270",818,66,108,169,756,112,72,169
2020,11,40,"3,883","1,569",106,153,246,"1,238",148,141,282
2020,11,50,"5,901","1,832",260,342,562,"1,608",412,281,604
2020,11,60,"6,236","1,661",350,451,604,"1,510",462,363,835
2020,11,70,"4,107","1,082",240,347,378,835,343,312,570
2020,11,80,"2,660",596,216,233,251,434,224,250,456
2020,11,90,306,67,23,28,30,39,34,18,67
2020,11,100,11,3,2,1,1,0,0,1,3
2020,12,총,"31,361","10,077","1,433","1,883","2,594","8,445","1,941","1,591","3,397"
2020,12,0,"1,418",598,33,48,63,493,42,32,109
2020,12,10,"2,041",912,45,51,80,768,33,47,105
2020,12,20,"2,541",969,92,123,206,756,134,70,191
2020,12,30,"2,265",812,63,112,171,751,111,74,171
2020,12,40,"3,822","1,536",102,149,247,"1,229",147,141,271
2020,12,50,"5,899","1,838",261,345,563,"1,597",406,281,608
2020,12,60,"6,267","1,665",356,448,602,"1,524",466,366,840
2020,12,70,"4,109","1,078",239,343,380,849,342,310,568
2020,12,80,"2,674",598,216,235,249,438,226,248,464
2020,12,90,314,68,24,28,32,40,34,21,67
2020,12,100,11,3,2,1,1,0,0,1,3
2021,1,총,"31,310","10,074","1,423","1,864","2,585","8,446","1,939","1,593","3,386"
2021,1,0,"1,404",600,33,46,63,482,41,34,105
2021,1,10,"2,029",903,42,52,82,767,32,47,104
2021,1,20,"2,509",958,90,120,202,754,129,69,187
2021,1,30,"2,240",807,62,110,166,744,115,72,164
2021,1,40,"3,801","1,523",99,146,248,"1,225",144,146,270
2021,1,50,"5,918","1,857",258,341,561,"1,603",404,282,612
2021,1,60,"6,290","1,675",359,438,603,"1,541",472,358,844
2021,1,70,"4,108","1,075",239,346,380,845,340,310,573
2021,1,80,"2,682",605,217,233,247,444,226,251,459
2021,1,90,318,68,22,31,32,41,36,23,65
2021,1,100,11,3,2,1,1,0,0,1,3
2021,2,총,"31,245","10,060","1,431","1,852","2,571","8,450","1,928","1,580","3,373"
2021,2,0,"1,403",597,36,47,64,480,41,33,105
2021,2,10,"2,015",900,45,53,78,759,33,45,102
2021,2,20,"2,503",954,91,116,201,761,128,70,182
2021,2,30,"2,210",795,63,103,161,744,113,69,162
2021,2,40,"3,780","1,524",96,149,247,"1,217",140,143,264
2021,2,50,"5,876","1,854",256,333,548,"1,604",397,282,602
2021,2,60,"6,335","1,684",363,442,612,"1,551",476,355,852
2021,2,70,"4,107","1,072",237,345,377,849,338,312,577
2021,2,80,"2,679",607,219,232,248,441,226,249,457
2021,2,90,326,70,23,31,34,44,36,21,67
2021,2,100,11,3,2,1,1,0,0,1,3
2021,3,총,"31,167","10,037","1,432","1,850","2,568","8,417","1,922","1,573","3,368"
2021,3,0,"1,388",587,36,47,66,477,40,29,106
2021,3,10,"2,005",896,43,52,74,762,33,45,100
2021,3,20,"2,469",951,88,116,199,744,126,68,177
2021,3,30,"2,203",795,64,105,165,733,111,68,162
2021,3,40,"3,756","1,511",98,148,241,"1,215",142,138,263
2021,3,50,"5,843","1,845",254,328,549,"1,597",389,282,599
2021,3,60,"6,379","1,702",369,445,610,"1,553",487,360,853
2021,3,70,"4,117","1,073",233,345,380,850,339,314,583
2021,3,80,"2,677",609,221,233,249,438,218,249,460
2021,3,90,322,66,24,30,35,48,37,20,62
2021,3,100,8,2,2,1,0,0,0,0,3
2021,4,총,"31,133","10,015","1,429","1,847","2,565","8,425","1,912","1,568","3,372"
2021,4,0,"1,383",586,35,44,65,477,40,31,105
2021,4,10,"1,982",891,41,52,74,746,31,46,101
2021,4,20,"2,451",938,87,110,198,754,121,66,177
2021,4,30,"2,192",796,63,104,166,724,111,67,161
2021,4,40,"3,746","1,507",92,152,239,"1,218",137,136,265
2021,4,50,"5,828","1,841",255,322,543,"1,596",388,283,600
2021,4,60,"6,412","1,697",371,455,618,"1,564",493,359,855
2021,4,70,"4,114","1,075",233,342,379,853,337,311,584
2021,4,80,"2,688",614,227,235,249,444,215,248,456
2021,4,90,329,68,23,30,34,49,39,21,65
2021,4,100,8,2,2,1,0,0,0,0,3
2021,5,총,"31,024","9,997","1,420","1,841","2,560","8,402","1,909","1,557","3,338"
2021,5,0,"1,383",591,36,44,63,475,43,29,102
2021,5,10,"1,973",890,41,51,75,740,31,46,99
2021,5,20,"2,434",932,86,109,196,751,119,65,176
2021,5,30,"2,188",795,59,105,165,724,109,71,160
2021,5,40,"3,687","1,484",91,150,234,"1,201",133,132,262
2021,5,50,"5,795","1,844",249,317,540,"1,589",393,276,587
2021,5,60,"6,443","1,708",374,461,624,"1,573",495,361,847
2021,5,70,"4,094","1,066",235,339,381,853,332,307,581
2021,5,80,"2,687",619,224,233,245,447,215,248,456
2021,5,90,332,66,23,31,37,49,39,22,65
2021,5,100,8,2,2,1,0,0,0,0,3
2021,6,총,"30,927","9,971","1,419","1,845","2,531","8,379","1,902","1,550","3,330"
2021,6,0,"1,368",589,34,45,62,469,40,27,102
2021,6,10,"1,963",884,42,51,71,738,32,45,100
2021,6,20,"2,395",917,88,107,192,742,112,67,170
2021,6,30,"2,172",789,56,108,162,715,109,71,162
2021,6,40,"3,653","1,470",93,150,230,"1,188",130,130,262
2021,6,50,"5,775","1,840",250,317,530,"1,592",393,276,577
2021,6,60,"6,473","1,726",372,462,622,"1,581",495,358,857
2021,6,70,"4,091","1,065",235,337,379,850,337,310,578
2021,6,80,"2,698",623,225,237,244,453,216,247,453
2021,6,90,331,66,22,30,39,51,38,19,66
2021,6,100,8,2,2,1,0,0,0,0,3
2021,7,총,"30,855","9,943","1,419","1,830","2,528","8,372","1,904","1,541","3,318"
2021,7,0,"1,365",588,34,44,63,467,41,26,102
2021,7,10,"1,947",882,39,50,71,730,32,42,101
2021,7,20,"2,383",914,84,103,187,748,112,67,168
2021,7,30,"2,135",773,59,105,160,705,106,70,157
2021,7,40,"3,631","1,454",93,144,225,"1,196",128,128,263
2021,7,50,"5,770","1,846",247,319,526,"1,586",398,275,573
2021,7,60,"6,489","1,731",376,460,632,"1,586",493,355,856
2021,7,70,"4,100","1,067",236,335,381,850,337,315,579
2021,7,80,"2,691",619,225,238,243,452,219,244,451
2021,7,90,335,67,24,31,40,52,37,19,65
2021,7,100,9,2,2,1,0,0,1,0,3
2021,8,총,"30,792","9,919","1,422","1,826","2,531","8,346","1,906","1,543","3,299"
2021,8,0,"1,348",580,35,42,64,460,41,25,101
2021,8,10,"1,931",872,39,48,70,728,33,41,100
2021,8,20,"2,364",910,82,100,189,742,111,67,163
2021,8,30,"2,114",770,59,101,162,692,104,71,155
2021,8,40,"3,622","1,449",94,142,224,"1,193",129,128,263
2021,8,50,"5,740","1,835",244,324,521,"1,580",398,273,565
2021,8,60,"6,513","1,742",382,462,635,"1,588",493,353,858
2021,8,70,"4,128","1,078",237,332,384,856,341,323,577
2021,8,80,"2,687",614,222,243,243,455,218,243,449
2021,8,90,336,67,26,31,39,52,37,19,65
2021,8,100,9,2,2,1,0,0,1,0,3
2021,9,총,"30,683","9,884","1,420","1,825","2,512","8,324","1,892","1,541","3,285"
2021,9,0,"1,338",576,33,41,64,458,42,26,98
2021,9,10,"1,921",864,38,49,65,732,32,42,99
2021,9,20,"2,314",900,82,101,183,721,102,67,158
2021,9,30,"2,089",766,60,102,156,688,103,68,146
2021,9,40,"3,592","1,433",94,139,224,"1,189",126,121,266
2021,9,50,"5,730","1,839",239,324,517,"1,576",395,278,562
2021,9,60,"6,517","1,735",385,461,637,"1,589",496,351,863
2021,9,70,"4,128","1,085",235,330,383,861,337,324,573
2021,9,80,"2,696",615,226,243,243,459,219,243,448
2021,9,90,349,69,26,34,40,51,39,21,69
2021,9,100,9,2,2,1,0,0,1,0,3
2021,10,총,"30,694","9,876","1,426","1,827","2,518","8,331","1,890","1,544","3,282"
2021,10,0,"1,327",570,33,41,65,458,40,25,95
2021,10,10,"1,904",859,38,49,63,726,30,42,97
2021,10,20,"2,318",898,81,101,180,731,100,70,157
2021,10,30,"2,084",760,65,101,157,684,103,70,144
2021,10,40,"3,579","1,425",92,140,228,"1,181",132,119,262
2021,10,50,"5,752","1,854",238,321,515,"1,587",393,278,566
2021,10,60,"6,548","1,743",390,462,644,"1,590",502,348,869
2021,10,70,"4,117","1,081",236,332,384,858,332,325,569
2021,10,80,"2,708",617,228,245,241,464,217,247,449
2021,10,90,348,67,23,34,41,52,40,20,71
2021,10,100,9,2,2,1,0,0,1,0,3
2021,11,총,"30,673","9,878","1,422","1,814","2,516","8,333","1,905","1,545","3,260"
2021,11,0,"1,330",579,33,40,64,455,42,26,91
2021,11,10,"1,906",858,39,47,65,726,33,41,97
2021,11,20,"2,304",891,81,100,176,735,99,71,151
2021,11,30,"2,065",751,62,104,159,675,102,69,143
2021,11,40,"3,572","1,422",90,134,227,"1,186",133,118,262
2021,11,50,"5,726","1,852",238,321,512,"1,579",391,278,555
2021,11,60,"6,576","1,746",391,459,646,"1,601",514,348,871
2021,11,70,"4,124","1,094",236,329,381,861,331,326,566
2021,11,80,"2,723",619,228,246,245,465,219,248,453
2021,11,90,341,64,22,34,41,50,40,20,70
2021,11,100,6,2,2,0,0,0,1,0,1
2021,12,총,"30,626","9,886","1,414","1,812","2,515","8,295","1,902","1,548","3,254"
2021,12,0,"1,316",574,31,41,65,445,40,29,91
2021,12,10,"1,908",858,41,47,65,728,32,42,95
2021,12,20,"2,302",904,79,99,179,720,100,69,152
2021,12,30,"2,055",746,64,105,156,676,101,68,139
2021,12,40,"3,550","1,405",85,135,234,"1,178",132,118,263
2021,12,50,"5,716","1,869",236,317,507,"1,574",389,273,551
2021,12,60,"6,588","1,742",395,465,644,"1,590",516,358,878
2021,12,70,"4,118","1,106",230,322,376,869,331,323,561
2021,12,80,"2,722",614,229,250,247,462,222,246,452
2021,12,90,347,67,23,31,42,53,38,22,71
2021,12,100,4,1,1,0,0,0,1,0,1
