년도,월,나이,경상북도 청송군,경상북도 청송군 청송읍,경상북도 청송군 주왕산면,경상북도 청송군 부남면,경상북도 청송군 현동면,경상북도 청송군 현서면,경상북도 청송군 안덕면,경상북도 청송군 파천면,경상북도 청송군 진보면
2020,5,총,"12,633","2,643",945,"1,273","1,035","1,283","1,371",913,"3,170"
2020,5,0,480,136,23,33,38,25,37,27,161
2020,5,10,591,183,24,43,47,47,39,29,179
2020,5,20,709,200,45,53,53,62,51,42,203
2020,5,30,725,232,44,44,42,50,53,37,223
2020,5,40,"1,047",286,56,77,78,87,90,51,322
2020,5,50,"2,288",480,184,248,195,251,249,132,549
2020,5,60,"2,683",458,219,321,213,335,302,194,641
2020,5,70,"2,283",363,200,258,201,241,306,191,523
2020,5,80,"1,573",258,134,167,147,156,205,174,332
2020,5,90,238,40,16,27,19,28,38,35,35
2020,5,100,16,7,0,2,2,1,1,1,2
2020,6,총,"12,612","2,626",948,"1,273","1,039","1,283","1,364",912,"3,167"
2020,6,0,481,136,24,34,38,25,37,26,161
2020,6,10,593,184,24,43,48,47,39,31,177
2020,6,20,695,194,46,52,51,64,50,39,199
2020,6,30,721,229,43,44,42,51,51,34,227
2020,6,40,"1,045",283,57,75,81,88,87,54,320
2020,6,50,"2,258",472,182,246,196,246,245,129,542
2020,6,60,"2,702",461,223,324,213,337,307,197,640
2020,6,70,"2,289",364,199,259,202,243,302,190,530
2020,6,80,"1,570",256,134,167,147,152,206,175,333
2020,6,90,242,40,16,27,19,29,39,36,36
2020,6,100,16,7,0,2,2,1,1,1,2
2020,7,총,"12,581","2,621",944,"1,276","1,041","1,276","1,363",906,"3,154"
2020,7,0,481,136,25,34,38,25,37,26,160
2020,7,10,585,183,22,42,48,47,39,31,173
2020,7,20,693,194,46,53,50,61,51,37,201
2020,7,30,716,221,44,45,43,49,50,33,231
2020,7,40,"1,025",284,55,75,81,88,86,52,304
2020,7,50,"2,255",478,183,241,197,241,242,130,543
2020,7,60,"2,707",458,222,328,213,337,309,198,642
2020,7,70,"2,293",366,196,264,202,244,303,189,529
2020,7,80,"1,571",254,134,166,147,155,207,175,333
2020,7,90,239,40,17,26,20,28,38,34,36
2020,7,100,16,7,0,2,2,1,1,1,2
2020,8,총,"12,564","2,620",941,"1,272","1,039","1,275","1,362",902,"3,153"
2020,8,0,480,135,26,33,37,25,38,26,160
2020,8,10,582,183,21,39,49,47,39,32,172
2020,8,20,684,192,42,55,50,61,50,34,200
2020,8,30,710,218,45,45,42,49,50,34,227
2020,8,40,"1,020",284,54,74,81,84,85,51,307
2020,8,50,"2,251",482,183,236,195,239,241,129,546
2020,8,60,"2,715",458,222,328,214,341,310,197,645
2020,8,70,"2,296",366,195,267,202,245,303,190,528
2020,8,80,"1,572",254,135,168,147,156,206,175,331
2020,8,90,238,41,18,26,20,27,38,33,35
2020,8,100,16,7,0,1,2,1,2,1,2
2020,9,총,"12,557","2,608",940,"1,273","1,043","1,273","1,365",902,"3,153"
2020,9,0,476,131,26,33,37,25,38,26,160
2020,9,10,579,180,21,36,49,46,41,31,175
2020,9,20,683,192,40,60,50,60,47,36,198
2020,9,30,707,217,45,46,43,50,50,32,224
2020,9,40,"1,010",279,51,73,82,81,88,53,303
2020,9,50,"2,251",482,186,235,191,236,240,129,552
2020,9,60,"2,728",458,222,332,218,344,310,198,646
2020,9,70,"2,289",364,192,265,202,246,306,186,528
2020,9,80,"1,580",256,140,166,149,157,206,176,330
2020,9,90,238,42,17,26,20,27,37,34,35
2020,9,100,16,7,0,1,2,1,2,1,2
2020,10,총,"12,569","2,605",939,"1,278","1,045","1,281","1,369",902,"3,150"
2020,10,0,478,129,27,32,38,27,38,27,160
2020,10,10,574,181,20,38,45,45,41,28,176
2020,10,20,681,191,40,59,55,59,46,38,193
2020,10,30,708,216,44,47,45,51,50,31,224
2020,10,40,"1,009",279,51,73,82,81,87,52,304
2020,10,50,"2,232",472,183,237,187,236,243,128,546
2020,10,60,"2,747",464,227,332,218,345,311,199,651
2020,10,70,"2,296",365,191,266,205,247,305,188,529
2020,10,80,"1,587",258,140,167,148,162,207,175,330
2020,10,90,241,43,16,26,20,27,39,35,35
2020,10,100,16,7,0,1,2,1,2,1,2
2020,11,총,"12,559","2,610",940,"1,278","1,050","1,278","1,363",901,"3,139"
2020,11,0,474,129,26,32,39,27,37,27,157
2020,11,10,569,180,22,39,44,42,39,28,175
2020,11,20,679,195,40,56,56,60,44,38,190
2020,11,30,708,216,45,48,45,50,51,32,221
2020,11,40,"1,006",276,51,73,83,81,85,52,305
2020,11,50,"2,220",477,182,238,185,229,244,125,540
2020,11,60,"2,756",465,225,334,222,351,305,199,655
2020,11,70,"2,291",364,190,264,203,245,309,190,526
2020,11,80,"1,595",257,142,167,151,165,207,174,332
2020,11,90,245,44,17,26,20,27,40,35,36
2020,11,100,16,7,0,1,2,1,2,1,2
2020,12,총,"12,562","2,614",939,"1,278","1,057","1,273","1,362",909,"3,130"
2020,12,0,476,133,25,32,39,26,38,27,156
2020,12,10,572,183,21,41,44,42,39,30,172
2020,12,20,669,187,42,56,56,56,42,41,189
2020,12,30,701,212,44,50,46,49,55,33,212
2020,12,40,"1,017",282,52,72,84,78,87,51,311
2020,12,50,"2,215",478,181,234,184,228,242,128,540
2020,12,60,"2,775",464,224,335,229,356,306,202,659
2020,12,70,"2,275",366,189,264,202,245,304,188,517
2020,12,80,"1,596",257,142,166,151,164,208,174,334
2020,12,90,251,45,19,28,20,28,39,34,38
2020,12,100,15,7,0,0,2,1,2,1,2
2021,1,총,"12,553","2,620",931,"1,279","1,055","1,275","1,362",905,"3,126"
2021,1,0,474,135,26,31,38,26,36,28,154
2021,1,10,569,185,20,41,44,44,40,28,167
2021,1,20,656,189,39,53,51,55,41,41,187
2021,1,30,701,212,43,54,46,49,54,32,211
2021,1,40,"1,012",280,53,71,84,78,87,49,310
2021,1,50,"2,211",478,180,234,186,228,241,126,538
2021,1,60,"2,780",466,222,336,230,354,308,205,659
2021,1,70,"2,267",361,191,265,200,245,305,185,515
2021,1,80,"1,621",262,139,168,154,165,211,177,345
2021,1,90,247,46,18,26,20,30,36,33,38
2021,1,100,15,6,0,0,2,1,3,1,2
2021,2,총,"12,513","2,621",924,"1,277","1,055","1,268","1,355",902,"3,111"
2021,2,0,465,134,25,32,38,25,33,27,151
2021,2,10,558,185,18,40,43,43,39,28,162
2021,2,20,647,189,40,51,50,52,41,38,186
2021,2,30,697,210,42,52,49,47,53,32,212
2021,2,40,996,281,52,71,80,79,84,46,303
2021,2,50,"2,201",476,178,227,189,225,239,130,537
2021,2,60,"2,797",470,224,342,230,353,314,203,661
2021,2,70,"2,256",360,188,264,196,248,303,187,510
2021,2,80,"1,627",263,138,171,157,164,211,175,348
2021,2,90,253,46,19,27,21,31,35,35,39
2021,2,100,16,7,0,0,2,1,3,1,2
2021,3,총,"12,463","2,616",919,"1,270","1,052","1,256","1,354",896,"3,100"
2021,3,0,459,127,25,32,40,24,33,28,150
2021,3,10,564,184,19,41,43,43,40,31,163
2021,3,20,640,191,37,51,52,50,40,36,183
2021,3,30,699,211,44,52,48,49,52,34,209
2021,3,40,992,282,50,71,81,75,84,47,302
2021,3,50,"2,173",479,172,224,189,221,234,124,530
2021,3,60,"2,803",468,227,339,228,359,313,205,664
2021,3,70,"2,226",355,186,259,191,243,306,182,504
2021,3,80,"1,640",269,139,174,156,160,213,176,353
2021,3,90,254,45,20,27,22,31,36,33,40
2021,3,100,13,5,0,0,2,1,3,0,2
2021,4,총,"12,471","2,620",920,"1,271","1,057","1,255","1,348",901,"3,099"
2021,4,0,462,126,25,34,41,23,33,28,152
2021,4,10,557,183,20,41,41,43,38,31,160
2021,4,20,644,194,38,50,53,51,41,35,182
2021,4,30,697,211,44,53,49,46,52,34,208
2021,4,40,997,282,50,71,82,76,85,51,300
2021,4,50,"2,174",482,170,223,191,219,234,126,529
2021,4,60,"2,794",467,226,338,229,361,307,202,664
2021,4,70,"2,227",355,187,258,189,245,306,185,502
2021,4,80,"1,644",270,140,174,156,158,212,175,359
2021,4,90,262,45,20,29,24,32,37,34,41
2021,4,100,13,5,0,0,2,1,3,0,2
2021,5,총,"12,445","2,616",922,"1,266","1,057","1,259","1,354",889,"3,082"
2021,5,0,461,128,25,35,40,24,34,28,147
2021,5,10,553,181,20,38,43,43,38,30,160
2021,5,20,645,195,40,52,53,50,44,33,178
2021,5,30,684,208,44,53,49,45,53,30,202
2021,5,40,999,283,50,72,79,75,85,52,303
2021,5,50,"2,152",476,170,218,194,217,236,120,521
2021,5,60,"2,803",467,227,336,229,365,308,204,667
2021,5,70,"2,217",353,184,257,189,246,305,185,498
2021,5,80,"1,655",274,142,175,156,161,211,175,361
2021,5,90,263,46,20,30,23,32,37,32,43
2021,5,100,13,5,0,0,2,1,3,0,2
2021,6,총,"12,425","2,615",921,"1,268","1,051","1,257","1,351",882,"3,080"
2021,6,0,463,131,24,35,40,25,34,28,146
2021,6,10,548,176,20,38,43,43,38,30,160
2021,6,20,643,196,39,51,53,49,43,33,179
2021,6,30,680,209,43,55,46,45,51,30,201
2021,6,40,993,281,49,71,79,75,83,52,303
2021,6,50,"2,138",474,170,220,189,212,239,120,514
2021,6,60,"2,814",469,228,336,231,368,309,202,671
2021,6,70,"2,214",353,186,257,188,248,301,183,498
2021,6,80,"1,658",276,140,174,157,160,214,174,363
2021,6,90,261,45,22,31,23,31,36,30,43
2021,6,100,13,5,0,0,2,1,3,0,2
2021,7,총,"12,422","2,606",927,"1,266","1,046","1,260","1,352",883,"3,082"
2021,7,0,464,129,24,35,39,26,34,30,147
2021,7,10,545,175,20,36,44,43,41,30,156
2021,7,20,648,196,38,53,54,50,41,33,183
2021,7,30,670,202,41,57,45,44,53,30,198
2021,7,40,993,284,51,71,78,74,83,52,300
2021,7,50,"2,127",471,172,216,187,212,238,116,515
2021,7,60,"2,836",473,229,337,230,373,311,205,678
2021,7,70,"2,200",349,190,256,188,247,299,180,491
2021,7,80,"1,665",278,140,173,153,160,214,177,370
2021,7,90,262,45,22,32,26,30,35,30,42
2021,7,100,12,4,0,0,2,1,3,0,2
2021,8,총,"12,433","2,602",924,"1,268","1,047","1,266","1,351",884,"3,091"
2021,8,0,467,130,26,35,38,27,34,30,147
2021,8,10,544,171,20,35,46,44,41,30,157
2021,8,20,643,191,35,55,56,51,40,33,182
2021,8,30,668,202,42,57,44,44,54,31,194
2021,8,40,991,286,51,70,76,75,81,52,300
2021,8,50,"2,115",468,169,211,189,209,235,117,517
2021,8,60,"2,850",474,226,341,229,376,314,203,687
2021,8,70,"2,202",352,191,255,188,248,298,179,491
2021,8,80,"1,671",278,142,176,152,160,215,177,371
2021,8,90,270,46,22,33,27,31,36,32,43
2021,8,100,12,4,0,0,2,1,3,0,2
2021,9,총,"12,400","2,602",921,"1,267","1,044","1,267","1,341",882,"3,076"
2021,9,0,464,131,26,35,37,27,31,28,149
2021,9,10,541,171,20,36,46,43,43,30,152
2021,9,20,631,185,35,54,55,50,38,33,181
2021,9,30,658,200,42,57,42,44,53,30,190
2021,9,40,986,284,50,69,77,76,80,52,298
2021,9,50,"2,109",472,166,213,185,211,231,115,516
2021,9,60,"2,857",480,223,342,232,379,316,204,681
2021,9,70,"2,198",353,193,252,189,244,296,179,492
2021,9,80,"1,671",276,144,176,152,161,213,177,372
2021,9,90,272,46,22,33,26,31,37,34,43
2021,9,100,13,4,0,0,3,1,3,0,2
2021,10,총,"12,352","2,598",915,"1,256","1,041","1,271","1,337",879,"3,055"
2021,10,0,453,133,24,32,36,27,31,27,143
2021,10,10,543,169,19,36,46,43,44,31,155
2021,10,20,629,186,35,53,57,50,38,32,178
2021,10,30,657,196,42,53,41,46,54,31,194
2021,10,40,978,286,49,71,77,75,76,51,293
2021,10,50,"2,089",469,166,211,184,212,228,115,504
2021,10,60,"2,866",484,223,341,231,380,321,203,683
2021,10,70,"2,185",353,191,251,187,242,291,180,490
2021,10,80,"1,669",272,144,173,152,165,214,177,372
2021,10,90,272,46,22,35,27,30,37,32,43
2021,10,100,11,4,0,0,3,1,3,0,0
2021,11,총,"12,321","2,590",910,"1,253","1,045","1,259","1,332",872,"3,060"
2021,11,0,445,133,22,32,36,26,31,23,142
2021,11,10,545,167,20,35,46,42,44,33,158
2021,11,20,620,186,33,50,58,50,36,31,176
2021,11,30,657,194,41,56,43,43,55,29,196
2021,11,40,966,280,49,70,75,73,76,50,293
2021,11,50,"2,084",466,164,209,189,207,227,114,508
2021,11,60,"2,875",488,224,343,228,381,321,202,688
2021,11,70,"2,183",356,190,252,189,241,288,182,485
2021,11,80,"1,670",272,145,172,153,166,215,176,371
2021,11,90,266,45,22,34,25,29,36,32,43
2021,11,100,10,3,0,0,3,1,3,0,0
2021,12,총,"12,278","2,592",902,"1,241","1,045","1,256","1,328",863,"3,051"
2021,12,0,439,135,22,30,35,26,30,21,140
2021,12,10,542,163,21,34,47,42,45,32,158
2021,12,20,614,192,32,48,58,49,36,28,171
2021,12,30,649,193,40,54,42,42,54,28,196
2021,12,40,957,282,47,69,72,75,76,47,289
2021,12,50,"2,075",465,160,209,188,207,223,116,507
2021,12,60,"2,859",483,225,338,231,378,321,201,682
2021,12,70,"2,185",360,189,252,190,241,284,180,489
2021,12,80,"1,682",271,143,174,155,167,216,179,377
2021,12,90,266,45,23,33,24,28,40,31,42
2021,12,100,10,3,0,0,3,1,3,0,0
