년도,월,나이,의왕시,고천동,부곡동,오전동,내손1동,내손2동,청계동
2021,3,20,"12,216","1,278","2,287","2,610","1,674","1,661","2,706"
2021,3,30,"11,675","1,455","2,257","2,375","1,186","1,698","2,704"
2021,3,40,"11,998",904,"2,304","2,858","1,467","1,739","2,726"
2021,3,50,"14,050",958,"2,570","3,276","2,009","1,971","3,266"
2021,3,60,"10,883","1,078","1,933","2,712","1,391","1,383","2,386"
2021,3,70,"4,287",503,897,"1,069",492,443,883
2021,3,80,"1,473",158,372,324,190,173,256
2021,3,90,164,16,35,30,23,22,38
2021,3,100,3,1,0,1,0,0,1
2021,4,총,"80,714","7,302","15,019","18,520","10,292","11,321","18,260"
2021,4,0,"6,662",469,"1,136","1,346",776,"1,196","1,739"
2021,4,10,"7,345",503,"1,235","1,944","1,074","1,071","1,518"
2021,4,20,"12,189","1,269","2,277","2,605","1,685","1,637","2,716"
2021,4,30,"11,642","1,449","2,246","2,374","1,192","1,682","2,699"
2021,4,40,"11,991",911,"2,307","2,828","1,455","1,752","2,738"
2021,4,50,"13,992",942,"2,567","3,272","1,990","1,954","3,267"
2021,4,60,"10,965","1,085","1,948","2,714","1,419","1,393","2,406"
2021,4,70,"4,280",500,895,"1,077",486,440,882
2021,4,80,"1,480",156,372,329,193,174,256
2021,4,90,165,17,36,30,22,22,38
2021,4,100,3,1,0,1,0,0,1
2021,5,총,"80,710","7,307","14,997","18,471","10,291","11,328","18,316"
2021,5,0,"6,659",476,"1,127","1,340",774,"1,199","1,743"
2021,5,10,"7,304",496,"1,227","1,930","1,066","1,072","1,513"
2021,5,20,"12,149","1,263","2,271","2,589","1,687","1,629","2,710"
2021,5,30,"11,642","1,447","2,250","2,362","1,178","1,687","2,718"
2021,5,40,"11,955",908,"2,274","2,819","1,465","1,759","2,730"
2021,5,50,"13,991",946,"2,573","3,263","1,988","1,948","3,273"
2021,5,60,"11,060","1,099","1,972","2,723","1,431","1,399","2,436"
2021,5,70,"4,287",499,892,"1,085",488,434,889
2021,5,80,"1,492",156,373,328,192,179,264
2021,5,90,168,16,38,31,22,22,39
2021,5,100,3,1,0,1,0,0,1
2021,6,총,"80,667","7,302","15,024","18,460","10,283","11,305","18,293"
2021,6,0,"6,615",475,"1,128","1,332",775,"1,184","1,721"
2021,6,10,"7,297",495,"1,226","1,935","1,060","1,075","1,506"
2021,6,20,"12,128","1,258","2,280","2,584","1,682","1,623","2,701"
2021,6,30,"11,610","1,447","2,246","2,345","1,178","1,683","2,711"
2021,6,40,"11,959",902,"2,274","2,824","1,476","1,759","2,724"
2021,6,50,"13,953",947,"2,573","3,264","1,973","1,940","3,256"
2021,6,60,"11,140","1,107","1,988","2,727","1,438","1,408","2,472"
2021,6,70,"4,291",498,896,"1,085",488,431,893
2021,6,80,"1,504",154,376,331,191,182,270
2021,6,90,167,18,37,32,22,20,38
2021,6,100,3,1,0,1,0,0,1
2021,7,총,"81,009","7,278","14,983","18,927","10,265","11,279","18,277"
2021,7,0,"6,630",474,"1,130","1,369",781,"1,172","1,704"
2021,7,10,"7,319",495,"1,224","1,980","1,038","1,082","1,500"
2021,7,20,"12,118","1,236","2,250","2,645","1,682","1,614","2,691"
2021,7,30,"11,685","1,452","2,252","2,439","1,172","1,670","2,700"
2021,7,40,"11,979",893,"2,260","2,883","1,473","1,750","2,720"
2021,7,50,"14,030",943,"2,577","3,340","1,964","1,941","3,265"
2021,7,60,"11,259","1,119","1,978","2,806","1,450","1,412","2,494"
2021,7,70,"4,299",495,898,"1,094",485,436,891
2021,7,80,"1,518",152,377,335,198,182,274
2021,7,90,169,18,37,35,22,20,37
2021,7,100,3,1,0,1,0,0,1
2021,8,총,"81,300","7,270","14,957","19,311","10,227","11,242","18,293"
2021,8,0,"6,629",479,"1,116","1,420",764,"1,164","1,686"
2021,8,10,"7,310",491,"1,227","1,996","1,015","1,077","1,504"
2021,8,20,"12,132","1,229","2,228","2,715","1,684","1,599","2,677"
2021,8,30,"11,747","1,451","2,259","2,495","1,174","1,662","2,706"
2021,8,40,"12,016",899,"2,261","2,929","1,455","1,750","2,722"
2021,8,50,"14,058",933,"2,558","3,414","1,961","1,936","3,256"
2021,8,60,"11,383","1,120","1,990","2,857","1,472","1,415","2,529"
2021,8,70,"4,320",491,901,"1,106",480,441,901
2021,8,80,"1,529",157,379,343,198,178,274
2021,8,90,173,19,38,35,24,20,37
2021,8,100,3,1,0,1,0,0,1
2021,9,총,"81,403","7,263","14,962","19,435","10,230","11,197","18,316"
2021,9,0,"6,615",479,"1,104","1,431",772,"1,159","1,670"
2021,9,10,"7,276",482,"1,216","1,999","1,009","1,070","1,500"
2021,9,20,"12,119","1,224","2,239","2,718","1,680","1,576","2,682"
2021,9,30,"11,781","1,449","2,250","2,529","1,178","1,663","2,712"
2021,9,40,"12,020",899,"2,270","2,946","1,435","1,744","2,726"
2021,9,50,"14,077",931,"2,564","3,438","1,955","1,931","3,258"
2021,9,60,"11,467","1,124","2,004","2,882","1,497","1,410","2,550"
2021,9,70,"4,333",500,900,"1,111",480,440,902
2021,9,80,"1,537",154,378,346,199,181,279
2021,9,90,175,20,37,34,25,23,36
2021,9,100,3,1,0,1,0,0,1
2021,10,총,"81,341","7,219","14,996","19,479","10,206","11,134","18,307"
2021,10,0,"6,582",472,"1,110","1,432",760,"1,147","1,661"
2021,10,10,"7,276",479,"1,210","1,994","1,012","1,072","1,509"
2021,10,20,"12,035","1,208","2,227","2,729","1,656","1,562","2,653"
2021,10,30,"11,782","1,440","2,287","2,526","1,181","1,653","2,695"
2021,10,40,"11,991",896,"2,254","2,951","1,424","1,731","2,735"
2021,10,50,"14,061",922,"2,565","3,447","1,957","1,912","3,258"
2021,10,60,"11,553","1,128","2,021","2,905","1,508","1,418","2,573"
2021,10,70,"4,333",500,903,"1,110",479,433,908
2021,10,80,"1,549",152,382,350,203,184,278
2021,10,90,177,22,37,34,26,22,36
2021,10,100,2,0,0,1,0,0,1
2021,11,총,"81,252","7,191","14,999","19,503","10,206","11,043","18,310"
2021,11,0,"6,536",469,"1,106","1,429",752,"1,123","1,657"
2021,11,10,"7,268",472,"1,205","1,989","1,016","1,073","1,513"
2021,11,20,"11,972","1,195","2,226","2,721","1,658","1,533","2,639"
2021,11,30,"11,768","1,444","2,291","2,543","1,176","1,637","2,677"
2021,11,40,"11,990",887,"2,243","2,947","1,432","1,736","2,745"
2021,11,50,"14,050",926,"2,577","3,446","1,951","1,890","3,260"
2021,11,60,"11,587","1,122","2,027","2,921","1,515","1,416","2,586"
2021,11,70,"4,325",500,899,"1,114",472,428,912
2021,11,80,"1,579",154,388,360,209,186,282
2021,11,90,176,22,37,33,25,21,38
2021,11,100,1,0,0,0,0,0,1
2021,12,총,"81,148","7,183","14,973","19,527","10,171","10,989","18,305"
2021,12,0,"6,507",465,"1,099","1,430",741,"1,117","1,655"
2021,12,10,"7,240",478,"1,201","1,986","1,007","1,064","1,504"
2021,12,20,"11,895","1,180","2,208","2,722","1,651","1,508","2,626"
2021,12,30,"11,779","1,452","2,302","2,545","1,168","1,625","2,687"
2021,12,40,"12,005",887,"2,232","2,951","1,430","1,749","2,756"
2021,12,50,"14,029",926,"2,575","3,451","1,948","1,876","3,253"
2021,12,60,"11,600","1,120","2,033","2,932","1,516","1,409","2,590"
2021,12,70,"4,318",496,895,"1,110",473,434,910
2021,12,80,"1,598",157,392,368,213,184,284
2021,12,90,176,22,36,32,24,23,39
2021,12,100,1,0,0,0,0,0,1
