년도,월,나이,강원도 원주시,강원도 원주시 문막읍,강원도 원주시 소초면,강원도 원주시 호저면,강원도 원주시 지정면,강원도 원주시 부론면,강원도 원주시 귀래면,강원도 원주시 흥업면,강원도 원주시 판부면,강원도 원주시 신림면,강원도 원주시 중앙동,강원도 원주시 원인동,강원도 원주시 개운동,강원도 원주시 명륜1동,강원도 원주시 명륜2동,강원도 원주시 단구동,강원도 원주시 일산동,강원도 원주시 학성동,강원도 원주시 단계동,강원도 원주시 우산동,강원도 원주시 태장1동,강원도 원주시 태장2동,강원도 원주시 봉산동,강원도 원주시 행구동,강원도 원주시 무실동,강원도 원주시 반곡관설동
2020,6,20,"45,222","2,115","1,024",334,"2,755",134,141,"1,486",965,226,190,760,"1,687","1,257","2,175","6,278","1,679",605,"4,337","1,962","1,064","3,021",976,926,"4,070","5,055"
2020,6,30,"45,415","1,964",726,251,"6,372",93,131,837,847,172,214,530,"1,263",797,"1,432","5,384",919,441,"3,896","1,693","1,139","2,907",692,671,"4,571","7,473"
2020,6,40,"57,451","2,976","1,026",345,"4,237",181,172,"1,193","1,180",307,294,652,"1,789","1,192","2,480","7,901","1,071",630,"4,072","2,139","1,768","4,279","1,112","1,209","6,467","8,779"
2020,6,50,"60,360","3,295","1,752",756,"2,807",407,477,"1,552","1,410",782,619,"1,016","2,476","1,801","3,146","7,396","1,468",977,"5,260","2,341","1,693","4,604","1,646","1,463","5,129","6,087"
2020,6,60,"43,651","2,434","1,765",878,"1,840",612,560,"1,448",989,993,639,868,"1,920","1,372","2,238","4,193","1,328",954,"3,552","1,783","1,320","3,191","1,485","1,052","3,202","3,035"
2020,6,70,"21,586","1,418",882,489,697,409,341,703,476,569,372,481,"1,110",771,"1,054","2,048",766,545,"1,350",916,720,"1,579",873,505,"1,248","1,264"
2020,6,80,"11,702",754,528,401,403,264,206,425,253,337,260,280,570,382,653,976,405,304,725,438,357,852,505,292,536,596
2020,6,90,"1,754",112,78,43,69,39,38,53,41,49,53,31,80,53,94,134,73,52,116,67,34,107,77,60,107,94
2020,6,100,105,5,4,0,3,2,3,2,0,0,5,4,5,4,3,8,7,3,10,4,3,3,9,6,6,6
2020,7,총,"352,726","17,910","8,718","3,773","26,500","2,270","2,195","8,743","7,248","3,624","2,791","5,208","12,899","8,812","15,801","43,216","8,713","4,991","27,755","13,736","10,158","25,123","8,355","7,591","32,980","43,616"
2020,7,0,"28,687","1,213",388,111,"4,441",43,52,442,411,59,57,232,727,410,795,"3,401",394,180,"1,992","1,098",836,"1,863",295,495,"3,378","5,374"
2020,7,10,"36,202","1,689",549,163,"2,205",92,76,641,678,124,104,368,"1,330",801,"1,741","5,298",657,309,"2,438","1,258","1,172","2,749",727,873,"4,376","5,784"
2020,7,20,"45,201","2,102","1,015",330,"2,843",135,137,"1,460",964,222,191,754,"1,667","1,234","2,173","6,298","1,661",598,"4,319","1,982","1,069","3,020",966,933,"4,051","5,077"
2020,7,30,"45,421","1,916",717,249,"6,575",91,130,833,829,176,211,529,"1,242",802,"1,418","5,406",908,442,"3,891","1,682","1,142","2,878",676,678,"4,544","7,456"
2020,7,40,"57,490","2,954","1,020",340,"4,392",179,172,"1,198","1,185",305,291,648,"1,783","1,185","2,453","7,948","1,060",630,"4,079","2,140","1,769","4,273","1,096","1,216","6,395","8,779"
2020,7,50,"60,441","3,293","1,752",762,"2,923",407,470,"1,539","1,417",786,604,"1,009","2,455","1,783","3,141","7,461","1,460",970,"5,264","2,342","1,700","4,581","1,639","1,466","5,119","6,098"
2020,7,60,"44,015","2,446","1,778",886,"1,928",614,570,"1,451",989,994,637,868,"1,920","1,382","2,261","4,222","1,326",957,"3,567","1,809","1,337","3,226","1,500","1,064","3,211","3,072"
2020,7,70,"21,638","1,422",884,486,710,405,340,697,474,571,376,482,"1,108",775,"1,069","2,048",763,547,"1,358",912,731,"1,573",872,505,"1,253","1,277"
2020,7,80,"11,765",758,530,404,408,262,207,429,260,337,260,283,579,383,654,991,405,305,722,441,363,848,500,292,543,601
2020,7,90,"1,760",111,81,42,71,40,38,51,41,50,55,31,83,53,93,135,72,50,116,68,36,109,75,63,104,92
2020,7,100,106,6,4,0,4,2,3,2,0,0,5,4,5,4,3,8,7,3,9,4,3,3,9,6,6,6
2020,8,총,"352,964","17,862","8,715","3,775","26,932","2,265","2,189","8,714","7,255","3,642","2,794","5,213","12,890","8,738","15,762","43,395","8,700","4,945","27,763","13,702","10,158","25,100","8,333","7,569","32,924","43,629"
2020,8,0,"28,583","1,208",393,111,"4,498",45,48,437,409,61,56,228,720,401,793,"3,392",397,174,"1,987","1,085",833,"1,832",289,490,"3,369","5,327"
2020,8,10,"36,157","1,662",549,159,"2,247",92,77,641,677,125,104,366,"1,330",793,"1,737","5,308",642,305,"2,434","1,251","1,173","2,735",722,863,"4,360","5,805"
2020,8,20,"45,212","2,096","1,004",329,"2,863",131,138,"1,439",970,218,190,752,"1,658","1,213","2,157","6,352","1,655",588,"4,327","1,975","1,060","3,038",967,933,"4,059","5,100"
2020,8,30,"45,394","1,892",721,253,"6,693",89,127,834,832,178,210,534,"1,239",806,"1,410","5,406",919,439,"3,879","1,674","1,142","2,857",667,686,"4,503","7,404"
2020,8,40,"57,409","2,939","1,013",338,"4,480",178,169,"1,190","1,181",304,297,642,"1,776","1,169","2,426","7,981","1,051",624,"4,067","2,138","1,759","4,253","1,090","1,200","6,371","8,773"
2020,8,50,"60,505","3,299","1,756",759,"2,966",402,468,"1,528","1,415",787,594,"1,010","2,452","1,765","3,145","7,499","1,458",964,"5,259","2,325","1,705","4,584","1,632","1,472","5,117","6,144"
2020,8,60,"44,317","2,454","1,778",890,"1,975",621,572,"1,466",993,"1,002",639,876,"1,932","1,383","2,272","4,253","1,331",951,"3,606","1,826","1,352","3,257","1,512","1,061","3,222","3,093"
2020,8,70,"21,678","1,429",883,489,724,400,341,695,475,573,381,484,"1,107",768,"1,071","2,056",762,539,"1,362",913,728,"1,581",873,505,"1,260","1,279"
2020,8,80,"11,829",766,528,404,411,265,208,431,262,343,263,286,584,381,654,"1,004",406,309,718,443,367,851,499,292,552,602
2020,8,90,"1,772",111,86,43,70,40,38,51,40,51,55,31,87,55,94,136,72,49,117,68,34,109,73,61,105,96
2020,8,100,108,6,4,0,5,2,3,2,1,0,5,4,5,4,3,8,7,3,7,4,5,3,9,6,6,6
2020,9,총,"353,189","17,833","8,680","3,777","27,192","2,260","2,172","8,731","7,217","3,636","2,780","5,201","12,876","8,736","15,725","43,583","8,677","4,919","27,794","13,702","10,165","25,113","8,299","7,564","32,850","43,707"
2020,9,0,"28,485","1,200",375,110,"4,516",44,48,442,400,60,54,227,702,401,776,"3,423",405,173,"2,005","1,070",823,"1,817",281,486,"3,335","5,312"
2020,9,10,"36,082","1,659",546,157,"2,275",91,70,662,674,125,102,356,"1,332",785,"1,728","5,328",632,303,"2,415","1,233","1,169","2,730",711,860,"4,347","5,792"
2020,9,20,"45,245","2,081",990,329,"2,873",134,139,"1,421",955,216,193,753,"1,663","1,206","2,144","6,366","1,643",584,"4,326","1,999","1,061","3,043",962,936,"4,069","5,159"
2020,9,30,"45,317","1,882",707,247,"6,744",88,120,835,828,180,207,526,"1,240",798,"1,403","5,430",924,435,"3,902","1,651","1,138","2,851",654,676,"4,471","7,380"
2020,9,40,"57,364","2,929","1,013",343,"4,552",177,166,"1,184","1,157",296,295,649,"1,759","1,172","2,411","7,977","1,036",619,"4,048","2,142","1,762","4,251","1,083","1,197","6,353","8,793"
2020,9,50,"60,614","3,298","1,751",758,"2,989",400,464,"1,542","1,428",777,589,"1,003","2,450","1,770","3,142","7,544","1,454",963,"5,250","2,337","1,699","4,605","1,632","1,476","5,128","6,165"
2020,9,60,"44,621","2,462","1,791",894,"2,025",619,573,"1,472",999,"1,007",640,881,"1,943","1,391","2,291","4,289","1,331",943,"3,643","1,839","1,367","3,268","1,520","1,068","3,240","3,125"
2020,9,70,"21,658","1,430",883,491,727,400,344,687,471,574,376,481,"1,097",758,"1,082","2,064",761,538,"1,365",910,731,"1,582",870,508,"1,254","1,274"
2020,9,80,"11,899",772,530,403,415,265,207,434,263,349,264,289,593,393,653,"1,019",412,308,712,448,374,854,500,290,545,607
2020,9,90,"1,797",114,90,45,71,40,38,50,41,52,55,32,92,58,92,135,72,50,121,69,36,109,77,61,103,94
2020,9,100,107,6,4,0,5,2,3,2,1,0,5,4,5,4,3,8,7,3,7,4,5,3,9,6,5,6
2020,10,총,"353,553","17,802","8,665","3,779","27,480","2,247","2,178","8,736","7,244","3,619","2,776","5,210","12,839","8,697","15,732","43,724","8,662","4,892","27,853","13,687","10,168","25,052","8,294","7,582","32,785","43,850"
2020,10,0,"28,377","1,189",377,112,"4,572",43,45,425,400,60,54,222,693,399,758,"3,408",410,165,"2,010","1,060",816,"1,794",275,474,"3,299","5,317"
2020,10,10,"36,025","1,639",544,158,"2,291",90,73,676,669,120,102,353,"1,318",779,"1,736","5,323",629,295,"2,422","1,228","1,172","2,703",705,861,"4,334","5,805"
2020,10,20,"45,354","2,078",980,326,"2,891",132,141,"1,420",969,208,190,758,"1,670","1,197","2,146","6,416","1,648",590,"4,331","2,005","1,059","3,037",963,939,"4,075","5,185"
2020,10,30,"45,219","1,868",709,248,"6,774",85,121,829,834,185,206,527,"1,217",793,"1,391","5,451",928,426,"3,904","1,658","1,119","2,803",658,686,"4,441","7,358"
2020,10,40,"57,315","2,921","1,007",339,"4,646",170,168,"1,192","1,156",293,294,649,"1,757","1,163","2,394","7,971","1,040",608,"4,028","2,129","1,755","4,229","1,078","1,199","6,311","8,818"
2020,10,50,"60,767","3,295","1,737",756,"3,035",402,452,"1,531","1,421",774,581,996,"2,451","1,753","3,155","7,599","1,440",966,"5,244","2,341","1,720","4,635","1,632","1,483","5,149","6,219"
2020,10,60,"44,953","2,489","1,801",902,"2,043",623,582,"1,489","1,011","1,005",653,893,"1,942","1,401","2,316","4,318","1,322",944,"3,688","1,838","1,373","3,284","1,524","1,080","3,275","3,157"
2020,10,70,"21,680","1,430",887,485,741,399,348,676,473,573,374,483,"1,101",760,"1,079","2,064",759,539,"1,382",909,735,"1,586",871,503,"1,246","1,277"
2020,10,80,"11,958",776,524,408,413,261,206,445,267,349,262,292,595,391,660,"1,031",407,306,717,444,378,869,503,294,545,615
2020,10,90,"1,794",109,95,44,69,40,39,51,43,51,55,33,89,57,95,135,72,50,120,71,36,109,76,58,104,93
2020,10,100,111,8,4,1,5,2,3,2,1,1,5,4,6,4,2,8,7,3,7,4,5,3,9,5,6,6
2020,11,총,"353,928","17,787","8,654","3,771","27,747","2,256","2,166","8,714","7,240","3,622","2,770","5,197","12,791","8,680","15,699","43,843","8,681","4,881","28,105","13,698","10,193","25,027","8,275","7,578","32,675","43,878"
2020,11,0,"28,339","1,175",370,109,"4,612",41,42,419,397,60,54,219,680,384,746,"3,409",416,168,"2,058","1,051",813,"1,788",280,467,"3,262","5,319"
2020,11,10,"35,970","1,630",555,156,"2,325",92,74,669,662,118,100,355,"1,314",787,"1,731","5,304",633,288,"2,413","1,224","1,171","2,680",702,862,"4,327","5,798"
2020,11,20,"45,391","2,092",969,324,"2,898",133,144,"1,416",983,212,191,749,"1,645","1,187","2,153","6,433","1,664",588,"4,383","2,017","1,062","3,031",950,940,"4,051","5,176"
2020,11,30,"45,234","1,848",709,248,"6,856",86,117,811,838,184,205,527,"1,223",788,"1,388","5,455",928,418,"3,974","1,658","1,116","2,789",656,680,"4,407","7,325"
2020,11,40,"57,317","2,909","1,000",339,"4,694",167,168,"1,189","1,144",297,284,652,"1,730","1,157","2,377","7,996","1,029",615,"4,043","2,135","1,765","4,217","1,077","1,197","6,299","8,837"
2020,11,50,"60,775","3,305","1,728",747,"3,067",399,447,"1,528","1,412",765,585,988,"2,445","1,746","3,144","7,635","1,435",953,"5,265","2,334","1,716","4,621","1,627","1,493","5,140","6,250"
2020,11,60,"45,320","2,505","1,813",912,"2,070",636,583,"1,500","1,025","1,009",653,898,"1,960","1,416","2,330","4,373","1,326",955,"3,734","1,850","1,390","3,319","1,524","1,084","3,275","3,180"
2020,11,70,"21,669","1,422",883,483,741,395,343,683,466,577,374,477,"1,095",763,"1,080","2,059",760,536,"1,389",916,737,"1,598",866,496,"1,254","1,276"
2020,11,80,"11,993",781,529,405,412,265,206,444,269,347,263,292,603,390,652,"1,034",413,307,718,437,382,868,505,297,550,624
2020,11,90,"1,808",112,94,47,67,40,39,52,43,52,56,36,90,58,96,137,70,50,120,72,36,113,79,57,104,88
2020,11,100,112,8,4,1,5,2,3,3,1,1,5,4,6,4,2,8,7,3,8,4,5,3,9,5,6,5
2020,12,총,"354,376","17,735","8,672","3,754","27,927","2,258","2,182","8,678","7,243","3,599","2,762","5,177","12,791","8,662","15,635","43,935","8,680","4,851","28,544","13,673","10,161","24,978","8,217","7,596","32,678","43,988"
2020,12,0,"28,302","1,159",377,111,"4,645",40,44,418,397,60,51,216,669,384,734,"3,398",411,163,"2,088","1,041",798,"1,778",277,468,"3,257","5,318"
2020,12,10,"35,918","1,613",550,153,"2,343",92,72,657,663,111,103,348,"1,312",781,"1,726","5,305",634,291,"2,440","1,222","1,158","2,669",685,866,"4,321","5,803"
2020,12,20,"45,576","2,097",977,321,"2,919",133,147,"1,412",992,212,192,746,"1,643","1,181","2,141","6,483","1,662",582,"4,471","2,015","1,073","3,014",938,938,"4,067","5,220"
2020,12,30,"45,323","1,842",717,243,"6,905",86,117,806,828,182,201,525,"1,209",790,"1,387","5,434",922,408,"4,072","1,661","1,094","2,786",652,687,"4,420","7,349"
2020,12,40,"57,215","2,882",999,339,"4,733",168,165,"1,171","1,149",287,282,647,"1,733","1,148","2,364","7,991","1,025",605,"4,084","2,120","1,753","4,202","1,055","1,193","6,291","8,829"
2020,12,50,"60,829","3,293","1,718",747,"3,079",395,453,"1,532","1,411",761,584,982,"2,445","1,746","3,117","7,672","1,434",950,"5,345","2,325","1,722","4,625","1,626","1,495","5,106","6,266"
2020,12,60,"45,593","2,527","1,833",909,"2,078",643,589,"1,506","1,025","1,013",654,902,"1,973","1,420","2,346","4,402","1,333",956,"3,791","1,866","1,394","3,332","1,517","1,095","3,288","3,201"
2020,12,70,"21,636","1,418",870,483,743,390,343,676,462,572,372,471,"1,105",763,"1,076","2,060",771,531,"1,401",909,739,"1,581",865,495,"1,260","1,280"
2020,12,80,"12,062",784,533,398,410,270,211,445,269,348,264,300,605,390,648,"1,040",415,311,725,438,387,873,514,298,558,628
2020,12,90,"1,810",112,94,49,67,39,39,52,46,52,54,36,91,55,94,142,65,51,119,72,38,115,79,56,104,89
2020,12,100,112,8,4,1,5,2,2,3,1,1,5,4,6,4,2,8,8,3,8,4,5,3,9,5,6,5
2021,1,총,"354,664","17,684","8,626","3,731","28,135","2,251","2,182","8,619","7,267","3,579","2,760","5,169","12,768","8,640","15,625","44,084","8,663","4,836","28,650","13,677","10,136","24,955","8,202","7,645","32,697","44,083"
2021,1,0,"28,236","1,143",370,112,"4,690",38,43,413,395,60,49,210,666,394,726,"3,388",403,166,"2,082","1,037",782,"1,775",276,472,"3,239","5,307"
2021,1,10,"35,852","1,599",529,148,"2,389",94,73,642,664,110,105,351,"1,311",766,"1,703","5,307",632,287,"2,430","1,226","1,155","2,647",682,874,"4,321","5,807"
2021,1,20,"45,621","2,081",968,322,"2,892",126,147,"1,382",999,201,196,744,"1,627","1,169","2,173","6,545","1,656",580,"4,490","2,011","1,058","3,042",926,947,"4,079","5,260"
2021,1,30,"45,234","1,826",712,231,"6,910",86,115,794,836,181,202,515,"1,199",786,"1,367","5,436",928,405,"4,100","1,648","1,091","2,765",656,705,"4,374","7,366"
2021,1,40,"57,160","2,870",984,341,"4,805",169,163,"1,153","1,149",281,282,650,"1,721","1,137","2,363","7,984","1,013",604,"4,079","2,120","1,758","4,172","1,045","1,188","6,306","8,823"
2021,1,50,"60,832","3,304","1,713",733,"3,105",394,451,"1,541","1,417",750,577,964,"2,444","1,737","3,113","7,707","1,444",939,"5,337","2,309","1,719","4,622","1,627","1,491","5,120","6,274"
2021,1,60,"45,951","2,535","1,848",908,"2,106",639,591,"1,516","1,029","1,015",656,915,"1,989","1,430","2,359","4,439","1,322",957,"3,863","1,896","1,409","3,354","1,522","1,108","3,319","3,226"
2021,1,70,"21,681","1,412",863,488,749,394,347,673,459,579,370,475,"1,105",765,"1,083","2,069",770,528,"1,415",915,730,"1,584",859,503,"1,265","1,281"
2021,1,80,"12,149",795,541,398,415,270,212,446,272,348,264,305,610,394,643,"1,059",421,316,731,436,390,875,520,296,560,632
2021,1,90,"1,838",111,94,49,69,39,38,56,46,53,54,36,91,58,93,142,66,51,115,74,40,116,81,56,108,102
2021,1,100,110,8,4,1,5,2,2,3,1,1,5,4,5,4,2,8,8,3,8,5,4,3,8,5,6,5
2021,2,총,"354,933","17,678","8,594","3,722","28,286","2,253","2,199","8,575","7,288","3,566","2,749","5,177","12,700","8,608","15,586","44,238","8,658","4,823","28,768","13,604","10,146","24,914","8,171","7,673","32,737","44,220"
2021,2,0,"28,150","1,131",362,109,"4,720",40,45,402,403,57,51,208,648,390,724,"3,385",405,164,"2,080","1,012",787,"1,759",276,478,"3,206","5,308"
2021,2,10,"35,824","1,601",521,147,"2,426",92,81,639,671,113,101,349,"1,307",767,"1,689","5,303",641,287,"2,439","1,215","1,142","2,650",664,871,"4,305","5,803"
2021,2,20,"45,429","2,078",954,317,"2,869",128,143,"1,355",977,196,188,752,"1,602","1,143","2,180","6,546","1,641",563,"4,490","2,002","1,053","3,026",920,942,"4,100","5,264"
2021,2,30,"45,253","1,802",719,238,"6,933",90,116,787,859,174,198,512,"1,179",783,"1,357","5,463",929,400,"4,137","1,599","1,100","2,745",654,710,"4,368","7,401"
2021,2,40,"57,093","2,865",950,336,"4,843",166,164,"1,136","1,141",271,277,644,"1,717","1,149","2,324","8,001","1,017",606,"4,082","2,113","1,746","4,160","1,037","1,198","6,306","8,844"
2021,2,50,"60,873","3,314","1,712",722,"3,106",394,454,"1,532","1,417",750,575,963,"2,438","1,711","3,112","7,743","1,439",937,"5,340","2,320","1,728","4,592","1,616","1,479","5,156","6,323"
2021,2,60,"46,393","2,553","1,868",917,"2,144",635,591,"1,537","1,037","1,027",663,929,"1,991","1,449","2,380","4,509","1,322",962,"3,925","1,912","1,416","3,392","1,522","1,133","3,329","3,250"
2021,2,70,"21,676","1,412",868,484,753,395,352,670,457,574,367,472,"1,109",762,"1,082","2,051",765,528,"1,410",912,736,"1,586",869,506,"1,275","1,281"
2021,2,80,"12,265",800,540,401,419,273,213,459,275,351,270,304,613,392,643,"1,082",425,321,738,439,395,885,522,293,576,636
2021,2,90,"1,865",114,96,50,68,38,38,55,50,52,54,40,91,57,93,146,66,52,119,75,39,116,83,58,110,105
2021,2,100,112,8,4,1,5,2,2,3,1,1,5,4,5,5,2,9,8,3,8,5,4,3,8,5,6,5
2021,3,총,"354,437","17,645","8,507","3,695","28,363","2,251","2,178","8,596","7,248","3,547","2,673","5,099","12,711","8,538","15,500","44,272","8,588","4,735","28,831","13,556","10,106","24,853","8,099","7,694","32,811","44,341"
2021,3,0,"28,073","1,131",350,109,"4,730",40,44,404,398,58,51,202,649,396,720,"3,382",400,163,"2,080","1,014",781,"1,729",272,483,"3,171","5,316"
2021,3,10,"35,646","1,593",515,140,"2,450",90,86,635,659,112,102,344,"1,305",756,"1,675","5,270",633,284,"2,419","1,206","1,129","2,627",660,865,"4,320","5,771"
2021,3,20,"45,265","2,057",929,314,"2,827",136,140,"1,344",972,196,185,733,"1,600","1,124","2,133","6,566","1,642",543,"4,494","1,994","1,051","3,022",912,939,"4,121","5,291"
2021,3,30,"45,254","1,797",708,238,"6,931",88,118,802,856,176,193,516,"1,191",782,"1,358","5,470",916,392,"4,183","1,591","1,103","2,723",644,716,"4,366","7,396"
2021,3,40,"56,873","2,843",941,327,"4,879",165,159,"1,132","1,110",269,268,624,"1,713","1,128","2,301","7,978","1,008",590,"4,060","2,121","1,732","4,147","1,024","1,204","6,302","8,848"
2021,3,50,"60,723","3,304","1,692",712,"3,133",377,441,"1,535","1,430",732,553,942,"2,430","1,694","3,101","7,753","1,419",929,"5,346","2,290","1,711","4,578","1,578","1,479","5,188","6,376"
