년도,월,나이,경상북도 청송군,경상북도 청송군 청송읍,경상북도 청송군 주왕산면,경상북도 청송군 부남면,경상북도 청송군 현동면,경상북도 청송군 현서면,경상북도 청송군 안덕면,경상북도 청송군 파천면,경상북도 청송군 진보면
2021,9,80,895,138,65,116,83,119,113,80,181
2021,9,90,66,8,3,6,7,8,13,11,10
2021,9,100,3,0,0,1,0,0,0,0,2
2021,10,총,"12,253","2,530",906,"1,225","1,036","1,224","1,246",873,"3,213"
2021,10,0,482,143,22,34,38,29,41,25,150
2021,10,10,617,176,33,51,52,50,52,21,182
2021,10,20,953,254,51,76,80,61,63,47,321
2021,10,30,899,245,65,59,54,68,64,57,287
2021,10,40,"1,303",308,87,94,110,99,107,81,417
2021,10,50,"2,418",523,177,253,229,230,257,145,604
2021,10,60,"2,842",476,257,323,217,357,317,260,635
2021,10,70,"1,782",261,146,212,166,204,218,146,429
2021,10,80,888,137,65,116,82,118,112,79,179
2021,10,90,68,7,3,6,8,8,15,12,9
2021,10,100,1,0,0,1,0,0,0,0,0
2021,11,총,"12,269","2,525",905,"1,227","1,040","1,230","1,250",876,"3,216"
2021,11,0,476,141,20,35,38,30,40,23,149
2021,11,10,619,177,33,50,51,50,53,22,183
2021,11,20,953,251,51,75,81,62,64,47,322
2021,11,30,908,248,67,61,52,70,65,55,290
2021,11,40,"1,291",305,85,93,111,99,105,82,411
2021,11,50,"2,408",519,180,249,228,228,257,144,603
2021,11,60,"2,856",472,257,325,220,360,321,262,639
2021,11,70,"1,793",268,145,215,168,205,216,149,427
2021,11,80,892,137,64,114,83,118,114,80,182
2021,11,90,72,7,3,9,8,8,15,12,10
2021,11,100,1,0,0,1,0,0,0,0,0
2021,12,총,"12,261","2,516",906,"1,220","1,046","1,238","1,246",878,"3,211"
2021,12,0,478,141,19,36,38,30,40,24,150
2021,12,10,607,171,35,47,50,51,52,21,180
2021,12,20,958,253,54,76,83,60,66,48,318
2021,12,30,905,241,67,62,51,70,64,56,294
2021,12,40,"1,282",300,84,92,112,103,106,81,404
2021,12,50,"2,396",518,177,248,228,226,254,145,600
2021,12,60,"2,875",479,255,323,224,367,321,261,645
2021,12,70,"1,785",265,147,212,166,206,214,151,424
2021,12,80,901,141,65,114,86,117,114,79,185
2021,12,90,73,7,3,9,8,8,15,12,11
2021,12,100,1,0,0,1,0,0,0,0,0
