년도,월,나이,나주시,남평읍,세지면,왕곡면,반남면,공산면,동강면,다시면,문평면,노안면,금천면,산포면,다도면,봉황면,송월동,영강동,금남동,성북동,영산동,이창동,빛가람동
2020,5,100,48,3,4,2,0,4,0,2,1,4,4,0,0,4,1,0,4,1,4,9,1
2020,6,총,"56,806","6,071","1,372","1,454",771,"1,201","1,285","1,817","1,027","2,308","2,120","1,673",928,"2,095","3,936","1,410","2,544","4,555","1,693","1,685","16,861"
2020,6,0,"4,944",560,33,45,13,45,27,35,20,43,68,48,17,63,329,78,103,389,49,78,"2,901"
2020,6,10,"4,548",385,74,68,28,62,37,63,29,94,103,73,29,90,427,114,159,459,165,113,"1,976"
2020,6,20,"5,722",585,97,124,38,67,72,107,52,160,171,135,46,149,544,156,248,599,129,161,"2,082"
2020,6,30,"7,013",830,62,60,29,59,49,73,38,104,140,103,46,113,480,135,191,522,104,121,"3,754"
2020,6,40,"7,102",748,72,92,43,91,65,108,53,140,167,140,54,130,627,189,288,683,130,169,"3,113"
2020,6,50,"7,839","1,000",202,213,119,161,187,287,153,378,325,282,155,275,616,219,428,704,264,252,"1,619"
2020,6,60,"7,707",901,268,287,169,234,252,379,203,498,407,339,194,426,414,213,439,549,304,313,918
2020,6,70,"6,526",599,284,284,154,252,323,379,236,445,428,294,206,465,280,175,428,389,313,269,323
2020,6,80,"4,588",402,226,242,151,205,242,328,204,362,255,221,159,327,195,106,219,220,205,168,151
2020,6,90,769,58,50,37,27,21,31,56,38,80,52,38,22,53,23,25,37,40,26,32,23
2020,6,100,48,3,4,2,0,4,0,2,1,4,4,0,0,4,1,0,4,1,4,9,1
2020,7,총,"56,796","6,063","1,364","1,447",764,"1,205","1,284","1,811","1,022","2,309","2,115","1,671",924,"2,100","3,916","1,410","2,552","4,526","1,688","1,681","16,944"
2020,7,0,"4,938",560,30,45,13,46,28,33,20,43,67,48,17,64,328,81,106,384,50,77,"2,898"
2020,7,10,"4,544",388,74,66,27,62,37,64,28,93,101,70,29,91,424,111,158,457,164,113,"1,987"
2020,7,20,"5,729",573,95,119,38,67,72,108,53,161,175,134,48,149,540,159,248,587,129,161,"2,113"
2020,7,30,"6,975",832,60,60,27,60,50,71,38,102,137,103,44,112,475,129,197,518,103,122,"3,735"
2020,7,40,"7,127",749,74,89,43,91,64,109,52,141,165,142,52,130,612,191,290,683,129,167,"3,154"
2020,7,50,"7,821",993,201,214,118,159,185,282,146,377,327,282,154,274,620,216,427,701,263,248,"1,634"
2020,7,60,"7,718",904,266,287,167,235,251,379,207,500,405,337,195,426,420,216,436,549,304,315,919
2020,7,70,"6,540",600,286,284,153,250,321,380,236,449,428,294,203,465,283,178,431,388,313,267,331
2020,7,80,"4,585",402,225,243,151,209,246,324,205,361,254,223,159,330,190,103,219,218,202,170,151
2020,7,90,770,59,49,38,27,22,30,59,36,77,51,38,23,55,23,26,36,41,27,32,21
2020,7,100,49,3,4,2,0,4,0,2,1,5,5,0,0,4,1,0,4,0,4,9,1
2020,8,총,"56,846","6,087","1,358","1,447",754,"1,191","1,283","1,814","1,016","2,302","2,110","1,672",925,"2,090","3,924","1,398","2,541","4,511","1,684","1,673","17,066"
2020,8,0,"4,931",567,30,44,13,46,27,31,19,40,67,49,17,64,331,83,106,378,50,73,"2,896"
2020,8,10,"4,529",390,73,65,25,61,36,63,26,92,99,72,29,88,426,108,153,453,157,108,"2,005"
2020,8,20,"5,741",574,91,116,37,65,72,107,50,158,175,134,45,144,536,156,249,589,132,165,"2,146"
2020,8,30,"6,953",832,60,61,25,58,53,73,39,102,131,102,45,109,464,128,195,512,102,119,"3,743"
2020,8,40,"7,154",749,73,89,44,89,64,107,51,138,164,138,54,133,622,185,284,680,127,163,"3,200"
2020,8,50,"7,817",996,199,214,113,155,177,281,145,375,323,282,155,274,625,214,428,704,262,246,"1,649"
2020,8,60,"7,774",911,268,289,168,238,257,388,205,499,413,341,197,424,421,215,439,546,305,321,929
2020,8,70,"6,532",603,287,285,151,249,320,381,238,449,425,292,201,467,283,178,430,388,313,267,325
2020,8,80,"4,588",403,224,243,151,204,247,319,206,365,255,223,160,331,192,105,217,218,203,170,152
2020,8,90,778,59,48,39,27,22,30,62,36,79,53,39,22,52,23,26,37,43,29,32,20
2020,8,100,49,3,5,2,0,4,0,2,1,5,5,0,0,4,1,0,3,0,4,9,1
2020,9,총,"56,890","6,049","1,349","1,432",751,"1,187","1,277","1,805","1,017","2,303","2,111","1,672",922,"2,086","3,904","1,396","2,527","4,516","1,671","1,665","17,250"
2020,9,0,"4,924",561,31,40,11,44,26,34,20,40,66,51,17,64,327,83,105,379,50,71,"2,904"
2020,9,10,"4,515",382,73,62,25,59,34,61,26,90,97,70,29,86,425,111,149,452,150,105,"2,029"
2020,9,20,"5,742",561,89,114,35,66,67,104,49,156,177,133,45,140,528,153,245,606,130,166,"2,178"
2020,9,30,"6,947",820,59,60,24,57,53,72,37,108,128,104,44,109,460,128,194,496,103,116,"3,775"
2020,9,40,"7,174",745,70,87,45,87,64,107,52,138,167,138,53,134,616,183,282,673,123,162,"3,248"
2020,9,50,"7,805",988,195,212,112,152,172,277,145,370,324,280,154,275,622,217,422,705,262,244,"1,677"
2020,9,60,"7,822",917,269,290,169,241,261,388,206,504,413,345,196,424,423,212,443,556,306,323,936
2020,9,70,"6,523",605,288,282,152,252,321,380,237,447,424,289,203,463,284,178,429,385,310,265,329
2020,9,80,"4,606",409,224,244,151,203,248,319,208,367,255,224,159,336,194,102,218,221,201,171,152
2020,9,90,782,58,46,39,27,22,31,61,36,78,55,38,22,51,24,29,37,43,32,32,21
2020,9,100,50,3,5,2,0,4,0,2,1,5,5,0,0,4,1,0,3,0,4,10,1
2020,10,총,"57,101","6,032","1,346","1,419",748,"1,185","1,275","1,792","1,019","2,302","2,107","1,660",923,"2,074","3,893","1,379","2,523","4,470","1,663","1,678","17,613"
2020,10,0,"4,929",557,30,38,10,44,26,32,20,40,65,46,15,61,324,82,104,367,48,70,"2,950"
2020,10,10,"4,534",377,73,62,24,59,33,59,25,87,97,69,28,84,430,109,148,440,143,106,"2,081"
2020,10,20,"5,766",566,89,111,38,66,65,102,50,159,176,133,47,133,520,149,247,599,130,170,"2,216"
2020,10,30,"6,949",803,59,56,20,55,56,68,35,108,123,103,46,106,455,127,192,485,103,118,"3,831"
2020,10,40,"7,232",752,70,88,43,84,62,106,52,137,170,135,55,130,618,184,281,666,121,165,"3,313"
2020,10,50,"7,838",983,190,212,110,155,171,276,147,372,318,277,154,276,619,213,417,705,260,241,"1,742"
2020,10,60,"7,858",920,274,285,171,239,261,383,206,505,416,344,194,427,427,212,445,554,308,329,958
2020,10,70,"6,535",611,286,278,153,252,318,381,237,438,426,291,205,466,285,174,428,390,309,264,343
2020,10,80,"4,625",402,224,246,152,204,252,325,210,374,255,226,157,336,190,100,220,218,204,173,157
2020,10,90,783,58,46,41,27,23,31,57,36,77,55,36,22,51,24,29,38,46,33,32,21
2020,10,100,52,3,5,2,0,4,0,3,1,5,6,0,0,4,1,0,3,0,4,10,1
2020,11,총,"57,190","5,994","1,330","1,411",743,"1,175","1,270","1,796","1,015","2,294","2,090","1,648",922,"2,070","3,863","1,385","2,505","4,472","1,646","1,674","17,887"
2020,11,0,"4,950",553,28,37,10,41,26,32,20,41,63,42,15,59,312,81,104,365,46,69,"3,006"
2020,11,10,"4,529",371,70,60,25,60,33,61,24,87,93,67,28,84,433,110,141,437,138,104,"2,103"
2020,11,20,"5,777",561,91,112,37,62,66,103,51,155,169,131,46,133,512,147,245,604,130,170,"2,252"
2020,11,30,"6,958",795,56,54,19,53,54,65,37,107,122,104,43,107,437,128,189,482,98,118,"3,890"
2020,11,40,"7,251",744,66,87,42,85,61,108,52,134,170,128,56,128,617,187,282,666,120,161,"3,357"
2020,11,50,"7,826",976,190,208,109,152,166,272,145,368,316,275,155,275,623,215,411,709,256,241,"1,764"
2020,11,60,"7,902",925,269,284,170,240,266,386,205,509,417,348,190,426,426,213,444,556,310,331,987
2020,11,70,"6,551",614,286,278,152,252,316,386,235,438,427,291,210,467,289,170,431,392,308,263,346
2020,11,80,"4,607",395,223,247,153,203,248,324,209,371,254,228,157,335,189,104,217,212,203,175,160
2020,11,90,785,57,46,41,26,23,34,56,36,79,53,34,22,52,23,30,38,49,33,32,21
2020,11,100,54,3,5,3,0,4,0,3,1,5,6,0,0,4,2,0,3,0,4,10,1
2020,12,총,"57,419","5,976","1,332","1,398",738,"1,164","1,264","1,793","1,010","2,282","2,074","1,651",921,"2,064","3,870","1,368","2,493","4,456","1,645","1,660","18,260"
2020,12,0,"4,978",549,24,29,10,40,26,32,20,40,59,44,13,59,308,77,105,363,46,69,"3,065"
2020,12,10,"4,533",365,71,58,25,60,33,62,23,84,93,67,29,84,439,104,140,432,139,103,"2,122"
2020,12,20,"5,834",552,90,112,36,62,69,104,52,154,170,139,47,135,516,145,239,595,127,165,"2,325"
2020,12,30,"6,991",786,54,54,19,52,52,63,37,109,119,102,39,103,433,126,188,474,94,119,"3,968"
2020,12,40,"7,298",739,67,86,43,82,59,106,49,125,170,127,57,124,610,178,286,673,122,159,"3,436"
2020,12,50,"7,839",977,190,205,108,147,165,270,146,373,315,266,155,278,626,216,408,701,259,234,"1,800"
2020,12,60,"7,960",930,275,287,166,243,266,388,204,509,410,350,193,429,430,216,440,562,312,337,"1,013"
2020,12,70,"6,536",620,283,274,150,251,310,387,234,436,430,292,209,460,294,170,425,396,304,260,351
2020,12,80,"4,615",398,224,249,155,199,250,322,209,370,252,229,156,338,190,107,220,211,205,174,157
2020,12,90,781,57,49,41,26,24,34,56,34,77,50,35,23,51,22,29,39,48,33,30,23
2020,12,100,54,3,5,3,0,4,0,3,2,5,6,0,0,3,2,0,3,1,4,10,0
2021,1,총,"57,548","5,965","1,328","1,392",743,"1,164","1,262","1,793","1,010","2,267","2,062","1,648",923,"2,048","3,859","1,359","2,464","4,425","1,651","1,646","18,539"
2021,1,0,"4,953",549,24,27,9,41,26,33,20,38,55,45,13,52,303,76,102,349,48,65,"3,078"
2021,1,10,"4,602",369,71,54,27,60,33,64,23,83,94,67,27,83,444,102,138,430,150,98,"2,185"
2021,1,20,"5,813",548,87,112,36,59,67,100,53,148,172,137,51,132,509,141,229,581,125,164,"2,362"
2021,1,30,"6,959",775,52,54,18,56,50,64,37,103,115,98,38,101,431,129,187,462,91,119,"3,979"
2021,1,40,"7,343",734,67,85,44,81,60,107,48,129,171,128,57,119,605,168,284,675,120,157,"3,504"
2021,1,50,"7,852",976,193,206,109,145,164,268,145,373,306,269,154,277,629,216,398,706,257,233,"1,828"
2021,1,60,"8,012",937,273,288,166,243,264,389,205,508,414,351,193,430,428,219,442,560,316,335,"1,051"
2021,1,70,"6,514",613,281,272,150,250,310,383,233,433,424,284,207,461,298,171,421,399,302,259,363
2021,1,80,"4,650",400,225,251,157,201,252,327,210,369,255,236,158,338,188,108,219,213,204,174,165
2021,1,90,793,61,50,40,27,24,36,55,34,78,49,33,25,52,22,29,40,48,34,32,24
2021,1,100,57,3,5,3,0,4,0,3,2,5,7,0,0,3,2,0,4,2,4,10,0
2021,2,총,"57,806","5,986","1,326","1,388",748,"1,152","1,255","1,796","1,010","2,264","2,059","1,645",917,"2,048","3,854","1,359","2,454","4,420","1,650","1,650","18,825"
2021,2,0,"4,970",547,24,26,9,41,26,34,21,39,56,45,12,52,299,77,98,346,47,64,"3,107"
2021,2,10,"4,621",372,72,53,30,60,32,63,24,81,94,62,29,83,439,100,136,428,143,99,"2,221"
2021,2,20,"5,825",558,85,108,37,56,64,99,51,149,169,135,49,126,512,143,228,576,123,166,"2,391"
2021,2,30,"6,967",766,55,54,18,50,49,65,39,106,115,101,39,102,423,126,179,451,96,125,"4,008"
2021,2,40,"7,446",741,67,84,44,80,60,109,49,128,172,122,57,118,604,172,283,672,120,157,"3,607"
2021,2,50,"7,870",975,191,207,111,144,163,266,142,366,304,272,148,281,629,212,399,713,255,230,"1,862"
2021,2,60,"8,064",947,270,290,163,242,261,392,205,510,413,354,191,429,434,220,446,569,319,334,"1,075"
2021,2,70,"6,511",612,284,268,151,250,310,384,232,433,419,283,209,463,300,171,420,401,301,255,365
2021,2,80,"4,674",403,223,254,156,201,254,324,212,370,260,238,158,339,187,110,220,215,207,178,165
2021,2,90,802,62,50,41,29,24,36,57,33,77,50,33,25,53,25,28,41,47,35,32,24
2021,2,100,56,3,5,3,0,4,0,3,2,5,7,0,0,2,2,0,4,2,4,10,0
2021,3,총,"57,597","5,964","1,305","1,372",737,"1,149","1,252","1,780","1,006","2,236","2,035","1,614",899,"2,032","3,851","1,365","2,430","4,362","1,625","1,598","18,985"
2021,3,0,"4,953",535,26,24,9,44,27,34,20,38,54,43,11,50,297,78,99,336,46,62,"3,120"
2021,3,10,"4,620",373,71,54,27,58,32,64,25,82,95,64,31,85,428,100,140,427,142,96,"2,226"
2021,3,20,"5,844",564,84,108,37,58,63,99,51,146,166,133,46,125,525,140,225,566,122,166,"2,420"
2021,3,30,"6,939",755,53,51,16,49,47,64,38,106,110,96,38,95,418,131,174,443,94,125,"4,036"
2021,3,40,"7,400",732,62,82,44,82,61,105,50,119,166,118,51,116,602,168,280,662,115,158,"3,627"
2021,3,50,"7,849",967,196,204,111,142,163,265,141,364,298,266,147,281,629,213,391,699,248,215,"1,909"
2021,3,60,"8,027",956,262,287,160,238,260,386,206,502,415,344,189,430,432,227,444,570,310,324,"1,085"
2021,3,70,"6,441",612,280,262,147,246,310,378,226,429,420,284,202,450,299,167,413,397,299,247,373
2021,3,80,"4,693",403,221,257,157,203,251,326,213,370,262,235,159,344,194,112,221,216,213,171,165
2021,3,90,804,66,48,41,29,25,38,57,34,78,47,31,24,54,25,29,42,44,36,32,24
2021,3,100,27,1,2,2,0,4,0,2,2,2,2,0,1,2,2,0,1,2,0,2,0
2021,4,총,"57,727","5,989","1,302","1,372",729,"1,150","1,248","1,776","1,006","2,241","2,024","1,615",896,"2,026","3,871","1,360","2,426","4,347","1,615","1,602","19,132"
2021,4,0,"4,943",533,26,24,9,44,26,34,20,37,53,45,11,48,302,75,99,331,45,61,"3,120"
2021,4,10,"4,635",374,69,55,23,57,33,65,26,79,93,64,31,86,432,99,137,421,138,97,"2,256"
2021,4,20,"5,871",568,82,109,36,58,60,97,51,145,163,131,46,120,534,134,227,574,124,167,"2,445"
2021,4,30,"6,983",768,53,49,16,49,48,64,41,110,107,95,35,92,425,133,175,439,96,122,"4,066"
2021,4,40,"7,400",729,62,82,44,83,60,104,49,118,167,115,52,116,603,168,274,658,114,162,"3,640"
2021,4,50,"7,866",969,193,201,111,145,161,269,138,366,295,269,149,280,628,214,392,698,244,216,"1,928"
2021,4,60,"8,030",960,265,287,157,236,258,383,204,504,413,342,188,432,426,224,446,568,309,323,"1,105"
2021,4,70,"6,439",615,278,262,148,244,312,377,226,427,418,287,198,450,299,169,412,393,298,246,380
2021,4,80,"4,717",405,224,258,156,204,251,324,213,372,267,235,161,345,195,115,221,218,210,174,169
2021,4,90,817,67,48,43,29,26,39,57,36,81,47,32,24,55,25,29,42,45,37,32,23
2021,4,100,26,1,2,2,0,4,0,2,2,2,1,0,1,2,2,0,1,2,0,2,0
2021,5,총,"57,772","5,980","1,305","1,366",727,"1,144","1,241","1,772","1,002","2,240","2,019","1,610",901,"2,016","3,877","1,347","2,403","4,349","1,611","1,593","19,269"
2021,5,0,"4,932",536,26,25,9,43,25,33,19,35,54,42,12,43,301,73,99,325,43,62,"3,127"
2021,5,10,"4,656",375,68,54,23,58,34,64,27,80,91,65,31,84,419,96,131,424,137,98,"2,297"
2021,5,20,"5,865",545,84,102,36,56,57,97,50,145,161,129,46,118,551,133,218,582,119,167,"2,469"
2021,5,30,"6,962",776,51,51,15,48,46,64,40,108,105,92,37,88,426,130,175,433,97,118,"4,062"
2021,5,40,"7,397",724,62,81,43,83,59,103,49,115,169,118,52,113,595,167,269,654,113,162,"3,666"
2021,5,50,"7,856",964,194,205,111,144,163,262,130,367,292,264,147,281,631,211,387,704,238,212,"1,949"
2021,5,60,"8,082",965,266,287,155,234,258,388,211,504,414,345,190,432,428,228,445,570,316,322,"1,124"
2021,5,70,"6,418",612,280,258,146,241,309,378,219,424,419,287,198,455,303,165,413,390,296,243,382
2021,5,80,"4,758",414,224,259,161,206,253,325,219,381,264,234,162,345,196,115,221,222,215,173,169
2021,5,90,821,68,48,42,28,27,37,56,36,79,49,34,25,55,25,29,44,44,37,34,24
2021,5,100,25,1,2,2,0,4,0,2,2,2,1,0,1,2,2,0,1,1,0,2,0
2021,6,총,"57,751","5,994","1,297","1,363",723,"1,142","1,232","1,769",998,"2,230","2,018","1,606",900,"2,010","3,870","1,337","2,397","4,339","1,610","1,591","19,325"
2021,6,0,"4,908",532,26,25,9,41,26,32,19,36,53,43,12,42,297,73,98,322,43,57,"3,122"
2021,6,10,"4,674",386,68,54,24,58,31,61,25,80,91,64,32,83,411,96,134,430,138,99,"2,309"
2021,6,20,"5,833",532,80,100,34,55,57,96,51,144,158,125,44,116,564,132,217,572,117,164,"2,475"
2021,6,30,"6,926",781,51,50,16,47,46,64,40,106,107,92,36,88,416,126,174,430,95,119,"4,042"
2021,6,40,"7,407",723,62,80,42,85,57,102,48,111,165,116,52,111,594,162,264,654,111,160,"3,708"
2021,6,50,"7,817",961,188,200,110,143,157,260,127,361,290,262,146,276,622,212,389,703,242,219,"1,949"
2021,6,60,"8,152",979,268,292,156,235,261,395,210,504,419,347,191,439,441,229,441,568,314,321,"1,142"
2021,6,70,"6,415",617,278,256,146,241,306,373,222,424,421,288,199,449,305,165,412,392,294,243,384
2021,6,80,"4,769",414,226,262,159,206,254,330,216,381,264,235,162,349,193,112,221,224,219,173,169
2021,6,90,825,68,48,42,27,27,37,54,38,81,49,34,25,55,25,30,46,43,37,34,25
2021,6,100,25,1,2,2,0,4,0,2,2,2,1,0,1,2,2,0,1,1,0,2,0
2021,7,총,"57,813","6,009","1,288","1,364",720,"1,135","1,229","1,764",998,"2,227","2,008","1,594",896,"2,010","3,863","1,340","2,396","4,334","1,618","1,585","19,435"
2021,7,0,"4,882",529,24,25,9,39,27,35,19,35,50,42,11,43,293,74,99,320,45,56,"3,107"
2021,7,10,"4,689",388,66,54,24,57,31,62,25,79,91,64,32,82,408,94,132,427,134,99,"2,340"
2021,7,20,"5,818",531,80,100,34,56,57,93,48,141,156,120,45,119,566,130,212,566,118,164,"2,482"
2021,7,30,"6,941",785,50,50,16,46,45,61,41,106,108,92,35,89,410,127,177,433,98,118,"4,054"
2021,7,40,"7,446",724,59,80,41,84,56,106,49,115,166,115,50,110,593,162,265,656,110,159,"3,746"
2021,7,50,"7,799",956,187,199,111,139,157,258,127,358,284,258,143,278,627,217,384,698,245,215,"1,958"
2021,7,60,"8,211",988,270,291,156,237,259,397,210,505,419,350,194,437,444,230,446,577,314,323,"1,164"
2021,7,70,"6,404",623,276,256,145,240,305,370,220,423,421,284,197,447,305,163,411,386,297,246,389
2021,7,80,"4,773",414,228,265,158,203,254,328,220,381,262,236,163,347,191,115,223,229,219,169,168
2021,7,90,825,70,46,42,26,30,38,52,37,82,50,33,25,56,24,28,46,41,38,34,27
2021,7,100,25,1,2,2,0,4,0,2,2,2,1,0,1,2,2,0,1,1,0,2,0
2021,8,총,"57,826","6,026","1,290","1,357",722,"1,133","1,230","1,764",990,"2,210","2,018","1,588",896,"2,013","3,882","1,332","2,395","4,303","1,613","1,575","19,489"
2021,8,0,"4,864",537,24,27,10,38,30,34,19,33,51,40,12,44,286,70,97,315,44,56,"3,097"
2021,8,10,"4,694",394,67,53,25,57,28,60,25,76,93,63,32,79,407,90,133,419,132,97,"2,364"
2021,8,20,"5,803",524,76,100,33,56,61,92,45,140,160,115,44,122,581,128,209,560,118,163,"2,476"
2021,8,30,"6,932",788,53,49,17,46,45,62,40,102,109,91,36,91,410,122,176,422,99,117,"4,057"
2021,8,40,"7,463",725,63,77,42,83,55,105,48,113,169,117,49,108,598,166,265,648,109,153,"3,770"
2021,8,50,"7,789",958,185,195,110,136,155,260,126,351,279,254,144,277,631,217,384,698,243,219,"1,967"
2021,8,60,"8,244",993,271,291,155,239,264,396,211,504,425,353,194,440,449,231,446,582,311,321,"1,168"
2021,8,70,"6,390",620,273,256,146,240,298,371,220,422,420,283,197,449,302,162,412,385,296,245,393
2021,8,80,"4,792",417,229,264,158,205,255,328,217,386,261,238,162,345,192,118,226,232,223,168,168
2021,8,90,828,69,47,43,26,29,39,54,36,81,49,34,25,56,24,28,46,41,38,34,29
2021,8,100,27,1,2,2,0,4,0,2,3,2,2,0,1,2,2,0,1,1,0,2,0
2021,9,총,"57,835","6,008","1,279","1,356",721,"1,128","1,221","1,762",984,"2,201","2,009","1,583",896,"2,007","3,889","1,330","2,395","4,318","1,600","1,558","19,590"
