년도,월,나이,경기도 시흥시,경기도 시흥시 대야동,경기도 시흥시 신천동,경기도 시흥시 신현동,경기도 시흥시 은행동,경기도 시흥시 매화동,경기도 시흥시 목감동,경기도 시흥시 군자동,경기도 시흥시 월곶동,경기도 시흥시 정왕본동,경기도 시흥시 정왕1동,경기도 시흥시 정왕2동,경기도 시흥시 정왕3동,경기도 시흥시 정왕4동,경기도 시흥시 배곧동,경기도 시흥시 과림동,경기도 시흥시 연성동,경기도 시흥시 장곡동,경기도 시흥시 능곡동,경기도 시흥시 배곧1동,경기도 시흥시 배곧2동
2020,3,30,"73,786","5,197","4,029","1,062","7,954","1,185","9,020","2,933","2,349","4,332","3,656","4,346","3,374","2,534","15,293",196,"2,622","1,723","1,981",,
2020,3,40,"87,157","5,291","5,819","1,450","8,213","2,112","7,364","4,025","3,085","4,305","4,708","6,327","4,669","4,010","13,834",195,"4,681","3,757","3,312",,
2020,3,50,"83,756","7,160","8,346","2,321","8,223","2,521","5,826","4,170","2,553","3,802","4,361","5,962","4,483","4,312","8,209",479,"4,724","3,161","3,143",,
2020,3,60,"41,747","4,190","4,622","1,523","4,107","1,523","4,144","2,625","1,618","1,623","1,954","2,238","2,062","1,414","3,262",520,"1,897",914,"1,511",,
2020,3,70,"18,330","1,755","2,039",729,"1,621",852,"1,747","1,276",797,650,748,"1,001",848,723,967,222,"1,051",494,810,,
2020,3,80,"8,320",876,859,361,763,425,719,578,323,247,302,513,382,392,340,81,521,245,393,,
2020,3,90,"1,194",128,120,42,110,48,110,79,48,34,43,49,72,45,49,19,79,46,73,,
2020,3,100,91,9,19,8,6,4,14,10,2,3,2,1,1,2,1,2,5,1,1,,
2020,4,총,"478,464","36,339","37,568","10,275","48,822","12,446","43,166","22,745","15,549","20,560","22,616","32,058","23,092","21,670","70,128","1,975","24,403","17,372","17,680",,
2020,4,0,"46,774","2,745","1,912",522,"5,840",769,"6,469","1,752","1,505","1,235","1,471","2,646","1,821","1,769","11,316",52,"1,919","1,599","1,432",,
2020,4,10,"49,540","3,169","3,655",814,"5,283","1,286","3,426","2,333","1,495","1,156","1,995","3,767","2,195","2,827","7,604",59,"3,213","2,898","2,365",,
2020,4,20,"66,812","5,649","6,052","1,462","6,471","1,739","4,273","2,993","1,687","3,178","3,384","5,145","3,140","3,638","9,072",154,"3,687","2,518","2,570",,
2020,4,30,"73,826","5,242","4,047","1,066","8,013","1,180","8,999","2,903","2,365","4,316","3,637","4,349","3,346","2,527","15,293",196,"2,625","1,723","1,999",,
2020,4,40,"87,224","5,299","5,808","1,430","8,282","2,096","7,388","4,006","3,103","4,282","4,697","6,333","4,673","4,004","13,928",190,"4,639","3,740","3,326",,
2020,4,50,"84,006","7,210","8,359","2,314","8,250","2,514","5,840","4,168","2,572","3,793","4,372","5,974","4,518","4,305","8,249",476,"4,749","3,174","3,169",,
2020,4,60,"42,179","4,232","4,674","1,523","4,153","1,529","4,173","2,638","1,644","1,657","1,963","2,281","2,081","1,434","3,308",524,"1,909",925,"1,531",,
2020,4,70,"18,409","1,769","2,054",730,"1,633",854,"1,757","1,275",802,654,752,998,857,723,961,224,"1,052",498,816,,
2020,4,80,"8,387",882,867,363,776,426,716,587,325,251,301,512,388,396,345,80,526,250,396,,
2020,4,90,"1,213",133,120,43,114,49,111,80,49,35,42,51,72,45,51,18,79,46,75,,
2020,4,100,94,9,20,8,7,4,14,10,2,3,2,2,1,2,1,2,5,1,1,,
2020,5,총,"479,368","36,482","37,576","10,225","49,303","12,453","43,149","22,726","15,566","20,475","22,633","32,063","23,040","21,650","70,224","1,972","24,377","17,323","18,131",,
2020,5,0,"46,665","2,772","1,892",511,"5,895",767,"6,412","1,745","1,490","1,229","1,457","2,626","1,807","1,752","11,276",51,"1,907","1,586","1,490",,
2020,5,10,"49,454","3,147","3,630",812,"5,310","1,281","3,426","2,326","1,484","1,166","1,984","3,742","2,181","2,802","7,632",60,"3,190","2,879","2,402",,
2020,5,20,"66,914","5,651","6,059","1,444","6,517","1,735","4,274","2,965","1,707","3,161","3,425","5,147","3,129","3,644","9,063",151,"3,685","2,512","2,645",,
2020,5,30,"73,832","5,277","4,054","1,041","8,101","1,176","8,958","2,904","2,359","4,263","3,624","4,365","3,327","2,527","15,228",193,"2,621","1,713","2,101",,
2020,5,40,"87,240","5,315","5,770","1,425","8,392","2,083","7,410","3,987","3,105","4,259","4,667","6,270","4,689","3,983","14,003",185,"4,602","3,730","3,365",,
2020,5,50,"84,394","7,215","8,382","2,312","8,291","2,533","5,836","4,181","2,590","3,791","4,390","6,021","4,501","4,317","8,309",482,"4,796","3,182","3,265",,
2020,5,60,"42,571","4,288","4,711","1,528","4,245","1,540","4,204","2,654","1,646","1,668","1,991","2,309","2,089","1,447","3,334",525,"1,909",922,"1,561",,
2020,5,70,"18,545","1,783","2,067",740,"1,655",859,"1,785","1,287",809,649,745,"1,003",853,727,975,223,"1,060",498,827,,
2020,5,80,"8,430",891,870,359,776,422,718,587,326,252,304,522,390,404,352,82,524,254,397,,
2020,5,90,"1,227",134,120,45,114,53,111,80,48,34,44,56,73,45,51,18,78,46,77,,
2020,5,100,96,9,21,8,7,4,15,10,2,3,2,2,1,2,1,2,5,1,1,,
2020,6,총,"481,430","38,533","37,401","10,185","49,196","12,405","43,067","22,687","15,702","20,368","22,576","32,075","23,114","21,594","70,330","1,955","24,309","17,308","18,625",,
2020,6,0,"46,723","2,945","1,870",500,"5,953",761,"6,370","1,731","1,493","1,205","1,451","2,601","1,814","1,723","11,254",50,"1,890","1,569","1,543",,
2020,6,10,"49,437","3,308","3,559",804,"5,268","1,257","3,412","2,302","1,486","1,171","1,968","3,715","2,177","2,797","7,676",55,"3,182","2,862","2,438",,
2020,6,20,"67,202","6,001","6,027","1,435","6,421","1,720","4,251","2,974","1,737","3,127","3,427","5,156","3,150","3,632","9,064",148,"3,689","2,523","2,720",,
2020,6,30,"74,141","5,657","4,048","1,032","8,124","1,161","8,925","2,884","2,373","4,236","3,589","4,382","3,317","2,511","15,179",185,"2,605","1,713","2,220",,
2020,6,40,"87,594","5,646","5,714","1,413","8,408","2,064","7,434","3,974","3,134","4,230","4,664","6,275","4,693","3,970","14,057",187,"4,568","3,717","3,446",,
2020,6,50,"84,680","7,606","8,337","2,293","8,184","2,538","5,784","4,185","2,610","3,767","4,379","6,025","4,524","4,312","8,349",478,"4,794","3,182","3,333",,
2020,6,60,"43,200","4,500","4,764","1,548","4,266","1,560","4,254","2,673","1,670","1,705","2,012","2,337","2,115","1,461","3,355",527,"1,912",938,"1,603",,
2020,6,70,"18,651","1,808","2,072",746,"1,684",855,"1,790","1,288",816,639,737,"1,004",856,737,985,224,"1,063",503,844,,
2020,6,80,"8,479",919,871,361,767,430,721,586,333,251,305,524,394,406,358,81,519,253,400,,
2020,6,90,"1,227",133,119,45,114,55,111,80,48,34,42,54,73,43,52,18,82,47,77,,
2020,6,100,96,10,20,8,7,4,15,10,2,3,2,2,1,2,1,2,5,1,1,,
2020,7,총,"484,164","40,203","37,190","10,128","49,138","12,305","42,978","22,616","15,801","20,408","22,477","32,022","23,054","21,595","70,325","1,946","24,226","19,137","18,615",,
2020,7,0,"47,011","3,124","1,853",487,"5,973",748,"6,330","1,706","1,497","1,210","1,413","2,568","1,800","1,736","11,238",49,"1,862","1,878","1,539",,
2020,7,10,"49,490","3,430","3,519",794,"5,242","1,249","3,407","2,302","1,485","1,171","1,950","3,697","2,167","2,776","7,689",49,"3,148","2,997","2,418",,
2020,7,20,"67,392","6,267","5,985","1,425","6,345","1,693","4,243","2,958","1,755","3,139","3,401","5,141","3,130","3,624","9,036",154,"3,667","2,730","2,699",,
2020,7,30,"74,718","5,963","4,035","1,014","8,172","1,147","8,861","2,847","2,387","4,225","3,570","4,374","3,315","2,510","15,084",178,"2,601","2,205","2,230",,
2020,7,40,"88,002","5,901","5,652","1,396","8,396","2,042","7,442","3,974","3,138","4,247","4,650","6,262","4,656","3,951","14,141",185,"4,529","4,017","3,423",,
2020,7,50,"85,087","7,911","8,264","2,284","8,134","2,515","5,785","4,168","2,626","3,768","4,379","6,025","4,520","4,324","8,358",473,"4,802","3,397","3,354",,
2020,7,60,"43,788","4,663","4,797","1,568","4,285","1,556","4,272","2,696","1,697","1,724","2,017","2,361","2,146","1,469","3,387",535,"1,936","1,062","1,617",,
2020,7,70,"18,819","1,853","2,078",749,"1,701",866,"1,792","1,291",828,639,746,"1,016",855,744,980,225,"1,069",535,852,,
2020,7,80,"8,517",941,865,359,767,427,720,583,337,248,305,525,390,415,359,79,526,266,405,,
2020,7,90,"1,244",140,122,44,116,58,112,81,49,34,44,51,74,44,52,17,81,48,77,,
2020,7,100,96,10,20,8,7,4,14,10,2,3,2,2,1,2,1,2,5,2,1,,
2020,8,총,"489,077","42,218","36,900","10,086","49,054","12,220","42,587","22,498","15,870","20,413","22,324","31,991","23,030","21,517","70,305","1,934","23,936","23,720","18,474",,
2020,8,0,"47,612","3,351","1,802",474,"5,961",739,"6,193","1,661","1,481","1,193","1,400","2,550","1,786","1,719","11,166",51,"1,803","2,783","1,499",,
2020,8,10,"49,714","3,544","3,447",789,"5,223","1,236","3,365","2,276","1,477","1,167","1,918","3,676","2,162","2,756","7,719",43,"3,082","3,436","2,398",,
2020,8,20,"68,002","6,554","5,949","1,421","6,321","1,680","4,198","2,961","1,781","3,154","3,363","5,144","3,136","3,624","9,065",154,"3,633","3,177","2,687",,
2020,8,30,"75,635","6,397","3,993","1,001","8,128","1,124","8,689","2,806","2,382","4,209","3,532","4,380","3,301","2,479","14,955",174,"2,585","3,280","2,220",,
2020,8,40,"88,844","6,196","5,562","1,379","8,415","2,028","7,413","3,937","3,168","4,238","4,626","6,218","4,643","3,936","14,211",182,"4,424","4,917","3,351",,
2020,8,50,"85,774","8,244","8,239","2,263","8,108","2,490","5,771","4,166","2,632","3,782","4,356","6,056","4,501","4,302","8,367",472,"4,770","3,904","3,351",,
2020,8,60,"44,596","4,924","4,825","1,593","4,289","1,562","4,301","2,718","1,722","1,742","2,028","2,367","2,177","1,496","3,428",534,"1,955","1,297","1,638",,
2020,8,70,"18,909","1,887","2,074",750,"1,710",863,"1,792","1,295",832,642,747,"1,017",856,740,978,224,"1,071",586,845,,
2020,8,80,"8,627",963,868,361,775,437,734,589,343,248,308,527,392,422,360,81,527,286,406,,
2020,8,90,"1,267",148,121,47,116,57,117,79,50,35,45,54,75,42,55,16,81,51,78,,
2020,8,100,97,10,20,8,8,4,14,10,2,3,1,2,1,1,1,3,5,3,1,,
2020,9,총,"493,005","43,606","36,721","10,046","49,040","12,195","42,415","22,422","15,906","20,393","22,510","31,980","22,976","21,452","70,266","1,929","23,857","26,807","18,484",,
2020,9,0,"47,983","3,499","1,777",474,"5,974",733,"6,111","1,651","1,459","1,192","1,377","2,515","1,777","1,711","11,101",51,"1,786","3,298","1,497",,
2020,9,10,"49,900","3,613","3,399",787,"5,196","1,239","3,332","2,270","1,466","1,152","1,950","3,661","2,151","2,746","7,746",43,"3,033","3,739","2,377",,
2020,9,20,"68,523","6,739","5,906","1,411","6,290","1,664","4,185","2,939","1,794","3,165","3,545","5,156","3,118","3,604","9,047",156,"3,629","3,493","2,682",,
2020,9,30,"76,326","6,715","3,984",992,"8,125","1,123","8,655","2,775","2,392","4,156","3,505","4,346","3,271","2,467","14,852",173,"2,581","3,970","2,244",,
2020,9,40,"89,432","6,430","5,497","1,369","8,411","1,993","7,353","3,930","3,162","4,252","4,645","6,206","4,634","3,913","14,259",180,"4,372","5,498","3,328",,
2020,9,50,"86,434","8,441","8,223","2,248","8,110","2,498","5,782","4,147","2,655","3,783","4,344","6,083","4,513","4,312","8,392",466,"4,776","4,282","3,379",,
2020,9,60,"45,241","5,087","4,847","1,603","4,320","1,572","4,330","2,731","1,746","1,754","2,037","2,392","2,188","1,502","3,459",539,"1,982","1,495","1,657",,
2020,9,70,"19,067","1,935","2,066",744,"1,714",869,"1,801","1,298",834,651,749,"1,025",855,737,988,219,"1,084",663,835,,
2020,9,80,"8,704",979,882,362,777,441,735,588,342,248,311,541,393,418,363,81,523,312,408,,
2020,9,90,"1,300",158,121,48,117,59,117,83,54,37,45,53,75,41,58,18,86,54,76,,
2020,9,100,95,10,19,8,6,4,14,10,2,3,2,2,1,1,1,3,5,3,1,,
2020,10,총,"495,391","44,263","36,622","10,044","49,328","12,206","42,400","22,350","15,969","20,307","22,423","31,928","22,919","21,434","70,525","1,934","23,839","28,283","18,617",,
2020,10,0,"47,996","3,528","1,762",470,"5,991",729,"6,085","1,625","1,456","1,177","1,366","2,493","1,772","1,688","11,087",50,"1,772","3,457","1,488",,
2020,10,10,"49,970","3,656","3,368",775,"5,234","1,232","3,332","2,265","1,474","1,143","1,933","3,628","2,139","2,759","7,788",46,"2,993","3,823","2,382",,
2020,10,20,"68,799","6,817","5,895","1,418","6,307","1,657","4,190","2,938","1,816","3,142","3,568","5,146","3,098","3,589","9,054",158,"3,658","3,643","2,705",,
2020,10,30,"76,517","6,835","3,964",992,"8,130","1,114","8,586","2,747","2,391","4,130","3,447","4,326","3,240","2,469","14,863",172,"2,571","4,270","2,270",,
2020,10,40,"89,853","6,509","5,458","1,364","8,508","1,987","7,386","3,922","3,183","4,229","4,648","6,193","4,590","3,913","14,358",181,"4,338","5,750","3,336",,
2020,10,50,"86,891","8,568","8,184","2,238","8,147","2,517","5,766","4,130","2,669","3,782","4,316","6,099","4,538","4,295","8,446",467,"4,793","4,525","3,411",,
2020,10,60,"45,955","5,226","4,887","1,621","4,385","1,596","4,369","2,743","1,746","1,769","2,039","2,416","2,212","1,522","3,493",537,"2,022","1,684","1,688",,
2020,10,70,"19,230","1,973","2,075",747,"1,725",871,"1,819","1,292",832,641,744,"1,033",859,737,"1,009",220,"1,077",732,844,,
2020,10,80,"8,771",982,889,364,775,439,735,595,348,255,314,536,394,419,366,82,523,338,417,,
2020,10,90,"1,311",159,120,47,120,60,118,83,50,36,46,56,76,42,60,18,87,58,75,,
2020,10,100,98,10,20,8,6,4,14,10,4,3,2,2,1,1,1,3,5,3,1,,
2020,11,총,"497,925","44,457","36,575","10,033","50,490","12,172","42,355","22,289","15,998","20,255","22,380","31,910","22,890","21,370","70,667","1,924","23,903","29,605","18,652",,
2020,11,0,"47,956","3,528","1,740",469,"6,088",719,"6,032","1,610","1,442","1,170","1,336","2,476","1,758","1,669","11,060",46,"1,755","3,566","1,492",,
2020,11,10,"50,093","3,645","3,333",769,"5,351","1,219","3,345","2,248","1,477","1,140","1,934","3,623","2,131","2,736","7,830",48,"2,982","3,905","2,377",,
2020,11,20,"69,205","6,836","5,902","1,415","6,435","1,660","4,204","2,916","1,824","3,146","3,622","5,130","3,092","3,603","9,080",160,"3,702","3,773","2,705",,
2020,11,30,"76,791","6,880","3,950",991,"8,333","1,099","8,543","2,743","2,410","4,071","3,406","4,338","3,211","2,449","14,830",171,"2,599","4,453","2,314",,
2020,11,40,"90,216","6,557","5,435","1,357","8,705","1,978","7,405","3,912","3,195","4,234","4,625","6,149","4,595","3,871","14,434",179,"4,313","5,966","3,306",,
2020,11,50,"87,388","8,590","8,173","2,233","8,359","2,499","5,753","4,123","2,676","3,788","4,305","6,097","4,538","4,308","8,462",463,"4,821","4,803","3,397",,
2020,11,60,"46,630","5,275","4,924","1,630","4,564","1,614","4,379","2,752","1,741","1,770","2,054","2,463","2,232","1,544","3,532",535,"2,047","1,861","1,713",,
2020,11,70,"19,384","1,997","2,091",750,"1,738",875,"1,820","1,303",832,644,736,"1,030",858,733,"1,004",217,"1,067",836,853,,
2020,11,80,"8,826",979,888,361,786,444,735,591,345,252,311,543,397,417,375,84,523,376,419,,
2020,11,90,"1,337",160,119,50,126,61,125,81,51,37,49,59,77,39,59,18,88,63,75,,
2020,11,100,99,10,20,8,5,4,14,10,5,3,2,2,1,1,1,3,6,3,1,,
2020,12,총,"500,895","44,563","36,478","10,010","52,252","12,151","42,392","22,196","15,995","20,261","22,479","31,931","22,856","21,343","70,787","1,922","23,903","30,184","19,192",,
2020,12,0,"48,317","3,504","1,708",465,"6,517",707,"6,023","1,589","1,422","1,158","1,322","2,465","1,741","1,656","11,030",46,"1,752","3,617","1,595",,
2020,12,10,"50,147","3,619","3,299",765,"5,454","1,214","3,353","2,229","1,492","1,134","1,929","3,595","2,134","2,727","7,879",47,"2,963","3,945","2,369",,
2020,12,20,"69,580","6,855","5,909","1,409","6,542","1,658","4,220","2,894","1,834","3,163","3,736","5,125","3,081","3,587","9,092",162,"3,691","3,840","2,782",,
2020,12,30,"77,446","6,891","3,924",988,"8,897","1,097","8,506","2,723","2,378","4,050","3,412","4,342","3,197","2,442","14,788",166,"2,606","4,536","2,503",,
2020,12,40,"90,660","6,578","5,383","1,349","9,013","1,965","7,413","3,894","3,200","4,229","4,598","6,151","4,586","3,859","14,519",177,"4,295","6,068","3,383",,
2020,12,50,"87,624","8,600","8,165","2,223","8,437","2,484","5,763","4,112","2,680","3,780","4,292","6,133","4,533","4,321","8,464",466,"4,837","4,885","3,449",,
2020,12,60,"47,233","5,343","4,952","1,633","4,692","1,636","4,403","2,770","1,752","1,789","2,080","2,479","2,242","1,560","3,582",537,"2,075","1,957","1,751",,
2020,12,70,"19,517","2,010","2,095",752,"1,774",875,"1,827","1,301",837,657,746,"1,036",862,729,"1,003",216,"1,069",873,855,,
2020,12,80,"8,918",988,904,365,791,448,746,592,345,260,311,546,400,422,371,83,522,393,431,,
2020,12,90,"1,357",165,119,53,131,63,124,82,51,38,51,57,79,39,58,19,87,67,74,,
2020,12,100,96,10,20,8,4,4,14,10,4,3,2,2,1,1,1,3,6,3,0,,
2021,1,총,"504,935","44,604","36,349","9,975","54,610","12,144","42,325","22,130","16,029","20,270","22,482","31,942","22,870","21,348","70,930","1,930","23,825","30,484","20,688",,
2021,1,0,"48,875","3,464","1,658",455,"7,104",698,"5,959","1,569","1,412","1,156","1,310","2,437","1,736","1,646","10,997",43,"1,726","3,619","1,886",,
2021,1,10,"50,397","3,592","3,265",755,"5,660","1,206","3,336","2,214","1,492","1,127","1,921","3,592","2,127","2,729","7,902",50,"2,923","3,987","2,519",,
2021,1,20,"69,859","6,824","5,878","1,394","6,641","1,656","4,228","2,890","1,847","3,201","3,742","5,124","3,092","3,586","9,074",166,"3,710","3,875","2,931",,
2021,1,30,"78,212","6,933","3,901",991,"9,548","1,093","8,440","2,704","2,381","4,041","3,396","4,320","3,165","2,417","14,703",163,"2,576","4,554","2,886",,
2021,1,40,"91,425","6,586","5,332","1,323","9,479","1,949","7,420","3,875","3,205","4,213","4,592","6,143","4,602","3,852","14,646",178,"4,251","6,128","3,651",,
2021,1,50,"88,019","8,590","8,150","2,227","8,584","2,480","5,756","4,094","2,683","3,756","4,303","6,164","4,529","4,331","8,518",464,"4,827","4,945","3,618",,
2021,1,60,"48,041","5,414","5,026","1,646","4,831","1,657","4,464","2,791","1,770","1,812","2,111","2,518","2,265","1,591","3,642",542,"2,113","2,024","1,824",,
2021,1,70,"19,639","2,027","2,087",751,"1,819",884,"1,832","1,306",838,662,741,"1,030",870,732,"1,018",220,"1,077",885,860,,
2021,1,80,"8,995",996,915,372,801,452,749,595,345,262,312,550,401,425,371,83,528,401,437,,
2021,1,90,"1,376",169,116,53,138,65,127,81,52,37,52,62,82,38,58,18,89,63,76,,
2021,1,100,97,9,21,8,5,4,14,11,4,3,2,2,1,1,1,3,5,3,0,,
2021,2,총,"507,681","44,723","36,288","9,971","55,508","12,116","42,200","22,051","16,022","20,350","22,522","31,981","22,938","21,375","70,977","1,959","23,791","30,707","22,202",,
2021,2,0,"49,158","3,476","1,622",445,"7,354",687,"5,888","1,546","1,394","1,148","1,302","2,397","1,735","1,645","10,913",43,"1,707","3,656","2,200",,
2021,2,10,"50,504","3,574","3,248",758,"5,714","1,192","3,331","2,204","1,489","1,120","1,911","3,566","2,133","2,728","7,961",52,"2,913","3,977","2,633",,
2021,2,20,"70,032","6,825","5,862","1,393","6,642","1,648","4,222","2,866","1,851","3,244","3,777","5,151","3,082","3,591","9,050",165,"3,682","3,901","3,080",,
2021,2,30,"78,618","6,947","3,902",961,"9,791","1,090","8,353","2,688","2,351","4,060","3,373","4,330","3,161","2,423","14,585",168,"2,582","4,612","3,241",,
2021,2,40,"91,918","6,602","5,275","1,330","9,671","1,948","7,432","3,849","3,195","4,208","4,585","6,122","4,628","3,864","14,737",183,"4,223","6,141","3,925",,
2021,2,50,"88,422","8,624","8,144","2,213","8,623","2,469","5,754","4,078","2,707","3,770","4,327","6,193","4,545","4,321","8,573",472,"4,824","4,991","3,794",,
2021,2,60,"48,753","5,458","5,090","1,680","4,929","1,672","4,490","2,818","1,785","1,841","2,126","2,561","2,298","1,611","3,692",548,"2,160","2,071","1,923",,
2021,2,70,"19,708","2,034","2,084",753,"1,828",888,"1,837","1,308",841,660,743,"1,032",869,729,"1,029",224,"1,085",889,875,,
2021,2,80,"9,078","1,004",922,376,805,452,752,600,353,259,322,563,407,423,374,84,526,405,451,,
2021,2,90,"1,388",170,117,54,146,66,127,83,52,37,54,63,78,39,62,16,84,61,79,,
2021,2,100,102,9,22,8,5,4,14,11,4,3,2,3,2,1,1,4,5,3,1,,
2021,3,총,"509,115","44,725","36,301","9,978","55,731","12,133","42,229","22,052","16,026","20,328","22,571","32,064","22,935","21,371","71,063","1,988","23,771","30,895","22,954",,
2021,3,0,"49,124","3,478","1,612",442,"7,337",680,"5,855","1,533","1,385","1,133","1,297","2,394","1,723","1,651","10,906",40,"1,699","3,658","2,301",,
2021,3,10,"50,509","3,547","3,223",749,"5,728","1,185","3,338","2,198","1,479","1,119","1,955","3,551","2,127","2,703","8,001",53,"2,878","3,980","2,695",,
2021,3,20,"70,166","6,812","5,872","1,403","6,655","1,650","4,204","2,874","1,873","3,243","3,796","5,175","3,065","3,583","9,055",162,"3,678","3,912","3,154",,
2021,3,30,"78,787","6,964","3,907",966,"9,800","1,100","8,361","2,667","2,357","4,013","3,378","4,346","3,143","2,433","14,531",173,"2,586","4,652","3,410",,
2021,3,40,"91,950","6,576","5,254","1,304","9,710","1,944","7,454","3,851","3,181","4,221","4,554","6,125","4,618","3,829","14,767",180,"4,180","6,160","4,042",,
2021,3,50,"88,589","8,611","8,117","2,225","8,631","2,472","5,714","4,087","2,701","3,765","4,322","6,216","4,563","4,324","8,592",476,"4,823","5,048","3,902",,
2021,3,60,"49,553","5,516","5,150","1,691","5,055","1,690","4,559","2,840","1,802","1,862","2,145","2,598","2,336","1,649","3,745",567,"2,216","2,121","2,011",,
2021,3,70,"19,725","2,031","2,090",757,"1,832",894,"1,843","1,301",838,664,741,"1,023",871,727,"1,029",228,"1,075",888,893,,
2021,3,80,"9,192","1,009",936,378,831,448,759,605,353,265,328,564,406,431,373,87,546,408,465,,
2021,3,90,"1,417",174,117,54,146,66,128,85,53,40,53,69,81,40,63,18,85,65,80,,
2021,3,100,103,7,23,9,6,4,14,11,4,3,2,3,2,1,1,4,5,3,1,,
