년도,월,나이,인천광역시 중구,인천광역시 중구 연안동,인천광역시 중구 신포동,인천광역시 중구 신흥동,인천광역시 중구 도원동,인천광역시 중구 율목동,인천광역시 중구 동인천동,인천광역시 중구 북성동,인천광역시 중구 송월동,인천광역시 중구 영종동,인천광역시 중구 영종1동,인천광역시 중구 운서동,인천광역시 중구 용유동,인천광역시 중구 개항동
2020,5,총,"138,535","6,460","5,216","13,442","4,129","3,464","6,016","2,957","4,621","15,531","42,702","29,832","4,165",
2020,5,0,"12,184",262,236,913,148,129,202,95,213,968,"7,151","1,773",94,
2020,5,10,"12,543",384,362,"1,148",309,217,304,162,346,"1,235","4,568","3,383",125,
2020,5,20,"19,306",656,553,"1,641",431,384,647,305,529,"2,158","4,026","7,693",283,
2020,5,30,"21,283",645,500,"1,682",426,326,696,263,470,"2,236","9,131","4,604",304,
2020,5,40,"24,393",900,836,"2,092",596,501,795,407,628,"2,561","9,027","5,533",517,
2020,5,50,"20,029","1,356",913,"2,293",749,651,"1,139",542,861,"2,722","4,302","3,547",954,
2020,5,60,"15,393","1,259",816,"1,940",719,620,"1,095",559,783,"2,182","2,712","1,674","1,034",
2020,5,70,"9,156",649,620,"1,183",522,437,723,418,540,973,"1,315","1,166",610,
2020,5,80,"3,571",287,313,464,191,161,335,170,205,407,418,419,201,
2020,5,90,598,58,60,81,35,33,68,27,34,76,50,38,38,
2020,5,100,79,4,7,5,3,5,12,9,12,13,2,2,5,
2020,6,총,"138,783","6,426","5,235","13,462","4,109","3,439","6,024","2,949","4,618","15,531","42,900","29,944","4,146",
2020,6,0,"12,184",261,240,910,149,123,204,96,216,962,"7,169","1,761",93,
2020,6,10,"12,552",376,358,"1,150",307,220,302,159,342,"1,227","4,600","3,384",127,
2020,6,20,"19,308",650,557,"1,635",428,378,648,308,532,"2,146","4,038","7,714",274,
2020,6,30,"21,320",643,504,"1,688",418,320,691,258,476,"2,250","9,135","4,641",296,
2020,6,40,"24,410",881,836,"2,091",595,501,794,406,622,"2,551","9,078","5,538",517,
2020,6,50,"20,077","1,354",910,"2,304",740,636,"1,142",543,856,"2,721","4,356","3,570",945,
2020,6,60,"15,482","1,264",820,"1,946",723,630,"1,095",556,784,"2,199","2,725","1,700","1,040",
2020,6,70,"9,191",651,632,"1,184",521,430,732,414,539,981,"1,327","1,172",608,
2020,6,80,"3,572",284,311,469,190,163,335,171,204,405,416,422,202,
2020,6,90,607,58,61,79,35,33,68,29,35,76,54,40,39,
2020,6,100,80,4,6,6,3,5,13,9,12,13,2,2,5,
2020,7,총,"139,042","6,390","5,245","13,463","4,106","3,424","6,012","2,934","4,598","15,551","43,117","30,065","4,137",
2020,7,0,"12,190",263,244,902,149,120,204,93,211,968,"7,189","1,753",94,
2020,7,10,"12,546",374,362,"1,144",303,214,295,158,339,"1,218","4,627","3,392",120,
2020,7,20,"19,315",642,559,"1,647",432,372,652,305,533,"2,140","4,054","7,700",279,
2020,7,30,"21,331",636,509,"1,674",413,316,673,254,471,"2,248","9,169","4,678",290,
2020,7,40,"24,419",885,826,"2,080",585,498,800,405,616,"2,543","9,121","5,541",519,
2020,7,50,"20,192","1,343",905,"2,307",745,643,"1,140",542,857,"2,749","4,395","3,629",937,
2020,7,60,"15,544","1,261",826,"1,953",728,629,"1,105",554,781,"2,195","2,744","1,727","1,041",
2020,7,70,"9,205",642,631,"1,190",523,432,728,417,536,995,"1,327","1,177",607,
2020,7,80,"3,609",281,318,481,190,163,335,168,206,404,430,428,205,
2020,7,90,611,59,59,79,35,32,67,29,36,78,59,38,40,
2020,7,100,80,4,6,6,3,5,13,9,12,13,2,2,5,
2020,8,총,"139,154","6,362","5,277","13,387","4,113","3,402","5,999","2,921","4,570","15,619","43,158","30,194","4,152",
2020,8,0,"12,114",255,247,880,147,118,209,90,210,959,"7,160","1,744",95,
2020,8,10,"12,535",376,365,"1,131",298,210,294,152,334,"1,224","4,636","3,392",123,
2020,8,20,"19,291",629,556,"1,630",446,374,639,303,521,"2,145","4,070","7,696",282,
2020,8,30,"21,331",630,516,"1,650",406,311,667,250,467,"2,244","9,157","4,743",290,
2020,8,40,"24,430",880,825,"2,070",583,495,799,407,615,"2,549","9,144","5,539",524,
2020,8,50,"20,242","1,333",906,"2,295",747,640,"1,140",529,850,"2,786","4,410","3,674",932,
2020,8,60,"15,640","1,271",832,"1,967",734,620,"1,104",561,781,"2,213","2,761","1,750","1,046",
2020,8,70,"9,232",642,641,"1,199",524,436,730,423,530,993,"1,322","1,183",609,
2020,8,80,"3,649",282,323,482,188,162,338,168,215,415,439,432,205,
2020,8,90,612,60,60,77,37,32,66,29,35,78,57,40,41,
2020,8,100,78,4,6,6,3,4,13,9,12,13,2,1,5,
2020,9,총,"139,299","6,332","5,240","13,395","4,102","3,394","5,979","2,914","4,553","15,658","43,268","30,330","4,134",
2020,9,0,"12,062",251,246,872,146,115,204,91,204,956,"7,133","1,749",95,
2020,9,10,"12,566",369,360,"1,138",290,212,296,149,334,"1,233","4,674","3,391",120,
2020,9,20,"19,240",641,547,"1,634",449,369,632,301,515,"2,133","4,063","7,672",284,
2020,9,30,"21,313",622,504,"1,643",401,312,664,243,473,"2,234","9,129","4,799",289,
2020,9,40,"24,483",871,819,"2,073",576,491,798,410,607,"2,557","9,195","5,564",522,
2020,9,50,"20,291","1,322",901,"2,295",749,641,"1,136",530,847,"2,787","4,443","3,720",920,
2020,9,60,"15,703","1,262",827,"1,984",732,620,"1,101",563,784,"2,242","2,778","1,768","1,042",
2020,9,70,"9,274",643,646,"1,192",530,436,732,419,528,"1,006","1,350","1,184",608,
2020,9,80,"3,673",288,323,479,188,162,338,171,214,418,441,441,210,
2020,9,90,617,59,61,79,38,33,65,28,35,79,60,41,39,
2020,9,100,77,4,6,6,3,3,13,9,12,13,2,1,5,
2020,10,총,"139,391","6,320","5,248","13,355","4,093","3,372","5,975","2,902","4,574","15,668","43,314","30,446","4,124",
2020,10,0,"12,017",250,244,863,146,112,203,93,201,948,"7,116","1,746",95,
2020,10,10,"12,573",356,360,"1,127",289,208,296,151,335,"1,228","4,699","3,407",117,
2020,10,20,"19,198",654,546,"1,627",449,366,629,295,518,"2,125","4,056","7,650",283,
2020,10,30,"21,276",611,514,"1,628",394,305,653,239,477,"2,240","9,096","4,828",291,
2020,10,40,"24,483",861,816,"2,062",574,494,799,409,610,"2,563","9,214","5,574",507,
2020,10,50,"20,353","1,321",897,"2,299",745,640,"1,142",528,840,"2,786","4,473","3,760",922,
2020,10,60,"15,803","1,275",834,"1,994",734,613,"1,100",564,797,"2,253","2,796","1,801","1,042",
2020,10,70,"9,298",641,650,"1,190",533,436,731,415,530,"1,013","1,357","1,190",612,
2020,10,80,"3,710",290,323,484,190,162,342,173,219,423,445,448,211,
2020,10,90,602,57,58,75,36,33,67,25,35,76,60,41,39,
2020,10,100,78,4,6,6,3,3,13,10,12,13,2,1,5,
2020,11,총,"139,646","6,315","5,263","13,383","4,081","3,383","5,960","2,895","4,554","15,665","43,415","30,623","4,109",
2020,11,0,"11,959",245,251,860,142,109,195,92,195,935,"7,089","1,755",91,
2020,11,10,"12,615",354,358,"1,131",287,212,297,149,333,"1,223","4,764","3,395",112,
2020,11,20,"19,184",655,546,"1,624",448,371,632,299,518,"2,107","4,042","7,654",288,
2020,11,30,"21,319",601,525,"1,619",389,300,648,238,470,"2,269","9,067","4,902",291,
2020,11,40,"24,541",857,813,"2,063",566,498,808,412,612,"2,536","9,286","5,594",496,
2020,11,50,"20,399","1,320",893,"2,313",754,644,"1,130",522,827,"2,794","4,484","3,800",918,
2020,11,60,"15,896","1,286",840,"2,003",734,617,"1,095",563,804,"2,271","2,809","1,824","1,050",
2020,11,70,"9,314",643,649,"1,194",530,437,731,414,528,"1,019","1,363","1,199",607,
2020,11,80,"3,732",292,324,494,193,160,342,171,219,419,447,459,212,
2020,11,90,608,58,57,76,35,32,69,25,36,79,62,40,39,
2020,11,100,79,4,7,6,3,3,13,10,12,13,2,1,5,
2020,12,총,"139,729","6,315","5,283","13,329","4,043","3,374","5,928","2,871","4,535","15,724","43,447","30,776","4,104",
2020,12,0,"11,895",238,253,837,137,107,188,91,193,927,"7,074","1,764",86,
2020,12,10,"12,649",354,360,"1,133",278,204,301,144,335,"1,216","4,812","3,389",123,
2020,12,20,"19,133",649,546,"1,619",444,375,626,296,509,"2,108","4,006","7,666",289,
2020,12,30,"21,309",606,529,"1,606",383,297,642,240,464,"2,288","9,014","4,956",284,
2020,12,40,"24,596",856,822,"2,045",560,498,803,413,611,"2,544","9,336","5,613",495,
2020,12,50,"20,446","1,322",892,"2,314",741,644,"1,120",513,826,"2,805","4,513","3,839",917,
2020,12,60,"15,926","1,287",847,"1,999",738,611,"1,091",560,801,"2,295","2,818","1,836","1,043",
2020,12,70,"9,320",648,652,"1,193",529,440,731,407,530,"1,016","1,360","1,207",607,
2020,12,80,"3,762",294,320,501,196,163,340,172,218,429,449,464,216,
2020,12,90,612,57,54,76,34,32,72,25,36,83,63,41,39,
2020,12,100,81,4,8,6,3,3,14,10,12,13,2,1,5,
2021,1,총,"139,762","6,309","5,265","13,342","4,015","3,369","5,906","2,859","4,523","15,767","43,485","30,842","4,080",
2021,1,0,"11,846",238,249,831,139,102,188,86,192,929,"7,075","1,734",83,
2021,1,10,"12,662",348,357,"1,137",271,199,298,144,338,"1,230","4,820","3,400",120,
2021,1,20,"19,046",646,540,"1,612",434,377,627,296,502,"2,093","3,986","7,645",288,
2021,1,30,"21,233",604,524,"1,603",376,295,640,242,459,"2,291","8,950","4,968",281,
2021,1,40,"24,601",840,818,"2,054",556,499,789,410,613,"2,546","9,387","5,603",486,
2021,1,50,"20,481","1,322",883,"2,312",739,644,"1,116",509,817,"2,797","4,538","3,893",911,
2021,1,60,"16,031","1,304",849,"2,007",730,606,"1,094",556,804,"2,331","2,840","1,867","1,043",
2021,1,70,"9,360",646,664,"1,204",532,446,723,405,529,"1,019","1,375","1,214",603,
2021,1,80,"3,794",298,318,498,200,166,344,175,221,431,447,476,220,
2021,1,90,626,59,55,78,35,32,72,26,36,87,65,41,40,
2021,1,100,82,4,8,6,3,3,15,10,12,13,2,1,5,
2021,2,총,"139,776","6,292","5,256","13,310","3,997","3,341","5,918","2,859","4,498","15,863","43,408","30,971","4,063",
2021,2,0,"11,771",240,248,825,135,95,195,81,188,928,"7,019","1,734",83,
2021,2,10,"12,669",341,352,"1,121",265,198,299,142,334,"1,240","4,845","3,415",117,
2021,2,20,"18,874",646,532,"1,603",430,368,627,291,497,"2,078","3,931","7,595",276,
2021,2,30,"21,191",597,533,"1,606",375,288,641,250,454,"2,318","8,822","5,028",279,
2021,2,40,"24,634",826,816,"2,035",547,495,776,402,611,"2,556","9,454","5,632",484,
2021,2,50,"20,577","1,327",882,"2,319",740,639,"1,117",516,809,"2,808","4,576","3,939",905,
2021,2,60,"16,155","1,303",850,"2,009",734,613,"1,106",559,804,"2,379","2,859","1,890","1,049",
2021,2,70,"9,367",643,665,"1,206",529,442,723,406,532,"1,019","1,381","1,216",605,
2021,2,80,"3,821",307,316,501,204,166,347,175,223,435,451,479,217,
2021,2,90,634,58,54,79,34,33,73,27,34,89,68,42,43,
2021,2,100,83,4,8,6,4,4,14,10,12,13,2,1,5,
2021,3,총,"139,325","6,223","5,167","13,251","3,945","3,293","5,824","2,769","4,417","15,800","43,405","31,192","4,039",
2021,3,0,"11,734",235,242,821,134,94,197,83,183,923,"7,008","1,732",82,
2021,3,10,"12,687",344,358,"1,117",262,196,293,142,328,"1,233","4,885","3,412",117,
2021,3,20,"18,823",639,537,"1,608",425,361,614,289,488,"2,058","3,884","7,646",274,
2021,3,30,"21,179",598,525,"1,596",364,277,647,240,453,"2,307","8,797","5,097",278,
2021,3,40,"24,545",820,813,"2,020",538,488,753,383,600,"2,569","9,453","5,633",475,
2021,3,50,"20,523","1,311",869,"2,304",733,631,"1,093",502,792,"2,797","4,594","4,000",897,
2021,3,60,"16,155","1,290",825,"2,018",730,610,"1,096",550,801,"2,386","2,887","1,913","1,049",
2021,3,70,"9,227",628,638,"1,180",525,440,706,394,521,997,"1,372","1,221",605,
2021,3,80,"3,817",303,310,506,203,165,347,161,222,435,455,492,218,
2021,3,90,612,54,49,81,30,31,72,24,28,89,68,45,41,
2021,3,100,23,1,1,0,1,0,6,1,1,6,2,1,3,
2021,4,총,"139,548","6,196","5,142","13,252","3,947","3,280","5,843","2,747","4,403","15,916","43,350","31,439","4,033",
2021,4,0,"11,686",233,244,816,136,94,202,79,184,924,"6,967","1,726",81,
2021,4,10,"12,721",338,354,"1,119",262,191,296,136,321,"1,248","4,935","3,403",118,
2021,4,20,"18,816",627,530,"1,617",422,357,621,289,478,"2,053","3,841","7,706",275,
2021,4,30,"21,210",604,527,"1,584",370,278,654,241,453,"2,363","8,716","5,148",272,
2021,4,40,"24,555",812,811,"2,016",534,489,751,378,598,"2,556","9,474","5,662",474,
2021,4,50,"20,525","1,295",864,"2,288",730,621,"1,097",496,788,"2,816","4,596","4,046",888,
2021,4,60,"16,323","1,298",819,"2,041",737,614,"1,095",551,812,"2,417","2,907","1,971","1,061",
2021,4,70,"9,244",632,635,"1,179",520,443,702,394,517,"1,002","1,392","1,226",602,
2021,4,80,"3,822",302,305,509,205,162,348,158,223,440,450,503,217,
2021,4,90,624,54,52,83,30,31,72,24,28,92,70,46,42,
2021,4,100,22,1,1,0,1,0,5,1,1,5,2,2,3,
2021,5,총,"139,930","6,215","5,139","13,263","3,972","3,269","5,855","2,737","4,404","15,978","43,481","31,581","4,036",
2021,5,0,"11,688",235,244,810,133,91,201,78,181,923,"6,969","1,742",81,
2021,5,10,"12,749",342,359,"1,108",264,191,290,137,316,"1,248","4,969","3,409",116,
2021,5,20,"18,763",633,531,"1,627",419,353,621,286,484,"2,033","3,813","7,682",281,
2021,5,30,"21,287",608,523,"1,587",365,280,666,237,449,"2,389","8,692","5,224",267,
2021,5,40,"24,585",813,804,"2,011",548,479,741,374,593,"2,548","9,517","5,684",473,
2021,5,50,"20,654","1,290",866,"2,287",728,613,"1,110",494,790,"2,844","4,654","4,092",886,
2021,5,60,"16,457","1,303",819,"2,051",750,623,"1,096",556,817,"2,448","2,951","1,976","1,067",
2021,5,70,"9,265",636,632,"1,191",526,444,698,392,523,"1,005","1,393","1,222",603,
2021,5,80,"3,846",302,306,511,208,165,354,159,224,445,450,505,217,
2021,5,90,613,52,53,80,30,30,73,23,26,90,71,43,42,
2021,5,100,23,1,2,0,1,0,5,1,1,5,2,2,3,
2021,6,총,"140,175","6,186","5,142","13,228","3,991","3,252","5,876","2,744","4,378","16,040","43,561","31,759","4,018",
2021,6,0,"11,667",231,244,809,131,93,204,76,178,932,"6,942","1,748",79,
2021,6,10,"12,773",339,354,"1,111",264,191,293,144,312,"1,246","5,007","3,400",112,
2021,6,20,"18,763",625,538,"1,605",426,339,606,289,477,"2,038","3,804","7,744",272,
2021,6,30,"21,307",603,518,"1,570",369,282,675,231,449,"2,388","8,694","5,260",268,
2021,6,40,"24,625",806,810,"2,015",549,473,738,373,594,"2,560","9,544","5,698",465,
2021,6,50,"20,619","1,281",871,"2,274",720,613,"1,110",485,775,"2,834","4,651","4,128",877,
2021,6,60,"16,619","1,309",819,"2,067",757,620,"1,109",566,823,"2,480","2,991","1,998","1,080",
2021,6,70,"9,291",638,626,"1,189",535,444,700,392,521,"1,015","1,401","1,229",601,
2021,6,80,"3,866",301,306,506,207,167,362,164,222,453,452,509,217,
2021,6,90,622,52,54,82,32,30,74,23,26,89,73,43,44,
2021,6,100,23,1,2,0,1,0,5,1,1,5,2,2,3,
2021,7,총,"140,641","6,189","5,120","13,212","3,992","3,249","5,853",0,0,"16,591","43,557","31,801","3,995","7,082"
2021,7,0,"11,620",226,240,804,131,92,197,0,0,978,"6,890","1,735",77,250
2021,7,10,"12,863",339,349,"1,109",264,192,288,0,0,"1,300","5,060","3,395",110,457
2021,7,20,"18,800",622,531,"1,600",430,334,609,0,0,"2,151","3,774","7,734",262,753
2021,7,30,"21,384",604,517,"1,566",364,285,665,0,0,"2,483","8,660","5,292",266,682
2021,7,40,"24,767",811,804,"2,017",549,479,734,0,0,"2,677","9,597","5,680",455,964
2021,7,50,"20,632","1,279",860,"2,283",713,606,"1,105",0,0,"2,891","4,638","4,139",875,"1,243"
2021,7,60,"16,718","1,316",824,"2,055",765,621,"1,110",0,0,"2,524","3,005","2,026","1,084","1,388"
2021,7,70,"9,311",641,629,"1,188",539,445,694,0,0,"1,030","1,407","1,230",600,908
2021,7,80,"3,896",298,309,511,203,165,371,0,0,459,451,525,219,385
2021,7,90,625,51,55,79,33,30,75,0,0,93,73,42,44,50
2021,7,100,25,2,2,0,1,0,5,0,0,5,2,3,3,2
2021,8,총,"141,341","6,156","5,105","13,169","3,969","3,230","5,831",,,"17,992","43,278","31,567","3,963","7,081"
2021,8,0,"11,629",222,239,797,126,88,194,,,"1,130","6,792","1,715",73,253
2021,8,10,"12,919",324,344,"1,122",257,190,285,,,"1,410","5,088","3,342",109,448
2021,8,20,"18,875",621,536,"1,606",430,332,594,,,"2,379","3,714","7,643",259,761
2021,8,30,"21,524",604,510,"1,545",361,278,671,,,"2,796","8,553","5,271",257,678
2021,8,40,"24,873",802,788,"2,002",540,472,725,,,"2,926","9,573","5,638",451,956
2021,8,50,"20,750","1,262",861,"2,264",710,609,"1,109",,,"3,077","4,636","4,120",864,"1,238"
2021,8,60,"16,850","1,328",827,"2,062",773,617,"1,107",,,"2,623","3,001","2,031","1,087","1,394"
2021,8,70,"9,331",636,629,"1,179",536,450,689,,,"1,075","1,398","1,234",595,910
2021,8,80,"3,930",301,313,514,201,164,377,,,476,445,527,220,392
2021,8,90,635,54,56,78,34,30,75,,,95,76,43,45,49
2021,8,100,25,2,2,0,1,0,5,,,5,2,3,3,2
2021,9,총,"142,053","6,131","5,114","13,231","3,936","3,204","5,862",,,"18,737","43,198","31,618","3,954","7,068"
2021,9,0,"11,663",218,239,804,121,84,197,,,"1,197","6,752","1,729",72,250
2021,9,10,"12,993",326,344,"1,125",260,183,285,,,"1,501","5,100","3,315",108,446
2021,9,20,"18,911",619,533,"1,602",430,329,593,,,"2,490","3,691","7,619",254,751
2021,9,30,"21,654",603,515,"1,560",351,280,670,,,"2,930","8,507","5,305",259,674
2021,9,40,"24,983",796,780,"2,011",530,462,742,,,"3,083","9,569","5,607",448,955
2021,9,50,"20,894","1,247",868,"2,281",700,613,"1,094",,,"3,185","4,634","4,166",866,"1,240"
2021,9,60,"17,003","1,329",835,"2,071",771,613,"1,122",,,"2,696","3,028","2,055","1,084","1,399"
2021,9,70,"9,328",640,622,"1,182",537,445,696,,,"1,071","1,398","1,242",589,906
2021,9,80,"3,959",298,320,517,200,163,382,,,487,439,532,226,395
2021,9,90,641,53,56,78,35,32,76,,,93,78,45,45,50
2021,9,100,24,2,2,0,1,0,5,,,4,2,3,3,2
2021,10,총,"142,618","6,170","5,099","13,227","3,912","3,195","5,833",,,"18,924","43,486","31,796","3,932","7,044"
2021,10,0,"11,700",221,233,805,117,80,190,,,"1,205","6,798","1,733",72,246
2021,10,10,"13,031",329,343,"1,115",263,180,284,,,"1,503","5,144","3,319",107,444
2021,10,20,"18,895",618,524,"1,597",417,329,590,,,"2,518","3,696","7,616",247,743
2021,10,30,"21,787",607,510,"1,570",349,280,662,,,"2,954","8,538","5,374",262,681
2021,10,40,"25,069",793,779,"2,014",534,462,737,,,"3,113","9,644","5,612",443,938
2021,10,50,"21,011","1,251",871,"2,266",695,606,"1,086",,,"3,219","4,688","4,225",860,"1,244"
2021,10,60,"17,102","1,349",840,"2,073",765,615,"1,121",,,"2,736","3,050","2,083","1,079","1,391"
2021,10,70,"9,366",645,618,"1,185",535,445,695,,,"1,089","1,413","1,245",590,906
2021,10,80,"3,979",303,321,523,202,165,385,,,484,437,538,219,402
2021,10,90,654,51,58,79,34,33,78,,,99,76,48,50,48
2021,10,100,24,3,2,0,1,0,5,,,4,2,3,3,1
2021,11,총,"143,052","6,141","5,094","13,202","3,919","3,193","5,825",,,"19,016","43,784","31,886","3,952","7,040"
2021,11,0,"11,683",221,230,802,117,80,188,,,"1,189","6,824","1,707",78,247
2021,11,10,"13,076",322,343,"1,102",255,179,284,,,"1,517","5,196","3,329",106,443
2021,11,20,"18,876",615,528,"1,596",425,330,587,,,"2,521","3,694","7,589",247,744
2021,11,30,"21,872",615,506,"1,553",347,276,648,,,"2,977","8,594","5,412",269,675
2021,11,40,"25,146",777,780,"2,012",528,455,737,,,"3,122","9,735","5,616",449,935
2021,11,50,"21,131","1,244",869,"2,249",699,611,"1,088",,,"3,251","4,739","4,271",858,"1,252"
2021,11,60,"17,216","1,353",845,"2,098",765,620,"1,128",,,"2,756","3,067","2,114","1,083","1,387"
2021,11,70,"9,358",639,616,"1,178",545,443,697,,,"1,086","1,416","1,251",587,900
2021,11,80,"4,020",302,320,536,203,167,384,,,493,441,546,221,407
2021,11,90,652,50,55,76,34,32,81,,,100,76,48,51,49
2021,11,100,22,3,2,0,1,0,3,,,4,2,3,3,1
2021,12,총,"143,633","6,145","5,086","13,241","3,925","3,192","5,818",,,"19,131","44,046","32,080","3,947","7,022"
2021,12,0,"11,661",215,234,799,112,77,186,,,"1,193","6,823","1,707",75,240
2021,12,10,"13,147",327,345,"1,113",248,176,281,,,"1,539","5,240","3,333",108,437
2021,12,20,"18,940",619,517,"1,602",424,328,588,,,"2,512","3,720","7,645",245,740
2021,12,30,"21,991",625,519,"1,551",345,281,643,,,"2,997","8,612","5,466",277,675
2021,12,40,"25,234",774,778,"2,013",525,446,740,,,"3,140","9,816","5,623",446,933
2021,12,50,"21,230","1,228",866,"2,247",705,616,"1,077",,,"3,269","4,795","4,318",853,"1,256"
2021,12,60,"17,316","1,365",854,"2,121",773,627,"1,132",,,"2,778","3,084","2,122","1,076","1,384"
2021,12,70,"9,371",632,596,"1,181",544,437,698,,,"1,101","1,433","1,257",589,903
2021,12,80,"4,047",304,316,539,213,170,383,,,500,441,556,224,401
2021,12,90,672,53,59,74,35,34,86,,,98,80,50,51,52
2021,12,100,24,3,2,1,1,0,4,,,4,2,3,3,1
