년도,월,나이,양주시,백석읍,은현면,남면,광적면,장흥면,양주1동,양주2동,회천1동,회천2동,회천3동,회천4동
2020,3,20,"26,535","3,370",713,851,"1,356","1,071",595,"5,106","1,639","3,603","3,768","4,463"
2020,3,30,"27,461","2,437",520,830,"1,214","1,122",481,"5,794","1,195","2,933","3,083","7,852"
2020,3,40,"38,792","4,047",732,830,"1,823","1,183",662,"10,711","1,451","4,514","5,464","7,375"
2020,3,50,"36,942","5,221","1,315","1,349","2,542","1,795","1,116","7,153","1,851","5,449","4,588","4,563"
2020,3,60,"26,901","4,035","1,324","1,337","1,996","2,117","1,055","4,805","1,296","3,375","2,294","3,267"
2020,3,70,"15,774","2,222",663,703,"1,071","1,239",685,"3,243",718,"1,827","1,643","1,760"
2020,3,80,"6,684","1,017",328,375,522,581,317,"1,124",323,712,812,573
2020,3,90,933,133,58,75,64,127,41,146,38,80,89,82
2020,3,100,67,4,3,7,4,8,6,8,12,5,3,7
2020,4,총,"224,524","26,622","6,160","7,159","12,202","10,355","5,463","50,515","9,939","27,251","27,902","40,956"
2020,4,0,"19,771","1,520",170,402,679,514,218,"5,310",659,"2,010","2,476","5,813"
2020,4,10,"23,875","2,644",348,418,938,569,294,"7,214",788,"2,779","3,762","4,121"
2020,4,20,"26,696","3,361",710,854,"1,333","1,078",595,"5,111","1,637","3,589","3,772","4,656"
2020,4,30,"27,496","2,429",518,831,"1,216","1,128",474,"5,722","1,185","2,907","3,061","8,025"
2020,4,40,"38,867","4,009",721,815,"1,810","1,183",658,"10,630","1,430","4,511","5,376","7,724"
2020,4,50,"37,114","5,221","1,324","1,336","2,540","1,783","1,118","7,162","1,841","5,438","4,582","4,769"
2020,4,60,"27,134","4,052","1,325","1,342","2,019","2,136","1,057","4,836","1,299","3,393","2,299","3,376"
2020,4,70,"15,843","2,225",662,704,"1,084","1,242",687,"3,240",724,"1,824","1,654","1,797"
2020,4,80,"6,725","1,020",325,375,515,586,317,"1,136",326,712,825,588
2020,4,90,936,136,54,75,64,128,40,147,38,82,92,80
2020,4,100,67,5,3,7,4,8,5,7,12,6,3,7
2020,5,총,"225,069","26,598","6,153","7,133","12,184","10,392","5,461","50,363","9,928","27,266","27,907","41,684"
2020,5,0,"19,742","1,516",170,399,687,516,218,"5,254",655,"1,996","2,453","5,878"
2020,5,10,"23,861","2,633",339,416,925,562,282,"7,180",782,"2,773","3,753","4,216"
2020,5,20,"26,807","3,332",713,855,"1,329","1,098",600,"5,120","1,627","3,596","3,785","4,752"
2020,5,30,"27,492","2,432",513,829,"1,222","1,113",483,"5,634","1,202","2,896","3,033","8,135"
2020,5,40,"38,864","4,005",717,805,"1,793","1,182",647,"10,576","1,420","4,496","5,348","7,875"
2020,5,50,"37,282","5,205","1,326","1,321","2,530","1,787","1,116","7,183","1,840","5,464","4,616","4,894"
2020,5,60,"27,302","4,078","1,328","1,343","2,038","2,138","1,056","4,854","1,295","3,417","2,314","3,441"
2020,5,70,"15,947","2,229",664,715,"1,078","1,271",689,"3,253",731,"1,822","1,679","1,816"
2020,5,80,"6,761","1,025",326,369,516,588,325,"1,151",326,718,830,587
2020,5,90,945,138,54,74,62,130,40,151,38,82,93,83
2020,5,100,66,5,3,7,4,7,5,7,12,6,3,7
2020,6,총,"226,015","26,572","6,117","7,117","12,143","10,386","5,458","50,307","9,897","27,197","27,760","43,061"
2020,6,0,"19,797","1,495",167,397,679,516,214,"5,210",655,"1,983","2,420","6,061"
2020,6,10,"23,911","2,617",336,413,911,553,282,"7,151",768,"2,765","3,722","4,393"
2020,6,20,"26,920","3,309",706,854,"1,329","1,091",603,"5,170","1,626","3,557","3,773","4,902"
2020,6,30,"27,614","2,407",506,812,"1,209","1,113",478,"5,614","1,190","2,909","2,994","8,382"
2020,6,40,"39,007","3,991",704,805,"1,774","1,187",644,"10,530","1,414","4,474","5,308","8,176"
2020,6,50,"37,335","5,201","1,325","1,309","2,528","1,775","1,109","7,167","1,823","5,441","4,587","5,070"
2020,6,60,"27,564","4,127","1,325","1,361","2,042","2,146","1,072","4,874","1,306","3,431","2,340","3,540"
2020,6,70,"16,047","2,249",665,714,"1,085","1,281",683,"3,277",739,"1,828","1,686","1,840"
2020,6,80,"6,793","1,026",326,373,517,587,328,"1,153",325,717,836,605
2020,6,90,961,145,54,72,64,131,40,154,39,85,91,86
2020,6,100,66,5,3,7,5,6,5,7,12,7,3,6
2020,7,총,"227,972","26,467","6,078","7,114","12,069","10,363","5,439","50,200","9,837","27,092","27,568","45,745"
2020,7,0,"20,066","1,475",156,392,661,512,211,"5,145",645,"1,961","2,377","6,531"
2020,7,10,"24,081","2,599",337,417,909,550,283,"7,119",758,"2,747","3,677","4,685"
2020,7,20,"27,045","3,286",707,836,"1,313","1,073",593,"5,201","1,608","3,533","3,719","5,176"
2020,7,30,"28,027","2,380",493,811,"1,192","1,105",471,"5,618","1,181","2,883","2,982","8,911"
2020,7,40,"39,252","3,961",697,811,"1,756","1,184",639,"10,459","1,396","4,436","5,237","8,676"
2020,7,50,"37,638","5,196","1,322","1,314","2,520","1,777","1,104","7,144","1,824","5,431","4,582","5,424"
2020,7,60,"27,859","4,124","1,327","1,363","2,052","2,149","1,077","4,917","1,305","3,452","2,373","3,720"
2020,7,70,"16,132","2,253",661,717,"1,078","1,287",686,"3,278",745,"1,837","1,687","1,903"
2020,7,80,"6,830","1,040",323,371,517,590,330,"1,154",322,721,839,623
2020,7,90,972,146,52,75,66,129,40,158,40,84,92,90
2020,7,100,70,7,3,7,5,7,5,7,13,7,3,6
2020,8,총,"229,052","26,443","6,096","7,090","12,035","10,360","5,426","50,196","9,829","27,101","27,533","46,943"
2020,8,0,"20,127","1,456",159,394,650,505,211,"5,064",651,"1,955","2,351","6,731"
2020,8,10,"24,167","2,581",345,408,908,550,283,"7,117",756,"2,729","3,649","4,841"
2020,8,20,"27,138","3,284",704,831,"1,303","1,070",592,"5,252","1,586","3,533","3,729","5,254"
2020,8,30,"28,147","2,344",492,811,"1,180","1,089",462,"5,570","1,180","2,870","2,985","9,164"
2020,8,40,"39,411","3,957",696,803,"1,746","1,180",638,"10,428","1,395","4,429","5,204","8,935"
2020,8,50,"37,802","5,199","1,319","1,303","2,507","1,780","1,107","7,188","1,822","5,445","4,596","5,536"
2020,8,60,"28,113","4,159","1,336","1,370","2,071","2,153","1,080","4,940","1,319","3,484","2,386","3,815"
2020,8,70,"16,192","2,257",666,719,"1,082","1,285",676,"3,303",743,"1,839","1,686","1,936"
2020,8,80,"6,884","1,050",319,371,514,607,330,"1,165",327,722,848,631
2020,8,90,999,149,57,74,69,134,42,160,37,88,95,94
2020,8,100,72,7,3,6,5,7,5,9,13,7,4,6
2020,9,총,"229,427","26,428","6,056","7,057","12,007","10,352","5,400","50,195","9,840","27,155","27,525","47,412"
2020,9,0,"20,097","1,452",155,391,642,499,212,"5,001",654,"1,963","2,339","6,789"
2020,9,10,"24,142","2,578",337,406,902,544,278,"7,104",759,"2,728","3,607","4,899"
2020,9,20,"27,219","3,279",696,831,"1,298","1,074",584,"5,307","1,582","3,540","3,760","5,268"
2020,9,30,"28,152","2,339",477,791,"1,177","1,083",467,"5,521","1,187","2,871","2,982","9,257"
2020,9,40,"39,389","3,932",688,792,"1,727","1,167",634,"10,411","1,394","4,436","5,166","9,042"
2020,9,50,"37,872","5,202","1,309","1,294","2,493","1,768","1,090","7,233","1,818","5,439","4,635","5,591"
2020,9,60,"28,366","4,177","1,340","1,388","2,104","2,176","1,082","4,965","1,325","3,526","2,415","3,868"
2020,9,70,"16,190","2,247",672,715,"1,081","1,284",671,"3,308",742,"1,837","1,673","1,960"
2020,9,80,"6,919","1,067",323,370,504,612,331,"1,181",327,719,853,632
2020,9,90,"1,009",147,56,73,74,138,47,155,39,89,92,99
2020,9,100,72,8,3,6,5,7,4,9,13,7,3,7
2020,10,총,"230,005","26,449","6,029","7,080","11,994","10,389","5,396","50,232","9,833","27,127","27,655","47,821"
2020,10,0,"20,043","1,436",144,391,638,494,212,"4,978",647,"1,936","2,335","6,832"
2020,10,10,"24,156","2,566",334,424,898,546,274,"7,102",765,"2,713","3,581","4,953"
2020,10,20,"27,338","3,304",690,829,"1,280","1,080",583,"5,336","1,567","3,535","3,848","5,286"
2020,10,30,"28,135","2,324",469,798,"1,177","1,083",460,"5,490","1,179","2,869","3,012","9,274"
2020,10,40,"39,446","3,931",687,806,"1,722","1,162",631,"10,383","1,395","4,414","5,159","9,156"
2020,10,50,"38,026","5,214","1,305","1,282","2,496","1,784","1,086","7,260","1,825","5,436","4,663","5,675"
2020,10,60,"28,551","4,193","1,348","1,389","2,119","2,188","1,084","5,013","1,324","3,555","2,439","3,899"
2020,10,70,"16,218","2,246",666,716,"1,076","1,281",683,"3,305",748,"1,837","1,666","1,994"
2020,10,80,"7,000","1,078",327,365,508,624,330,"1,203",331,736,855,643
2020,10,90,"1,022",149,56,74,75,140,49,155,40,89,93,102
2020,10,100,70,8,3,6,5,7,4,7,12,7,4,7
2020,11,총,"230,273","26,440","6,003","7,061","11,970","10,422","5,390","50,354","9,810","27,156","27,707","47,960"
2020,11,0,"20,027","1,427",151,389,625,504,205,"4,965",649,"1,942","2,334","6,836"
2020,11,10,"24,130","2,560",328,417,888,545,277,"7,094",771,"2,700","3,545","5,005"
2020,11,20,"27,347","3,287",678,822,"1,288","1,086",581,"5,371","1,543","3,513","3,899","5,279"
2020,11,30,"28,120","2,342",466,791,"1,168","1,088",453,"5,473","1,186","2,869","3,032","9,252"
2020,11,40,"39,476","3,930",686,806,"1,711","1,155",639,"10,390","1,390","4,419","5,142","9,208"
2020,11,50,"38,041","5,196","1,289","1,278","2,487","1,796","1,088","7,288","1,811","5,430","4,669","5,709"
2020,11,60,"28,746","4,207","1,348","1,405","2,135","2,188","1,091","5,070","1,332","3,594","2,463","3,913"
2020,11,70,"16,242","2,253",669,709,"1,080","1,286",677,"3,312",746,"1,846","1,661","2,003"
2020,11,80,"7,051","1,082",329,364,508,629,327,"1,224",328,746,867,647
2020,11,90,"1,024",148,56,75,75,138,48,160,42,89,91,102
2020,11,100,69,8,3,5,5,7,4,7,12,8,4,6
2020,12,총,"230,359","26,431","5,969","7,004","11,948","10,442","5,377","50,369","9,800","27,180","27,726","48,113"
2020,12,0,"19,940","1,409",151,387,618,500,207,"4,923",645,"1,943","2,317","6,840"
2020,12,10,"24,057","2,553",326,419,870,540,272,"7,086",763,"2,681","3,510","5,037"
2020,12,20,"27,449","3,266",672,805,"1,290","1,095",585,"5,421","1,546","3,544","3,941","5,284"
2020,12,30,"28,048","2,338",454,781,"1,159","1,080",450,"5,456","1,193","2,863","3,022","9,252"
2020,12,40,"39,444","3,925",686,805,"1,701","1,163",632,"10,367","1,380","4,410","5,130","9,245"
2020,12,50,"38,089","5,207","1,278","1,265","2,479","1,802","1,083","7,311","1,812","5,438","4,683","5,731"
2020,12,60,"28,860","4,227","1,350","1,395","2,155","2,196","1,094","5,050","1,338","3,613","2,489","3,953"
2020,12,70,"16,287","2,260",667,706,"1,080","1,297",674,"3,343",741,"1,844","1,663","2,012"
2020,12,80,"7,099","1,091",326,365,514,625,328,"1,244",329,747,874,656
2020,12,90,"1,021",148,56,72,77,136,48,161,41,92,93,97
2020,12,100,65,7,3,4,5,8,4,7,12,5,4,6
2021,1,총,"231,241","26,396","5,969","6,970","11,966","10,422","5,370","50,285","9,769","27,215","27,699","49,180"
2021,1,0,"19,947","1,380",147,381,624,482,206,"4,871",639,"1,935","2,289","6,993"
2021,1,10,"24,137","2,546",320,398,862,539,271,"7,051",762,"2,674","3,506","5,208"
2021,1,20,"27,498","3,263",672,799,"1,293","1,105",586,"5,422","1,541","3,538","3,943","5,336"
2021,1,30,"28,151","2,329",459,781,"1,164","1,074",447,"5,425","1,195","2,872","3,014","9,391"
2021,1,40,"39,558","3,918",673,816,"1,694","1,143",633,"10,282","1,375","4,387","5,093","9,544"
2021,1,50,"38,204","5,188","1,269","1,250","2,479","1,802","1,070","7,365","1,790","5,445","4,695","5,851"
2021,1,60,"29,109","4,255","1,365","1,397","2,172","2,198","1,103","5,084","1,344","3,652","2,512","4,027"
2021,1,70,"16,339","2,267",677,706,"1,068","1,300",671,"3,355",734,"1,855","1,660","2,046"
2021,1,80,"7,193","1,093",324,366,528,628,329,"1,262",335,759,887,682
2021,1,90,"1,041",150,60,72,77,143,50,161,42,93,96,97
2021,1,100,64,7,3,4,5,8,4,7,12,5,4,5
2021,2,총,"233,072","26,345","5,934","6,950","11,948","10,443","5,353","50,008","9,742","27,136","27,482","51,731"
2021,2,0,"20,200","1,353",146,376,617,487,198,"4,781",634,"1,933","2,254","7,421"
2021,2,10,"24,332","2,537",313,395,858,530,268,"6,962",756,"2,655","3,460","5,598"
2021,2,20,"27,584","3,258",659,800,"1,286","1,099",587,"5,421","1,549","3,477","3,902","5,546"
2021,2,30,"28,411","2,305",456,776,"1,141","1,083",444,"5,359","1,175","2,877","2,999","9,796"
2021,2,40,"39,870","3,893",666,815,"1,701","1,136",630,"10,143","1,365","4,338","5,026","10,157"
2021,2,50,"38,525","5,201","1,269","1,231","2,472","1,811","1,063","7,425","1,783","5,431","4,664","6,175"
2021,2,60,"29,377","4,265","1,362","1,407","2,187","2,207","1,104","5,108","1,359","3,696","2,527","4,155"
2021,2,70,"16,347","2,262",675,704,"1,072","1,293",671,"3,358",726,"1,863","1,654","2,069"
2021,2,80,"7,299","1,113",324,369,533,644,335,"1,278",337,769,890,707
2021,2,90,"1,066",151,61,73,78,146,49,166,46,93,101,102
2021,2,100,61,7,3,4,3,7,4,7,12,4,5,5
2021,3,총,"234,181","26,270","5,883","6,880","11,884","10,416","5,312","49,984","9,710","27,083","27,408","53,351"
2021,3,0,"20,241","1,337",144,369,613,484,202,"4,736",623,"1,907","2,234","7,592"
2021,3,10,"24,407","2,529",316,375,848,518,266,"6,958",751,"2,644","3,452","5,750"
2021,3,20,"27,678","3,247",651,814,"1,264","1,090",582,"5,406","1,536","3,456","3,873","5,759"
2021,3,30,"28,594","2,276",461,769,"1,132","1,079",441,"5,344","1,173","2,891","2,998","10,030"
2021,3,40,"40,017","3,887",658,786,"1,685","1,121",621,"10,103","1,342","4,317","4,984","10,513"
2021,3,50,"38,658","5,167","1,247","1,222","2,455","1,801","1,045","7,454","1,794","5,409","4,647","6,417"
2021,3,60,"29,732","4,291","1,371","1,409","2,209","2,222","1,102","5,155","1,364","3,733","2,549","4,327"
2021,3,70,"16,375","2,256",658,693,"1,071","1,299",672,"3,365",730,"1,859","1,656","2,116"
2021,3,80,"7,362","1,125",319,368,532,649,332,"1,287",338,774,906,732
2021,3,90,"1,070",149,58,73,74,148,47,170,47,91,103,110
2021,3,100,47,6,0,2,1,5,2,6,12,2,6,5
2021,4,총,"234,990","26,277","5,869","6,868","11,891","10,475","5,324","50,137","9,723","27,076","27,363","53,987"
2021,4,0,"20,264","1,315",145,369,619,498,201,"4,708",634,"1,919","2,224","7,632"
2021,4,10,"24,408","2,523",305,369,844,520,265,"6,972",743,"2,646","3,436","5,785"
2021,4,20,"27,806","3,245",649,815,"1,267","1,101",580,"5,443","1,527","3,447","3,864","5,868"
2021,4,30,"28,629","2,271",459,764,"1,128","1,079",445,"5,312","1,198","2,878","2,978","10,117"
2021,4,40,"40,115","3,880",662,785,"1,664","1,132",616,"10,141","1,348","4,289","4,970","10,628"
2021,4,50,"38,764","5,164","1,244","1,208","2,468","1,786","1,046","7,504","1,775","5,417","4,640","6,512"
2021,4,60,"30,058","4,327","1,373","1,424","2,226","2,250","1,108","5,216","1,373","3,753","2,577","4,431"
2021,4,70,"16,415","2,261",654,692,"1,065","1,306",673,"3,356",727,"1,858","1,655","2,168"
2021,4,80,"7,406","1,131",322,368,532,648,342,"1,302",339,780,910,732
2021,4,90,"1,074",153,56,72,77,150,47,177,45,87,103,107
2021,4,100,51,7,0,2,1,5,1,6,14,2,6,7
2021,5,총,"235,276","26,312","5,854","6,852","11,879","10,518","5,286","50,157","9,719","27,139","27,370","54,190"
2021,5,0,"20,211","1,309",143,373,604,496,201,"4,681",635,"1,916","2,223","7,630"
2021,5,10,"24,399","2,505",305,360,841,520,266,"6,966",745,"2,633","3,419","5,839"
2021,5,20,"27,791","3,242",646,813,"1,268","1,095",565,"5,455","1,510","3,448","3,858","5,891"
2021,5,30,"28,624","2,292",456,762,"1,130","1,083",443,"5,257","1,198","2,897","3,012","10,094"
2021,5,40,"40,059","3,868",654,780,"1,639","1,143",609,"10,123","1,353","4,278","4,933","10,679"
2021,5,50,"38,860","5,149","1,245","1,210","2,473","1,788","1,045","7,537","1,771","5,424","4,662","6,556"
2021,5,60,"30,320","4,380","1,368","1,426","2,247","2,274","1,101","5,290","1,382","3,804","2,577","4,471"
2021,5,70,"16,440","2,268",656,688,"1,066","1,310",671,"3,342",727,"1,872","1,648","2,192"
2021,5,80,"7,450","1,138",325,365,532,657,339,"1,320",339,782,928,725
2021,5,90,"1,075",155,56,73,78,147,45,179,46,85,104,107
2021,5,100,47,6,0,2,1,5,1,7,13,0,6,6
2021,6,총,"235,394","26,324","5,863","6,844","11,899","10,542","5,280","50,148","9,704","27,174","27,364","54,252"
2021,6,0,"20,157","1,289",148,379,614,492,204,"4,641",635,"1,917","2,213","7,625"
2021,6,10,"24,361","2,495",307,359,836,512,265,"6,962",737,"2,627","3,402","5,859"
2021,6,20,"27,764","3,254",648,802,"1,262","1,094",560,"5,441","1,515","3,448","3,875","5,865"
2021,6,30,"28,500","2,288",456,764,"1,134","1,075",448,"5,240","1,197","2,880","2,987","10,031"
2021,6,40,"40,060","3,867",650,774,"1,628","1,141",605,"10,097","1,347","4,289","4,922","10,740"
2021,6,50,"38,901","5,133","1,241","1,197","2,470","1,797","1,033","7,590","1,754","5,407","4,681","6,598"
2021,6,60,"30,541","4,404","1,375","1,442","2,279","2,294","1,109","5,312","1,392","3,847","2,597","4,490"
2021,6,70,"16,446","2,285",656,682,"1,058","1,312",666,"3,343",728,"1,881","1,641","2,194"
2021,6,80,"7,529","1,147",327,369,538,666,344,"1,336",338,793,933,738
2021,6,90,"1,088",156,55,74,79,154,45,179,48,85,107,106
2021,6,100,47,6,0,2,1,5,1,7,13,0,6,6
2021,7,총,"235,495","26,362","5,850","6,870","11,885","10,608","5,272","50,097","9,692","27,197","27,327","54,335"
2021,7,0,"20,081","1,287",145,379,612,496,205,"4,607",633,"1,905","2,205","7,607"
2021,7,10,"24,334","2,489",302,366,825,515,265,"6,942",734,"2,623","3,389","5,884"
2021,7,20,"27,737","3,250",652,802,"1,271","1,111",549,"5,445","1,504","3,452","3,863","5,838"
2021,7,30,"28,417","2,301",448,759,"1,129","1,078",440,"5,205","1,198","2,872","2,971","10,016"
2021,7,40,"40,018","3,856",644,782,"1,629","1,150",600,"10,067","1,339","4,284","4,890","10,777"
2021,7,50,"38,981","5,122","1,229","1,191","2,469","1,810","1,030","7,630","1,750","5,411","4,715","6,624"
2021,7,60,"30,723","4,450","1,387","1,454","2,275","2,294","1,115","5,324","1,406","3,872","2,619","4,527"
2021,7,70,"16,467","2,288",658,687,"1,055","1,314",673,"3,351",731,"1,890","1,620","2,200"
2021,7,80,"7,610","1,153",333,374,542,682,349,"1,345",337,802,942,751
2021,7,90,"1,081",161,52,74,77,152,45,175,47,86,107,105
2021,7,100,46,5,0,2,1,6,1,6,13,0,6,6
2021,8,총,"235,828","26,336","5,831","6,899","11,919","10,665","5,271","50,171","9,691","27,231","27,364","54,450"
2021,8,0,"20,029","1,277",141,383,608,502,201,"4,581",632,"1,901","2,194","7,609"
2021,8,10,"24,356","2,481",296,370,841,508,267,"6,949",720,"2,621","3,369","5,934"
2021,8,20,"27,748","3,238",655,801,"1,275","1,112",547,"5,464","1,502","3,440","3,907","5,807"
2021,8,30,"28,361","2,290",444,772,"1,130","1,088",438,"5,163","1,185","2,886","2,955","10,010"
2021,8,40,"40,021","3,850",639,788,"1,625","1,154",598,"10,057","1,336","4,294","4,873","10,807"
2021,8,50,"39,069","5,120","1,225","1,183","2,457","1,820","1,028","7,697","1,751","5,379","4,739","6,670"
2021,8,60,"30,947","4,477","1,395","1,454","2,297","2,303","1,122","5,357","1,428","3,923","2,645","4,546"
2021,8,70,"16,506","2,296",655,696,"1,062","1,317",672,"3,361",738,"1,881","1,622","2,206"
2021,8,80,"7,661","1,143",330,376,544,693,352,"1,361",338,821,946,757
2021,8,90,"1,085",159,51,74,79,162,45,175,48,85,108,99
2021,8,100,45,5,0,2,1,6,1,6,13,0,6,5
2021,9,총,"236,028","26,318","5,851","6,909","11,914","10,763","5,266","50,129","9,694","27,230","27,366","54,588"
2021,9,0,"19,921","1,264",146,385,604,506,206,"4,520",631,"1,879","2,182","7,598"
2021,9,10,"24,315","2,459",295,372,850,504,263,"6,940",710,"2,616","3,364","5,942"
2021,9,20,"27,783","3,226",660,798,"1,255","1,131",542,"5,503","1,507","3,410","3,906","5,845"
2021,9,30,"28,294","2,289",447,765,"1,120","1,096",428,"5,111","1,198","2,895","2,956","9,989"
2021,9,40,"39,986","3,844",640,798,"1,629","1,166",599,"10,021","1,318","4,273","4,848","10,850"
2021,9,50,"39,228","5,128","1,222","1,188","2,461","1,846","1,023","7,728","1,756","5,402","4,769","6,705"
2021,9,60,"31,089","4,498","1,397","1,456","2,305","2,323","1,123","5,366","1,433","3,955","2,655","4,578"
2021,9,70,"16,551","2,291",658,697,"1,054","1,330",680,"3,378",740,"1,883","1,624","2,216"
2021,9,80,"7,718","1,154",335,374,553,693,352,"1,382",341,827,945,762
2021,9,90,"1,099",160,51,74,82,164,49,174,46,90,111,98
2021,9,100,44,5,0,2,1,4,1,6,14,0,6,5
2021,10,총,"236,205","26,374","5,847","6,957","11,892","10,797","5,267","50,052","9,710","27,264","27,338","54,707"
2021,10,0,"19,840","1,265",147,390,600,505,205,"4,463",656,"1,876","2,159","7,574"
2021,10,10,"24,269","2,447",294,388,842,494,261,"6,925",697,"2,616","3,344","5,961"
2021,10,20,"27,747","3,235",652,791,"1,248","1,135",545,"5,510","1,494","3,395","3,892","5,850"
2021,10,30,"28,244","2,280",448,771,"1,121","1,104",428,"5,048","1,229","2,896","2,960","9,959"
2021,10,40,"39,925","3,815",640,807,"1,614","1,165",602,"10,001","1,306","4,245","4,841","10,889"
2021,10,50,"39,391","5,168","1,214","1,202","2,470","1,856","1,006","7,751","1,756","5,427","4,782","6,759"
2021,10,60,"31,292","4,536","1,404","1,461","2,306","2,330","1,138","5,420","1,438","3,990","2,676","4,593"
2021,10,70,"16,573","2,288",664,694,"1,049","1,330",676,"3,376",738,"1,899","1,619","2,240"
2021,10,80,"7,767","1,165",333,374,561,710,355,"1,379",342,828,947,773
2021,10,90,"1,117",170,51,77,80,164,50,172,47,92,111,103
2021,10,100,40,5,0,2,1,4,1,7,7,0,7,6
2021,11,총,"236,302","26,328","5,826","6,989","11,885","10,837","5,252","50,061","9,740","27,292","27,354","54,738"
2021,11,0,"19,736","1,256",143,388,599,498,206,"4,423",662,"1,862","2,160","7,539"
2021,11,10,"24,283","2,426",292,405,836,491,261,"6,939",703,"2,617","3,323","5,990"
2021,11,20,"27,738","3,228",644,795,"1,248","1,146",538,"5,501","1,502","3,396","3,893","5,847"
2021,11,30,"28,193","2,280",448,780,"1,129","1,096",435,"5,008","1,234","2,909","2,982","9,892"
2021,11,40,"39,862","3,781",631,811,"1,606","1,181",594,"9,976","1,297","4,223","4,822","10,940"
2021,11,50,"39,489","5,176","1,213","1,198","2,466","1,865","1,006","7,777","1,770","5,434","4,791","6,793"
2021,11,60,"31,459","4,564","1,407","1,466","2,312","2,337","1,128","5,483","1,446","4,013","2,689","4,614"
2021,11,70,"16,549","2,273",660,690,"1,046","1,341",675,"3,368",732,"1,905","1,619","2,240"
2021,11,80,"7,838","1,173",334,378,561,710,361,"1,404",345,838,959,775
2021,11,90,"1,119",167,54,77,81,169,47,175,43,95,109,102
2021,11,100,36,4,0,1,1,3,1,7,6,0,7,6
2021,12,총,"236,368","26,330","5,820","6,963","11,869","10,883","5,231","50,053","9,755","27,285","27,352","54,827"
2021,12,0,"19,651","1,247",145,385,584,507,203,"4,415",661,"1,837","2,156","7,511"
2021,12,10,"24,277","2,407",288,398,837,494,266,"6,933",706,"2,620","3,313","6,015"
2021,12,20,"27,716","3,214",634,795,"1,240","1,139",530,"5,501","1,503","3,422","3,894","5,844"
2021,12,30,"28,102","2,292",446,772,"1,133","1,095",435,"4,970","1,224","2,872","3,005","9,858"
2021,12,40,"39,910","3,774",636,802,"1,590","1,198",587,"9,991","1,316","4,226","4,789","11,001"
2021,12,50,"39,530","5,176","1,207","1,202","2,479","1,872",997,"7,764","1,771","5,425","4,808","6,829"
2021,12,60,"31,550","4,592","1,417","1,467","2,311","2,344","1,133","5,490","1,446","4,030","2,701","4,619"
2021,12,70,"16,551","2,263",660,686,"1,042","1,348",666,"3,382",734,"1,908","1,607","2,255"
2021,12,80,"7,909","1,187",332,379,573,712,364,"1,423",346,849,960,784
2021,12,90,"1,136",174,55,76,79,170,49,177,43,96,112,105
