년도,월,나이,전라북도 군산시,전라북도 군산시 옥구읍,전라북도 군산시 옥산면,전라북도 군산시 회현면,전라북도 군산시 임피면,전라북도 군산시 서수면,전라북도 군산시 대야면,전라북도 군산시 개정면,전라북도 군산시 성산면,전라북도 군산시 나포면,전라북도 군산시 옥도면,전라북도 군산시 옥서면,전라북도 군산시 해신동,전라북도 군산시 월명동,전라북도 군산시 신풍동,전라북도 군산시 삼학동,전라북도 군산시 중앙동,전라북도 군산시 흥남동,전라북도 군산시 조촌동,전라북도 군산시 경암동,전라북도 군산시 구암동,전라북도 군산시 개정동,전라북도 군산시 수송동,전라북도 군산시 나운1동,전라북도 군산시 나운2동,전라북도 군산시 나운3동,전라북도 군산시 소룡동,전라북도 군산시 미성동
2020,6,총,"268,356","3,251","4,746","3,496","2,726","2,621","5,134","3,057","2,945","2,242","3,532","3,090","2,458","5,838","7,425","5,863","2,876","13,028","22,100","7,646","5,523","2,941","55,835","13,119","24,094","33,066","17,042","12,662"
2020,6,0,"21,708",97,596,183,69,77,165,79,94,52,110,131,129,228,389,178,78,"1,143","2,506",410,331,166,"6,997",705,"1,849","2,858","1,298",790
2020,6,10,"27,176",124,370,357,120,114,250,158,151,103,198,140,144,431,640,349,111,"1,152","2,094",515,484,256,"7,738","1,223","2,972","4,374","1,683",925
2020,6,20,"29,653",260,394,257,235,177,358,282,246,141,349,253,182,496,814,617,196,"1,449","2,525",755,594,319,"6,693","1,661","2,984","4,229","1,836","1,351"
2020,6,30,"31,558",206,726,221,155,166,391,181,198,129,275,241,236,517,627,435,225,"1,741","3,801",791,564,268,"7,993","1,408","2,297","3,856","2,237","1,673"
2020,6,40,"43,931",321,731,507,265,250,552,317,296,236,537,383,278,766,"1,021",656,340,"2,001","3,597","1,123",738,371,"10,972","1,887","3,991","6,314","3,223","2,258"
2020,6,50,"43,957",613,687,562,502,473,844,628,600,394,755,469,381,"1,003","1,154",997,476,"2,061","3,106","1,282","1,011",504,"7,826","2,454","4,142","5,547","3,093","2,393"
2020,6,60,"36,505",687,601,591,613,570,"1,126",655,640,505,710,616,503,"1,154","1,337","1,168",677,"1,770","2,525","1,379","1,006",517,"4,433","2,174","3,247","3,338","2,183","1,780"
2020,6,70,"22,366",555,363,460,436,418,850,460,443,386,408,543,437,852,"1,009",967,547,"1,219","1,344","1,004",570,340,"2,204","1,143","1,662","1,730","1,031",985
2020,6,80,"9,908",329,240,308,263,309,503,261,235,254,168,265,142,334,379,435,190,437,525,337,191,173,845,399,840,730,374,442
2020,6,90,"1,476",54,38,50,64,61,87,32,41,39,18,43,19,46,50,56,33,52,73,46,33,25,129,65,108,84,73,57
2020,6,100,118,5,0,0,4,6,8,4,1,3,4,6,7,11,5,5,3,3,4,4,1,2,5,0,2,6,11,8
2020,7,총,"268,243","3,236","4,729","3,477","2,715","2,629","5,125","3,037","2,948","2,230","3,522","3,069","2,428","5,753","7,359","5,818","3,998","12,987","22,108","7,565","5,606","2,935","55,666","13,024","24,030","32,851","16,899","12,499"
2020,7,0,"21,593",98,590,182,67,77,164,77,96,49,112,125,125,217,377,181,195,"1,132","2,502",411,322,165,"6,941",695,"1,841","2,817","1,263",772
2020,7,10,"27,094",117,370,355,120,115,250,158,148,103,192,137,141,425,639,341,191,"1,142","2,094",494,483,258,"7,729","1,212","2,949","4,352","1,671",908
2020,7,20,"29,647",257,388,251,232,173,351,273,248,136,341,253,172,482,813,603,367,"1,448","2,535",743,640,315,"6,692","1,636","2,973","4,189","1,808","1,328"
2020,7,30,"31,450",207,720,221,153,169,385,176,202,127,283,234,225,501,609,429,513,"1,729","3,779",775,588,265,"7,909","1,377","2,271","3,770","2,203","1,630"
2020,7,40,"43,843",323,731,500,259,256,555,313,293,233,530,378,277,751,998,641,539,"1,981","3,598","1,109",744,376,"10,925","1,890","3,970","6,278","3,191","2,204"
2020,7,50,"43,949",605,684,561,512,471,837,621,596,391,753,471,382,992,"1,132",988,614,"2,071","3,109","1,265","1,015",494,"7,834","2,438","4,139","5,528","3,079","2,367"
2020,7,60,"36,595",683,603,586,608,572,"1,125",657,634,505,710,610,500,"1,143","1,344","1,172",747,"1,763","2,536","1,369","1,013",519,"4,446","2,168","3,255","3,353","2,184","1,790"
2020,7,70,"22,511",556,366,461,435,418,856,465,453,390,409,548,439,848,"1,013",972,594,"1,224","1,348","1,006",576,341,"2,201","1,148","1,671","1,746","1,039",988
2020,7,80,"9,947",330,236,310,264,309,506,260,236,253,170,264,141,338,379,431,200,443,529,341,190,174,849,398,845,729,376,446
2020,7,90,"1,496",55,41,50,61,61,89,33,41,40,18,43,19,44,50,56,35,51,74,48,34,26,135,62,114,84,74,58
2020,7,100,118,5,0,0,4,8,7,4,1,3,4,6,7,12,5,4,3,3,4,4,1,2,5,0,2,5,11,8
2020,8,총,"267,982","3,203","4,724","3,452","2,712","2,614","5,103","3,033","2,945","2,224","3,508","3,069","2,426","5,731","7,314","5,809","4,241","12,917","22,183","7,573","5,606","2,932","55,600","12,967","24,006","32,806","16,873","12,411"
2020,8,0,"21,450",96,582,181,70,76,160,77,97,47,115,124,122,222,372,181,209,"1,117","2,510",414,316,166,"6,887",693,"1,830","2,785","1,244",757
2020,8,10,"27,060",113,372,347,119,114,246,156,142,104,188,138,142,416,628,339,209,"1,142","2,093",490,487,257,"7,760","1,206","2,948","4,329","1,673",902
2020,8,20,"29,568",252,384,246,234,168,349,271,254,135,337,259,169,479,813,595,408,"1,429","2,537",739,646,311,"6,638","1,616","2,964","4,212","1,808","1,315"
2020,8,30,"31,258",198,716,216,150,165,373,177,197,125,284,228,225,496,594,430,569,"1,712","3,789",778,579,265,"7,884","1,356","2,242","3,732","2,166","1,612"
2020,8,40,"43,758",325,734,494,262,256,545,309,291,231,526,382,272,742,988,640,569,"1,958","3,608","1,111",749,375,"10,920","1,881","3,977","6,247","3,191","2,175"
2020,8,50,"43,934",590,684,562,507,467,837,617,597,390,744,467,380,986,"1,124",981,658,"2,073","3,126","1,257","1,011",489,"7,834","2,422","4,144","5,548","3,088","2,351"
2020,8,60,"36,776",685,605,587,605,575,"1,133",658,635,500,714,611,506,"1,151","1,344","1,169",775,"1,760","2,561","1,377","1,013",522,"4,473","2,172","3,269","3,385","2,189","1,802"
2020,8,70,"22,553",555,372,458,436,415,858,470,451,395,411,544,442,842,"1,018",978,599,"1,223","1,350","1,012",578,344,"2,197","1,156","1,670","1,746","1,050",983
2020,8,80,"9,985",331,234,311,266,307,508,261,237,253,167,266,143,340,377,435,206,448,523,343,194,175,865,400,842,732,374,447
2020,8,90,"1,521",53,41,50,59,63,87,33,43,41,18,44,18,45,51,57,36,52,82,48,32,26,137,65,117,85,79,59
2020,8,100,119,5,0,0,4,8,7,4,1,3,4,6,7,12,5,4,3,3,4,4,1,2,5,0,3,5,11,8
2020,9,총,"268,025","3,191","4,686","3,443","2,698","2,613","5,067","3,032","2,916","2,225","3,492","3,059","2,425","5,643","7,242","5,772","4,395","12,867","22,139","7,551","6,711","2,908","55,390","12,887","23,933","32,590","16,860","12,290"
2020,9,0,"21,356",98,577,175,70,74,155,75,97,47,110,123,126,204,362,176,221,"1,115","2,516",410,417,166,"6,853",684,"1,794","2,736","1,236",739
2020,9,10,"27,005",112,366,349,116,115,244,158,138,103,189,140,139,406,611,337,214,"1,141","2,088",489,596,253,"7,742","1,175","2,943","4,301","1,657",883
2020,9,20,"29,585",247,376,241,233,167,343,270,245,136,335,258,166,468,813,594,442,"1,416","2,513",735,858,300,"6,589","1,604","2,946","4,194","1,808","1,288"
2020,9,30,"31,126",199,708,213,150,162,363,178,190,123,279,222,219,477,573,418,611,"1,701","3,773",775,739,262,"7,781","1,344","2,233","3,683","2,168","1,582"
2020,9,40,"43,717",320,726,496,260,257,529,310,287,228,520,377,273,733,982,628,586,"1,948","3,602","1,090",934,371,"10,905","1,855","3,969","6,204","3,173","2,154"
2020,9,50,"43,940",586,675,557,493,466,834,608,585,389,745,468,376,959,"1,115",975,671,"2,056","3,117","1,243","1,204",482,"7,833","2,432","4,137","5,513","3,093","2,328"
2020,9,60,"37,013",682,615,593,611,579,"1,134",662,640,507,718,612,504,"1,160","1,330","1,171",786,"1,764","2,569","1,394","1,121",520,"4,480","2,173","3,271","3,403","2,204","1,810"
2020,9,70,"22,642",559,369,457,436,416,862,474,453,393,414,542,449,833,"1,018",970,617,"1,226","1,357","1,017",600,347,"2,198","1,155","1,675","1,746","1,063",996
2020,9,80,"9,984",328,234,312,265,308,507,260,237,253,159,268,147,344,382,442,208,444,518,346,206,176,864,400,842,718,370,446
2020,9,90,"1,536",55,40,50,60,61,89,33,42,43,19,43,20,47,51,57,36,53,82,48,35,28,139,65,120,87,77,56
2020,9,100,121,5,0,0,4,8,7,4,2,3,4,6,6,12,5,4,3,3,4,4,1,3,6,0,3,5,11,8
2020,10,총,"267,987","3,187","4,701","3,427","2,685","2,603","5,056","3,041","2,909","2,227","3,469","3,063","2,408","5,592","7,185","5,730","4,452","12,829","22,148","7,499","7,382","2,898","55,281","12,804","23,872","32,482","16,819","12,238"
2020,10,0,"21,182",91,575,167,68,72,154,76,103,46,109,128,119,196,358,169,230,"1,108","2,526",402,467,164,"6,795",674,"1,758","2,694","1,209",724
2020,10,10,"27,003",111,376,354,114,114,240,159,135,102,183,144,137,403,595,341,219,"1,131","2,090",483,646,260,"7,740","1,166","2,937","4,286","1,660",877
2020,10,20,"29,629",254,377,243,233,166,341,270,242,136,328,256,166,457,813,587,450,"1,414","2,514",733,979,299,"6,578","1,585","2,955","4,175","1,807","1,271"
2020,10,30,"30,896",195,702,211,147,162,364,180,187,124,277,222,205,465,555,412,620,"1,696","3,770",773,848,259,"7,683","1,314","2,207","3,626","2,129","1,563"
2020,10,40,"43,632",313,728,478,254,254,527,306,282,231,513,384,280,718,965,620,592,"1,932","3,580","1,073","1,029",370,"10,930","1,829","3,947","6,179","3,170","2,148"
2020,10,50,"44,021",589,685,568,484,461,826,614,576,389,741,465,368,956,"1,117",958,680,"2,046","3,120","1,232","1,339",481,"7,865","2,418","4,134","5,512","3,080","2,317"
2020,10,60,"37,214",689,621,588,619,579,"1,135",663,642,510,715,607,501,"1,163","1,322","1,166",789,"1,777","2,573","1,390","1,207",517,"4,485","2,191","3,286","3,429","2,232","1,818"
2020,10,70,"22,720",556,368,454,434,420,867,475,458,392,423,540,452,832,"1,021",973,619,"1,226","1,369","1,008",611,344,"2,197","1,165","1,678","1,759","1,074","1,005"
2020,10,80,"10,015",327,229,311,268,306,505,260,237,251,156,271,154,344,382,443,213,442,519,351,217,176,862,399,847,725,368,452
2020,10,90,"1,553",57,40,53,60,61,90,34,44,43,20,41,20,46,52,57,37,54,83,50,38,25,140,63,120,92,78,55
2020,10,100,122,5,0,0,4,8,7,4,3,3,4,5,6,12,5,4,3,3,4,4,1,3,6,0,3,5,12,8
2020,11,총,"267,911","3,194","4,711","3,427","2,674","2,590","5,044","3,032","2,914","2,218","3,436","3,052","2,410","5,576","7,192","5,696","4,451","12,805","22,251","7,507","7,646","2,881","55,262","12,754","23,812","32,403","16,806","12,167"
2020,11,0,"21,046",89,579,167,65,71,153,71,103,49,104,122,120,189,364,161,229,"1,092","2,545",399,484,163,"6,765",668,"1,743","2,666","1,175",710
2020,11,10,"26,908",111,368,352,113,113,240,156,133,97,175,147,140,401,593,335,210,"1,133","2,112",488,661,254,"7,722","1,146","2,939","4,235","1,664",870
2020,11,20,"29,665",261,380,246,233,164,347,273,249,134,320,260,166,454,805,592,449,"1,402","2,520",723,"1,027",300,"6,568","1,589","2,936","4,187","1,818","1,262"
2020,11,30,"30,769",189,712,214,145,160,360,177,185,124,284,217,202,467,562,404,624,"1,681","3,783",769,887,253,"7,650","1,295","2,187","3,596","2,109","1,533"
2020,11,40,"43,550",313,724,478,250,258,522,304,276,233,497,375,280,719,964,605,593,"1,935","3,596","1,071","1,066",366,"10,923","1,830","3,927","6,139","3,163","2,143"
2020,11,50,"44,029",593,688,563,478,445,822,610,580,385,731,466,368,948,"1,107",955,683,"2,050","3,109","1,237","1,394",479,"7,892","2,414","4,124","5,531","3,084","2,293"
2020,11,60,"37,404",692,616,593,625,588,"1,133",661,639,510,722,609,503,"1,157","1,329","1,160",791,"1,790","2,596","1,399","1,244",518,"4,509","2,187","3,300","3,451","2,255","1,827"
2020,11,70,"22,837",559,378,452,434,414,870,482,461,392,421,537,452,842,"1,023",986,618,"1,221","1,385","1,015",622,342,"2,224","1,159","1,694","1,772","1,076","1,006"
2020,11,80,"10,011",323,226,308,266,305,499,259,240,249,157,273,152,339,388,437,214,443,518,351,220,178,865,401,839,729,373,459
2020,11,90,"1,569",59,40,54,60,64,91,35,45,42,21,41,21,48,52,57,37,55,83,51,40,25,138,65,120,92,77,56
2020,11,100,123,5,0,0,5,8,7,4,3,3,4,5,6,12,5,4,3,3,4,4,1,3,6,0,3,5,12,8
2020,12,총,"267,859","3,184","4,720","3,454","2,677","2,589","5,043","3,021","2,903","2,224","3,394","3,039","2,406","5,547","7,186","5,705","4,466","12,805","22,238","7,511","7,753","2,878","55,353","12,699","23,838","32,345","16,755","12,126"
2020,12,0,"20,951",87,580,179,65,72,155,72,101,48,93,118,120,189,368,158,236,"1,076","2,544",395,486,164,"6,746",665,"1,730","2,643","1,160",701
2020,12,10,"26,830",113,370,357,111,110,234,152,137,98,176,144,139,397,587,337,208,"1,134","2,100",500,671,254,"7,709","1,125","2,935","4,232","1,645",855
2020,12,20,"29,721",259,371,244,231,168,348,266,249,137,313,265,168,450,804,595,450,"1,400","2,529",723,"1,056",301,"6,590","1,583","2,942","4,194","1,833","1,252"
2020,12,30,"30,705",188,724,215,146,162,360,181,185,127,274,209,201,466,562,407,630,"1,681","3,778",766,904,250,"7,644","1,279","2,190","3,563","2,087","1,526"
2020,12,40,"43,433",312,721,483,247,256,518,298,274,235,484,369,281,712,954,604,593,"1,937","3,602","1,071","1,058",365,"10,942","1,822","3,917","6,106","3,138","2,134"
2020,12,50,"43,964",584,688,557,479,438,815,606,572,380,723,466,365,939,"1,109",956,686,"2,036","3,080","1,226","1,419",478,"7,927","2,405","4,139","5,519","3,083","2,289"
2020,12,60,"37,597",697,618,599,632,590,"1,139",670,635,514,724,614,497,"1,154","1,334","1,155",795,"1,802","2,611","1,395","1,267",517,"4,554","2,191","3,323","3,471","2,262","1,837"
2020,12,70,"22,900",560,385,460,434,418,872,478,458,393,422,536,457,840,"1,023",993,613,"1,227","1,384","1,023",630,347,"2,230","1,158","1,693","1,778","1,084","1,004"
2020,12,80,"10,068",322,224,304,268,304,503,261,244,250,160,270,150,340,390,440,215,453,523,357,220,174,868,407,844,741,372,464
2020,12,90,"1,566",57,39,56,59,63,92,33,45,39,21,43,22,48,50,56,37,56,83,51,41,25,137,63,122,93,79,56
2020,12,100,124,5,0,0,5,8,7,4,3,3,4,5,6,12,5,4,3,3,4,4,1,3,6,1,3,5,12,8
2021,1,총,"267,798","3,158","4,732","3,437","2,664","2,572","5,014","3,019","2,914","2,218","3,401","3,040","2,380","5,513","7,168","5,710","4,455","12,817","22,312","7,507","7,883","2,879","55,385","12,666","23,813","32,282","16,761","12,098"
2021,1,0,"20,765",84,578,180,61,73,148,70,101,47,96,121,118,184,359,158,232,"1,068","2,547",394,492,167,"6,687",655,"1,693","2,608","1,143",701
2021,1,10,"26,749",113,369,348,109,105,228,149,141,96,174,141,134,385,585,343,206,"1,128","2,099",496,671,254,"7,744","1,119","2,933","4,196","1,637",846
2021,1,20,"29,742",253,371,243,229,167,344,265,251,135,316,268,165,445,808,589,443,"1,396","2,555",722,"1,082",303,"6,609","1,585","2,948","4,181","1,844","1,225"
2021,1,30,"30,479",181,727,217,145,156,349,184,187,126,274,207,196,453,561,403,627,"1,687","3,755",755,929,252,"7,554","1,263","2,172","3,544","2,070","1,505"
2021,1,40,"43,418",314,725,469,235,256,522,292,270,231,486,363,270,707,949,606,593,"1,934","3,634","1,079","1,062",360,"10,953","1,826","3,906","6,095","3,146","2,135"
2021,1,50,"44,015",572,685,562,487,435,808,604,566,378,720,467,366,936,"1,101",957,683,"2,039","3,095","1,230","1,437",476,"7,973","2,389","4,143","5,535","3,083","2,288"
2021,1,60,"37,821",701,627,593,635,593,"1,139",680,641,515,731,618,495,"1,157","1,334","1,153",801,"1,812","2,621","1,393","1,304",517,"4,602","2,191","3,350","3,490","2,275","1,853"
2021,1,70,"22,980",553,389,462,433,413,871,476,459,397,420,535,455,838,"1,025","1,001",613,"1,232","1,402","1,025",635,347,"2,253","1,163","1,690","1,787","1,093","1,013"
2021,1,80,"10,121",323,221,306,266,303,503,264,248,251,159,272,153,347,392,440,218,462,518,357,229,176,867,409,851,743,376,467
2021,1,90,"1,582",59,40,57,59,63,95,31,47,39,21,43,22,49,49,56,36,56,82,52,41,24,135,65,124,98,82,57
2021,1,100,126,5,0,0,5,8,7,4,3,3,4,5,6,12,5,4,3,3,4,4,1,3,8,1,3,5,12,8
