년도,월,나이,강원도 태백시,강원도 태백시 황지동,강원도 태백시 황연동,강원도 태백시 삼수동,강원도 태백시 상장동,강원도 태백시 문곡소도동,강원도 태백시 장성동,강원도 태백시 구문소동,강원도 태백시 철암동
2021,6,20,"2,066",359,200,244,798,149,158,84,74
2021,6,30,"1,865",307,147,251,712,150,142,77,79
2021,6,40,"3,280",464,325,498,"1,275",266,194,156,102
2021,6,50,"3,812",533,415,520,"1,158",376,363,243,204
2021,6,60,"3,810",534,517,503,858,463,376,312,247
2021,6,70,"2,117",275,242,344,430,238,199,207,182
2021,6,80,772,85,87,135,131,96,78,77,83
2021,6,90,53,6,5,14,7,6,4,4,7
2021,6,100,9,1,0,3,1,2,2,0,0
2021,7,총,"20,966","3,098","2,186","2,961","6,715","1,924","1,697","1,348","1,037"
2021,7,0,"1,267",234,87,197,550,74,64,40,21
2021,7,10,"1,935",292,160,258,813,114,111,146,41
2021,7,20,"2,057",359,200,246,789,145,160,83,75
2021,7,30,"1,860",309,143,252,709,149,145,77,76
2021,7,40,"3,273",470,329,491,"1,268",263,194,154,104
2021,7,50,"3,804",532,416,523,"1,157",373,360,241,202
2021,7,60,"3,815",534,516,499,860,463,376,319,248
2021,7,70,"2,117",273,243,342,431,240,203,206,179
2021,7,80,777,88,87,136,130,95,78,78,85
2021,7,90,52,6,5,14,7,6,4,4,6
2021,7,100,9,1,0,3,1,2,2,0,0
2021,8,총,"20,936","3,082","2,184","2,970","6,702","1,929","1,691","1,342","1,036"
2021,8,0,"1,260",228,84,203,549,74,63,39,20
2021,8,10,"1,927",294,159,258,801,120,109,145,41
2021,8,20,"2,046",354,201,243,785,144,161,82,76
2021,8,30,"1,841",306,143,251,704,148,140,75,74
2021,8,40,"3,268",464,330,494,"1,262",263,195,154,106
2021,8,50,"3,812",535,413,525,"1,162",375,361,238,203
2021,8,60,"3,822",532,520,499,865,465,374,321,246
2021,8,70,"2,121",273,242,344,436,239,204,205,178
2021,8,80,779,89,88,136,130,93,78,79,86
2021,8,90,51,6,4,14,7,6,4,4,6
2021,8,100,9,1,0,3,1,2,2,0,0
2021,9,총,"20,831","3,074","2,178","2,955","6,662","1,920","1,680","1,325","1,037"
2021,9,0,"1,248",231,79,197,548,74,61,38,20
2021,9,10,"1,908",287,162,257,792,119,107,142,42
2021,9,20,"2,009",354,200,236,769,141,157,77,75
2021,9,30,"1,820",303,147,248,690,143,139,73,77
2021,9,40,"3,259",465,326,494,"1,256",264,196,152,106
2021,9,50,"3,807",531,413,527,"1,166",373,360,237,200
2021,9,60,"3,814",531,518,493,868,467,371,318,248
2021,9,70,"2,120",275,241,350,434,235,204,204,177
2021,9,80,787,90,88,136,131,95,81,80,86
2021,9,90,50,6,4,14,7,7,2,4,6
2021,9,100,9,1,0,3,1,2,2,0,0
2021,10,총,"20,777","3,059","2,172","2,957","6,650","1,922","1,674","1,315","1,028"
2021,10,0,"1,242",228,80,193,545,75,63,38,20
2021,10,10,"1,892",286,161,256,789,117,103,139,41
2021,10,20,"2,013",353,197,242,770,141,157,77,76
2021,10,30,"1,798",300,147,246,680,141,137,70,77
2021,10,40,"3,254",462,323,487,"1,263",269,193,150,107
2021,10,50,"3,799",527,407,538,"1,163",371,361,236,196
2021,10,60,"3,818",532,524,492,863,470,370,316,251
2021,10,70,"2,120",275,243,349,437,236,205,204,171
2021,10,80,781,88,86,137,132,93,81,81,83
2021,10,90,51,7,4,14,7,7,2,4,6
2021,10,100,9,1,0,3,1,2,2,0,0
2021,11,총,"20,738","3,045","2,167","2,955","6,648","1,924","1,669","1,305","1,025"
2021,11,0,"1,232",226,77,194,540,75,63,37,20
2021,11,10,"1,892",288,161,255,790,121,101,137,39
2021,11,20,"2,012",342,196,243,772,145,156,77,81
2021,11,30,"1,772",291,147,243,672,138,137,70,74
2021,11,40,"3,258",468,323,487,"1,267",269,190,149,105
2021,11,50,"3,792",525,409,534,"1,164",371,360,234,195
2021,11,60,"3,818",532,521,499,863,464,375,313,251
2021,11,70,"2,113",273,243,347,437,238,200,204,171
2021,11,80,789,90,86,139,135,94,82,80,83
2021,11,90,54,9,4,14,7,7,3,4,6
2021,11,100,6,1,0,0,1,2,2,0,0
2021,12,총,"20,656","3,031","2,161","2,946","6,626","1,914","1,647","1,300","1,031"
2021,12,0,"1,218",228,75,195,535,71,59,35,20
2021,12,10,"1,889",287,163,259,784,121,100,136,39
2021,12,20,"1,994",333,192,241,768,144,155,78,83
2021,12,30,"1,750",287,147,237,667,135,135,68,74
2021,12,40,"3,244",463,321,484,"1,269",267,188,147,105
2021,12,50,"3,776",526,407,533,"1,163",370,358,226,193
2021,12,60,"3,833",534,521,496,863,465,372,324,258
2021,12,70,"2,103",272,244,349,435,234,199,203,167
2021,12,80,796,92,87,138,136,100,78,79,86
2021,12,90,53,9,4,14,6,7,3,4,6
2021,12,100,0,0,0,0,0,0,0,0,0
