년도,월,나이,전라북도 남원시,전라북도 남원시 운봉읍,전라북도 남원시 주천면,전라북도 남원시 수지면,전라북도 남원시 송동면,전라북도 남원시 주생면,전라북도 남원시 금지면,전라북도 남원시 대강면,전라북도 남원시 대산면,전라북도 남원시 사매면,전라북도 남원시 덕과면,전라북도 남원시 보절면,전라북도 남원시 산동면,전라북도 남원시 이백면,전라북도 남원시 아영면,전라북도 남원시 산내면,전라북도 남원시 인월면,전라북도 남원시 동충동,전라북도 남원시 죽항동,전라북도 남원시 노암동,전라북도 남원시 금동,전라북도 남원시 왕정동,전라북도 남원시 향교동,전라북도 남원시 도통동
2020,4,40,"11,007",359,314,116,185,181,240,145,151,124,65,160,175,230,177,281,313,486,479,930,"1,108",536,"1,040","3,212"
2020,4,50,"13,901",702,490,180,391,301,360,251,309,277,161,255,347,434,333,484,550,629,561,"1,001","1,048",698,"1,371","2,768"
2020,4,60,"12,555",790,508,227,395,366,478,344,338,280,212,251,343,396,384,343,576,534,590,751,922,687,"1,122","1,718"
2020,4,70,"9,685",614,390,188,333,344,446,305,265,304,185,311,344,339,348,275,412,438,471,552,665,521,767,868
2020,4,80,"6,040",452,223,175,279,255,311,279,204,225,132,250,266,274,219,185,214,220,215,256,297,249,442,418
2020,4,90,910,75,39,32,41,37,41,48,42,30,18,32,33,47,37,18,35,25,36,31,43,45,63,62
2020,4,100,38,3,4,0,2,1,1,2,1,2,0,4,2,2,2,0,2,0,1,2,2,1,2,2
2020,5,총,"81,067","3,863","2,595","1,159","2,089","1,861","2,331","1,645","1,674","1,553",959,"1,577","1,913","2,291","1,925","2,100","2,758","3,585","3,451","6,169","6,811","4,194","7,372","17,192"
2020,5,0,"5,201",161,96,49,69,67,89,52,64,53,27,72,70,95,103,85,123,193,177,595,617,234,442,"1,668"
2020,5,10,"7,487",203,171,55,120,102,130,76,96,64,36,77,99,173,114,182,203,373,274,624,791,334,669,"2,521"
2020,5,20,"7,605",288,214,80,146,128,120,74,103,120,62,106,132,171,115,143,174,378,384,686,619,479,801,"2,082"
2020,5,30,"6,646",216,153,61,134,82,117,74,97,79,59,66,105,131,102,99,159,303,266,726,686,421,647,"1,863"
2020,5,40,"10,983",359,312,113,185,176,242,143,150,124,62,157,174,231,173,281,312,488,477,932,"1,111",527,"1,044","3,210"
2020,5,50,"13,852",702,488,176,388,305,359,250,313,274,163,250,345,429,330,481,541,631,553,"1,003","1,039",698,"1,363","2,771"
2020,5,60,"12,592",788,504,227,394,359,479,343,340,277,214,251,347,401,384,344,580,540,594,757,938,685,"1,125","1,721"
2020,5,70,"9,700",613,393,190,329,346,445,309,264,304,188,310,343,338,345,281,412,438,473,556,664,515,772,872
2020,5,80,"6,053",454,221,176,281,257,308,276,205,227,131,252,261,273,220,185,216,217,216,260,299,254,444,420
2020,5,90,909,76,39,32,41,38,41,46,41,29,17,32,35,47,37,18,36,24,36,28,45,46,63,62
2020,5,100,39,3,4,0,2,1,1,2,1,2,0,4,2,2,2,1,2,0,1,2,2,1,2,2
2020,6,총,"81,051","3,864","2,592","1,165","2,080","1,857","2,331","1,641","1,663","1,561",963,"1,572","1,905","2,296","1,911","2,111","2,749","3,584","3,444","6,210","6,787","4,204","7,344","17,217"
2020,6,0,"5,170",160,94,47,68,68,86,51,65,56,29,70,70,97,100,86,119,197,174,597,602,236,435,"1,663"
2020,6,10,"7,464",202,170,54,118,102,129,77,94,64,35,79,95,170,115,182,205,374,269,623,782,339,664,"2,522"
2020,6,20,"7,593",284,216,81,147,126,121,73,99,127,63,101,130,170,112,146,170,370,372,696,620,475,797,"2,097"
2020,6,30,"6,627",217,149,62,133,80,121,69,95,79,61,65,100,137,100,100,160,299,266,730,678,420,641,"1,865"
2020,6,40,"10,961",355,306,116,183,174,240,145,150,122,63,158,176,230,170,274,305,490,482,949,"1,107",528,"1,036","3,202"
2020,6,50,"13,813",708,487,178,386,303,356,247,308,275,163,245,342,425,326,486,538,629,554,999,"1,036",695,"1,350","2,777"
2020,6,60,"12,666",788,507,227,386,360,480,346,343,275,216,258,352,410,382,345,578,547,599,761,945,688,"1,139","1,734"
2020,6,70,"9,744",616,397,192,335,347,447,310,263,305,186,309,340,332,343,286,417,439,473,564,674,521,777,871
2020,6,80,"6,051",455,220,176,279,257,309,273,205,227,131,250,264,276,223,187,216,215,218,260,298,253,440,419
2020,6,90,921,76,42,32,43,39,41,48,40,29,16,33,33,47,37,18,39,24,36,29,43,48,63,65
2020,6,100,41,3,4,0,2,1,1,2,1,2,0,4,3,2,3,1,2,0,1,2,2,1,2,2
2020,7,총,"81,028","3,869","2,612","1,168","2,064","1,853","2,332","1,646","1,673","1,550",962,"1,568","1,901","2,297","1,912","2,123","2,743","3,578","3,444","6,225","6,803","4,197","7,324","17,184"
2020,7,0,"5,161",160,97,46,66,70,84,55,66,56,28,70,70,97,97,91,119,191,179,599,600,237,435,"1,648"
2020,7,10,"7,442",200,167,57,113,100,129,77,97,63,36,76,94,166,115,186,205,377,259,626,785,334,662,"2,518"
2020,7,20,"7,620",286,221,80,146,122,121,74,99,120,62,102,133,176,113,143,172,375,371,698,628,480,803,"2,095"
2020,7,30,"6,601",220,149,62,133,80,122,70,95,79,62,66,99,136,102,102,154,295,275,729,679,414,632,"1,846"
2020,7,40,"10,935",355,308,115,180,174,239,144,149,121,62,155,175,228,170,273,307,489,478,956,"1,105",527,"1,031","3,194"
2020,7,50,"13,780",705,490,180,381,301,350,245,309,275,164,248,339,423,326,489,536,620,551,989,"1,042",690,"1,338","2,789"
2020,7,60,"12,700",788,514,229,390,360,484,351,349,276,214,256,354,412,382,345,580,546,598,775,947,683,"1,137","1,730"
2020,7,70,"9,774",623,396,193,335,346,452,308,263,302,189,307,340,333,342,284,414,442,475,566,674,531,782,877
2020,7,80,"6,035",452,224,172,275,258,307,272,205,227,128,250,261,276,223,190,217,219,219,257,295,252,439,417
2020,7,90,937,77,42,34,42,41,43,48,40,29,17,34,33,48,39,19,37,24,38,28,46,47,63,68
2020,7,100,43,3,4,0,3,1,1,2,1,2,0,4,3,2,3,1,2,0,1,2,2,2,2,2
2020,8,총,"81,062","3,864","2,620","1,160","2,070","1,855","2,339","1,643","1,674","1,544",955,"1,556","1,903","2,295","1,919","2,124","2,736","3,577","3,437","6,223","6,821","4,193","7,325","17,229"
2020,8,0,"5,159",159,97,48,66,71,83,53,66,57,26,70,70,98,95,91,122,192,182,598,597,235,432,"1,651"
2020,8,10,"7,416",201,168,52,120,98,123,75,97,60,35,75,93,164,118,186,203,370,258,619,793,332,658,"2,518"
2020,8,20,"7,623",284,225,78,147,122,124,76,99,119,60,101,129,178,114,143,169,380,371,696,630,477,801,"2,100"
2020,8,30,"6,566",220,147,61,128,80,120,70,97,79,62,64,100,135,104,100,148,290,276,728,678,405,632,"1,842"
2020,8,40,"10,912",359,303,114,178,170,242,143,148,120,62,151,175,225,171,272,306,480,481,953,"1,106",532,"1,024","3,197"
2020,8,50,"13,776",696,489,180,381,305,353,244,305,274,165,242,335,423,319,490,538,626,547,992,"1,039",690,"1,341","2,802"
2020,8,60,"12,772",784,519,227,396,368,487,350,351,274,214,262,359,412,390,348,583,542,586,783,956,690,"1,145","1,746"
2020,8,70,"9,797",627,401,194,335,342,454,310,263,297,186,305,344,332,344,284,413,452,477,565,675,530,785,882
2020,8,80,"6,056",454,225,172,272,256,308,272,207,233,128,249,262,278,221,190,216,221,221,258,298,255,439,421
2020,8,90,943,77,42,34,45,42,44,48,40,29,17,33,33,48,40,19,36,24,37,29,47,45,66,68
2020,8,100,42,3,4,0,2,1,1,2,1,2,0,4,3,2,3,1,2,0,1,2,2,2,2,2
2020,9,총,"80,905","3,848","2,612","1,164","2,060","1,840","2,337","1,636","1,663","1,531",953,"1,549","1,897","2,294","1,921","2,129","2,730","3,563","3,415","6,222","6,813","4,160","7,280","17,288"
2020,9,0,"5,105",162,93,48,66,72,82,55,63,57,25,68,66,99,95,88,121,194,181,592,593,223,420,"1,642"
2020,9,10,"7,385",190,169,55,115,95,120,73,92,60,34,74,94,167,117,190,200,372,252,628,785,324,655,"2,524"
2020,9,20,"7,621",282,227,76,150,123,123,75,101,115,59,101,129,180,117,142,170,381,365,690,635,470,796,"2,114"
2020,9,30,"6,503",216,142,62,124,79,119,70,98,80,60,62,100,130,106,96,147,280,264,718,673,401,614,"1,862"
2020,9,40,"10,862",352,301,110,172,167,242,139,145,118,62,147,174,224,171,275,298,476,482,961,"1,106",524,"1,014","3,202"
2020,9,50,"13,766",698,483,184,383,300,354,243,302,270,167,243,335,420,317,489,537,620,552,987,"1,032",693,"1,338","2,819"
2020,9,60,"12,810",786,523,227,400,364,491,353,352,271,214,262,359,412,389,351,585,544,588,788,959,693,"1,144","1,755"
2020,9,70,"9,802",625,403,196,329,342,452,307,263,299,187,305,344,337,348,285,414,449,474,566,683,531,784,879
2020,9,80,"6,064",456,223,173,274,255,310,271,206,233,126,249,261,276,219,191,220,223,219,259,300,254,446,420
2020,9,90,945,78,44,33,45,42,43,48,40,28,19,34,32,47,39,21,36,24,37,31,45,44,66,69
2020,9,100,42,3,4,0,2,1,1,2,1,0,0,4,3,2,3,1,2,0,1,2,2,3,3,2
2020,10,총,"80,863","3,841","2,612","1,167","2,055","1,834","2,330","1,635","1,663","1,521",944,"1,545","1,886","2,286","1,928","2,114","2,728","3,551","3,409","6,197","6,819","4,148","7,256","17,394"
2020,10,0,"5,070",160,96,48,65,71,81,52,62,57,22,65,64,98,92,87,119,193,179,590,595,218,418,"1,638"
2020,10,10,"7,393",188,166,54,111,98,119,75,90,60,35,75,95,163,118,186,199,373,253,619,779,332,646,"2,559"
2020,10,20,"7,618",283,225,76,148,121,122,75,100,115,57,98,125,180,117,140,176,375,366,695,633,458,797,"2,136"
2020,10,30,"6,479",212,144,63,122,77,116,69,99,77,59,62,99,131,106,96,148,283,268,705,670,395,613,"1,865"
2020,10,40,"10,795",349,293,111,171,167,231,136,141,115,62,143,169,217,170,271,296,469,471,958,"1,111",525,"1,005","3,214"
2020,10,50,"13,781",698,490,187,381,303,360,248,307,270,163,243,333,425,320,490,531,619,552,982,"1,032",695,"1,330","2,822"
2020,10,60,"12,856",786,524,226,408,361,489,353,354,272,215,264,361,411,392,351,588,544,587,792,965,694,"1,146","1,773"
2020,10,70,"9,812",623,404,197,330,340,453,308,263,297,185,305,342,334,351,283,411,449,480,565,688,530,787,887
2020,10,80,"6,066",461,222,172,269,256,314,270,206,232,126,251,260,279,220,189,222,220,213,258,299,253,447,427
2020,10,90,951,78,44,33,48,39,44,47,40,26,20,35,35,46,39,20,36,26,39,31,45,45,64,71
2020,10,100,42,3,4,0,2,1,1,2,1,0,0,4,3,2,3,1,2,0,1,2,2,3,3,2
2020,11,총,"80,784","3,848","2,621","1,162","2,050","1,834","2,312","1,632","1,662","1,518",941,"1,532","1,875","2,300","1,924","2,119","2,735","3,535","3,386","6,187","6,815","4,118","7,241","17,437"
2020,11,0,"5,030",160,95,48,63,70,77,52,63,56,23,62,62,98,92,87,119,188,177,582,600,215,413,"1,628"
2020,11,10,"7,363",186,167,55,109,100,107,73,91,63,35,71,93,164,116,187,201,365,243,613,771,330,646,"2,577"
2020,11,20,"7,615",285,226,75,146,118,126,75,101,113,56,99,123,183,114,139,175,377,368,701,627,451,794,"2,143"
2020,11,30,"6,446",217,145,58,121,78,112,69,98,74,55,60,97,130,104,98,148,284,266,701,669,387,607,"1,868"
2020,11,40,"10,776",350,292,110,170,165,227,136,142,115,62,140,168,222,173,270,298,464,463,950,"1,115",517,"1,003","3,224"
2020,11,50,"13,752",700,495,189,376,305,356,241,301,267,164,240,333,423,321,490,531,623,544,985,"1,030",692,"1,333","2,813"
2020,11,60,"12,888",783,529,228,417,360,491,355,355,273,215,262,355,417,391,351,590,537,589,796,966,695,"1,147","1,786"
2020,11,70,"9,822",626,401,196,325,341,458,311,267,296,183,306,346,336,351,283,412,450,479,565,687,530,780,893
2020,11,80,"6,102",461,223,172,273,258,313,270,204,235,128,255,259,279,221,192,223,221,217,260,303,251,450,434
2020,11,90,950,77,44,31,49,38,44,48,39,26,20,33,36,46,38,21,36,26,39,32,45,47,65,70
2020,11,100,40,3,4,0,1,1,1,2,1,0,0,4,3,2,3,1,2,0,1,2,2,3,3,1
2020,12,총,"80,662","3,840","2,631","1,146","2,045","1,833","2,301","1,623","1,656","1,511","1,002","1,528","1,872","2,282","1,915","2,111","2,730","3,489","3,379","6,219","6,794","4,120","7,187","17,448"
2020,12,0,"5,011",158,97,46,61,69,72,51,63,56,25,58,65,93,92,83,119,182,179,585,592,213,411,"1,641"
2020,12,10,"7,331",185,164,54,109,102,107,72,91,63,37,73,90,158,117,187,197,353,240,623,781,328,639,"2,561"
2020,12,20,"7,569",281,233,72,142,112,125,71,98,112,71,99,125,184,112,139,170,374,366,689,617,448,781,"2,148"
2020,12,30,"6,417",214,147,58,117,80,112,70,94,70,59,57,97,125,100,92,153,277,278,704,655,386,607,"1,865"
2020,12,40,"10,747",349,288,110,170,164,225,135,146,116,71,141,166,220,171,268,295,456,458,967,"1,113",518,992,"3,208"
2020,12,50,"13,704",703,489,185,374,305,351,239,296,262,182,240,335,420,321,491,530,612,542,976,"1,027",688,"1,314","2,822"
2020,12,60,"12,945",789,542,227,420,363,494,358,354,277,218,262,354,421,392,351,595,532,580,802,969,705,"1,147","1,793"
2020,12,70,"9,827",622,397,193,326,339,456,307,269,292,189,306,343,334,349,286,411,450,483,570,689,532,783,901
2020,12,80,"6,121",457,226,171,277,261,313,271,204,236,130,254,259,278,221,193,222,227,215,269,304,253,445,435
2020,12,90,949,79,44,30,48,37,44,47,40,27,20,34,35,47,37,20,36,26,37,32,45,46,65,73
2020,12,100,41,3,4,0,1,1,2,2,1,0,0,4,3,2,3,1,2,0,1,2,2,3,3,1
2021,1,총,"80,570","3,850","2,633","1,145","2,037","1,836","2,312","1,617","1,660","1,502",979,"1,523","1,865","2,266","1,893","2,113","2,730","3,485","3,369","6,226","6,771","4,123","7,186","17,449"
2021,1,0,"4,960",167,97,50,58,68,72,47,63,53,24,56,65,93,86,80,122,178,178,581,581,207,406,"1,628"
2021,1,10,"7,283",184,162,53,111,102,116,74,89,61,36,66,86,152,117,189,197,353,240,631,773,324,632,"2,535"
2021,1,20,"7,589",276,234,67,143,115,127,72,99,112,66,102,129,181,103,139,169,372,365,688,618,461,786,"2,165"
2021,1,30,"6,392",221,149,63,115,81,112,68,93,69,55,60,95,122,98,92,152,272,279,698,644,395,604,"1,855"
2021,1,40,"10,700",350,282,109,168,163,225,134,148,114,72,135,162,217,169,265,297,458,458,962,"1,114",507,989,"3,202"
2021,1,50,"13,695",700,493,183,373,305,351,235,291,261,170,242,334,416,318,498,526,614,537,982,"1,024",683,"1,317","2,842"
2021,1,60,"13,007",786,544,228,420,367,496,359,359,277,221,266,351,424,392,350,597,534,573,808,976,707,"1,159","1,813"
2021,1,70,"9,789",619,394,193,325,337,455,307,272,290,185,302,343,331,349,288,409,446,483,572,683,534,774,898
2021,1,80,"6,160",465,230,170,275,259,312,272,205,239,129,255,261,280,221,190,225,231,216,269,311,257,451,437
2021,1,90,953,79,44,29,48,38,44,47,40,26,21,34,36,48,37,21,34,27,39,33,45,45,65,73
2021,1,100,42,3,4,0,1,1,2,2,1,0,0,5,3,2,3,1,2,0,1,2,2,3,3,1
2021,2,총,"80,375","3,825","2,636","1,140","2,044","1,838","2,314","1,613","1,665","1,495",977,"1,524","1,872","2,269","1,889","2,107","2,719","3,473","3,359","6,194","6,744","4,152","7,163","17,363"
2021,2,0,"4,916",165,97,48,59,67,67,46,64,55,24,55,66,94,87,78,119,175,180,569,578,204,399,"1,620"
2021,2,10,"7,225",184,163,55,112,100,117,71,88,62,34,67,87,151,117,182,195,348,236,628,766,328,632,"2,502"
2021,2,20,"7,536",265,235,64,148,118,130,75,94,108,68,100,127,178,102,140,167,371,360,681,611,475,768,"2,151"
2021,2,30,"6,336",215,153,61,115,83,109,66,94,67,56,60,97,124,95,91,150,272,278,687,639,394,597,"1,833"
2021,2,40,"10,655",347,278,108,166,161,227,133,151,115,72,137,166,220,170,261,298,458,456,953,"1,108",498,986,"3,186"
2021,2,50,"13,653",690,493,179,368,306,351,234,285,259,162,241,336,407,316,496,520,610,532,995,"1,029",692,"1,316","2,836"
2021,2,60,"13,071",792,548,230,426,369,495,360,369,278,225,265,347,431,393,356,599,534,574,807,976,717,"1,161","1,819"
2021,2,70,"9,798",619,390,194,325,338,457,305,271,288,186,304,346,331,351,291,411,445,486,572,680,531,778,899
2021,2,80,"6,192",469,233,170,276,260,313,275,206,238,130,256,262,281,220,189,224,233,218,268,311,263,455,442
2021,2,90,952,76,42,31,48,35,46,47,42,25,20,34,35,50,35,22,34,27,38,32,44,47,68,74
2021,2,100,41,3,4,0,1,1,2,1,1,0,0,5,3,2,3,1,2,0,1,2,2,3,3,1
2021,3,총,"80,227","3,834","2,622","1,130","2,041","1,834","2,312","1,609","1,669","1,494",955,"1,511","1,861","2,266","1,882","2,116","2,718","3,477","3,331","6,187","6,713","4,153","7,144","17,368"
2021,3,0,"4,877",162,95,44,60,67,67,46,66,56,25,54,67,94,89,83,114,176,173,569,561,204,395,"1,610"
2021,3,10,"7,174",187,163,55,112,97,120,70,87,61,34,66,84,150,116,179,194,346,238,627,761,325,614,"2,488"
2021,3,20,"7,514",265,234,61,147,116,128,75,95,106,58,99,125,174,93,139,170,374,362,679,615,475,766,"2,158"
2021,3,30,"6,303",214,152,63,113,82,110,66,93,67,52,56,94,124,99,91,148,271,271,687,636,395,595,"1,824"
2021,3,40,"10,581",349,275,108,164,160,222,131,153,114,69,133,164,217,166,257,290,457,449,939,"1,106",492,980,"3,186"
2021,3,50,"13,620",688,484,177,368,306,354,234,286,258,156,238,332,407,312,504,525,607,523,989,"1,020",688,"1,321","2,843"
2021,3,60,"13,170",796,548,230,429,375,494,360,366,277,228,271,348,438,395,359,598,545,571,822,978,734,"1,166","1,842"
2021,3,70,"9,778",628,388,192,325,332,454,300,272,284,184,302,346,330,349,292,417,438,489,568,680,526,780,902
2021,3,80,"6,210",469,236,169,275,261,316,279,210,244,129,255,262,278,225,190,225,235,215,272,310,261,453,441
2021,3,90,967,76,43,31,47,38,45,47,41,27,20,35,37,52,35,21,35,28,38,33,46,48,71,73
2021,3,100,33,0,4,0,1,0,2,1,0,0,0,2,2,2,3,1,2,0,2,2,0,5,3,1
2021,4,총,"80,196","3,849","2,628","1,132","2,033","1,833","2,309","1,619","1,657","1,485",962,"1,501","1,854","2,265","1,868","2,118","2,723","3,455","3,341","6,186","6,721","4,173","7,107","17,377"
2021,4,0,"4,839",165,94,45,59,66,66,47,66,56,25,53,65,93,86,82,116,175,174,562,551,207,391,"1,595"
2021,4,10,"7,154",197,163,57,109,99,119,72,85,60,34,65,83,148,115,179,194,344,240,629,757,320,607,"2,478"
2021,4,20,"7,496",261,232,64,146,113,125,74,90,104,60,97,125,175,90,143,168,372,360,679,621,476,764,"2,157"
2021,4,30,"6,269",210,149,56,110,82,109,68,94,68,50,55,91,126,95,89,150,274,270,680,630,396,590,"1,827"
2021,4,40,"10,543",348,275,112,162,162,222,133,148,108,71,129,163,213,163,258,288,448,450,950,"1,106",494,977,"3,163"
2021,4,50,"13,620",686,489,175,372,307,356,234,282,258,158,234,326,405,310,501,523,594,525,991,"1,029",695,"1,302","2,868"
2021,4,60,"13,269",808,558,232,432,374,496,363,369,277,231,274,356,440,398,362,601,552,576,828,985,741,"1,165","1,851"
2021,4,70,"9,765",629,387,193,322,330,450,299,272,284,184,304,344,331,346,289,420,432,490,561,682,526,777,913
2021,4,80,"6,232",469,233,168,273,260,318,279,208,242,129,254,262,277,228,196,224,236,216,272,313,265,459,451
2021,4,90,978,76,44,30,47,40,47,48,43,28,20,35,37,55,34,19,37,28,38,32,47,48,73,72
2021,4,100,31,0,4,0,1,0,1,2,0,0,0,1,2,2,3,0,2,0,2,2,0,5,2,2
2021,5,총,"80,086","3,850","2,621","1,133","2,027","1,820","2,299","1,619","1,649","1,486",962,"1,484","1,849","2,271","1,861","2,111","2,716","3,432","3,335","6,184","6,664","4,192","7,097","17,424"
2021,5,0,"4,814",163,97,46,57,59,66,46,65,55,27,51,65,94,86,79,114,174,175,565,541,209,395,"1,585"
2021,5,10,"7,162",204,160,57,108,97,119,72,87,60,34,64,81,149,114,182,194,340,239,619,761,323,608,"2,490"
2021,5,20,"7,498",263,226,64,146,112,124,75,89,102,59,95,126,178,89,144,165,372,358,689,615,482,760,"2,165"
2021,5,30,"6,234",208,151,55,109,83,105,65,91,71,52,53,91,127,94,87,148,269,276,678,621,397,583,"1,820"
2021,5,40,"10,434",343,267,112,159,158,220,132,147,106,67,128,159,213,160,246,285,440,442,941,"1,088",495,973,"3,153"
2021,5,50,"13,582",684,486,174,371,309,352,237,275,251,161,225,324,404,309,506,519,589,524,992,"1,024",693,"1,291","2,882"
2021,5,60,"13,343",816,565,231,433,372,498,363,373,283,229,277,359,443,393,363,607,554,575,831,981,750,"1,169","1,878"
2021,5,70,"9,758",625,386,191,319,332,449,298,273,289,186,301,344,334,349,288,418,428,487,561,670,522,785,923
2021,5,80,"6,250",468,235,172,274,259,320,280,208,241,128,253,263,273,229,197,227,236,217,273,317,270,456,454
2021,5,90,981,76,44,31,50,39,45,49,41,28,19,36,35,55,35,19,37,30,40,33,46,46,75,72
2021,5,100,30,0,4,0,1,0,1,2,0,0,0,1,2,1,3,0,2,0,2,2,0,5,2,2
2021,6,총,"80,032","3,840","2,623","1,120","2,031","1,803","2,299","1,612","1,658","1,484",953,"1,483","1,840","2,285","1,867","2,102","2,724","3,423","3,335","6,175","6,632","4,199","7,074","17,470"
2021,6,0,"4,799",166,94,44,59,58,65,43,68,52,27,52,62,95,88,79,112,173,178,564,535,209,396,"1,580"
