년도,월,나이,부산광역시 사상구,부산광역시 사상구 삼락동,부산광역시 사상구 모라제1동,부산광역시 사상구 모라제3동,부산광역시 사상구 덕포제1동,부산광역시 사상구 덕포제2동,부산광역시 사상구 괘법동,부산광역시 사상구 감전동,부산광역시 사상구 주례제1동,부산광역시 사상구 주례제2동,부산광역시 사상구 주례제3동,부산광역시 사상구 학장동,부산광역시 사상구 엄궁동
2020,10,50,"20,819",582,"2,884","1,052",856,"1,430","2,053","1,338","1,627","2,093","1,367","2,792","2,745"
2020,10,60,"18,336",583,"2,632","1,403",781,"1,197","1,701","1,311","1,295","1,647","1,225","2,577","1,984"
2020,10,70,"9,120",371,"1,198","1,055",451,517,794,737,571,841,584,"1,213",788
2020,10,80,"3,878",147,499,548,194,211,254,262,243,381,280,505,354
2020,10,90,545,19,65,66,24,38,45,44,42,54,35,62,51
2020,10,100,62,5,16,3,3,1,13,6,2,6,0,5,2
2020,11,총,"105,457","2,791","14,106","5,799","4,356","6,516","10,605","6,515","7,648","11,744","6,835","14,513","14,029"
2020,11,0,"6,146",105,827,156,250,349,543,252,479,751,368,929,"1,137"
2020,11,10,"7,233",141,957,228,308,456,498,334,538,882,514,"1,079","1,298"
2020,11,20,"13,455",266,"1,652",378,453,810,"2,013",802,985,"2,008",860,"1,574","1,654"
2020,11,30,"11,757",275,"1,517",383,468,688,"1,449",669,860,"1,416",694,"1,666","1,672"
2020,11,40,"14,050",299,"1,845",529,571,816,"1,237",758,998,"1,663",891,"2,117","2,326"
2020,11,50,"20,772",576,"2,886","1,048",852,"1,425","2,051","1,332","1,627","2,083","1,369","2,777","2,746"
2020,11,60,"18,402",584,"2,637","1,394",786,"1,204","1,706","1,320","1,301","1,649","1,239","2,584","1,998"
2020,11,70,"9,141",369,"1,203","1,064",448,517,794,737,577,849,578,"1,215",790
2020,11,80,"3,896",150,501,550,196,211,257,261,238,382,288,507,355
2020,11,90,543,21,65,66,21,39,44,44,43,55,34,60,51
2020,11,100,62,5,16,3,3,1,13,6,2,6,0,5,2
2020,12,총,"105,181","2,776","14,055","5,754","4,346","6,513","10,615","6,498","7,587","11,739","6,838","14,469","13,991"
2020,12,0,"6,063",105,811,144,243,346,542,251,470,739,367,922,"1,123"
2020,12,10,"7,206",139,956,228,316,449,493,333,524,885,513,"1,073","1,297"
2020,12,20,"13,413",266,"1,634",373,447,809,"2,038",791,973,"2,013",866,"1,561","1,642"
2020,12,30,"11,696",272,"1,504",374,467,685,"1,440",672,851,"1,414",699,"1,654","1,664"
2020,12,40,"13,941",297,"1,841",514,568,810,"1,223",748,992,"1,656",879,"2,105","2,308"
2020,12,50,"20,688",571,"2,868","1,054",848,"1,424","2,055","1,317","1,608","2,072","1,366","2,762","2,743"
2020,12,60,"18,460",584,"2,643","1,382",786,"1,217","1,708","1,334","1,307","1,653","1,236","2,599","2,011"
2020,12,70,"9,197",367,"1,217","1,065",452,520,799,738,582,860,586,"1,219",792
2020,12,80,"3,905",149,499,553,196,212,261,261,235,384,290,508,357
2020,12,90,551,21,66,64,20,40,43,47,44,57,36,61,52
2020,12,100,61,5,16,3,3,1,13,6,1,6,0,5,2
2021,1,총,"104,982","2,775","14,050","5,732","4,348","6,489","10,619","6,484","7,559","11,678","6,831","14,461","13,956"
2021,1,0,"6,014",104,802,137,245,339,533,252,466,734,370,921,"1,111"
2021,1,10,"7,168",137,959,227,315,447,503,330,514,872,511,"1,069","1,284"
2021,1,20,"13,347",266,"1,629",369,444,797,"2,039",789,972,"1,986",859,"1,563","1,634"
2021,1,30,"11,624",272,"1,502",370,466,682,"1,434",666,837,"1,406",700,"1,633","1,656"
2021,1,40,"13,911",298,"1,829",507,577,811,"1,225",753,987,"1,647",875,"2,105","2,297"
2021,1,50,"20,551",561,"2,860","1,049",843,"1,404","2,020","1,309","1,606","2,056","1,353","2,752","2,738"
2021,1,60,"18,575",595,"2,658","1,381",788,"1,229","1,743","1,333","1,314","1,662","1,245","2,609","2,018"
2021,1,70,"9,253",369,"1,227","1,075",454,526,795,736,583,860,593,"1,229",806
2021,1,80,"3,915",146,500,552,194,213,270,261,234,391,289,511,354
2021,1,90,563,22,68,62,19,40,44,49,45,58,36,64,56
2021,1,100,61,5,16,3,3,1,13,6,1,6,0,5,2
2021,2,총,"104,910","2,779","14,029","5,721","4,330","6,488","10,670","6,460","7,567","11,700","6,797","14,450","13,919"
2021,2,0,"5,967",105,792,137,241,338,530,252,462,728,364,914,"1,104"
2021,2,10,"7,132",139,955,223,309,450,500,327,511,887,507,"1,058","1,266"
2021,2,20,"13,350",267,"1,620",364,436,799,"2,083",772,975,"2,000",842,"1,559","1,633"
2021,2,30,"11,536",268,"1,488",363,464,683,"1,432",658,835,"1,400",701,"1,612","1,632"
2021,2,40,"13,871",299,"1,823",513,574,815,"1,218",746,987,"1,635",869,"2,098","2,294"
2021,2,50,"20,474",562,"2,845","1,038",837,"1,384","2,006","1,303","1,600","2,056","1,348","2,759","2,736"
2021,2,60,"18,738",596,"2,695","1,384",796,"1,239","1,760","1,346","1,328","1,676","1,247","2,639","2,032"
2021,2,70,"9,267",368,"1,223","1,081",454,526,806,735,583,862,591,"1,227",811
2021,2,80,"3,955",148,502,554,196,214,277,266,241,396,292,517,352
2021,2,90,557,22,70,61,20,39,44,49,43,54,36,62,57
2021,2,100,63,5,16,3,3,1,14,6,2,6,0,5,2
2021,3,총,"104,535","2,741","14,002","5,696","4,300","6,463","10,677","6,425","7,536","11,696","6,759","14,393","13,847"
2021,3,0,"5,905",108,780,136,237,339,523,251,456,725,355,901,"1,094"
2021,3,10,"7,119",134,957,216,309,444,497,315,515,903,513,"1,053","1,263"
2021,3,20,"13,327",266,"1,603",357,434,784,"2,133",778,966,"1,997",839,"1,540","1,630"
2021,3,30,"11,444",263,"1,484",352,455,689,"1,435",648,826,"1,397",680,"1,601","1,614"
2021,3,40,"13,776",296,"1,816",504,565,801,"1,209",733,985,"1,627",869,"2,095","2,276"
2021,3,50,"20,302",547,"2,816","1,032",833,"1,368","1,986","1,306","1,573","2,040","1,334","2,752","2,715"
2021,3,60,"18,825",589,"2,723","1,390",804,"1,253","1,769","1,345","1,345","1,689","1,247","2,639","2,032"
2021,3,70,"9,282",364,"1,231","1,082",454,529,802,735,583,867,593,"1,226",816
2021,3,80,"3,980",151,505,564,190,216,278,264,246,397,294,526,349
2021,3,90,536,19,70,60,19,39,42,48,40,51,35,57,56
2021,3,100,39,4,17,3,0,1,3,2,1,3,0,3,2
2021,4,총,"104,413","2,728","13,998","5,686","4,291","6,456","10,710","6,403","7,532","11,674","6,762","14,346","13,827"
2021,4,0,"5,872",105,780,134,239,340,518,249,458,723,351,892,"1,083"
2021,4,10,"7,096",134,957,211,302,439,494,313,515,897,519,"1,045","1,270"
2021,4,20,"13,298",271,"1,591",354,436,783,"2,159",758,959,"1,990",843,"1,531","1,623"
2021,4,30,"11,444",259,"1,479",346,448,696,"1,456",660,825,"1,391",687,"1,590","1,607"
2021,4,40,"13,713",291,"1,805",508,567,796,"1,194",729,981,"1,626",864,"2,091","2,261"
2021,4,50,"20,205",546,"2,815","1,025",834,"1,351","1,980","1,294","1,576","2,022","1,323","2,731","2,708"
2021,4,60,"18,914",587,"2,735","1,396",806,"1,265","1,788","1,353","1,355","1,699","1,246","2,646","2,038"
2021,4,70,"9,262",365,"1,232","1,082",451,531,795,727,577,864,594,"1,227",817
2021,4,80,"4,022",147,517,566,187,215,278,270,243,405,300,534,360
2021,4,90,547,19,70,61,20,39,45,48,42,54,35,56,58
2021,4,100,40,4,17,3,1,1,3,2,1,3,0,3,2
2021,5,총,"104,255","2,714","14,087","5,634","4,283","6,436","10,709","6,363","7,521","11,653","6,758","14,295","13,802"
2021,5,0,"5,795",100,774,129,236,338,507,242,455,712,349,880,"1,073"
2021,5,10,"7,089",132,950,212,305,439,486,314,516,907,518,"1,045","1,265"
2021,5,20,"13,302",267,"1,657",346,427,778,"2,192",743,953,"1,978",844,"1,509","1,608"
2021,5,30,"11,393",258,"1,489",337,442,697,"1,459",659,819,"1,387",678,"1,570","1,598"
2021,5,40,"13,674",288,"1,813",498,569,782,"1,184",721,977,"1,629",871,"2,087","2,255"
2021,5,50,"20,072",538,"2,790","1,010",834,"1,349","1,965","1,277","1,572","1,996","1,318","2,724","2,699"
2021,5,60,"19,009",591,"2,768","1,385",805,"1,258","1,802","1,356","1,371","1,717","1,248","2,658","2,050"
2021,5,70,"9,285",367,"1,236","1,087",454,538,791,730,571,862,596,"1,230",823
2021,5,80,"4,047",151,521,566,190,216,274,270,243,407,300,537,372
2021,5,90,549,18,72,60,21,40,46,49,43,55,36,52,57
2021,5,100,40,4,17,4,0,1,3,2,1,3,0,3,2
2021,6,총,"104,148","2,705","14,143","5,601","4,281","6,414","10,729","6,365","7,489","11,624","6,744","14,293","13,760"
2021,6,0,"5,766",101,769,126,234,338,504,244,451,708,343,882,"1,066"
2021,6,10,"7,068",134,953,207,301,436,479,309,520,903,522,"1,039","1,265"
2021,6,20,"13,266",259,"1,673",336,430,777,"2,210",749,946,"1,955",841,"1,493","1,597"
2021,6,30,"11,348",257,"1,512",339,437,694,"1,455",657,804,"1,389",667,"1,558","1,579"
2021,6,40,"13,670",287,"1,814",492,572,780,"1,197",720,972,"1,633",874,"2,089","2,240"
2021,6,50,"19,954",535,"2,773",999,830,"1,332","1,956","1,271","1,556","1,981","1,308","2,716","2,697"
2021,6,60,"19,108",591,"2,784","1,387",811,"1,259","1,806","1,363","1,378","1,724","1,257","2,689","2,059"
2021,6,70,"9,309",362,"1,248","1,079",458,543,797,733,573,868,596,"1,230",822
2021,6,80,"4,074",157,528,570,186,216,278,268,246,403,302,542,378
2021,6,90,544,18,72,62,22,38,43,49,43,56,34,52,55
2021,6,100,41,4,17,4,0,1,4,2,0,4,0,3,2
2021,7,총,"103,992","2,701","14,125","5,575","4,279","6,404","10,734","6,352","7,469","11,634","6,729","14,248","13,742"
2021,7,0,"5,731",104,761,125,234,335,498,243,448,708,336,881,"1,058"
2021,7,10,"7,028",132,944,204,301,436,481,310,517,890,515,"1,035","1,263"
2021,7,20,"13,212",266,"1,666",333,423,769,"2,210",737,942,"1,966",837,"1,469","1,594"
2021,7,30,"11,312",254,"1,503",333,441,697,"1,444",659,801,"1,391",670,"1,546","1,573"
2021,7,40,"13,654",284,"1,823",491,570,777,"1,210",719,969,"1,628",871,"2,076","2,236"
2021,7,50,"19,832",528,"2,743",987,824,"1,323","1,948","1,255","1,543","1,981","1,302","2,712","2,686"
2021,7,60,"19,193",595,"2,812","1,388",816,"1,265","1,810","1,366","1,387","1,730","1,261","2,692","2,071"
2021,7,70,"9,356",359,"1,248","1,076",463,547,810,740,577,873,596,"1,241",826
2021,7,80,"4,086",156,531,575,183,216,277,271,246,407,307,538,379
2021,7,90,548,19,77,60,24,38,42,50,39,56,34,55,54
2021,7,100,40,4,17,3,0,1,4,2,0,4,0,3,2
2021,8,총,"103,753","2,701","14,115","5,541","4,276","6,399","10,746","6,315","7,460","11,585","6,714","14,212","13,689"
2021,8,0,"5,675",103,754,122,234,335,495,239,446,699,335,872,"1,041"
2021,8,10,"7,001",131,934,202,302,440,477,311,519,879,509,"1,034","1,263"
2021,8,20,"13,138",262,"1,656",327,423,766,"2,235",722,934,"1,939",834,"1,464","1,576"
2021,8,30,"11,259",256,"1,514",330,439,693,"1,440",649,806,"1,389",662,"1,519","1,562"
2021,8,40,"13,605",281,"1,817",488,565,781,"1,199",717,969,"1,617",874,"2,074","2,223"
2021,8,50,"19,746",527,"2,734",977,819,"1,312","1,944","1,240","1,541","1,968","1,294","2,707","2,683"
2021,8,60,"19,260",597,"2,820","1,384",821,"1,267","1,828","1,369","1,387","1,746","1,268","2,700","2,073"
2021,8,70,"9,395",364,"1,259","1,070",467,552,803,743,579,881,597,"1,248",832
2021,8,80,"4,096",156,533,580,186,214,280,272,240,408,310,536,381
2021,8,90,537,19,77,58,20,38,41,51,39,55,31,55,53
2021,8,100,41,5,17,3,0,1,4,2,0,4,0,3,2
2021,9,총,"103,720","2,706","14,114","5,518","4,267","6,393","10,806","6,299","7,449","11,582","6,711","14,196","13,679"
2021,9,0,"5,642",103,746,122,227,334,500,240,441,697,331,866,"1,035"
2021,9,10,"6,989",132,928,198,293,436,476,310,519,891,506,"1,030","1,270"
2021,9,20,"13,139",261,"1,662",329,430,757,"2,261",709,930,"1,937",832,"1,465","1,566"
2021,9,30,"11,270",255,"1,524",323,435,686,"1,454",656,806,"1,385",671,"1,511","1,564"
2021,9,40,"13,567",283,"1,808",487,570,784,"1,205",708,966,"1,612",872,"2,054","2,218"
2021,9,50,"19,682",529,"2,713",965,814,"1,317","1,935","1,227","1,543","1,959","1,288","2,709","2,683"
2021,9,60,"19,294",594,"2,836","1,378",823,"1,270","1,840","1,376","1,385","1,745","1,265","2,711","2,071"
2021,9,70,"9,455",365,"1,270","1,076",469,556,807,749,581,888,602,"1,252",840
2021,9,80,"4,099",158,533,579,186,214,283,273,238,408,312,538,377
2021,9,90,542,21,77,58,20,38,41,50,40,56,32,56,53
2021,9,100,41,5,17,3,0,1,4,1,0,4,0,4,2
2021,10,총,"103,595","2,703","14,077","5,508","4,247","6,388","10,820","6,273","7,450","11,601","6,722","14,174","13,632"
2021,10,0,"5,607",102,740,121,223,336,502,243,439,699,326,858,"1,018"
2021,10,10,"6,968",134,919,197,288,438,471,306,519,894,511,"1,021","1,270"
2021,10,20,"13,086",259,"1,649",331,433,752,"2,260",705,929,"1,931",831,"1,456","1,550"
2021,10,30,"11,231",254,"1,514",321,427,680,"1,457",643,800,"1,394",674,"1,514","1,553"
2021,10,40,"13,518",280,"1,790",485,562,783,"1,214",706,961,"1,611",873,"2,046","2,207"
2021,10,50,"19,627",523,"2,699",965,810,"1,311","1,926","1,221","1,538","1,956","1,290","2,705","2,683"
2021,10,60,"19,345",605,"2,856","1,366",826,"1,276","1,843","1,365","1,394","1,754","1,270","2,710","2,080"
2021,10,70,"9,494",365,"1,279","1,075",470,560,815,753,583,890,604,"1,263",837
2021,10,80,"4,132",159,535,587,187,212,286,279,246,413,310,538,380
2021,10,90,552,21,79,57,21,39,42,51,41,57,33,59,52
2021,10,100,35,1,17,3,0,1,4,1,0,2,0,4,2
2021,11,총,"103,428","2,706","14,058","5,463","4,241","6,382","10,806","6,265","7,438","11,562","6,728","14,176","13,603"
2021,11,0,"5,550",103,736,116,221,335,496,236,434,687,322,853,"1,011"
2021,11,10,"6,948",133,904,198,288,441,468,305,519,885,516,"1,022","1,269"
2021,11,20,"13,048",261,"1,655",320,425,750,"2,262",704,926,"1,926",825,"1,459","1,535"
2021,11,30,"11,182",250,"1,515",317,424,671,"1,451",645,795,"1,386",674,"1,505","1,549"
2021,11,40,"13,480",279,"1,783",482,559,779,"1,208",698,962,"1,612",873,"2,043","2,202"
2021,11,50,"19,571",521,"2,684",950,814,"1,303","1,922","1,220","1,546","1,948","1,282","2,713","2,668"
2021,11,60,"19,397",609,"2,860","1,358",827,"1,284","1,842","1,369","1,385","1,756","1,289","2,718","2,100"
2021,11,70,"9,504",364,"1,291","1,075",471,564,817,758,579,893,600,"1,258",834
2021,11,80,"4,175",164,538,590,191,215,292,280,250,412,315,545,383
2021,11,90,541,21,75,54,21,39,44,49,42,55,32,57,52
2021,11,100,32,1,17,3,0,1,4,1,0,2,0,3,0
2021,12,총,"103,264","2,709","14,037","5,435","4,243","6,376","10,812","6,260","7,420","11,533","6,716","14,165","13,558"
2021,12,0,"5,497",102,740,116,226,327,485,229,433,678,317,846,998
2021,12,10,"6,926",133,895,197,287,446,468,306,515,875,512,"1,021","1,271"
2021,12,20,"12,973",260,"1,639",314,422,744,"2,270",695,918,"1,926",820,"1,446","1,519"
2021,12,30,"11,133",254,"1,523",311,421,672,"1,455",640,797,"1,376",661,"1,487","1,536"
2021,12,40,"13,479",281,"1,781",478,559,780,"1,213",698,946,"1,619",872,"2,051","2,201"
2021,12,50,"19,507",516,"2,675",941,818,"1,300","1,910","1,224","1,549","1,935","1,275","2,710","2,654"
2021,12,60,"19,433",611,"2,870","1,346",824,"1,287","1,848","1,366","1,382","1,757","1,302","2,728","2,112"
2021,12,70,"9,542",364,"1,296","1,081",470,565,813,768,586,903,605,"1,259",832
2021,12,80,"4,211",165,542,590,193,217,302,285,252,409,316,556,384
2021,12,90,545,22,73,58,23,37,44,48,42,53,36,58,51
2021,12,100,18,1,3,3,0,1,4,1,0,2,0,3,0
