년도,월,나이,강원도 홍천군,강원도 홍천군 홍천읍,강원도 홍천군 화촌면,강원도 홍천군 두촌면,강원도 홍천군 내촌면,강원도 홍천군 서석면,강원도 홍천군 동면,강원도 홍천군 남면,강원도 홍천군 서면,강원도 홍천군 북방면,강원도 홍천군 내면,강원도 홍천군 영귀미면
2021,9,80,"4,571","1,475",447,264,266,334,,476,328,365,238,378
2021,9,90,650,210,78,52,27,41,,72,59,37,30,44
2021,9,100,31,16,2,1,2,3,,0,2,1,1,3
2021,10,총,"68,499","34,243","4,573","2,440","2,383","3,729",,"6,208","3,775","3,920","3,168","4,060"
2021,10,0,"3,605","2,462",115,45,43,123,,376,95,120,115,111
2021,10,10,"4,992","3,417",157,109,82,180,,416,122,188,138,183
2021,10,20,"6,494","3,979",346,135,113,273,,767,217,261,185,218
2021,10,30,"5,786","3,699",280,97,91,195,,583,214,233,174,220
2021,10,40,"8,007","5,169",369,157,168,293,,539,344,361,267,340
2021,10,50,"12,179","5,889",742,423,461,750,,946,728,778,708,754
2021,10,60,"14,982","5,405","1,340",763,767,"1,053",,"1,367","1,130","1,061",914,"1,182"
2021,10,70,"7,158","2,500",694,389,361,480,,661,538,513,394,628
2021,10,80,"4,613","1,492",450,270,269,337,,482,329,366,241,377
2021,10,90,651,215,78,50,26,42,,71,56,38,31,44
2021,10,100,32,16,2,2,2,3,,0,2,1,1,3
2021,11,총,"68,482","34,272","4,559","2,442","2,392","3,730",,"6,178","3,763","3,931","3,146","4,069"
2021,11,0,"3,574","2,445",112,45,42,126,,369,91,119,112,113
2021,11,10,"4,981","3,429",155,103,82,179,,413,116,188,139,177
2021,11,20,"6,512","3,999",356,138,113,274,,749,225,263,179,216
2021,11,30,"5,756","3,691",276,95,93,193,,580,203,233,167,225
2021,11,40,"7,978","5,146",366,155,166,291,,532,349,363,267,343
2021,11,50,"12,178","5,907",735,421,462,747,,941,721,782,706,756
2021,11,60,"15,050","5,428","1,342",771,776,"1,060",,"1,378","1,132","1,065",912,"1,186"
2021,11,70,"7,132","2,499",682,390,359,478,,661,536,511,391,625
2021,11,80,"4,628","1,497",455,271,267,335,,484,333,368,241,377
2021,11,90,660,214,78,51,30,44,,71,55,38,31,48
2021,11,100,33,17,2,2,2,3,,0,2,1,1,3
2021,12,총,"68,365","34,186","4,528","2,434","2,384","3,719",,"6,197","3,776","3,922","3,144","4,075"
2021,12,0,"3,535","2,423",96,43,41,125,,373,93,117,113,111
2021,12,10,"4,962","3,423",153,98,78,177,,411,116,188,142,176
2021,12,20,"6,495","3,989",353,136,109,266,,764,224,264,172,218
2021,12,30,"5,720","3,658",269,95,96,195,,585,205,231,163,223
2021,12,40,"7,973","5,138",358,157,168,291,,528,352,364,271,346
2021,12,50,"12,122","5,884",737,422,460,745,,939,709,779,694,753
2021,12,60,"15,114","5,457","1,347",769,777,"1,061",,"1,379","1,143","1,064",925,"1,192"
2021,12,70,"7,104","2,479",677,390,355,475,,661,542,506,393,626
2021,12,80,"4,657","1,510",460,274,268,337,,486,335,371,238,378
2021,12,90,661,219,76,48,30,44,,71,55,37,32,49
2021,12,100,22,6,2,2,2,3,,0,2,1,1,3
