년도,월,나이,구례군,구례읍,문척면,간전면,토지면,마산면,광의면,용방면,산동면
2020,6,40,"1,653",755,86,98,146,197,105,98,168
2020,6,50,"2,576","1,004",148,173,316,267,228,124,316
2020,6,60,"2,217",806,137,144,256,242,209,133,290
2020,6,70,"1,605",526,84,127,152,177,196,115,228
2020,6,80,801,238,54,66,93,90,96,60,104
2020,6,90,77,26,1,5,15,9,9,7,5
2020,6,100,3,1,0,0,0,1,0,0,1
2020,7,총,"12,518","5,292",637,748,"1,253","1,359","1,077",713,"1,439"
2020,7,0,589,342,21,27,32,63,34,25,45
2020,7,10,"1,013",592,38,32,77,103,58,39,74
2020,7,20,"1,065",557,41,41,92,104,59,53,118
2020,7,30,915,450,26,38,69,106,82,56,88
2020,7,40,"1,643",751,89,97,141,195,104,98,168
2020,7,50,"2,568","1,000",145,169,317,266,230,125,316
2020,7,60,"2,223",809,136,146,263,244,205,130,290
2020,7,70,"1,620",526,86,128,154,180,198,119,229
2020,7,80,804,240,54,65,93,88,98,61,105
2020,7,90,76,25,1,5,15,9,9,7,5
2020,7,100,2,0,0,0,0,1,0,0,1
2020,8,총,"12,476","5,261",636,757,"1,251","1,350","1,073",709,"1,439"
2020,8,0,586,341,22,27,32,61,32,25,46
2020,8,10,994,575,38,33,75,102,58,38,75
2020,8,20,"1,066",557,41,42,94,101,59,53,119
2020,8,30,897,441,25,39,71,104,78,52,87
2020,8,40,"1,632",745,87,97,139,195,105,100,164
2020,8,50,"2,552",996,143,172,310,266,230,125,310
2020,8,60,"2,247",812,140,149,270,244,205,130,297
2020,8,70,"1,622",528,86,129,155,176,198,119,231
2020,8,80,802,241,53,64,91,91,98,60,104
2020,8,90,76,25,1,5,14,9,10,7,5
2020,8,100,2,0,0,0,0,1,0,0,1
2020,9,총,"12,454","5,269",631,757,"1,248","1,344","1,062",702,"1,441"
2020,9,0,576,343,22,26,31,56,30,24,44
2020,9,10,994,577,37,33,76,103,58,37,73
2020,9,20,"1,054",556,38,43,93,99,54,51,120
2020,9,30,896,442,25,39,69,105,78,51,87
2020,9,40,"1,608",735,87,97,134,189,104,100,162
2020,9,50,"2,549","1,005",138,171,308,270,225,122,310
2020,9,60,"2,267",817,144,147,274,244,207,131,303
2020,9,70,"1,627",528,86,130,158,177,198,119,231
2020,9,80,802,241,53,65,91,91,97,59,105
2020,9,90,79,25,1,6,14,9,11,8,5
2020,9,100,2,0,0,0,0,1,0,0,1
2020,10,총,"12,434","5,254",632,753,"1,252","1,342","1,060",702,"1,439"
2020,10,0,571,343,21,26,31,56,28,25,41
2020,10,10,978,564,38,32,76,100,59,37,72
2020,10,20,"1,047",553,39,42,93,99,53,50,118
2020,10,30,889,435,24,39,71,104,76,51,89
2020,10,40,"1,598",729,87,96,137,187,107,97,158
2020,10,50,"2,543","1,006",138,168,304,271,221,126,309
2020,10,60,"2,286",824,145,149,279,245,208,130,306
2020,10,70,"1,632",531,85,129,159,178,198,119,233
2020,10,80,809,245,54,66,89,91,99,58,107
2020,10,90,79,24,1,6,13,10,11,9,5
2020,10,100,2,0,0,0,0,1,0,0,1
2020,11,총,"12,445","5,241",642,753,"1,250","1,340","1,072",708,"1,439"
2020,11,0,574,345,24,25,30,54,29,25,42
2020,11,10,978,564,38,31,76,101,59,38,71
2020,11,20,"1,049",546,40,44,94,98,57,53,117
2020,11,30,894,437,25,38,73,100,82,51,88
2020,11,40,"1,580",718,84,93,132,189,110,97,157
2020,11,50,"2,549",999,142,172,305,272,218,128,313
2020,11,60,"2,300",831,149,148,280,246,213,128,305
2020,11,70,"1,633",534,85,130,158,177,196,120,233
2020,11,80,804,243,54,65,89,92,97,59,105
2020,11,90,82,24,1,7,13,10,11,9,7
2020,11,100,2,0,0,0,0,1,0,0,1
2020,12,총,"12,519","5,265",656,760,"1,248","1,345","1,085",713,"1,447"
2020,12,0,563,342,25,24,26,53,26,25,42
2020,12,10,984,561,38,32,76,104,61,40,72
2020,12,20,"1,069",555,45,44,95,97,59,56,118
2020,12,30,902,436,27,37,74,101,84,53,90
2020,12,40,"1,591",723,86,100,130,189,113,93,157
2020,12,50,"2,565","1,007",145,173,301,270,222,128,319
2020,12,60,"2,316",831,148,149,285,251,218,131,303
2020,12,70,"1,631",540,84,129,159,179,192,120,228
2020,12,80,813,247,57,64,90,90,99,57,109
2020,12,90,83,23,1,8,12,10,11,10,8
2020,12,100,2,0,0,0,0,1,0,0,1
2021,1,총,"12,442","5,254",648,748,"1,237","1,331","1,082",708,"1,434"
2021,1,0,563,342,24,25,26,53,26,25,42
2021,1,10,965,557,34,30,71,105,61,35,72
2021,1,20,"1,049",542,44,42,89,97,58,60,117
2021,1,30,887,438,26,35,70,93,86,53,86
2021,1,40,"1,575",724,84,93,131,188,112,88,155
2021,1,50,"2,543",999,145,174,298,269,217,128,313
2021,1,60,"2,339",845,149,147,294,248,222,133,301
2021,1,70,"1,622",539,83,129,156,178,190,118,229
2021,1,80,812,243,58,65,90,90,99,58,109
2021,1,90,84,25,1,8,12,8,11,10,9
2021,1,100,3,0,0,0,0,2,0,0,1
2021,2,총,"12,397","5,255",644,733,"1,227","1,314","1,081",704,"1,439"
2021,2,0,558,340,23,25,25,54,25,22,44
2021,2,10,946,550,33,30,71,99,57,34,72
2021,2,20,"1,039",545,44,38,83,95,61,58,115
2021,2,30,880,435,26,32,70,91,87,53,86
2021,2,40,"1,557",720,82,89,129,183,112,86,156
2021,2,50,"2,537",999,144,170,293,267,215,130,319
2021,2,60,"2,344",851,149,146,298,247,222,133,298
2021,2,70,"1,630",545,85,130,156,176,191,120,227
2021,2,80,822,245,57,66,90,92,100,58,114
2021,2,90,81,25,1,7,12,8,11,10,7
2021,2,100,3,0,0,0,0,2,0,0,1
2021,3,총,"12,376","5,239",645,737,"1,224","1,303","1,078",703,"1,447"
2021,3,0,552,336,23,25,25,52,26,21,44
2021,3,10,933,543,33,29,73,98,55,35,67
2021,3,20,"1,037",541,44,37,80,93,63,60,119
2021,3,30,881,438,27,33,68,88,87,54,86
2021,3,40,"1,537",717,79,92,124,182,108,82,153
2021,3,50,"2,527",990,146,171,289,270,212,126,323
2021,3,60,"2,363",855,146,148,303,243,221,138,309
2021,3,70,"1,628",547,87,130,159,172,191,119,223
2021,3,80,836,246,58,66,91,95,104,59,117
2021,3,90,80,26,2,6,12,8,11,9,6
2021,3,100,2,0,0,0,0,2,0,0,0
2021,4,총,"12,360","5,224",644,736,"1,228","1,297","1,079",702,"1,450"
2021,4,0,543,329,23,25,24,51,26,21,44
2021,4,10,932,546,32,27,72,100,56,32,67
2021,4,20,"1,035",537,45,39,81,91,63,60,119
2021,4,30,873,436,26,34,67,88,83,55,84
2021,4,40,"1,528",717,77,90,121,179,109,83,152
2021,4,50,"2,522",980,145,172,294,271,210,126,324
2021,4,60,"2,387",864,147,148,307,245,226,138,312
2021,4,70,"1,615",542,88,129,157,170,187,119,223
2021,4,80,839,246,59,66,92,92,108,59,117
2021,4,90,84,27,2,6,13,8,11,9,8
2021,4,100,2,0,0,0,0,2,0,0,0
2021,5,총,"12,311","5,212",644,731,"1,223","1,284","1,081",700,"1,436"
2021,5,0,530,320,23,24,21,52,25,21,44
2021,5,10,927,547,30,28,74,96,55,31,66
2021,5,20,"1,035",537,48,39,80,90,63,59,119
2021,5,30,852,425,25,35,65,89,83,54,76
2021,5,40,"1,517",707,77,88,122,175,109,85,154
2021,5,50,"2,526",992,146,172,289,269,210,124,324
2021,5,60,"2,391",866,148,149,307,245,227,139,310
2021,5,70,"1,613",545,86,126,159,168,189,119,221
2021,5,80,835,247,59,64,92,89,110,60,114
2021,5,90,83,26,2,6,14,9,10,8,8
2021,5,100,2,0,0,0,0,2,0,0,0
2021,6,총,"12,304","5,187",648,730,"1,235","1,286","1,085",702,"1,431"
2021,6,0,527,313,24,22,23,50,27,22,46
2021,6,10,936,540,33,28,79,100,55,33,68
2021,6,20,"1,038",535,49,43,81,93,63,57,117
2021,6,30,836,412,26,34,64,88,84,55,73
2021,6,40,"1,511",709,78,86,121,167,112,83,155
2021,6,50,"2,521",992,144,173,288,269,208,125,322
2021,6,60,"2,398",861,146,148,314,252,229,139,309
2021,6,70,"1,605",544,85,126,158,169,188,115,220
2021,6,80,847,255,61,64,93,87,109,65,113
2021,6,90,83,26,2,6,14,9,10,8,8
2021,6,100,2,0,0,0,0,2,0,0,0
2021,7,총,"12,260","5,172",643,733,"1,229","1,293","1,074",694,"1,422"
2021,7,0,511,307,22,22,23,49,25,20,43
2021,7,10,931,542,32,28,76,100,54,32,67
2021,7,20,"1,038",534,50,45,78,97,61,55,118
2021,7,30,820,402,26,33,63,85,82,53,76
2021,7,40,"1,497",707,75,86,120,167,110,81,151
2021,7,50,"2,515",990,144,172,290,273,205,124,317
2021,7,60,"2,404",862,148,151,313,252,229,138,311
2021,7,70,"1,611",547,84,126,158,173,188,117,218
2021,7,80,849,256,60,64,94,86,110,66,113
2021,7,90,81,24,2,6,14,9,10,8,8
2021,7,100,3,1,0,0,0,2,0,0,0
2021,8,총,"12,241","5,161",641,730,"1,226","1,298","1,074",693,"1,418"
2021,8,0,513,302,22,21,28,50,28,21,41
2021,8,10,936,543,32,29,73,101,56,31,71
2021,8,20,"1,036",527,52,42,81,101,61,56,116
2021,8,30,811,401,22,32,62,87,80,54,73
2021,8,40,"1,477",700,73,87,119,165,108,79,146
2021,8,50,"2,519",993,147,173,285,272,205,124,320
2021,8,60,"2,405",867,147,149,314,252,229,137,310
2021,8,70,"1,607",546,83,126,157,175,186,115,219
2021,8,80,853,256,62,65,94,84,111,67,114
2021,8,90,81,25,1,6,13,9,10,9,8
2021,8,100,3,1,0,0,0,2,0,0,0
2021,9,총,"12,223","5,142",644,732,"1,226","1,295","1,073",692,"1,419"
2021,9,0,506,292,24,23,28,49,28,20,42
2021,9,10,936,543,32,29,73,102,57,31,69
2021,9,20,"1,031",531,51,42,83,97,58,54,115
2021,9,30,794,391,23,33,61,83,76,54,73
2021,9,40,"1,473",698,71,87,118,169,106,80,144
2021,9,50,"2,513",988,147,174,286,269,206,122,321
2021,9,60,"2,426",872,150,148,313,255,237,138,313
2021,9,70,"1,600",539,83,125,154,176,187,116,220
2021,9,80,860,262,62,65,97,84,108,68,114
2021,9,90,81,25,1,6,13,9,10,9,8
2021,9,100,3,1,0,0,0,2,0,0,0
2021,10,총,"12,237","5,177",641,734,"1,228","1,282","1,069",694,"1,412"
2021,10,0,502,298,22,22,27,48,27,20,38
2021,10,10,933,544,32,30,70,104,56,29,68
2021,10,20,"1,037",538,51,41,83,93,59,56,116
2021,10,30,789,391,22,35,61,78,74,56,72
2021,10,40,"1,457",696,69,87,121,160,103,76,145
2021,10,50,"2,531","1,001",147,173,284,274,208,125,319
2021,10,60,"2,429",873,148,150,316,253,237,140,312
2021,10,70,"1,607",545,84,124,156,176,187,115,220
2021,10,80,868,264,65,66,97,85,109,68,114
2021,10,90,81,26,1,6,13,9,9,9,8
2021,10,100,3,1,0,0,0,2,0,0,0
2021,11,총,"12,253","5,186",641,733,"1,230","1,280","1,070",688,"1,425"
2021,11,0,499,297,23,20,27,47,28,18,39
2021,11,10,927,541,32,30,69,103,55,28,69
2021,11,20,"1,050",551,51,40,85,93,59,56,115
2021,11,30,779,388,21,36,58,77,72,53,74
2021,11,40,"1,451",690,69,86,123,162,101,77,143
2021,11,50,"2,532","1,006",140,171,283,271,209,125,327
2021,11,60,"2,449",876,155,153,315,256,240,140,314
2021,11,70,"1,619",550,83,124,161,174,189,116,222
2021,11,80,865,261,66,67,96,86,109,66,114
2021,11,90,79,25,1,6,13,9,8,9,8
2021,11,100,3,1,0,0,0,2,0,0,0
2021,12,총,"12,285","5,215",640,730,"1,237","1,280","1,069",691,"1,423"
2021,12,0,493,300,21,16,25,46,28,18,39
2021,12,10,928,544,33,30,68,101,53,29,70
2021,12,20,"1,066",558,53,43,86,96,59,55,116
2021,12,30,771,387,17,39,60,76,70,51,71
2021,12,40,"1,456",688,70,85,124,165,103,78,143
2021,12,50,"2,528","1,005",140,164,287,272,208,127,325
2021,12,60,"2,473",890,156,159,316,255,244,139,314
2021,12,70,"1,615",552,82,121,161,173,187,119,220
2021,12,80,871,266,67,67,96,85,108,66,116
2021,12,90,82,24,1,6,14,10,9,9,9
2021,12,100,2,1,0,0,0,1,0,0,0
