년도,월,나이,전라남도 순천시,전라남도 순천시 승주읍,전라남도 순천시 해룡면,전라남도 순천시 해룡면상삼출장소,전라남도 순천시 해룡면신대출장소,전라남도 순천시 서면,전라남도 순천시 황전면,전라남도 순천시 월등면,전라남도 순천시 주암면,전라남도 순천시 송광면,전라남도 순천시 외서면,전라남도 순천시 낙안면,전라남도 순천시 별량면,전라남도 순천시 상사면,전라남도 순천시 향동,전라남도 순천시 매곡동,전라남도 순천시 삼산동,전라남도 순천시 조곡동,전라남도 순천시 덕연동,전라남도 순천시 풍덕동,전라남도 순천시 남제동,전라남도 순천시 저전동,전라남도 순천시 장천동,전라남도 순천시 중앙동,전라남도 순천시 도사동,전라남도 순천시 왕조1동,전라남도 순천시 왕조2동
2020,3,100,8,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2020,4,총,"140,348","1,352","2,413","9,201","16,079","6,164","1,492",871,"1,648",794,441,"1,603","2,816","1,428","1,896","2,362","11,949","3,247","22,468","3,914","4,619","1,416","1,292","1,643","9,308","20,104","9,828"
2020,4,0,"12,336",38,66,851,"3,037",442,30,18,38,12,17,41,76,37,78,76,900,197,"1,782",213,214,65,35,58,"1,162","1,883",970
2020,4,10,"16,200",68,120,"1,441","2,497",555,56,26,88,22,21,84,146,104,155,209,"1,379",305,"2,999",330,386,94,58,112,906,"2,625","1,414"
2020,4,20,"20,157",111,249,"1,704","1,591",706,99,61,118,50,36,142,263,154,213,447,"2,072",432,"3,696",521,663,191,154,242,"1,173","3,331","1,738"
2020,4,30,"17,078",64,182,"1,099","3,240",622,93,62,111,50,20,81,169,90,189,230,"1,353",350,"2,684",434,436,132,130,156,"1,373","2,509","1,219"
2020,4,40,"21,660",156,327,"1,549","3,254",957,154,91,168,88,34,154,356,172,235,287,"1,727",474,"3,393",536,648,169,190,244,"1,476","3,258","1,563"
2020,4,50,"24,891",330,546,"1,720","1,704","1,187",298,183,341,186,95,312,565,297,308,390,"2,070",607,"4,210",640,887,234,268,305,"1,527","3,787","1,894"
2020,4,60,"16,242",273,431,574,582,956,322,224,328,178,104,368,577,292,367,342,"1,531",485,"2,513",648,731,247,249,263,"1,002","1,879",776
2020,4,70,"8,278",189,315,185,135,525,278,132,293,131,79,284,416,186,264,274,691,285,902,422,491,188,139,191,491,603,189
2020,4,80,"3,200",109,166,74,38,194,145,65,151,69,30,127,224,89,76,102,208,102,259,160,157,86,62,60,183,204,60
2020,4,90,298,14,11,4,1,20,17,9,12,5,4,9,23,7,11,5,17,10,29,10,6,10,7,12,15,25,5
2020,4,100,8,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2020,5,총,"140,159","1,357","2,412","9,213","16,013","6,157","1,492",872,"1,639",789,440,"1,598","2,817","1,436","1,896","2,372","11,863","3,261","22,404","3,910","4,621","1,420","1,296","1,644","9,313","20,098","9,826"
2020,5,0,"12,290",38,63,846,"3,026",448,30,19,37,12,17,40,73,36,77,78,889,197,"1,773",212,214,64,38,61,"1,159","1,873",970
2020,5,10,"16,153",69,120,"1,436","2,516",551,54,27,87,21,21,83,148,103,153,209,"1,356",303,"2,973",333,382,96,59,108,906,"2,621","1,418"
2020,5,20,"20,131",109,247,"1,703","1,574",705,99,59,113,49,35,138,264,157,215,459,"2,065",436,"3,685",523,661,193,156,241,"1,180","3,326","1,739"
2020,5,30,"16,963",63,184,"1,105","3,212",624,92,62,113,50,20,82,166,90,189,225,"1,339",358,"2,661",419,433,134,130,159,"1,365","2,490","1,198"
2020,5,40,"21,596",157,320,"1,558","3,221",945,150,93,167,88,34,151,359,169,231,287,"1,719",473,"3,387",538,648,168,185,239,"1,482","3,260","1,567"
2020,5,50,"24,844",328,551,"1,724","1,700","1,192",301,183,334,182,94,307,563,300,311,388,"2,040",605,"4,204",647,882,235,269,305,"1,521","3,782","1,896"
2020,5,60,"16,327",279,435,575,588,951,321,222,330,177,105,375,578,295,371,342,"1,531",492,"2,530",638,737,244,249,267,"1,011","1,900",784
2020,5,70,"8,325",190,316,187,138,532,280,133,292,133,79,282,418,191,260,277,693,284,901,428,497,190,140,192,490,613,189
2020,5,80,"3,219",109,167,75,37,189,147,64,154,69,30,130,224,88,78,101,212,103,260,161,161,86,63,60,184,208,59
2020,5,90,303,15,9,4,1,20,18,10,12,5,4,9,23,7,11,6,18,10,29,11,6,10,7,12,15,25,6
2020,5,100,8,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2020,6,총,"140,303","1,352","2,416","9,200","16,057","6,116","1,496",874,"1,635",783,440,"1,601","2,809","1,444","1,883","2,357","12,083","3,249","22,443","3,921","4,592","1,414","1,299","1,638","9,302","20,103","9,796"
2020,6,0,"12,257",36,62,830,"2,996",445,30,18,35,12,17,40,74,35,79,76,919,198,"1,781",215,206,61,38,57,"1,154","1,880",963
2020,6,10,"16,099",69,122,"1,430","2,530",546,54,26,86,20,21,81,146,105,150,203,"1,374",298,"2,946",337,383,97,60,107,899,"2,611","1,398"
2020,6,20,"20,182",109,247,"1,706","1,580",706,98,60,114,48,34,136,261,157,212,462,"2,103",437,"3,696",515,650,193,159,238,"1,178","3,332","1,751"
2020,6,30,"16,972",63,182,"1,107","3,232",620,88,62,113,49,22,85,163,90,186,218,"1,379",352,"2,656",427,428,135,124,161,"1,368","2,483","1,179"
2020,6,40,"21,607",151,321,"1,557","3,236",928,153,92,167,85,34,153,354,168,231,284,"1,744",470,"3,405",541,635,168,189,233,"1,478","3,263","1,567"
2020,6,50,"24,820",330,545,"1,728","1,704","1,182",298,181,330,184,94,306,557,305,306,390,"2,077",603,"4,186",642,892,232,265,304,"1,516","3,771","1,892"
2020,6,60,"16,478",281,438,577,598,947,327,227,335,174,104,379,588,296,369,341,"1,558",496,"2,568",646,734,248,252,272,"1,016","1,913",794
2020,6,70,"8,361",189,321,188,143,535,283,134,293,134,80,282,417,191,259,275,696,283,914,428,493,187,142,194,495,618,187
2020,6,80,"3,210",109,169,73,37,185,144,64,150,69,30,129,225,89,81,102,214,102,261,159,165,84,63,60,181,206,59
2020,6,90,309,15,9,4,1,22,21,10,12,5,3,9,23,8,10,6,18,10,29,11,6,9,7,12,17,26,6
2020,6,100,8,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2020,7,총,"140,466","1,350","2,423","9,185","16,100","6,092","1,493",870,"1,626",787,435,"1,597","2,813","1,454","1,877","2,556","12,317","3,235","22,350","3,915","4,569","1,414","1,288","1,623","9,281","20,024","9,792"
2020,7,0,"12,255",35,59,816,"2,995",441,30,18,35,12,17,40,75,35,79,104,980,190,"1,762",216,203,60,37,57,"1,147","1,862",950
2020,7,10,"16,067",66,125,"1,428","2,536",538,53,26,85,20,21,79,150,106,146,229,"1,383",296,"2,919",335,375,96,61,106,896,"2,593","1,399"
2020,7,20,"20,234",112,249,"1,709","1,590",706,98,60,113,49,34,134,260,159,211,481,"2,111",443,"3,699",519,648,193,151,232,"1,179","3,328","1,766"
2020,7,30,"16,975",62,181,"1,100","3,225",615,88,59,111,49,21,84,160,89,181,262,"1,444",352,"2,635",419,424,133,129,159,"1,363","2,457","1,173"
2020,7,40,"21,602",150,317,"1,541","3,263",917,150,92,165,84,33,158,352,163,237,316,"1,791",460,"3,375",547,629,169,183,233,"1,467","3,255","1,555"
2020,7,50,"24,855",330,547,"1,742","1,707","1,181",302,181,325,187,94,302,562,310,303,409,"2,094",605,"4,164",639,887,233,267,301,"1,516","3,764","1,903"
2020,7,60,"16,558",282,446,585,598,950,323,228,338,177,103,378,588,301,370,357,"1,581",494,"2,583",643,736,251,249,269,"1,016","1,918",794
2020,7,70,"8,371",189,319,185,150,536,285,132,292,132,79,282,415,192,261,284,698,282,921,423,495,185,142,191,501,615,185
2020,7,80,"3,231",109,171,75,35,186,144,65,151,67,29,130,227,90,78,108,216,103,262,162,166,85,62,63,180,206,61
2020,7,90,310,15,9,4,1,22,20,9,11,7,3,9,23,9,11,6,18,10,29,12,6,9,7,12,16,26,6
2020,7,100,8,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2020,8,총,"140,794","1,354","2,421","9,165","16,165","6,095","1,494",868,"1,624",785,434,"1,599","2,802","1,450","1,865","2,889","12,371","3,222","22,333","3,912","4,544","1,410","1,271","1,620","9,286","20,028","9,787"
2020,8,0,"12,222",35,59,797,"2,999",435,30,18,34,12,17,40,74,36,73,148,985,182,"1,748",216,202,58,35,56,"1,141","1,850",942
2020,8,10,"16,017",65,122,"1,413","2,539",535,52,26,87,20,21,80,148,101,148,275,"1,380",293,"2,889",333,372,96,60,109,901,"2,576","1,376"
2020,8,20,"20,277",115,252,"1,715","1,589",712,95,58,113,47,33,134,255,160,209,520,"2,111",440,"3,696",517,643,192,142,228,"1,182","3,339","1,780"
2020,8,30,"17,137",63,176,"1,108","3,247",614,89,60,113,48,21,84,163,90,183,333,"1,477",357,"2,646",424,420,130,128,157,"1,351","2,487","1,168"
2020,8,40,"21,615",146,315,"1,530","3,277",913,154,92,165,86,33,155,347,160,232,364,"1,802",453,"3,376",543,623,172,182,232,"1,463","3,250","1,550"
2020,8,50,"24,844",330,547,"1,748","1,725","1,174",300,181,325,185,95,301,554,312,301,448,"2,086",610,"4,142",631,885,231,263,300,"1,519","3,735","1,916"
2020,8,60,"16,713",286,452,585,608,962,325,227,338,177,102,381,596,300,368,385,"1,596",498,"2,614",645,733,251,249,271,"1,021","1,941",802
2020,8,70,"8,408",191,319,188,148,540,286,133,288,132,78,282,414,191,260,298,697,278,925,425,497,186,142,193,510,621,186
2020,8,80,"3,245",108,169,77,33,188,143,64,150,68,30,132,229,92,79,111,219,100,268,166,162,86,63,62,182,203,61
2020,8,90,308,15,10,4,0,22,20,9,11,7,3,9,21,8,12,7,17,11,28,12,7,8,7,12,16,26,6
2020,8,100,8,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2020,9,총,"140,876","1,352","2,408","9,170","16,222","6,083","1,496",864,"1,621",783,434,"1,599","2,770","1,443","1,857","3,087","12,402","3,217","22,303","3,904","4,534","1,406","1,262","1,594","9,298","20,011","9,756"
2020,9,0,"12,177",34,62,788,"3,000",432,30,16,34,12,17,39,74,36,67,173,990,182,"1,719",213,200,61,32,50,"1,144","1,837",935
2020,9,10,"15,980",65,121,"1,407","2,553",533,54,25,84,20,21,84,148,101,149,286,"1,377",296,"2,869",331,367,96,60,109,902,"2,560","1,362"
2020,9,20,"20,326",115,249,"1,724","1,603",722,94,60,112,49,33,132,252,159,207,555,"2,116",436,"3,700",521,639,187,143,226,"1,177","3,336","1,779"
2020,9,30,"17,135",60,174,"1,111","3,251",608,86,60,111,48,21,85,153,90,181,387,"1,458",351,"2,633",423,424,132,128,156,"1,346","2,492","1,166"
2020,9,40,"21,555",145,311,"1,522","3,276",894,155,89,162,86,32,153,340,154,233,388,"1,814",451,"3,371",541,614,169,182,230,"1,469","3,230","1,544"
2020,9,50,"24,856",326,542,"1,750","1,734","1,177",295,181,327,177,93,298,553,310,299,476,"2,090",616,"4,154",629,888,228,260,287,"1,516","3,738","1,912"
2020,9,60,"16,833",293,451,596,617,973,329,228,336,181,104,382,588,302,364,400,"1,617",495,"2,628",649,735,251,245,272,"1,031","1,964",802
2020,9,70,"8,437",192,323,191,153,534,290,132,289,132,79,284,409,192,266,302,699,279,929,420,498,187,140,191,514,624,188
2020,9,80,"3,252",107,165,77,35,187,143,64,154,68,30,132,233,88,80,112,221,99,270,164,162,87,64,62,182,203,63
2020,9,90,317,15,10,4,0,23,20,9,12,7,3,9,19,11,11,8,19,12,29,13,7,8,8,11,17,27,5
2020,9,100,8,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2020,10,총,"141,053","1,362","2,400","9,127","16,269","6,074","1,489",862,"1,617",781,438,"1,595","2,762","1,444","1,854","3,217","12,464","3,228","22,269","3,889","4,525","1,406","1,258","1,589","9,305","20,058","9,771"
2020,10,0,"12,133",35,62,767,"2,995",420,29,16,34,12,16,38,72,35,68,191,993,184,"1,711",209,199,61,30,48,"1,140","1,832",936
2020,10,10,"15,930",64,121,"1,393","2,575",533,53,25,83,21,20,84,149,100,148,304,"1,372",296,"2,827",331,369,94,61,111,895,"2,547","1,354"
2020,10,20,"20,413",118,248,"1,713","1,620",724,94,57,114,48,33,130,250,162,209,569,"2,141",435,"3,704",511,641,186,140,226,"1,197","3,357","1,786"
2020,10,30,"17,097",60,171,"1,112","3,228",607,83,58,111,47,21,82,154,91,179,416,"1,463",355,"2,625",421,415,136,127,153,"1,328","2,492","1,162"
2020,10,40,"21,571",144,303,"1,511","3,291",899,152,91,159,83,33,155,335,154,234,412,"1,822",450,"3,362",543,617,169,187,229,"1,467","3,219","1,550"
2020,10,50,"24,857",329,543,"1,748","1,743","1,170",296,180,319,180,95,296,547,306,293,488,"2,093",616,"4,157",631,882,224,257,285,"1,522","3,748","1,909"
2020,10,60,"17,010",295,454,611,631,978,329,228,340,181,106,380,594,303,361,411,"1,632",504,"2,652",648,737,253,245,276,"1,042","2,004",815
2020,10,70,"8,464",194,323,193,151,536,293,135,288,131,78,284,410,194,271,303,702,278,933,416,494,188,140,192,516,631,190
2020,10,80,"3,253",107,165,74,35,187,139,64,155,70,32,135,231,88,80,115,225,99,267,166,164,87,63,59,181,201,64
2020,10,90,317,16,10,5,0,20,21,8,14,5,3,10,19,11,11,8,20,11,30,13,7,8,8,10,17,27,5
2020,10,100,8,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2020,11,총,"141,001","1,364","2,390","9,096","16,428","6,055","1,483",864,"1,614",781,435,"1,589","2,770","1,439","1,845","3,281","12,462","3,208","22,210","3,888","4,521","1,407","1,241","1,583","9,318","19,981","9,748"
2020,11,0,"12,095",34,61,757,"3,015",420,28,16,33,11,16,37,72,33,67,201,996,180,"1,698",207,195,61,26,47,"1,139","1,813",932
2020,11,10,"15,883",63,120,"1,390","2,608",529,51,24,79,22,20,84,151,95,146,311,"1,372",296,"2,809",325,365,93,62,107,903,"2,521","1,337"
2020,11,20,"20,410",120,246,"1,707","1,636",716,94,58,116,47,32,127,252,162,211,580,"2,140",431,"3,688",511,634,190,145,226,"1,202","3,349","1,790"
2020,11,30,"17,068",60,166,"1,095","3,259",606,81,60,108,49,19,79,155,94,174,429,"1,459",352,"2,604",422,422,136,124,156,"1,314","2,488","1,157"
2020,11,40,"21,506",145,300,"1,505","3,322",893,151,91,159,82,33,156,333,154,232,423,"1,811",438,"3,357",544,615,170,181,224,"1,462","3,193","1,532"
2020,11,50,"24,817",326,535,"1,753","1,748","1,161",291,177,317,178,95,294,551,305,293,493,"2,092",612,"4,140",632,881,223,255,283,"1,530","3,736","1,916"
2020,11,60,"17,148",298,466,619,652,990,333,230,340,184,107,383,591,309,362,419,"1,641",507,"2,668",647,737,250,242,278,"1,053","2,018",824
2020,11,70,"8,487",194,320,192,154,532,294,135,292,129,78,285,410,191,272,301,703,280,942,423,495,188,138,192,518,638,191
2020,11,80,"3,266",108,165,74,34,189,139,65,156,71,31,133,235,86,77,116,227,101,272,165,168,88,61,60,181,199,65
2020,11,90,313,16,11,4,0,19,21,8,14,5,3,10,19,10,11,8,20,11,31,12,9,8,7,10,16,26,4
2020,11,100,8,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2020,12,총,"140,772","1,363","2,379","9,022","16,613","6,053","1,479",855,"1,611",783,435,"1,579","2,770","1,450","1,848","3,291","12,429","3,206","22,115","3,858","4,491","1,398","1,245","1,583","9,290","19,948","9,678"
2020,12,0,"12,067",32,57,750,"3,048",418,28,16,34,11,16,37,68,33,68,208,991,182,"1,681",203,195,64,28,49,"1,121","1,802",927
2020,12,10,"15,796",64,115,"1,366","2,626",526,50,23,77,23,20,82,153,92,144,309,"1,370",286,"2,796",323,365,92,65,108,900,"2,511","1,310"
2020,12,20,"20,374",116,245,"1,695","1,679",708,92,58,115,45,32,124,249,168,215,573,"2,126",436,"3,665",506,631,185,144,226,"1,206","3,348","1,787"
2020,12,30,"17,004",62,164,"1,084","3,254",608,81,56,108,49,19,77,153,98,170,436,"1,454",347,"2,587",414,416,136,128,157,"1,301","2,493","1,152"
2020,12,40,"21,385",139,301,"1,485","3,352",878,148,89,161,83,33,155,334,148,234,426,"1,806",440,"3,337",540,600,167,179,220,"1,456","3,163","1,511"
2020,12,50,"24,789",328,532,"1,748","1,796","1,169",292,175,313,176,94,290,549,310,294,496,"2,066",611,"4,120",628,877,223,249,283,"1,531","3,729","1,910"
2020,12,60,"17,250",305,469,629,657,"1,006",332,231,342,189,106,383,598,306,361,413,"1,667",512,"2,677",650,733,249,244,280,"1,059","2,032",820
2020,12,70,"8,490",190,316,186,162,531,296,136,288,127,79,286,409,197,273,304,702,280,944,419,496,183,139,188,519,645,195
2020,12,80,"3,296",111,169,75,38,189,139,63,158,71,31,135,238,88,78,117,227,101,279,163,168,91,62,62,181,200,62
2020,12,90,313,16,11,4,1,20,21,8,15,6,4,9,18,10,11,9,19,11,28,12,10,8,7,10,16,25,4
2020,12,100,8,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2021,1,총,"141,003","1,359","2,366","9,051","16,754","6,049","1,475",852,"1,608",782,434,"1,582","2,767","1,461","1,846","3,324","12,428","3,199","22,138","3,849","4,466","1,409","1,227","1,589","9,320","19,975","9,693"
2021,1,0,"11,997",32,56,738,"3,044",416,29,15,34,10,15,38,69,36,70,210,986,182,"1,667",200,193,67,28,47,"1,117","1,782",916
2021,1,10,"15,755",65,112,"1,371","2,650",527,48,25,75,23,20,81,151,91,145,312,"1,360",280,"2,792",317,358,93,64,107,896,"2,496","1,296"
2021,1,20,"20,463",118,244,"1,698","1,705",696,90,57,112,45,31,121,255,174,213,581,"2,123",431,"3,673",515,626,184,141,228,"1,219","3,378","1,805"
2021,1,30,"17,013",60,158,"1,085","3,281",607,80,56,109,48,19,80,152,98,167,442,"1,450",349,"2,581",405,412,140,125,166,"1,294","2,493","1,156"
2021,1,40,"21,329",142,297,"1,488","3,382",872,149,87,158,81,35,154,328,149,236,424,"1,806",440,"3,317",538,588,165,174,212,"1,455","3,154","1,498"
2021,1,50,"24,901",324,530,"1,763","1,828","1,173",292,174,313,177,94,290,546,309,290,502,"2,068",611,"4,133",632,876,223,247,284,"1,548","3,742","1,932"
2021,1,60,"17,381",308,472,642,669,"1,016",329,228,347,188,105,385,599,308,362,422,"1,672",508,"2,715",649,737,253,236,285,"1,071","2,051",824
2021,1,70,"8,532",189,317,186,159,534,300,137,287,127,78,286,410,196,274,306,710,286,945,417,496,185,144,187,524,652,200
2021,1,80,"3,305",107,169,75,35,189,136,65,157,74,32,136,238,90,78,116,232,102,280,164,170,91,61,63,181,202,62
2021,1,90,319,14,11,5,1,19,22,8,16,6,4,10,18,10,11,9,20,10,34,12,10,8,7,10,15,25,4
2021,1,100,8,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2021,2,총,"140,880","1,349","2,358","9,039","16,766","6,044","1,478",857,"1,604",786,432,"1,588","2,758","1,458","1,832","3,356","12,403","3,192","22,097","3,863","4,468","1,392","1,236","1,575","9,310","19,969","9,670"
2021,2,0,"11,943",32,56,739,"3,041",419,27,16,33,9,14,40,69,36,67,208,991,176,"1,662",200,190,65,27,44,"1,108","1,765",909
2021,2,10,"15,703",65,111,"1,352","2,658",530,51,30,69,24,21,85,147,89,143,314,"1,344",285,"2,759",326,361,92,61,107,902,"2,495","1,282"
2021,2,20,"20,347",116,244,"1,699","1,678",686,91,55,115,47,31,122,248,171,206,587,"2,098",421,"3,667",509,622,180,140,223,"1,214","3,376","1,801"
2021,2,30,"16,988",60,160,"1,091","3,258",605,80,56,107,50,18,81,154,95,164,452,"1,445",346,"2,587",404,419,136,126,164,"1,286","2,484","1,160"
2021,2,40,"21,321",135,296,"1,484","3,415",870,148,87,157,79,35,148,328,150,234,436,"1,801",448,"3,309",539,580,162,173,206,"1,461","3,156","1,484"
2021,2,50,"24,865",322,522,"1,765","1,841","1,178",295,172,314,174,92,289,539,310,290,499,"2,075",604,"4,111",633,873,225,254,285,"1,537","3,733","1,933"
2021,2,60,"17,480",310,474,641,677,"1,011",325,230,350,190,105,389,601,308,364,424,"1,681",505,"2,729",660,744,247,237,283,"1,085","2,082",828
2021,2,70,"8,551",188,318,187,159,534,304,136,284,129,79,286,407,195,274,306,716,289,952,414,495,184,148,187,521,653,206
2021,2,80,"3,354",106,166,76,37,190,137,67,159,75,32,137,246,94,79,121,232,106,291,166,174,92,63,66,181,200,61
2021,2,90,320,15,11,5,2,21,20,8,16,6,4,10,18,10,11,9,19,12,29,12,10,9,7,10,15,25,6
2021,2,100,8,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2021,3,총,"140,755","1,331","2,359","9,016","16,802","6,002","1,472",849,"1,602",789,425,"1,577","2,759","1,460","1,812","3,384","12,405","3,185","22,105","3,853","4,463","1,398","1,223","1,567","9,314","19,960","9,643"
2021,3,0,"11,889",31,56,740,"3,038",410,27,16,31,9,14,40,71,38,65,207,985,177,"1,660",197,188,61,28,44,"1,106","1,751",899
2021,3,10,"15,615",56,109,"1,342","2,662",531,52,27,70,23,20,82,145,86,142,321,"1,343",283,"2,742",311,356,93,59,106,902,"2,481","1,271"
2021,3,20,"20,349",117,244,"1,693","1,683",671,91,54,115,45,30,119,242,173,202,615,"2,113",415,"3,668",515,624,182,138,220,"1,206","3,368","1,806"
2021,3,30,"16,946",62,163,"1,099","3,251",599,79,55,105,50,18,79,157,93,159,450,"1,435",347,"2,584",399,412,136,132,166,"1,286","2,470","1,160"
2021,3,40,"21,272",131,287,"1,470","3,427",859,147,85,156,82,34,146,324,147,232,431,"1,807",449,"3,312",543,586,160,163,201,"1,464","3,154","1,475"
2021,3,50,"24,847",316,522,"1,769","1,856","1,173",291,167,314,173,90,285,542,313,287,498,"2,075",596,"4,106",629,870,227,256,284,"1,535","3,746","1,927"
2021,3,60,"17,565",312,487,637,684,"1,013",325,236,351,191,104,395,604,309,365,423,"1,676",506,"2,762",658,745,248,232,281,"1,091","2,102",828
2021,3,70,"8,568",188,315,187,158,537,302,135,287,132,76,283,408,197,276,306,716,296,947,418,493,189,147,189,522,656,208
2021,3,80,"3,381",103,165,73,41,189,138,68,158,75,34,135,248,94,77,125,234,105,294,171,179,93,60,66,185,207,64
2021,3,90,316,15,11,6,2,20,20,6,15,6,4,13,17,10,7,8,20,11,29,12,10,9,8,10,17,25,5
2021,3,100,7,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2021,4,총,"140,756","1,330","2,355","9,033","16,859","5,993","1,469",850,"1,590",796,418,"1,576","2,766","1,457","1,804","3,402","12,401","3,169","22,070","3,846","4,459","1,393","1,217","1,563","9,315","19,959","9,666"
2021,4,0,"11,839",31,55,740,"3,040",403,26,17,31,13,9,39,71,38,67,205,979,181,"1,636",195,184,62,29,44,"1,097","1,748",899
2021,4,10,"15,564",53,107,"1,330","2,666",538,52,27,67,23,21,81,143,84,140,324,"1,332",280,"2,738",307,353,93,60,108,905,"2,466","1,266"
2021,4,20,"20,359",122,239,"1,703","1,690",662,89,55,116,45,32,119,242,172,200,622,"2,109",412,"3,671",515,623,177,130,220,"1,203","3,376","1,815"
2021,4,30,"16,938",61,167,"1,099","3,253",592,77,56,99,48,15,76,158,93,157,454,"1,425",341,"2,577",402,410,143,132,162,"1,283","2,488","1,170"
2021,4,40,"21,265",129,285,"1,477","3,438",853,148,84,153,86,35,145,326,149,232,437,"1,818",440,"3,309",539,590,159,162,204,"1,460","3,132","1,475"
2021,4,50,"24,820",315,516,"1,764","1,879","1,174",289,166,311,172,89,286,547,314,285,495,"2,076",597,"4,092",630,866,222,256,282,"1,549","3,730","1,918"
2021,4,60,"17,653",311,491,654,693,"1,021",328,236,353,191,99,398,604,309,360,423,"1,680",509,"2,773",655,746,245,233,279,"1,089","2,131",842
2021,4,70,"8,575",189,318,185,157,539,300,134,285,132,80,282,408,192,280,304,720,291,952,418,492,187,147,188,527,658,210
2021,4,80,"3,421",103,165,76,41,192,141,69,160,77,34,137,249,96,76,130,241,107,293,173,185,97,60,66,184,204,65
2021,4,90,315,16,12,5,2,19,19,6,15,6,3,13,17,10,7,8,20,11,28,12,10,8,8,10,18,26,6
2021,4,100,7,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2021,5,총,"140,637","1,333","2,345","9,010","16,873","6,018","1,472",845,"1,599",789,417,"1,571","2,761","1,460","1,796","3,413","12,401","3,170","22,055","3,850","4,426","1,386","1,199","1,539","9,307","19,934","9,668"
2021,5,0,"11,794",31,56,734,"3,032",398,25,17,31,12,8,39,70,37,67,206,976,181,"1,629",192,183,61,28,42,"1,098","1,741",900
