년도,월,나이,부산광역시 해운대구,부산광역시 해운대구 우제1동,부산광역시 해운대구 우제2동,부산광역시 해운대구 우제3동,부산광역시 해운대구 중제1동,부산광역시 해운대구 중제2동,부산광역시 해운대구 좌제1동,부산광역시 해운대구 좌제2동,부산광역시 해운대구 좌제3동,부산광역시 해운대구 좌제4동,부산광역시 해운대구 송정동,부산광역시 해운대구 반여제1동,부산광역시 해운대구 반여제2동,부산광역시 해운대구 반여제3동,부산광역시 해운대구 반여제4동,부산광역시 해운대구 반송제1동,부산광역시 해운대구 반송제2동,부산광역시 해운대구 재송제1동,부산광역시 해운대구 재송제2동
2020,9,90,"1,687",108,146,105,89,58,75,120,91,101,62,129,57,50,43,106,164,96,87
2020,9,100,159,26,7,4,16,8,2,1,0,0,4,4,15,6,2,27,24,6,7
2020,10,총,"402,820","23,135","31,196","28,626","25,786","15,809","18,296","32,299","16,496","23,462","9,991","35,531","13,425","9,099","16,587","14,518","24,439","38,492","25,633"
2020,10,0,"28,703","1,325","2,876","2,824","1,969","1,246","1,268","2,093","1,128","1,762",518,"2,680",529,264,"1,303",392,988,"4,183","1,355"
2020,10,10,"38,312","1,622","3,180","3,131","2,341","1,144","2,094","2,927","1,857","3,052",507,"4,268",700,548,"1,576",806,"1,578","4,912","2,069"
2020,10,20,"49,307","3,089","3,563","2,944","3,300","1,709","2,817","5,102","1,995","3,036","1,211","4,290","1,507","1,006","2,187","1,660","2,503","4,176","3,212"
2020,10,30,"47,056","2,972","3,863","3,406","3,211","2,241","2,107","4,464","1,706","2,358","1,312","3,723","1,615",843,"2,065","1,189","2,084","4,932","2,965"
2020,10,40,"66,072","3,520","5,344","4,995","4,400","2,682","3,281","5,081","2,571","4,128","1,314","6,363","1,805","1,166","2,633","1,814","3,259","7,794","3,922"
2020,10,50,"70,556","3,888","5,406","4,856","4,519","2,774","3,167","5,767","3,022","4,317","1,752","6,344","2,482","1,770","3,043","2,780","4,361","5,490","4,818"
2020,10,60,"57,442","3,649","3,848","3,754","3,322","2,414","1,798","3,755","2,215","2,630","1,897","4,645","2,555","1,857","2,411","2,848","5,101","4,264","4,479"
2020,10,70,"30,693","2,157","2,075","1,842","1,843","1,128","1,069","1,967","1,204","1,366",958,"2,205","1,575","1,121","1,007","2,066","3,124","1,990","1,996"
2020,10,80,"12,816",776,886,764,777,403,617,"1,020",704,713,453,876,585,469,317,832,"1,254",648,722
2020,10,90,"1,703",111,148,106,87,60,76,122,94,100,65,133,57,49,43,104,163,97,88
2020,10,100,160,26,7,4,17,8,2,1,0,0,4,4,15,6,2,27,24,6,7
2020,11,총,"402,518","23,084","31,194","28,620","26,151","15,822","18,256","32,276","16,412","23,400","9,986","35,445","13,359","9,073","16,568","14,473","24,384","38,473","25,542"
2020,11,0,"28,540","1,315","2,867","2,837","2,019","1,236","1,259","2,080","1,106","1,746",510,"2,645",520,256,"1,301",382,977,"4,152","1,332"
