년도,월,나이,경기도 시흥시,경기도 시흥시 대야동,경기도 시흥시 신천동,경기도 시흥시 신현동,경기도 시흥시 은행동,경기도 시흥시 매화동,경기도 시흥시 목감동,경기도 시흥시 군자동,경기도 시흥시 월곶동,경기도 시흥시 정왕본동,경기도 시흥시 정왕1동,경기도 시흥시 정왕2동,경기도 시흥시 정왕3동,경기도 시흥시 정왕4동,경기도 시흥시 배곧동,경기도 시흥시 과림동,경기도 시흥시 연성동,경기도 시흥시 장곡동,경기도 시흥시 능곡동,경기도 시흥시 배곧1동,경기도 시흥시 배곧2동
2020,4,총,"250,312","18,475","19,415","5,402","24,491","6,497","21,859","11,929","8,121","12,895","13,261","17,143","12,969","10,773","35,954","1,200","12,427","8,680","8,821",,
2020,4,0,"23,925","1,411","1,018",264,"3,023",380,"3,265",909,777,621,738,"1,339",931,916,"5,708",32,992,837,764,,
2020,4,10,"25,504","1,654","1,915",424,"2,698",679,"1,776","1,218",791,604,"1,023","1,932","1,151","1,447","3,813",31,"1,684","1,487","1,177",,
2020,4,20,"36,239","2,923","3,278",814,"3,360",988,"2,162","1,661",891,"2,066","2,116","2,927","1,802","1,870","4,772",91,"1,932","1,268","1,318",,
2020,4,30,"39,589","2,774","2,231",598,"3,928",621,"4,467","1,617","1,250","2,918","2,286","2,494","1,989","1,286","7,823",130,"1,340",796,"1,041",,
2020,4,40,"46,706","2,690","2,999",737,"4,188","1,101","4,047","2,220","1,706","2,890","2,898","3,417","2,793","1,875","7,399",133,"2,259","1,765","1,589",,
2020,4,50,"44,702","3,660","4,307","1,245","4,155","1,386","2,931","2,192","1,386","2,385","2,636","3,200","2,595","2,198","4,171",302,"2,546","1,754","1,653",,
2020,4,60,"22,377","2,267","2,485",828,"2,147",818,"2,120","1,326",809,981,"1,126","1,222","1,176",755,"1,723",314,"1,015",478,787,,
2020,4,70,"8,273",794,908,346,749,376,844,568,384,333,327,430,390,281,423,128,441,195,356,,
2020,4,80,"2,721",279,240,126,221,133,226,201,117,89,103,170,133,131,112,33,199,87,121,,
2020,4,90,249,22,32,15,20,14,17,15,9,7,6,12,8,14,10,4,17,13,14,,
2020,4,100,27,1,2,5,2,1,4,2,1,1,2,0,1,0,0,2,2,0,1,,
2020,5,총,"250,780","18,544","19,424","5,373","24,744","6,505","21,859","11,910","8,134","12,861","13,281","17,128","12,956","10,758","35,990","1,200","12,414","8,656","9,043",,
2020,5,0,"23,853","1,419","1,009",260,"3,044",381,"3,243",906,768,620,726,"1,320",931,904,"5,698",31,980,831,782,,
2020,5,10,"25,459","1,639","1,901",420,"2,716",680,"1,778","1,221",781,607,"1,021","1,918","1,149","1,438","3,821",32,"1,664","1,473","1,200",,
2020,5,20,"36,322","2,925","3,282",803,"3,397",982,"2,169","1,636",914,"2,069","2,149","2,930","1,791","1,869","4,743",90,"1,943","1,270","1,360",,
2020,5,30,"39,587","2,810","2,243",582,"3,975",621,"4,437","1,615","1,248","2,881","2,271","2,501","1,983","1,290","7,782",129,"1,334",790,"1,095",,
2020,5,40,"46,710","2,694","2,976",736,"4,241","1,092","4,060","2,211","1,713","2,880","2,885","3,381","2,808","1,859","7,439",129,"2,243","1,761","1,602",,
2020,5,50,"44,889","3,663","4,317","1,244","4,166","1,396","2,935","2,190","1,386","2,391","2,650","3,216","2,586","2,206","4,208",305,"2,571","1,757","1,702",,
2020,5,60,"22,594","2,285","2,506",834,"2,200",827,"2,129","1,338",808,988,"1,142","1,245","1,174",759,"1,744",317,"1,014",480,804,,
2020,5,70,"8,353",803,911,350,764,380,857,576,392,330,326,431,389,285,431,127,447,193,361,,
2020,5,80,"2,734",282,247,124,220,130,229,201,114,87,101,173,136,134,114,33,199,88,122,,
2020,5,90,252,23,30,15,19,15,18,14,9,7,8,13,8,14,10,5,17,13,14,,
2020,5,100,27,1,2,5,2,1,4,2,1,1,2,0,1,0,0,2,2,0,1,,
2020,6,총,"251,904","19,602","19,376","5,358","24,664","6,484","21,814","11,904","8,183","12,798","13,258","17,166","13,005","10,741","36,031","1,188","12,377","8,658","9,297",,
2020,6,0,"23,908","1,512","1,005",254,"3,065",378,"3,215",899,767,606,726,"1,312",935,887,"5,713",30,972,821,811,,
2020,6,10,"25,459","1,726","1,863",416,"2,699",666,"1,782","1,207",777,613,"1,016","1,897","1,147","1,442","3,829",30,"1,655","1,471","1,223",,
2020,6,20,"36,449","3,108","3,273",798,"3,332",974,"2,161","1,646",925,"2,036","2,155","2,940","1,796","1,864","4,734",86,"1,953","1,272","1,396",,
2020,6,30,"39,795","3,017","2,247",582,"3,991",614,"4,412","1,608","1,249","2,872","2,257","2,509","1,994","1,288","7,752",125,"1,317",796,"1,165",,
2020,6,40,"46,904","2,858","2,952",731,"4,252","1,079","4,071","2,199","1,726","2,866","2,882","3,400","2,806","1,852","7,466",131,"2,236","1,760","1,637",,
2020,6,50,"45,035","3,834","4,315","1,235","4,109","1,406","2,912","2,198","1,402","2,378","2,641","3,222","2,601","2,207","4,220",300,"2,563","1,753","1,739",,
2020,6,60,"22,939","2,407","2,534",844,"2,201",839,"2,148","1,351",817,"1,009","1,151","1,270","1,194",765,"1,760",319,"1,016",491,823,,
2020,6,70,"8,402",822,913,354,778,377,860,577,395,324,322,432,388,288,434,128,451,194,365,,
2020,6,80,"2,734",295,242,124,216,134,231,203,115,86,98,170,135,134,114,32,195,87,123,,
2020,6,90,252,22,30,15,19,16,18,14,9,7,8,14,8,14,9,5,17,13,14,,
2020,6,100,27,1,2,5,2,1,4,2,1,1,2,0,1,0,0,2,2,0,1,,
2020,7,총,"253,293","20,442","19,280","5,330","24,625","6,433","21,770","11,862","8,235","12,828","13,204","17,170","12,973","10,734","36,022","1,181","12,331","9,600","9,273",,
2020,7,0,"24,054","1,617",995,250,"3,075",373,"3,181",884,763,610,713,"1,301",930,894,"5,701",30,959,970,808,,
2020,7,10,"25,487","1,777","1,855",411,"2,683",661,"1,772","1,206",778,611,"1,000","1,895","1,140","1,433","3,835",24,"1,640","1,557","1,209",,
2020,7,20,"36,524","3,247","3,257",796,"3,277",963,"2,157","1,633",938,"2,034","2,138","2,943","1,785","1,857","4,729",90,"1,935","1,369","1,376",,
2020,7,30,"40,100","3,172","2,243",570,"4,014",603,"4,389","1,590","1,254","2,869","2,243","2,504","1,997","1,284","7,685",119,"1,328","1,065","1,171",,
2020,7,40,"47,153","2,978","2,926",726,"4,250","1,075","4,083","2,193","1,732","2,880","2,880","3,401","2,781","1,846","7,514",132,"2,214","1,923","1,619",,
2020,7,50,"45,216","3,984","4,261","1,223","4,095","1,390","2,906","2,193","1,412","2,389","2,645","3,222","2,598","2,213","4,228",301,"2,563","1,849","1,744",,
2020,7,60,"23,245","2,495","2,560",855,"2,210",833,"2,161","1,361",830,"1,018","1,152","1,284","1,211",768,"1,772",321,"1,027",554,833,,
2020,7,70,"8,487",845,916,356,782,386,866,583,397,326,325,435,390,287,435,127,452,208,371,,
2020,7,80,"2,746",303,235,123,218,132,231,202,120,83,98,172,133,137,114,31,196,92,126,,
2020,7,90,253,23,30,15,19,16,20,15,10,7,8,13,7,15,9,4,15,12,15,,
2020,7,100,28,1,2,5,2,1,4,2,1,1,2,0,1,0,0,2,2,1,1,,
2020,8,총,"255,745","21,464","19,130","5,296","24,602","6,390","21,556","11,790","8,254","12,839","13,124","17,151","12,964","10,693","35,986","1,179","12,173","11,945","9,209",,
2020,8,0,"24,330","1,748",966,244,"3,059",369,"3,110",864,748,597,701,"1,285",920,884,"5,665",31,932,"1,427",780,,
2020,8,10,"25,577","1,826","1,823",404,"2,663",654,"1,757","1,191",774,613,992,"1,879","1,132","1,422","3,839",21,"1,601","1,783","1,203",,
2020,8,20,"36,858","3,410","3,236",790,"3,282",954,"2,119","1,633",950,"2,052","2,118","2,952","1,782","1,861","4,736",91,"1,911","1,617","1,364",,
2020,8,30,"40,564","3,383","2,221",566,"4,007",590,"4,304","1,568","1,246","2,858","2,220","2,516","1,990","1,264","7,623",119,"1,323","1,591","1,175",,
2020,8,40,"47,603","3,126","2,884",714,"4,263","1,067","4,063","2,175","1,746","2,866","2,869","3,380","2,784","1,838","7,547",130,"2,169","2,394","1,588",,
2020,8,50,"45,502","4,134","4,240","1,207","4,089","1,381","2,889","2,186","1,419","2,401","2,634","3,236","2,583","2,201","4,219",300,"2,541","2,107","1,735",,
2020,8,60,"23,713","2,632","2,572",873,"2,211",837,"2,191","1,373",840,"1,035","1,163","1,284","1,234",786,"1,802",321,"1,029",679,851,,
2020,8,70,"8,526",864,917,354,786,388,860,580,397,327,323,433,395,284,433,128,452,236,369,,
2020,8,80,"2,782",316,239,124,219,133,236,203,123,82,95,171,135,138,113,32,198,98,127,,
2020,8,90,262,24,30,15,20,16,23,15,10,7,8,15,8,15,9,4,15,12,16,,
2020,8,100,28,1,2,5,3,1,4,2,1,1,1,0,1,0,0,2,2,1,1,,
2020,9,총,"257,762","22,152","19,047","5,268","24,596","6,371","21,472","11,747","8,279","12,816","13,239","17,161","12,938","10,656","35,944","1,173","12,128","13,560","9,215",,
2020,9,0,"24,494","1,809",950,241,"3,066",367,"3,078",859,737,601,684,"1,263",914,881,"5,613",30,920,"1,709",772,,
2020,9,10,"25,659","1,862","1,791",405,"2,643",654,"1,733","1,186",773,604,"1,010","1,874","1,120","1,414","3,856",22,"1,576","1,940","1,196",,
2020,9,20,"37,202","3,512","3,230",781,"3,264",944,"2,123","1,622",958,"2,054","2,240","2,962","1,777","1,853","4,726",92,"1,904","1,789","1,371",,
2020,9,30,"40,896","3,541","2,217",558,"4,013",588,"4,293","1,548","1,257","2,822","2,201","2,508","1,973","1,254","7,569",119,"1,326","1,931","1,178",,
2020,9,40,"47,985","3,247","2,859",713,"4,277","1,051","4,027","2,175","1,740","2,867","2,874","3,384","2,792","1,831","7,580",127,"2,147","2,710","1,584",,
2020,9,50,"45,744","4,217","4,233","1,194","4,074","1,381","2,884","2,176","1,430","2,401","2,629","3,238","2,585","2,198","4,222",297,"2,539","2,302","1,744",,
2020,9,60,"24,065","2,723","2,579",881,"2,228",840,"2,208","1,380",852,"1,041","1,168","1,307","1,239",794,"1,817",323,"1,042",782,861,,
2020,9,70,"8,603",895,913,351,792,393,861,578,396,334,327,432,392,280,440,123,458,273,365,,
2020,9,80,"2,822",318,243,123,218,136,238,206,125,84,98,178,136,137,113,33,199,110,127,,
2020,9,90,266,27,30,16,20,16,23,15,10,7,7,15,9,14,8,5,15,13,16,,
2020,9,100,26,1,2,5,1,1,4,2,1,1,1,0,1,0,0,2,2,1,1,,
2020,10,총,"258,939","22,460","18,994","5,265","24,709","6,378","21,495","11,699","8,308","12,764","13,185","17,137","12,908","10,645","36,102","1,177","12,124","14,316","9,273",,
2020,10,0,"24,483","1,819",944,240,"3,067",365,"3,066",844,733,599,678,"1,250",911,868,"5,611",30,908,"1,787",763,,
2020,10,10,"25,688","1,893","1,773",401,"2,656",649,"1,728","1,179",778,599,998,"1,858","1,109","1,425","3,882",24,"1,554","1,983","1,199",,
2020,10,20,"37,337","3,546","3,216",785,"3,275",942,"2,134","1,629",967,"2,032","2,265","2,961","1,768","1,842","4,716",94,"1,926","1,860","1,379",,
2020,10,30,"40,985","3,589","2,204",558,"4,019",584,"4,277","1,531","1,259","2,806","2,155","2,505","1,945","1,252","7,603",117,"1,319","2,077","1,185",,
2020,10,40,"48,245","3,292","2,839",706,"4,335","1,052","4,047","2,163","1,750","2,853","2,885","3,373","2,777","1,834","7,629",129,"2,138","2,849","1,594",,
2020,10,50,"45,918","4,270","4,219","1,184","4,070","1,387","2,873","2,170","1,436","2,396","2,602","3,240","2,598","2,186","4,256",295,"2,546","2,431","1,759",,
2020,10,60,"24,460","2,803","2,603",890,"2,256",855,"2,234","1,383",852,"1,052","1,168","1,323","1,258",802,"1,828",324,"1,059",894,876,,
2020,10,70,"8,678",907,916,356,792,389,872,572,394,332,328,434,395,282,450,123,460,305,371,,
2020,10,80,"2,852",313,248,124,218,137,239,210,128,87,98,177,138,140,119,34,198,114,130,,
2020,10,90,266,27,30,16,20,17,21,16,9,7,7,16,8,14,8,5,14,15,16,,
2020,10,100,27,1,2,5,1,1,4,2,2,1,1,0,1,0,0,2,2,1,1,,
2020,11,총,"260,233","22,577","18,966","5,255","25,271","6,367","21,451","11,682","8,324","12,730","13,159","17,147","12,906","10,600","36,199","1,171","12,166","14,983","9,279",,
2020,11,0,"24,444","1,811",928,238,"3,114",360,"3,035",838,724,598,661,"1,239",906,857,"5,598",27,903,"1,848",759,,
2020,11,10,"25,728","1,882","1,761",401,"2,715",640,"1,722","1,172",783,598,996,"1,862","1,102","1,401","3,905",26,"1,549","2,016","1,197",,
2020,11,20,"37,586","3,568","3,218",779,"3,334",947,"2,147","1,614",978,"2,031","2,304","2,953","1,781","1,847","4,735",97,"1,951","1,922","1,380",,
2020,11,30,"41,109","3,610","2,189",560,"4,132",574,"4,262","1,533","1,268","2,768","2,132","2,512","1,925","1,247","7,573",116,"1,335","2,169","1,204",,
2020,11,40,"48,497","3,334","2,838",701,"4,433","1,050","4,052","2,166","1,756","2,860","2,863","3,359","2,785","1,817","7,674",128,"2,129","2,976","1,576",,
2020,11,50,"46,142","4,277","4,202","1,181","4,159","1,384","2,877","2,163","1,438","2,395","2,593","3,248","2,594","2,182","4,275",290,"2,552","2,577","1,755",,
2020,11,60,"24,790","2,831","2,632",893,"2,338",862,"2,215","1,386",842,"1,057","1,176","1,345","1,270",818,"1,855",324,"1,078",985,883,,
2020,11,70,"8,771",914,920,357,804,394,876,584,396,330,329,435,395,281,451,122,455,353,375,,
2020,11,80,"2,870",321,247,124,221,138,239,208,128,86,95,177,139,137,125,34,197,121,133,,
2020,11,90,269,28,29,16,20,17,22,16,9,6,9,17,8,13,8,5,15,15,16,,
2020,11,100,27,1,2,5,1,1,4,2,2,1,1,0,1,0,0,2,2,1,1,,
2020,12,총,"261,730","22,605","18,914","5,242","26,143","6,357","21,476","11,636","8,333","12,740","13,239","17,191","12,878","10,591","36,237","1,169","12,168","15,258","9,553",,
2020,12,0,"24,606","1,805",910,232,"3,302",349,"3,042",827,713,590,654,"1,234",894,855,"5,584",28,897,"1,870",820,,
2020,12,10,"25,752","1,849","1,736",402,"2,763",638,"1,725","1,162",787,599,"1,000","1,851","1,109","1,387","3,936",26,"1,550","2,040","1,192",,
2020,12,20,"37,830","3,591","3,226",782,"3,392",958,"2,158","1,607",986,"2,051","2,373","2,959","1,764","1,849","4,732",95,"1,949","1,947","1,411",,
2020,12,30,"41,440","3,618","2,178",554,"4,418",577,"4,238","1,525","1,256","2,756","2,151","2,513","1,921","1,242","7,525",111,"1,339","2,205","1,313",,
2020,12,40,"48,752","3,347","2,811",698,"4,616","1,035","4,061","2,155","1,758","2,855","2,849","3,367","2,774","1,818","7,723",126,"2,112","3,031","1,616",,
2020,12,50,"46,243","4,267","4,206","1,178","4,196","1,378","2,881","2,145","1,447","2,381","2,589","3,275","2,592","2,186","4,281",291,"2,562","2,616","1,772",,
2020,12,60,"25,085","2,860","2,642",890,"2,391",870,"2,232","1,405",849,"1,073","1,184","1,359","1,279",821,"1,875",328,"1,095","1,030",902,,
2020,12,70,"8,831",917,925,359,819,397,876,584,395,339,333,436,397,282,448,123,453,375,373,,
2020,12,80,"2,894",320,250,126,226,137,239,207,131,89,96,180,139,138,125,33,194,127,137,,
2020,12,90,271,30,28,16,19,17,20,17,9,6,9,17,8,13,8,6,15,16,17,,
2020,12,100,26,1,2,5,1,1,4,2,2,1,1,0,1,0,0,2,2,1,0,,
2021,1,총,"263,749","22,635","18,851","5,218","27,323","6,356","21,433","11,601","8,359","12,758","13,241","17,195","12,894","10,588","36,290","1,175","12,141","15,416","10,275",,
2021,1,0,"24,872","1,776",889,229,"3,610",342,"3,001",813,704,587,645,"1,219",894,845,"5,557",25,888,"1,872",976,,
2021,1,10,"25,887","1,848","1,711",394,"2,868",635,"1,709","1,156",789,597,997,"1,843","1,107","1,395","3,954",27,"1,536","2,064","1,257",,
2021,1,20,"37,958","3,571","3,214",771,"3,420",961,"2,165","1,602",989,"2,091","2,379","2,956","1,769","1,846","4,728",101,"1,951","1,971","1,473",,
2021,1,30,"41,764","3,630","2,167",560,"4,724",579,"4,200","1,518","1,260","2,746","2,140","2,502","1,898","1,227","7,471",109,"1,324","2,216","1,493",,
2021,1,40,"49,208","3,371","2,785",683,"4,878","1,029","4,073","2,150","1,759","2,839","2,850","3,374","2,796","1,814","7,779",127,"2,102","3,053","1,746",,
2021,1,50,"46,419","4,265","4,193","1,175","4,262","1,368","2,876","2,134","1,458","2,378","2,594","3,287","2,580","2,191","4,313",291,"2,549","2,643","1,862",,
2021,1,60,"25,509","2,891","2,684",897,"2,468",886,"2,268","1,417",859,"1,084","1,198","1,381","1,299",833,"1,899",329,"1,115","1,065",936,,
2021,1,70,"8,910",932,924,358,845,398,878,585,397,341,332,430,401,285,458,126,460,387,373,,
2021,1,80,"2,921",320,255,129,226,140,237,209,132,87,96,185,140,139,124,33,199,129,141,,
2021,1,90,274,30,27,17,21,17,22,14,10,7,9,18,9,13,7,5,15,15,18,,
2021,1,100,27,1,2,5,1,1,4,3,2,1,1,0,1,0,0,2,2,1,0,,
2021,2,총,"265,172","22,685","18,808","5,222","27,757","6,352","21,373","11,567","8,355","12,839","13,270","17,248","12,927","10,596","36,329","1,197","12,111","15,511","11,025",,
2021,2,0,"25,031","1,783",875,222,"3,737",334,"2,972",804,688,583,642,"1,210",889,842,"5,536",25,874,"1,882","1,133",,
2021,2,10,"25,950","1,840","1,692",397,"2,902",629,"1,706","1,148",789,594,988,"1,839","1,107","1,393","3,991",29,"1,526","2,059","1,321",,
2021,2,20,"38,037","3,564","3,202",773,"3,409",965,"2,160","1,589",992,"2,129","2,407","2,958","1,765","1,854","4,737",102,"1,935","1,979","1,517",,
2021,2,30,"42,009","3,634","2,172",547,"4,828",578,"4,165","1,513","1,251","2,764","2,128","2,521","1,900","1,229","7,414",111,"1,330","2,245","1,679",,
2021,2,40,"49,441","3,392","2,759",684,"4,983","1,024","4,055","2,130","1,750","2,834","2,851","3,374","2,805","1,819","7,809",130,"2,079","3,065","1,898",,
2021,2,50,"46,596","4,270","4,185","1,175","4,279","1,365","2,887","2,137","1,468","2,397","2,603","3,296","2,587","2,178","4,322",299,"2,548","2,654","1,946",,
2021,2,60,"25,886","2,908","2,712",910,"2,520",899,"2,280","1,433",868,"1,103","1,209","1,407","1,321",845,"1,923",330,"1,139","1,091",988,,
2021,2,70,"8,968",945,926,361,845,401,883,587,400,342,329,434,401,283,464,131,467,391,378,,
2021,2,80,"2,947",317,255,130,231,138,238,209,137,85,103,190,143,140,124,33,198,130,146,,
2021,2,90,278,31,27,18,22,18,23,14,10,7,9,19,8,13,9,5,13,14,18,,
2021,2,100,29,1,3,5,1,1,4,3,2,1,1,0,1,0,0,2,2,1,1,,
2021,3,총,"265,947","22,685","18,795","5,237","27,867","6,362","21,397","11,585","8,350","12,807","13,326","17,312","12,931","10,584","36,399","1,217","12,095","15,592","11,406",,
2021,3,0,"25,009","1,788",870,219,"3,719",328,"2,959",796,684,571,638,"1,210",879,854,"5,535",22,875,"1,878","1,184",,
2021,3,10,"25,973","1,822","1,677",392,"2,915",627,"1,713","1,146",781,593,"1,020","1,829","1,109","1,376","4,024",30,"1,502","2,064","1,353",,
2021,3,20,"38,135","3,562","3,203",780,"3,423",962,"2,142","1,591","1,000","2,115","2,444","2,995","1,757","1,841","4,751",101,"1,937","1,988","1,543",,
2021,3,30,"42,111","3,640","2,179",555,"4,829",581,"4,179","1,505","1,255","2,736","2,133","2,524","1,885","1,232","7,382",116,"1,333","2,270","1,777",,
2021,3,40,"49,482","3,390","2,750",675,"5,007","1,030","4,061","2,132","1,747","2,847","2,823","3,378","2,804","1,803","7,820",129,"2,058","3,072","1,956",,
2021,3,50,"46,626","4,254","4,169","1,178","4,277","1,369","2,861","2,151","1,471","2,397","2,602","3,305","2,593","2,161","4,334",300,"2,538","2,666","2,000",,
2021,3,60,"26,319","2,936","2,735",918,"2,580",907,"2,320","1,448",871,"1,105","1,224","1,431","1,345",877,"1,953",344,"1,177","1,118","1,030",,
2021,3,70,"8,986",940,922,365,852,403,892,586,396,346,324,431,405,281,468,133,461,391,390,,
2021,3,80,"2,993",318,259,132,242,137,242,212,134,89,110,188,144,145,123,35,199,130,154,,
2021,3,90,284,34,28,18,22,17,24,15,9,7,7,21,9,14,9,5,13,14,18,,
2021,3,100,29,1,3,5,1,1,4,3,2,1,1,0,1,0,0,2,2,1,1,,
2021,4,총,"266,410","22,725","18,752","5,232","27,911","6,359","21,412","11,562","8,346","12,799","13,306","17,360","12,914","10,577","36,487","1,209","12,146","15,690","11,623",,
2021,4,0,"24,972","1,798",861,217,"3,707",321,"2,948",793,680,575,633,"1,195",869,854,"5,499",20,888,"1,885","1,229",,
2021,4,10,"25,928","1,809","1,670",387,"2,904",624,"1,713","1,137",782,575,"1,022","1,825","1,105","1,369","4,055",29,"1,492","2,062","1,368",,
2021,4,20,"38,173","3,557","3,198",781,"3,414",967,"2,146","1,591","1,007","2,116","2,433","3,013","1,762","1,834","4,779",99,"1,945","1,983","1,548",,
2021,4,30,"42,109","3,644","2,170",551,"4,846",584,"4,165","1,493","1,248","2,740","2,105","2,518","1,873","1,226","7,346",119,"1,344","2,297","1,840",,
2021,4,40,"49,611","3,397","2,748",678,"5,022","1,023","4,082","2,130","1,745","2,831","2,826","3,394","2,801","1,800","7,881",128,"2,054","3,084","1,987",,
2021,4,50,"46,652","4,242","4,137","1,167","4,271","1,373","2,861","2,146","1,475","2,400","2,609","3,309","2,591","2,167","4,345",294,"2,551","2,683","2,031",,
2021,4,60,"26,609","2,976","2,755",931,"2,613",907,"2,344","1,450",866,"1,122","1,227","1,466","1,353",884,"1,976",344,"1,190","1,156","1,049",,
2021,4,70,"9,018",944,921,365,864,404,891,584,394,344,334,429,406,281,471,132,461,393,400,,
2021,4,80,"3,027",326,263,131,245,137,234,221,138,88,109,191,144,148,126,37,205,132,152,,
2021,4,90,281,31,26,19,24,18,24,14,9,7,6,20,9,14,9,5,14,14,18,,
2021,4,100,30,1,3,5,1,1,4,3,2,1,2,0,1,0,0,2,2,1,1,,
