년도,월,나이,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2020,6,70,"14,142",724,"1,577",876,743,549,504,915,816,875,696,912,820,651,778,"1,732",974
2020,6,80,"6,649",390,813,526,393,257,227,386,395,417,328,394,313,321,297,714,478
2020,6,90,"1,161",70,125,110,59,61,32,70,69,94,57,62,48,48,41,141,74
2020,6,100,246,37,31,21,7,19,10,12,14,17,15,6,11,12,10,9,15
2020,7,총,"197,599","13,218","20,681","11,476","11,495","7,301","6,308","11,971","13,099","13,467","9,875","11,188","10,041","8,357","10,367","22,166","16,589"
2020,7,0,"12,681","1,403","1,124",720,"1,207",309,460,836,943,435,573,565,597,351,526,"1,343","1,289"
2020,7,10,"14,344",836,"1,246",788,"1,020",445,581,894,885,648,532,689,847,384,744,"1,700","2,105"
2020,7,20,"33,747","1,708","3,743","1,593","1,200","1,792",911,"1,735","2,447","3,367","1,979","1,897","1,511","1,740","1,695","4,063","2,366"
2020,7,30,"34,350","2,740","3,379","1,898","2,010","1,144","1,011","1,987","2,265","2,855","1,992","2,117","1,581","1,643","1,801","3,707","2,220"
2020,7,40,"31,706","1,996","2,941","1,706","2,278","1,035","1,059","2,122","2,124","1,907","1,377","1,680","1,690","1,194","1,810","3,497","3,290"
2020,7,50,"27,590","1,941","3,389","1,843","1,481",946,889,"1,751","1,919","1,583","1,264","1,513","1,406","1,085","1,469","2,956","2,155"
2020,7,60,"20,937","1,372","2,302","1,388","1,101",752,618,"1,265","1,233","1,264","1,053","1,348","1,215",925,"1,189","2,290","1,622"
2020,7,70,"14,166",718,"1,587",879,741,542,508,916,804,879,701,918,820,654,782,"1,742",975
2020,7,80,"6,671",393,816,533,391,255,229,383,397,418,333,395,316,320,300,717,475
2020,7,90,"1,160",73,123,107,59,61,32,69,68,94,57,60,47,49,42,142,77
2020,7,100,247,38,31,21,7,20,10,13,14,17,14,6,11,12,9,9,15
2020,8,총,"197,446","13,249","20,605","11,408","11,505","7,376","6,297","11,977","13,062","13,573","9,859","11,117","10,054","8,347","10,355","22,130","16,532"
2020,8,0,"12,620","1,405","1,118",716,"1,199",317,461,828,943,429,570,557,597,352,527,"1,325","1,276"
2020,8,10,"14,251",843,"1,222",773,"1,019",449,579,890,877,645,525,680,844,385,747,"1,684","2,089"
2020,8,20,"33,879","1,708","3,737","1,569","1,204","1,814",925,"1,748","2,448","3,453","1,991","1,885","1,525","1,752","1,686","4,067","2,367"
2020,8,30,"34,267","2,737","3,367","1,898","2,019","1,157",998,"1,987","2,240","2,874","1,975","2,095","1,577","1,627","1,794","3,703","2,219"
2020,8,40,"31,599","2,012","2,923","1,686","2,268","1,044","1,061","2,110","2,115","1,911","1,377","1,676","1,677","1,187","1,800","3,485","3,267"
2020,8,50,"27,578","1,942","3,360","1,837","1,494",955,879,"1,761","1,910","1,585","1,262","1,506","1,419","1,084","1,477","2,955","2,152"
2020,8,60,"20,984","1,378","2,313","1,397","1,100",763,617,"1,265","1,242","1,266","1,058","1,329","1,216",927,"1,190","2,296","1,627"
2020,8,70,"14,133",718,"1,582",867,743,538,507,911,808,880,695,924,820,648,777,"1,744",971
2020,8,80,"6,716",393,825,537,391,258,227,393,397,419,335,399,321,323,306,720,472
2020,8,90,"1,169",75,127,107,61,61,33,71,67,94,57,59,46,50,42,142,77
2020,8,100,250,38,31,21,7,20,10,13,15,17,14,7,12,12,9,9,15
2020,9,총,"197,497","13,486","20,441","11,394","11,536","7,402","6,284","11,961","13,042","13,652","9,843","11,103","10,055","8,312","10,354","22,112","16,520"
2020,9,0,"12,568","1,440","1,095",712,"1,195",313,464,832,943,430,555,551,596,338,531,"1,310","1,263"
2020,9,10,"14,206",855,"1,215",768,"1,025",447,575,881,872,650,516,677,833,379,748,"1,677","2,088"
2020,9,20,"34,022","1,750","3,706","1,562","1,213","1,828",934,"1,751","2,443","3,503","2,004","1,894","1,541","1,748","1,704","4,073","2,368"
2020,9,30,"34,239","2,763","3,359","1,904","2,030","1,162",985,"1,967","2,241","2,872","1,975","2,087","1,566","1,630","1,781","3,703","2,214"
2020,9,40,"31,529","2,061","2,895","1,690","2,279","1,043","1,059","2,096","2,098","1,907","1,380","1,674","1,672","1,178","1,781","3,454","3,262"
2020,9,50,"27,593","1,987","3,320","1,819","1,486",959,879,"1,769","1,911","1,605","1,260","1,505","1,413","1,081","1,491","2,954","2,154"
