년도,월,나이,경상남도 함양군,경상남도 함양군 함양읍,경상남도 함양군 마천면,경상남도 함양군 휴천면,경상남도 함양군 유림면,경상남도 함양군 수동면,경상남도 함양군 지곡면,경상남도 함양군 안의면,경상남도 함양군 서하면,경상남도 함양군 서상면,경상남도 함양군 백전면,경상남도 함양군 병곡면
2020,6,90,430,114,34,29,41,26,27,78,20,21,19,21
2020,6,100,25,8,3,1,5,0,0,5,0,0,1,2
2020,7,총,"20,347","9,527","1,148",812,885,"1,229","1,078","2,420",750,991,794,713
2020,7,0,919,658,22,18,15,35,31,68,11,25,19,17
2020,7,10,"1,455",935,57,39,37,74,57,118,20,56,30,32
2020,7,20,"1,372",852,46,34,32,81,39,116,31,65,35,41
2020,7,30,"1,289",849,43,30,26,63,47,117,23,43,24,24
2020,7,40,"2,029","1,320",80,61,41,84,78,161,42,60,52,50
2020,7,50,"3,286","1,573",227,113,136,170,164,356,129,152,153,113
2020,7,60,"3,576","1,407",222,146,163,252,200,497,184,185,185,135
2020,7,70,"3,314","1,067",237,194,200,243,244,491,140,207,150,141
2020,7,80,"2,649",739,176,146,193,201,191,413,151,176,126,137
2020,7,90,434,119,36,30,37,26,27,78,19,22,19,21
2020,7,100,24,8,2,1,5,0,0,5,0,0,1,2
2020,8,총,"20,331","9,517","1,151",815,876,"1,228","1,083","2,415",751,988,796,711
2020,8,0,913,653,22,19,15,35,31,66,11,25,19,17
2020,8,10,"1,446",931,56,38,36,73,58,118,18,55,30,33
2020,8,20,"1,352",841,48,34,31,77,39,115,31,61,34,41
2020,8,30,"1,284",843,44,31,24,60,48,119,22,46,24,23
2020,8,40,"2,027","1,321",79,61,39,84,77,161,44,58,54,49
2020,8,50,"3,280","1,576",230,114,135,171,165,347,126,151,152,113
2020,8,60,"3,597","1,415",223,145,161,255,202,502,188,186,184,136
2020,8,70,"3,307","1,064",232,197,199,243,244,491,140,203,154,140
2020,8,80,"2,667",747,179,145,193,204,192,415,151,180,125,136
2020,8,90,434,118,36,30,38,26,27,76,20,23,19,21
2020,8,100,24,8,2,1,5,0,0,5,0,0,1,2
