년도,월,나이,충청북도 음성군,충청북도 음성군 음성읍,충청북도 음성군 금왕읍,충청북도 음성군 소이면,충청북도 음성군 원남면,충청북도 음성군 맹동면,충청북도 음성군 대소면,충청북도 음성군 삼성면,충청북도 음성군 생극면,충청북도 음성군 감곡면
2021,1,20,"3,928",744,894,65,68,663,706,235,116,437
2021,1,30,"4,217",682,861,61,77,"1,097",722,210,119,388
2021,1,40,"5,986","1,054","1,482",77,73,975,"1,262",317,182,564
2021,1,50,"7,831","1,506","1,694",238,241,821,"1,371",658,390,912
2021,1,60,"7,243","1,529","1,382",335,359,648,920,638,486,946
2021,1,70,"4,346",942,808,293,267,361,475,372,287,541
2021,1,80,"3,098",600,519,231,240,232,344,301,246,385
2021,1,90,549,99,81,40,43,54,53,53,49,77
2021,1,100,32,4,11,3,3,3,0,2,3,3
2021,2,총,"43,604","8,254","9,229","1,414","1,460","6,111","7,101","3,076","2,069","4,890"
2021,2,0,"2,754",427,599,24,35,736,502,94,82,255
2021,2,10,"3,656",681,914,51,48,517,747,197,111,390
2021,2,20,"3,896",731,872,63,69,662,713,235,115,436
2021,2,30,"4,159",673,847,60,75,"1,092",703,212,115,382
2021,2,40,"5,978","1,048","1,485",77,71,976,"1,264",316,183,558
2021,2,50,"7,812","1,509","1,698",237,244,820,"1,362",654,383,905
2021,2,60,"7,301","1,539","1,396",335,360,655,930,640,492,954
2021,2,70,"4,345",940,806,290,266,360,476,372,290,545
2021,2,80,"3,107",598,523,230,242,232,350,301,245,386
2021,2,90,563,104,78,44,47,58,54,53,50,75
2021,2,100,33,4,11,3,3,3,0,2,3,4
2021,3,총,"43,425","8,212","9,173","1,397","1,443","6,098","7,104","3,056","2,061","4,881"
2021,3,0,"2,741",426,593,23,34,726,506,95,81,257
2021,3,10,"3,630",674,905,51,48,522,738,198,112,382
2021,3,20,"3,875",731,869,61,67,652,709,228,117,441
2021,3,30,"4,129",663,847,59,73,"1,086",700,210,114,377
2021,3,40,"5,934","1,038","1,476",70,68,983,"1,262",306,177,554
2021,3,50,"7,755","1,492","1,685",233,237,816,"1,369",651,372,900
2021,3,60,"7,361","1,553","1,397",339,366,663,941,640,498,964
2021,3,70,"4,327",934,801,287,260,362,475,375,290,543
2021,3,80,"3,097",598,520,228,240,232,350,300,243,386
2021,3,90,563,102,77,44,48,56,54,51,55,76
2021,3,100,13,1,3,2,2,0,0,2,2,1
2021,4,총,"43,406","8,192","9,170","1,402","1,443","6,098","7,125","3,050","2,061","4,865"
2021,4,0,"2,720",418,587,23,33,721,509,95,78,256
2021,4,10,"3,594",668,900,53,48,516,727,195,111,376
2021,4,20,"3,882",727,873,61,67,650,716,231,116,441
2021,4,30,"4,103",657,845,57,73,"1,085",698,204,115,369
2021,4,40,"5,933","1,037","1,477",72,68,982,"1,259",309,171,558
2021,4,50,"7,753","1,488","1,695",233,240,817,"1,382",637,372,889
2021,4,60,"7,419","1,557","1,400",343,364,672,956,653,502,972
2021,4,70,"4,309",930,793,287,258,363,474,374,293,537
2021,4,80,"3,121",610,520,227,240,236,353,301,244,390
2021,4,90,557,98,76,44,50,56,51,49,57,76
2021,4,100,15,2,4,2,2,0,0,2,2,1
2021,5,총,"43,391","8,188","9,155","1,404","1,444","6,090","7,139","3,043","2,064","4,864"
2021,5,0,"2,720",414,584,25,32,720,513,98,79,255
2021,5,10,"3,581",668,886,54,48,519,725,191,108,382
2021,5,20,"3,886",725,874,60,66,652,715,231,115,448
2021,5,30,"4,069",655,834,55,73,"1,076",697,199,117,363
2021,5,40,"5,928","1,025","1,472",77,68,992,"1,263",303,171,557
2021,5,50,"7,732","1,490","1,691",226,235,812,"1,379",640,376,883
2021,5,60,"7,475","1,564","1,423",348,373,674,967,654,502,970
2021,5,70,"4,300",935,785,284,258,360,476,374,292,536
2021,5,80,"3,132",610,527,228,238,235,354,301,245,394
2021,5,90,552,100,75,45,51,50,50,49,57,75
2021,5,100,16,2,4,2,2,0,0,3,2,1
2021,6,총,"43,420","8,193","9,139","1,401","1,440","6,094","7,126","3,056","2,078","4,893"
2021,6,0,"2,698",415,572,24,30,714,510,100,78,255
2021,6,10,"3,590",666,885,53,49,526,719,189,108,395
2021,6,20,"3,897",725,875,59,65,646,719,234,118,456
2021,6,30,"4,059",663,820,55,70,"1,075",695,202,116,363
2021,6,40,"5,920","1,017","1,480",75,69,987,"1,251",304,177,560
2021,6,50,"7,699","1,476","1,676",225,231,818,"1,377",642,372,882
2021,6,60,"7,548","1,578","1,447",349,375,679,973,661,509,977
2021,6,70,"4,292",936,776,281,259,360,480,375,294,531
2021,6,80,"3,145",615,526,232,239,238,350,298,247,400
2021,6,90,557,100,78,46,51,51,52,49,57,73
2021,6,100,15,2,4,2,2,0,0,2,2,1
2021,7,총,"43,429","8,188","9,148","1,398","1,443","6,092","7,116","3,059","2,085","4,900"
2021,7,0,"2,681",412,567,23,30,704,505,104,80,256
2021,7,10,"3,587",664,878,54,49,530,719,188,107,398
2021,7,20,"3,897",725,880,60,63,643,716,233,121,456
2021,7,30,"4,056",658,822,56,70,"1,081",694,201,115,359
2021,7,40,"5,905","1,018","1,467",71,70,989,"1,244",305,178,563
2021,7,50,"7,706","1,477","1,691",226,229,810,"1,380",642,374,877
2021,7,60,"7,582","1,581","1,454",351,381,685,975,665,507,983
2021,7,70,"4,280",934,780,279,255,357,478,368,295,534
2021,7,80,"3,159",620,525,230,243,240,351,302,247,401
2021,7,90,562,98,80,46,51,53,54,49,59,72
2021,7,100,14,1,4,2,2,0,0,2,2,1
2021,8,총,"43,423","8,175","9,136","1,398","1,448","6,095","7,118","3,055","2,092","4,906"
2021,8,0,"2,671",410,562,23,32,698,508,100,80,258
2021,8,10,"3,573",665,873,52,47,536,718,189,107,386
2021,8,20,"3,903",716,877,59,63,650,718,233,123,464
2021,8,30,"4,032",656,819,55,69,"1,065",689,200,117,362
2021,8,40,"5,899","1,015","1,453",73,71,996,"1,249",307,177,558
2021,8,50,"7,732","1,478","1,699",226,238,814,"1,387",633,375,882
2021,8,60,"7,603","1,581","1,463",356,381,688,972,670,506,986
2021,8,70,"4,265",931,775,275,252,358,473,369,298,534
2021,8,80,"3,168",622,528,233,243,238,351,300,248,405
2021,8,90,563,100,83,44,50,52,53,52,59,70
2021,8,100,14,1,4,2,2,0,0,2,2,1
2021,9,총,"43,304","8,166","9,122","1,391","1,451","6,102","7,095","3,039","2,081","4,857"
2021,9,0,"2,657",410,565,22,31,696,499,100,75,259
2021,9,10,"3,548",668,866,51,46,539,719,186,105,368
2021,9,20,"3,846",707,861,55,61,646,724,222,125,445
2021,9,30,"3,976",652,810,54,68,"1,054",674,198,108,358
2021,9,40,"5,885","1,005","1,457",71,72,"1,011","1,241",303,176,549
2021,9,50,"7,740","1,478","1,707",227,238,816,"1,382",631,375,886
2021,9,60,"7,638","1,588","1,465",355,388,696,978,673,511,984
2021,9,70,"4,252",933,774,272,250,352,470,371,296,534
2021,9,80,"3,186",624,527,236,245,242,356,302,249,405
2021,9,90,562,100,86,46,50,50,52,51,59,68
2021,9,100,14,1,4,2,2,0,0,2,2,1
2021,10,총,"43,263","8,153","9,097","1,391","1,446","6,116","7,093","3,033","2,074","4,860"
2021,10,0,"2,641",400,562,22,32,692,500,99,72,262
2021,10,10,"3,526",664,861,51,47,543,715,179,103,363
2021,10,20,"3,844",699,855,56,61,654,721,229,122,447
2021,10,30,"3,945",648,804,49,70,"1,043",667,197,107,360
2021,10,40,"5,897","1,006","1,457",73,73,"1,021","1,246",301,175,545
2021,10,50,"7,723","1,478","1,699",224,239,814,"1,390",622,374,883
2021,10,60,"7,663","1,595","1,477",355,379,701,978,679,513,986
2021,10,70,"4,268",936,774,277,250,353,468,372,298,540
2021,10,80,"3,178",624,517,235,244,246,357,302,248,405
2021,10,90,565,102,88,47,49,49,51,51,60,68
2021,10,100,13,1,3,2,2,0,0,2,2,1
2021,11,총,"43,290","8,155","9,110","1,395","1,442","6,131","7,101","3,026","2,069","4,861"
2021,11,0,"2,619",396,551,22,31,694,502,93,72,258
2021,11,10,"3,520",659,861,51,47,542,711,184,104,361
2021,11,20,"3,873",706,866,53,59,651,733,229,123,453
2021,11,30,"3,917",643,803,51,73,"1,037",655,192,105,358
2021,11,40,"5,903","1,003","1,464",76,72,"1,029","1,239",299,177,544
2021,11,50,"7,724","1,485","1,701",225,235,819,"1,393",622,371,873
2021,11,60,"7,694","1,601","1,482",353,382,703,984,678,511,"1,000"
2021,11,70,"4,278",937,773,279,250,355,468,375,301,540
2021,11,80,"3,175",624,516,233,242,251,363,301,242,403
2021,11,90,574,100,90,50,49,50,53,51,61,70
2021,11,100,13,1,3,2,2,0,0,2,2,1
2021,12,총,"43,314","8,154","9,076","1,402","1,441","6,153","7,141","3,022","2,071","4,854"
2021,12,0,"2,605",393,543,23,31,692,506,93,71,253
2021,12,10,"3,519",651,853,51,48,546,713,186,105,366
2021,12,20,"3,875",711,852,54,56,664,741,227,123,447
2021,12,30,"3,923",646,812,52,74,"1,036",650,189,102,362
2021,12,40,"5,878",995,"1,451",75,74,"1,017","1,250",291,182,543
2021,12,50,"7,733","1,485","1,702",223,231,831,"1,397",627,372,865
2021,12,60,"7,725","1,612","1,482",357,383,706,998,679,506,"1,002"
2021,12,70,"4,272",932,772,282,251,354,469,372,303,537
2021,12,80,"3,190",625,517,234,240,257,366,304,242,405
2021,12,90,581,103,89,49,51,50,51,52,63,73
2021,12,100,13,1,3,2,2,0,0,2,2,1
