년도,월,나이,서초구,서초1동,서초2동,서초3동,서초4동,잠원동,반포본동,반포1동,반포2동,반포3동,반포4동,방배본동,방배1동,방배2동,방배3동,방배4동,양재1동,양재2동,내곡동
2020,2,0,"35,952","1,625","1,523","1,762","3,180","2,739",632,"3,236","1,981","1,877","1,813","1,565","1,243","1,270","1,414","1,703","4,565","1,598","2,226"
2020,2,10,"45,825","1,959","1,680","2,766","4,207","4,064","1,987","3,545","2,732","2,757","2,192","2,890","1,390","1,700","2,115","2,643","4,277","1,666","1,255"
2020,2,20,"56,281","2,859","2,712","5,116","3,605","4,607","1,515","4,386","1,378","2,238","2,414","2,672","2,567","3,004","2,960","3,250","5,480","3,515","2,003"
2020,2,30,"66,448","3,785","3,837","5,030","3,996","5,331",922,"5,881","1,707","2,531","2,862","2,507","3,128","3,236","3,128","3,695","7,234","4,599","3,039"
2020,2,40,"78,925","3,879","3,307","4,939","6,505","6,721","2,417","6,714","3,761","4,296","3,629","4,079","2,912","3,200","3,381","4,365","7,879","3,961","2,980"
2020,2,50,"62,999","2,945","2,441","4,753","4,637","5,538","2,085","4,077","2,073","3,017","2,836","3,432","2,455","3,285","3,700","3,487","6,348","3,345","2,545"
2020,2,60,"46,770","2,378","1,783","3,535","3,015","3,396","1,213","2,946","1,311","1,928","2,277","2,203","2,064","2,827","3,151","2,333","5,488","2,515","2,407"
2020,2,70,"26,766","1,306",995,"2,120","1,827","1,690",979,"1,552",914,"1,134","1,195","1,314","1,296","1,633","1,630","1,574","2,914","1,253","1,440"
2020,2,80,"9,371",467,294,740,671,699,334,475,304,434,417,608,431,516,562,579,990,364,486
2020,2,90,"1,784",99,69,123,128,142,37,100,67,79,91,102,81,93,111,84,215,88,75
2020,2,100,215,4,17,16,16,19,10,19,24,13,6,5,12,13,6,12,6,7,10
2020,3,총,"430,568","21,266","18,689","30,852","31,753","34,846","12,118","32,878","16,225","20,287","19,643","21,336","17,607","20,700","22,072","23,719","45,318","22,824","18,435"
2020,3,0,"35,662","1,623","1,529","1,745","3,159","2,709",624,"3,208","1,959","1,863","1,809","1,542","1,241","1,256","1,406","1,705","4,512","1,569","2,203"
2020,3,10,"45,661","1,963","1,667","2,750","4,198","4,048","1,974","3,544","2,730","2,756","2,160","2,880","1,396","1,690","2,087","2,640","4,270","1,659","1,249"
2020,3,20,"56,332","2,844","2,736","5,137","3,594","4,632","1,506","4,376","1,389","2,237","2,392","2,686","2,573","3,007","2,949","3,252","5,494","3,518","2,010"
2020,3,30,"66,164","3,767","3,834","5,015","3,981","5,276",921,"5,863","1,685","2,512","2,863","2,507","3,131","3,222","3,101","3,697","7,201","4,582","3,006"
2020,3,40,"78,585","3,848","3,316","4,956","6,499","6,671","2,405","6,701","3,759","4,274","3,593","4,041","2,894","3,168","3,375","4,333","7,852","3,909","2,991"
2020,3,50,"62,960","2,954","2,432","4,712","4,644","5,549","2,086","4,083","2,084","3,037","2,822","3,440","2,462","3,275","3,686","3,480","6,318","3,342","2,554"
2020,3,60,"46,913","2,387","1,793","3,530","3,035","3,401","1,233","2,951","1,303","1,936","2,286","2,211","2,082","2,822","3,148","2,336","5,533","2,526","2,400"
2020,3,70,"26,841","1,311",996,"2,121","1,826","1,694",981,"1,554",915,"1,137","1,204","1,318","1,302","1,642","1,628","1,590","2,923","1,263","1,436"
2020,3,80,"9,445",471,300,744,672,703,340,478,310,442,415,603,433,512,578,589,997,362,496
2020,3,90,"1,787",94,69,125,129,144,38,101,66,79,94,103,81,93,107,85,212,87,80
2020,3,100,218,4,17,17,16,19,10,19,25,14,5,5,12,13,7,12,6,7,10
2020,4,총,"429,729","21,267","18,718","30,829","31,715","34,754","12,035","32,790","16,198","20,296","19,614","21,285","17,600","20,577","21,991","23,675","45,229","22,755","18,401"
2020,4,0,"35,378","1,604","1,527","1,725","3,137","2,679",627,"3,186","1,932","1,860","1,786","1,528","1,235","1,234","1,401","1,698","4,490","1,540","2,189"
2020,4,10,"45,622","1,969","1,668","2,741","4,203","4,031","1,940","3,550","2,755","2,758","2,167","2,862","1,393","1,684","2,080","2,639","4,268","1,669","1,245"
2020,4,20,"56,216","2,842","2,719","5,142","3,588","4,631","1,498","4,371","1,383","2,244","2,393","2,685","2,584","2,978","2,950","3,227","5,479","3,495","2,007"
2020,4,30,"65,808","3,752","3,856","5,034","3,975","5,226",918,"5,808","1,658","2,506","2,837","2,497","3,108","3,202","3,067","3,673","7,134","4,573","2,984"
2020,4,40,"78,465","3,849","3,315","4,935","6,472","6,674","2,367","6,692","3,761","4,268","3,598","4,021","2,924","3,140","3,367","4,335","7,864","3,900","2,983"
2020,4,50,"62,907","2,959","2,447","4,717","4,642","5,545","2,078","4,092","2,098","3,048","2,815","3,436","2,452","3,252","3,660","3,469","6,308","3,337","2,552"
2020,4,60,"46,926","2,398","1,795","3,518","3,046","3,403","1,238","2,939","1,294","1,939","2,289","2,217","2,078","2,817","3,145","2,349","5,540","2,514","2,407"
2020,4,70,"26,915","1,326","1,004","2,128","1,829","1,690",989,"1,548",911,"1,139","1,211","1,324","1,302","1,642","1,631","1,598","2,922","1,271","1,450"
2020,4,80,"9,487",471,298,744,677,707,333,489,317,441,419,605,431,521,581,590,"1,006",365,492
2020,4,90,"1,789",93,72,128,130,149,36,96,64,79,94,105,80,94,105,85,213,84,82
2020,4,100,216,4,17,17,16,19,11,19,25,14,5,5,13,13,4,12,5,7,10
2020,5,총,"429,340","21,213","18,709","30,820","31,716","34,370","12,026","32,704","16,183","20,821","19,577","21,267","17,555","20,558","21,886","23,700","45,147","22,732","18,356"
2020,5,0,"35,174","1,583","1,513","1,707","3,138","2,625",624,"3,175","1,931","1,902","1,770","1,520","1,227","1,220","1,399","1,700","4,454","1,528","2,158"
2020,5,10,"45,479","1,961","1,668","2,720","4,193","3,985","1,921","3,535","2,746","2,802","2,160","2,837","1,381","1,681","2,066","2,629","4,266","1,674","1,254"
2020,5,20,"56,232","2,843","2,724","5,172","3,608","4,591","1,509","4,332","1,386","2,307","2,386","2,703","2,566","2,960","2,927","3,257","5,466","3,482","2,013"
2020,5,30,"65,541","3,740","3,842","5,051","3,941","5,134",918,"5,793","1,635","2,555","2,818","2,472","3,107","3,215","3,049","3,657","7,088","4,582","2,944"
2020,5,40,"78,286","3,840","3,318","4,907","6,461","6,574","2,357","6,679","3,751","4,356","3,603","4,018","2,903","3,132","3,351","4,316","7,854","3,889","2,977"
2020,5,50,"63,093","2,945","2,462","4,715","4,675","5,520","2,083","4,086","2,109","3,163","2,823","3,453","2,463","3,249","3,634","3,504","6,319","3,327","2,563"
2020,5,60,"47,020","2,407","1,782","3,531","3,046","3,384","1,242","2,941","1,302","2,005","2,275","2,224","2,075","2,834","3,136","2,342","5,553","2,534","2,407"
2020,5,70,"26,993","1,320","1,016","2,129","1,833","1,691",992,"1,566",918,"1,171","1,222","1,321","1,303","1,641","1,630","1,602","2,921","1,263","1,454"
2020,5,80,"9,515",477,296,747,678,700,333,486,315,466,420,609,435,523,580,594,"1,004",362,490
2020,5,90,"1,790",94,71,124,127,145,36,92,65,80,95,104,82,91,110,87,217,84,86
2020,5,100,217,3,17,17,16,21,11,19,25,14,5,6,13,12,4,12,5,7,10
2020,6,총,"428,919","21,185","18,699","30,822","31,724","33,588","12,039","32,608","16,159","21,679","19,553","21,221","17,533","20,474","21,796","23,744","45,108","22,666","18,321"
2020,6,0,"34,987","1,574","1,504","1,705","3,117","2,552",621,"3,152","1,916","1,974","1,756","1,506","1,222","1,202","1,391","1,702","4,419","1,526","2,148"
2020,6,10,"45,385","1,957","1,664","2,703","4,213","3,880","1,926","3,536","2,745","2,882","2,169","2,818","1,369","1,665","2,051","2,615","4,272","1,660","1,260"
2020,6,20,"56,151","2,850","2,723","5,171","3,608","4,498","1,506","4,316","1,392","2,420","2,378","2,706","2,579","2,928","2,884","3,260","5,488","3,432","2,012"
2020,6,30,"65,310","3,729","3,853","5,056","3,931","4,960",922,"5,752","1,627","2,666","2,791","2,473","3,098","3,220","3,049","3,674","7,052","4,565","2,892"
2020,6,40,"78,145","3,823","3,315","4,899","6,456","6,415","2,339","6,660","3,747","4,503","3,605","4,006","2,884","3,110","3,336","4,324","7,848","3,873","3,002"
2020,6,50,"63,057","2,957","2,451","4,718","4,691","5,420","2,097","4,076","2,106","3,301","2,826","3,435","2,459","3,245","3,604","3,505","6,289","3,324","2,553"
2020,6,60,"47,187","2,399","1,781","3,546","3,050","3,349","1,244","2,951","1,297","2,117","2,280","2,229","2,082","2,830","3,150","2,347","5,568","2,554","2,413"
2020,6,70,"27,143","1,325","1,024","2,133","1,838","1,666","1,000","1,571",923,"1,233","1,227","1,330","1,304","1,647","1,635","1,616","2,943","1,276","1,452"
2020,6,80,"9,526",470,296,750,676,684,334,483,317,485,420,603,441,526,581,600,"1,004",365,491
2020,6,90,"1,809",98,71,124,128,143,38,92,63,85,96,109,82,89,111,89,220,84,87
2020,6,100,219,3,17,17,16,21,12,19,26,13,5,6,13,12,4,12,5,7,11
2020,7,총,"428,252","21,121","18,743","30,873","31,704","32,853","12,010","32,604","16,161","22,003","19,503","21,192","17,451","20,480","21,793","23,720","45,065","22,671","18,305"
2020,7,0,"34,813","1,576","1,496","1,698","3,101","2,481",614,"3,142","1,915","1,993","1,736","1,507","1,204","1,205","1,391","1,700","4,386","1,515","2,153"
2020,7,10,"45,295","1,956","1,659","2,707","4,213","3,815","1,912","3,529","2,739","2,919","2,177","2,815","1,361","1,659","2,042","2,607","4,268","1,657","1,260"
2020,7,20,"55,999","2,829","2,737","5,175","3,606","4,411","1,506","4,318","1,395","2,450","2,358","2,704","2,564","2,920","2,880","3,231","5,488","3,437","1,990"
2020,7,30,"64,949","3,691","3,864","5,057","3,918","4,792",923,"5,744","1,612","2,682","2,757","2,443","3,075","3,218","3,031","3,681","7,011","4,576","2,874"
2020,7,40,"77,953","3,819","3,303","4,902","6,446","6,274","2,309","6,648","3,744","4,566","3,617","4,005","2,856","3,115","3,352","4,311","7,834","3,842","3,010"
2020,7,50,"63,129","2,952","2,485","4,734","4,697","5,326","2,109","4,091","2,113","3,363","2,829","3,432","2,456","3,252","3,605","3,507","6,299","3,332","2,547"
2020,7,60,"47,266","2,397","1,793","3,571","3,050","3,286","1,242","2,951","1,302","2,167","2,282","2,234","2,080","2,826","3,159","2,360","5,578","2,572","2,416"
2020,7,70,"27,283","1,334","1,020","2,131","1,856","1,641","1,011","1,588",930,"1,269","1,227","1,331","1,319","1,657","1,643","1,626","2,958","1,285","1,457"
2020,7,80,"9,551",468,298,757,673,671,334,482,324,490,419,607,443,528,576,599,"1,017",364,501
2020,7,90,"1,793",96,70,124,128,136,38,92,61,90,96,107,79,88,111,86,221,84,86
2020,7,100,221,3,18,17,16,20,12,19,26,14,5,7,14,12,3,12,5,7,11
2020,8,총,"427,237","21,110","18,795","30,930","31,689","31,942","12,011","32,550","16,153","22,185","19,473","21,216","17,398","20,403","21,792","23,774","44,939","22,560","18,317"
2020,8,0,"34,603","1,556","1,503","1,692","3,083","2,392",607,"3,130","1,906","2,015","1,737","1,509","1,198","1,190","1,389","1,713","4,325","1,507","2,151"
2020,8,10,"45,233","1,996","1,650","2,714","4,214","3,743","1,924","3,529","2,749","2,934","2,163","2,798","1,350","1,654","2,029","2,616","4,267","1,629","1,274"
2020,8,20,"55,827","2,834","2,757","5,194","3,612","4,254","1,507","4,302","1,391","2,469","2,351","2,700","2,568","2,912","2,879","3,232","5,472","3,418","1,975"
2020,8,30,"64,508","3,655","3,863","5,083","3,897","4,598",908,"5,681","1,593","2,697","2,757","2,452","3,040","3,210","3,028","3,681","6,967","4,546","2,852"
2020,8,40,"77,731","3,818","3,325","4,879","6,422","6,126","2,311","6,668","3,749","4,574","3,603","4,008","2,844","3,090","3,342","4,315","7,803","3,821","3,033"
2020,8,50,"63,069","2,965","2,483","4,756","4,729","5,197","2,111","4,088","2,115","3,415","2,818","3,440","2,461","3,222","3,598","3,515","6,297","3,319","2,540"
2020,8,60,"47,339","2,384","1,794","3,568","3,061","3,209","1,252","2,948","1,314","2,202","2,293","2,251","2,088","2,828","3,189","2,364","5,587","2,579","2,428"
2020,8,70,"27,309","1,341","1,025","2,130","1,852","1,611","1,007","1,608",927,"1,275","1,228","1,330","1,313","1,664","1,641","1,628","2,981","1,292","1,456"
2020,8,80,"9,602",462,308,770,678,660,334,484,323,494,421,615,447,530,578,611,"1,017",359,511
2020,8,90,"1,794",96,69,128,123,132,38,93,59,96,97,106,75,91,116,88,218,83,86
2020,8,100,222,3,18,16,18,20,12,19,27,14,5,7,14,12,3,11,5,7,11
2020,9,총,"426,009","21,067","18,921","31,364","31,619","30,583","12,013","32,495","16,152","22,256","19,442","21,235","17,413","20,381","21,664","23,757","44,878","22,528","18,241"
2020,9,0,"34,382","1,551","1,508","1,726","3,055","2,319",602,"3,116","1,898","2,007","1,723","1,524","1,199","1,185","1,384","1,693","4,269","1,496","2,127"
2020,9,10,"45,213","1,997","1,672","2,755","4,201","3,648","1,920","3,526","2,751","2,940","2,178","2,791","1,346","1,650","2,021","2,627","4,277","1,632","1,281"
2020,9,20,"55,525","2,824","2,775","5,241","3,608","4,028","1,510","4,286","1,384","2,481","2,338","2,714","2,558","2,899","2,839","3,218","5,474","3,383","1,965"
2020,9,30,"64,086","3,632","3,852","5,202","3,872","4,347",900,"5,642","1,590","2,683","2,707","2,463","3,027","3,203","3,018","3,661","6,938","4,531","2,818"
2020,9,40,"77,507","3,822","3,354","4,973","6,405","5,906","2,305","6,657","3,735","4,595","3,601","3,978","2,835","3,091","3,303","4,331","7,783","3,810","3,023"
2020,9,50,"62,985","2,944","2,506","4,813","4,743","4,969","2,130","4,103","2,126","3,434","2,839","3,449","2,471","3,208","3,569","3,511","6,304","3,340","2,526"
2020,9,60,"47,362","2,386","1,817","3,595","3,054","3,052","1,254","2,950","1,326","2,220","2,309","2,259","2,114","2,845","3,181","2,376","5,606","2,585","2,433"
2020,9,70,"27,275","1,345","1,039","2,135","1,855","1,532","1,004","1,611",929,"1,284","1,217","1,321","1,323","1,664","1,651","1,626","2,986","1,293","1,460"
2020,9,80,"9,649",468,310,779,685,630,337,491,325,502,426,623,452,533,583,616,"1,013",364,512
2020,9,90,"1,802",95,70,129,122,132,39,94,61,96,99,106,75,91,113,86,223,87,84
2020,9,100,223,3,18,16,19,20,12,19,27,14,5,7,13,12,2,12,5,7,12
2020,10,총,"425,558","21,019","20,200","31,736","31,573","28,924","12,048","32,420","16,165","22,326","19,441","21,186","17,357","20,335","21,523","23,828","44,794","22,502","18,181"
2020,10,0,"34,246","1,528","1,634","1,775","3,021","2,214",611,"3,101","1,877","2,015","1,730","1,525","1,182","1,191","1,363","1,689","4,215","1,477","2,098"
2020,10,10,"45,253","1,981","1,794","2,767","4,226","3,523","1,923","3,529","2,769","2,949","2,177","2,784","1,343","1,633","2,012","2,638","4,292","1,633","1,280"
2020,10,20,"55,336","2,835","2,914","5,268","3,605","3,775","1,501","4,262","1,385","2,499","2,333","2,693","2,534","2,903","2,820","3,232","5,443","3,378","1,956"
2020,10,30,"63,676","3,619","4,036","5,330","3,806","4,014",900,"5,592","1,579","2,642","2,691","2,454","3,012","3,182","2,980","3,655","6,879","4,523","2,782"
2020,10,40,"77,551","3,793","3,606","5,011","6,440","5,669","2,310","6,626","3,748","4,595","3,596","3,979","2,842","3,089","3,282","4,332","7,798","3,791","3,044"
2020,10,50,"63,003","2,971","2,697","4,851","4,739","4,706","2,151","4,115","2,130","3,461","2,845","3,437","2,465","3,196","3,552","3,542","6,291","3,336","2,518"
2020,10,60,"47,483","2,387","1,982","3,652","3,048","2,864","1,252","2,957","1,334","2,236","2,320","2,262","2,114","2,849","3,176","2,390","5,628","2,597","2,435"
2020,10,70,"27,292","1,340","1,108","2,139","1,854","1,431","1,007","1,620",931,"1,308","1,229","1,319","1,329","1,656","1,641","1,632","2,993","1,302","1,453"
2020,10,80,"9,685",468,331,798,691,587,343,501,325,509,419,623,445,530,581,620,"1,028",370,516
2020,10,90,"1,805",94,80,128,124,121,38,98,60,98,96,102,78,92,114,86,222,87,87
2020,10,100,228,3,18,17,19,20,12,19,27,14,5,8,13,14,2,12,5,8,12
2020,11,총,"425,431","21,034","20,971","31,897","31,464","28,513","12,011","32,409","16,134","22,308","19,451","21,143","17,349","20,350","21,417","23,767","44,611","22,444","18,158"
2020,11,0,"34,016","1,519","1,725","1,790","2,986","2,180",598,"3,096","1,856","1,992","1,725","1,518","1,184","1,188","1,351","1,677","4,117","1,457","2,057"
2020,11,10,"45,318","1,964","1,868","2,785","4,223","3,480","1,916","3,526","2,788","2,956","2,171","2,768","1,347","1,641","2,014","2,623","4,310","1,639","1,299"
2020,11,20,"55,230","2,849","2,965","5,271","3,584","3,725","1,502","4,264","1,374","2,502","2,345","2,691","2,514","2,891","2,807","3,213","5,423","3,352","1,958"
2020,11,30,"63,451","3,631","4,158","5,376","3,774","3,907",900,"5,558","1,558","2,616","2,672","2,444","3,006","3,191","2,951","3,644","6,800","4,514","2,751"
2020,11,40,"77,452","3,777","3,776","5,032","6,392","5,576","2,288","6,617","3,741","4,578","3,590","3,972","2,817","3,105","3,264","4,316","7,777","3,759","3,075"
2020,11,50,"63,166","2,994","2,787","4,882","4,766","4,652","2,164","4,132","2,137","3,496","2,859","3,431","2,478","3,181","3,548","3,542","6,288","3,330","2,499"
2020,11,60,"47,671","2,400","2,069","3,660","3,052","2,849","1,258","2,969","1,334","2,238","2,330","2,264","2,126","2,863","3,159","2,393","5,640","2,618","2,449"
2020,11,70,"27,358","1,332","1,178","2,152","1,855","1,420",996,"1,627",933,"1,307","1,240","1,319","1,334","1,654","1,625","1,633","2,994","1,304","1,455"
2020,11,80,"9,726",471,351,799,690,583,336,503,327,510,416,627,453,530,583,628,"1,028",374,517
2020,11,90,"1,813",94,76,133,123,121,40,98,60,99,97,101,77,92,112,86,229,89,86
2020,11,100,230,3,18,17,19,20,13,19,26,14,6,8,13,14,3,12,5,8,12
2020,12,총,"425,126","20,990","21,503","31,979","31,470","28,346","11,940","32,317","16,076","22,352","19,390","21,102","17,264","20,258","21,311","23,760","44,522","22,464","18,082"
2020,12,0,"33,851","1,522","1,793","1,788","2,992","2,173",591,"3,083","1,858","2,000","1,688","1,509","1,180","1,181","1,324","1,672","4,037","1,441","2,019"
2020,12,10,"45,329","1,960","1,907","2,797","4,227","3,464","1,896","3,517","2,771","2,980","2,171","2,767","1,337","1,640","1,996","2,628","4,340","1,629","1,302"
2020,12,20,"55,091","2,830","3,063","5,256","3,594","3,678","1,494","4,232","1,360","2,495","2,328","2,680","2,503","2,862","2,790","3,213","5,404","3,373","1,936"
2020,12,30,"63,224","3,589","4,262","5,407","3,728","3,851",891,"5,500","1,538","2,621","2,649","2,428","2,970","3,178","2,940","3,625","6,768","4,545","2,734"
2020,12,40,"77,355","3,803","3,855","5,056","6,398","5,547","2,256","6,624","3,721","4,575","3,581","3,962","2,800","3,086","3,224","4,299","7,762","3,734","3,072"
2020,12,50,"63,197","2,997","2,852","4,895","4,772","4,627","2,174","4,119","2,139","3,489","2,869","3,427","2,461","3,167","3,535","3,532","6,302","3,342","2,498"
2020,12,60,"47,797","2,386","2,105","3,665","3,065","2,847","1,260","2,991","1,341","2,257","2,334","2,279","2,128","2,859","3,163","2,406","5,625","2,627","2,459"
2020,12,70,"27,434","1,335","1,203","2,164","1,860","1,425",996,"1,622",937,"1,301","1,249","1,322","1,335","1,649","1,636","1,642","3,016","1,299","1,443"
2020,12,80,"9,787",471,367,797,694,592,331,512,323,517,418,616,459,527,588,646,"1,037",375,517
2020,12,90,"1,829",94,77,137,121,122,38,98,62,103,96,104,78,96,112,85,225,91,90
2020,12,100,232,3,19,17,19,20,13,19,26,14,7,8,13,13,3,12,6,8,12
2021,1,총,"424,707","20,878","21,876","32,090","31,449","28,262","11,843","32,249","16,083","22,357","19,377","21,073","17,241","20,218","21,146","23,770","44,345","22,437","18,013"
2021,1,0,"33,544","1,493","1,830","1,780","2,970","2,148",569,"3,034","1,851","1,996","1,679","1,498","1,170","1,171","1,315","1,669","3,943","1,439","1,989"
2021,1,10,"45,303","1,942","1,941","2,819","4,235","3,459","1,879","3,517","2,789","2,953","2,182","2,756","1,328","1,636","1,969","2,625","4,347","1,624","1,302"
2021,1,20,"54,856","2,808","3,108","5,230","3,579","3,647","1,486","4,210","1,346","2,515","2,302","2,679","2,494","2,844","2,755","3,190","5,365","3,361","1,937"
2021,1,30,"63,085","3,570","4,337","5,477","3,702","3,839",879,"5,465","1,527","2,626","2,641","2,425","2,957","3,162","2,909","3,611","6,719","4,531","2,708"
2021,1,40,"77,198","3,785","3,925","5,067","6,398","5,515","2,204","6,621","3,730","4,535","3,570","3,947","2,800","3,087","3,192","4,295","7,756","3,722","3,049"
2021,1,50,"63,365","2,990","2,913","4,887","4,791","4,639","2,173","4,138","2,134","3,520","2,888","3,435","2,471","3,158","3,505","3,574","6,309","3,341","2,499"
2021,1,60,"47,848","2,370","2,113","3,700","3,061","2,854","1,267","2,985","1,350","2,260","2,329","2,274","2,138","2,863","3,154","2,410","5,618","2,641","2,461"
2021,1,70,"27,586","1,348","1,240","2,169","1,866","1,425",995,"1,644",947,"1,320","1,256","1,329","1,327","1,657","1,645","1,646","3,011","1,308","1,453"
2021,1,80,"9,853",476,374,805,704,592,340,519,322,516,425,617,467,531,588,652,"1,042",371,512
2021,1,90,"1,833",93,76,138,123,124,39,97,61,101,98,104,77,96,111,86,229,89,91
2021,1,100,236,3,19,18,20,20,12,19,26,15,7,9,12,13,3,12,6,10,12
2021,2,총,"423,829","20,878","22,148","32,158","31,404","28,024","11,750","32,180","16,069","22,406","19,379","21,062","17,151","20,164","21,001","23,715","44,058","22,345","17,937"
2021,2,0,"33,408","1,480","1,901","1,766","2,983","2,125",552,"3,073","1,839","2,001","1,677","1,499","1,154","1,172","1,290","1,665","3,869","1,414","1,948"
2021,2,10,"45,231","1,947","1,973","2,840","4,209","3,428","1,863","3,499","2,804","2,964","2,193","2,753","1,316","1,621","1,967","2,618","4,308","1,612","1,316"
2021,2,20,"54,429","2,789","3,092","5,213","3,576","3,611","1,464","4,129","1,339","2,503","2,287","2,666","2,464","2,832","2,703","3,165","5,344","3,337","1,915"
2021,2,30,"62,646","3,545","4,387","5,490","3,636","3,793",865,"5,428","1,517","2,620","2,613","2,418","2,955","3,130","2,861","3,577","6,644","4,496","2,671"
2021,2,40,"77,217","3,808","4,010","5,111","6,406","5,441","2,159","6,613","3,715","4,559","3,583","3,951","2,785","3,098","3,204","4,290","7,715","3,711","3,058"
2021,2,50,"63,390","3,003","2,946","4,896","4,806","4,626","2,189","4,162","2,149","3,539","2,894","3,431","2,459","3,142","3,467","3,577","6,271","3,342","2,491"
2021,2,60,"47,917","2,382","2,117","3,703","3,062","2,852","1,267","2,997","1,345","2,260","2,342","2,283","2,129","2,863","3,166","2,407","5,624","2,650","2,468"
2021,2,70,"27,605","1,343","1,253","2,182","1,867","1,413",993,"1,646",954,"1,328","1,254","1,335","1,328","1,652","1,636","1,645","3,018","1,303","1,455"
2021,2,80,"9,916",484,375,803,715,590,343,518,320,513,429,613,474,543,593,674,"1,036",380,513
2021,2,90,"1,831",94,75,136,124,125,43,96,61,103,100,105,75,97,110,85,222,90,90
2021,2,100,239,3,19,18,20,20,12,19,26,16,7,8,12,14,4,12,7,10,12
2021,3,총,"421,315","20,801","22,083","32,128","31,241","27,813","11,467","32,089","15,889","22,352","19,211","21,008","17,062","19,954","20,529","23,633","43,885","22,249","17,921"
2021,3,0,"33,159","1,480","1,912","1,757","2,961","2,115",544,"3,032","1,824","1,985","1,672","1,500","1,139","1,154","1,274","1,654","3,814","1,413","1,929"
2021,3,10,"45,074","1,930","1,972","2,840","4,215","3,405","1,839","3,510","2,794","2,959","2,174","2,729","1,332","1,606","1,907","2,632","4,313","1,594","1,323"
2021,3,20,"54,237","2,775","3,111","5,237","3,543","3,587","1,456","4,146","1,334","2,506","2,245","2,663","2,458","2,814","2,663","3,140","5,315","3,336","1,908"
2021,3,30,"62,192","3,539","4,378","5,488","3,589","3,741",842,"5,369","1,498","2,626","2,606","2,410","2,934","3,079","2,792","3,538","6,643","4,449","2,671"
2021,3,40,"76,596","3,793","4,002","5,088","6,360","5,375","2,095","6,600","3,664","4,521","3,546","3,936","2,763","3,067","3,121","4,282","7,643","3,696","3,044"
2021,3,50,"63,204","3,005","2,921","4,898","4,810","4,619","2,138","4,178","2,136","3,552","2,881","3,449","2,445","3,109","3,399","3,595","6,239","3,360","2,470"
2021,3,60,"47,753","2,360","2,114","3,696","3,048","2,840","1,246","2,999","1,347","2,251","2,322","2,278","2,120","2,865","3,081","2,403","5,654","2,634","2,495"
2021,3,70,"27,350","1,347","1,234","2,186","1,855","1,404",949,"1,633",917,"1,323","1,246","1,321","1,324","1,637","1,609","1,620","2,996","1,288","1,461"
2021,3,80,"9,860",482,365,794,715,595,314,524,315,510,424,613,474,526,575,685,"1,041",386,522
2021,3,90,"1,751",90,67,136,124,115,38,91,50,101,92,104,67,92,104,81,222,88,89
2021,3,100,139,0,7,8,21,17,6,7,10,18,3,5,6,5,4,3,5,5,9
2021,4,총,"420,318","20,757","22,122","32,291","31,181","27,699","11,399","32,040","15,839","22,336","19,179","20,953","17,039","19,869","20,195","23,540","43,789","22,200","17,890"
2021,4,0,"32,899","1,473","1,911","1,751","2,958","2,087",536,"3,010","1,806","1,978","1,666","1,483","1,129","1,137","1,255","1,634","3,775","1,399","1,911"
