년도,월,나이,대구광역시 달성군,대구광역시 달성군 화원읍,대구광역시 달성군 논공읍,대구광역시 달성군 논공읍공단출장소,대구광역시 달성군 다사읍,대구광역시 달성군 다사읍서재출장소,대구광역시 달성군 유가읍,대구광역시 달성군 옥포읍,대구광역시 달성군 현풍읍,대구광역시 달성군 가창면,대구광역시 달성군 하빈면,대구광역시 달성군 구지면
2021,3,0,"14,295","1,541",128,411,"2,891","3,048","2,546","1,244","1,180",190,59,"1,057"
2021,3,10,"11,456","2,183",86,652,"2,837","1,658","1,640",829,805,223,61,482
2021,3,20,"13,015","2,822",193,729,"2,633","1,878","1,123","1,245","1,341",272,107,672
2021,3,30,"19,730","2,431",237,630,"3,581","4,119","3,105","1,895","1,845",315,116,"1,456"
2021,3,40,"20,891","3,621",200,"1,167","4,824","3,267","2,891","1,718","1,586",438,115,"1,064"
2021,3,50,"20,472","4,995",418,"1,370","4,130","2,523","1,474","2,178","1,568",634,332,850
2021,3,60,"15,504","3,649",387,762,"2,754","1,530","1,106","1,959","1,367",852,363,775
2021,3,70,"7,621","1,779",262,390,"1,227",587,438,947,764,522,268,437
2021,3,80,"4,307",864,184,239,549,257,255,490,475,417,248,329
2021,3,90,646,128,31,33,88,39,36,64,58,81,38,50
2021,3,100,18,5,1,2,1,2,2,0,2,1,1,1
2021,4,총,"128,117","23,993","2,163","6,377","25,498","18,923","14,581","12,600","11,008","3,956","1,699","7,319"
2021,4,0,"14,246","1,527",131,409,"2,882","3,032","2,543","1,232","1,170",191,57,"1,072"
2021,4,10,"11,501","2,169",86,647,"2,848","1,679","1,658",833,806,226,60,489
2021,4,20,"13,009","2,830",201,733,"2,607","1,874","1,103","1,244","1,344",274,108,691
2021,4,30,"19,678","2,413",242,623,"3,566","4,090","3,068","1,907","1,841",316,115,"1,497"
2021,4,40,"20,987","3,617",200,"1,158","4,839","3,299","2,923","1,721","1,594",436,111,"1,089"
2021,4,50,"20,428","4,979",425,"1,371","4,111","2,514","1,453","2,179","1,572",634,330,860
2021,4,60,"15,630","3,673",396,774,"2,780","1,541","1,106","1,976","1,374",850,361,799
2021,4,70,"7,610","1,782",263,389,"1,215",591,435,947,769,520,264,435
2021,4,80,"4,348",865,187,238,561,261,253,496,476,425,253,333
2021,4,90,662,133,31,33,88,40,37,65,60,83,39,53
2021,4,100,18,5,1,2,1,2,2,0,2,1,1,1
2021,5,총,"128,216","23,971","2,178","6,369","25,495","18,947","14,582","12,589","11,014","3,956","1,701","7,414"
2021,5,0,"14,252","1,541",132,401,"2,867","3,041","2,529","1,234","1,176",191,56,"1,084"
2021,5,10,"11,512","2,149",85,642,"2,844","1,686","1,676",833,814,229,62,492
