년도,월,나이,청양군,청양읍,운곡면,대치면,정산면,목면,청남면,장평면,남양면,화성면,비봉면
2021,1,50,"5,257","1,671",359,429,610,308,305,369,484,345,377
2021,1,60,"6,199","1,567",468,529,685,331,435,528,609,530,517
2021,1,70,"4,521",994,380,340,504,246,347,455,499,398,358
2021,1,80,"3,310",617,332,281,337,202,245,310,405,303,278
2021,1,90,453,107,36,32,43,34,35,37,44,46,39
2021,1,100,19,7,0,1,2,0,2,2,0,1,4
2021,2,총,"30,750","9,948","2,140","2,250","3,572","1,533","1,914","2,322","2,747","2,207","2,117"
2021,2,0,"1,248",631,53,72,145,40,51,76,81,54,45
2021,2,10,"2,005",962,87,85,258,85,107,110,98,111,102
2021,2,20,"2,569","1,211",147,150,318,85,117,132,173,125,111
2021,2,30,"2,070",930,102,114,264,75,99,108,137,122,119
2021,2,40,"3,087","1,241",176,219,407,130,167,195,217,170,165
2021,2,50,"5,234","1,667",355,427,611,305,311,368,477,339,374
2021,2,60,"6,229","1,578",471,525,686,331,435,531,614,537,521
2021,2,70,"4,511",996,381,344,502,242,343,456,493,395,359
2021,2,80,"3,325",620,330,277,337,207,248,310,413,305,278
2021,2,90,453,105,38,36,42,33,34,34,44,48,39
2021,2,100,19,7,0,1,2,0,2,2,0,1,4
2021,3,총,"30,625","9,974","2,138","2,232","3,541","1,516","1,903","2,297","2,737","2,189","2,098"
2021,3,0,"1,241",634,53,69,146,40,48,73,81,52,45
2021,3,10,"1,999",963,91,85,254,86,103,105,101,113,98
2021,3,20,"2,548","1,220",145,149,321,79,113,127,163,121,110
2021,3,30,"2,050",928,98,112,262,72,102,104,134,119,119
2021,3,40,"3,049","1,239",178,214,392,128,164,192,212,169,161
2021,3,50,"5,192","1,673",356,421,606,299,304,363,473,327,370
2021,3,60,"6,260","1,583",471,525,686,335,443,534,621,537,525
2021,3,70,"4,494","1,000",377,345,498,239,340,454,489,396,356
2021,3,80,"3,335",628,329,275,333,205,252,311,419,307,276
2021,3,90,450,104,40,36,43,33,33,34,44,47,36
2021,3,100,7,2,0,1,0,0,1,0,0,1,2
2021,4,총,"30,658","10,006","2,134","2,220","3,560","1,514","1,907","2,300","2,736","2,182","2,099"
2021,4,0,"1,231",626,54,69,145,40,49,72,80,51,45
2021,4,10,"2,040","1,005",89,84,259,85,102,103,104,110,99
2021,4,20,"2,539","1,217",145,145,327,78,111,130,161,116,109
2021,4,30,"2,022",914,96,108,262,70,102,97,136,120,117
2021,4,40,"3,048","1,236",172,215,399,128,165,195,209,168,161
2021,4,50,"5,168","1,668",353,415,610,298,303,359,468,323,371
2021,4,60,"6,316","1,602",478,527,682,342,451,542,624,540,528
2021,4,70,"4,491","1,000",371,345,501,238,335,456,492,398,355
2021,4,80,"3,342",631,336,273,334,204,252,311,416,308,277
2021,4,90,454,105,40,38,41,31,36,35,46,47,35
2021,4,100,7,2,0,1,0,0,1,0,0,1,2
2021,5,총,"30,590","9,956","2,118","2,222","3,574","1,517","1,908","2,297","2,725","2,185","2,088"
2021,5,0,"1,219",624,52,69,143,39,49,71,75,49,48
2021,5,10,"2,015",992,88,84,257,85,102,104,100,106,97
2021,5,20,"2,544","1,209",137,150,340,81,110,128,166,118,105
2021,5,30,"1,986",894,94,105,256,69,101,95,136,119,117
2021,5,40,"3,042","1,244",170,214,397,127,163,193,204,169,161
2021,5,50,"5,136","1,661",352,415,612,298,302,358,465,315,358
2021,5,60,"6,372","1,604",480,534,690,345,459,546,631,552,531
2021,5,70,"4,477",996,368,340,502,239,334,452,488,401,357
2021,5,80,"3,332",630,337,273,332,201,251,314,411,308,275
2021,5,90,459,100,40,37,45,33,36,35,49,47,37
2021,5,100,8,2,0,1,0,0,1,1,0,1,2
2021,6,총,"30,548","9,915","2,111","2,240","3,577","1,507","1,906","2,292","2,725","2,184","2,091"
2021,6,0,"1,209",618,51,71,141,39,47,70,75,48,49
2021,6,10,"2,004",976,88,83,260,84,101,104,102,108,98
2021,6,20,"2,532","1,207",134,155,333,80,109,128,167,115,104
2021,6,30,"1,980",887,95,104,259,66,102,95,137,117,118
2021,6,40,"3,029","1,235",169,217,395,126,162,191,202,172,160
2021,6,50,"5,100","1,649",346,419,608,295,299,357,464,310,353
2021,6,60,"6,409","1,615",485,535,704,344,460,546,631,555,534
2021,6,70,"4,469",994,368,341,501,238,333,449,484,403,358
2021,6,80,"3,348",629,336,278,331,203,256,316,415,306,278
2021,6,90,459,103,39,36,45,31,36,35,48,49,37
2021,6,100,9,2,0,1,0,1,1,1,0,1,2
2021,7,총,"30,493","9,900","2,111","2,232","3,569","1,509","1,905","2,290","2,718","2,179","2,080"
2021,7,0,"1,207",621,49,71,141,39,44,72,72,49,49
2021,7,10,"1,980",960,85,83,259,83,101,104,101,109,95
2021,7,20,"2,527","1,203",140,152,330,83,110,125,168,111,105
2021,7,30,"1,967",886,96,103,259,66,99,98,131,112,117
2021,7,40,"3,016","1,237",164,213,390,122,164,193,201,174,158
2021,7,50,"5,067","1,642",346,415,599,298,296,354,457,310,350
2021,7,60,"6,436","1,616",492,537,713,346,459,545,639,555,534
2021,7,70,"4,469",999,367,339,500,238,337,450,478,402,359
2021,7,80,"3,353",630,331,280,333,204,258,313,422,307,275
2021,7,90,462,104,41,38,45,29,36,35,49,49,36
2021,7,100,9,2,0,1,0,1,1,1,0,1,2
2021,8,총,"30,429","9,861","2,108","2,230","3,566","1,509","1,900","2,281","2,718","2,179","2,077"
2021,8,0,"1,188",614,48,69,135,37,45,71,73,50,46
2021,8,10,"1,977",951,86,83,265,86,99,102,104,106,95
2021,8,20,"2,502","1,196",137,150,324,83,106,124,167,113,102
2021,8,30,"1,948",874,96,102,255,63,100,95,130,116,117
2021,8,40,"2,993","1,228",162,210,390,119,162,191,198,173,160
2021,8,50,"5,057","1,640",343,414,599,302,291,350,457,309,352
2021,8,60,"6,465","1,621",498,543,717,347,463,549,640,553,534
2021,8,70,"4,464","1,003",365,343,496,235,339,447,477,401,358
2021,8,80,"3,358",628,330,278,340,206,256,315,423,306,276
2021,8,90,468,104,43,37,45,30,38,36,49,51,35
2021,8,100,9,2,0,1,0,1,1,1,0,1,2
2021,9,총,"30,359","9,845","2,098","2,223","3,550","1,506","1,892","2,277","2,714","2,176","2,078"
2021,9,0,"1,178",614,49,66,131,36,46,72,72,50,42
2021,9,10,"1,960",943,86,84,256,87,98,104,102,105,95
2021,9,20,"2,475","1,194",133,145,323,83,103,120,164,111,99
2021,9,30,"1,936",866,95,99,251,64,101,97,134,113,116
2021,9,40,"2,970","1,229",160,208,385,118,159,187,192,174,158
2021,9,50,"5,056","1,641",341,414,604,299,288,351,454,310,354
2021,9,60,"6,469","1,617",495,547,717,343,463,547,645,553,542
2021,9,70,"4,468","1,003",364,340,497,239,339,449,477,403,357
2021,9,80,"3,365",626,332,282,341,206,256,314,423,307,278
2021,9,90,473,109,43,37,45,30,38,36,51,49,35
2021,9,100,9,3,0,1,0,1,1,0,0,1,2
2021,10,총,"30,399","9,854","2,092","2,226","3,574","1,515","1,889","2,274","2,714","2,178","2,083"
2021,10,0,"1,173",613,44,65,132,38,43,73,73,48,44
2021,10,10,"1,964",948,86,84,257,86,98,105,103,104,93
2021,10,20,"2,480","1,187",133,147,332,85,101,115,165,113,102
2021,10,30,"1,944",870,93,99,259,69,101,95,131,109,118
2021,10,40,"2,957","1,223",158,208,381,119,158,188,191,175,156
2021,10,50,"5,065","1,651",343,409,609,301,286,352,454,308,352
2021,10,60,"6,478","1,618",494,556,713,343,465,546,646,555,542
2021,10,70,"4,471","1,010",362,337,499,234,341,448,476,402,362
2021,10,80,"3,376",625,336,280,346,209,258,316,419,311,276
2021,10,90,483,106,43,40,46,31,37,36,56,52,36
2021,10,100,8,3,0,1,0,0,1,0,0,1,2
2021,11,총,"30,390","9,862","2,094","2,229","3,561","1,516","1,888","2,272","2,708","2,179","2,081"
2021,11,0,"1,172",610,44,65,132,37,46,73,73,48,44
2021,11,10,"1,940",937,84,84,256,86,97,103,97,105,91
2021,11,20,"2,492","1,190",137,154,326,87,100,115,169,113,101
2021,11,30,"1,934",869,89,98,258,69,103,93,129,105,121
2021,11,40,"2,943","1,219",157,207,377,121,158,188,186,178,152
2021,11,50,"5,067","1,663",341,410,604,296,286,348,455,314,350
2021,11,60,"6,519","1,632",498,556,718,345,464,554,648,556,548
2021,11,70,"4,450","1,009",364,334,493,233,340,448,472,398,359
2021,11,80,"3,383",625,334,282,351,211,256,315,422,311,276
2021,11,90,482,105,46,38,46,31,37,35,57,50,37
2021,11,100,8,3,0,1,0,0,1,0,0,1,2
2021,12,총,"30,440","9,914","2,104","2,215","3,560","1,504","1,895","2,277","2,713","2,178","2,080"
2021,12,0,"1,175",608,47,66,131,38,49,76,72,44,44
2021,12,10,"1,936",932,85,83,264,82,98,99,100,106,87
2021,12,20,"2,513","1,216",137,149,320,86,99,117,169,118,102
2021,12,30,"1,936",872,91,94,254,69,105,94,131,105,121
2021,12,40,"2,950","1,218",158,208,376,119,155,189,189,180,158
2021,12,50,"5,057","1,669",335,409,602,285,293,344,452,316,352
2021,12,60,"6,548","1,652",509,553,723,350,463,556,649,550,543
2021,12,70,"4,435","1,013",361,336,491,237,337,446,469,390,355
2021,12,80,"3,387",619,336,276,353,209,257,319,421,316,281
2021,12,90,494,112,45,40,46,29,38,37,61,51,35
2021,12,100,9,3,0,1,0,0,1,0,0,2,2
