년도,월,나이,남해군,남해읍,이동면,상주면,삼동면,미조면,남면,서면,고현면,설천면,창선면
2020,7,90,675,112,63,26,84,30,63,60,77,75,85
2020,7,100,16,1,0,0,2,1,5,1,2,3,1
2020,8,총,"22,293","6,700","1,979",836,"2,044","1,150","1,888","1,384","1,849","1,507","2,956"
2020,8,0,742,430,41,15,53,47,26,23,32,19,56
2020,8,10,"1,381",665,88,46,82,90,108,39,65,61,137
2020,8,20,"1,271",602,93,36,89,55,75,39,102,56,124
2020,8,30,"1,188",580,75,36,95,61,69,43,67,53,109
2020,8,40,"2,130","1,008",154,61,166,111,134,93,119,87,197
2020,8,50,"3,504","1,096",286,136,308,228,267,182,284,227,490
2020,8,60,"4,156","1,007",402,160,418,242,369,271,347,318,622
2020,8,70,"3,843",698,405,159,392,167,389,302,375,312,644
2020,8,80,"3,387",501,374,160,356,119,382,331,376,295,493
2020,8,90,675,112,61,27,83,29,64,60,80,76,83
2020,8,100,16,1,0,0,2,1,5,1,2,3,1
2020,9,총,"22,248","6,686","1,965",834,"2,037","1,149","1,886","1,380","1,846","1,511","2,954"
2020,9,0,739,423,42,15,53,48,25,23,33,20,57
2020,9,10,"1,377",666,88,46,79,88,108,39,65,61,137
2020,9,20,"1,256",596,89,39,83,56,72,38,101,56,126
2020,9,30,"1,187",584,74,34,93,60,69,41,71,53,108
2020,9,40,"2,123","1,005",152,63,164,111,135,91,116,88,198
2020,9,50,"3,481","1,092",281,136,304,225,264,182,281,226,490
2020,9,60,"4,184","1,013",403,161,424,245,373,273,350,321,621
2020,9,70,"3,828",692,403,159,392,166,387,304,373,308,644
2020,9,80,"3,374",505,369,153,358,119,384,327,372,297,490
2020,9,90,683,109,64,28,85,30,64,61,82,78,82
2020,9,100,16,1,0,0,2,1,5,1,2,3,1
2020,10,총,"22,247","6,699","1,956",834,"2,035","1,145","1,876","1,378","1,872","1,513","2,939"
2020,10,0,735,422,40,14,53,45,26,23,36,20,56
2020,10,10,"1,373",665,87,47,78,88,108,38,72,60,130
2020,10,20,"1,252",594,87,40,82,57,69,37,106,58,122
2020,10,30,"1,196",588,74,34,94,60,68,42,75,54,107
2020,10,40,"2,121","1,010",152,62,162,112,131,88,120,90,194
2020,10,50,"3,470","1,092",276,138,306,222,265,184,277,225,485
2020,10,60,"4,212","1,016",406,161,425,246,375,274,357,322,630
2020,10,70,"3,806",690,401,157,391,167,383,303,369,309,636
2020,10,80,"3,388",510,370,153,359,116,385,329,374,296,496
2020,10,90,677,110,63,28,83,31,61,59,84,76,82
2020,10,100,17,2,0,0,2,1,5,1,2,3,1
2020,11,총,"22,276","6,758","1,953",823,"2,027","1,136","1,868","1,374","1,888","1,514","2,935"
2020,11,0,750,427,40,13,53,46,27,23,46,19,56
2020,11,10,"1,385",693,86,46,75,87,105,38,69,59,127
2020,11,20,"1,268",609,85,39,81,57,70,37,110,55,125
2020,11,30,"1,190",582,77,33,94,61,66,42,75,54,106
2020,11,40,"2,128","1,021",153,59,162,112,132,85,122,90,192
2020,11,50,"3,455","1,099",273,137,300,221,260,183,279,221,482
2020,11,60,"4,230","1,016",405,161,430,243,377,274,362,330,632
2020,11,70,"3,779",686,398,155,390,163,383,302,365,305,632
2020,11,80,"3,397",515,374,151,358,115,381,329,374,301,499
2020,11,90,679,109,62,29,83,30,62,60,84,77,83
2020,11,100,15,1,0,0,1,1,5,1,2,3,1
2020,12,총,"22,251","6,763","1,940",818,"2,029","1,132","1,868","1,368","1,888","1,518","2,927"
2020,12,0,750,428,38,13,53,46,26,22,50,20,54
2020,12,10,"1,367",682,89,45,75,87,100,37,71,59,122
2020,12,20,"1,274",623,81,37,81,54,73,34,103,61,127
2020,12,30,"1,188",577,76,33,92,61,67,46,79,50,107
2020,12,40,"2,124","1,023",152,59,167,112,129,82,120,90,190
2020,12,50,"3,435","1,095",269,133,303,218,264,183,276,218,476
2020,12,60,"4,243","1,019",404,162,429,243,372,274,368,335,637
2020,12,70,"3,768",685,397,155,386,166,385,302,365,301,626
2020,12,80,"3,406",520,370,152,360,114,384,327,371,303,505
2020,12,90,682,110,64,29,82,30,63,60,84,78,82
2020,12,100,14,1,0,0,1,1,5,1,1,3,1
2021,1,총,"22,194","6,749","1,939",820,"2,015","1,123","1,864","1,356","1,888","1,514","2,926"
2021,1,0,751,426,38,14,54,44,27,23,50,20,55
2021,1,10,"1,351",668,84,44,75,86,105,34,73,58,124
2021,1,20,"1,256",623,82,37,79,48,69,31,103,61,123
2021,1,30,"1,176",573,75,35,91,61,62,44,80,47,108
2021,1,40,"2,119","1,019",154,59,161,111,132,80,122,89,192
2021,1,50,"3,398","1,087",269,133,296,215,265,181,275,214,463
2021,1,60,"4,282","1,036",408,161,434,247,369,273,368,338,648
2021,1,70,"3,749",681,397,155,385,167,384,298,363,302,617
2021,1,80,"3,406",524,368,153,357,113,380,327,369,302,513
2021,1,90,691,111,64,29,82,30,66,64,84,79,82
2021,1,100,15,1,0,0,1,1,5,1,1,4,1
2021,2,총,"22,160","6,710","1,941",835,"2,010","1,117","1,860","1,356","1,888","1,513","2,930"
2021,2,0,750,427,38,19,56,40,26,21,48,20,55
2021,2,10,"1,340",650,87,50,74,87,102,33,74,59,124
2021,2,20,"1,232",613,79,30,79,47,68,31,100,60,125
2021,2,30,"1,173",565,74,40,91,61,59,44,82,45,112
2021,2,40,"2,127","1,016",155,64,161,110,136,79,123,89,194
2021,2,50,"3,370","1,081",268,134,293,214,259,176,275,216,454
2021,2,60,"4,295","1,045",409,159,431,247,371,280,369,335,649
2021,2,70,"3,728",674,391,155,383,168,386,295,361,301,614
2021,2,80,"3,420",523,371,155,357,111,381,330,370,304,518
2021,2,90,707,115,69,29,83,31,67,65,85,80,83
2021,2,100,18,1,0,0,2,1,5,2,1,4,2
2021,3,총,"22,110","6,734","1,933",831,"2,008","1,112","1,839","1,349","1,879","1,496","2,929"
2021,3,0,757,431,38,20,53,40,26,22,50,20,57
2021,3,10,"1,347",672,87,49,75,83,99,32,72,58,120
2021,3,20,"1,229",612,81,31,79,48,65,31,96,59,127
2021,3,30,"1,157",568,71,39,89,57,56,44,78,44,111
2021,3,40,"2,111","1,007",153,62,162,114,134,75,128,85,191
2021,3,50,"3,333","1,070",268,128,288,213,258,172,269,213,454
2021,3,60,"4,305","1,049",405,164,436,245,369,283,370,333,651
2021,3,70,"3,720",683,390,154,385,170,382,291,356,296,613
2021,3,80,"3,422",525,370,153,358,111,378,331,371,307,518
2021,3,90,714,115,70,31,82,31,66,66,88,80,85
2021,3,100,15,2,0,0,1,0,6,2,1,1,2
2021,4,총,"22,059","6,719","1,930",835,"2,003","1,105","1,828","1,345","1,875","1,501","2,918"
2021,4,0,750,423,36,20,54,40,26,21,49,26,55
2021,4,10,"1,340",670,89,50,74,81,94,34,72,57,119
2021,4,20,"1,225",615,84,32,77,49,66,31,95,59,117
2021,4,30,"1,158",565,70,42,88,56,56,46,74,46,115
2021,4,40,"2,089",999,149,62,158,111,128,76,132,84,190
2021,4,50,"3,312","1,072",265,127,288,208,262,167,261,214,448
2021,4,60,"4,312","1,048",409,165,439,248,362,286,373,331,651
2021,4,70,"3,706",679,388,152,385,169,382,284,356,296,615
2021,4,80,"3,434",531,372,152,356,112,381,331,372,306,521
2021,4,90,719,115,68,33,83,31,65,67,90,81,86
2021,4,100,14,2,0,0,1,0,6,2,1,1,1
2021,5,총,"22,041","6,719","1,924",841,"2,000","1,098","1,823","1,349","1,877","1,502","2,908"
2021,5,0,742,422,34,19,51,40,26,21,49,26,54
2021,5,10,"1,325",665,90,52,76,79,89,32,70,56,116
2021,5,20,"1,218",610,81,33,74,48,71,31,97,57,116
2021,5,30,"1,155",564,69,42,88,56,56,45,76,47,112
2021,5,40,"2,090",997,151,62,160,107,128,79,131,85,190
2021,5,50,"3,290","1,076",261,130,288,206,255,164,257,217,436
2021,5,60,"4,329","1,057",409,166,437,243,364,290,374,331,658
2021,5,70,"3,713",680,393,152,385,174,384,282,356,292,615
2021,5,80,"3,424",530,366,150,356,112,377,331,373,308,521
2021,5,90,742,117,70,35,84,33,67,72,93,82,89
2021,5,100,13,1,0,0,1,0,6,2,1,1,1
2021,6,총,"22,017","6,723","1,922",841,"1,998","1,102","1,819","1,347","1,871","1,494","2,900"
2021,6,0,744,424,37,21,52,42,25,21,47,26,49
2021,6,10,"1,318",659,90,54,74,79,90,32,71,55,114
2021,6,20,"1,217",616,79,30,76,49,71,29,96,56,115
2021,6,30,"1,142",559,64,44,84,58,54,44,74,47,114
2021,6,40,"2,094","1,001",153,60,164,107,127,80,127,83,192
2021,6,50,"3,277","1,076",263,130,285,205,253,164,257,214,430
2021,6,60,"4,332","1,055",407,163,440,243,364,291,377,330,662
2021,6,70,"3,722",684,394,155,384,174,382,284,358,293,614
2021,6,80,"3,416",532,362,149,353,112,377,332,372,309,518
2021,6,90,742,116,73,35,85,33,70,68,91,81,90
2021,6,100,13,1,0,0,1,0,6,2,1,0,2
2021,7,총,"21,975","6,697","1,917",843,"1,996","1,101","1,806","1,354","1,874","1,489","2,898"
2021,7,0,743,423,37,22,51,42,23,21,51,23,50
2021,7,10,"1,291",639,90,52,73,79,85,35,71,54,113
2021,7,20,"1,208",611,77,30,77,50,72,29,92,57,113
2021,7,30,"1,140",558,61,47,84,58,52,45,77,45,113
2021,7,40,"2,072",990,148,61,164,104,126,81,127,84,187
2021,7,50,"3,272","1,074",268,128,282,205,249,165,257,211,433
2021,7,60,"4,356","1,069",411,164,447,244,364,292,374,328,663
2021,7,70,"3,710",681,389,154,382,174,385,283,359,290,613
2021,7,80,"3,414",532,361,149,352,113,373,332,369,315,518
2021,7,90,756,119,74,36,83,32,72,69,96,82,93
2021,7,100,13,1,1,0,1,0,5,2,1,0,2
2021,8,총,"21,957","6,702","1,917",839,"1,995","1,103","1,804","1,347","1,870","1,480","2,900"
2021,8,0,731,419,38,19,50,41,23,21,49,21,50
2021,8,10,"1,291",643,90,53,73,76,84,34,69,55,114
2021,8,20,"1,203",612,77,27,75,52,73,28,90,55,114
2021,8,30,"1,138",559,60,48,80,59,53,41,79,45,114
2021,8,40,"2,059",984,150,60,166,106,121,79,125,82,186
2021,8,50,"3,264","1,077",266,128,280,205,249,164,263,205,427
2021,8,60,"4,374","1,074",410,164,451,244,365,293,372,331,670
2021,8,70,"3,711",680,395,154,381,175,385,284,358,289,610
2021,8,80,"3,416",534,357,151,352,114,373,333,367,315,520
2021,8,90,755,118,73,35,86,31,72,68,97,82,93
2021,8,100,15,2,1,0,1,0,6,2,1,0,2
2021,9,총,"21,907","6,678","1,909",835,"1,990","1,107","1,803","1,357","1,869","1,473","2,886"
2021,9,0,730,416,38,19,50,40,24,22,48,22,51
2021,9,10,"1,283",641,88,53,72,78,82,35,67,54,113
2021,9,20,"1,173",600,77,27,74,52,70,29,89,51,104
2021,9,30,"1,130",550,61,46,80,60,54,41,80,45,113
2021,9,40,"2,046",981,144,59,165,106,122,84,125,80,180
2021,9,50,"3,258","1,070",267,128,280,201,248,164,267,205,428
2021,9,60,"4,378","1,085",409,166,449,248,364,293,367,330,667
2021,9,70,"3,716",680,394,153,383,175,388,286,359,288,610
2021,9,80,"3,423",536,356,148,353,116,372,335,368,315,524
2021,9,90,756,117,74,36,83,31,74,66,98,82,95
2021,9,100,14,2,1,0,1,0,5,2,1,1,1
2021,10,총,"21,881","6,693","1,893",836,"1,995","1,107","1,789","1,350","1,865","1,468","2,885"
2021,10,0,729,415,35,19,50,41,24,22,50,23,50
2021,10,10,"1,276",638,85,55,73,80,79,34,66,52,114
2021,10,20,"1,176",603,77,26,76,52,70,28,89,52,103
2021,10,30,"1,113",548,57,47,78,58,49,40,80,46,110
2021,10,40,"2,045",984,141,61,167,103,120,82,126,79,182
2021,10,50,"3,258","1,075",266,126,278,201,248,165,263,205,431
2021,10,60,"4,379","1,085",405,166,455,253,365,291,368,328,663
2021,10,70,"3,716",687,395,153,380,173,385,288,354,288,613
2021,10,80,"3,425",541,356,148,354,116,370,332,371,312,525
2021,10,90,750,115,75,35,83,30,74,66,97,82,93
2021,10,100,14,2,1,0,1,0,5,2,1,1,1
2021,11,총,"21,838","6,682","1,885",827,"1,997","1,102","1,791","1,340","1,866","1,473","2,875"
2021,11,0,727,413,33,19,51,39,25,21,54,23,49
2021,11,10,"1,282",640,86,52,77,80,77,36,66,53,115
2021,11,20,"1,170",595,74,27,76,53,74,28,86,52,105
2021,11,30,"1,107",553,55,46,78,56,48,40,79,46,106
2021,11,40,"2,039",977,142,62,166,100,124,81,127,78,182
2021,11,50,"3,256","1,076",266,121,279,203,248,163,267,207,426
2021,11,60,"4,367","1,086",400,167,453,252,367,291,363,328,660
2021,11,70,"3,691",683,391,147,373,176,381,282,356,289,613
2021,11,80,"3,433",540,359,152,361,112,369,333,368,314,525
2021,11,90,752,117,78,34,82,31,73,63,99,82,93
2021,11,100,14,2,1,0,1,0,5,2,1,1,1
2021,12,총,"21,816","6,683","1,889",827,"1,988","1,096","1,780","1,338","1,864","1,474","2,877"
2021,12,0,734,417,32,19,51,38,25,22,54,24,52
2021,12,10,"1,276",635,89,50,73,76,74,37,66,56,120
2021,12,20,"1,163",589,74,29,76,54,71,29,85,49,107
2021,12,30,"1,094",550,54,45,77,53,44,41,80,45,105
2021,12,40,"2,045",978,142,63,165,99,125,81,126,81,185
2021,12,50,"3,254","1,081",266,121,276,204,250,159,266,206,425
2021,12,60,"4,358","1,092",397,166,453,249,365,291,364,328,653
2021,12,70,"3,662",672,395,145,370,179,376,278,351,286,610
2021,12,80,"3,451",546,362,154,359,113,372,335,366,318,526
2021,12,90,767,121,77,35,87,31,75,63,105,80,93
2021,12,100,12,2,1,0,1,0,3,2,1,1,1
