년도,월,나이,충청남도 부여군,충청남도 부여군 부여읍,충청남도 부여군 규암면,충청남도 부여군 은산면,충청남도 부여군 외산면,충청남도 부여군 내산면,충청남도 부여군 구룡면,충청남도 부여군 홍산면,충청남도 부여군 옥산면,충청남도 부여군 남면,충청남도 부여군 충화면,충청남도 부여군 양화면,충청남도 부여군 임천면,충청남도 부여군 장암면,충청남도 부여군 세도면,충청남도 부여군 석성면,충청남도 부여군 초촌면
2020,4,30,"2,109",812,620,80,45,34,49,60,19,31,22,29,62,60,72,63,51
2020,4,40,"3,401","1,382",826,154,85,48,99,115,49,55,24,55,107,77,109,145,71
2020,4,50,"5,374","1,859",931,303,205,132,203,215,105,121,82,121,186,221,263,257,170
2020,4,60,"6,339","1,811",833,457,295,166,231,340,174,205,153,210,320,263,362,274,245
2020,4,70,"5,200","1,218",627,314,263,162,245,308,166,235,117,202,328,296,295,213,211
2020,4,80,"4,078",767,492,297,182,146,223,203,144,194,116,184,242,276,241,197,174
2020,4,90,721,152,80,43,33,22,35,40,29,33,19,41,62,44,30,27,31
2020,4,100,49,15,4,9,4,0,3,5,1,0,0,1,1,1,1,2,2
2020,5,총,"33,340","10,396","6,103","1,909","1,219",780,"1,252","1,487",752,970,575,913,"1,490","1,401","1,579","1,433","1,081"
2020,5,0,"1,429",514,464,51,25,24,26,40,12,20,10,14,59,35,56,52,27
2020,5,10,"2,298",937,595,112,40,22,75,80,31,37,11,21,64,54,59,116,44
2020,5,20,"2,344",941,620,84,41,23,64,82,23,42,18,36,66,74,87,92,51
2020,5,30,"2,093",794,625,80,44,33,50,58,19,31,23,29,62,60,73,62,50
2020,5,40,"3,374","1,373",828,153,84,48,97,115,49,53,23,53,105,75,105,144,69
2020,5,50,"5,374","1,865",928,303,205,134,204,212,104,124,82,120,184,219,267,251,172
2020,5,60,"6,349","1,817",834,462,292,165,225,341,175,204,154,211,312,267,361,280,249
2020,5,70,"5,225","1,221",634,314,264,164,251,312,167,234,118,201,332,296,298,212,207
2020,5,80,"4,081",766,488,299,183,145,223,203,142,192,117,185,244,276,243,195,180
2020,5,90,723,153,82,42,37,22,34,39,29,32,19,42,61,44,29,27,31
2020,5,100,50,15,5,9,4,0,3,5,1,1,0,1,1,1,1,2,1
2020,6,총,"33,271","10,362","6,105","1,898","1,213",776,"1,243","1,489",748,974,579,913,"1,495","1,391","1,580","1,429","1,076"
2020,6,0,"1,419",508,463,51,25,23,27,39,13,20,10,14,59,34,56,52,25
2020,6,10,"2,282",938,586,109,39,21,74,81,30,37,11,22,64,52,59,116,43
2020,6,20,"2,320",922,627,83,40,21,60,82,23,42,18,35,66,73,86,92,50
2020,6,30,"2,074",792,625,78,42,31,48,58,18,30,22,28,60,59,73,61,49
2020,6,40,"3,362","1,369",824,153,84,48,94,117,48,53,24,54,105,74,105,142,68
2020,6,50,"5,330","1,849",923,303,197,134,202,213,104,125,83,119,185,215,263,247,168
2020,6,60,"6,382","1,831",847,455,300,163,224,337,174,206,155,213,311,268,362,285,251
2020,6,70,"5,247","1,221",636,319,264,167,255,313,166,235,118,200,336,294,302,211,210
2020,6,80,"4,080",764,488,295,182,146,222,205,141,193,119,185,246,278,242,195,179
2020,6,90,726,154,81,43,36,22,34,39,30,32,19,42,62,43,31,26,32
2020,6,100,49,14,5,9,4,0,3,5,1,1,0,1,1,1,1,2,1
2020,7,총,"33,240","10,342","6,101","1,894","1,209",779,"1,234","1,493",757,974,576,915,"1,490","1,393","1,582","1,425","1,076"
2020,7,0,"1,404",501,456,52,23,22,27,39,12,22,10,14,57,35,57,52,25
2020,7,10,"2,271",937,583,110,41,22,72,79,31,37,11,22,64,51,58,111,42
2020,7,20,"2,308",914,624,77,40,21,61,84,24,41,19,35,67,73,83,95,50
2020,7,30,"2,068",794,627,78,42,31,46,58,19,28,22,28,57,59,74,56,49
2020,7,40,"3,349","1,359",826,150,82,47,90,118,47,55,23,55,106,76,102,145,68
2020,7,50,"5,297","1,839",925,303,193,132,202,210,107,124,81,118,180,213,264,240,166
2020,7,60,"6,411","1,832",847,453,301,167,223,336,176,208,155,215,314,271,365,293,255
2020,7,70,"5,272","1,232",644,320,266,166,256,317,167,235,118,199,335,294,306,209,208
2020,7,80,"4,079",766,485,299,181,148,220,208,142,191,118,183,247,274,242,195,180
2020,7,90,732,154,79,43,36,23,34,39,31,32,19,45,62,46,30,27,32
2020,7,100,49,14,5,9,4,0,3,5,1,1,0,1,1,1,1,2,1
2020,8,총,"33,163","10,303","6,084","1,888","1,207",775,"1,235","1,497",763,972,575,905,"1,492","1,392","1,580","1,420","1,075"
2020,8,0,"1,404",497,458,51,26,22,27,41,12,21,9,14,58,34,57,52,25
2020,8,10,"2,251",932,574,109,41,23,72,77,31,38,11,21,65,51,57,107,42
2020,8,20,"2,282",895,619,78,40,21,62,85,25,41,19,32,66,73,80,96,50
2020,8,30,"2,054",785,625,76,42,30,48,58,17,27,21,29,57,60,74,56,49
2020,8,40,"3,341","1,355",826,149,82,46,87,118,49,56,22,53,109,74,104,143,68
2020,8,50,"5,270","1,837",919,298,190,133,200,210,107,123,82,113,181,211,266,236,164
2020,8,60,"6,438","1,834",855,459,302,166,225,338,180,208,156,216,315,272,363,294,255
2020,8,70,"5,258","1,230",637,319,266,167,257,317,168,234,116,197,334,295,304,210,207
2020,8,80,"4,077",769,488,298,175,146,216,210,142,192,120,182,245,275,242,197,180
2020,8,90,740,155,78,42,39,21,38,38,31,31,19,47,61,46,32,28,34
2020,8,100,48,14,5,9,4,0,3,5,1,1,0,1,1,1,1,1,1
2020,9,총,"33,128","10,305","6,080","1,885","1,206",777,"1,231","1,491",764,967,574,908,"1,489","1,391","1,571","1,420","1,069"
2020,9,0,"1,394",495,455,51,25,23,25,41,11,19,10,14,59,34,57,51,24
2020,9,10,"2,239",929,567,110,41,23,71,76,32,37,10,22,66,50,55,108,42
2020,9,20,"2,281",898,625,76,41,20,60,85,27,41,20,31,64,74,77,93,49
2020,9,30,"2,048",787,624,76,41,29,47,58,16,29,22,28,54,58,74,57,48
2020,9,40,"3,313","1,344",819,148,82,46,87,116,50,54,21,53,110,73,101,141,68
2020,9,50,"5,262","1,828",914,298,190,134,202,210,106,124,82,113,181,211,267,238,164
2020,9,60,"6,465","1,851",866,462,303,165,227,330,180,206,158,214,317,275,361,296,254
2020,9,70,"5,255","1,229",640,317,265,169,254,322,166,234,115,199,336,292,306,207,204
2020,9,80,"4,075",774,484,296,175,147,215,209,143,189,117,186,242,276,240,200,182
2020,9,90,748,156,81,42,39,21,40,39,32,33,19,47,59,47,32,28,33
2020,9,100,48,14,5,9,4,0,3,5,1,1,0,1,1,1,1,1,1
2020,10,총,"33,074","10,301","6,064","1,886","1,200",778,"1,225","1,496",757,965,572,902,"1,483","1,394","1,568","1,418","1,065"
2020,10,0,"1,386",502,447,50,25,23,25,39,11,19,10,14,59,34,55,50,23
2020,10,10,"2,215",920,561,111,38,23,70,78,33,36,8,21,65,50,56,103,42
2020,10,20,"2,293",898,634,77,40,19,60,86,26,40,21,30,66,76,76,97,47
2020,10,30,"2,032",785,615,76,40,29,48,55,16,28,21,28,55,58,75,55,48
2020,10,40,"3,291","1,330",821,147,81,45,84,119,50,54,21,54,109,73,98,142,63
2020,10,50,"5,237","1,829",908,302,190,134,198,213,102,122,82,106,176,207,266,237,165
2020,10,60,"6,503","1,861",876,460,304,168,228,333,181,208,154,218,319,278,363,298,254
2020,10,70,"5,243","1,235",633,319,265,168,253,320,162,231,118,197,335,290,307,204,206
2020,10,80,"4,078",773,483,294,175,147,213,210,144,192,118,185,241,280,237,204,182
2020,10,90,747,154,81,41,38,22,43,38,31,34,19,48,56,47,34,27,34
2020,10,100,49,14,5,9,4,0,3,5,1,1,0,1,2,1,1,1,1
2020,11,총,"33,014","10,263","6,085","1,880","1,204",777,"1,220","1,493",757,963,568,897,"1,475","1,389","1,561","1,420","1,062"
2020,11,0,"1,383",506,450,45,24,23,25,40,11,19,9,14,57,34,52,50,24
2020,11,10,"2,202",906,564,112,39,22,71,76,33,35,9,21,64,48,56,104,42
2020,11,20,"2,288",887,641,76,40,19,57,87,26,41,20,31,65,78,77,95,48
2020,11,30,"2,023",779,621,72,40,32,48,53,16,29,18,27,53,58,73,57,47
2020,11,40,"3,282","1,323",824,151,81,44,83,120,50,54,21,52,108,73,97,139,62
2020,11,50,"5,209","1,817",910,301,187,134,196,212,99,121,81,104,174,205,270,234,164
2020,11,60,"6,520","1,868",874,461,312,167,230,333,182,209,156,219,319,278,357,301,254
2020,11,70,"5,233","1,237",634,320,264,166,252,321,162,226,117,197,336,287,306,206,202
2020,11,80,"4,083",775,480,293,174,147,213,208,146,195,117,185,241,283,236,206,184
2020,11,90,743,151,82,41,39,23,42,38,31,33,20,46,55,45,36,27,34
2020,11,100,48,14,5,8,4,0,3,5,1,1,0,1,3,0,1,1,1
2020,12,총,"32,980","10,235","6,104","1,881","1,206",780,"1,217","1,498",755,956,568,890,"1,470","1,394","1,559","1,412","1,055"
2020,12,0,"1,371",498,451,44,25,23,24,42,10,19,9,14,57,32,53,47,23
2020,12,10,"2,204",903,569,113,40,22,72,73,34,35,7,21,64,49,57,103,42
2020,12,20,"2,289",888,642,76,39,21,56,90,27,39,20,31,66,80,75,93,46
2020,12,30,"2,018",775,620,72,40,34,46,55,15,30,18,24,53,58,70,59,49
2020,12,40,"3,276","1,317",829,152,81,44,83,122,50,53,20,51,106,72,100,136,60
2020,12,50,"5,179","1,816",905,302,187,133,193,211,97,120,81,102,174,205,265,229,159
2020,12,60,"6,534","1,868",884,460,313,167,232,334,185,205,158,219,315,277,358,302,257
2020,12,70,"5,221","1,236",632,321,264,166,250,320,160,223,116,196,335,289,305,209,199
2020,12,80,"4,099",770,484,292,174,146,215,213,145,198,118,185,245,285,238,206,185
2020,12,90,742,150,83,41,39,24,43,34,31,33,21,46,52,47,37,27,34
2020,12,100,47,14,5,8,4,0,3,4,1,1,0,1,3,0,1,1,1
2021,1,총,"32,917","10,205","6,099","1,881","1,208",780,"1,217","1,491",745,956,569,893,"1,466","1,388","1,555","1,408","1,056"
2021,1,0,"1,359",491,453,45,25,22,23,41,10,20,9,14,57,29,51,47,22
2021,1,10,"2,194",901,568,109,39,22,74,74,32,36,7,21,62,46,57,102,44
2021,1,20,"2,270",879,636,80,37,21,53,86,29,38,19,32,68,77,76,94,45
2021,1,30,"2,005",764,617,72,41,35,47,55,15,32,20,23,52,57,69,57,49
2021,1,40,"3,248","1,300",830,148,84,44,81,121,48,54,19,51,105,69,99,135,60
2021,1,50,"5,138","1,809",901,303,184,129,193,209,95,115,80,101,170,205,261,227,156
2021,1,60,"6,591","1,884",891,461,316,171,234,331,182,208,161,223,320,282,362,304,261
2021,1,70,"5,205","1,235",630,319,267,165,249,320,161,219,115,195,334,287,302,209,198
2021,1,80,"4,115",775,482,293,175,147,217,215,141,201,119,187,244,289,240,205,185
2021,1,90,745,153,86,42,37,24,43,35,31,32,20,45,51,47,37,27,35
2021,1,100,47,14,5,9,3,0,3,4,1,1,0,1,3,0,1,1,1
2021,2,총,"32,825","10,154","6,087","1,870","1,210",780,"1,211","1,486",745,955,569,895,"1,464","1,381","1,557","1,403","1,058"
2021,2,0,"1,349",495,443,41,24,22,23,41,10,20,9,15,56,30,51,46,23
2021,2,10,"2,173",884,563,109,36,22,74,74,32,36,7,22,63,45,58,103,45
2021,2,20,"2,238",868,627,78,37,21,51,83,28,38,20,29,68,76,74,93,47
2021,2,30,"1,982",755,612,70,42,35,46,56,16,31,20,23,53,56,69,48,50
2021,2,40,"3,248","1,289",838,145,86,43,82,121,47,54,21,52,105,69,97,138,61
2021,2,50,"5,096","1,794",897,304,181,128,186,208,96,114,81,101,168,200,260,227,151
2021,2,60,"6,624","1,895",906,461,322,170,237,327,181,210,161,225,319,280,366,302,262
2021,2,70,"5,182","1,228",629,313,263,163,250,322,159,218,112,191,333,288,304,211,198
2021,2,80,"4,138",778,484,299,179,152,216,214,144,201,118,192,243,289,240,205,184
2021,2,90,746,153,83,41,37,24,43,36,31,32,20,44,53,47,37,29,36
2021,2,100,49,15,5,9,3,0,3,4,1,1,0,1,3,1,1,1,1
2021,3,총,"32,549","10,039","6,062","1,840","1,202",778,"1,201","1,477",741,945,572,890,"1,456","1,376","1,537","1,379","1,054"
2021,3,0,"1,338",487,442,41,23,21,23,40,10,20,9,15,57,30,51,46,23
2021,3,10,"2,155",870,569,107,37,23,73,75,31,36,7,22,61,45,59,97,43
2021,3,20,"2,234",869,626,81,38,23,50,78,28,37,21,30,67,75,73,91,47
2021,3,30,"1,951",740,607,67,38,35,47,54,17,30,20,23,54,55,67,47,50
2021,3,40,"3,203","1,275",825,143,84,42,79,119,45,52,21,51,106,70,99,130,62
2021,3,50,"5,015","1,764",904,298,182,128,182,202,96,111,80,99,164,194,249,215,147
2021,3,60,"6,614","1,886",905,449,319,170,240,334,180,210,162,225,320,284,362,306,262
2021,3,70,"5,150","1,218",618,314,263,163,249,323,159,217,113,188,329,286,297,214,199
2021,3,80,"4,122",775,481,297,179,148,213,215,143,198,117,193,245,289,242,203,184
2021,3,90,737,149,82,37,37,25,44,35,31,33,22,43,50,47,37,29,36
2021,3,100,30,6,3,6,2,0,1,2,1,1,0,1,3,1,1,1,1
2021,4,총,"32,498","10,005","6,065","1,824","1,198",779,"1,200","1,478",741,947,572,892,"1,454","1,377","1,541","1,378","1,047"
2021,4,0,"1,336",484,438,41,23,20,23,40,10,20,9,17,57,31,52,48,23
2021,4,10,"2,146",859,571,103,38,24,75,75,31,37,7,22,61,45,59,97,42
2021,4,20,"2,209",858,624,80,38,24,48,77,28,36,21,30,64,72,75,90,44
2021,4,30,"1,950",743,608,66,38,34,47,53,15,30,20,23,55,57,66,46,49
2021,4,40,"3,167","1,256",818,141,81,43,78,123,43,52,22,52,103,69,97,128,61
2021,4,50,"4,997","1,758",912,293,178,128,179,197,97,109,80,97,166,195,250,212,146
2021,4,60,"6,633","1,893",912,451,319,171,241,337,182,211,160,225,319,281,360,309,262
2021,4,70,"5,147","1,218",611,314,263,161,249,325,157,220,115,187,333,288,298,213,195
2021,4,80,"4,138",775,486,297,180,150,214,215,144,194,117,195,244,290,246,205,186
2021,4,90,745,155,82,32,37,24,45,34,33,37,21,43,50,48,37,29,38
2021,4,100,30,6,3,6,3,0,1,2,1,1,0,1,2,1,1,1,1
2021,5,총,"32,439","9,987","6,058","1,813","1,205",779,"1,198","1,476",732,946,574,889,"1,450","1,375","1,541","1,368","1,048"
2021,5,0,"1,324",479,437,38,25,20,24,40,10,19,10,17,57,31,50,45,22
2021,5,10,"2,132",850,567,104,38,23,75,73,31,36,7,21,61,46,61,96,43
2021,5,20,"2,203",861,623,77,36,24,48,76,27,35,21,31,66,72,73,88,45
2021,5,30,"1,928",733,604,62,37,36,48,52,15,29,21,23,52,56,66,48,46
2021,5,40,"3,149","1,247",818,142,79,42,78,123,41,52,20,52,103,67,97,126,62
2021,5,50,"4,974","1,761",908,287,176,126,176,197,97,109,83,94,166,194,250,210,140
2021,5,60,"6,672","1,899",918,452,326,174,245,338,183,211,159,225,320,283,361,308,270
2021,5,70,"5,138","1,218",613,317,260,161,243,327,154,221,114,188,330,285,297,217,193
2021,5,80,"4,133",774,485,297,185,149,216,214,142,194,117,192,242,290,247,202,187
2021,5,90,756,159,81,32,40,24,44,34,31,39,22,45,51,50,38,27,39
2021,5,100,30,6,4,5,3,0,1,2,1,1,0,1,2,1,1,1,1
2021,6,총,"32,396","9,973","6,060","1,820","1,202",779,"1,198","1,474",729,951,571,877,"1,436","1,377","1,536","1,367","1,046"
2021,6,0,"1,308",477,436,39,22,20,22,39,9,18,10,18,53,30,51,43,21
2021,6,10,"2,134",848,569,102,39,23,77,73,32,36,7,21,63,43,61,97,43
2021,6,20,"2,187",858,625,77,37,22,47,72,25,33,21,31,64,74,66,90,45
2021,6,30,"1,923",730,601,63,35,35,48,52,14,32,20,24,52,57,66,48,46
2021,6,40,"3,159","1,243",828,143,80,43,79,126,41,51,20,51,100,69,97,127,61
2021,6,50,"4,946","1,751",907,283,176,124,175,197,95,112,81,89,165,194,250,206,141
2021,6,60,"6,688","1,907",913,461,326,175,245,341,184,213,160,221,320,285,361,307,269
2021,6,70,"5,137","1,220",618,319,258,163,244,324,154,221,114,188,326,282,294,218,194
2021,6,80,"4,131",773,475,297,187,149,215,215,144,194,116,189,243,291,252,203,188
2021,6,90,751,160,84,31,39,25,45,32,30,40,22,43,48,51,37,27,37
2021,6,100,32,6,4,5,3,0,1,3,1,1,0,2,2,1,1,1,1
2021,7,총,"32,351","9,963","6,070","1,820","1,197",773,"1,198","1,465",728,943,569,876,"1,431","1,367","1,539","1,364","1,048"
2021,7,0,"1,302",472,435,39,21,20,23,39,9,18,10,19,52,30,49,44,22
2021,7,10,"2,126",849,572,102,37,19,74,71,32,36,7,21,62,42,62,95,45
2021,7,20,"2,182",857,621,77,38,24,49,70,26,33,22,31,60,73,66,91,44
2021,7,30,"1,920",729,602,63,33,34,48,50,15,31,20,24,54,57,67,45,48
2021,7,40,"3,147","1,244",826,141,79,41,79,126,41,52,23,49,100,65,97,125,59
2021,7,50,"4,896","1,727",906,282,176,121,174,193,92,106,79,90,166,188,248,207,141
2021,7,60,"6,732","1,930",927,465,323,175,247,342,186,211,157,219,321,289,361,308,271
2021,7,70,"5,114","1,210",615,321,257,164,242,321,150,219,116,188,322,282,297,218,192
2021,7,80,"4,140",778,478,293,190,150,215,218,145,194,113,191,242,290,252,203,188
2021,7,90,760,161,84,32,40,25,46,32,31,42,22,42,50,50,39,27,37
2021,7,100,32,6,4,5,3,0,1,3,1,1,0,2,2,1,1,1,1
2021,8,총,"32,307","9,919","6,083","1,816","1,194",776,"1,196","1,465",727,945,569,875,"1,432","1,362","1,538","1,362","1,048"
2021,8,0,"1,289",460,437,40,19,20,24,40,9,18,10,19,51,30,45,45,22
2021,8,10,"2,118",844,568,99,38,22,73,71,32,36,7,20,62,41,64,96,45
2021,8,20,"2,170",848,623,76,39,24,47,71,25,34,24,32,59,70,67,89,42
2021,8,30,"1,913",722,603,65,33,32,47,49,13,30,19,24,54,57,67,47,51
2021,8,40,"3,124","1,236",824,137,77,42,79,125,42,52,25,48,97,64,95,124,57
2021,8,50,"4,886","1,725",911,281,176,121,172,193,89,105,76,91,171,184,247,204,140
2021,8,60,"6,752","1,926",936,465,320,174,251,340,191,211,160,218,322,293,360,312,273
2021,8,70,"5,096","1,215",615,321,256,161,239,321,148,217,115,186,321,280,298,218,185
2021,8,80,"4,160",775,478,293,191,153,217,219,146,198,111,195,243,293,253,200,195
2021,8,90,767,162,84,34,42,27,46,33,31,43,22,40,50,49,41,26,37
2021,8,100,32,6,4,5,3,0,1,3,1,1,0,2,2,1,1,1,1
2021,9,총,"32,216","9,886","6,069","1,817","1,184",776,"1,194","1,457",728,943,567,871,"1,436","1,353","1,531","1,360","1,044"
2021,9,0,"1,281",453,436,39,19,21,24,40,8,18,11,19,51,29,46,45,22
2021,9,10,"2,102",842,561,101,38,22,72,69,32,36,7,20,61,39,62,95,45
2021,9,20,"2,140",839,621,75,38,24,44,66,25,33,24,30,60,66,68,88,39
2021,9,30,"1,898",722,598,64,32,32,46,51,12,29,19,23,54,56,66,46,48
2021,9,40,"3,108","1,221",822,140,74,43,79,124,42,53,25,48,97,66,95,122,57
2021,9,50,"4,870","1,724",910,280,176,118,172,189,91,103,72,91,174,183,241,205,141
2021,9,60,"6,747","1,926",939,464,314,177,252,340,188,211,161,216,324,289,362,311,273
2021,9,70,"5,093","1,211",611,321,256,163,239,320,153,217,115,187,321,282,294,217,186
2021,9,80,"4,169",782,482,295,191,149,219,221,146,198,110,195,242,290,255,201,193
2021,9,90,774,160,85,33,43,27,45,34,30,44,23,40,50,52,41,29,38
2021,9,100,34,6,4,5,3,0,2,3,1,1,0,2,2,1,1,1,2
2021,10,총,"32,169","9,868","6,043","1,828","1,185",774,"1,190","1,456",730,939,565,870,"1,442","1,349","1,527","1,361","1,042"
2021,10,0,"1,268",457,425,38,19,21,24,41,8,18,10,18,53,27,44,44,21
2021,10,10,"2,088",836,553,103,38,22,72,66,32,36,7,21,61,39,63,94,45
2021,10,20,"2,131",830,621,80,39,23,44,66,24,32,23,29,61,66,67,89,37
2021,10,30,"1,889",729,586,61,34,31,45,51,12,29,18,23,55,54,65,47,49
2021,10,40,"3,107","1,215",823,140,78,41,81,122,41,53,27,49,97,66,95,121,58
2021,10,50,"4,856","1,723",903,279,173,120,172,188,90,100,73,91,175,183,239,206,141
2021,10,60,"6,734","1,922",945,469,310,175,247,342,191,213,157,215,323,284,360,310,271
2021,10,70,"5,095","1,209",615,324,257,166,239,318,150,214,118,188,321,283,291,217,185
2021,10,80,"4,186",781,483,294,193,148,219,224,151,199,109,194,244,293,260,201,193
2021,10,90,781,162,84,35,40,27,45,35,30,44,23,40,50,53,42,31,40
2021,10,100,34,4,5,5,4,0,2,3,1,1,0,2,2,1,1,1,2
2021,11,총,"32,193","9,859","6,074","1,829","1,184",778,"1,190","1,462",726,935,565,875,"1,440","1,344","1,534","1,355","1,043"
2021,11,0,"1,262",452,427,35,20,21,26,40,8,17,10,18,54,26,45,42,21
2021,11,10,"2,099",841,561,104,38,21,71,66,31,36,7,21,61,40,64,91,46
2021,11,20,"2,146",832,627,82,40,25,43,66,25,30,23,30,57,68,70,88,40
2021,11,30,"1,889",734,584,61,31,31,44,50,12,29,21,23,54,54,67,46,48
2021,11,40,"3,093","1,200",824,138,81,40,81,126,41,53,26,50,96,65,94,120,58
2021,11,50,"4,848","1,716",908,279,169,121,172,188,90,102,73,94,173,182,234,207,140
2021,11,60,"6,757","1,925",951,469,313,177,250,339,191,212,158,215,324,284,365,312,272
2021,11,70,"5,081","1,207",617,325,255,169,238,320,151,211,116,185,317,279,291,217,183
2021,11,80,"4,198",785,483,295,197,147,218,226,147,199,107,197,252,290,261,201,193
2021,11,90,787,163,86,36,37,26,45,38,30,45,24,40,50,55,42,30,40
2021,11,100,33,4,6,5,3,0,2,3,0,1,0,2,2,1,1,1,2
2021,12,총,"32,140","9,845","6,059","1,826","1,186",782,"1,197","1,455",730,931,561,875,"1,444","1,338","1,520","1,354","1,037"
2021,12,0,"1,244",445,418,36,20,21,26,40,8,14,10,18,53,26,44,43,22
2021,12,10,"2,090",834,563,102,39,22,70,66,30,35,7,20,65,38,64,89,46
2021,12,20,"2,148",842,626,80,40,26,46,65,25,30,23,31,56,67,65,88,38
2021,12,30,"1,880",735,578,62,32,30,45,49,12,28,21,24,55,53,65,44,47
2021,12,40,"3,072","1,189",818,136,80,41,81,123,41,54,26,49,96,66,93,120,59
2021,12,50,"4,846","1,724",909,280,170,122,174,188,91,102,71,93,173,177,232,204,136
2021,12,60,"6,756","1,916",957,474,311,176,249,337,192,212,160,215,320,287,363,315,272
2021,12,70,"5,060","1,207",612,321,252,169,240,319,152,210,112,184,320,278,290,214,180
2021,12,80,"4,220",784,487,294,200,147,218,226,149,199,107,199,255,291,261,206,197
2021,12,90,794,165,85,37,39,28,46,39,30,46,24,41,49,54,42,30,39
2021,12,100,30,4,6,4,3,0,2,3,0,1,0,1,2,1,1,1,1
