년도,월,나이,경상남도 산청군,경상남도 산청군 산청읍,경상남도 산청군 차황면,경상남도 산청군 오부면,경상남도 산청군 생초면,경상남도 산청군 금서면,경상남도 산청군 삼장면,경상남도 산청군 시천면,경상남도 산청군 단성면,경상남도 산청군 신안면,경상남도 산청군 생비량면,경상남도 산청군 신등면
2020,10,90,540,99,31,26,42,59,26,50,77,59,32,39
2020,10,100,19,4,0,1,3,2,1,2,3,1,0,2
2020,11,총,"34,895","6,857","1,415","1,064","2,046","2,887","1,831","4,148","5,619","5,741","1,186","2,101"
2020,11,0,"1,348",386,48,42,55,84,33,134,161,331,38,36
2020,11,10,"2,076",536,41,47,97,152,77,280,203,496,42,105
2020,11,20,"2,464",638,74,38,100,167,109,305,364,517,52,100
2020,11,30,"2,150",623,53,46,90,195,75,214,302,417,61,74
2020,11,40,"3,548",836,113,90,136,280,152,460,533,670,95,183
2020,11,50,"6,558","1,187",231,168,321,534,398,877,"1,171","1,115",175,381
2020,11,60,"7,228","1,151",337,209,439,571,420,906,"1,339","1,078",308,470
2020,11,70,"5,308",855,262,208,443,504,336,574,896,605,228,397
2020,11,80,"3,651",540,224,188,320,340,204,345,566,455,156,313
2020,11,90,546,101,32,27,43,58,26,51,81,56,31,40
2020,11,100,18,4,0,1,2,2,1,2,3,1,0,2
2020,12,총,"34,857","6,840","1,413","1,065","2,035","2,884","1,836","4,156","5,603","5,732","1,187","2,106"
2020,12,0,"1,329",381,47,40,54,83,33,129,163,326,37,36
2020,12,10,"2,088",538,41,47,96,153,80,285,206,494,43,105
2020,12,20,"2,469",639,71,40,101,168,110,308,360,517,55,100
2020,12,30,"2,127",617,56,44,88,190,70,213,298,421,53,77
2020,12,40,"3,509",830,113,89,130,275,154,453,524,665,98,178
2020,12,50,"6,529","1,175",231,171,321,524,397,883,"1,160","1,110",178,379
2020,12,60,"7,280","1,161",334,210,442,584,423,916,"1,346","1,083",307,474
2020,12,70,"5,304",848,262,211,440,503,334,574,898,603,230,401
2020,12,80,"3,661",544,227,185,320,345,207,342,566,455,156,314
2020,12,90,543,103,31,27,41,57,27,51,79,57,30,40
2020,12,100,18,4,0,1,2,2,1,2,3,1,0,2
2021,1,총,"34,809","6,847","1,409","1,067","2,031","2,882","1,831","4,147","5,597","5,715","1,182","2,101"
2021,1,0,"1,316",376,46,40,52,86,34,123,166,323,34,36
2021,1,10,"2,064",531,40,46,94,154,76,287,200,487,45,104
2021,1,20,"2,459",643,70,41,101,168,107,306,363,506,54,100
2021,1,30,"2,116",626,54,43,87,185,69,210,297,420,50,75
2021,1,40,"3,486",824,112,90,131,268,148,450,525,666,97,175
2021,1,50,"6,504","1,164",230,170,321,522,399,886,"1,152","1,106",178,376
2021,1,60,"7,342","1,177",337,212,444,587,432,913,"1,355","1,092",310,483
2021,1,70,"5,272",844,260,209,441,503,331,575,891,596,223,399
2021,1,80,"3,683",555,227,186,319,345,207,344,568,460,162,310
2021,1,90,549,103,33,29,39,62,27,51,77,58,29,41
2021,1,100,18,4,0,1,2,2,1,2,3,1,0,2
2021,2,총,"34,788","6,860","1,400","1,071","2,031","2,884","1,829","4,156","5,590","5,697","1,174","2,096"
2021,2,0,"1,301",375,43,41,52,84,33,124,158,321,34,36
2021,2,10,"2,066",538,38,45,96,158,73,286,203,482,44,103
2021,2,20,"2,422",633,65,42,100,160,108,307,359,499,52,97
2021,2,30,"2,097",618,55,45,84,182,66,209,289,420,52,77
2021,2,40,"3,486",832,111,91,134,263,148,455,523,660,97,172
2021,2,50,"6,474","1,163",230,170,322,527,394,882,"1,146","1,091",176,373
2021,2,60,"7,403","1,186",337,213,446,593,440,920,"1,367","1,106",308,487
2021,2,70,"5,258",850,262,205,430,504,326,571,892,598,223,397
2021,2,80,"3,700",557,225,189,321,348,214,346,568,460,160,312
2021,2,90,561,103,34,29,44,63,26,54,81,59,28,40
2021,2,100,20,5,0,1,2,2,1,2,4,1,0,2
2021,3,총,"34,686","6,808","1,392","1,073","2,031","2,886","1,828","4,152","5,587","5,669","1,184","2,076"
2021,3,0,"1,295",372,43,39,53,84,32,121,162,318,36,35
2021,3,10,"2,085",537,40,47,95,159,73,285,206,497,43,103
2021,3,20,"2,391",632,60,45,99,155,103,308,350,492,52,95
2021,3,30,"2,088",604,55,45,86,183,67,210,292,415,56,75
2021,3,40,"3,436",817,109,91,134,267,148,446,513,651,92,168
2021,3,50,"6,399","1,149",225,169,314,521,391,878,"1,141","1,072",174,365
2021,3,60,"7,479","1,190",346,214,453,603,445,930,"1,370","1,124",319,485
2021,3,70,"5,232",849,256,204,427,498,324,572,896,587,222,397
2021,3,80,"3,698",551,224,189,324,351,219,344,570,454,159,313
2021,3,90,569,104,34,29,44,64,25,56,84,59,31,39
2021,3,100,14,3,0,1,2,1,1,2,3,0,0,1
2021,4,총,"34,668","6,801","1,387","1,074","2,028","2,885","1,827","4,158","5,597","5,655","1,177","2,079"
2021,4,0,"1,281",369,42,36,53,87,31,120,161,310,36,36
2021,4,10,"2,069",540,37,46,92,160,71,283,207,488,43,102
2021,4,20,"2,375",629,59,45,98,151,104,303,347,489,54,96
2021,4,30,"2,079",605,57,45,85,188,67,208,279,412,58,75
2021,4,40,"3,430",813,108,89,135,266,148,447,523,649,83,169
2021,4,50,"6,372","1,136",221,169,312,523,386,880,"1,142","1,067",176,360
2021,4,60,"7,546","1,199",343,219,454,606,449,943,"1,381","1,142",319,491
2021,4,70,"5,227",852,263,204,428,494,324,571,892,586,219,394
2021,4,80,"3,703",551,226,189,324,345,219,345,577,453,158,316
2021,4,90,572,104,31,31,45,64,27,56,85,59,31,39
2021,4,100,14,3,0,1,2,1,1,2,3,0,0,1
2021,5,총,"34,641","6,792","1,394","1,071","2,031","2,877","1,824","4,151","5,597","5,657","1,175","2,072"
2021,5,0,"1,268",367,41,36,52,84,32,117,156,312,35,36
2021,5,10,"2,060",541,39,46,90,160,71,282,203,485,43,100
2021,5,20,"2,366",625,59,44,99,150,102,300,351,485,56,95
2021,5,30,"2,066",601,57,44,86,187,67,202,275,414,59,74
2021,5,40,"3,406",810,109,86,133,263,148,452,515,640,81,169
2021,5,50,"6,362","1,132",223,170,313,524,382,871,"1,149","1,066",175,357
2021,5,60,"7,589","1,203",347,219,456,606,453,953,"1,387","1,153",317,495
2021,5,70,"5,202",858,262,202,423,489,322,568,882,587,220,389
2021,5,80,"3,729",549,224,192,331,346,220,349,587,455,158,318
2021,5,90,578,103,32,31,46,67,26,55,89,60,31,38
2021,5,100,15,3,1,1,2,1,1,2,3,0,0,1
2021,6,총,"34,587","6,791","1,397","1,061","2,021","2,867","1,816","4,159","5,596","5,644","1,168","2,067"
2021,6,0,"1,250",368,41,34,51,83,31,114,156,304,35,33
2021,6,10,"2,049",540,39,46,86,159,71,280,199,483,43,103
2021,6,20,"2,349",621,59,44,99,148,99,301,348,486,55,89
2021,6,30,"2,049",599,57,40,84,185,64,200,275,410,57,78
2021,6,40,"3,393",817,105,88,129,261,146,450,515,637,80,165
2021,6,50,"6,344","1,129",226,167,308,521,377,885,"1,144","1,066",169,352
2021,6,60,"7,610","1,202",349,219,461,609,457,954,"1,387","1,159",317,496
2021,6,70,"5,199",856,260,201,424,485,323,569,886,579,220,396
2021,6,80,"3,746",552,228,190,331,348,221,350,592,460,161,313
2021,6,90,583,104,32,31,46,67,26,54,91,60,31,41
2021,6,100,15,3,1,1,2,1,1,2,3,0,0,1
2021,7,총,"34,557","6,787","1,411","1,059","2,013","2,871","1,814","4,170","5,588","5,619","1,171","2,054"
2021,7,0,"1,246",362,43,34,49,82,30,114,161,307,34,30
2021,7,10,"2,040",542,39,46,88,160,69,279,198,472,44,103
2021,7,20,"2,340",623,61,42,98,151,97,297,342,487,55,87
2021,7,30,"2,030",595,59,38,81,180,65,199,275,411,55,72
2021,7,40,"3,362",813,103,89,129,261,143,448,508,624,81,163
2021,7,50,"6,341","1,130",230,165,305,522,380,893,"1,135","1,059",171,351
2021,7,60,"7,649","1,206",352,221,463,614,458,965,"1,394","1,162",316,498
2021,7,70,"5,181",851,261,197,421,484,323,565,885,577,223,394
2021,7,80,"3,768",557,230,192,330,349,222,354,597,461,162,314
2021,7,90,583,105,32,34,47,66,26,54,90,59,30,40
2021,7,100,17,3,1,1,2,2,1,2,3,0,0,2
2021,8,총,"34,530","6,779","1,415","1,057","2,010","2,878","1,815","4,150","5,596","5,611","1,167","2,052"
2021,8,0,"1,242",359,46,33,47,82,29,113,163,304,34,32
2021,8,10,"2,043",537,39,46,89,161,73,273,199,475,44,107
2021,8,20,"2,317",629,60,40,97,150,93,289,341,479,53,86
2021,8,30,"2,005",584,58,39,79,178,64,201,271,407,56,68
2021,8,40,"3,351",812,104,87,129,258,138,445,511,624,82,161
2021,8,50,"6,329","1,131",233,163,304,529,381,887,"1,130","1,048",171,352
2021,8,60,"7,686","1,210",351,223,469,616,460,967,"1,412","1,169",312,497
2021,8,70,"5,175",855,260,197,410,479,326,568,878,584,224,394
2021,8,80,"3,779",554,230,193,334,357,224,353,599,461,160,314
2021,8,90,586,105,33,35,50,66,26,51,89,60,31,40
2021,8,100,17,3,1,1,2,2,1,3,3,0,0,1
2021,9,총,"34,442","6,752","1,416","1,051","2,009","2,857","1,812","4,133","5,614","5,577","1,164","2,057"
2021,9,0,"1,218",352,47,32,46,82,28,112,158,296,33,32
2021,9,10,"2,032",542,38,46,91,157,72,275,202,458,45,106
2021,9,20,"2,266",606,57,38,97,146,92,276,338,484,49,83
2021,9,30,"1,993",582,59,39,78,178,63,195,271,402,57,69
2021,9,40,"3,324",804,101,87,131,256,137,440,511,613,83,161
2021,9,50,"6,330","1,134",238,161,298,521,382,883,"1,137","1,050",170,356
2021,9,60,"7,715","1,218",353,222,472,618,464,966,"1,420","1,168",312,502
2021,9,70,"5,174",854,259,197,406,468,324,578,884,588,223,393
2021,9,80,"3,785",553,230,194,338,365,222,352,598,457,161,315
2021,9,90,588,104,33,34,50,64,27,53,92,61,31,39
2021,9,100,17,3,1,1,2,2,1,3,3,0,0,1
2021,10,총,"34,416","6,746","1,413","1,058","1,998","2,868","1,811","4,120","5,620","5,566","1,159","2,057"
2021,10,0,"1,200",350,44,32,41,82,25,109,158,293,33,33
2021,10,10,"2,017",539,39,47,90,160,69,275,200,449,44,105
2021,10,20,"2,272",608,56,39,97,147,94,274,340,484,49,84
2021,10,30,"1,960",572,57,38,74,175,64,191,267,397,56,69
2021,10,40,"3,317",800,103,90,128,256,134,437,512,613,85,159
2021,10,50,"6,330","1,142",237,163,303,522,384,880,"1,127","1,051",167,354
2021,10,60,"7,742","1,219",355,220,471,620,469,972,"1,436","1,169",308,503
2021,10,70,"5,178",856,259,199,405,470,323,573,882,591,223,397
2021,10,80,"3,795",555,229,195,337,366,221,355,602,459,163,313
2021,10,90,591,102,33,34,51,68,27,53,93,60,31,39
2021,10,100,14,3,1,1,1,2,1,1,3,0,0,1
2021,11,총,"34,394","6,726","1,412","1,059","1,998","2,871","1,818","4,098","5,629","5,576","1,154","2,053"
2021,11,0,"1,188",346,41,31,42,84,25,100,161,290,33,35
2021,11,10,"2,011",541,38,46,86,156,69,274,201,453,44,103
2021,11,20,"2,264",602,55,39,98,150,96,270,341,485,43,85
2021,11,30,"1,944",567,57,35,75,172,63,189,264,398,55,69
2021,11,40,"3,307",797,101,92,124,252,134,433,512,616,84,162
2021,11,50,"6,311","1,131",238,163,302,529,386,878,"1,125","1,045",167,347
2021,11,60,"7,777","1,226",358,223,474,618,471,975,"1,450","1,172",311,499
2021,11,70,"5,167",847,262,195,407,468,324,561,879,594,227,403
2021,11,80,"3,819",564,227,200,336,373,222,362,603,463,160,309
2021,11,90,591,102,34,34,53,67,27,54,90,60,30,40
2021,11,100,15,3,1,1,1,2,1,2,3,0,0,1
2021,12,총,"34,360","6,736","1,412","1,054","1,986","2,870","1,812","4,093","5,628","5,557","1,155","2,057"
2021,12,0,"1,175",348,40,33,39,80,24,98,162,288,28,35
2021,12,10,"2,006",542,38,46,86,155,70,272,201,449,45,102
2021,12,20,"2,261",603,53,36,96,156,91,271,338,481,45,91
2021,12,30,"1,935",576,56,38,72,169,64,188,266,386,50,70
2021,12,40,"3,291",792,99,91,121,253,132,424,511,619,86,163
2021,12,50,"6,304","1,132",245,159,304,524,382,880,"1,117","1,047",171,343
2021,12,60,"7,797","1,220",358,225,471,617,475,983,"1,463","1,175",311,499
2021,12,70,"5,162",854,261,193,404,471,326,558,877,595,225,398
2021,12,80,"3,809",560,227,197,338,373,220,363,595,457,164,315
2021,12,90,606,107,34,35,54,70,27,54,95,59,30,41
2021,12,100,14,2,1,1,1,2,1,2,3,1,0,0
