년도,월,나이,서울특별시 양천구,서울특별시 양천구 목1동,서울특별시 양천구 목2동,서울특별시 양천구 목3동,서울특별시 양천구 목4동,서울특별시 양천구 목5동,서울특별시 양천구 신월1동,서울특별시 양천구 신월2동,서울특별시 양천구 신월3동,서울특별시 양천구 신월4동,서울특별시 양천구 신월5동,서울특별시 양천구 신월6동,서울특별시 양천구 신월7동,서울특별시 양천구 신정1동,서울특별시 양천구 신정2동,서울특별시 양천구 신정3동,서울특별시 양천구 신정4동,서울특별시 양천구 신정6동,서울특별시 양천구 신정7동
2020,10,0,"15,589","1,485",864,662,741,"1,651",486,724,418,755,505,685,529,862,667,"1,703",839,"1,014",999
2020,10,10,"24,453","2,570","1,203",710,"1,562","3,483",685,913,551,757,607,635,695,"1,500","1,421","2,560","1,141","1,792","1,668"
2020,10,20,"29,416","1,763","2,558","1,830","1,970","2,190","1,247","1,302",979,"1,056","1,048",780,"1,252","1,234","1,261","2,888","2,741","1,565","1,752"
2020,10,30,"29,632","1,946","2,571","2,057","1,436","2,281","1,233","1,496",936,"1,287","1,020","1,262","1,266","1,188",978,"2,975","2,449","1,545","1,706"
2020,10,40,"41,359","3,782","2,426","1,679","2,586","5,123","1,505","1,658","1,005","1,501","1,167","1,079","1,459","2,176","2,069","4,167","2,644","2,618","2,715"
2020,10,50,"38,593","2,378","2,609","2,009","2,439","3,232","1,881","1,732","1,345","1,476","1,344","1,051","1,853","1,727","1,785","4,024","2,833","2,213","2,662"
2020,10,60,"29,642","1,440","2,016","1,609","1,366","2,042","1,753","1,791","1,171","1,444","1,101",846,"1,806","1,116","1,107","3,079","2,546","1,316","2,093"
2020,10,70,"15,044",696,904,732,781,803,967,880,742,715,567,388,"1,059",576,630,"1,611","1,414",464,"1,115"
2020,10,80,"6,904",316,446,381,362,464,363,341,284,331,230,133,520,287,287,732,488,286,653
2020,10,90,"1,274",63,73,65,53,118,75,69,46,46,40,30,73,72,54,146,70,66,115
2020,10,100,142,4,9,11,6,7,10,8,8,8,5,9,0,4,12,13,12,1,15
2020,11,총,"231,841","16,414","15,669","11,736","13,275","21,346","10,204","10,898","7,483","9,391","7,622","6,940","10,490","10,747","10,272","23,867","17,144","12,859","15,484"
2020,11,0,"15,459","1,476",855,657,735,"1,625",481,719,415,748,505,686,518,871,660,"1,682",829,"1,016",981
2020,11,10,"24,438","2,566","1,203",709,"1,553","3,491",675,910,552,769,600,638,692,"1,504","1,418","2,553","1,137","1,783","1,685"
2020,11,20,"29,369","1,759","2,561","1,827","1,964","2,175","1,256","1,306",978,"1,056","1,048",782,"1,259","1,221","1,269","2,868","2,742","1,564","1,734"
2020,11,30,"29,511","1,926","2,585","2,057","1,435","2,258","1,239","1,494",938,"1,281","1,008","1,278","1,257","1,185",972,"2,955","2,421","1,526","1,696"
2020,11,40,"41,261","3,779","2,401","1,673","2,560","5,118","1,499","1,655",992,"1,504","1,167","1,072","1,452","2,179","2,070","4,159","2,642","2,620","2,719"
2020,11,50,"38,581","2,381","2,619","2,012","2,443","3,225","1,883","1,721","1,355","1,474","1,333","1,055","1,849","1,722","1,776","4,040","2,817","2,214","2,662"
2020,11,60,"29,809","1,456","2,016","1,605","1,378","2,069","1,763","1,796","1,172","1,454","1,116",864,"1,815","1,124","1,116","3,083","2,569","1,317","2,096"
2020,11,70,"15,071",687,903,736,779,797,959,881,745,719,569,391,"1,048",575,637,"1,635","1,415",468,"1,127"
2020,11,80,"6,926",317,444,384,368,462,368,338,283,334,231,135,527,286,289,731,489,284,656
2020,11,90,"1,276",63,73,65,54,119,72,72,45,44,40,30,73,75,52,148,71,66,114
2020,11,100,140,4,9,11,6,7,9,6,8,8,5,9,0,5,13,13,12,1,14
2020,12,총,"231,427","16,414","15,650","11,742","13,282","21,315","10,182","10,880","7,454","9,358","7,591","6,978","10,452","10,727","10,228","23,785","17,098","12,855","15,436"
2020,12,0,"15,317","1,480",842,646,732,"1,600",476,707,413,735,495,685,501,878,658,"1,674",809,"1,018",968
2020,12,10,"24,340","2,559","1,208",713,"1,548","3,477",660,900,552,768,589,637,687,"1,501","1,414","2,546","1,131","1,777","1,673"
2020,12,20,"29,348","1,757","2,563","1,834","1,975","2,169","1,262","1,308",975,"1,049","1,059",788,"1,253","1,217","1,258","2,851","2,752","1,556","1,722"
2020,12,30,"29,351","1,913","2,564","2,059","1,426","2,263","1,241","1,490",924,"1,264",996,"1,291","1,252","1,168",967,"2,921","2,388","1,531","1,693"
2020,12,40,"41,161","3,785","2,413","1,674","2,553","5,109","1,486","1,643",991,"1,500","1,162","1,078","1,437","2,181","2,055","4,142","2,636","2,608","2,708"
2020,12,50,"38,474","2,383","2,608","1,997","2,445","3,221","1,860","1,728","1,336","1,468","1,334","1,055","1,845","1,725","1,766","4,009","2,816","2,213","2,665"
2020,12,60,"29,967","1,465","2,018","1,615","1,393","2,088","1,787","1,805","1,182","1,455","1,115",871,"1,820","1,124","1,125","3,106","2,569","1,329","2,100"
2020,12,70,"15,119",685,913,743,780,796,962,879,745,731,567,398,"1,051",569,631,"1,646","1,424",471,"1,128"
2020,12,80,"6,944",319,439,386,371,468,366,343,283,336,225,135,534,285,288,732,494,285,655
2020,12,90,"1,268",65,73,64,53,117,73,71,45,44,44,31,72,75,53,145,67,66,110
2020,12,100,138,3,9,11,6,7,9,6,8,8,5,9,0,4,13,13,12,1,14
2021,1,총,"230,965","16,356","15,644","11,714","13,248","21,281","10,173","10,836","7,406","9,344","7,543","7,014","10,425","10,697","10,205","23,749","17,091","12,836","15,403"
2021,1,0,"15,171","1,474",845,635,734,"1,573",476,690,392,731,493,691,493,873,660,"1,652",793,"1,010",956
2021,1,10,"24,225","2,542","1,204",709,"1,548","3,480",654,894,547,763,573,640,685,"1,493","1,412","2,527","1,130","1,774","1,650"
2021,1,20,"29,192","1,740","2,537","1,820","1,951","2,164","1,277","1,301",970,"1,046","1,049",784,"1,242","1,211","1,238","2,847","2,743","1,548","1,724"
2021,1,30,"29,246","1,911","2,577","2,067","1,411","2,246","1,230","1,475",906,"1,256",993,"1,291","1,244","1,164",966,"2,924","2,375","1,524","1,686"
2021,1,40,"40,987","3,763","2,406","1,666","2,537","5,085","1,477","1,637",999,"1,501","1,158","1,083","1,438","2,163","2,057","4,096","2,642","2,590","2,689"
2021,1,50,"38,423","2,373","2,607","1,994","2,445","3,221","1,852","1,724","1,329","1,464","1,325","1,060","1,827","1,730","1,754","4,032","2,812","2,217","2,657"
2021,1,60,"30,158","1,481","2,028","1,621","1,401","2,115","1,785","1,806","1,179","1,458","1,116",886,"1,837","1,131","1,131","3,118","2,598","1,342","2,125"
2021,1,70,"15,179",681,919,743,790,810,973,892,742,734,562,400,"1,044",569,632,"1,660","1,422",478,"1,128"
2021,1,80,"6,957",324,439,381,371,463,364,339,288,340,222,138,542,281,288,737,494,283,663
2021,1,90,"1,286",64,73,66,53,117,76,72,46,43,47,32,73,78,53,143,70,69,111
2021,1,100,141,3,9,12,7,7,9,6,8,8,5,9,0,4,14,13,12,1,14
2021,2,총,"231,481","16,329","15,638","11,687","13,219","21,175","10,136","10,814","7,396","9,328","7,552","7,017","10,394","10,646","10,181","24,734","17,035","12,832","15,368"
2021,2,0,"15,285","1,490",838,624,739,"1,569",469,694,391,711,490,698,484,887,656,"1,788",771,"1,027",959
2021,2,10,"24,212","2,531","1,194",713,"1,542","3,432",644,898,551,760,575,634,680,"1,463","1,421","2,652","1,129","1,768","1,625"
2021,2,20,"29,103","1,718","2,528","1,818","1,945","2,134","1,281","1,283",970,"1,041","1,056",786,"1,238","1,184","1,219","2,949","2,714","1,528","1,711"
2021,2,30,"29,251","1,898","2,598","2,041","1,384","2,230","1,217","1,466",909,"1,244",992,"1,287","1,223","1,168",960,"3,058","2,361","1,531","1,684"
2021,2,40,"41,126","3,766","2,401","1,671","2,542","5,058","1,472","1,629","1,000","1,509","1,158","1,074","1,434","2,156","2,060","4,302","2,623","2,595","2,676"
2021,2,50,"38,473","2,368","2,598","1,988","2,436","3,222","1,825","1,724","1,313","1,463","1,320","1,062","1,834","1,717","1,739","4,180","2,822","2,203","2,659"
2021,2,60,"30,390","1,488","2,041","1,627","1,412","2,132","1,802","1,813","1,177","1,472","1,125",893,"1,837","1,142","1,139","3,205","2,604","1,348","2,133"
2021,2,70,"15,214",678,920,742,791,815,979,890,738,735,558,404,"1,043",564,629,"1,685","1,425",480,"1,138"
2021,2,80,"6,977",324,442,385,367,459,359,339,294,340,225,138,545,281,291,753,499,280,656
2021,2,90,"1,307",64,68,66,54,117,79,72,45,45,48,32,76,80,53,149,75,71,113
2021,2,100,143,4,10,12,7,7,9,6,8,8,5,9,0,4,14,13,12,1,14
2021,3,총,"230,667","16,275","15,510","11,587","13,181","21,084","10,070","10,718","7,308","9,292","7,546","7,004","10,303","10,549","10,066","25,214","16,939","12,778","15,243"
2021,3,0,"15,244","1,470",825,612,738,"1,573",468,701,382,710,486,702,479,880,653,"1,841",767,"1,013",944
2021,3,10,"24,082","2,521","1,178",705,"1,533","3,385",640,893,543,753,575,635,671,"1,449","1,419","2,692","1,126","1,754","1,610"
2021,3,20,"29,065","1,720","2,531","1,815","1,936","2,112","1,276","1,278",947,"1,057","1,076",780,"1,216","1,172","1,204","3,003","2,717","1,521","1,704"
2021,3,30,"29,092","1,878","2,580","2,009","1,373","2,215","1,216","1,443",906,"1,219",986,"1,295","1,203","1,154",952,"3,125","2,356","1,516","1,666"
2021,3,40,"40,909","3,754","2,384","1,664","2,518","5,020","1,447","1,628",980,"1,492","1,155","1,073","1,430","2,138","2,035","4,366","2,610","2,577","2,638"
2021,3,50,"38,344","2,365","2,573","1,975","2,440","3,208","1,800","1,691","1,302","1,474","1,305","1,059","1,804","1,699","1,717","4,274","2,799","2,212","2,647"
2021,3,60,"30,539","1,504","2,048","1,629","1,403","2,169","1,819","1,797","1,171","1,474","1,142",890,"1,850","1,150","1,127","3,284","2,592","1,352","2,138"
2021,3,70,"15,104",673,892,727,801,820,965,884,734,725,548,400,"1,030",555,616,"1,713","1,405",483,"1,133"
2021,3,80,"6,984",324,432,387,374,463,359,338,298,343,227,139,544,279,286,763,494,279,655
2021,3,90,"1,253",63,64,61,58,115,77,64,44,42,46,27,76,71,54,147,70,70,104
2021,3,100,51,3,3,3,7,4,3,1,1,3,0,4,0,2,3,6,3,1,4
2021,4,총,"230,404","16,216","15,493","11,578","13,156","21,016","10,059","10,717","7,305","9,279","7,522","7,015","10,316","10,508","10,047","25,327","16,886","12,758","15,206"
2021,4,0,"15,110","1,457",812,612,725,"1,555",462,696,377,706,481,705,486,871,649,"1,816",755,"1,012",933
2021,4,10,"24,050","2,519","1,177",698,"1,531","3,370",639,901,540,754,572,634,666,"1,445","1,408","2,721","1,123","1,741","1,611"
2021,4,20,"29,025","1,701","2,540","1,814","1,929","2,109","1,272","1,285",946,"1,045","1,076",785,"1,223","1,161","1,204","3,012","2,721","1,513","1,689"
2021,4,30,"28,976","1,871","2,568","2,015","1,382","2,176","1,214","1,432",904,"1,217",976,"1,280","1,206","1,138",955,"3,120","2,340","1,517","1,665"
2021,4,40,"40,821","3,739","2,388","1,664","2,485","4,999","1,437","1,625",969,"1,487","1,152","1,087","1,425","2,147","2,024","4,384","2,597","2,583","2,629"
2021,4,50,"38,280","2,353","2,560","1,959","2,457","3,217","1,791","1,679","1,299","1,478","1,307","1,049","1,803","1,691","1,717","4,299","2,782","2,201","2,638"
2021,4,60,"30,687","1,514","2,053","1,641","1,411","2,187","1,827","1,804","1,180","1,471","1,141",902,"1,857","1,152","1,131","3,330","2,593","1,357","2,136"
2021,4,70,"15,135",671,890,723,801,819,970,888,746,732,549,400,"1,025",556,614,"1,724","1,404",482,"1,141"
2021,4,80,"7,011",324,437,389,371,465,366,341,300,346,224,142,549,272,288,766,497,279,655
2021,4,90,"1,255",64,65,60,57,115,77,65,43,40,44,27,76,73,54,148,70,72,105
2021,4,100,54,3,3,3,7,4,4,1,1,3,0,4,0,2,3,7,4,1,4
2021,5,총,"230,110","16,151","15,462","11,564","13,150","20,949","10,064","10,688","7,285","9,272","7,515","7,002","10,317","10,507","10,020","25,390","16,850","12,749","15,175"
2021,5,0,"15,012","1,446",806,608,720,"1,541",462,688,369,708,477,708,485,870,643,"1,823",739,"1,001",918
2021,5,10,"23,986","2,519","1,172",699,"1,519","3,353",636,895,540,756,577,624,654,"1,432","1,414","2,721","1,121","1,737","1,617"
2021,5,20,"28,938","1,679","2,531","1,807","1,921","2,099","1,273","1,277",946,"1,036","1,069",780,"1,224","1,160","1,193","3,017","2,730","1,507","1,689"
2021,5,30,"28,834","1,859","2,566","2,006","1,382","2,146","1,209","1,429",895,"1,214",970,"1,279","1,217","1,148",951,"3,107","2,310","1,505","1,641"
2021,5,40,"40,685","3,722","2,381","1,662","2,466","4,971","1,433","1,615",969,"1,488","1,151","1,080","1,417","2,128","2,010","4,388","2,603","2,577","2,624"
2021,5,50,"38,314","2,350","2,548","1,958","2,475","3,222","1,789","1,674","1,302","1,474","1,304","1,047","1,811","1,699","1,712","4,323","2,776","2,218","2,632"
2021,5,60,"30,804","1,524","2,060","1,643","1,421","2,210","1,835","1,811","1,170","1,472","1,142",908,"1,849","1,159","1,143","3,352","2,595","1,372","2,138"
2021,5,70,"15,197",672,893,723,805,825,975,895,750,733,555,402,"1,031",559,614,"1,728","1,399",483,"1,155"
2021,5,80,"7,023",317,435,395,376,462,367,338,301,346,226,144,554,275,283,776,500,277,651
2021,5,90,"1,262",61,67,59,58,116,81,65,42,42,44,25,75,75,54,148,73,71,106
2021,5,100,55,2,3,4,7,4,4,1,1,3,0,5,0,2,3,7,4,1,4
2021,6,총,"229,852","16,115","15,437","11,556","13,103","20,899","10,060","10,655","7,284","9,272","7,508","7,000","10,293","10,506","10,008","25,408","16,840","12,743","15,165"
2021,6,0,"14,934","1,433",805,607,708,"1,526",460,680,369,713,469,701,484,866,643,"1,817",734,995,924
2021,6,10,"23,923","2,519","1,166",694,"1,506","3,342",633,892,537,754,584,624,643,"1,431","1,415","2,733","1,105","1,736","1,609"
2021,6,20,"28,875","1,662","2,511","1,812","1,930","2,093","1,268","1,269",945,"1,032","1,059",779,"1,215","1,166","1,190","2,992","2,766","1,506","1,680"
2021,6,30,"28,731","1,840","2,561","1,997","1,367","2,119","1,215","1,429",898,"1,209",976,"1,285","1,213","1,135",937,"3,118","2,296","1,505","1,631"
2021,6,40,"40,609","3,717","2,383","1,649","2,454","4,962","1,435","1,603",976,"1,492","1,141","1,076","1,418","2,126","2,007","4,394","2,581","2,569","2,626"
2021,6,50,"38,263","2,352","2,552","1,949","2,468","3,234","1,769","1,667","1,293","1,461","1,299","1,045","1,799","1,703","1,717","4,320","2,785","2,221","2,629"
2021,6,60,"30,952","1,545","2,056","1,658","1,427","2,216","1,846","1,813","1,172","1,483","1,153",916,"1,860","1,165","1,147","3,373","2,592","1,381","2,149"
2021,6,70,"15,209",670,895,729,808,825,975,899,745,734,555,400,"1,031",558,611,"1,728","1,402",484,"1,160"
2021,6,80,"7,038",314,438,397,369,464,374,336,305,348,228,145,554,279,285,780,499,276,647
2021,6,90,"1,263",61,67,60,59,114,81,65,43,43,44,25,76,75,52,147,76,69,106
2021,6,100,55,2,3,4,7,4,4,2,1,3,0,4,0,2,4,6,4,1,4
