년도,월,나이,남구,양림동,방림1동,방림2동,봉선1동,봉선2동,사직동,월산동,월산4동,월산5동,백운1동,백운2동,주월1동,주월2동,효덕동,송암동,대촌동,진월동
2020,8,40,"17,390",565,578,642,"1,164","3,091",315,415,527,369,997,359,"1,589",576,"4,178","1,715",310,
2020,8,50,"17,530",639,532,829,"1,235","2,346",423,591,783,661,"1,032",465,"1,760",778,"3,686","1,327",443,
2020,8,60,"15,035",610,529,797,"1,055","1,582",450,644,804,631,"1,010",485,"1,394",719,"2,840",949,536,
2020,8,70,"9,527",508,390,575,680,803,393,601,495,383,623,341,819,447,"1,622",386,461,
2020,8,80,"4,557",218,155,275,391,434,161,266,228,168,280,142,324,179,752,226,358,
2020,8,90,849,36,21,54,76,93,23,54,33,28,52,20,64,28,135,63,69,
2020,8,100,85,7,5,9,2,3,11,6,2,4,2,7,5,5,9,3,5,
2020,9,총,"111,633","4,001","3,686","4,876","7,516","15,604","2,669","3,720","4,360","3,309","6,642","3,145","10,106","4,237","24,516","10,242","3,004",
2020,9,0,"8,543",248,264,249,430,"1,508",155,203,181,124,511,195,678,253,"1,956","1,437",151,
2020,9,10,"11,408",382,345,370,691,"2,416",131,203,284,179,596,211,989,301,"3,109","1,010",191,
2020,9,20,"13,671",425,428,630,972,"1,667",325,381,565,443,748,503,"1,362",534,"3,306","1,159",223,
2020,9,30,"13,047",362,454,450,823,"1,652",300,382,468,326,792,406,"1,125",424,"2,909","1,942",232,
2020,9,40,"17,359",562,573,637,"1,158","3,086",316,401,522,363,993,367,"1,583",566,"4,170","1,733",329,
2020,9,50,"17,473",638,532,829,"1,231","2,340",414,587,778,655,"1,024",466,"1,748",774,"3,688","1,324",445,
2020,9,60,"15,055",610,526,793,"1,057","1,592",445,637,805,633,"1,014",487,"1,397",725,"2,840",953,541,
2020,9,70,"9,552",509,383,581,675,812,389,602,493,383,629,341,830,448,"1,633",388,456,
2020,9,80,"4,579",221,155,275,399,434,161,261,228,171,278,140,324,179,761,229,363,
2020,9,90,862,37,20,53,78,94,22,57,34,28,55,22,66,28,135,64,69,
2020,9,100,84,7,6,9,2,3,11,6,2,4,2,7,4,5,9,3,4,
2020,10,총,"111,546","4,003","3,684","4,883","7,487","15,600","2,651","3,703","4,332","3,271","6,646","3,146","10,101","4,234","24,526","10,225","3,054",
2020,10,0,"8,462",246,261,240,427,"1,490",150,199,176,124,502,191,671,255,"1,953","1,420",157,
2020,10,10,"11,410",388,347,376,690,"2,424",131,201,279,172,602,216,992,297,"3,103",999,193,
2020,10,20,"13,682",428,428,628,975,"1,675",315,375,562,441,751,501,"1,367",535,"3,305","1,162",234,
2020,10,30,"12,955",360,458,443,814,"1,629",306,375,464,314,786,402,"1,119",427,"2,885","1,936",237,
2020,10,40,"17,329",561,568,642,"1,149","3,096",314,410,516,357,988,373,"1,567",552,"4,176","1,727",333,
2020,10,50,"17,449",635,528,825,"1,222","2,339",404,581,770,656,"1,026",473,"1,753",776,"3,685","1,326",450,
2020,10,60,"15,129",612,530,802,"1,058","1,597",444,632,805,624,"1,016",478,"1,402",730,"2,875",971,553,
2020,10,70,"9,583",510,383,585,675,813,393,608,497,383,639,344,824,452,"1,635",390,452,
2020,10,80,"4,598",219,155,281,396,439,161,259,227,171,277,138,334,178,766,228,369,
2020,10,90,868,37,20,52,79,96,22,57,34,27,57,23,68,27,134,63,72,
2020,10,100,81,7,6,9,2,2,11,6,2,2,2,7,4,5,9,3,4,
2020,11,총,"111,392","3,996","3,680","4,855","7,470","15,554","2,650","3,679","4,313","3,269","6,628","3,152","10,100","4,218","24,429","10,289","3,110",
2020,11,0,"8,411",245,257,235,431,"1,477",147,196,176,124,489,191,674,248,"1,929","1,426",166,
2020,11,10,"11,399",388,353,371,688,"2,427",130,193,272,173,594,216,989,294,"3,109","1,001",201,
2020,11,20,"13,641",422,433,624,976,"1,660",319,382,557,436,752,506,"1,364",538,"3,270","1,167",235,
2020,11,30,"12,897",363,454,440,809,"1,608",306,370,461,313,775,395,"1,116",422,"2,863","1,950",252,
2020,11,40,"17,281",555,560,635,"1,141","3,095",311,401,516,354,987,376,"1,560",551,"4,157","1,738",344,
2020,11,50,"17,440",633,524,821,"1,221","2,342",399,578,764,659,"1,029",473,"1,746",770,"3,677","1,343",461,
2020,11,60,"15,195",614,531,800,"1,058","1,598",451,631,806,632,"1,030",477,"1,421",730,"2,876",986,554,
2020,11,70,"9,585",513,383,582,677,806,393,601,500,382,637,347,827,455,"1,637",388,457,
2020,11,80,"4,598",216,158,288,392,439,160,261,227,167,276,140,333,178,768,225,370,
2020,11,90,863,40,21,50,75,100,23,60,32,27,57,24,66,27,134,62,65,
2020,11,100,82,7,6,9,2,2,11,6,2,2,2,7,4,5,9,3,5,
2020,12,총,"111,322","3,982","3,683","4,847","7,422","15,494","2,649","3,652","4,321","3,267","6,610","3,220","10,077","4,200","24,322","10,442","3,134",
2020,12,0,"8,427",241,259,239,420,"1,483",149,186,177,124,492,203,669,251,"1,916","1,447",171,
2020,12,10,"11,382",387,354,371,679,"2,419",129,192,269,172,583,221,991,289,"3,110","1,014",202,
2020,12,20,"13,575",418,427,616,983,"1,630",314,384,562,439,755,513,"1,360",524,"3,210","1,201",239,
2020,12,30,"12,857",360,459,432,802,"1,589",305,364,459,321,768,408,"1,107",428,"2,830","1,968",257,
2020,12,40,"17,279",549,559,639,"1,134","3,079",313,392,517,348,977,397,"1,558",547,"4,156","1,765",349,
2020,12,50,"17,396",638,520,814,"1,209","2,335",401,580,761,642,"1,022",476,"1,751",765,"3,661","1,361",460,
2020,12,60,"15,213",613,538,799,"1,052","1,596",450,623,808,641,"1,034",480,"1,412",723,"2,877","1,007",560,
2020,12,70,"9,634",508,377,585,674,816,391,602,509,386,640,352,828,461,"1,650",396,459,
2020,12,80,"4,602",218,164,289,391,445,161,264,226,165,281,139,330,180,764,217,368,
2020,12,90,874,43,20,54,76,100,25,59,31,27,56,24,67,27,139,62,64,
2020,12,100,83,7,6,9,2,2,11,6,2,2,2,7,4,5,9,4,5,
2021,1,총,"111,340","3,994","3,652","4,848","7,367","15,462","2,646","3,645","4,301","3,261","6,573","3,282","10,062","4,189","24,348","10,543","3,167",
2021,1,0,"8,388",245,255,243,411,"1,473",149,186,174,122,480,206,657,250,"1,902","1,459",176,
2021,1,10,"11,377",386,344,367,673,"2,413",126,194,269,172,581,229,986,283,"3,119","1,031",204,
2021,1,20,"13,588",425,423,622,977,"1,619",316,377,558,444,741,524,"1,374",525,"3,208","1,214",241,
2021,1,30,"12,835",360,452,427,794,"1,582",301,361,454,318,753,428,"1,107",426,"2,824","1,993",255,
2021,1,40,"17,301",552,557,635,"1,114","3,085",318,392,509,351,972,407,"1,550",544,"4,173","1,784",358,
2021,1,50,"17,338",643,525,812,"1,200","2,308",402,581,758,628,"1,025",475,"1,733",763,"3,655","1,361",469,
2021,1,60,"15,236",604,532,798,"1,052","1,611",447,624,803,645,"1,036",489,"1,412",722,"2,884","1,014",563,
2021,1,70,"9,687",513,372,588,675,826,387,599,514,388,647,349,838,466,"1,662",397,466,
2021,1,80,"4,624",214,166,290,392,443,163,268,229,165,281,144,333,178,768,224,366,
2021,1,90,886,45,21,57,77,100,26,57,31,26,55,24,68,27,145,63,64,
2021,1,100,80,7,5,9,2,2,11,6,2,2,2,7,4,5,8,3,5,
2021,2,총,"111,316","3,976","3,646","4,854","7,327","15,508","2,642","3,612","4,296","3,248","6,544","3,329","10,048","4,176","24,344","10,568","3,198",
2021,2,0,"8,421",238,261,242,399,"1,503",147,179,175,119,471,218,660,247,"1,912","1,471",179,
2021,2,10,"11,360",380,343,370,664,"2,432",123,194,268,170,584,235,971,281,"3,107","1,029",209,
2021,2,20,"13,457",421,417,620,971,"1,587",316,361,542,444,723,530,"1,383",519,"3,177","1,205",241,
2021,2,30,"12,786",364,447,425,779,"1,596",294,359,454,320,744,438,"1,094",422,"2,801","1,985",264,
2021,2,40,"17,335",551,557,628,"1,109","3,091",325,392,512,349,981,416,"1,544",543,"4,181","1,798",358,
2021,2,50,"17,357",642,518,824,"1,193","2,308",405,576,752,618,"1,017",480,"1,736",759,"3,684","1,374",471,
2021,2,60,"15,270",598,533,804,"1,066","1,617",445,618,810,647,"1,029",489,"1,413",724,"2,894","1,013",570,
2021,2,70,"9,691",513,374,585,673,822,386,603,518,385,650,349,839,468,"1,658",399,469,
2021,2,80,"4,673",218,170,290,393,450,163,268,232,166,286,142,338,181,777,229,370,
2021,2,90,885,44,21,57,78,99,27,56,31,28,57,25,66,27,145,62,62,
2021,2,100,81,7,5,9,2,3,11,6,2,2,2,7,4,5,8,3,5,
2021,3,총,"110,885","3,892","3,624","4,793","7,276","15,440","2,563","3,530","4,262","3,251","6,490","3,294","10,304","4,152","24,250","10,587","3,177",
2021,3,0,"8,413",241,257,234,393,"1,479",137,176,170,122,462,215,706,248,"1,918","1,480",175,
2021,3,10,"11,351",376,346,375,662,"2,439",123,195,270,169,574,230,"1,002",285,"3,059","1,042",204,
2021,3,20,"13,424",411,413,613,985,"1,581",315,363,527,448,723,526,"1,423",502,"3,165","1,193",236,
2021,3,30,"12,697",350,437,419,764,"1,563",291,344,453,323,739,436,"1,131",420,"2,785","1,979",263,
2021,3,40,"17,259",542,554,619,"1,092","3,098",317,380,508,345,961,411,"1,577",542,"4,144","1,812",357,
2021,3,50,"17,254",620,524,806,"1,175","2,295",387,558,746,616,"1,017",481,"1,774",752,"3,674","1,367",462,
2021,3,60,"15,286",589,532,796,"1,067","1,616",433,609,807,646,"1,025",489,"1,434",733,"2,911","1,021",578,
2021,3,70,"9,602",495,370,587,660,816,371,586,517,385,651,340,841,461,"1,663",397,462,
2021,3,80,"4,680",224,168,290,396,453,165,270,229,169,276,140,346,179,774,231,370,
2021,3,90,888,44,19,52,79,98,24,49,33,28,60,26,67,29,152,63,65,
2021,3,100,31,0,4,2,3,2,0,0,2,0,2,0,3,1,5,2,5,
2021,4,총,"110,844","3,863","3,599","4,763","7,254","15,398","2,556","3,522","4,252","3,241","6,497","3,272","10,493","4,128","24,199","10,625","3,182",
2021,4,0,"8,396",235,261,227,392,"1,465",133,175,168,121,461,214,724,247,"1,912","1,489",172,
2021,4,10,"11,312",373,344,374,661,"2,436",123,188,265,169,580,226,"1,020",284,"3,020","1,045",204,
2021,4,20,"13,421",404,404,604,983,"1,579",312,358,530,444,728,526,"1,459",500,"3,156","1,204",230,
2021,4,30,"12,627",347,429,415,758,"1,537",286,349,448,318,739,435,"1,155",406,"2,778","1,966",261,
2021,4,40,"17,264",536,558,621,"1,088","3,090",318,376,507,345,954,405,"1,608",539,"4,138","1,822",359,
2021,4,50,"17,236",615,514,796,"1,169","2,303",387,555,738,615,"1,014",468,"1,806",744,"3,665","1,376",471,
2021,4,60,"15,334",586,529,793,"1,066","1,620",434,607,809,649,"1,033",489,"1,453",740,"2,928","1,018",580,
2021,4,70,"9,615",494,370,589,660,816,370,591,518,380,647,340,844,460,"1,666",408,462,
2021,4,80,"4,706",230,167,289,395,452,169,273,230,171,279,142,349,179,780,229,372,
2021,4,90,899,43,19,53,79,98,24,50,37,29,60,26,72,28,149,66,66,
2021,4,100,34,0,4,2,3,2,0,0,2,0,2,1,3,1,7,2,5,
2021,5,총,"110,914","3,859","3,583","4,754","7,225","15,347","2,543","3,509","4,224","3,233","6,510","3,269","10,820","4,131","24,093","10,633","3,181",
2021,5,0,"8,388",235,258,223,394,"1,456",129,172,167,120,463,216,759,246,"1,897","1,481",172,
2021,5,10,"11,304",369,343,376,649,"2,418",125,189,259,169,582,219,"1,065",287,"2,996","1,053",205,
2021,5,20,"13,426",409,407,598,987,"1,578",309,362,528,429,732,537,"1,510",485,"3,131","1,198",226,
2021,5,30,"12,607",344,427,403,750,"1,529",285,344,444,321,730,439,"1,207",414,"2,754","1,957",259,
2021,5,40,"17,221",530,553,622,"1,068","3,067",311,376,505,345,957,394,"1,657",537,"4,113","1,831",355,
2021,5,50,"17,295",624,513,794,"1,173","2,304",389,549,728,617,"1,009",471,"1,855",751,"3,661","1,380",477,
2021,5,60,"15,392",584,527,799,"1,068","1,634",435,603,807,645,"1,043",488,"1,477",739,"2,931","1,031",581,
2021,5,70,"9,619",494,365,591,658,809,365,588,517,386,654,336,856,462,"1,668",407,463,
2021,5,80,"4,728",228,167,294,395,452,171,275,231,172,276,142,359,181,784,228,373,
2021,5,90,900,42,19,52,80,98,23,51,36,29,62,26,72,28,151,65,66,
2021,5,100,34,0,4,2,3,2,1,0,2,0,2,1,3,1,7,2,4,
2021,6,총,"111,025","3,842","3,559","4,763","7,200","15,312","2,547","3,487","4,208","3,248","6,488","3,269","11,058","4,122","24,100","10,613","3,209",
2021,6,0,"8,383",226,259,223,388,"1,443",131,167,165,123,464,219,787,246,"1,895","1,471",176,
2021,6,10,"11,287",371,338,378,640,"2,399",131,188,257,170,579,220,"1,085",284,"2,992","1,047",208,
2021,6,20,"13,431",407,405,595,977,"1,568",314,351,523,437,729,538,"1,545",491,"3,139","1,182",230,
2021,6,30,"12,605",338,425,400,755,"1,524",283,344,447,330,720,433,"1,242",410,"2,744","1,944",266,
2021,6,40,"17,241",530,545,625,"1,061","3,057",305,375,499,342,954,394,"1,707",537,"4,108","1,844",358,
2021,6,50,"17,249",609,508,799,"1,160","2,318",391,544,724,609,"1,002",466,"1,887",737,"3,647","1,370",478,
2021,6,60,"15,489",593,526,797,"1,076","1,644",433,608,801,649,"1,048",491,"1,492",743,"2,961","1,041",586,
2021,6,70,"9,663",495,363,598,663,808,363,587,524,382,650,335,872,467,"1,675",417,464,
2021,6,80,"4,747",231,167,293,401,449,173,274,232,175,278,146,364,179,780,231,374,
2021,6,90,896,42,19,53,76,100,22,49,34,31,62,26,74,27,152,64,65,
2021,6,100,34,0,4,2,3,2,1,0,2,0,2,1,3,1,7,2,4,
2021,7,총,"111,178","3,831","3,540","4,764","7,200","15,288","2,535","3,490","4,179","3,236","6,477","3,260","11,174","4,107","8,424","10,796","3,212","15,665"
2021,7,0,"8,368",219,258,228,390,"1,430",133,172,164,121,452,222,799,242,777,"1,481",177,"1,103"
2021,7,10,"11,314",373,334,371,639,"2,414",130,186,255,173,580,216,"1,087",286,832,"1,065",215,"2,158"
2021,7,20,"13,423",406,403,598,965,"1,551",306,347,517,436,727,534,"1,564",489,"1,117","1,219",228,"2,016"
2021,7,30,"12,655",339,424,400,769,"1,530",283,350,445,324,713,439,"1,253",401,"1,167","1,966",270,"1,582"
2021,7,40,"17,244",528,542,622,"1,058","3,042",307,375,497,336,951,389,"1,737",533,"1,380","1,866",356,"2,725"
2021,7,50,"17,225",603,509,800,"1,156","2,310",388,535,706,601,"1,006",466,"1,910",722,"1,132","1,401",476,"2,504"
2021,7,60,"15,565",595,516,800,"1,078","1,644",427,609,803,651,"1,058",492,"1,500",757,"1,088","1,069",583,"1,895"
2021,7,70,"9,687",496,365,602,669,810,360,586,521,387,646,331,882,469,596,426,463,"1,078"
2021,7,80,"4,754",230,164,290,398,452,177,276,235,177,279,141,365,181,270,235,373,511
2021,7,90,909,42,21,51,75,102,23,54,34,30,64,29,73,26,59,66,67,93
2021,7,100,34,0,4,2,3,3,1,0,2,0,1,1,4,1,6,2,4,0
2021,8,총,"111,170","3,817","3,524","4,759","7,174","15,280","2,535","3,497","4,168","3,223","6,483","3,240","11,232","4,109","8,407","10,854","3,198","15,670"
2021,8,0,"8,343",220,251,224,389,"1,432",133,173,160,117,450,223,807,243,772,"1,480",176,"1,093"
2021,8,10,"11,282",370,334,365,630,"2,406",133,185,253,169,580,214,"1,089",276,829,"1,071",213,"2,165"
2021,8,20,"13,429",405,405,596,970,"1,546",304,348,520,434,728,532,"1,573",488,"1,110","1,221",226,"2,023"
2021,8,30,"12,586",332,418,396,750,"1,532",277,355,444,323,709,434,"1,264",410,"1,150","1,967",268,"1,557"
2021,8,40,"17,268",526,541,621,"1,053","3,033",315,378,484,339,951,383,"1,748",539,"1,388","1,882",350,"2,737"
2021,8,50,"17,215",602,505,798,"1,156","2,316",387,523,710,597,"1,002",460,"1,916",719,"1,134","1,419",475,"2,496"
2021,8,60,"15,647",589,519,807,"1,080","1,651",421,613,802,651,"1,068",497,"1,512",761,"1,091","1,089",585,"1,911"
2021,8,70,"9,670",498,361,605,665,810,361,587,521,391,651,326,878,462,594,426,461,"1,073"
2021,8,80,"4,804",233,166,295,404,453,181,281,239,172,279,141,371,185,275,234,374,521
2021,8,90,892,42,20,50,74,99,22,53,33,30,64,29,71,25,58,62,66,94
2021,8,100,34,0,4,2,3,2,1,1,2,0,1,1,3,1,6,3,4,0
2021,9,총,"111,333","3,828","3,497","4,745","7,176","15,275","2,524","3,617","4,169","3,223","6,481","3,243","11,260","4,089","8,409","10,936","3,191","15,670"
2021,9,0,"8,326",224,249,219,389,"1,426",132,192,158,116,447,222,810,238,767,"1,482",170,"1,085"
2021,9,10,"11,291",373,325,365,634,"2,417",133,188,257,164,584,216,"1,085",267,825,"1,082",215,"2,161"
2021,9,20,"13,463",405,404,587,966,"1,543",293,372,521,438,728,544,"1,577",483,"1,102","1,251",223,"2,026"
2021,9,30,"12,609",328,416,396,750,"1,523",275,386,438,327,705,432,"1,276",410,"1,152","1,982",268,"1,545"
2021,9,40,"17,272",532,533,615,"1,041","3,038",313,393,485,342,950,376,"1,762",530,"1,388","1,880",350,"2,744"
2021,9,50,"17,238",602,502,798,"1,163","2,318",385,536,710,592,999,465,"1,908",721,"1,137","1,442",473,"2,487"
2021,9,60,"15,679",589,519,808,"1,087","1,640",422,619,797,646,"1,073",491,"1,522",763,"1,101","1,092",582,"1,928"
2021,9,70,"9,680",498,359,601,662,812,366,593,521,391,656,324,880,465,597,423,461,"1,071"
2021,9,80,"4,846",234,166,304,405,457,183,288,244,176,274,145,368,186,275,237,379,525
2021,9,90,897,43,20,50,76,99,21,49,36,31,64,28,69,25,59,63,66,98
