년도,월,나이,울릉군,울릉읍,서면,서면태하출장소,북면
2020,12,50,769,553,79,37,100
2020,12,60,831,574,76,49,132
2020,12,70,566,365,69,43,89
2020,12,80,306,171,52,18,65
2020,12,90,56,25,5,11,15
2020,12,100,7,7,0,0,0
2021,1,총,"4,102","2,909",399,204,590
2021,1,0,188,139,20,6,23
2021,1,10,221,189,12,4,16
2021,1,20,330,259,17,13,41
2021,1,30,337,252,27,12,46
2021,1,40,497,384,40,11,62
2021,1,50,759,545,79,37,98
2021,1,60,839,579,78,48,134
2021,1,70,565,362,69,45,89
2021,1,80,302,168,52,17,65
2021,1,90,57,25,5,11,16
2021,1,100,7,7,0,0,0
2021,2,총,"4,085","2,890",398,204,593
2021,2,0,192,139,22,6,25
2021,2,10,217,183,12,4,18
2021,2,20,321,251,17,12,41
2021,2,30,337,253,28,12,44
2021,2,40,493,379,38,11,65
2021,2,50,752,537,78,38,99
2021,2,60,837,581,78,48,130
2021,2,70,566,364,68,44,90
2021,2,80,302,168,52,17,65
2021,2,90,61,28,5,12,16
2021,2,100,7,7,0,0,0
2021,3,총,"4,075","2,885",394,201,595
2021,3,0,190,140,21,6,23
2021,3,10,222,184,12,5,21
2021,3,20,315,244,16,12,43
2021,3,30,331,250,27,11,43
2021,3,40,492,381,38,9,64
2021,3,50,745,533,78,37,97
2021,3,60,838,582,76,48,132
2021,3,70,566,366,67,42,91
2021,3,80,309,170,54,19,66
2021,3,90,58,26,5,12,15
2021,3,100,9,9,0,0,0
2021,4,총,"4,074","2,887",394,199,594
2021,4,0,191,141,20,6,24
2021,4,10,218,181,12,5,20
2021,4,20,318,247,15,13,43
2021,4,30,330,251,26,11,42
2021,4,40,488,382,38,7,61
2021,4,50,743,530,79,37,97
2021,4,60,844,583,79,48,134
2021,4,70,565,367,67,40,91
2021,4,80,309,168,53,21,67
2021,4,90,59,28,5,11,15
2021,4,100,9,9,0,0,0
2021,5,총,"4,069","2,884",395,197,593
2021,5,0,192,143,20,6,23
2021,5,10,219,180,13,5,21
2021,5,20,318,247,15,13,43
2021,5,30,328,249,27,11,41
2021,5,40,486,381,37,7,61
2021,5,50,737,529,77,34,97
2021,5,60,844,584,79,49,132
2021,5,70,567,366,69,39,93
2021,5,80,307,165,53,22,67
2021,5,90,62,31,5,11,15
2021,5,100,9,9,0,0,0
2021,6,총,"4,055","2,865",393,202,595
2021,6,0,198,146,20,9,23
2021,6,10,219,179,14,6,20
2021,6,20,310,242,14,13,41
2021,6,30,336,251,28,14,43
2021,6,40,489,384,36,7,62
2021,6,50,730,526,76,33,95
2021,6,60,844,582,79,48,135
2021,6,70,562,362,69,37,94
2021,6,80,303,161,52,23,67
2021,6,90,61,29,5,12,15
2021,6,100,3,3,0,0,0
2021,7,총,"4,063","2,863",397,204,599
2021,7,0,196,143,20,9,24
2021,7,10,219,179,14,6,20
2021,7,20,315,245,15,13,42
2021,7,30,340,253,29,15,43
2021,7,40,485,380,36,7,62
2021,7,50,721,517,74,33,97
2021,7,60,854,588,82,49,135
2021,7,70,565,365,68,38,94
2021,7,80,303,160,54,22,67
2021,7,90,62,30,5,12,15
2021,7,100,3,3,0,0,0
2021,8,총,"4,046","2,856",402,199,589
2021,8,0,187,136,21,7,23
2021,8,10,223,184,14,6,19
2021,8,20,319,246,16,13,44
2021,8,30,335,254,29,13,39
2021,8,40,477,374,38,7,58
2021,8,50,719,514,74,33,98
2021,8,60,855,591,84,48,132
2021,8,70,564,364,68,39,93
2021,8,80,302,160,53,22,67
2021,8,90,62,30,5,11,16
2021,8,100,3,3,0,0,0
2021,9,총,"4,008","2,839",402,192,575
2021,9,0,186,138,21,5,22
2021,9,10,222,184,13,6,19
2021,9,20,313,240,18,13,42
2021,9,30,324,247,30,12,35
2021,9,40,477,373,39,7,58
2021,9,50,707,506,73,32,96
2021,9,60,858,596,84,47,131
2021,9,70,554,356,66,39,93
2021,9,80,303,164,53,22,64
2021,9,90,61,32,5,9,15
2021,9,100,3,3,0,0,0
2021,10,총,"4,027","2,847",407,199,574
2021,10,0,187,139,21,5,22
2021,10,10,224,185,14,6,19
2021,10,20,309,235,19,13,42
2021,10,30,329,252,28,12,37
2021,10,40,472,367,40,7,58
2021,10,50,719,515,73,35,96
2021,10,60,867,601,87,50,129
2021,10,70,555,357,66,39,93
2021,10,80,299,159,54,22,64
2021,10,90,63,34,5,10,14
2021,10,100,3,3,0,0,0
2021,11,총,"4,026","2,835",414,197,580
2021,11,0,183,132,24,5,22
2021,11,10,226,188,12,7,19
2021,11,20,309,234,21,11,43
2021,11,30,331,250,31,12,38
2021,11,40,471,364,41,7,59
2021,11,50,719,512,75,34,98
2021,11,60,869,603,86,51,129
2021,11,70,555,357,66,38,94
2021,11,80,301,161,54,22,64
2021,11,90,60,32,4,10,14
2021,11,100,2,2,0,0,0
2021,12,총,"4,016","2,832",410,201,573
2021,12,0,180,127,24,6,23
2021,12,10,224,188,11,7,18
2021,12,20,314,237,22,11,44
2021,12,30,322,242,31,13,36
2021,12,40,465,361,40,7,57
2021,12,50,730,524,74,35,97
2021,12,60,865,599,86,51,129
2021,12,70,553,361,63,37,92
2021,12,80,302,160,55,23,64
2021,12,90,59,31,4,11,13
2021,12,100,2,2,0,0,0
