년도,월,나이,전라북도 완주군,전라북도 완주군 삼례읍,전라북도 완주군 봉동읍,전라북도 완주군 용진읍,전라북도 완주군 상관면,전라북도 완주군 이서면,전라북도 완주군 소양면,전라북도 완주군 구이면,전라북도 완주군 고산면,전라북도 완주군 비봉면,전라북도 완주군 운주면,전라북도 완주군 화산면,전라북도 완주군 동상면,전라북도 완주군 경천면
2020,6,총,"47,126","7,250","13,565","3,722","2,290","7,275","3,201","2,932","2,448",971,970,"1,454",557,491
2020,6,0,"3,662",350,"1,609",198,166,886,118,87,119,36,25,39,21,8
2020,6,10,"4,381",623,"1,758",295,205,672,189,204,174,61,41,115,20,24
2020,6,20,"4,974",920,"1,508",423,230,715,319,287,241,71,55,129,44,32
2020,6,30,"4,981",671,"1,754",330,195,"1,147",248,189,201,56,56,78,27,29
2020,6,40,"7,574","1,150","2,594",544,348,"1,373",367,331,327,116,120,192,60,52
2020,6,50,"8,552","1,404","2,029",756,450,"1,135",690,667,494,191,209,296,136,95
2020,6,60,"6,953","1,139","1,267",619,354,769,689,660,450,206,232,295,149,124
2020,6,70,"4,139",663,738,380,254,411,402,351,291,156,156,191,69,77
2020,6,80,"1,740",301,276,154,82,152,168,143,139,67,71,110,29,48
2020,6,90,160,27,30,22,6,15,9,13,11,9,5,9,2,2
2020,6,100,10,2,2,1,0,0,2,0,1,2,0,0,0,0
2020,7,총,"47,139","7,244","13,571","3,722","2,288","7,284","3,210","2,929","2,442",974,968,"1,448",561,498
2020,7,0,"3,630",345,"1,601",194,160,876,118,85,121,37,24,40,21,8
2020,7,10,"4,371",616,"1,761",295,204,674,190,200,173,60,42,114,19,23
2020,7,20,"4,986",921,"1,512",420,234,726,312,294,239,71,54,123,46,34
2020,7,30,"4,970",681,"1,747",330,188,"1,138",257,188,198,54,54,78,27,30
2020,7,40,"7,563","1,145","2,591",544,349,"1,371",366,329,329,113,116,196,61,53
2020,7,50,"8,541","1,392","2,034",752,453,"1,140",682,667,491,195,209,294,136,96
2020,7,60,"6,994","1,148","1,270",628,357,779,697,657,446,206,237,294,151,124
2020,7,70,"4,160",664,746,382,252,414,402,353,293,159,154,192,70,79
2020,7,80,"1,753",302,278,155,85,149,175,143,139,68,73,109,28,49
2020,7,90,161,28,29,21,6,17,9,13,12,9,5,8,2,2
2020,7,100,10,2,2,1,0,0,2,0,1,2,0,0,0,0
2020,8,총,"47,109","7,280","13,542","3,707","2,286","7,263","3,197","2,935","2,435",977,975,"1,447",565,500
2020,8,0,"3,603",350,"1,584",188,150,874,118,86,121,37,24,40,22,9
2020,8,10,"4,349",608,"1,761",293,204,669,189,199,173,59,42,111,18,23
2020,8,20,"4,979",944,"1,510",415,237,716,306,293,230,72,53,122,47,34
2020,8,30,"4,948",683,"1,727",326,187,"1,142",255,190,195,54,58,76,26,29
2020,8,40,"7,557","1,144","2,601",533,345,"1,371",368,325,332,112,115,197,62,52
2020,8,50,"8,533","1,402","2,023",752,455,"1,134",677,671,482,194,212,294,139,98
2020,8,60,"7,023","1,148","1,273",638,360,777,693,660,451,209,240,297,152,125
2020,8,70,"4,184",667,752,386,255,411,406,354,297,159,155,194,69,79
2020,8,80,"1,761",305,278,155,87,153,174,144,139,70,71,108,28,49
2020,8,90,162,27,31,20,6,16,9,13,14,9,5,8,2,2
2020,8,100,10,2,2,1,0,0,2,0,1,2,0,0,0,0
2020,9,총,"47,149","7,293","13,564","3,708","2,279","7,274","3,198","2,944","2,428",980,976,"1,444",564,497
2020,9,0,"3,562",343,"1,570",186,147,858,118,86,122,35,25,41,22,9
2020,9,10,"4,349",607,"1,768",287,202,672,187,196,173,60,40,116,18,23
2020,9,20,"5,010",951,"1,523",422,236,717,314,297,226,73,55,120,46,30
2020,9,30,"4,939",677,"1,730",324,182,"1,144",253,190,199,52,62,73,25,28
2020,9,40,"7,548","1,149","2,591",526,346,"1,374",363,330,331,113,112,199,62,52
2020,9,50,"8,520","1,399","2,038",750,450,"1,140",674,660,478,196,210,289,138,98
2020,9,60,"7,070","1,158","1,271",649,368,785,695,667,447,212,240,297,155,126
2020,9,70,"4,213",670,759,386,254,415,409,362,300,159,154,197,69,79
2020,9,80,"1,760",309,280,157,87,152,173,143,137,69,73,104,27,49
2020,9,90,168,28,32,20,7,17,10,13,14,9,5,8,2,3
2020,9,100,10,2,2,1,0,0,2,0,1,2,0,0,0,0
2020,10,총,"47,023","7,290","13,508","3,703","2,270","7,241","3,195","2,945","2,417",977,974,"1,442",564,497
2020,10,0,"3,520",345,"1,541",182,145,848,117,90,121,35,25,40,22,9
2020,10,10,"4,352",609,"1,768",287,200,672,192,195,173,59,39,117,17,24
2020,10,20,"4,983",945,"1,514",428,237,706,307,299,225,74,55,116,47,30
2020,10,30,"4,862",670,"1,705",315,182,"1,122",251,188,192,52,61,72,26,26
2020,10,40,"7,515","1,151","2,585",530,335,"1,371",361,327,324,110,111,198,59,53
2020,10,50,"8,510","1,401","2,034",742,455,"1,142",672,657,476,198,211,288,138,96
2020,10,60,"7,106","1,156","1,286",651,370,791,699,672,449,211,239,297,158,127
2020,10,70,"4,234",673,760,392,251,419,413,360,303,159,154,201,69,80
2020,10,80,"1,760",310,282,154,88,151,171,144,138,68,74,105,26,49
2020,10,90,171,28,31,21,7,19,10,13,15,9,5,8,2,3
2020,10,100,10,2,2,1,0,0,2,0,1,2,0,0,0,0
2020,11,총,"46,970","7,310","13,502","3,690","2,272","7,223","3,192","2,919","2,414",972,978,"1,443",561,494
2020,11,0,"3,479",345,"1,518",175,144,841,116,89,121,35,24,41,22,8
2020,11,10,"4,333",598,"1,766",282,200,667,194,197,177,58,40,113,17,24
2020,11,20,"4,967",949,"1,512",424,238,704,302,289,224,74,57,118,46,30
2020,11,30,"4,833",678,"1,688",312,177,"1,113",253,184,195,49,61,72,25,26
2020,11,40,"7,490","1,147","2,604",516,333,"1,361",357,319,325,111,109,197,58,53
2020,11,50,"8,502","1,413","2,027",750,461,"1,145",669,651,470,194,208,286,134,94
2020,11,60,"7,163","1,164","1,309",654,374,799,702,673,446,212,242,299,162,127
2020,11,70,"4,261",676,759,402,247,424,417,360,304,160,158,204,69,81
2020,11,80,"1,765",311,287,154,91,149,171,146,135,69,74,104,26,48
2020,11,90,167,27,30,20,7,20,9,11,16,8,5,9,2,3
2020,11,100,10,2,2,1,0,0,2,0,1,2,0,0,0,0
2020,12,총,"47,077","7,350","13,561","3,711","2,260","7,229","3,204","2,911","2,413",972,978,"1,434",558,496
2020,12,0,"3,476",350,"1,514",179,146,838,111,89,122,35,23,39,22,8
2020,12,10,"4,339",593,"1,787",281,194,673,191,195,176,55,38,115,16,25
2020,12,20,"4,999",960,"1,525",428,231,710,304,290,224,76,55,118,48,30
2020,12,30,"4,841",694,"1,689",309,176,"1,109",254,183,193,51,60,72,25,26
2020,12,40,"7,514","1,146","2,614",522,331,"1,369",363,317,327,111,109,193,57,55
2020,12,50,"8,490","1,422","2,039",752,460,"1,135",663,645,467,190,209,282,133,93
2020,12,60,"7,184","1,161","1,308",661,377,799,711,668,453,216,245,298,160,127
2020,12,70,"4,286",680,768,402,249,427,422,365,299,158,160,206,70,80
2020,12,80,"1,772",316,283,157,89,149,174,148,135,71,74,102,25,49
2020,12,90,168,27,32,20,7,20,9,11,16,7,5,9,2,3
2020,12,100,8,1,2,0,0,0,2,0,1,2,0,0,0,0
2021,1,총,"46,960","7,354","13,541","3,684","2,252","7,195","3,194","2,911","2,400",964,979,"1,436",554,496
2021,1,0,"3,421",342,"1,486",175,147,822,112,91,119,34,23,40,22,8
2021,1,10,"4,323",591,"1,772",276,194,678,193,193,173,55,38,119,16,25
2021,1,20,"4,961",957,"1,532",422,224,701,298,289,220,72,54,115,47,30
2021,1,30,"4,774",692,"1,674",292,171,"1,096",247,185,188,48,58,73,25,25
2021,1,40,"7,511","1,154","2,613",527,330,"1,359",365,313,324,114,114,188,57,53
2021,1,50,"8,465","1,417","2,040",745,460,"1,134",656,639,471,189,206,284,131,93
2021,1,60,"7,235","1,167","1,333",669,380,805,713,676,449,215,244,299,159,126
2021,1,70,"4,310",687,773,398,249,428,423,365,305,157,164,207,70,84
2021,1,80,"1,779",318,284,160,90,152,175,149,132,70,73,102,25,49
2021,1,90,173,28,32,20,7,20,10,11,18,8,5,9,2,3
2021,1,100,8,1,2,0,0,0,2,0,1,2,0,0,0,0
2021,2,총,"46,951","7,351","13,514","3,681","2,264","7,195","3,203","2,913","2,402",961,974,"1,450",549,494
2021,2,0,"3,384",338,"1,468",174,146,812,110,91,119,32,24,41,21,8
2021,2,10,"4,314",588,"1,764",270,197,675,196,194,171,57,36,125,16,25
2021,2,20,"4,949",963,"1,523",418,228,697,299,291,219,69,51,116,45,30
2021,2,30,"4,777",692,"1,669",296,173,"1,105",243,186,183,49,55,75,26,25
2021,2,40,"7,481","1,146","2,607",515,333,"1,358",369,307,330,112,111,186,55,52
2021,2,50,"8,438","1,410","2,033",753,456,"1,134",651,634,467,187,206,284,130,93
2021,2,60,"7,305","1,174","1,354",673,386,811,718,685,451,216,248,302,160,127
2021,2,70,"4,319",690,774,398,247,430,427,366,308,159,163,208,68,81
2021,2,80,"1,798",319,287,163,92,152,178,148,135,70,74,104,25,51
2021,2,90,178,30,33,21,6,21,10,11,18,8,6,9,3,2
2021,2,100,8,1,2,0,0,0,2,0,1,2,0,0,0,0
2021,3,총,"46,833","7,353","13,446","3,678","2,256","7,193","3,183","2,910","2,400",959,969,"1,435",551,500
2021,3,0,"3,348",336,"1,444",175,141,813,111,87,119,32,24,39,20,7
2021,3,10,"4,284",590,"1,752",268,196,673,195,191,167,55,38,119,17,23
2021,3,20,"4,928",970,"1,512",412,225,691,298,289,220,69,49,117,44,32
2021,3,30,"4,744",694,"1,640",296,172,"1,105",244,180,183,50,55,73,26,26
2021,3,40,"7,445","1,143","2,591",517,331,"1,355",361,309,324,111,110,184,56,53
2021,3,50,"8,417","1,404","2,033",750,457,"1,136",647,635,460,188,204,280,129,94
2021,3,60,"7,364","1,177","1,371",683,389,806,715,695,465,217,249,304,164,129
2021,3,70,"4,313",689,780,392,245,437,425,364,308,157,159,208,67,82
2021,3,80,"1,807",318,290,164,94,155,178,149,134,72,75,101,25,52
2021,3,90,177,30,31,21,6,22,8,11,19,8,6,10,3,2
2021,3,100,6,2,2,0,0,0,1,0,1,0,0,0,0,0
2021,4,총,"46,842","7,368","13,465","3,685","2,252","7,189","3,171","2,903","2,392",956,965,"1,436",559,501
2021,4,0,"3,331",333,"1,440",170,141,808,110,88,120,30,24,39,20,8
2021,4,10,"4,270",579,"1,752",266,192,679,193,188,165,55,38,121,19,23
2021,4,20,"4,929",966,"1,527",414,229,693,294,281,218,68,47,115,44,33
2021,4,30,"4,736",699,"1,639",300,167,"1,092",243,182,185,50,56,70,27,26
2021,4,40,"7,390","1,137","2,579",509,329,"1,342",359,305,318,112,109,180,59,52
2021,4,50,"8,456","1,420","2,053",757,456,"1,149",642,633,454,185,202,286,128,91
2021,4,60,"7,406","1,182","1,371",691,391,812,714,701,471,217,250,306,168,132
2021,4,70,"4,327",698,777,392,246,441,426,367,309,158,159,208,65,81
2021,4,80,"1,812",322,294,165,95,152,179,147,132,73,75,101,25,52
2021,4,90,179,30,31,21,6,21,10,11,19,8,5,10,4,3
2021,4,100,6,2,2,0,0,0,1,0,1,0,0,0,0,0
2021,5,총,"46,841","7,403","13,480","3,681","2,252","7,168","3,160","2,898","2,383",962,962,"1,434",557,501
2021,5,0,"3,301",337,"1,426",171,141,800,107,84,115,30,25,38,19,8
2021,5,10,"4,278",575,"1,760",264,195,679,191,190,165,53,40,122,21,23
2021,5,20,"4,942",976,"1,540",412,225,687,296,279,218,70,47,117,43,32
2021,5,30,"4,709",708,"1,632",292,169,"1,077",238,180,187,51,54,68,25,28
2021,5,40,"7,351","1,119","2,579",507,323,"1,337",354,308,312,113,112,174,61,52
2021,5,50,"8,458","1,431","2,059",757,455,"1,150",638,625,455,186,198,286,129,89
2021,5,60,"7,460","1,203","1,376",696,396,823,718,703,468,219,250,307,167,134
2021,5,70,"4,328",699,779,393,245,445,424,370,306,158,154,210,65,80
2021,5,80,"1,831",325,295,167,98,150,184,148,137,74,78,101,22,52
2021,5,90,177,28,32,22,5,20,9,11,19,8,4,11,5,3
2021,5,100,6,2,2,0,0,0,1,0,1,0,0,0,0,0
2021,6,총,"46,782","7,393","13,504","3,671","2,235","7,158","3,140","2,897","2,382",962,970,"1,419",552,499
2021,6,0,"3,273",335,"1,414",169,143,798,105,81,112,28,25,36,19,8
2021,6,10,"4,277",574,"1,766",265,188,675,190,194,165,53,40,123,21,23
2021,6,20,"4,944",975,"1,555",408,226,686,290,282,221,68,47,113,42,31
2021,6,30,"4,689",710,"1,633",290,169,"1,068",236,180,183,49,54,65,24,28
2021,6,40,"7,306","1,112","2,572",503,320,"1,333",347,308,311,114,108,170,56,52
2021,6,50,"8,433","1,419","2,058",762,450,"1,149",630,623,453,185,204,280,132,88
2021,6,60,"7,519","1,210","1,395",695,396,830,724,703,477,225,253,312,166,133
2021,6,70,"4,328",697,783,389,241,448,427,367,303,157,157,212,66,81
2021,6,80,"1,825",331,291,167,96,151,181,148,137,75,78,98,21,51
2021,6,90,182,28,35,23,6,20,9,11,19,8,4,10,5,4
2021,6,100,6,2,2,0,0,0,1,0,1,0,0,0,0,0
2021,7,총,"46,854","7,371","13,667","3,630","2,235","7,160","3,137","2,894","2,367",961,972,"1,411",553,496
2021,7,0,"3,252",338,"1,415",163,141,796,100,79,107,27,25,35,18,8
2021,7,10,"4,275",566,"1,784",260,189,676,187,190,163,55,39,124,20,22
2021,7,20,"4,981",980,"1,583",401,227,693,294,284,221,65,45,114,43,31
2021,7,30,"4,665",694,"1,658",280,162,"1,058",232,182,181,51,54,64,24,25
2021,7,40,"7,302","1,100","2,590",497,329,"1,334",346,303,311,112,108,166,55,51
2021,7,50,"8,450","1,420","2,096",757,446,"1,144",633,625,446,185,202,278,129,89
2021,7,60,"7,581","1,220","1,427",692,397,836,726,703,480,226,258,312,171,133
2021,7,70,"4,328",694,783,389,241,451,426,370,303,156,157,212,67,79
2021,7,80,"1,832",330,295,168,97,153,179,147,137,76,80,95,21,54
2021,7,90,182,27,34,23,6,19,13,11,17,8,4,11,5,4
2021,7,100,6,2,2,0,0,0,1,0,1,0,0,0,0,0
2021,8,총,"46,887","7,367","13,724","3,640","2,232","7,164","3,129","2,888","2,353",962,975,"1,407",552,494
2021,8,0,"3,219",335,"1,410",165,137,784,99,79,99,28,24,34,17,8
2021,8,10,"4,285",561,"1,792",263,187,687,184,187,165,55,40,122,21,21
2021,8,20,"4,968",975,"1,599",396,224,683,292,286,217,66,43,114,42,31
2021,8,30,"4,654",691,"1,665",278,161,"1,058",229,177,179,50,56,63,23,24
2021,8,40,"7,301","1,096","2,593",495,332,"1,342",338,304,311,112,108,165,55,50
2021,8,50,"8,472","1,423","2,108",761,443,"1,143",639,628,447,186,202,274,127,91
2021,8,60,"7,624","1,231","1,436",699,402,844,725,704,474,227,259,316,175,132
2021,8,70,"4,341",697,785,391,243,452,427,370,305,155,158,213,66,79
2021,8,80,"1,830",327,300,170,97,152,178,143,138,75,81,94,21,54
2021,8,90,187,29,34,22,6,19,17,10,17,8,4,12,5,4
2021,8,100,6,2,2,0,0,0,1,0,1,0,0,0,0,0
2021,9,총,"46,839","7,377","13,735","3,601","2,223","7,171","3,112","2,890","2,339",956,978,"1,406",555,496
2021,9,0,"3,197",332,"1,399",162,138,783,96,79,98,28,24,34,16,8
2021,9,10,"4,275",564,"1,788",260,189,686,184,187,162,55,40,118,22,20
2021,9,20,"4,930",967,"1,606",380,216,682,289,285,210,65,41,113,42,34
2021,9,30,"4,632",691,"1,656",275,163,"1,056",225,177,176,50,56,60,23,24
2021,9,40,"7,263","1,089","2,603",486,327,"1,341",331,302,307,106,107,161,53,50
2021,9,50,"8,506","1,435","2,113",759,437,"1,151",624,633,454,188,206,284,129,93
2021,9,60,"7,641","1,234","1,442",695,404,848,735,704,471,229,259,312,178,130
2021,9,70,"4,363",704,791,393,245,455,432,370,303,150,158,218,65,79
2021,9,80,"1,837",329,300,169,98,151,178,143,140,78,83,92,22,54
2021,9,90,189,30,35,22,6,18,17,10,17,7,4,14,5,4
2021,9,100,6,2,2,0,0,0,1,0,1,0,0,0,0,0
2021,10,총,"46,840","7,386","13,751","3,615","2,217","7,156","3,112","2,882","2,338",953,976,"1,401",558,495
2021,10,0,"3,191",333,"1,392",167,137,775,102,80,98,27,23,34,15,8
2021,10,10,"4,282",563,"1,802",262,187,691,182,183,156,56,39,118,23,20
2021,10,20,"4,917",961,"1,599",380,214,685,292,283,211,64,39,111,44,34
2021,10,30,"4,614",696,"1,663",275,159,"1,041",220,175,173,49,57,60,22,24
2021,10,40,"7,246","1,088","2,597",485,329,"1,336",332,299,305,109,106,159,52,49
2021,10,50,"8,500","1,440","2,115",759,436,"1,153",615,629,456,184,207,284,130,92
2021,10,60,"7,696","1,243","1,453",700,403,853,737,716,476,234,260,310,180,131
2021,10,70,"4,353",702,791,395,246,454,434,362,304,147,157,217,65,79
2021,10,80,"1,841",327,301,170,100,150,180,145,140,76,83,93,22,54
2021,10,90,194,31,36,22,6,18,17,10,18,7,5,15,5,4
2021,10,100,6,2,2,0,0,0,1,0,1,0,0,0,0,0
2021,11,총,"46,847","7,418","13,742","3,613","2,221","7,146","3,107","2,885","2,341",946,969,"1,400",558,501
2021,11,0,"3,174",333,"1,381",165,137,763,105,82,101,26,23,36,14,8
2021,11,10,"4,304",570,"1,812",258,184,702,182,184,155,56,39,118,24,20
2021,11,20,"4,893",973,"1,578",385,210,678,286,282,206,66,37,112,45,35
2021,11,30,"4,588",702,"1,642",272,158,"1,035",218,175,179,48,54,59,22,24
2021,11,40,"7,239","1,084","2,607",487,331,"1,334",332,296,298,105,109,154,51,51
2021,11,50,"8,495","1,435","2,130",756,435,"1,141",615,626,457,186,205,287,129,93
2021,11,60,"7,749","1,258","1,462",698,407,864,737,724,480,231,259,313,183,133
2021,11,70,"4,354",696,790,399,251,460,429,361,307,147,155,215,64,80
2021,11,80,"1,850",336,303,171,101,150,185,145,138,74,83,91,21,52
2021,11,90,195,29,35,22,7,19,17,10,19,7,5,15,5,5
2021,11,100,6,2,2,0,0,0,1,0,1,0,0,0,0,0
2021,12,총,"46,845","7,412","13,759","3,607","2,223","7,142","3,102","2,886","2,340",951,971,"1,394",558,500
2021,12,0,"3,148",328,"1,380",164,132,749,108,82,98,26,23,35,14,9
2021,12,10,"4,296",561,"1,809",260,186,700,181,182,158,58,39,118,24,20
2021,12,20,"4,904",968,"1,584",383,212,686,282,291,210,66,37,108,42,35
2021,12,30,"4,582",713,"1,627",269,159,"1,029",219,175,177,50,55,63,24,22
2021,12,40,"7,212","1,072","2,610",483,327,"1,337",331,294,291,103,109,152,52,51
2021,12,50,"8,516","1,442","2,148",744,445,"1,142",613,623,459,187,205,286,126,96
2021,12,60,"7,750","1,255","1,464",707,400,864,738,724,479,231,260,310,186,132
2021,12,70,"4,369",706,796,404,253,459,424,359,309,148,153,215,63,80
2021,12,80,"1,867",337,305,171,102,156,187,145,139,75,85,92,22,51
2021,12,90,195,29,34,21,7,20,18,11,19,7,5,15,5,4
2021,12,100,6,1,2,1,0,0,1,0,1,0,0,0,0,0
