년도,월,나이,서울특별시 도봉구,서울특별시 도봉구 창제1동,서울특별시 도봉구 창제2동,서울특별시 도봉구 창제3동,서울특별시 도봉구 창제4동,서울특별시 도봉구 창제5동,서울특별시 도봉구 도봉제1동,서울특별시 도봉구 도봉제2동,서울특별시 도봉구 쌍문제1동,서울특별시 도봉구 쌍문제2동,서울특별시 도봉구 쌍문제3동,서울특별시 도봉구 쌍문제4동,서울특별시 도봉구 방학제1동,서울특별시 도봉구 방학제2동,서울특별시 도봉구 방학제3동
2021,2,40,"48,049","4,072","4,563","2,163","4,377","3,560","2,945","3,769","3,209","2,746","2,429","2,941","4,203","2,875","4,197"
2021,2,50,"56,791","4,220","5,129","2,589","4,916","4,416","3,799","4,489","3,676","3,310","2,850","3,397","5,404","3,776","4,820"
2021,2,60,"50,170","3,480","4,194","2,203","3,532","3,632","3,964","4,961","3,370","3,056","2,487","2,848","4,627","3,369","4,447"
2021,2,70,"27,769","1,999","2,301","1,379","1,723","1,806","2,712","2,830","2,059","1,651","1,632","1,186","2,605","1,973","1,913"
2021,2,80,"11,779",903,962,529,898,800,"1,026","1,147",858,744,608,581,959,759,"1,005"
2021,2,90,"1,691",119,105,54,139,133,129,180,104,107,84,105,160,111,161
2021,2,100,176,7,3,11,9,12,17,28,16,19,8,7,13,17,9
2021,3,총,"321,717","25,013","29,385","14,153","26,960","24,944","21,333","27,401","21,690","18,921","16,734","18,928","28,717","19,946","27,592"
2021,3,0,"18,135","1,517","1,743",750,"1,739","1,541",848,"1,582","1,172",987,777,"1,170","1,510",898,"1,901"
2021,3,10,"25,215","2,130","2,260","1,085","2,604","1,934","1,165","1,684","1,605","1,354","1,022","1,985","2,188","1,478","2,721"
2021,3,20,"42,807","3,265","4,100","1,795","3,683","3,660","2,597","3,311","3,029","2,515","2,501","2,516","3,818","2,675","3,342"
2021,3,30,"40,154","3,321","4,061","1,678","3,374","3,508","2,331","3,567","2,598","2,534","2,330","2,288","3,293","2,152","3,119"
2021,3,40,"47,634","4,032","4,548","2,134","4,339","3,541","2,883","3,729","3,196","2,723","2,416","2,907","4,180","2,845","4,161"
2021,3,50,"56,449","4,230","5,092","2,573","4,894","4,372","3,751","4,477","3,676","3,279","2,844","3,361","5,374","3,733","4,793"
2021,3,60,"50,250","3,488","4,209","2,204","3,554","3,679","3,944","4,919","3,371","3,048","2,513","2,842","4,638","3,357","4,484"
2021,3,70,"27,535","1,988","2,299","1,363","1,722","1,778","2,685","2,802","2,046","1,610","1,628","1,180","2,595","1,933","1,906"
2021,3,80,"11,779",918,971,515,900,802,"1,013","1,127",872,752,616,573,959,765,996
2021,3,90,"1,640",117,99,49,142,127,114,180,109,100,81,102,156,103,161
2021,3,100,119,7,3,7,9,2,2,23,16,19,6,4,6,7,8
2021,4,총,"321,227","24,976","29,374","14,102","26,912","24,873","21,301","27,350","21,698","18,860","16,673","18,920","28,719","19,905","27,564"
2021,4,0,"18,013","1,511","1,724",745,"1,723","1,522",846,"1,567","1,169",992,757,"1,173","1,505",890,"1,889"
2021,4,10,"25,087","2,122","2,246","1,071","2,586","1,917","1,163","1,667","1,613","1,335","1,028","1,969","2,184","1,472","2,714"
2021,4,20,"42,717","3,265","4,110","1,785","3,665","3,643","2,592","3,300","3,026","2,507","2,499","2,519","3,821","2,655","3,330"
2021,4,30,"40,023","3,319","4,058","1,665","3,359","3,484","2,307","3,554","2,582","2,529","2,307","2,286","3,274","2,159","3,140"
