년도,월,나이,종로구,청운효자동,사직동,삼청동,부암동,평창동,무악동,교남동,가회동,종로1.2.3.4가동,종로5.6가동,이화동,혜화동,창신제1동,창신제2동,창신제3동,숭인제1동,숭인제2동
2020,2,90,358,32,37,13,21,41,17,14,8,35,14,15,23,17,16,18,15,22
2020,2,100,85,3,4,1,3,8,11,5,4,11,4,3,8,1,2,9,2,6
2020,3,총,"73,704","5,934","4,309","1,320","4,835","8,733","4,054","4,930","2,013","4,331","2,915","3,683","8,151","2,797","4,362","3,468","3,007","4,862"
2020,3,0,"4,070",465,309,51,312,617,330,463,104,111,62,137,352,84,138,220,160,155
2020,3,10,"5,827",649,320,123,500,873,489,424,180,119,130,223,731,129,286,275,190,186
2020,3,20,"11,595",806,581,187,726,"1,315",429,612,234,447,569,800,"2,202",326,654,527,406,774
2020,3,30,"10,056",809,628,183,582,"1,065",454,832,284,487,409,611,"1,110",303,539,486,457,817
2020,3,40,"11,179",986,666,189,776,"1,240",753,893,362,594,379,524,"1,107",355,644,490,505,716
2020,3,50,"12,935",952,702,204,787,"1,502",726,767,317,971,570,569,"1,105",653,977,632,556,945
2020,3,60,"9,683",600,538,187,610,"1,160",458,500,267,893,426,432,764,574,643,486,409,736
2020,3,70,"5,599",427,339,133,361,629,262,292,182,488,266,252,510,274,341,243,220,380
2020,3,80,"2,312",206,186,49,157,281,124,127,72,174,86,116,237,80,122,82,87,126
2020,3,90,362,31,36,13,21,43,18,15,7,35,14,16,25,18,16,18,15,21
2020,3,100,86,3,4,1,3,8,11,5,4,12,4,3,8,1,2,9,2,6
2020,4,총,"73,563","5,937","4,277","1,308","4,810","8,714","4,039","4,917","2,005","4,342","2,911","3,677","8,184","2,809","4,336","3,456","2,987","4,854"
2020,4,0,"4,042",461,303,47,313,618,327,466,104,107,62,137,346,83,139,218,160,151
2020,4,10,"5,790",653,313,126,494,873,485,417,180,120,126,218,723,127,281,277,186,191
2020,4,20,"11,565",802,574,185,725,"1,304",428,607,233,447,560,797,"2,221",329,646,524,410,773
2020,4,30,"10,080",818,625,184,576,"1,056",453,835,279,503,412,617,"1,128",305,544,476,452,817
2020,4,40,"11,116",987,665,181,769,"1,246",749,886,359,590,373,525,"1,105",351,626,484,505,715
2020,4,50,"12,933",956,691,203,787,"1,493",727,767,316,974,575,568,"1,111",662,974,635,551,943
2020,4,60,"9,660",597,539,188,606,"1,162",456,499,270,888,428,432,766,572,641,484,403,729
2020,4,70,"5,597",419,334,131,363,628,260,294,181,488,268,249,511,280,344,249,218,380
2020,4,80,"2,330",210,193,50,153,284,125,126,73,177,89,115,238,80,123,81,85,128
2020,4,90,363,31,36,12,21,42,18,15,6,36,14,16,27,19,16,19,14,21
2020,4,100,87,3,4,1,3,8,11,5,4,12,4,3,8,1,2,9,3,6
2020,5,총,"73,407","5,907","4,267","1,301","4,789","8,678","4,028","4,916","2,007","4,348","2,893","3,673","8,181","2,802","4,339","3,443","2,989","4,846"
2020,5,0,"4,021",465,295,48,311,615,325,463,105,107,63,135,341,82,143,219,159,145
2020,5,10,"5,734",654,312,120,494,860,481,418,179,117,123,215,713,126,273,271,187,191
2020,5,20,"11,568",795,571,186,711,"1,293",428,610,234,450,563,806,"2,239",334,646,516,412,774
2020,5,30,"10,033",809,618,181,578,"1,055",444,842,280,507,411,612,"1,122",299,549,474,439,813
2020,5,40,"11,050",975,660,179,763,"1,239",749,877,357,583,370,521,"1,104",346,618,481,508,720
2020,5,50,"12,947",952,701,204,784,"1,492",730,773,320,980,561,565,"1,105",667,979,636,559,939
2020,5,60,"9,677",602,543,186,607,"1,159",454,492,266,892,434,440,772,570,642,486,403,729
2020,5,70,"5,600",416,336,133,361,630,260,296,182,490,265,249,508,278,347,250,220,379
2020,5,80,"2,325",205,192,51,156,284,128,126,73,173,86,111,241,80,123,82,85,129
2020,5,90,364,31,35,12,21,43,17,14,7,37,13,16,28,19,17,19,14,21
2020,5,100,88,3,4,1,3,8,12,5,4,12,4,3,8,1,2,9,3,6
2020,6,총,"73,288","5,885","4,281","1,301","4,769","8,671","4,023","4,890","2,015","4,349","2,887","3,661","8,164","2,803","4,315","3,422","2,992","4,860"
2020,6,0,"3,996",459,291,48,302,615,322,462,109,104,60,137,342,80,146,217,158,144
2020,6,10,"5,705",649,316,119,494,855,481,414,183,117,121,217,704,126,270,268,185,186
2020,6,20,"11,564",792,573,186,714,"1,290",429,604,230,438,572,806,"2,234",345,639,513,412,787
2020,6,30,"10,023",809,622,177,560,"1,049",440,844,277,524,410,607,"1,129",296,547,472,441,819
2020,6,40,"11,009",973,659,179,776,"1,230",747,868,361,579,362,519,"1,099",344,611,478,507,717
2020,6,50,"12,907",947,708,209,775,"1,501",732,766,324,977,551,555,"1,108",657,967,627,559,944
2020,6,60,"9,690",599,548,184,607,"1,163",454,490,266,886,445,438,767,578,645,489,404,727
2020,6,70,"5,612",420,332,135,361,625,262,296,183,502,264,254,502,277,347,248,224,380
2020,6,80,"2,322",205,192,51,156,292,127,127,71,170,85,107,243,79,122,81,86,128
2020,6,90,372,29,36,12,21,43,17,14,7,40,13,18,28,20,19,20,13,22
2020,6,100,88,3,4,1,3,8,12,5,4,12,4,3,8,1,2,9,3,6
2020,7,총,"73,214","5,886","4,278","1,300","4,762","8,651","4,027","4,887","2,010","4,329","2,880","3,665","8,145","2,810","4,303","3,415","2,993","4,873"
2020,7,0,"3,973",461,286,48,296,619,323,458,107,104,60,135,344,77,141,216,157,141
2020,7,10,"5,668",638,321,117,494,853,478,417,178,118,114,216,693,129,270,266,180,186
2020,7,20,"11,568",797,573,186,708,"1,283",432,600,233,434,570,810,"2,222",341,638,509,423,809
2020,7,30,"10,037",808,624,178,564,"1,050",438,839,276,527,416,601,"1,125",302,542,474,440,833
2020,7,40,"10,989",981,656,179,767,"1,225",743,869,360,578,364,527,"1,104",342,602,480,500,712
2020,7,50,"12,868",942,699,210,778,"1,499",738,766,320,964,556,549,"1,107",654,964,624,565,933
2020,7,60,"9,721",608,550,185,611,"1,166",456,495,271,879,438,445,766,586,657,485,401,722
2020,7,70,"5,595",416,336,132,361,615,262,297,181,502,260,255,502,277,344,248,225,382
2020,7,80,"2,331",204,193,52,158,291,128,127,73,171,84,106,244,81,122,84,86,127
2020,7,90,375,28,35,12,22,42,17,14,7,40,14,18,30,20,21,20,13,22
2020,7,100,89,3,5,1,3,8,12,5,4,12,4,3,8,1,2,9,3,6
2020,8,총,"73,062","5,851","4,250","1,297","4,766","8,625","4,018","4,885","2,004","4,327","2,888","3,640","8,141","2,801","4,295","3,408","2,990","4,876"
2020,8,0,"3,931",452,281,45,289,618,319,461,106,104,59,132,342,74,143,214,158,134
2020,8,10,"5,618",628,321,118,494,849,473,416,180,118,110,208,695,127,264,262,172,183
2020,8,20,"11,566",800,565,184,719,"1,271",435,602,227,431,578,801,"2,212",341,639,509,422,830
2020,8,30,"10,016",804,622,176,573,"1,055",437,829,279,518,412,600,"1,122",308,531,479,438,833
2020,8,40,"10,937",972,658,179,752,"1,220",738,869,350,588,366,522,"1,111",335,590,477,501,709
2020,8,50,"12,856",930,691,210,786,"1,491",740,771,324,959,558,550,"1,113",652,969,621,564,927
2020,8,60,"9,750",615,543,189,615,"1,169",452,495,270,882,441,445,765,588,669,488,403,721
2020,8,70,"5,579",413,336,132,356,609,265,294,183,503,257,254,500,275,344,245,228,385
2020,8,80,"2,344",206,193,49,157,294,130,130,74,172,89,107,243,80,124,83,88,125
2020,8,90,374,28,35,14,22,41,15,13,7,40,14,18,30,20,20,21,13,23
2020,8,100,91,3,5,1,3,8,14,5,4,12,4,3,8,1,2,9,3,6
2020,9,총,"73,024","5,815","4,284","1,296","4,760","8,594","4,021","4,876","1,998","4,329","2,904","3,614","8,183","2,798","4,299","3,392","2,972","4,889"
2020,9,0,"3,896",448,290,47,279,612,320,448,106,100,60,126,348,70,143,209,155,135
2020,9,10,"5,621",616,323,116,499,846,474,411,180,108,133,210,697,127,266,263,173,179
2020,9,20,"11,548",794,568,180,710,"1,255",432,601,226,439,579,796,"2,219",345,634,512,409,849
2020,9,30,"10,003",800,624,175,579,"1,042",436,824,276,520,419,596,"1,124",306,529,470,437,846
2020,9,40,"10,905",965,657,181,748,"1,228",728,876,352,583,355,510,"1,121",336,589,472,498,706
2020,9,50,"12,842",928,696,211,784,"1,481",744,773,324,959,553,544,"1,123",644,972,622,565,919
2020,9,60,"9,801",616,553,188,620,"1,180",461,497,268,888,443,449,765,593,675,485,404,716
2020,9,70,"5,569",405,336,133,356,607,265,298,181,506,255,253,500,276,343,246,227,382
2020,9,80,"2,369",213,196,50,158,295,132,128,74,173,89,108,248,80,125,83,88,129
2020,9,90,377,27,36,14,23,40,15,15,7,41,14,19,30,20,21,21,12,22
2020,9,100,93,3,5,1,4,8,14,5,4,12,4,3,8,1,2,9,4,6
2020,10,총,"72,847","5,794","4,260","1,293","4,763","8,589","4,005","4,849","1,998","4,335","2,883","3,596","8,141","2,800","4,289","3,392","2,967","4,893"
2020,10,0,"3,875",439,289,47,278,618,323,446,106,101,60,124,344,68,140,208,149,135
2020,10,10,"5,554",610,318,113,504,831,472,400,184,108,128,204,684,129,260,265,169,175
2020,10,20,"11,498",793,563,183,703,"1,258",427,597,225,439,569,781,"2,207",342,638,510,412,851
2020,10,30,"9,957",796,614,171,582,"1,040",435,810,267,518,419,599,"1,118",309,529,467,431,852
2020,10,40,"10,871",960,651,185,750,"1,229",723,870,364,591,349,510,"1,106",331,577,467,499,709
2020,10,50,"12,835",927,698,209,780,"1,480",742,775,319,960,555,544,"1,122",640,978,627,559,920
2020,10,60,"9,847",621,558,189,622,"1,184",459,504,265,890,441,451,768,599,679,488,416,713
2020,10,70,"5,562",399,338,132,360,603,264,299,181,504,253,253,505,277,338,245,231,380
2020,10,80,"2,382",219,190,49,158,297,131,128,76,171,91,109,250,83,127,85,87,131
2020,10,90,373,27,36,14,22,41,15,15,7,41,14,18,30,21,21,20,10,21
2020,10,100,93,3,5,1,4,8,14,5,4,12,4,3,7,1,2,10,4,6
2020,11,총,"72,741","5,791","4,267","1,291","4,765","8,572","4,002","4,862","1,989","4,315","2,866","3,581","8,127","2,788","4,288","3,385","2,950","4,902"
2020,11,0,"3,841",437,291,46,272,614,322,439,101,100,60,122,339,66,143,205,147,137
2020,11,10,"5,528",611,316,113,503,821,470,408,187,109,124,200,672,131,260,259,166,178
2020,11,20,"11,515",798,568,178,696,"1,257",429,605,229,435,556,779,"2,224",340,632,516,413,860
2020,11,30,"9,908",786,617,176,583,"1,034",429,804,263,515,420,602,"1,105",309,526,466,422,851
2020,11,40,"10,827",959,659,183,753,"1,223",718,870,360,592,347,498,"1,101",330,568,464,496,706
2020,11,50,"12,812",925,695,211,781,"1,470",747,779,315,953,557,543,"1,119",630,984,625,564,914
2020,11,60,"9,906",617,557,189,627,"1,203",459,513,267,892,439,454,781,601,688,491,411,717
2020,11,70,"5,538",407,329,133,362,602,264,297,180,493,251,254,500,275,336,245,228,382
2020,11,80,"2,394",220,194,47,161,298,134,127,76,173,94,109,249,83,127,84,89,129
2020,11,90,378,28,36,14,23,42,16,15,7,40,14,17,30,22,22,20,10,22
2020,11,100,94,3,5,1,4,8,14,5,4,13,4,3,7,1,2,10,4,6
2020,12,총,"72,635","5,779","4,264","1,272","4,772","8,550","3,979","4,848","2,000","4,352","2,838","3,567","8,089","2,775","4,283","3,398","2,960","4,909"
2020,12,0,"3,803",431,291,47,275,607,314,438,100,98,58,121,329,63,140,207,148,136
2020,12,10,"5,495",615,311,111,504,819,466,405,189,111,114,202,660,132,260,256,164,176
2020,12,20,"11,505",793,567,170,692,"1,247",431,607,231,461,553,781,"2,208",333,629,521,418,863
2020,12,30,"9,910",779,616,176,589,"1,033",428,790,265,531,412,603,"1,106",312,519,467,427,857
2020,12,40,"10,834",969,661,178,757,"1,221",709,872,364,599,351,487,"1,097",328,570,464,495,712
2020,12,50,"12,784",918,699,207,782,"1,474",744,780,315,943,554,545,"1,112",624,979,630,564,914
2020,12,60,"9,903",618,557,190,624,"1,193",458,513,271,891,434,446,785,602,698,496,411,716
2020,12,70,"5,518",404,322,132,359,604,265,296,176,490,252,255,504,275,337,244,227,376
2020,12,80,"2,415",222,199,47,163,302,134,127,78,175,93,106,251,85,127,83,92,131
2020,12,90,371,27,35,13,23,42,16,15,7,39,13,18,30,20,21,20,10,22
2020,12,100,97,3,6,1,4,8,14,5,4,14,4,3,7,1,3,10,4,6
2021,1,총,"72,528","5,784","4,273","1,251","4,765","8,556","3,967","4,826","2,004","4,356","2,839","3,551","8,052","2,761","4,263","3,383","2,964","4,933"
2021,1,0,"3,767",430,290,47,274,592,319,434,100,97,55,121,324,64,133,205,152,130
2021,1,10,"5,443",618,306,108,494,817,457,397,187,111,104,198,659,131,258,258,164,176
2021,1,20,"11,493",795,568,164,694,"1,254",426,603,236,471,556,781,"2,179",331,623,510,413,889
2021,1,30,"9,883",772,619,170,589,"1,026",426,785,259,526,425,607,"1,104",313,522,460,432,848
2021,1,40,"10,800",969,668,179,757,"1,222",702,864,366,601,354,481,"1,085",323,557,469,490,713
2021,1,50,"12,765",922,695,202,780,"1,482",744,786,316,930,549,540,"1,123",621,977,623,560,915
2021,1,60,"9,979",620,567,187,627,"1,201",466,516,276,904,433,443,789,597,706,504,418,725
2021,1,70,"5,495",403,321,132,357,608,264,294,174,485,252,254,498,273,336,241,226,377
2021,1,80,"2,434",225,199,47,165,304,133,128,79,179,95,105,251,87,128,83,94,132
2021,1,90,372,27,34,14,25,42,16,14,7,37,12,18,33,20,20,20,11,22
2021,1,100,97,3,6,1,3,8,14,5,4,15,4,3,7,1,3,10,4,6
2021,2,총,"72,372","5,745","4,274","1,247","4,748","8,534","3,963","4,797","2,004","4,348","2,847","3,555","8,063","2,755","4,236","3,375","2,958","4,923"
2021,2,0,"3,722",409,283,49,268,589,321,431,100,102,56,120,325,64,127,197,152,129
2021,2,10,"5,458",618,311,106,495,816,454,402,190,109,102,203,676,129,253,258,159,177
2021,2,20,"11,426",794,560,168,685,"1,237",422,591,235,470,558,776,"2,172",331,617,509,414,887
2021,2,30,"9,820",760,633,163,585,"1,021",432,772,253,514,424,605,"1,095",308,520,458,436,841
2021,2,40,"10,731",968,656,179,750,"1,217",692,854,370,599,354,473,"1,086",319,546,465,487,716
2021,2,50,"12,793",916,703,206,787,"1,487",746,782,321,928,550,547,"1,129",621,977,623,559,911
2021,2,60,"10,031",627,567,187,626,"1,203",470,528,271,904,440,450,788,603,704,507,419,737
2021,2,70,"5,469",399,316,128,358,608,260,290,173,490,253,255,495,270,338,242,223,371
2021,2,80,"2,457",223,204,46,165,308,136,130,79,181,95,106,257,89,130,86,94,128
2021,2,90,369,28,35,14,25,40,16,14,8,36,11,17,33,20,21,20,11,20
2021,2,100,96,3,6,1,4,8,14,3,4,15,4,3,7,1,3,10,4,6
2021,3,총,"71,644","5,619","4,275","1,211","4,690","8,518","3,907","4,729","1,952","4,320","2,847","3,490","8,038","2,718","4,214","3,320","2,933","4,863"
2021,3,0,"3,674",396,282,49,260,587,321,423,96,99,55,121,319,66,126,198,149,127
2021,3,10,"5,437",618,306,106,487,811,452,397,177,109,138,194,685,121,247,254,159,176
2021,3,20,"11,416",782,569,167,694,"1,220",422,586,228,483,571,767,"2,177",324,610,514,411,891
2021,3,30,"9,764",747,623,158,582,"1,025",437,759,256,514,422,608,"1,083",303,523,449,432,843
2021,3,40,"10,603",948,664,168,745,"1,212",682,851,356,595,343,466,"1,068",321,543,463,477,701
2021,3,50,"12,702",892,703,202,770,"1,499",736,766,325,928,540,540,"1,126",613,972,609,567,914
2021,3,60,"9,984",615,574,182,629,"1,206",461,529,266,899,435,440,795,597,713,502,415,726
2021,3,70,"5,343",383,317,119,344,604,255,284,162,488,237,238,497,272,337,233,223,350
2021,3,80,"2,410",214,204,47,157,309,127,124,75,184,97,102,260,91,126,82,86,125
2021,3,90,290,23,31,12,21,40,12,10,10,18,9,13,28,10,17,15,11,10
2021,3,100,21,1,2,1,1,5,2,0,1,3,0,1,0,0,0,1,3,0
2021,4,총,"71,567","5,598","4,280","1,208","4,673","8,523","3,902","4,731","1,941","4,335","2,826","3,488","8,030","2,714","4,198","3,301","2,920","4,899"
2021,4,0,"3,655",398,281,48,258,589,317,425,92,97,52,119,315,64,124,197,148,131
2021,4,10,"5,401",614,302,109,483,806,453,387,175,107,136,191,685,123,241,251,160,178
2021,4,20,"11,375",779,575,165,686,"1,219",422,589,226,478,559,770,"2,170",326,604,508,402,897
2021,4,30,"9,786",735,627,158,584,"1,036",439,750,253,528,428,612,"1,080",308,527,451,423,847
2021,4,40,"10,578",958,663,169,735,"1,216",679,856,351,596,345,462,"1,060",318,538,457,474,701
2021,4,50,"12,685",880,701,200,770,"1,500",735,763,327,926,529,538,"1,140",610,968,601,570,927
2021,4,60,"10,036",619,575,184,633,"1,205",464,540,270,910,437,441,793,594,715,508,422,726
2021,4,70,"5,318",378,318,115,344,598,253,283,161,487,234,238,495,273,337,228,220,356
2021,4,80,"2,417",212,204,47,156,308,126,126,76,186,98,103,263,88,127,83,88,126
2021,4,90,295,24,32,12,23,41,12,12,9,17,8,13,29,10,17,16,10,10
2021,4,100,21,1,2,1,1,5,2,0,1,3,0,1,0,0,0,1,3,0
2021,5,총,"71,204","5,582","4,220","1,192","4,658","8,502","3,887","4,700","1,945","4,328","2,813","3,485","7,988","2,669","4,140","3,290","2,904","4,901"
2021,5,0,"3,651",393,287,48,260,597,314,418,94,98,53,118,311,64,121,198,145,132
2021,5,10,"5,354",614,298,104,472,803,449,381,175,109,134,188,675,124,240,246,162,180
2021,5,20,"11,343",774,578,163,686,"1,216",425,587,226,471,554,765,"2,161",326,604,510,396,901
2021,5,30,"9,760",732,625,154,585,"1,032",434,737,259,530,421,614,"1,098",308,518,450,419,844
2021,5,40,"10,476",953,651,167,735,"1,208",672,846,345,585,346,458,"1,051",311,536,457,461,694
2021,5,50,"12,632",881,685,197,768,"1,489",734,768,330,935,522,541,"1,128",606,947,594,575,932
2021,5,60,"10,025",619,567,187,630,"1,212",468,537,269,909,443,444,792,579,706,509,427,727
2021,5,70,"5,244",380,295,113,343,599,250,283,162,486,234,236,482,259,325,228,216,353
2021,5,80,"2,405",212,200,47,156,303,126,131,75,183,98,107,261,81,126,81,90,128
2021,5,90,295,23,32,11,22,40,13,12,9,19,8,13,29,11,17,16,10,10
2021,5,100,19,1,2,1,1,3,2,0,1,3,0,1,0,0,0,1,3,0
2021,6,총,"70,985","5,580","4,225","1,191","4,639","8,478","3,877","4,698","1,944","4,305","2,749","3,472","7,949","2,664","4,135","3,297","2,869","4,913"
2021,6,0,"3,651",391,284,48,259,599,315,431,91,98,49,115,309,65,123,194,145,135
2021,6,10,"5,311",613,295,104,468,805,447,378,180,109,120,187,658,120,238,246,161,182
2021,6,20,"11,255",778,569,162,678,"1,206",424,586,221,465,542,752,"2,163",325,598,509,384,893
2021,6,30,"9,743",738,642,149,587,"1,019",426,721,268,531,413,620,"1,086",307,516,451,416,853
2021,6,40,"10,450",948,652,169,737,"1,208",669,852,341,577,341,458,"1,038",314,536,464,459,687
2021,6,50,"12,579",878,682,198,763,"1,484",736,762,330,916,515,543,"1,126",599,950,593,563,941
2021,6,60,"10,055",621,568,189,624,"1,212",470,537,268,923,434,442,797,581,712,514,433,730
2021,6,70,"5,224",381,298,112,346,595,247,285,161,481,229,234,480,257,323,227,215,353
2021,6,80,"2,413",207,201,48,155,308,128,134,76,183,99,107,263,85,122,82,86,129
2021,6,90,288,24,32,11,21,39,13,12,7,19,7,13,29,11,17,16,7,10
2021,6,100,16,1,2,1,1,3,2,0,1,3,0,1,0,0,0,1,0,0
2021,7,총,"70,810","5,581","4,221","1,181","4,625","8,470","3,856","4,668","1,930","4,288","2,733","3,461","7,955","2,664","4,130","3,292","2,862","4,893"
2021,7,0,"3,643",394,281,42,264,596,308,432,95,95,50,115,307,64,122,196,145,137
2021,7,10,"5,279",609,295,103,465,804,449,376,174,112,111,182,656,119,239,246,161,178
2021,7,20,"11,179",779,567,160,669,"1,195",420,576,219,462,524,753,"2,161",329,595,498,382,890
2021,7,30,"9,739",736,646,152,587,"1,020",418,714,261,532,423,618,"1,089",305,518,461,412,847
2021,7,40,"10,393",951,645,167,739,"1,214",667,843,341,565,337,457,"1,035",310,530,456,454,682
2021,7,50,"12,576",875,681,196,759,"1,479",730,761,330,920,518,544,"1,134",600,953,590,562,944
2021,7,60,"10,057",625,574,190,624,"1,220",474,534,267,912,435,437,800,581,709,518,435,722
2021,7,70,"5,212",374,296,111,342,591,248,286,158,481,229,235,481,260,323,227,216,354
2021,7,80,"2,424",213,201,48,155,306,128,134,77,188,99,105,262,85,124,83,87,129
2021,7,90,292,24,33,11,20,42,12,12,7,18,7,14,30,11,17,16,8,10
2021,7,100,16,1,2,1,1,3,2,0,1,3,0,1,0,0,0,1,0,0
2021,8,총,"70,715","5,570","4,205","1,171","4,621","8,447","3,862","4,670","1,918","4,270","2,724","3,460","7,987","2,637","4,125","3,293","2,852","4,903"
2021,8,0,"3,617",392,275,43,257,604,303,429,97,96,49,114,301,65,118,197,140,137
2021,8,10,"5,256",606,296,100,473,792,446,379,171,112,112,178,661,117,233,242,161,177
2021,8,20,"11,140",784,560,159,667,"1,175",419,563,220,451,513,754,"2,182",319,599,493,378,904
2021,8,30,"9,748",740,641,151,586,"1,011",420,723,258,532,428,623,"1,093",311,522,464,408,837
2021,8,40,"10,325",937,641,161,732,"1,213",665,838,340,560,334,454,"1,032",303,528,455,456,676
2021,8,50,"12,552",874,685,197,758,"1,473",738,763,327,917,513,544,"1,139",590,947,589,556,942
2021,8,60,"10,095",619,572,189,632,"1,234",477,537,263,915,438,431,805,580,703,526,442,732
2021,8,70,"5,229",377,299,112,339,590,252,288,158,475,231,239,481,256,333,228,213,358
2021,8,80,"2,443",217,202,47,157,309,127,138,76,190,99,108,262,84,125,82,90,130
2021,8,90,293,23,32,11,19,43,13,12,7,18,7,14,31,12,17,16,8,10
2021,8,100,17,1,2,1,1,3,2,0,1,4,0,1,0,0,0,1,0,0
2021,9,총,"70,666","5,569","4,208","1,181","4,606","8,471","3,863","4,649","1,925","4,254","2,750","3,450","7,995","2,643","4,112","3,281","2,844","4,865"
2021,9,0,"3,615",393,274,45,257,605,308,425,98,95,48,111,303,65,116,200,138,134
2021,9,10,"5,251",605,292,101,470,802,441,373,171,113,111,175,667,119,231,240,162,178
2021,9,20,"11,117",776,550,165,660,"1,183",421,571,221,452,523,745,"2,181",318,596,486,374,895
2021,9,30,"9,717",741,646,149,583,"1,005",415,713,259,528,436,615,"1,092",315,521,465,408,826
2021,9,40,"10,319",939,648,166,727,"1,210",669,839,343,558,336,458,"1,030",300,529,449,456,662
2021,9,50,"12,540",876,692,193,758,"1,475",732,763,328,912,514,544,"1,148",589,941,584,558,933
2021,9,60,"10,122",624,569,192,635,"1,241",485,530,262,906,442,437,798,587,701,531,441,741
2021,9,70,"5,209",375,298,110,338,593,250,286,159,473,230,241,481,253,331,227,209,355
2021,9,80,"2,471",218,205,48,158,315,127,137,76,195,101,108,264,86,130,83,89,131
2021,9,90,287,21,32,11,19,39,13,12,7,18,8,15,31,11,16,15,9,10
2021,9,100,18,1,2,1,1,3,2,0,1,4,1,1,0,0,0,1,0,0
2021,10,총,"70,552","5,553","4,206","1,178","4,599","8,453","3,868","4,653","1,919","4,252","2,747","3,446","7,988","2,632","4,105","3,270","2,830","4,853"
2021,10,0,"3,589",386,275,44,255,604,301,420,97,95,49,111,301,65,117,200,136,133
2021,10,10,"5,243",616,300,99,468,792,447,373,170,115,104,176,665,116,228,239,159,176
2021,10,20,"11,074",774,546,167,647,"1,171",422,566,221,445,531,744,"2,186",317,597,479,368,893
2021,10,30,"9,696",740,643,143,590,"1,016",412,704,255,524,436,619,"1,081",317,522,465,404,825
2021,10,40,"10,264",928,646,170,719,"1,204",666,845,336,559,334,454,"1,030",298,519,444,450,662
2021,10,50,"12,548",874,691,194,759,"1,477",738,769,335,913,507,536,"1,155",582,942,584,559,933
2021,10,60,"10,150",628,569,189,640,"1,246",487,535,263,918,447,441,788,587,703,534,443,732
2021,10,70,"5,207",370,298,112,344,586,251,289,157,466,231,243,484,249,330,226,213,358
2021,10,80,"2,480",214,204,48,158,318,129,140,78,195,100,107,265,90,130,83,90,131
2021,10,90,283,22,32,11,18,36,13,12,6,18,7,14,33,11,17,15,8,10
2021,10,100,18,1,2,1,1,3,2,0,1,4,1,1,0,0,0,1,0,0
2021,11,총,"70,393","5,542","4,210","1,177","4,597","8,455","3,857","4,635","1,900","4,245","2,743","3,448","7,936","2,623","4,101","3,259","2,822","4,843"
2021,11,0,"3,571",386,278,46,251,605,297,414,97,93,46,111,302,62,117,200,135,131
2021,11,10,"5,195",612,297,99,467,783,447,371,163,117,105,173,644,118,227,240,156,176
2021,11,20,"11,038",777,545,167,644,"1,171",426,557,218,448,532,746,"2,173",312,590,481,365,886
2021,11,30,"9,695",734,639,140,591,"1,013",407,707,257,529,438,615,"1,079",325,528,461,399,833
2021,11,40,"10,192",921,650,166,709,"1,205",665,841,329,557,325,450,"1,012",299,517,438,453,655
2021,11,50,"12,572",876,699,197,772,"1,484",736,769,335,904,514,543,"1,152",571,943,585,562,930
