년도,월,나이,서울특별시 노원구,서울특별시 노원구 월계1동,서울특별시 노원구 월계2동,서울특별시 노원구 월계3동,서울특별시 노원구 공릉1동,서울특별시 노원구 공릉2동,서울특별시 노원구 하계1동,서울특별시 노원구 하계2동,서울특별시 노원구 중계본동,서울특별시 노원구 중계1동,서울특별시 노원구 중계4동,서울특별시 노원구 중계2.3동,서울특별시 노원구 상계1동,서울특별시 노원구 상계2동,서울특별시 노원구 상계3.4동,서울특별시 노원구 상계5동,서울특별시 노원구 상계6.7동,서울특별시 노원구 상계8동,서울특별시 노원구 상계9동,서울특별시 노원구 상계10동
2020,11,50,"87,964","3,595","4,647","4,826","5,855","6,132","4,975","3,933","4,591","4,486","3,625","5,675","7,033","3,958","4,839","4,569","5,663","3,029","3,649","2,884"
2020,11,60,"67,545","3,119","4,365","4,578","5,424","4,429","3,535","2,504","2,253","2,054","2,648","4,810","5,897","2,864","4,323","3,646","3,978","2,257","2,747","2,114"
2020,11,70,"37,512","1,977","2,503","2,603","2,758","2,236","1,832","1,369","1,103",991,"1,891","3,339","2,940","1,425","2,772","2,314","1,995","1,171","1,390",903
2020,11,80,"16,383",726,"1,010","1,106","1,034",945,931,681,549,496,766,"1,522","1,224",572,"1,221",949,998,529,652,472
2020,11,90,"2,486",113,164,145,166,142,130,99,84,70,115,213,210,93,137,151,188,85,109,72
2020,11,100,284,18,14,15,17,13,8,4,14,13,13,15,50,13,33,26,7,3,4,4
2020,12,총,"523,037","22,446","27,472","30,605","37,680","39,760","27,471","22,665","24,880","27,465","20,695","35,446","39,044","20,535","27,076","24,667","33,509","22,914","21,136","17,571"
2020,12,0,"33,182","1,217","1,764","2,248","2,135","2,919","1,183","1,501","1,546","1,992","1,178","2,094","2,363","1,002","1,419","1,107","2,492","2,506","1,378","1,138"
2020,12,10,"53,235","1,717","2,179","2,166","2,656","4,404","3,172","2,848","4,535","5,759","2,321","3,219","3,375","1,875","2,121","2,069","3,065","2,037","2,164","1,553"
2020,12,20,"73,182","3,862","3,244","3,600","6,826","6,707","4,689","3,090","3,244","2,970","2,615","4,339","5,301","3,315","3,251","3,487","4,630","2,693","2,753","2,566"
2020,12,30,"64,740","2,715","3,239","4,637","5,406","5,227","2,749","2,557","1,910","2,012","1,993","4,304","4,931","2,332","2,966","2,626","4,935","4,727","2,808","2,666"
2020,12,40,"86,240","3,440","4,337","4,677","5,406","6,578","4,237","4,074","5,094","6,631","3,540","5,919","5,739","3,097","4,005","3,734","5,567","3,912","3,503","2,750"
2020,12,50,"87,828","3,566","4,626","4,802","5,852","6,115","4,977","3,917","4,563","4,462","3,615","5,652","7,010","3,942","4,805","4,545","5,647","3,013","3,623","3,096"
2020,12,60,"67,804","3,086","4,381","4,593","5,415","4,468","3,555","2,520","2,258","2,060","2,640","4,817","5,890","2,864","4,341","3,664","3,981","2,244","2,755","2,272"
2020,12,70,"37,536","1,981","2,503","2,603","2,768","2,226","1,827","1,370","1,082",994,"1,900","3,349","2,935","1,422","2,770","2,313","1,986","1,168","1,385",954
2020,12,80,"16,494",731,"1,018","1,112","1,031",962,946,689,549,501,763,"1,524","1,235",579,"1,230",945,"1,006",522,654,497
2020,12,90,"2,508",113,167,152,168,141,127,95,85,70,117,214,214,94,134,151,193,89,109,75
2020,12,100,288,18,14,15,17,13,9,4,14,14,13,15,51,13,34,26,7,3,4,4
2021,1,총,"521,852","22,275","27,347","30,482","37,499","39,608","27,321","22,625","24,791","27,453","20,640","35,311","38,948","20,518","27,007","24,580","33,377","22,876","20,982","18,212"
2021,1,0,"32,855","1,191","1,751","2,218","2,101","2,877","1,169","1,487","1,518","1,984","1,173","2,062","2,335",993,"1,408","1,096","2,460","2,466","1,343","1,223"
2021,1,10,"52,892","1,705","2,128","2,159","2,628","4,371","3,134","2,822","4,538","5,750","2,292","3,182","3,367","1,855","2,114","2,055","3,032","2,023","2,123","1,614"
2021,1,20,"72,828","3,820","3,239","3,568","6,725","6,676","4,610","3,092","3,216","2,984","2,602","4,320","5,281","3,304","3,240","3,457","4,623","2,701","2,740","2,630"
