년도,월,나이,경상북도 칠곡군,경상북도 칠곡군 왜관읍,경상북도 칠곡군 북삼읍,경상북도 칠곡군 석적읍,경상북도 칠곡군 지천면,경상북도 칠곡군 동명면,경상북도 칠곡군 가산면,경상북도 칠곡군 약목면,경상북도 칠곡군 기산면
2020,7,총,"55,127","16,806","11,189","14,516","1,996","2,640","1,564","4,853","1,563"
2020,7,0,"4,776","1,179",886,"2,266",43,71,40,184,107
2020,7,10,"5,474","1,665","1,468","1,731",62,74,69,335,70
2020,7,20,"5,372","1,708","1,168","1,573",126,165,81,457,94
2020,7,30,"7,062","1,682","1,171","3,382",112,153,80,315,167
2020,7,40,"9,455","2,732","2,509","2,893",127,196,135,689,174
2020,7,50,"8,881","3,105","2,018","1,190",339,584,314,"1,064",267
2020,7,60,"6,376","2,150",983,779,433,604,376,784,267
2020,7,70,"4,338","1,447",592,423,398,396,266,595,221
2020,7,80,"2,900",982,347,243,303,320,166,372,167
2020,7,90,460,139,46,32,49,77,35,55,27
2020,7,100,33,17,1,4,4,0,2,3,2
2020,8,총,"54,986","16,781","11,179","14,478","1,987","2,617","1,555","4,836","1,553"
2020,8,0,"4,727","1,167",878,"2,249",44,65,37,182,105
2020,8,10,"5,460","1,656","1,460","1,731",62,73,70,336,72
2020,8,20,"5,310","1,697","1,153","1,557",122,163,79,450,89
2020,8,30,"6,987","1,662","1,157","3,360",109,145,80,311,163
2020,8,40,"9,453","2,732","2,526","2,888",125,192,133,686,171
2020,8,50,"8,906","3,113","2,029","1,207",334,579,313,"1,064",267
2020,8,60,"6,405","2,162",991,786,437,605,375,779,270
2020,8,70,"4,333","1,443",592,422,395,401,263,596,221
2020,8,80,"2,901",990,347,241,304,314,166,372,167
2020,8,90,471,142,45,33,51,80,37,57,26
2020,8,100,33,17,1,4,4,0,2,3,2
2020,9,총,"54,896","16,731","11,243","14,419","1,981","2,602","1,556","4,816","1,548"
2020,9,0,"4,698","1,164",880,"2,228",45,62,35,180,104
2020,9,10,"5,442","1,636","1,459","1,737",61,75,69,333,72
2020,9,20,"5,269","1,683","1,170","1,524",120,158,80,446,88
2020,9,30,"6,933","1,648","1,161","3,330",107,142,79,304,162
2020,9,40,"9,443","2,725","2,527","2,891",122,192,134,678,174
2020,9,50,"8,916","3,103","2,057","1,220",332,575,311,"1,055",263
2020,9,60,"6,460","2,183","1,003",791,440,605,378,791,269
2020,9,70,"4,324","1,440",594,421,393,400,264,595,217
2020,9,80,"2,909",993,346,240,306,312,169,375,168
2020,9,90,469,139,45,33,51,81,35,56,29
2020,9,100,33,17,1,4,4,0,2,3,2
2020,10,총,"54,922","16,710","11,386","14,372","1,975","2,602","1,566","4,772","1,539"
2020,10,0,"4,659","1,154",897,"2,197",41,59,35,169,107
2020,10,10,"5,442","1,638","1,469","1,733",61,77,71,325,68
2020,10,20,"5,263","1,670","1,192","1,521",121,153,80,438,88
2020,10,30,"6,871","1,624","1,191","3,274",102,141,80,295,164
2020,10,40,"9,446","2,724","2,532","2,910",121,195,132,663,169
2020,10,50,"8,961","3,104","2,098","1,233",329,566,312,"1,058",261
2020,10,60,"6,529","2,200","1,018",805,445,613,385,793,270
2020,10,70,"4,321","1,438",596,419,393,400,265,595,215
2020,10,80,"2,927","1,002",349,243,307,314,169,375,168
2020,10,90,470,139,43,33,51,84,35,58,27
2020,10,100,33,17,1,4,4,0,2,3,2
2020,11,총,"54,996","16,692","11,513","14,349","1,952","2,591","1,603","4,750","1,546"
2020,11,0,"4,640","1,147",903,"2,172",37,61,44,169,107
2020,11,10,"5,439","1,635","1,475","1,738",58,76,71,319,67
2020,11,20,"5,242","1,657","1,205","1,503",119,155,84,434,85
2020,11,30,"6,827","1,608","1,191","3,246",103,138,90,286,165
2020,11,40,"9,507","2,721","2,569","2,934",121,188,139,662,173
2020,11,50,"8,985","3,105","2,132","1,239",325,557,314,"1,047",266
2020,11,60,"6,587","2,215","1,045",811,441,615,389,800,271
2020,11,70,"4,315","1,442",593,424,386,401,264,590,215
2020,11,80,"2,949","1,005",355,243,307,317,171,383,168
2020,11,90,472,140,44,35,51,83,35,57,27
2020,11,100,33,17,1,4,4,0,2,3,2
2020,12,총,"54,930","16,680","11,624","14,227","1,955","2,591","1,595","4,726","1,532"
2020,12,0,"4,623","1,149",915,"2,149",38,60,44,165,103
2020,12,10,"5,423","1,619","1,481","1,738",57,74,68,316,70
2020,12,20,"5,198","1,656","1,223","1,445",120,155,83,434,82
2020,12,30,"6,770","1,604","1,219","3,177",106,136,89,281,158
2020,12,40,"9,508","2,712","2,576","2,944",119,190,137,658,172
2020,12,50,"8,976","3,098","2,154","1,247",322,546,308,"1,042",259
2020,12,60,"6,628","2,224","1,058",816,445,623,391,798,273
2020,12,70,"4,331","1,451",595,425,386,404,265,590,215
2020,12,80,"2,963","1,006",356,248,307,319,174,384,169
2020,12,90,477,144,46,34,51,84,34,55,29
2020,12,100,33,17,1,4,4,0,2,3,2
2021,1,총,"54,958","16,692","11,666","14,234","1,944","2,593","1,591","4,706","1,532"
2021,1,0,"4,584","1,135",910,"2,137",38,59,43,161,101
2021,1,10,"5,449","1,632","1,486","1,750",51,77,68,315,70
2021,1,20,"5,180","1,648","1,231","1,437",122,152,80,427,83
2021,1,30,"6,741","1,612","1,219","3,153",103,135,91,274,154
2021,1,40,"9,512","2,705","2,582","2,973",114,188,134,646,170
2021,1,50,"8,999","3,086","2,177","1,254",318,549,306,"1,048",261
2021,1,60,"6,676","2,255","1,057",818,449,625,393,804,275
2021,1,70,"4,336","1,450",602,425,385,405,266,587,216
2021,1,80,"2,969","1,005",357,249,310,319,172,388,169
2021,1,90,480,146,44,34,51,84,36,54,31
2021,1,100,32,18,1,4,3,0,2,2,2
2021,2,총,"54,950","16,670","11,711","14,227","1,945","2,598","1,591","4,678","1,530"
2021,2,0,"4,542","1,127",909,"2,109",39,58,44,160,96
2021,2,10,"5,459","1,628","1,492","1,761",49,79,68,308,74
2021,2,20,"5,131","1,637","1,220","1,422",120,153,76,420,83
2021,2,30,"6,670","1,598","1,205","3,117",105,132,90,272,151
2021,2,40,"9,539","2,687","2,615","2,999",116,184,135,634,169
2021,2,50,"9,044","3,096","2,192","1,281",317,542,304,"1,050",262
2021,2,60,"6,732","2,271","1,076",821,452,634,397,804,277
2021,2,70,"4,327","1,458",590,425,383,406,266,584,215
2021,2,80,"2,991","1,002",366,254,309,326,172,391,171
2021,2,90,484,148,46,34,52,84,37,53,30
2021,2,100,31,18,0,4,3,0,2,2,2
2021,3,총,"54,788","16,603","11,682","14,200","1,932","2,599","1,584","4,658","1,530"
2021,3,0,"4,490","1,111",899,"2,090",37,58,43,156,96
2021,3,10,"5,418","1,614","1,487","1,745",48,78,67,304,75
2021,3,20,"5,099","1,629","1,209","1,420",117,152,77,414,81
2021,3,30,"6,591","1,582","1,185","3,085",101,133,86,267,152
2021,3,40,"9,524","2,669","2,609","3,022",110,178,136,632,168
2021,3,50,"9,033","3,088","2,211","1,281",317,537,301,"1,035",263
2021,3,60,"6,796","2,291","1,081",836,458,641,393,818,278
2021,3,70,"4,321","1,458",589,428,382,404,269,581,210
2021,3,80,"3,023","1,012",366,258,307,336,174,396,174
2021,3,90,476,139,46,34,53,82,38,53,31
2021,3,100,17,10,0,1,2,0,0,2,2
2021,4,총,"54,757","16,594","11,686","14,191","1,941","2,607","1,564","4,645","1,529"
2021,4,0,"4,449","1,109",894,"2,067",38,61,34,151,95
2021,4,10,"5,419","1,605","1,485","1,757",50,79,65,304,74
2021,4,20,"5,092","1,641","1,212","1,412",118,144,77,405,83
2021,4,30,"6,560","1,570","1,181","3,075",102,137,78,267,150
2021,4,40,"9,517","2,657","2,606","3,031",113,180,137,625,168
2021,4,50,"9,036","3,092","2,214","1,291",317,528,298,"1,037",259
2021,4,60,"6,848","2,296","1,097",840,460,654,396,822,283
2021,4,70,"4,303","1,458",589,423,377,403,265,581,207
2021,4,80,"3,031","1,014",360,259,309,338,177,398,176
2021,4,90,484,142,48,35,54,83,37,53,32
2021,4,100,18,10,0,1,3,0,0,2,2
2021,5,총,"54,579","16,454","11,710","14,203","1,924","2,595","1,556","4,616","1,521"
2021,5,0,"4,423","1,109",884,"2,057",37,61,33,149,93
2021,5,10,"5,410","1,601","1,492","1,755",47,79,64,297,75
2021,5,20,"5,078","1,624","1,224","1,413",121,140,75,400,81
2021,5,30,"6,504","1,557","1,174","3,060",99,134,74,259,147
2021,5,40,"9,494","2,626","2,608","3,046",114,178,135,621,166
2021,5,50,"9,035","3,073","2,227","1,293",318,527,304,"1,031",262
2021,5,60,"6,835","2,278","1,102",854,451,651,394,824,281
2021,5,70,"4,279","1,430",591,426,373,404,267,584,204
2021,5,80,"3,012","1,006",359,263,306,338,170,394,176
2021,5,90,489,140,49,35,55,81,40,55,34
2021,5,100,20,10,0,1,3,2,0,2,2
2021,6,총,"54,586","16,446","11,717","14,214","1,913","2,614","1,550","4,608","1,524"
2021,6,0,"4,398","1,108",875,"2,043",35,64,33,147,93
2021,6,10,"5,407","1,593","1,497","1,764",46,81,60,292,74
2021,6,20,"5,028","1,608","1,214","1,399",121,137,74,396,79
2021,6,30,"6,490","1,567","1,172","3,048",96,132,73,254,148
2021,6,40,"9,496","2,615","2,602","3,079",113,174,130,615,168
2021,6,50,"9,038","3,073","2,235","1,290",314,533,305,"1,029",259
2021,6,60,"6,913","2,297","1,119",868,450,664,396,839,280
2021,6,70,"4,275","1,418",592,424,377,406,269,582,207
2021,6,80,"3,030","1,017",360,263,303,340,170,398,179
2021,6,90,491,140,51,35,56,81,40,53,35
2021,6,100,20,10,0,1,2,2,0,3,2
2021,7,총,"54,593","16,421","11,728","14,248","1,906","2,615","1,551","4,615","1,509"
2021,7,0,"4,355","1,093",866,"2,026",34,63,34,149,90
2021,7,10,"5,414","1,596","1,499","1,771",46,82,60,287,73
2021,7,20,"5,015","1,591","1,207","1,417",117,129,75,401,78
2021,7,30,"6,452","1,550","1,166","3,039",96,131,73,252,145
2021,7,40,"9,481","2,608","2,598","3,082",107,178,127,614,167
2021,7,50,"9,078","3,080","2,256","1,308",317,534,304,"1,028",251
2021,7,60,"6,966","2,319","1,126",877,451,660,397,852,284
2021,7,70,"4,264","1,413",596,421,377,408,268,576,205
2021,7,80,"3,054","1,019",363,268,304,345,174,401,180
2021,7,90,493,141,51,38,55,83,39,52,34
2021,7,100,21,11,0,1,2,2,0,3,2
2021,8,총,"54,631","16,427","11,737","14,285","1,906","2,617","1,548","4,606","1,505"
2021,8,0,"4,297","1,080",848,"2,009",38,60,31,142,89
2021,8,10,"5,436","1,599","1,505","1,785",46,85,58,285,73
2021,8,20,"5,034","1,602","1,211","1,414",118,130,77,407,75
2021,8,30,"6,429","1,542","1,162","3,045",93,127,74,244,142
2021,8,40,"9,459","2,590","2,591","3,097",104,176,127,606,168
2021,8,50,"9,101","3,082","2,263","1,322",320,535,299,"1,026",254
2021,8,60,"7,032","2,345","1,147",882,452,669,401,851,285
2021,8,70,"4,265","1,410",594,424,374,410,268,585,200
2021,8,80,"3,066","1,023",365,266,307,344,174,403,184
2021,8,90,492,143,51,40,52,80,39,54,33
2021,8,100,20,11,0,1,2,1,0,3,2
2021,9,총,"54,559","16,395","11,710","14,307","1,891","2,629","1,536","4,592","1,499"
2021,9,0,"4,263","1,075",832,"2,000",38,61,30,142,85
2021,9,10,"5,433","1,593","1,507","1,793",42,85,54,286,73
2021,9,20,"4,987","1,580","1,194","1,421",119,133,76,392,72
2021,9,30,"6,371","1,528","1,155","3,024",93,123,67,242,139
2021,9,40,"9,480","2,595","2,580","3,118",106,176,133,601,171
2021,9,50,"9,116","3,081","2,268","1,333",318,536,296,"1,029",255
2021,9,60,"7,041","2,350","1,152",884,449,667,400,851,288
2021,9,70,"4,264","1,418",595,422,370,412,270,578,199
2021,9,80,"3,088","1,017",374,271,305,353,171,415,182
2021,9,90,497,147,53,40,50,82,39,53,33
2021,9,100,19,11,0,1,1,1,0,3,2
2021,10,총,"54,592","16,391","11,720","14,331","1,894","2,622","1,540","4,592","1,502"
2021,10,0,"4,248","1,057",834,"2,003",39,60,30,140,85
2021,10,10,"5,440","1,596","1,504","1,798",42,85,54,286,75
2021,10,20,"4,959","1,569","1,189","1,413",121,132,76,387,72
2021,10,30,"6,356","1,521","1,154","3,014",93,122,68,244,140
2021,10,40,"9,489","2,587","2,579","3,140",107,173,135,597,171
2021,10,50,"9,127","3,089","2,279","1,341",316,528,298,"1,025",251
2021,10,60,"7,078","2,365","1,154",889,449,671,400,859,291
2021,10,70,"4,267","1,419",597,423,366,413,269,579,201
2021,10,80,"3,103","1,024",377,268,309,354,171,419,181
2021,10,90,505,153,53,41,51,82,39,53,33
2021,10,100,20,11,0,1,1,2,0,3,2
2021,11,총,"54,583","16,364","11,714","14,328","1,898","2,621","1,562","4,591","1,505"
2021,11,0,"4,234","1,047",829,"1,993",40,62,40,137,86
2021,11,10,"5,423","1,599","1,500","1,790",43,83,53,280,75
2021,11,20,"4,954","1,566","1,187","1,415",120,128,76,389,73
2021,11,30,"6,323","1,518","1,148","2,988",94,122,71,246,136
2021,11,40,"9,479","2,576","2,568","3,153",106,171,137,597,171
2021,11,50,"9,154","3,084","2,302","1,351",315,530,299,"1,022",251
2021,11,60,"7,111","2,375","1,150",899,455,676,403,860,293
2021,11,70,"4,267","1,412",598,430,363,412,270,583,199
2021,11,80,"3,114","1,023",378,270,312,353,173,419,186
2021,11,90,506,155,54,38,49,82,40,55,33
2021,11,100,18,9,0,1,1,2,0,3,2
2021,12,총,"54,562","16,351","11,732","14,312","1,903","2,616","1,567","4,589","1,492"
2021,12,0,"4,196","1,039",825,"1,981",40,57,40,133,81
2021,12,10,"5,415","1,597","1,502","1,784",45,78,54,279,76
2021,12,20,"4,930","1,559","1,186","1,386",120,132,76,395,76
2021,12,30,"6,285","1,504","1,148","2,971",90,120,72,248,132
2021,12,40,"9,500","2,563","2,568","3,182",110,172,141,592,172
2021,12,50,"9,166","3,093","2,312","1,359",313,523,298,"1,023",245
2021,12,60,"7,153","2,390","1,159",910,454,681,398,863,298
2021,12,70,"4,261","1,404",597,431,367,417,275,574,196
2021,12,80,"3,130","1,038",379,268,313,351,173,426,182
2021,12,90,509,155,56,40,50,83,40,53,32
2021,12,100,17,9,0,0,1,2,0,3,2
