년도,월,나이,북구,구포제1동,구포제2동,구포제3동,금곡동,화명제1동,화명제2동,화명제3동,덕천제1동,덕천제2동,덕천제3동,만덕제1동,만덕제2동,만덕제3동
2020,11,10,"23,492",713,"1,783","1,556","3,235","4,554","1,256","3,999",569,649,644,785,"2,394","1,355"
2020,11,20,"37,816","2,059","3,706","2,984","4,577","5,952","2,289","4,029","1,568","1,921","1,433","1,519","3,302","2,477"
2020,11,30,"33,763","1,996","3,323","2,058","3,890","5,531","1,695","3,171","1,521","1,535","1,183","2,041","3,407","2,412"
2020,11,40,"40,622","1,767","3,493","2,935","5,331","6,661","2,006","5,503","1,505","1,539","1,484","1,591","4,258","2,549"
2020,11,50,"54,348","2,934","5,307","4,339","7,649","8,422","3,239","5,494","2,271","2,363","1,991","2,228","4,639","3,472"
2020,11,60,"45,180","2,695","4,466","3,488","6,603","5,134","2,350","3,161","2,490","2,361","2,145","2,272","4,388","3,627"
2020,11,70,"21,265","1,298","2,008","1,573","3,636","1,749","1,114","1,712","1,324","1,145","1,268","1,067","1,889","1,482"
2020,11,80,"8,153",484,691,494,"1,855",585,449,697,593,435,468,336,599,467
2020,11,90,"1,026",65,77,58,199,81,73,82,69,61,49,47,88,77
2020,11,100,100,5,17,4,3,5,38,1,4,4,6,5,7,1
2020,12,총,"283,952","14,735","26,303","20,420","38,997","42,593","15,437","30,381","12,314","12,417","11,118","12,841","27,243","19,153"
2020,12,0,"18,994",747,"1,457",974,"2,169","4,107",964,"2,626",464,449,459,969,"2,324","1,285"
2020,12,10,"23,301",714,"1,779","1,543","3,190","4,515","1,249","3,948",569,639,637,785,"2,384","1,349"
2020,12,20,"37,585","2,024","3,681","2,980","4,564","5,898","2,284","4,011","1,569","1,913","1,429","1,493","3,290","2,449"
2020,12,30,"33,517","2,012","3,314","2,041","3,860","5,455","1,672","3,160","1,501","1,512","1,173","2,033","3,395","2,389"
2020,12,40,"40,485","1,759","3,505","2,922","5,282","6,663","2,007","5,476","1,481","1,534","1,474","1,601","4,231","2,550"
2020,12,50,"53,951","2,917","5,256","4,308","7,586","8,359","3,205","5,469","2,255","2,333","1,991","2,213","4,605","3,454"
2020,12,60,"45,465","2,712","4,500","3,518","6,639","5,156","2,380","3,184","2,488","2,387","2,149","2,289","4,412","3,651"
2020,12,70,"21,308","1,291","2,022","1,577","3,633","1,763","1,118","1,722","1,316","1,142","1,271","1,070","1,901","1,482"
2020,12,80,"8,206",489,693,493,"1,873",586,446,701,597,442,477,337,605,467
2020,12,90,"1,036",65,77,60,198,86,74,83,69,62,52,46,89,75
2020,12,100,104,5,19,4,3,5,38,1,5,4,6,5,7,2
2021,1,총,"283,452","14,673","26,204","20,408","38,980","42,565","15,376","30,290","12,257","12,414","11,089","12,851","27,177","19,168"
2021,1,0,"18,821",736,"1,426",965,"2,153","4,086",950,"2,610",460,442,449,972,"2,294","1,278"
2021,1,10,"23,181",704,"1,770","1,537","3,177","4,519","1,231","3,911",563,625,633,784,"2,379","1,348"
2021,1,20,"37,383","1,990","3,645","2,974","4,556","5,882","2,282","3,997","1,557","1,930","1,398","1,471","3,261","2,440"
2021,1,30,"33,415","2,002","3,286","2,036","3,856","5,437","1,659","3,158","1,482","1,513","1,176","2,040","3,384","2,386"
2021,1,40,"40,307","1,753","3,482","2,907","5,257","6,624","1,976","5,454","1,474","1,524","1,465","1,624","4,222","2,545"
2021,1,50,"53,738","2,887","5,228","4,300","7,570","8,358","3,198","5,440","2,229","2,326","1,989","2,189","4,571","3,453"
2021,1,60,"45,812","2,752","4,544","3,549","6,675","5,211","2,392","3,213","2,502","2,386","2,160","2,301","4,442","3,685"
2021,1,70,"21,368","1,283","2,025","1,577","3,634","1,768","1,130","1,718","1,318","1,152","1,279","1,080","1,920","1,484"
2021,1,80,"8,264",495,701,498,"1,901",587,447,700,596,448,479,339,602,471
2021,1,90,"1,054",65,78,61,198,87,72,88,70,64,55,46,95,75
2021,1,100,109,6,19,4,3,6,39,1,6,4,6,5,7,3
2021,2,총,"282,799","14,636","26,109","20,323","38,902","42,449","15,350","30,274","12,165","12,347","11,084","12,831","27,212","19,117"
2021,2,0,"18,690",725,"1,418",951,"2,143","4,038",949,"2,609",445,434,444,974,"2,295","1,265"
2021,2,10,"23,033",700,"1,759","1,525","3,151","4,497","1,226","3,886",554,622,627,776,"2,369","1,341"
2021,2,20,"37,057","1,970","3,605","2,940","4,528","5,822","2,265","3,964","1,544","1,896","1,400","1,453","3,259","2,411"
2021,2,30,"33,295","1,971","3,269","2,013","3,846","5,439","1,649","3,168","1,447","1,522","1,173","2,028","3,406","2,364"
2021,2,40,"40,186","1,762","3,472","2,881","5,226","6,596","1,976","5,458","1,454","1,503","1,469","1,636","4,213","2,540"
2021,2,50,"53,489","2,869","5,192","4,283","7,546","8,332","3,180","5,430","2,223","2,307","1,984","2,174","4,555","3,414"
2021,2,60,"46,100","2,774","4,553","3,586","6,723","5,261","2,404","3,237","2,505","2,390","2,164","2,311","4,469","3,723"
2021,2,70,"21,412","1,288","2,031","1,581","3,619","1,781","1,135","1,723","1,315","1,154","1,282","1,080","1,932","1,491"
2021,2,80,"8,368",505,715,497,"1,918",592,453,708,605,449,479,348,613,486
2021,2,90,"1,059",66,76,62,199,85,73,90,67,66,56,46,94,79
2021,2,100,110,6,19,4,3,6,40,1,6,4,6,5,7,3
2021,3,총,"281,851","14,554","25,952","20,225","38,816","42,326","15,464","30,187","12,082","12,290","10,974","12,746","27,158","19,077"
2021,3,0,"18,589",712,"1,412",923,"2,117","4,019",985,"2,593",442,428,443,976,"2,293","1,246"
2021,3,10,"22,894",693,"1,750","1,518","3,124","4,484","1,232","3,857",555,611,615,767,"2,365","1,323"
2021,3,20,"36,844","1,967","3,588","2,911","4,508","5,779","2,288","3,939","1,517","1,893","1,388","1,432","3,235","2,399"
2021,3,30,"33,094","1,946","3,242","2,003","3,813","5,390","1,693","3,168","1,424","1,519","1,148","2,008","3,388","2,352"
2021,3,40,"40,052","1,751","3,447","2,856","5,204","6,611","1,991","5,427","1,442","1,489","1,452","1,641","4,210","2,531"
2021,3,50,"53,063","2,852","5,145","4,253","7,500","8,233","3,205","5,421","2,198","2,270","1,966","2,123","4,504","3,393"
2021,3,60,"46,395","2,782","4,561","3,607","6,776","5,342","2,407","3,259","2,504","2,412","2,155","2,330","4,510","3,750"
2021,3,70,"21,433","1,286","2,021","1,585","3,628","1,782","1,145","1,723","1,313","1,150","1,272","1,081","1,932","1,515"
2021,3,80,"8,411",504,707,500,"1,941",598,453,709,611,456,480,343,622,487
2021,3,90,"1,039",59,74,65,202,86,62,89,70,61,54,43,96,78
2021,3,100,37,2,5,4,3,2,3,2,6,1,1,2,3,3
2021,4,총,"282,073","14,493","25,892","20,154","38,603","42,133","16,279","30,050","11,970","12,265","10,930","13,207","27,062","19,035"
2021,4,0,"18,592",702,"1,402",910,"2,083","3,986","1,133","2,546",425,434,439,"1,032","2,269","1,231"
2021,4,10,"22,815",691,"1,749","1,506","3,066","4,453","1,276","3,846",543,602,614,794,"2,357","1,318"
2021,4,20,"36,709","1,934","3,582","2,894","4,486","5,737","2,369","3,899","1,510","1,864","1,361","1,498","3,190","2,385"
2021,4,30,"33,279","1,945","3,224","2,004","3,781","5,363","1,907","3,137","1,403","1,528","1,145","2,138","3,358","2,346"
2021,4,40,"40,062","1,747","3,415","2,838","5,157","6,584","2,104","5,411","1,426","1,492","1,449","1,722","4,193","2,524"
2021,4,50,"52,859","2,825","5,107","4,223","7,447","8,142","3,307","5,392","2,175","2,237","1,958","2,164","4,501","3,381"
2021,4,60,"46,698","2,791","4,597","3,620","6,786","5,390","2,484","3,300","2,488","2,434","2,155","2,374","4,523","3,756"
2021,4,70,"21,506","1,288","2,021","1,592","3,630","1,792","1,165","1,719","1,315","1,155","1,272","1,091","1,943","1,523"
2021,4,80,"8,469",509,715,502,"1,961",595,466,707,604,460,483,348,630,489
2021,4,90,"1,048",59,75,62,203,89,65,91,75,58,53,44,95,79
2021,4,100,36,2,5,3,3,2,3,2,6,1,1,2,3,3
2021,5,총,"283,138","14,434","25,817","20,114","38,448","42,110","16,574","29,938","11,817","12,232","10,834","15,146","26,738","18,936"
2021,5,0,"18,695",691,"1,408",900,"2,062","3,971","1,177","2,523",415,428,426,"1,260","2,215","1,219"
2021,5,10,"22,782",683,"1,739","1,496","3,041","4,423","1,302","3,815",537,597,602,916,"2,320","1,311"
2021,5,20,"36,736","1,908","3,536","2,896","4,455","5,713","2,410","3,894","1,481","1,864","1,358","1,722","3,120","2,379"
2021,5,30,"33,579","1,957","3,204","1,974","3,747","5,345","1,968","3,110","1,372","1,529","1,117","2,639","3,305","2,312"
2021,5,40,"40,135","1,732","3,414","2,812","5,122","6,559","2,148","5,358","1,388","1,481","1,435","2,048","4,132","2,506"
2021,5,50,"52,846","2,797","5,059","4,216","7,404","8,139","3,342","5,401","2,140","2,210","1,940","2,419","4,439","3,340"
2021,5,60,"47,100","2,794","4,631","3,641","6,796","5,463","2,512","3,310","2,486","2,439","2,150","2,577","4,535","3,766"
2021,5,70,"21,648","1,300","2,025","1,610","3,656","1,806","1,166","1,716","1,315","1,158","1,274","1,146","1,945","1,531"
2021,5,80,"8,518",509,721,504,"1,956",598,478,721,603,461,478,373,626,490
2021,5,90,"1,062",61,74,62,206,91,68,88,74,64,53,44,98,79
2021,5,100,37,2,6,3,3,2,3,2,6,1,1,2,3,3
2021,6,총,"283,612","14,407","25,793","20,059","38,404","42,030","16,770","29,891","11,646","12,186","10,852","16,092","26,607","18,875"
2021,6,0,"18,689",682,"1,400",889,"2,055","3,959","1,186","2,504",398,432,431,"1,359","2,187","1,207"
2021,6,10,"22,756",673,"1,728","1,487","3,015","4,399","1,334","3,814",524,591,605,978,"2,303","1,305"
2021,6,20,"36,711","1,905","3,524","2,882","4,437","5,682","2,424","3,882","1,441","1,874","1,362","1,824","3,109","2,365"
2021,6,30,"33,680","1,946","3,179","1,970","3,730","5,334","1,994","3,105","1,368","1,498","1,119","2,872","3,278","2,287"
2021,6,40,"40,125","1,712","3,421","2,797","5,098","6,526","2,179","5,347","1,341","1,477","1,433","2,188","4,103","2,503"
2021,6,50,"52,802","2,786","5,038","4,209","7,401","8,121","3,374","5,373","2,085","2,197","1,937","2,561","4,392","3,328"
2021,6,60,"47,455","2,824","4,669","3,635","6,830","5,500","2,546","3,334","2,486","2,441","2,147","2,705","4,565","3,773"
2021,6,70,"21,725","1,301","2,031","1,613","3,665","1,810","1,171","1,725","1,321","1,156","1,285","1,179","1,937","1,531"
2021,6,80,"8,562",515,724,511,"1,963",605,488,718,601,456,478,379,629,495
2021,6,90,"1,071",61,73,63,208,92,71,86,75,63,54,45,102,78
2021,6,100,36,2,6,3,2,2,3,3,6,1,1,2,2,3
2021,7,총,"283,696","15,200","25,527","19,880","38,304","41,948","16,828","29,826","11,384","12,132","10,826","16,411","26,564","18,866"
2021,7,0,"18,687",780,"1,363",871,"2,028","3,954","1,190","2,497",390,427,409,"1,389","2,194","1,195"
2021,7,10,"22,697",710,"1,707","1,461","3,000","4,386","1,342","3,796",507,589,605,996,"2,294","1,304"
2021,7,20,"36,558","1,981","3,481","2,854","4,415","5,625","2,424","3,868","1,415","1,832","1,375","1,849","3,085","2,354"
2021,7,30,"33,728","2,112","3,132","1,920","3,707","5,309","2,016","3,109","1,323","1,507","1,103","2,957","3,270","2,263"
2021,7,40,"40,062","1,840","3,359","2,760","5,081","6,518","2,186","5,303","1,285","1,463","1,437","2,229","4,091","2,510"
2021,7,50,"52,703","2,889","4,994","4,178","7,354","8,113","3,369","5,373","2,037","2,199","1,920","2,586","4,364","3,327"
2021,7,60,"47,761","2,949","4,668","3,652","6,861","5,533","2,561","3,341","2,446","2,443","2,153","2,776","4,573","3,805"
2021,7,70,"21,787","1,351","2,027","1,603","3,669","1,813","1,182","1,723","1,298","1,156","1,284","1,195","1,954","1,532"
2021,7,80,"8,606",523,719,516,"1,979",606,482,726,603,452,485,386,637,492
2021,7,90,"1,073",62,73,62,208,89,73,87,74,64,54,46,100,81
2021,7,100,34,3,4,3,2,2,3,3,6,0,1,2,2,3
2021,8,총,"283,901","15,732","25,382","19,785","38,216","41,878","16,897","29,870","11,304","12,091","10,816","16,546","26,542","18,842"
2021,8,0,"18,651",834,"1,346",849,"2,006","3,940","1,190","2,490",388,427,408,"1,404","2,186","1,183"
2021,8,10,"22,679",751,"1,693","1,431","2,983","4,384","1,353","3,801",502,584,603,"1,005","2,290","1,299"
2021,8,20,"36,404","2,051","3,444","2,841","4,379","5,578","2,413","3,850","1,392","1,813","1,380","1,846","3,065","2,352"
2021,8,30,"33,776","2,213","3,089","1,894","3,699","5,286","2,034","3,145","1,300","1,507","1,087","3,006","3,270","2,246"
2021,8,40,"40,047","1,922","3,343","2,732","5,037","6,490","2,206","5,304","1,270","1,458","1,442","2,251","4,078","2,514"
2021,8,50,"52,677","2,965","4,969","4,181","7,346","8,111","3,371","5,391","2,020","2,173","1,917","2,579","4,349","3,305"
2021,8,60,"47,994","3,028","4,666","3,657","6,896","5,567","2,580","3,342","2,450","2,447","2,142","2,808","4,590","3,821"
2021,8,70,"21,902","1,370","2,026","1,607","3,681","1,826","1,190","1,728","1,298","1,165","1,296","1,206","1,968","1,541"
2021,8,80,"8,648",531,728,526,"1,976",603,486,730,602,452,485,393,642,494
2021,8,90,"1,089",65,74,64,210,91,71,86,76,65,55,46,102,84
2021,8,100,34,2,4,3,3,2,3,3,6,0,1,2,2,3
2021,9,총,"283,937","15,881","25,377","19,737","38,185","41,861","16,963","29,879","11,249","12,098","10,784","16,565","26,560","18,798"
