년도,월,나이,안성시,공도읍,보개면,금광면,서운면,미양면,대덕면,양성면,원곡면,일죽면,죽산면,삼죽면,고삼면,안성1동,안성2동,안성3동
2021,4,80,"2,746",454,164,174,115,160,178,161,90,207,192,112,74,239,190,236
2021,4,90,207,35,15,11,9,11,9,15,13,15,10,3,5,18,20,18
2021,4,100,6,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0
2021,5,총,"97,419","30,296","2,823","3,668","1,768","3,233","8,591","2,751","3,608","4,054","3,752","1,947","1,015","6,246","12,395","11,272"
2021,5,0,"7,017","2,927",90,201,49,104,714,79,223,144,106,43,22,341,"1,083",891
2021,5,10,"9,532","3,890",175,313,75,148,565,126,219,309,288,187,47,529,"1,364","1,297"
2021,5,20,"12,712","3,774",290,403,185,348,"1,174",266,485,382,400,230,112,866,"1,969","1,828"
2021,5,30,"12,530","4,358",239,337,131,341,"1,499",233,575,370,333,191,82,713,"1,730","1,398"
2021,5,40,"16,164","6,186",323,527,206,460,"1,571",333,562,486,447,201,108,915,"2,101","1,738"
2021,5,50,"16,755","4,693",558,695,379,615,"1,382",567,641,753,812,344,199,"1,135","2,001","1,981"
2021,5,60,"13,445","2,677",659,715,402,704,"1,036",658,562,893,788,413,253,986,"1,384","1,315"
2021,5,70,"6,291","1,300",315,292,213,338,460,315,237,490,373,223,113,501,553,568
2021,5,80,"2,754",455,160,173,119,163,180,159,91,210,194,112,74,240,189,235
2021,5,90,213,35,14,11,9,11,10,15,13,16,10,3,5,19,21,21
2021,5,100,6,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0
2021,6,총,"97,561","30,386","2,818","3,669","1,770","3,220","8,590","2,745","3,622","4,043","3,737","1,949","1,015","6,272","12,416","11,309"
2021,6,0,"6,986","2,917",88,199,47,105,712,74,218,144,105,40,25,341,"1,076",895
2021,6,10,"9,512","3,902",173,313,76,145,555,127,221,304,287,186,47,530,"1,348","1,298"
2021,6,20,"12,747","3,789",295,403,188,345,"1,176",267,477,379,395,239,113,874,"1,976","1,831"
2021,6,30,"12,557","4,383",239,332,129,338,"1,502",230,582,371,325,187,80,719,"1,740","1,400"
2021,6,40,"16,176","6,191",320,524,204,456,"1,575",325,570,484,442,201,108,915,"2,111","1,750"
2021,6,50,"16,741","4,701",552,699,376,613,"1,377",571,643,750,806,346,196,"1,132","1,994","1,985"
2021,6,60,"13,561","2,709",662,723,407,704,"1,045",663,569,891,798,412,254,996,"1,401","1,327"
2021,6,70,"6,292","1,301",313,294,213,339,456,308,239,488,374,222,114,506,554,571
2021,6,80,"2,767",456,162,170,121,163,183,163,89,215,194,112,74,239,195,231
2021,6,90,216,36,14,11,9,11,9,17,14,16,10,4,4,19,21,21
2021,6,100,6,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0
2021,7,총,"97,699","30,423","2,817","3,673","1,771","3,227","8,604","2,738","3,643","4,024","3,761","1,990","1,004","6,265","12,459","11,300"
2021,7,0,"6,959","2,901",86,202,45,106,712,72,222,144,105,37,26,341,"1,076",884
2021,7,10,"9,540","3,909",171,311,75,146,557,130,222,296,293,222,46,521,"1,341","1,300"
2021,7,20,"12,783","3,803",293,407,188,341,"1,184",262,474,375,399,248,110,878,"1,986","1,835"
2021,7,30,"12,554","4,372",240,326,129,337,"1,503",224,593,365,332,187,79,719,"1,750","1,398"
2021,7,40,"16,130","6,163",321,524,203,454,"1,578",320,571,482,443,201,105,902,"2,122","1,741"
2021,7,50,"16,731","4,721",545,694,378,609,"1,359",568,645,742,809,345,195,"1,135","2,000","1,986"
2021,7,60,"13,694","2,752",673,732,406,717,"1,058",671,574,901,799,414,254,"1,003","1,411","1,329"
2021,7,70,"6,305","1,303",312,297,216,339,458,310,241,484,372,220,113,506,556,578
2021,7,80,"2,775",463,162,167,122,165,185,164,87,217,196,112,72,238,196,229
2021,7,90,222,35,14,12,9,12,10,17,14,17,12,4,4,21,21,20
2021,7,100,6,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0
