년도,월,나이,경기도 동두천시,경기도 동두천시 생연1동,경기도 동두천시 생연2동,경기도 동두천시 중앙동,경기도 동두천시 보산동,경기도 동두천시 불현동,경기도 동두천시 송내동,경기도 동두천시 소요동,경기도 동두천시 상패동
2021,1,50,"16,520","1,258","2,016","1,046",581,"4,942","4,060","1,600","1,017"
2021,1,60,"13,340","1,124","1,635","1,081",543,"3,772","2,552","1,650",983
2021,1,70,"8,795",658,"1,172",657,389,"2,309","1,853","1,110",647
2021,1,80,"4,449",369,635,369,188,"1,136",859,563,330
2021,1,90,625,40,65,83,26,147,123,79,62
2021,1,100,85,3,7,25,2,12,5,22,9
2021,2,총,"94,318","6,987","11,938","5,125","3,084","27,497","25,411","8,825","5,451"
2021,2,0,"6,182",481,757,141,144,"1,897","2,103",404,255
2021,2,10,"8,534",582,"1,199",206,204,"2,610","2,942",506,285
2021,2,20,"11,272",756,"1,344",498,330,"3,502","3,327",918,597
2021,2,30,"10,103",763,"1,183",432,286,"2,984","3,043",786,626
2021,2,40,"14,269",950,"1,894",584,385,"4,140","4,502","1,167",647
2021,2,50,"16,518","1,253","2,025","1,044",579,"4,948","4,069","1,597","1,003"
2021,2,60,"13,446","1,129","1,661","1,087",544,"3,795","2,574","1,665",991
2021,2,70,"8,790",656,"1,161",653,392,"2,316","1,859","1,112",641
2021,2,80,"4,493",375,641,373,191,"1,147",862,569,335
2021,2,90,625,38,66,82,27,146,125,79,62
2021,2,100,86,4,7,25,2,12,5,22,9
2021,3,총,"93,351","6,879","11,945","4,984","2,941","27,245","25,300","8,716","5,341"
2021,3,0,"6,125",483,749,144,142,"1,871","2,077",403,256
2021,3,10,"8,490",572,"1,232",203,203,"2,574","2,914",506,286
2021,3,20,"11,185",758,"1,328",491,325,"3,470","3,309",910,594
2021,3,30,"10,053",767,"1,190",426,283,"2,949","3,030",784,624
2021,3,40,"14,079",932,"1,898",562,367,"4,084","4,461","1,138",637
2021,3,50,"16,326","1,218","2,023","1,016",553,"4,899","4,064","1,577",976
2021,3,60,"13,375","1,112","1,674","1,066",514,"3,797","2,595","1,656",961
2021,3,70,"8,653",637,"1,153",633,361,"2,302","1,848","1,098",621
2021,3,80,"4,458",364,632,361,175,"1,155",880,567,324
2021,3,90,580,35,65,75,18,140,120,68,59
2021,3,100,27,1,1,7,0,4,2,9,3
2021,4,총,"93,289","6,853","11,996","4,972","2,938","27,154","25,309","8,749","5,318"
2021,4,0,"6,057",478,746,141,138,"1,841","2,057",403,253
2021,4,10,"8,511",579,"1,236",205,200,"2,583","2,915",511,282
2021,4,20,"11,157",745,"1,333",489,323,"3,453","3,317",904,593
2021,4,30,"9,993",764,"1,189",423,284,"2,926","3,001",789,617
2021,4,40,"14,050",922,"1,910",547,369,"4,081","4,452","1,140",629
2021,4,50,"16,338","1,219","2,028","1,013",548,"4,870","4,103","1,582",975
2021,4,60,"13,466","1,115","1,694","1,077",524,"3,798","2,620","1,667",971
2021,4,70,"8,617",635,"1,147",629,356,"2,302","1,834","1,104",610
2021,4,80,"4,491",360,647,364,179,"1,153",888,572,328
2021,4,90,582,35,65,77,17,143,120,68,57
2021,4,100,27,1,1,7,0,4,2,9,3
2021,5,총,"93,292","6,872","12,026","4,954","2,950","27,093","25,302","8,756","5,339"
2021,5,0,"6,040",479,740,140,142,"1,831","2,049",402,257
2021,5,10,"8,474",572,"1,243",206,201,"2,566","2,901",505,280
2021,5,20,"11,166",749,"1,327",481,329,"3,476","3,311",899,594
2021,5,30,"10,005",771,"1,213",424,283,"2,903","2,997",786,628
2021,5,40,"13,941",902,"1,888",540,371,"4,050","4,413","1,144",633
2021,5,50,"16,327","1,232","2,030","1,002",547,"4,838","4,119","1,583",976
2021,5,60,"13,569","1,120","1,713","1,079",526,"3,827","2,654","1,677",973
2021,5,70,"8,631",649,"1,153",640,351,"2,292","1,835","1,106",605
2021,5,80,"4,522",363,651,357,181,"1,160",902,575,333
2021,5,90,591,34,67,78,19,147,119,70,57
2021,5,100,26,1,1,7,0,3,2,9,3
2021,6,총,"93,354","6,901","12,001","4,961","2,944","27,056","25,372","8,808","5,311"
2021,6,0,"6,004",483,738,145,138,"1,807","2,040",401,252
2021,6,10,"8,468",580,"1,233",201,201,"2,567","2,901",512,273
2021,6,20,"11,157",749,"1,326",474,333,"3,460","3,319",900,596
2021,6,30,"10,013",763,"1,218",424,276,"2,907","3,013",791,621
2021,6,40,"13,927",900,"1,882",545,368,"4,039","4,419","1,149",625
2021,6,50,"16,333","1,245","2,022","1,001",549,"4,821","4,134","1,588",973
2021,6,60,"13,669","1,126","1,716","1,084",524,"3,848","2,687","1,705",979
2021,6,70,"8,618",652,"1,145",643,356,"2,292","1,822","1,105",603
2021,6,80,"4,545",368,652,360,181,"1,164",910,580,330
2021,6,90,594,34,68,76,18,148,125,69,56
2021,6,100,26,1,1,8,0,3,2,8,3
2021,7,총,"93,447","6,938","11,979","4,960","2,937","27,094","25,394","8,838","5,307"
2021,7,0,"5,992",475,737,147,137,"1,802","2,034",405,255
2021,7,10,"8,482",596,"1,228",195,200,"2,572","2,897",520,274
2021,7,20,"11,115",757,"1,319",469,332,"3,428","3,321",893,596
2021,7,30,"9,977",767,"1,209",431,280,"2,918","2,975",782,615
2021,7,40,"13,938",897,"1,882",545,359,"4,035","4,430","1,167",623
2021,7,50,"16,386","1,254","2,017",994,554,"4,841","4,165","1,600",961
2021,7,60,"13,742","1,132","1,722","1,088",520,"3,880","2,707","1,707",986
2021,7,70,"8,609",656,"1,139",648,354,"2,293","1,812","1,103",604
2021,7,80,"4,583",370,657,359,185,"1,175",922,583,332
2021,7,90,598,33,68,77,16,147,129,70,58
2021,7,100,25,1,1,7,0,3,2,8,3
2021,8,총,"93,414","6,961","11,955","4,965","2,917","27,097","25,381","8,834","5,304"
2021,8,0,"5,958",472,734,153,132,"1,799","2,011",401,256
2021,8,10,"8,453",600,"1,228",199,196,"2,563","2,876",518,273
2021,8,20,"11,104",758,"1,308",475,322,"3,430","3,331",890,590
2021,8,30,"9,977",761,"1,206",428,281,"2,918","2,986",784,613
2021,8,40,"13,876",908,"1,872",547,347,"4,013","4,404","1,163",622
2021,8,50,"16,379","1,253","1,999",985,558,"4,857","4,172","1,594",961
2021,8,60,"13,831","1,151","1,741","1,086",523,"3,892","2,732","1,721",985
2021,8,70,"8,600",650,"1,137",649,352,"2,292","1,809","1,100",611
2021,8,80,"4,619",376,661,359,189,"1,181",932,589,332
2021,8,90,592,31,68,77,17,149,125,67,58
2021,8,100,25,1,1,7,0,3,3,7,3
2021,9,총,"93,479","6,926","11,924","4,975","2,911","26,996","25,608","8,844","5,295"
2021,9,0,"5,936",462,728,156,127,"1,789","2,014",403,257
2021,9,10,"8,443",597,"1,235",199,195,"2,554","2,869",519,275
2021,9,20,"11,067",745,"1,293",467,319,"3,390","3,384",889,580
2021,9,30,"10,015",754,"1,197",432,279,"2,913","3,051",784,605
2021,9,40,"13,859",900,"1,868",550,350,"3,993","4,419","1,158",621
2021,9,50,"16,380","1,242","2,005",990,547,"4,849","4,178","1,604",965
2021,9,60,"13,927","1,167","1,739","1,095",534,"3,903","2,775","1,728",986
2021,9,70,"8,595",644,"1,130",640,354,"2,279","1,838","1,096",614
2021,9,80,"4,646",382,661,362,189,"1,175",956,590,331
2021,9,90,588,32,67,77,17,149,122,66,58
2021,9,100,23,1,1,7,0,2,2,7,3
2021,10,총,"93,508","6,910","11,917","4,946","2,925","26,914","25,753","8,868","5,275"
2021,10,0,"5,897",451,729,151,129,"1,770","2,013",401,253
2021,10,10,"8,409",585,"1,230",195,193,"2,543","2,868",522,273
2021,10,20,"11,036",748,"1,286",450,319,"3,360","3,415",881,577
2021,10,30,"10,020",755,"1,192",436,280,"2,908","3,076",782,591
2021,10,40,"13,829",885,"1,860",545,351,"3,978","4,412","1,178",620
2021,10,50,"16,385","1,253","2,006",980,553,"4,826","4,200","1,606",961
2021,10,60,"14,019","1,174","1,753","1,103",539,"3,910","2,811","1,728","1,001"
2021,10,70,"8,592",646,"1,127",638,352,"2,267","1,852","1,100",610
2021,10,80,"4,697",378,665,364,192,"1,199",976,595,328
2021,10,90,600,34,68,77,17,150,128,68,58
2021,10,100,24,1,1,7,0,3,2,7,3
2021,11,총,"93,528","6,915","11,907","4,946","2,940","26,911","25,800","8,849","5,260"
2021,11,0,"5,853",444,716,154,131,"1,768","1,985",401,254
2021,11,10,"8,410",583,"1,244",189,195,"2,522","2,887",515,275
2021,11,20,"11,039",746,"1,274",440,322,"3,377","3,427",878,575
2021,11,30,"9,993",752,"1,183",439,281,"2,901","3,066",779,592
2021,11,40,"13,818",891,"1,858",548,350,"3,974","4,405","1,176",616
2021,11,50,"16,439","1,259","2,019",977,559,"4,835","4,230","1,607",953
2021,11,60,"14,064","1,175","1,758","1,109",541,"3,913","2,838","1,732",998
2021,11,70,"8,557",645,"1,128",637,347,"2,264","1,838","1,095",603
2021,11,80,"4,735",381,663,367,197,"1,204",995,595,333
2021,11,90,598,38,63,79,17,150,127,65,59
2021,11,100,22,1,1,7,0,3,2,6,2
2021,12,총,"93,592","6,940","11,901","4,932","2,946","26,866","25,829","8,899","5,279"
2021,12,0,"5,830",438,711,152,127,"1,751","1,984",408,259
2021,12,10,"8,392",578,"1,245",189,195,"2,513","2,865",524,283
2021,12,20,"11,053",752,"1,268",444,326,"3,362","3,462",879,560
2021,12,30,"10,009",762,"1,184",442,282,"2,880","3,068",792,599
2021,12,40,"13,815",893,"1,852",554,348,"3,971","4,386","1,197",614
2021,12,50,"16,452","1,266","2,028",970,559,"4,836","4,242","1,597",954
2021,12,60,"14,139","1,190","1,761","1,108",549,"3,932","2,852","1,740","1,007"
2021,12,70,"8,523",635,"1,126",627,346,"2,259","1,834","1,096",600
2021,12,80,"4,755",388,663,367,192,"1,207","1,001",596,341
2021,12,90,603,37,62,74,22,151,133,64,60
2021,12,100,21,1,1,5,0,4,2,6,2
