년도,월,나이,영주시,풍기읍,이산면,평은면,문수면,장수면,안정면,봉현면,순흥면,단산면,부석면,상망동,하망동,영주1동,영주2동,휴천1동,휴천2동,휴천3동,가흥1동,가흥2동
2020,5,20,"5,769",595,140,51,99,97,148,111,88,74,72,476,348,199,176,432,547,576,"1,109",431
2020,5,30,"4,740",394,75,31,62,83,106,73,54,57,84,323,254,181,141,287,380,363,"1,359",433
2020,5,40,"7,314",677,108,71,114,116,164,180,80,96,142,639,437,254,219,562,554,524,"1,754",623
2020,5,50,"9,310",942,284,147,176,202,278,278,208,185,334,730,574,390,324,618,776,812,"1,394",658
2020,5,60,"8,553","1,094",272,166,236,262,365,357,266,243,405,544,453,391,313,370,645,620,985,566
2020,5,70,"5,333",630,176,135,152,174,254,229,158,145,282,354,288,246,233,267,444,364,511,291
2020,5,80,"2,347",268,105,72,77,99,134,84,83,86,133,146,127,111,83,90,180,134,211,124
2020,5,90,209,26,9,10,8,12,7,12,9,9,8,9,9,10,6,10,14,14,18,9
2020,5,100,13,4,0,0,0,0,0,2,1,1,1,0,1,1,0,0,1,0,1,0
2020,6,총,"51,573","5,258","1,248",731,"1,011","1,134","1,568","1,436","1,022",957,"1,557","4,007","2,987","2,010","1,726","3,359","4,090","4,061","9,550","3,861"
2020,6,0,"3,282",252,31,16,34,30,48,41,23,17,30,268,181,96,99,256,211,242,"1,119",288
2020,6,10,"4,737",371,49,28,50,62,67,64,45,41,74,533,307,136,141,471,356,401,"1,094",447
2020,6,20,"5,772",597,138,55,99,95,145,113,95,73,73,481,352,199,172,435,541,579,"1,101",429
2020,6,30,"4,718",396,75,31,61,82,106,76,55,55,85,317,259,179,138,281,375,365,"1,355",427
2020,6,40,"7,289",674,108,70,117,116,168,178,80,96,137,632,432,251,215,564,552,529,"1,754",616
2020,6,50,"9,279",939,286,144,176,200,274,276,206,186,330,728,577,388,325,615,765,809,"1,396",659
2020,6,60,"8,570","1,090",272,169,237,264,361,357,269,246,402,542,452,392,316,369,653,626,982,571
2020,6,70,"5,355",640,176,135,153,175,258,233,157,146,282,347,290,245,233,267,442,362,520,294
2020,6,80,"2,351",267,103,73,77,98,134,84,85,87,136,150,127,113,81,91,180,133,211,121
