년도,월,나이,전라남도 보성군,전라남도 보성군 보성읍,전라남도 보성군 벌교읍,전라남도 보성군 노동면,전라남도 보성군 미력면,전라남도 보성군 겸백면,전라남도 보성군 율어면,전라남도 보성군 복내면,전라남도 보성군 문덕면,전라남도 보성군 조성면,전라남도 보성군 득량면,전라남도 보성군 득량면예당출장소,전라남도 보성군 회천면,전라남도 보성군 웅치면
2020,8,10,"2,638",847,855,52,57,52,69,80,49,177,126,73,166,35
2020,8,20,"3,005",983,833,58,91,65,61,108,44,247,144,91,194,86
2020,8,30,"2,599",831,773,55,77,58,51,80,31,211,161,91,130,50
2020,8,40,"4,249","1,263","1,299",88,111,94,112,142,87,341,238,130,270,74
2020,8,50,"6,756","1,526","1,953",174,235,180,194,260,165,590,490,212,593,184
2020,8,60,"7,549","1,342","2,267",230,287,219,199,349,180,777,582,254,652,211
2020,8,70,"6,677",993,"2,015",202,260,226,239,320,183,735,532,205,545,222
2020,8,80,"4,715",655,"1,273",200,222,221,202,268,117,509,397,135,346,170
2020,8,90,707,78,192,38,28,32,23,38,20,80,70,14,59,35
2020,8,100,38,6,15,0,1,0,1,1,1,1,5,0,5,2
2020,9,총,"40,689","9,199","11,990","1,129","1,414","1,181","1,198","1,702",894,"3,782","2,797","1,256","3,054","1,093"
2020,9,0,"1,802",674,539,30,37,31,45,65,23,117,68,55,89,29
2020,9,10,"2,631",853,847,47,61,53,69,78,48,176,125,75,164,35
2020,9,20,"2,992",976,832,66,90,63,61,109,44,246,139,89,192,85
2020,9,30,"2,576",832,761,55,77,58,50,76,31,206,158,89,132,51
2020,9,40,"4,234","1,253","1,295",89,112,95,111,140,85,342,236,129,273,74
2020,9,50,"6,717","1,522","1,941",171,235,183,196,259,164,584,484,208,590,180
2020,9,60,"7,594","1,353","2,276",232,292,219,203,346,179,782,586,255,659,212
2020,9,70,"6,668",995,"2,009",202,259,227,235,321,183,739,525,206,546,221
2020,9,80,"4,720",656,"1,281",198,221,221,202,269,117,508,399,135,346,167
2020,9,90,716,78,194,39,29,31,25,38,18,81,72,15,59,37
2020,9,100,39,7,15,0,1,0,1,1,2,1,5,0,4,2
2020,10,총,"40,611","9,209","11,958","1,120","1,410","1,174","1,194","1,698",891,"3,766","2,802","1,253","3,047","1,089"
2020,10,0,"1,785",672,531,29,38,30,44,66,23,117,67,53,86,29
2020,10,10,"2,614",855,840,44,61,50,68,75,47,171,129,76,165,33
2020,10,20,"2,985",975,834,63,91,63,62,111,44,241,139,88,192,82
2020,10,30,"2,570",832,757,53,78,58,51,76,32,206,159,88,128,52
2020,10,40,"4,207","1,254","1,280",89,111,92,109,140,83,339,238,128,271,73
