년도,월,나이,보성군,보성읍,벌교읍,노동면,미력면,겸백면,율어면,복내면,문덕면,조성면,득량면,득량면예당출장소,회천면,웅치면
2020,7,80,"1,473",222,403,47,70,66,61,71,39,156,119,42,120,57
2020,7,90,143,17,36,8,3,11,3,10,3,13,18,0,13,8
2020,7,100,6,0,5,0,0,0,0,0,0,0,1,0,0,0
2020,8,총,"19,796","4,508","5,862",544,697,560,574,812,459,"1,812","1,347",603,"1,489",529
2020,8,0,958,357,300,15,23,11,25,29,11,65,30,32,45,15
2020,8,10,"1,342",407,444,33,32,28,38,45,24,99,63,32,79,18
2020,8,20,"1,698",547,473,32,46,35,36,61,25,143,83,56,117,44
2020,8,30,"1,388",414,430,32,49,24,29,42,21,111,83,51,69,33
2020,8,40,"2,414",635,732,57,69,56,74,83,57,212,150,75,165,49
2020,8,50,"3,763",823,"1,083",102,140,115,112,139,107,339,301,95,307,100
2020,8,60,"3,781",654,"1,101",128,161,109,107,194,91,379,278,133,337,109
2020,8,70,"2,821",428,855,89,103,106,89,137,81,295,219,85,239,95
2020,8,80,"1,476",226,400,47,71,65,60,71,39,155,122,44,118,58
2020,8,90,149,17,39,9,3,11,4,11,3,14,17,0,13,8
2020,8,100,6,0,5,0,0,0,0,0,0,0,1,0,0,0
2020,9,총,"19,791","4,506","5,852",544,702,563,578,805,458,"1,811","1,341",603,"1,502",526
2020,9,0,951,359,294,15,20,12,26,26,11,65,31,32,45,15
2020,9,10,"1,343",409,446,30,36,30,38,43,24,97,62,33,78,17
2020,9,20,"1,691",541,465,36,46,34,36,62,25,144,83,56,119,44
2020,9,30,"1,378",411,427,33,49,23,29,40,22,108,81,50,72,33
2020,9,40,"2,413",626,735,57,70,58,73,83,56,214,151,75,166,49
2020,9,50,"3,759",830,"1,075",98,142,116,114,140,108,337,297,93,310,99
2020,9,60,"3,796",656,"1,109",130,163,109,108,192,90,383,278,132,338,108
2020,9,70,"2,823",430,854,89,102,105,90,137,81,294,218,87,242,94
2020,9,80,"1,480",226,404,47,71,65,60,71,39,155,122,45,118,57
2020,9,90,151,18,38,9,3,11,4,11,2,14,17,0,14,10
2020,9,100,6,0,5,0,0,0,0,0,0,0,1,0,0,0
2020,10,총,"19,766","4,512","5,843",539,703,563,577,803,458,"1,800","1,343",602,"1,499",524
2020,10,0,945,358,290,15,21,12,26,26,11,64,31,31,45,15
2020,10,10,"1,335",410,442,29,36,28,37,43,23,95,65,34,77,16
2020,10,20,"1,687",537,467,35,46,35,37,63,25,143,83,55,119,42
2020,10,30,"1,378",414,423,31,50,25,31,39,23,108,80,49,71,34
2020,10,40,"2,405",630,733,57,70,56,71,83,55,211,151,75,164,49
2020,10,50,"3,747",827,"1,073",99,141,116,112,140,108,336,296,90,309,100
2020,10,60,"3,812",661,"1,115",127,163,111,109,191,91,378,281,135,341,109
2020,10,70,"2,813",430,846,91,102,105,88,133,81,298,218,88,241,92
2020,10,80,"1,491",228,410,47,71,64,62,74,39,154,120,45,120,57
2020,10,90,147,17,39,8,3,11,4,11,2,13,17,0,12,10
2020,10,100,6,0,5,0,0,0,0,0,0,0,1,0,0,0
2020,11,총,"19,727","4,518","5,823",535,697,563,575,799,458,"1,791","1,340",602,"1,502",524
2020,11,0,931,360,282,14,20,12,26,24,11,61,33,32,43,13
2020,11,10,"1,337",411,444,27,36,28,36,43,22,95,66,32,79,18
2020,11,20,"1,684",538,464,35,44,34,37,63,26,141,83,59,119,41
2020,11,30,"1,359",409,420,32,49,26,31,39,23,105,79,46,67,33
2020,11,40,"2,396",631,728,56,69,56,70,79,55,211,150,74,168,49
2020,11,50,"3,726",823,"1,060",99,140,115,115,141,108,335,292,89,308,101
2020,11,60,"3,826",662,"1,124",129,164,112,108,192,92,374,280,136,344,109
2020,11,70,"2,827",438,846,90,103,104,89,136,80,301,217,90,240,93
2020,11,80,"1,488",231,411,45,69,65,60,71,39,154,122,44,120,57
2020,11,90,147,15,39,8,3,11,3,11,2,14,17,0,14,10
2020,11,100,6,0,5,0,0,0,0,0,0,0,1,0,0,0
2020,12,총,"19,719","4,513","5,809",540,699,566,579,804,456,"1,790","1,336",595,"1,511",521
2020,12,0,925,363,279,14,18,12,26,25,9,61,33,30,42,13
2020,12,10,"1,329",405,441,28,36,28,36,45,22,96,64,29,81,18
2020,12,20,"1,676",535,454,37,46,36,36,63,27,135,86,61,119,41
2020,12,30,"1,367",414,418,33,50,26,32,40,21,105,83,45,69,31
2020,12,40,"2,388",627,726,56,71,57,70,78,55,208,145,74,172,49
2020,12,50,"3,714",810,"1,065",99,140,115,118,142,105,337,284,89,309,101
2020,12,60,"3,837",669,"1,123",128,164,111,108,193,95,376,282,134,345,109
2020,12,70,"2,834",440,849,92,102,105,88,134,81,305,218,90,238,92
2020,12,80,"1,493",234,410,45,69,65,61,73,38,152,124,43,122,57
2020,12,90,150,16,39,8,3,11,4,11,3,15,16,0,14,10
2020,12,100,6,0,5,0,0,0,0,0,0,0,1,0,0,0
2021,1,총,"19,702","4,516","5,798",535,699,564,581,804,456,"1,783","1,344",593,"1,506",523
2021,1,0,919,362,273,14,18,12,26,26,9,61,32,30,43,13
2021,1,10,"1,319",401,437,26,38,28,36,47,22,94,66,28,78,18
2021,1,20,"1,669",533,456,39,46,36,36,57,26,131,86,63,118,42
2021,1,30,"1,342",410,414,33,47,26,31,40,20,98,81,43,68,31
2021,1,40,"2,381",635,724,54,69,55,70,75,54,205,146,74,171,49
2021,1,50,"3,723",809,"1,072",101,145,115,119,145,106,337,281,89,304,100
2021,1,60,"3,855",674,"1,119",124,159,112,108,197,97,381,290,132,352,110
2021,1,70,"2,842",439,850,92,104,105,89,135,81,309,219,89,238,92
2021,1,80,"1,489",236,406,43,70,64,62,71,38,152,124,45,120,58
2021,1,90,157,17,42,9,3,11,4,11,3,15,18,0,14,10
2021,1,100,6,0,5,0,0,0,0,0,0,0,1,0,0,0
2021,2,총,"19,650","4,502","5,772",536,695,560,583,800,453,"1,790","1,345",593,"1,504",517
2021,2,0,900,354,268,14,17,12,24,24,9,61,31,31,42,13
2021,2,10,"1,315",405,432,26,39,27,38,46,22,93,67,28,76,16
2021,2,20,"1,670",532,455,38,46,35,36,58,25,133,88,61,121,42
2021,2,30,"1,321",406,410,33,47,26,31,38,18,95,78,43,67,29
2021,2,40,"2,362",626,719,54,70,54,71,74,54,208,144,75,165,48
2021,2,50,"3,723",816,"1,063",101,143,114,121,146,107,336,280,88,308,100
2021,2,60,"3,873",674,"1,122",126,159,112,108,199,97,386,297,132,351,110
2021,2,70,"2,829",438,849,92,101,106,87,131,82,309,215,89,239,91
2021,2,80,"1,494",232,409,43,70,63,63,75,36,154,126,46,120,57
2021,2,90,156,19,39,9,3,11,4,9,3,15,18,0,15,11
2021,2,100,7,0,6,0,0,0,0,0,0,0,1,0,0,0
2021,3,총,"19,585","4,481","5,753",528,699,560,581,786,456,"1,784","1,350",590,"1,504",513
2021,3,0,889,354,262,14,17,12,23,24,9,60,29,30,43,12
2021,3,10,"1,303",403,430,26,38,25,38,42,22,94,66,28,75,16
2021,3,20,"1,662",530,454,37,46,37,34,58,26,130,88,63,118,41
2021,3,30,"1,308",403,400,32,49,25,31,35,18,95,82,41,68,29
2021,3,40,"2,355",622,716,52,70,54,72,75,54,210,140,77,165,48
2021,3,50,"3,709",805,"1,062",101,144,115,120,145,109,332,283,87,310,96
2021,3,60,"3,873",671,"1,126",121,162,114,110,198,96,385,300,127,351,112
2021,3,70,"2,813",438,845,93,98,106,83,129,82,307,215,91,236,90
2021,3,80,"1,509",236,413,43,71,62,66,71,37,156,127,46,123,58
2021,3,90,158,19,40,9,4,10,4,9,3,15,19,0,15,11
2021,3,100,6,0,5,0,0,0,0,0,0,0,1,0,0,0
2021,4,총,"19,592","4,482","5,745",530,700,565,584,794,454,"1,781","1,348",589,"1,506",514
2021,4,0,878,352,258,15,18,12,21,24,8,59,27,30,42,12
2021,4,10,"1,301",401,433,26,36,25,40,43,22,92,65,27,75,16
2021,4,20,"1,668",529,453,36,49,38,35,59,26,130,87,63,122,41
2021,4,30,"1,304",404,393,31,49,25,31,36,19,99,79,41,70,27
2021,4,40,"2,348",623,710,55,71,55,72,75,53,208,142,76,162,46
2021,4,50,"3,709",803,"1,059",102,144,116,119,148,105,329,285,89,312,98
2021,4,60,"3,891",673,"1,132",120,160,116,113,200,100,384,303,127,351,112
2021,4,70,"2,814",442,844,93,99,106,83,130,80,307,215,91,233,91
2021,4,80,"1,518",238,419,43,70,61,66,70,37,158,126,45,125,60
2021,4,90,155,17,39,9,4,11,4,9,4,15,18,0,14,11
2021,4,100,6,0,5,0,0,0,0,0,0,0,1,0,0,0
2021,5,총,"19,498","4,455","5,674",527,700,568,588,795,453,"1,782","1,348",587,"1,506",515
2021,5,0,874,349,257,14,18,12,22,25,8,58,28,29,42,12
2021,5,10,"1,299",404,428,26,36,26,39,44,22,90,65,27,75,17
2021,5,20,"1,650",526,443,36,48,37,36,60,24,130,87,63,119,41
2021,5,30,"1,287",403,381,29,47,27,31,33,20,98,78,41,72,27
2021,5,40,"2,325",622,695,56,74,55,70,76,52,203,144,74,158,46
2021,5,50,"3,686",791,"1,056",99,142,117,121,149,106,329,280,88,310,98
2021,5,60,"3,889",668,"1,117",122,162,115,116,201,101,387,306,125,356,113
2021,5,70,"2,814",442,840,94,101,107,83,126,79,311,212,95,234,90
2021,5,80,"1,515",234,417,42,68,61,66,72,37,159,129,45,125,60
2021,5,90,155,16,37,9,4,11,4,9,4,17,18,0,15,11
2021,5,100,4,0,3,0,0,0,0,0,0,0,1,0,0,0
2021,6,총,"19,462","4,439","5,659",530,703,565,584,791,458,"1,775","1,352",585,"1,507",514
2021,6,0,863,346,251,14,18,11,23,24,7,58,28,29,42,12
2021,6,10,"1,304",402,431,26,36,27,39,42,24,89,67,28,75,18
2021,6,20,"1,634",516,440,37,51,36,34,58,25,129,87,62,118,41
2021,6,30,"1,283",402,383,28,45,27,30,35,19,96,76,41,74,27
2021,6,40,"2,308",618,691,56,71,55,69,74,53,205,144,72,155,45
2021,6,50,"3,661",792,"1,038",102,146,115,119,149,107,323,276,86,310,98
2021,6,60,"3,912",672,"1,122",123,162,116,119,202,103,387,309,126,358,113
2021,6,70,"2,819",443,845,94,103,105,83,124,78,309,215,95,235,90
2021,6,80,"1,518",231,417,42,67,62,63,74,38,162,131,46,125,60
2021,6,90,157,17,38,8,4,11,5,9,4,17,19,0,15,10
2021,6,100,3,0,3,0,0,0,0,0,0,0,0,0,0,0
2021,7,총,"19,430","4,412","5,673",529,704,558,582,790,457,"1,767","1,345",586,"1,508",519
2021,7,0,852,334,254,14,18,11,24,24,7,59,26,29,41,11
2021,7,10,"1,304",407,432,25,35,26,36,41,24,87,69,28,76,18
2021,7,20,"1,634",509,445,38,50,33,35,61,25,127,84,62,121,44
2021,7,30,"1,282",400,377,27,45,27,33,35,19,97,77,41,75,29
2021,7,40,"2,289",610,698,58,70,52,67,72,51,201,141,71,153,45
2021,7,50,"3,648",794,"1,037",100,143,116,116,147,108,321,276,85,305,100
2021,7,60,"3,925",671,"1,123",123,168,117,123,204,103,382,309,128,361,113
2021,7,70,"2,811",435,847,92,103,104,81,123,77,314,214,96,236,89
2021,7,80,"1,529",235,419,44,68,62,62,74,39,162,132,46,125,61
2021,7,90,153,17,38,8,4,10,5,9,4,17,17,0,15,9
2021,7,100,3,0,3,0,0,0,0,0,0,0,0,0,0,0
2021,8,총,"19,387","4,383","5,675",528,704,561,582,792,457,"1,757","1,341",590,"1,503",514
2021,8,0,844,328,256,13,17,13,24,25,6,57,24,30,40,11
2021,8,10,"1,299",410,421,26,36,27,35,42,23,88,68,28,77,18
2021,8,20,"1,625",502,453,38,49,34,36,61,26,127,82,59,118,40
2021,8,30,"1,254",390,372,26,44,25,33,33,19,88,77,43,74,30
2021,8,40,"2,285",602,701,57,74,55,66,70,52,203,137,72,152,44
2021,8,50,"3,642",786,"1,037",101,143,115,114,147,107,321,280,88,304,99
2021,8,60,"3,946",680,"1,127",123,167,118,126,205,102,385,309,128,363,113
2021,8,70,"2,806",434,852,91,101,104,81,125,79,310,212,95,235,87
2021,8,80,"1,528",233,416,45,69,59,61,74,39,162,135,47,125,63
2021,8,90,155,18,37,8,4,11,6,10,4,16,17,0,15,9
2021,8,100,3,0,3,0,0,0,0,0,0,0,0,0,0,0
2021,9,총,"19,329","4,368","5,659",530,705,558,581,793,456,"1,754","1,331",588,"1,490",516
2021,9,0,835,322,252,13,18,13,24,24,6,59,24,29,40,11
2021,9,10,"1,293",408,421,26,35,27,35,43,22,87,68,28,75,18
2021,9,20,"1,614",493,449,39,50,32,36,62,27,128,81,59,117,41
2021,9,30,"1,247",393,366,25,46,25,34,33,20,87,71,41,74,32
2021,9,40,"2,259",595,698,55,75,55,63,69,52,202,132,72,146,45
2021,9,50,"3,644",788,"1,036",100,142,115,116,150,105,323,279,89,303,98
2021,9,60,"3,946",679,"1,131",128,166,118,124,202,103,385,310,127,360,113
2021,9,70,"2,790",434,849,90,99,103,82,125,77,306,211,96,235,83
2021,9,80,"1,544",238,418,46,70,58,61,75,40,161,138,47,126,66
2021,9,90,153,18,36,8,4,12,6,10,4,15,17,0,14,9
2021,9,100,4,0,3,0,0,0,0,0,0,1,0,0,0,0
2021,10,총,"19,314","4,359","5,647",529,705,559,581,786,457,"1,757","1,336",589,"1,492",517
2021,10,0,823,321,244,13,18,13,24,23,7,59,22,28,40,11
2021,10,10,"1,284",402,419,25,35,27,34,43,22,87,68,29,75,18
2021,10,20,"1,609",488,452,37,52,32,36,59,28,130,78,59,118,40
2021,10,30,"1,241",396,364,27,45,25,34,30,19,86,71,40,73,31
2021,10,40,"2,232",587,688,54,70,53,62,71,52,198,136,72,144,45
2021,10,50,"3,665",800,"1,037",98,147,117,116,149,105,328,277,89,305,97
2021,10,60,"3,966",679,"1,135",129,166,118,127,202,104,388,317,128,360,113
2021,10,70,"2,788",430,852,91,100,104,79,123,76,303,212,95,236,87
2021,10,80,"1,544",237,416,47,68,58,63,75,40,162,137,49,126,66
2021,10,90,158,19,37,8,4,12,6,11,4,15,18,0,15,9
2021,10,100,4,0,3,0,0,0,0,0,0,1,0,0,0,0
2021,11,총,"19,264","4,349","5,627",523,702,555,578,784,455,"1,752","1,340",590,"1,494",515
2021,11,0,810,316,241,10,18,12,24,23,7,60,21,29,38,11
2021,11,10,"1,279",398,418,24,35,26,32,43,21,88,70,30,75,19
2021,11,20,"1,605",484,451,38,52,32,36,59,29,128,79,58,120,39
2021,11,30,"1,234",398,357,25,44,24,33,30,18,87,70,41,76,31
2021,11,40,"2,208",577,683,52,67,53,64,69,51,196,135,72,143,46
2021,11,50,"3,656",806,"1,034",101,141,115,114,150,106,326,277,89,301,96
2021,11,60,"3,973",682,"1,132",128,172,119,126,201,104,384,319,127,367,112
2021,11,70,"2,781",431,849,91,100,104,79,123,75,303,215,94,232,85
2021,11,80,"1,553",236,421,47,68,58,64,76,40,163,137,50,127,66
2021,11,90,161,21,38,7,5,12,6,10,4,16,17,0,15,10
2021,11,100,4,0,3,0,0,0,0,0,0,1,0,0,0,0
2021,12,총,"19,221","4,338","5,598",525,707,553,579,781,456,"1,745","1,337",592,"1,489",521
2021,12,0,793,314,234,10,18,11,23,23,6,59,18,29,37,11
2021,12,10,"1,267",394,417,24,34,26,32,42,22,87,68,29,73,19
2021,12,20,"1,589",482,446,38,50,32,36,58,29,126,76,59,116,41
2021,12,30,"1,226",400,349,26,46,22,33,28,17,86,70,42,76,31
2021,12,40,"2,203",565,678,52,68,53,65,69,53,198,137,72,147,46
2021,12,50,"3,659",812,"1,030",100,146,113,114,153,103,326,276,90,297,99
2021,12,60,"3,976",682,"1,128",130,174,124,126,202,106,381,320,125,367,111
2021,12,70,"2,786",432,853,91,101,100,80,122,75,302,215,97,230,88
2021,12,80,"1,553",237,419,47,67,59,63,74,41,162,139,49,131,65
2021,12,90,165,20,41,7,3,13,7,10,4,17,18,0,15,10
2021,12,100,4,0,3,0,0,0,0,0,0,1,0,0,0,0
