년도,월,나이,광주광역시,동구,서구,남구,북구,광산구
2020,7,50,"233,747","15,390","49,570","33,359","72,358","63,070"
2020,7,60,"159,502","14,290","33,568","27,581","52,015","32,048"
2020,7,70,"92,265","10,148","18,925","17,235","29,025","16,932"
2020,7,80,"38,960","4,545","7,871","7,110","11,819","7,615"
2020,7,90,"5,678",634,"1,168","1,088","1,672","1,116"
2020,7,100,422,69,74,97,118,64
2020,8,총,"1,454,154","99,159","298,644","215,701","433,279","407,371"
2020,8,0,"122,309","6,602","22,444","17,645","34,380","41,238"
2020,8,10,"159,172","7,179","32,260","22,988","43,616","53,129"
2020,8,20,"209,096","14,228","45,346","28,162","62,944","58,416"
2020,8,30,"188,454","12,457","37,587","26,107","56,557","55,746"
2020,8,40,"243,152","13,596","49,579","34,243","68,297","77,437"
2020,8,50,"233,774","15,389","49,537","33,251","72,344","63,253"
2020,8,60,"160,460","14,292","33,740","27,721","52,363","32,344"
2020,8,70,"92,458","10,134","19,001","17,238","29,104","16,981"
2020,8,80,"39,133","4,581","7,899","7,153","11,874","7,626"
2020,8,90,"5,723",631,"1,176","1,096","1,682","1,138"
2020,8,100,423,70,75,97,118,63
2020,9,총,"1,453,952","100,993","298,030","215,266","432,525","407,138"
2020,9,0,"121,596","6,906","22,200","17,476","34,150","40,864"
2020,9,10,"158,690","7,257","32,092","22,908","43,459","52,974"
2020,9,20,"209,652","14,548","45,402","28,199","62,934","58,569"
2020,9,30,"187,856","12,929","37,350","25,871","56,188","55,518"
2020,9,40,"242,699","13,789","49,341","34,170","68,096","77,303"
2020,9,50,"233,799","15,523","49,510","33,172","72,210","63,384"
2020,9,60,"161,513","14,542","33,908","27,790","52,625","32,648"
2020,9,70,"92,665","10,179","19,054","17,280","29,153","16,999"
2020,9,80,"39,287","4,617","7,910","7,190","11,910","7,660"
2020,9,90,"5,773",636,"1,186","1,114","1,682","1,155"
2020,9,100,422,67,77,96,118,64
2020,10,총,"1,452,994","102,151","297,527","215,072","431,684","406,560"
2020,10,0,"120,817","7,078","22,020","17,321","33,910","40,488"
2020,10,10,"158,158","7,286","31,907","22,909","43,277","52,779"
2020,10,20,"209,839","14,714","45,366","28,194","62,802","58,763"
2020,10,30,"187,088","13,264","37,129","25,692","55,884","55,119"
2020,10,40,"242,147","13,930","49,152","34,120","67,845","77,100"
2020,10,50,"233,829","15,630","49,530","33,116","72,033","63,520"
2020,10,60,"162,498","14,658","34,078","27,946","52,950","32,866"
2020,10,70,"92,935","10,247","19,125","17,338","29,217","17,008"
2020,10,80,"39,465","4,639","7,951","7,224","11,955","7,696"
2020,10,90,"5,797",638,"1,194","1,118","1,691","1,156"
2020,10,100,421,67,75,94,120,65
2020,11,총,"1,451,993","102,645","297,214","214,752","431,256","406,126"
2020,11,0,"120,143","7,125","21,883","17,251","33,700","40,184"
2020,11,10,"157,750","7,309","31,753","22,839","43,152","52,697"
2020,11,20,"209,837","14,799","45,446","28,117","62,718","58,757"
2020,11,30,"186,451","13,363","36,898","25,565","55,688","54,937"
2020,11,40,"241,635","14,005","49,019","34,066","67,685","76,860"
2020,11,50,"233,918","15,686","49,525","33,086","71,943","63,678"
2020,11,60,"163,259","14,715","34,238","28,050","53,220","33,036"
2020,11,70,"93,224","10,281","19,208","17,332","29,337","17,066"
2020,11,80,"39,530","4,653","7,966","7,240","11,993","7,678"
2020,11,90,"5,826",642,"1,202","1,111","1,701","1,170"
2020,11,100,420,67,76,95,119,63
2020,12,총,"1,450,062","102,897","296,576","214,579","430,431","405,579"
2020,12,0,"119,692","7,173","21,775","17,283","33,549","39,912"
2020,12,10,"157,144","7,324","31,567","22,776","42,971","52,506"
2020,12,20,"209,375","14,836","45,348","27,981","62,504","58,706"
2020,12,30,"185,867","13,416","36,685","25,515","55,549","54,702"
2020,12,40,"240,867","14,000","48,764","34,067","67,402","76,634"
2020,12,50,"233,822","15,665","49,510","33,009","71,836","63,802"
2020,12,60,"163,784","14,773","34,356","28,072","53,337","33,246"
2020,12,70,"93,541","10,296","19,271","17,426","29,414","17,134"
2020,12,80,"39,671","4,695","8,011","7,234","12,032","7,699"
2020,12,90,"5,875",652,"1,213","1,120","1,718","1,172"
2020,12,100,424,67,76,96,119,66
2021,1,총,"1,449,115","102,877","296,036","214,532","430,516","405,154"
2021,1,0,"118,800","7,153","21,523","17,219","33,347","39,558"
2021,1,10,"156,572","7,301","31,378","22,721","42,829","52,343"
2021,1,20,"209,152","14,850","45,332","27,943","62,360","58,667"
2021,1,30,"185,375","13,384","36,477","25,492","55,559","54,463"
2021,1,40,"240,490","13,960","48,614","34,066","67,434","76,416"
2021,1,50,"234,038","15,664","49,538","32,914","71,885","64,037"
2021,1,60,"164,625","14,809","34,503","28,176","53,606","33,531"
2021,1,70,"93,816","10,298","19,289","17,498","29,527","17,204"
2021,1,80,"39,892","4,736","8,076","7,277","12,107","7,696"
2021,1,90,"5,930",653,"1,231","1,133","1,740","1,173"
2021,1,100,425,69,75,93,122,66
2021,2,총,"1,447,953","102,745","295,368","214,579","430,209","405,052"
2021,2,0,"118,272","7,134","21,346","17,257","33,213","39,322"
2021,2,10,"155,985","7,292","31,154","22,709","42,674","52,156"
2021,2,20,"208,358","14,746","45,178","27,765","62,074","58,595"
2021,2,30,"184,837","13,329","36,350","25,387","55,497","54,274"
2021,2,40,"240,549","13,999","48,469","34,178","67,451","76,452"
2021,2,50,"234,091","15,627","49,522","32,950","71,778","64,214"
2021,2,60,"165,368","14,844","34,591","28,241","53,863","33,829"
2021,2,70,"93,874","10,308","19,306","17,514","29,539","17,207"
2021,2,80,"40,228","4,743","8,140","7,347","12,243","7,755"
2021,2,90,"5,961",653,"1,238","1,137","1,752","1,181"
2021,2,100,430,70,74,94,125,67
2021,3,총,"1,445,473","102,467","294,691","213,776","429,600","404,939"
2021,3,0,"117,808","7,118","21,256","17,192","33,089","39,153"
2021,3,10,"155,277","7,300","30,906","22,641","42,434","51,996"
2021,3,20,"208,324","14,704","45,225","27,683","62,000","58,712"
2021,3,30,"184,137","13,278","36,172","25,259","55,320","54,108"
2021,3,40,"239,690","13,948","48,174","34,038","67,267","76,263"
2021,3,50,"233,891","15,540","49,516","32,768","71,631","64,436"
2021,3,60,"165,964","14,825","34,688","28,251","54,129","34,071"
2021,3,70,"93,656","10,287","19,298","17,381","29,535","17,155"
2021,3,80,"40,468","4,757","8,177","7,392","12,326","7,816"
2021,3,90,"5,966",663,"1,227","1,135","1,766","1,175"
2021,3,100,292,47,52,36,103,54
2021,4,총,"1,444,787","102,939","294,128","213,698","429,159","404,863"
2021,4,0,"117,272","7,214","21,096","17,141","32,880","38,941"
2021,4,10,"154,930","7,315","30,813","22,600","42,288","51,914"
2021,4,20,"208,208","14,720","45,126","27,665","61,955","58,742"
2021,4,30,"183,705","13,420","35,985","25,118","55,205","53,977"
2021,4,40,"239,431","14,019","48,044","34,067","67,113","76,188"
2021,4,50,"233,781","15,535","49,373","32,768","71,512","64,593"
2021,4,60,"166,786","14,911","34,908","28,322","54,368","34,277"
2021,4,70,"93,666","10,321","19,275","17,379","29,557","17,134"
2021,4,80,"40,716","4,756","8,241","7,452","12,394","7,873"
2021,4,90,"6,001",680,"1,219","1,147","1,782","1,173"
2021,4,100,291,48,48,39,105,51
2021,5,총,"1,443,154","103,007","293,364","213,717","428,262","404,804"
2021,5,0,"116,808","7,262","20,932","17,095","32,734","38,785"
2021,5,10,"154,488","7,311","30,652","22,572","42,128","51,825"
2021,5,20,"208,001","14,768","45,019","27,644","61,820","58,750"
2021,5,30,"183,175","13,454","35,778","25,088","55,009","53,846"
2021,5,40,"238,125","14,042","47,686","33,962","66,607","75,828"
2021,5,50,"234,190","15,501","49,412","32,860","71,487","64,930"
2021,5,60,"167,438","14,906","35,009","28,413","54,545","34,565"
2021,5,70,"93,732","10,278","19,298","17,388","29,612","17,156"
2021,5,80,"40,969","4,782","8,317","7,508","12,469","7,893"
2021,5,90,"5,985",667,"1,212","1,148","1,782","1,176"
2021,5,100,243,36,49,39,69,50
2021,6,총,"1,442,647","103,146","293,088","213,910","427,858","404,645"
2021,6,0,"116,423","7,279","20,836","17,076","32,649","38,583"
2021,6,10,"154,106","7,319","30,515","22,576","42,027","51,669"
2021,6,20,"207,952","14,807","45,003","27,664","61,693","58,785"
2021,6,30,"182,779","13,501","35,642","25,073","54,853","53,710"
2021,6,40,"237,840","14,028","47,621","33,993","66,478","75,720"
2021,6,50,"233,886","15,484","49,302","32,803","71,237","65,060"
2021,6,60,"168,355","14,945","35,232","28,562","54,856","34,760"
2021,6,70,"93,901","10,267","19,332","17,424","29,713","17,165"
2021,6,80,"41,202","4,816","8,357","7,559","12,511","7,959"
2021,6,90,"5,968",667,"1,201","1,141","1,775","1,184"
2021,6,100,235,33,47,39,66,50
2021,7,총,"1,442,482","103,185","292,724","214,111","428,040","404,422"
2021,7,0,"116,003","7,294","20,678","17,032","32,600","38,399"
2021,7,10,"153,869","7,301","30,433","22,609","41,953","51,573"
2021,7,20,"207,814","14,823","44,905","27,629","61,723","58,734"
2021,7,30,"182,548","13,473","35,544","25,149","54,840","53,542"
2021,7,40,"237,460","14,043","47,456","33,982","66,381","75,598"
2021,7,50,"233,995","15,478","49,304","32,792","71,252","65,169"
2021,7,60,"169,107","14,983","35,345","28,688","55,122","34,969"
2021,7,70,"94,071","10,256","19,401","17,463","29,753","17,198"
2021,7,80,"41,385","4,825","8,397","7,575","12,588","8,000"
2021,7,90,"5,997",675,"1,214","1,152","1,764","1,192"
2021,7,100,233,34,47,40,64,48
2021,8,총,"1,441,970","103,333","292,400","214,051","427,773","404,413"
2021,8,0,"115,509","7,283","20,611","16,968","32,460","38,187"
2021,8,10,"153,624","7,294","30,355","22,569","41,839","51,567"
2021,8,20,"207,467","14,873","44,766","27,563","61,536","58,729"
2021,8,30,"182,218","13,471","35,437","25,046","54,871","53,393"
2021,8,40,"236,974","14,032","47,303","34,042","66,208","75,389"
2021,8,50,"234,286","15,520","49,397","32,760","71,189","65,420"
2021,8,60,"169,907","15,050","35,431","28,828","55,326","35,272"
2021,8,70,"94,129","10,260","19,390","17,457","29,837","17,185"
2021,8,80,"41,623","4,844","8,438","7,645","12,665","8,031"
2021,8,90,"5,995",671,"1,225","1,133","1,777","1,189"
2021,8,100,238,35,47,40,65,51
2021,9,총,"1,442,827","103,544","292,180","214,295","428,082","404,726"
2021,9,0,"115,090","7,311","20,477","16,926","32,324","38,052"
2021,9,10,"153,327","7,271","30,261","22,603","41,717","51,475"
2021,9,20,"207,931","14,976","44,772","27,610","61,728","58,845"
2021,9,30,"182,107","13,472","35,333","25,070","54,894","53,338"
2021,9,40,"236,716","14,025","47,219","34,047","66,128","75,297"
2021,9,50,"234,723","15,541","49,373","32,826","71,238","65,745"
2021,9,60,"170,513","15,083","35,579","28,863","55,545","35,443"
2021,9,70,"94,232","10,254","19,403","17,467","29,884","17,224"
2021,9,80,"41,926","4,895","8,498","7,707","12,764","8,062"
2021,9,90,"6,024",681,"1,217","1,137","1,796","1,193"
2021,9,100,238,35,48,39,64,52
2021,10,총,"1,442,454","103,443","291,705","215,043","427,684","404,579"
2021,10,0,"114,681","7,284","20,342","16,991","32,160","37,904"
2021,10,10,"152,923","7,250","30,130","22,647","41,561","51,335"
2021,10,20,"207,723","14,937","44,731","27,713","61,615","58,727"
2021,10,30,"181,847","13,443","35,172","25,214","54,733","53,285"
2021,10,40,"236,350","13,993","47,075","34,154","65,944","75,184"
2021,10,50,"235,025","15,545","49,414","32,879","71,297","65,890"
2021,10,60,"171,161","15,111","35,628","28,999","55,728","35,695"
2021,10,70,"94,302","10,229","19,408","17,514","29,923","17,228"
2021,10,80,"42,169","4,935","8,545","7,751","12,847","8,091"
2021,10,90,"6,028",682,"1,212","1,141","1,806","1,187"
2021,10,100,245,34,48,40,70,53
2021,11,총,"1,442,138","103,396","291,411","215,527","427,463","404,341"
2021,11,0,"114,343","7,261","20,263","17,041","32,078","37,700"
2021,11,10,"152,805","7,268","30,018","22,738","41,495","51,286"
2021,11,20,"207,080","14,853","44,594","27,682","61,406","58,545"
2021,11,30,"181,567","13,441","35,080","25,252","54,691","53,103"
2021,11,40,"236,306","14,023","47,028","34,296","65,841","75,118"
2021,11,50,"235,316","15,506","49,418","32,915","71,317","66,160"
2021,11,60,"171,663","15,151","35,758","29,082","55,854","35,818"
2021,11,70,"94,422","10,235","19,426","17,554","29,985","17,222"
2021,11,80,"42,416","4,948","8,587","7,799","12,922","8,160"
2021,11,90,"6,012",682,"1,202","1,132","1,808","1,188"
2021,11,100,208,28,37,36,66,41
2021,12,총,"1,441,611","103,470","291,231","215,575","427,114","404,221"
2021,12,0,"114,065","7,294","20,175","17,062","31,994","37,540"
2021,12,10,"152,404","7,263","29,862","22,739","41,359","51,181"
2021,12,20,"206,472","14,859","44,576","27,524","61,142","58,371"
2021,12,30,"181,189","13,419","35,000","25,221","54,563","52,986"
2021,12,40,"236,167","14,115","46,978","34,277","65,746","75,051"
2021,12,50,"235,764","15,475","49,483","32,988","71,348","66,470"
2021,12,60,"172,124","15,134","35,833","29,154","56,057","35,946"
2021,12,70,"94,547","10,228","19,467","17,585","30,050","17,217"
2021,12,80,"42,636","4,976","8,610","7,860","12,971","8,219"
2021,12,90,"6,066",688,"1,208","1,137","1,827","1,206"
2021,12,100,177,19,39,28,57,34
