년도,월,나이,경기도 포천시,경기도 포천시 소흘읍,경기도 포천시 군내면,경기도 포천시 내촌면,경기도 포천시 가산면,경기도 포천시 신북면,경기도 포천시 창수면,경기도 포천시 영중면,경기도 포천시 일동면,경기도 포천시 이동면,경기도 포천시 영북면,경기도 포천시 관인면,경기도 포천시 화현면,경기도 포천시 포천동,경기도 포천시 선단동
2020,8,80,"2,296",421,142,119,167,196,83,127,203,111,216,94,57,209,151
2020,8,90,222,40,13,3,9,22,7,17,27,10,28,7,5,19,15
2020,8,100,30,4,2,1,1,1,0,2,5,0,5,3,0,4,2
2020,9,총,"78,196","22,432","4,645","2,650","4,558","6,930","1,212","2,655","4,907","3,400","4,549","1,463","1,456","9,565","7,774"
2020,9,0,"4,542","1,498",315,74,110,368,29,97,264,274,346,28,102,638,399
2020,9,10,"6,547","2,581",296,115,251,545,50,139,381,174,228,73,73,"1,008",633
2020,9,20,"10,399","3,135",562,277,476,908,128,253,571,592,672,149,164,"1,414","1,098"
2020,9,30,"8,160","2,219",621,220,391,707,81,170,531,503,605,80,195,"1,059",778
2020,9,40,"11,162","3,617",646,350,586,939,119,329,672,373,514,161,164,"1,420","1,272"
2020,9,50,"16,120","4,757",891,649,"1,217","1,470",234,610,836,504,743,295,247,"1,851","1,816"
2020,9,60,"12,936","2,973",808,603,981,"1,253",312,609,925,528,761,345,303,"1,361","1,174"
2020,9,70,"5,760","1,178",349,237,369,518,171,299,491,330,429,227,147,578,437
2020,9,80,"2,314",428,144,120,166,199,81,130,203,112,219,95,56,213,148
2020,9,90,227,42,12,4,10,22,7,17,28,10,27,7,5,19,17
2020,9,100,29,4,1,1,1,1,0,2,5,0,5,3,0,4,2
2020,10,총,"78,066","22,410","4,640","2,642","4,538","6,906","1,210","2,657","4,881","3,394","4,534","1,463","1,450","9,593","7,748"
2020,10,0,"4,511","1,486",317,72,109,370,27,96,261,267,345,26,99,647,389
2020,10,10,"6,479","2,563",294,112,235,542,51,140,372,175,223,73,71,997,631
2020,10,20,"10,379","3,129",554,272,479,903,124,253,568,587,673,148,166,"1,423","1,100"
2020,10,30,"8,136","2,221",618,216,392,697,83,171,521,506,598,81,196,"1,062",774
2020,10,40,"11,118","3,603",644,352,582,930,120,329,676,379,516,157,160,"1,416","1,254"
2020,10,50,"16,070","4,743",895,648,"1,209","1,470",232,609,824,498,736,295,244,"1,855","1,812"
2020,10,60,"13,031","3,013",810,610,984,"1,252",312,616,925,529,762,346,306,"1,376","1,190"
2020,10,70,"5,754","1,175",352,234,369,518,172,293,494,329,429,231,147,579,432
2020,10,80,"2,329",433,141,121,167,201,82,131,206,114,219,96,56,214,148
2020,10,90,228,40,14,4,11,22,7,17,28,10,27,7,5,20,16
2020,10,100,31,4,1,1,1,1,0,2,6,0,6,3,0,4,2
2020,11,총,"78,012","22,393","4,648","2,639","4,529","6,893","1,217","2,635","4,881","3,386","4,521","1,466","1,451","9,585","7,768"
2020,11,0,"4,469","1,473",315,70,108,363,28,98,259,268,341,25,101,635,385
2020,11,10,"6,456","2,551",302,114,230,540,52,135,369,173,223,72,67,"1,002",626
2020,11,20,"10,363","3,133",546,267,475,908,125,251,571,580,666,150,169,"1,416","1,106"
2020,11,30,"8,117","2,209",617,211,392,690,84,171,509,516,594,84,195,"1,061",784
2020,11,40,"11,062","3,591",641,350,571,925,117,325,684,373,518,153,160,"1,417","1,237"
2020,11,50,"16,051","4,751",894,650,"1,202","1,464",234,599,828,493,729,293,243,"1,856","1,815"
2020,11,60,"13,123","3,022",826,618,994,"1,262",315,613,924,530,766,349,308,"1,381","1,215"
2020,11,70,"5,757","1,178",351,234,376,515,170,292,494,326,433,231,147,579,431
2020,11,80,"2,356",441,142,120,168,203,84,132,210,117,219,99,56,214,151
2020,11,90,228,40,13,4,12,22,8,17,28,10,26,7,5,20,16
2020,11,100,30,4,1,1,1,1,0,2,5,0,6,3,0,4,2
2020,12,총,"77,905","22,353","4,667","2,626","4,514","6,886","1,215","2,637","4,859","3,372","4,512","1,466","1,451","9,552","7,795"
2020,12,0,"4,439","1,456",319,69,113,357,29,96,261,259,343,25,97,627,388
2020,12,10,"6,406","2,533",298,112,223,539,51,134,371,171,220,71,66,995,622
2020,12,20,"10,344","3,136",549,268,470,914,128,249,564,578,662,149,171,"1,403","1,103"
2020,12,30,"8,108","2,187",618,209,389,688,83,176,503,518,603,83,202,"1,065",784
2020,12,40,"11,026","3,585",645,348,573,910,118,321,674,373,516,153,156,"1,402","1,252"
2020,12,50,"15,988","4,734",892,647,"1,195","1,464",232,599,824,487,712,296,238,"1,844","1,824"
2020,12,60,"13,211","3,055",837,608,998,"1,273",315,614,928,533,775,349,310,"1,399","1,217"
2020,12,70,"5,757","1,182",352,239,370,511,169,297,495,325,427,232,151,574,433
2020,12,80,"2,366",442,143,121,170,207,83,132,207,117,222,97,54,218,153
2020,12,90,230,39,13,4,12,22,7,17,27,11,26,8,6,21,17
2020,12,100,30,4,1,1,1,1,0,2,5,0,6,3,0,4,2
2021,1,총,"77,964","22,338","4,675","2,641","4,527","6,871","1,212","2,639","4,902","3,380","4,516","1,459","1,449","9,553","7,802"
