년도,월,나이,전라북도 순창군,전라북도 순창군 순창읍,전라북도 순창군 인계면,전라북도 순창군 동계면,전라북도 순창군 풍산면,전라북도 순창군 금과면,전라북도 순창군 팔덕면,전라북도 순창군 쌍치면,전라북도 순창군 복흥면,전라북도 순창군 적성면,전라북도 순창군 유등면,전라북도 순창군 구림면
2021,1,80,"2,744",520,203,265,240,231,205,206,208,180,177,309
2021,1,90,380,85,23,37,27,28,18,36,38,24,14,50
2021,1,100,27,5,5,3,2,2,1,0,2,4,1,2
2021,2,총,"27,624","10,228","1,552","2,018","1,722","1,736","1,423","1,973","2,195","1,295","1,128","2,354"
2021,2,0,"1,479",842,61,67,62,47,56,74,115,36,53,66
2021,2,10,"2,212","1,324",96,100,87,68,73,119,141,35,48,121
2021,2,20,"2,043","1,039",97,105,89,95,79,116,127,98,74,124
2021,2,30,"1,946",973,102,100,109,109,104,94,121,69,63,102
2021,2,40,"3,277","1,617",137,205,185,136,119,189,208,125,122,234
2021,2,50,"4,480","1,527",273,338,263,315,245,356,412,199,153,399
2021,2,60,"4,864","1,338",304,402,331,411,274,439,432,259,209,465
2021,2,70,"4,164",954,255,394,329,290,252,339,386,262,216,487
2021,2,80,"2,753",525,198,268,238,234,203,210,214,183,176,304
2021,2,90,378,84,24,36,27,29,17,37,37,25,12,50
2021,2,100,28,5,5,3,2,2,1,0,2,4,2,2
2021,3,총,"27,474","10,200","1,528","2,004","1,720","1,715","1,415","1,965","2,176","1,295","1,113","2,343"
2021,3,0,"1,450",836,60,61,66,42,55,67,112,36,51,64
2021,3,10,"2,191","1,307",92,104,85,68,72,118,139,34,49,123
2021,3,20,"2,021","1,039",96,102,86,93,73,116,128,97,71,120
2021,3,30,"1,918",974,94,97,111,102,100,92,118,68,62,100
2021,3,40,"3,248","1,606",135,209,181,137,119,186,205,124,120,226
2021,3,50,"4,465","1,536",270,327,267,311,243,356,396,205,154,400
2021,3,60,"4,893","1,344",301,409,330,412,274,444,442,259,206,472
2021,3,70,"4,132",944,255,391,326,288,255,335,380,259,215,484
2021,3,80,"2,761",527,198,267,240,232,205,215,218,184,170,305
2021,3,90,374,84,22,34,26,29,18,36,38,24,14,49
2021,3,100,21,3,5,3,2,1,1,0,0,5,1,0
2021,4,총,"27,378","10,159","1,528","2,000","1,710","1,707","1,406","1,964","2,166","1,299","1,100","2,339"
2021,4,0,"1,413",817,57,59,62,42,54,62,108,36,50,66
2021,4,10,"2,177","1,294",92,104,82,68,72,120,139,36,49,121
2021,4,20,"2,018","1,045",100,102,89,89,69,111,129,96,68,120
2021,4,30,"1,889",958,93,99,104,104,102,90,115,65,59,100
2021,4,40,"3,230","1,596",137,208,182,136,119,184,200,126,116,226
2021,4,50,"4,442","1,543",266,325,267,304,240,358,392,203,152,392
2021,4,60,"4,924","1,346",306,406,328,415,275,455,445,265,208,475
2021,4,70,"4,123",945,253,389,328,289,249,334,378,259,212,487
2021,4,80,"2,768",529,198,272,240,230,206,214,220,183,172,304
2021,4,90,372,83,21,33,26,29,19,36,40,24,13,48
2021,4,100,22,3,5,3,2,1,1,0,0,6,1,0
2021,5,총,"27,321","10,135","1,521","2,002","1,703","1,720","1,406","1,960","2,159","1,285","1,095","2,335"
2021,5,0,"1,395",812,54,59,59,44,52,62,103,36,49,65
2021,5,10,"2,161","1,286",89,102,85,71,72,117,142,36,47,114
2021,5,20,"2,027","1,051",101,102,86,89,69,113,130,91,69,126
2021,5,30,"1,873",948,93,99,104,106,99,89,113,65,60,97
2021,5,40,"3,208","1,590",134,209,182,140,117,178,197,123,114,224
2021,5,50,"4,415","1,539",261,323,264,300,236,358,389,199,151,395
2021,5,60,"4,940","1,344",305,404,325,423,284,458,450,266,207,474
2021,5,70,"4,117",940,259,392,329,289,250,332,375,254,212,485
2021,5,80,"2,783",539,199,276,239,227,206,216,220,184,171,306
2021,5,90,381,83,21,33,28,30,20,37,40,26,14,49
2021,5,100,21,3,5,3,2,1,1,0,0,5,1,0
2021,6,총,"27,283","10,130","1,524","2,001","1,706","1,712","1,403","1,961","2,149","1,274","1,089","2,334"
2021,6,0,"1,383",809,52,59,59,44,50,62,100,36,49,63
2021,6,10,"2,162","1,289",89,101,86,72,70,115,141,36,46,117
2021,6,20,"2,021","1,051",103,103,88,85,70,111,126,90,71,123
2021,6,30,"1,853",940,87,99,101,108,99,91,111,60,58,99
2021,6,40,"3,215","1,596",136,211,187,138,119,178,193,121,113,223
2021,6,50,"4,397","1,539",264,318,263,294,235,365,386,195,148,390
2021,6,60,"4,960","1,347",310,405,320,424,287,458,456,265,207,481
2021,6,70,"4,098",934,260,391,331,287,244,330,374,254,210,483
2021,6,80,"2,791",537,197,279,240,228,208,215,223,185,172,307
2021,6,90,382,85,21,32,29,31,20,36,39,27,14,48
2021,6,100,21,3,5,3,2,1,1,0,0,5,1,0
2021,7,총,"27,219","10,114","1,520","1,991","1,690","1,709","1,408","1,958","2,142","1,263","1,090","2,334"
2021,7,0,"1,375",808,49,57,61,41,52,61,102,35,49,60
2021,7,10,"2,170","1,297",89,98,83,72,73,115,143,36,46,118
2021,7,20,"1,984","1,029",103,99,85,85,71,110,123,88,69,122
2021,7,30,"1,844",941,86,100,101,107,98,91,109,57,55,99
2021,7,40,"3,197","1,592",131,209,184,134,121,177,189,121,116,223
2021,7,50,"4,383","1,537",269,319,255,293,231,360,381,196,148,394
2021,7,60,"4,970","1,345",311,403,322,428,287,459,460,264,210,481
2021,7,70,"4,083",935,261,389,326,287,242,334,371,252,210,476
2021,7,80,"2,805",541,194,281,243,230,209,214,225,184,171,313
2021,7,90,387,86,22,33,28,31,23,37,39,25,15,48
2021,7,100,21,3,5,3,2,1,1,0,0,5,1,0
2021,8,총,"27,120","10,073","1,508","1,984","1,677","1,700","1,406","1,956","2,148","1,262","1,079","2,327"
2021,8,0,"1,353",799,42,59,57,41,52,59,103,37,46,58
2021,8,10,"2,146","1,286",86,96,81,72,73,110,141,35,44,122
2021,8,20,"1,960","1,026",104,99,86,80,71,107,116,85,68,118
2021,8,30,"1,836",932,86,99,99,107,96,93,117,58,54,95
2021,8,40,"3,175","1,583",128,205,184,133,123,172,188,119,115,225
2021,8,50,"4,382","1,538",272,316,251,295,228,368,383,196,142,393
2021,8,60,"4,986","1,345",309,404,321,428,289,463,465,266,213,483
2021,8,70,"4,055",933,258,385,326,284,238,333,369,248,209,472
2021,8,80,"2,816",541,197,285,242,229,212,214,225,187,170,314
2021,8,90,389,87,21,33,28,30,23,37,41,25,17,47
2021,8,100,22,3,5,3,2,1,1,0,0,6,1,0
2021,9,총,"27,033","10,086","1,502","1,979","1,665","1,694","1,402","1,945","2,137","1,249","1,073","2,301"
2021,9,0,"1,337",800,41,56,57,37,52,58,101,35,46,54
2021,9,10,"2,147","1,297",85,98,80,72,72,110,138,36,43,116
2021,9,20,"1,914","1,021",103,95,86,78,71,101,110,72,62,115
2021,9,30,"1,816",923,85,100,95,107,90,91,117,62,54,92
2021,9,40,"3,153","1,587",126,201,187,129,118,169,186,117,114,219
2021,9,50,"4,387","1,544",273,318,247,300,234,367,380,195,144,385
2021,9,60,"4,996","1,350",308,406,318,426,289,462,470,269,211,487
2021,9,70,"4,051",940,255,384,323,284,240,333,370,244,211,467
2021,9,80,"2,809",532,197,283,242,229,211,216,223,188,170,318
2021,9,90,400,89,24,35,28,30,24,38,42,25,17,48
2021,9,100,23,3,5,3,2,2,1,0,0,6,1,0
2021,10,총,"26,980","10,093","1,487","1,971","1,672","1,687","1,395","1,940","2,141","1,248","1,059","2,287"
2021,10,0,"1,328",802,41,54,57,36,51,57,101,35,44,50
2021,10,10,"2,145","1,300",83,94,86,68,71,110,139,37,43,114
2021,10,20,"1,902","1,019",98,96,86,81,66,104,110,68,59,115
2021,10,30,"1,799",926,86,96,92,104,88,90,117,62,52,86
2021,10,40,"3,127","1,572",125,200,187,128,119,170,186,113,111,216
2021,10,50,"4,392","1,555",269,321,249,300,232,369,374,199,142,382
2021,10,60,"5,023","1,357",311,406,321,428,294,459,480,268,209,490
2021,10,70,"4,026",937,250,385,321,281,234,328,368,245,210,467
2021,10,80,"2,813",534,198,282,241,229,214,214,224,190,171,316
2021,10,90,404,88,24,33,30,30,25,39,42,25,17,51
2021,10,100,21,3,2,4,2,2,1,0,0,6,1,0
2021,11,총,"26,922","10,091","1,490","1,967","1,669","1,680","1,387","1,932","2,130","1,246","1,053","2,277"
2021,11,0,"1,304",798,38,50,57,36,48,56,96,35,40,50
2021,11,10,"2,148","1,309",84,92,85,68,71,109,138,36,45,111
2021,11,20,"1,909","1,021",97,98,87,80,67,106,110,70,58,115
2021,11,30,"1,774",917,85,93,95,99,86,87,114,62,52,84
2021,11,40,"3,103","1,566",126,195,186,126,121,166,185,107,112,213
2021,11,50,"4,388","1,558",274,323,246,303,227,369,369,201,144,374
2021,11,60,"5,043","1,354",314,414,322,428,296,461,485,269,206,494
2021,11,70,"4,000",942,247,381,316,275,231,324,368,243,210,463
2021,11,80,"2,819",532,199,281,237,233,214,217,222,193,168,323
2021,11,90,414,91,25,36,36,30,25,37,43,24,17,50
2021,11,100,20,3,1,4,2,2,1,0,0,6,1,0
2021,12,총,"26,855","10,086","1,494","1,963","1,668","1,681","1,373","1,927","2,119","1,236","1,036","2,272"
2021,12,0,"1,272",790,35,52,56,35,44,56,89,34,31,50
2021,12,10,"2,151","1,316",84,88,83,68,70,109,139,39,45,110
2021,12,20,"1,906","1,016",99,97,89,81,65,106,113,70,57,113
2021,12,30,"1,752",902,86,91,96,99,84,88,111,61,47,87
2021,12,40,"3,096","1,574",124,194,187,125,119,167,184,105,108,209
2021,12,50,"4,387","1,558",279,321,248,303,228,365,361,200,145,379
2021,12,60,"5,058","1,359",314,419,323,430,292,463,491,267,207,493
2021,12,70,"3,938",941,243,373,308,265,223,318,363,241,209,454
2021,12,80,"2,855",533,203,286,242,241,221,218,226,190,168,327
2021,12,90,424,94,26,38,34,32,26,37,42,27,18,50
2021,12,100,16,3,1,4,2,2,1,0,0,2,1,0
