년도,월,나이,예산군,예산읍,삽교읍,대술면,신양면,광시면,대흥면,응봉면,덕산면,봉산면,고덕면,신암면,오가면
2020,8,40,"9,651","5,051","1,144",235,276,288,153,249,766,244,437,341,467
2020,8,50,"13,830","5,985","1,597",436,490,556,280,465,"1,339",429,805,615,833
2020,8,60,"14,525","5,285","1,600",596,710,686,470,559,"1,385",528,932,792,982
2020,8,70,"10,442","3,247","1,164",473,582,579,346,397,925,446,883,640,760
2020,8,80,"6,515","1,635",822,307,417,495,219,281,574,312,546,445,462
2020,8,90,811,204,95,38,44,55,36,38,82,52,54,45,68
2020,8,100,38,12,7,3,2,1,1,1,5,3,2,0,1
2020,9,총,"78,370","33,519","9,904","2,525","3,072","3,201","1,779","2,530","6,704","2,535","4,555","3,586","4,460"
2020,9,0,"3,705","2,161",537,62,64,82,37,60,269,78,134,108,113
2020,9,10,"5,721","3,337",653,90,161,136,60,145,409,147,249,128,206
2020,9,20,"6,876","3,557","1,121",133,150,179,92,190,480,143,270,251,310
2020,9,30,"6,218","3,033","1,119",160,186,141,89,142,463,152,249,221,263
2020,9,40,"9,614","5,026","1,161",230,272,288,152,249,759,242,439,335,461
2020,9,50,"13,789","5,972","1,593",435,484,551,278,468,"1,338",428,800,610,832
2020,9,60,"14,596","5,315","1,622",591,710,693,472,564,"1,391",528,929,801,980
2020,9,70,"10,447","3,260","1,164",474,582,580,337,393,928,449,878,643,759
2020,9,80,"6,548","1,643",832,306,415,495,225,282,575,312,551,444,468
2020,9,90,818,203,95,41,46,55,36,36,87,53,54,45,67
2020,9,100,38,12,7,3,2,1,1,1,5,3,2,0,1
2020,10,총,"78,286","33,499","9,903","2,512","3,068","3,193","1,771","2,523","6,708","2,527","4,550","3,574","4,458"
2020,10,0,"3,663","2,144",530,62,64,80,37,59,266,75,133,104,109
2020,10,10,"5,699","3,337",645,87,158,136,57,143,400,148,249,129,210
2020,10,20,"6,866","3,565","1,117",133,150,176,89,187,486,142,266,245,310
2020,10,30,"6,181","3,007","1,127",157,185,136,90,140,453,150,250,219,267
2020,10,40,"9,602","5,025","1,156",231,270,287,149,248,769,238,441,333,455
2020,10,50,"13,757","5,957","1,601",434,487,553,279,462,"1,331",424,794,603,832
2020,10,60,"14,648","5,335","1,623",586,717,692,471,570,"1,400",531,931,805,987
2020,10,70,"10,443","3,270","1,163",472,577,581,335,392,930,447,876,648,752
2020,10,80,"6,560","1,645",837,307,412,494,227,282,580,315,553,440,468
2020,10,90,828,203,97,39,46,57,36,39,88,54,55,47,67
2020,10,100,39,11,7,4,2,1,1,1,5,3,2,1,1
2020,11,총,"78,146","33,441","9,935","2,485","3,057","3,184","1,766","2,523","6,703","2,517","4,546","3,540","4,449"
2020,11,0,"3,656","2,136",541,61,63,81,36,57,261,76,133,102,109
2020,11,10,"5,659","3,328",641,77,156,133,58,142,400,146,245,125,208
2020,11,20,"6,853","3,537","1,124",133,149,175,87,191,487,140,276,241,313
2020,11,30,"6,143","2,996","1,141",152,184,128,84,139,452,145,246,211,265
2020,11,40,"9,568","5,005","1,164",231,266,287,150,248,759,237,443,328,450
2020,11,50,"13,711","5,940","1,602",429,482,553,280,461,"1,334",430,785,592,823
2020,11,60,"14,674","5,353","1,624",582,724,687,465,572,"1,408",530,934,808,987
2020,11,70,"10,464","3,274","1,163",468,573,592,341,390,936,443,875,651,758
2020,11,80,"6,551","1,656",833,309,412,491,226,284,574,314,550,433,469
2020,11,90,827,205,95,39,46,56,38,37,88,53,56,48,66
2020,11,100,40,11,7,4,2,1,1,2,4,3,3,1,1
2020,12,총,"78,084","33,401","9,955","2,470","3,057","3,184","1,769","2,537","6,677","2,502","4,545","3,533","4,454"
2020,12,0,"3,631","2,128",544,58,63,83,36,55,251,72,140,96,105
2020,12,10,"5,656","3,310",643,74,157,138,62,141,394,145,250,132,210
2020,12,20,"6,830","3,541","1,115",130,148,169,86,195,482,139,276,236,313
2020,12,30,"6,130","2,987","1,151",147,181,136,82,138,449,139,242,212,266
2020,12,40,"9,523","4,980","1,168",227,270,284,149,245,751,234,442,328,445
2020,12,50,"13,677","5,935","1,589",429,481,549,277,466,"1,331",425,785,590,820
2020,12,60,"14,743","5,365","1,646",584,730,686,464,583,"1,419",536,930,802,998
2020,12,70,"10,451","3,274","1,162",468,569,589,344,391,931,444,870,653,756
2020,12,80,"6,567","1,658",834,310,411,494,230,281,577,311,553,433,475
2020,12,90,836,211,96,39,45,55,38,40,88,54,55,50,65
2020,12,100,40,12,7,4,2,1,1,2,4,3,2,1,1
2021,1,총,"78,129","33,455","10,001","2,457","3,048","3,179","1,765","2,530","6,688","2,514","4,529","3,533","4,430"
2021,1,0,"3,599","2,119",537,58,63,80,36,55,253,72,129,95,102
2021,1,10,"5,756","3,396",665,72,154,140,64,141,395,144,251,132,202
2021,1,20,"6,787","3,523","1,102",126,145,167,86,190,488,138,276,235,311
2021,1,30,"6,114","2,964","1,167",143,173,137,77,142,452,145,240,210,264
2021,1,40,"9,518","4,978","1,183",226,270,284,147,241,753,232,438,328,438
2021,1,50,"13,582","5,907","1,579",421,471,550,269,464,"1,325",424,772,587,813
2021,1,60,"14,850","5,401","1,663",584,741,689,471,585,"1,419",546,941,807,"1,003"
2021,1,70,"10,455","3,286","1,174",470,567,587,341,383,931,442,873,651,750
2021,1,80,"6,581","1,659",829,311,410,490,234,287,583,312,548,436,482
2021,1,90,848,210,96,42,52,54,39,39,86,56,59,51,64
2021,1,100,39,12,6,4,2,1,1,3,3,3,2,1,1
2021,2,총,"78,048","33,391","10,045","2,450","3,050","3,185","1,761","2,517","6,678","2,511","4,520","3,526","4,414"
2021,2,0,"3,584","2,103",543,56,66,79,37,51,253,73,128,95,100
2021,2,10,"5,690","3,358",662,71,154,140,64,131,389,144,248,127,202
2021,2,20,"6,743","3,519","1,109",122,140,166,79,194,472,134,269,231,308
2021,2,30,"6,085","2,921","1,187",143,171,134,79,138,460,140,240,210,262
2021,2,40,"9,464","4,958","1,176",224,274,281,144,241,751,234,431,321,429
2021,2,50,"13,560","5,904","1,582",422,473,546,271,461,"1,318",427,766,586,804
2021,2,60,"14,971","5,453","1,677",585,741,698,473,589,"1,431",549,950,811,"1,014"
2021,2,70,"10,425","3,277","1,172",465,562,593,340,383,936,438,869,645,745
2021,2,80,"6,630","1,672",837,316,412,492,235,287,582,312,556,446,483
2021,2,90,856,213,94,42,55,54,39,39,83,57,61,53,66
2021,2,100,40,13,6,4,2,2,0,3,3,3,2,1,1
2021,3,총,"77,585","33,113","10,021","2,437","3,036","3,155","1,766","2,525","6,678","2,495","4,500","3,493","4,366"
2021,3,0,"3,554","2,060",555,57,66,78,37,53,257,68,128,97,98
2021,3,10,"5,660","3,336",663,72,156,142,63,132,382,142,248,127,197
2021,3,20,"6,702","3,519","1,095",119,133,167,79,195,476,132,268,223,296
2021,3,30,"6,015","2,872","1,191",138,170,131,79,139,456,139,235,205,260
2021,3,40,"9,368","4,908","1,179",222,273,273,144,239,747,228,422,310,423
2021,3,50,"13,401","5,840","1,544",420,462,539,268,458,"1,315",427,758,577,793
2021,3,60,"15,047","5,470","1,694",584,746,692,487,592,"1,441",554,956,820,"1,011"
2021,3,70,"10,319","3,232","1,161",461,559,589,332,387,931,429,865,633,740
2021,3,80,"6,642","1,656",846,322,416,487,237,287,586,316,556,451,482
2021,3,90,849,212,91,39,53,55,40,40,84,58,62,50,65
2021,3,100,28,8,2,3,2,2,0,3,3,2,2,0,1
2021,4,총,"77,538","33,077","10,060","2,445","3,043","3,134","1,766","2,526","6,687","2,480","4,485","3,488","4,347"
2021,4,0,"3,530","2,035",555,59,64,78,37,51,257,68,127,101,98
2021,4,10,"5,629","3,324",660,71,159,133,61,131,379,141,247,127,196
2021,4,20,"6,692","3,521","1,110",120,132,166,79,200,473,125,262,215,289
2021,4,30,"5,986","2,843","1,194",137,167,128,77,141,463,139,231,205,261
2021,4,40,"9,346","4,903","1,185",223,270,271,143,234,748,225,414,311,419
2021,4,50,"13,337","5,806","1,542",418,461,541,267,460,"1,305",416,759,575,787
2021,4,60,"15,154","5,514","1,707",590,755,688,493,595,"1,454",563,961,822,"1,012"
2021,4,70,"10,312","3,241","1,166",463,558,583,329,383,930,428,867,629,735
2021,4,80,"6,660","1,667",842,320,420,488,239,288,591,311,555,454,485
2021,4,90,863,214,97,41,55,56,41,40,84,62,60,49,64
2021,4,100,29,9,2,3,2,2,0,3,3,2,2,0,1
2021,5,총,"77,468","33,010","10,066","2,450","3,051","3,132","1,769","2,539","6,674","2,479","4,477","3,482","4,339"
2021,5,0,"3,503","2,007",559,61,66,78,37,53,257,68,123,98,96
2021,5,10,"5,637","3,330",657,75,161,131,60,132,379,142,247,128,195
2021,5,20,"6,655","3,489","1,119",116,133,168,81,202,467,126,260,208,286
2021,5,30,"5,945","2,808","1,188",139,165,126,78,142,459,139,230,210,261
2021,5,40,"9,288","4,879","1,172",219,274,267,137,233,753,225,411,305,413
2021,5,50,"13,280","5,771","1,538",416,460,533,272,458,"1,291",418,752,580,791
2021,5,60,"15,259","5,555","1,722",600,758,697,491,603,"1,463",568,970,823,"1,009"
2021,5,70,"10,305","3,267","1,165",460,561,581,333,384,912,418,862,624,738
2021,5,80,"6,696","1,678",845,321,415,492,236,289,603,314,558,457,488
2021,5,90,868,217,98,40,55,56,44,40,86,60,62,49,61
2021,5,100,32,9,3,3,3,3,0,3,4,1,2,0,1
2021,6,총,"77,348","32,927","10,067","2,443","3,057","3,133","1,769","2,528","6,684","2,462","4,483","3,469","4,326"
2021,6,0,"3,471","1,990",560,55,65,77,36,52,256,68,121,95,96
2021,6,10,"5,607","3,301",663,75,160,128,62,133,381,142,245,125,192
2021,6,20,"6,624","3,474","1,111",116,138,168,76,197,469,125,262,204,284
2021,6,30,"5,890","2,789","1,178",136,162,124,79,138,455,133,233,205,258
2021,6,40,"9,256","4,848","1,171",219,272,265,137,232,762,226,410,303,411
2021,6,50,"13,232","5,750","1,529",412,466,535,276,456,"1,291",407,748,580,782
2021,6,60,"15,366","5,606","1,737",606,761,704,493,602,"1,466",569,974,828,"1,020"
2021,6,70,"10,293","3,261","1,168",457,563,582,333,384,908,415,862,626,734
2021,6,80,"6,706","1,683",849,323,412,491,233,290,603,315,564,454,489
2021,6,90,870,215,98,41,55,56,44,41,89,61,62,49,59
2021,6,100,33,10,3,3,3,3,0,3,4,1,2,0,1
2021,7,총,"77,284","32,870","10,075","2,433","3,054","3,129","1,773","2,520","6,695","2,471","4,467","3,480","4,317"
2021,7,0,"3,446","1,970",561,51,64,76,39,52,243,68,119,100,103
2021,7,10,"5,598","3,291",663,73,157,128,63,134,389,143,242,125,190
2021,7,20,"6,586","3,453","1,094",118,142,165,75,195,472,127,261,205,279
2021,7,30,"5,862","2,768","1,193",127,163,119,76,137,450,134,228,205,262
2021,7,40,"9,234","4,823","1,178",217,267,269,138,231,765,227,410,306,403
2021,7,50,"13,155","5,733","1,523",410,465,537,274,451,"1,276",407,731,576,772
2021,7,60,"15,469","5,643","1,746",613,763,705,492,608,"1,484",574,984,837,"1,020"
2021,7,70,"10,299","3,267","1,169",454,564,579,336,384,915,414,864,623,730
2021,7,80,"6,719","1,695",845,325,410,489,235,285,605,314,565,453,498
2021,7,90,883,217,100,42,56,59,45,40,92,62,61,50,59
2021,7,100,33,10,3,3,3,3,0,3,4,1,2,0,1
2021,8,총,"77,241","32,836","10,119","2,435","3,054","3,128","1,761","2,528","6,686","2,488","4,455","3,458","4,293"
2021,8,0,"3,445","1,963",575,52,64,72,38,53,237,76,115,96,104
2021,8,10,"5,550","3,261",666,75,154,128,61,132,395,141,236,118,183
2021,8,20,"6,594","3,460","1,094",118,140,162,73,196,467,132,263,209,280
2021,8,30,"5,835","2,740","1,199",126,163,123,74,137,453,134,223,204,259
2021,8,40,"9,237","4,836","1,185",217,265,267,136,232,762,231,409,298,399
2021,8,50,"13,066","5,690","1,523",412,460,531,271,448,"1,266",408,727,570,760
2021,8,60,"15,533","5,677","1,741",610,776,715,494,606,"1,489",575,987,839,"1,024"
2021,8,70,"10,321","3,272","1,181",456,564,573,338,390,922,415,863,620,727
2021,8,80,"6,736","1,704",848,325,408,495,232,291,600,312,569,455,497
2021,8,90,893,224,104,41,57,59,44,40,91,64,61,49,59
2021,8,100,31,9,3,3,3,3,0,3,4,0,2,0,1
2021,9,총,"77,016","32,715","10,122","2,420","3,033","3,117","1,757","2,511","6,686","2,505","4,436","3,438","4,276"
2021,9,0,"3,406","1,942",571,48,62,69,39,54,235,75,116,94,101
2021,9,10,"5,504","3,241",653,73,153,127,58,127,392,145,235,114,186
2021,9,20,"6,505","3,409","1,086",118,136,162,71,189,470,130,258,205,271
2021,9,30,"5,816","2,725","1,224",122,157,122,74,134,445,138,217,205,253
2021,9,40,"9,161","4,807","1,168",217,260,262,133,226,765,231,402,294,396
2021,9,50,"13,020","5,669","1,526",409,454,526,271,448,"1,268",411,720,561,757
2021,9,60,"15,574","5,692","1,751",616,777,719,497,606,"1,488",573,987,843,"1,025"
2021,9,70,"10,342","3,285","1,187",448,565,576,336,392,925,422,865,616,725
2021,9,80,"6,760","1,712",848,323,412,493,237,291,602,317,571,454,500
2021,9,90,897,224,105,43,54,58,41,41,92,63,63,52,61
2021,9,100,31,9,3,3,3,3,0,3,4,0,2,0,1
2021,10,총,"76,974","32,707","10,150","2,406","3,026","3,115","1,750","2,511","6,688","2,489","4,429","3,433","4,270"
2021,10,0,"3,366","1,917",579,44,55,69,39,53,230,71,116,95,98
2021,10,10,"5,485","3,239",652,75,151,124,56,125,393,145,230,111,184
2021,10,20,"6,500","3,415","1,089",114,135,160,71,189,466,128,258,203,272
2021,10,30,"5,779","2,710","1,235",116,150,124,70,133,444,136,216,202,243
2021,10,40,"9,110","4,779","1,165",213,263,260,137,225,759,231,392,290,396
2021,10,50,"13,003","5,662","1,521",411,451,523,268,444,"1,268",405,724,567,759
2021,10,60,"15,626","5,721","1,751",612,781,725,497,616,"1,496",574,991,841,"1,021"
2021,10,70,"10,375","3,293","1,196",453,569,576,334,393,932,419,866,614,730
2021,10,80,"6,802","1,738",852,322,413,493,237,288,605,319,571,458,506
2021,10,90,896,224,107,43,55,59,41,42,90,61,62,52,60
2021,10,100,32,9,3,3,3,2,0,3,5,0,3,0,1
2021,11,총,"76,830","32,658","10,133","2,396","3,029","3,104","1,757","2,513","6,667","2,489","4,407","3,416","4,261"
2021,11,0,"3,340","1,908",578,42,57,68,39,53,228,71,111,90,95
2021,11,10,"5,476","3,245",648,76,149,119,57,125,393,146,226,109,183
2021,11,20,"6,453","3,386","1,073",115,139,157,73,190,460,126,259,207,268
2021,11,30,"5,760","2,692","1,231",116,152,127,69,135,450,134,209,199,246
2021,11,40,"9,057","4,756","1,168",207,264,256,136,228,748,230,391,286,387
2021,11,50,"12,987","5,642","1,528",410,454,521,273,444,"1,266",405,722,559,763
2021,11,60,"15,628","5,741","1,748",611,777,724,499,615,"1,493",578,987,833,"1,022"
2021,11,70,"10,360","3,299","1,189",449,567,574,333,392,929,419,864,617,728
2021,11,80,"6,837","1,748",859,325,413,497,236,289,606,319,572,464,509
2021,11,90,902,233,108,42,54,59,42,40,89,61,63,52,59
2021,11,100,30,8,3,3,3,2,0,2,5,0,3,0,1
2021,12,총,"76,801","32,682","10,155","2,387","2,998","3,105","1,756","2,504","6,675","2,490","4,407","3,404","4,238"
2021,12,0,"3,324","1,904",572,41,50,69,40,52,229,71,117,84,95
2021,12,10,"5,436","3,225",647,76,142,116,57,127,393,148,222,108,175
2021,12,20,"6,464","3,397","1,067",113,138,158,76,186,461,125,260,209,274
2021,12,30,"5,766","2,708","1,238",118,138,124,68,139,451,136,209,191,246
2021,12,40,"9,022","4,742","1,174",200,265,258,136,224,742,234,383,286,378
2021,12,50,"13,015","5,659","1,542",413,453,523,274,443,"1,276",398,727,555,752
2021,12,60,"15,628","5,736","1,759",608,776,727,495,610,"1,487",583,991,833,"1,023"
2021,12,70,"10,332","3,297","1,184",450,565,574,328,390,933,411,855,618,727
2021,12,80,"6,862","1,768",860,324,411,494,241,289,605,324,576,466,504
2021,12,90,919,238,110,39,56,60,41,41,93,60,64,54,63
2021,12,100,33,8,2,5,4,2,0,3,5,0,3,0,1
